game,2016,12,20161127,201611270cle,nyg,"New York Giants",27,cle,"Cleveland Browns",13
player,201611270cle,nyg,JennRa00,pass_cmp,0,,,,,
player,201611270cle,nyg,JennRa00,pass_att,0,,,,,
player,201611270cle,nyg,JennRa00,pass_yds,0,,,,,
player,201611270cle,nyg,JennRa00,pass_td,0,,,,,
player,201611270cle,nyg,JennRa00,pass_int,0,,,,,
player,201611270cle,nyg,JennRa00,pass_sacked,0,,,,,
player,201611270cle,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201611270cle,nyg,JennRa00,pass_long,0,,,,,
player,201611270cle,nyg,JennRa00,pass_rating,,,,,,
player,201611270cle,nyg,JennRa00,rush_att,15,,,,,
player,201611270cle,nyg,JennRa00,rush_yds,55,,,,,
player,201611270cle,nyg,JennRa00,rush_td,0,,,,,
player,201611270cle,nyg,JennRa00,rush_long,11,,,,,
player,201611270cle,nyg,JennRa00,targets,2,,,,,
player,201611270cle,nyg,JennRa00,rec,2,,,,,
player,201611270cle,nyg,JennRa00,rec_yds,4,,,,,
player,201611270cle,nyg,JennRa00,rec_td,0,,,,,
player,201611270cle,nyg,JennRa00,rec_long,4,,,,,
player,201611270cle,nyg,JennRa00,fumbles,0,,,,,
player,201611270cle,nyg,JennRa00,fumbles_lost,0,,,,,
player,201611270cle,nyg,PerkPa00,pass_cmp,0,,,,,
player,201611270cle,nyg,PerkPa00,pass_att,0,,,,,
player,201611270cle,nyg,PerkPa00,pass_yds,0,,,,,
player,201611270cle,nyg,PerkPa00,pass_td,0,,,,,
player,201611270cle,nyg,PerkPa00,pass_int,0,,,,,
player,201611270cle,nyg,PerkPa00,pass_sacked,0,,,,,
player,201611270cle,nyg,PerkPa00,pass_sacked_yds,0,,,,,
player,201611270cle,nyg,PerkPa00,pass_long,0,,,,,
player,201611270cle,nyg,PerkPa00,pass_rating,,,,,,
player,201611270cle,nyg,PerkPa00,rush_att,9,,,,,
player,201611270cle,nyg,PerkPa00,rush_yds,29,,,,,
player,201611270cle,nyg,PerkPa00,rush_td,0,,,,,
player,201611270cle,nyg,PerkPa00,rush_long,6,,,,,
player,201611270cle,nyg,PerkPa00,targets,2,,,,,
player,201611270cle,nyg,PerkPa00,rec,2,,,,,
player,201611270cle,nyg,PerkPa00,rec_yds,14,,,,,
player,201611270cle,nyg,PerkPa00,rec_td,0,,,,,
player,201611270cle,nyg,PerkPa00,rec_long,10,,,,,
player,201611270cle,nyg,PerkPa00,fumbles,0,,,,,
player,201611270cle,nyg,PerkPa00,fumbles_lost,0,,,,,
player,201611270cle,nyg,ShepSt00,pass_cmp,0,,,,,
player,201611270cle,nyg,ShepSt00,pass_att,0,,,,,
player,201611270cle,nyg,ShepSt00,pass_yds,0,,,,,
player,201611270cle,nyg,ShepSt00,pass_td,0,,,,,
player,201611270cle,nyg,ShepSt00,pass_int,0,,,,,
player,201611270cle,nyg,ShepSt00,pass_sacked,0,,,,,
player,201611270cle,nyg,ShepSt00,pass_sacked_yds,0,,,,,
player,201611270cle,nyg,ShepSt00,pass_long,0,,,,,
player,201611270cle,nyg,ShepSt00,pass_rating,,,,,,
player,201611270cle,nyg,ShepSt00,rush_att,1,,,,,
player,201611270cle,nyg,ShepSt00,rush_yds,22,,,,,
player,201611270cle,nyg,ShepSt00,rush_td,0,,,,,
player,201611270cle,nyg,ShepSt00,rush_long,22,,,,,
player,201611270cle,nyg,ShepSt00,targets,0,,,,,
player,201611270cle,nyg,ShepSt00,rec,0,,,,,
player,201611270cle,nyg,ShepSt00,rec_yds,0,,,,,
player,201611270cle,nyg,ShepSt00,rec_td,0,,,,,
player,201611270cle,nyg,ShepSt00,rec_long,0,,,,,
player,201611270cle,nyg,ShepSt00,fumbles,0,,,,,
player,201611270cle,nyg,ShepSt00,fumbles_lost,0,,,,,
player,201611270cle,nyg,BeckOd00,pass_cmp,0,,,,,
player,201611270cle,nyg,BeckOd00,pass_att,0,,,,,
player,201611270cle,nyg,BeckOd00,pass_yds,0,,,,,
player,201611270cle,nyg,BeckOd00,pass_td,0,,,,,
player,201611270cle,nyg,BeckOd00,pass_int,0,,,,,
player,201611270cle,nyg,BeckOd00,pass_sacked,0,,,,,
player,201611270cle,nyg,BeckOd00,pass_sacked_yds,0,,,,,
player,201611270cle,nyg,BeckOd00,pass_long,0,,,,,
player,201611270cle,nyg,BeckOd00,pass_rating,,,,,,
player,201611270cle,nyg,BeckOd00,rush_att,0,,,,,
player,201611270cle,nyg,BeckOd00,rush_yds,0,,,,,
player,201611270cle,nyg,BeckOd00,rush_td,0,,,,,
player,201611270cle,nyg,BeckOd00,rush_long,0,,,,,
player,201611270cle,nyg,BeckOd00,targets,11,,,,,
player,201611270cle,nyg,BeckOd00,rec,6,,,,,
player,201611270cle,nyg,BeckOd00,rec_yds,96,,,,,
player,201611270cle,nyg,BeckOd00,rec_td,2,,,,,
player,201611270cle,nyg,BeckOd00,rec_long,41,,,,,
player,201611270cle,nyg,BeckOd00,fumbles,0,,,,,
player,201611270cle,nyg,BeckOd00,fumbles_lost,0,,,,,
player,201611270cle,nyg,CruzVi00,pass_cmp,0,,,,,
player,201611270cle,nyg,CruzVi00,pass_att,0,,,,,
player,201611270cle,nyg,CruzVi00,pass_yds,0,,,,,
player,201611270cle,nyg,CruzVi00,pass_td,0,,,,,
player,201611270cle,nyg,CruzVi00,pass_int,0,,,,,
player,201611270cle,nyg,CruzVi00,pass_sacked,0,,,,,
player,201611270cle,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201611270cle,nyg,CruzVi00,pass_long,0,,,,,
player,201611270cle,nyg,CruzVi00,pass_rating,,,,,,
player,201611270cle,nyg,CruzVi00,rush_att,0,,,,,
player,201611270cle,nyg,CruzVi00,rush_yds,0,,,,,
player,201611270cle,nyg,CruzVi00,rush_td,0,,,,,
player,201611270cle,nyg,CruzVi00,rush_long,0,,,,,
player,201611270cle,nyg,CruzVi00,targets,5,,,,,
player,201611270cle,nyg,CruzVi00,rec,1,,,,,
player,201611270cle,nyg,CruzVi00,rec_yds,37,,,,,
player,201611270cle,nyg,CruzVi00,rec_td,0,,,,,
player,201611270cle,nyg,CruzVi00,rec_long,37,,,,,
player,201611270cle,nyg,CruzVi00,fumbles,0,,,,,
player,201611270cle,nyg,CruzVi00,fumbles_lost,0,,,,,
player,201611270cle,nyg,LewiRo03,pass_cmp,0,,,,,
player,201611270cle,nyg,LewiRo03,pass_att,0,,,,,
player,201611270cle,nyg,LewiRo03,pass_yds,0,,,,,
player,201611270cle,nyg,LewiRo03,pass_td,0,,,,,
player,201611270cle,nyg,LewiRo03,pass_int,0,,,,,
player,201611270cle,nyg,LewiRo03,pass_sacked,0,,,,,
player,201611270cle,nyg,LewiRo03,pass_sacked_yds,0,,,,,
player,201611270cle,nyg,LewiRo03,pass_long,0,,,,,
player,201611270cle,nyg,LewiRo03,pass_rating,,,,,,
player,201611270cle,nyg,LewiRo03,rush_att,0,,,,,
player,201611270cle,nyg,LewiRo03,rush_yds,0,,,,,
player,201611270cle,nyg,LewiRo03,rush_td,0,,,,,
player,201611270cle,nyg,LewiRo03,rush_long,0,,,,,
player,201611270cle,nyg,LewiRo03,targets,4,,,,,
player,201611270cle,nyg,LewiRo03,rec,1,,,,,
player,201611270cle,nyg,LewiRo03,rec_yds,18,,,,,
player,201611270cle,nyg,LewiRo03,rec_td,0,,,,,
player,201611270cle,nyg,LewiRo03,rec_long,18,,,,,
player,201611270cle,nyg,LewiRo03,fumbles,0,,,,,
player,201611270cle,nyg,LewiRo03,fumbles_lost,0,,,,,
player,201611270cle,nyg,HarrDw00,pass_cmp,0,,,,,
player,201611270cle,nyg,HarrDw00,pass_att,0,,,,,
player,201611270cle,nyg,HarrDw00,pass_yds,0,,,,,
player,201611270cle,nyg,HarrDw00,pass_td,0,,,,,
player,201611270cle,nyg,HarrDw00,pass_int,0,,,,,
player,201611270cle,nyg,HarrDw00,pass_sacked,0,,,,,
player,201611270cle,nyg,HarrDw00,pass_sacked_yds,0,,,,,
player,201611270cle,nyg,HarrDw00,pass_long,0,,,,,
player,201611270cle,nyg,HarrDw00,pass_rating,,,,,,
player,201611270cle,nyg,HarrDw00,rush_att,0,,,,,
player,201611270cle,nyg,HarrDw00,rush_yds,0,,,,,
player,201611270cle,nyg,HarrDw00,rush_td,0,,,,,
player,201611270cle,nyg,HarrDw00,rush_long,0,,,,,
player,201611270cle,nyg,HarrDw00,targets,1,,,,,
player,201611270cle,nyg,HarrDw00,rec,1,,,,,
player,201611270cle,nyg,HarrDw00,rec_yds,13,,,,,
player,201611270cle,nyg,HarrDw00,rec_td,1,,,,,
player,201611270cle,nyg,HarrDw00,rec_long,13,,,,,
player,201611270cle,nyg,HarrDw00,fumbles,0,,,,,
player,201611270cle,nyg,HarrDw00,fumbles_lost,0,,,,,
player,201611270cle,nyg,TyexWi00,pass_cmp,0,,,,,
player,201611270cle,nyg,TyexWi00,pass_att,0,,,,,
player,201611270cle,nyg,TyexWi00,pass_yds,0,,,,,
player,201611270cle,nyg,TyexWi00,pass_td,0,,,,,
player,201611270cle,nyg,TyexWi00,pass_int,0,,,,,
player,201611270cle,nyg,TyexWi00,pass_sacked,0,,,,,
player,201611270cle,nyg,TyexWi00,pass_sacked_yds,0,,,,,
player,201611270cle,nyg,TyexWi00,pass_long,0,,,,,
player,201611270cle,nyg,TyexWi00,pass_rating,,,,,,
player,201611270cle,nyg,TyexWi00,rush_att,0,,,,,
player,201611270cle,nyg,TyexWi00,rush_yds,0,,,,,
player,201611270cle,nyg,TyexWi00,rush_td,0,,,,,
player,201611270cle,nyg,TyexWi00,rush_long,0,,,,,
player,201611270cle,nyg,TyexWi00,targets,2,,,,,
player,201611270cle,nyg,TyexWi00,rec,2,,,,,
player,201611270cle,nyg,TyexWi00,rec_yds,12,,,,,
player,201611270cle,nyg,TyexWi00,rec_td,0,,,,,
player,201611270cle,nyg,TyexWi00,rec_long,7,,,,,
player,201611270cle,nyg,TyexWi00,fumbles,0,,,,,
player,201611270cle,nyg,TyexWi00,fumbles_lost,0,,,,,
player,201611270cle,cle,McCoJo01,pass_cmp,25,,,,,
player,201611270cle,cle,McCoJo01,pass_att,43,,,,,
player,201611270cle,cle,McCoJo01,pass_yds,322,,,,,
player,201611270cle,cle,McCoJo01,pass_td,1,,,,,
player,201611270cle,cle,McCoJo01,pass_int,0,,,,,
player,201611270cle,cle,McCoJo01,pass_sacked,7,,,,,
player,201611270cle,cle,McCoJo01,pass_sacked_yds,37,,,,,
player,201611270cle,cle,McCoJo01,pass_long,54,,,,,
player,201611270cle,cle,McCoJo01,pass_rating,89.5,,,,,
player,201611270cle,cle,McCoJo01,rush_att,0,,,,,
player,201611270cle,cle,McCoJo01,rush_yds,0,,,,,
player,201611270cle,cle,McCoJo01,rush_td,0,,,,,
player,201611270cle,cle,McCoJo01,rush_long,0,,,,,
player,201611270cle,cle,McCoJo01,targets,0,,,,,
player,201611270cle,cle,McCoJo01,rec,0,,,,,
player,201611270cle,cle,McCoJo01,rec_yds,0,,,,,
player,201611270cle,cle,McCoJo01,rec_td,0,,,,,
player,201611270cle,cle,McCoJo01,rec_long,0,,,,,
player,201611270cle,cle,McCoJo01,fumbles,2,,,,,
player,201611270cle,cle,McCoJo01,fumbles_lost,2,,,,,
player,201611270cle,cle,JohnDu00,pass_cmp,0,,,,,
player,201611270cle,cle,JohnDu00,pass_att,1,,,,,
player,201611270cle,cle,JohnDu00,pass_yds,0,,,,,
player,201611270cle,cle,JohnDu00,pass_td,0,,,,,
player,201611270cle,cle,JohnDu00,pass_int,0,,,,,
player,201611270cle,cle,JohnDu00,pass_sacked,0,,,,,
player,201611270cle,cle,JohnDu00,pass_sacked_yds,0,,,,,
player,201611270cle,cle,JohnDu00,pass_long,0,,,,,
player,201611270cle,cle,JohnDu00,pass_rating,39.6,,,,,
player,201611270cle,cle,JohnDu00,rush_att,5,,,,,
player,201611270cle,cle,JohnDu00,rush_yds,14,,,,,
player,201611270cle,cle,JohnDu00,rush_td,0,,,,,
player,201611270cle,cle,JohnDu00,rush_long,6,,,,,
player,201611270cle,cle,JohnDu00,targets,5,,,,,
player,201611270cle,cle,JohnDu00,rec,3,,,,,
player,201611270cle,cle,JohnDu00,rec_yds,26,,,,,
player,201611270cle,cle,JohnDu00,rec_td,0,,,,,
player,201611270cle,cle,JohnDu00,rec_long,12,,,,,
player,201611270cle,cle,JohnDu00,fumbles,0,,,,,
player,201611270cle,cle,JohnDu00,fumbles_lost,0,,,,,
player,201611270cle,cle,CrowIs00,pass_cmp,0,,,,,
player,201611270cle,cle,CrowIs00,pass_att,0,,,,,
player,201611270cle,cle,CrowIs00,pass_yds,0,,,,,
player,201611270cle,cle,CrowIs00,pass_td,0,,,,,
player,201611270cle,cle,CrowIs00,pass_int,0,,,,,
player,201611270cle,cle,CrowIs00,pass_sacked,0,,,,,
player,201611270cle,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201611270cle,cle,CrowIs00,pass_long,0,,,,,
player,201611270cle,cle,CrowIs00,pass_rating,,,,,,
player,201611270cle,cle,CrowIs00,rush_att,16,,,,,
player,201611270cle,cle,CrowIs00,rush_yds,44,,,,,
player,201611270cle,cle,CrowIs00,rush_td,0,,,,,
player,201611270cle,cle,CrowIs00,rush_long,9,,,,,
player,201611270cle,cle,CrowIs00,targets,7,,,,,
player,201611270cle,cle,CrowIs00,rec,6,,,,,
player,201611270cle,cle,CrowIs00,rec_yds,47,,,,,
player,201611270cle,cle,CrowIs00,rec_td,0,,,,,
player,201611270cle,cle,CrowIs00,rec_long,13,,,,,
player,201611270cle,cle,CrowIs00,fumbles,1,,,,,
player,201611270cle,cle,CrowIs00,fumbles_lost,1,,,,,
player,201611270cle,cle,PryoTe00,pass_cmp,0,,,,,
player,201611270cle,cle,PryoTe00,pass_att,0,,,,,
player,201611270cle,cle,PryoTe00,pass_yds,0,,,,,
player,201611270cle,cle,PryoTe00,pass_td,0,,,,,
player,201611270cle,cle,PryoTe00,pass_int,0,,,,,
player,201611270cle,cle,PryoTe00,pass_sacked,0,,,,,
player,201611270cle,cle,PryoTe00,pass_sacked_yds,0,,,,,
player,201611270cle,cle,PryoTe00,pass_long,0,,,,,
player,201611270cle,cle,PryoTe00,pass_rating,,,,,,
player,201611270cle,cle,PryoTe00,rush_att,0,,,,,
player,201611270cle,cle,PryoTe00,rush_yds,0,,,,,
player,201611270cle,cle,PryoTe00,rush_td,0,,,,,
player,201611270cle,cle,PryoTe00,rush_long,0,,,,,
player,201611270cle,cle,PryoTe00,targets,12,,,,,
player,201611270cle,cle,PryoTe00,rec,6,,,,,
player,201611270cle,cle,PryoTe00,rec_yds,131,,,,,
player,201611270cle,cle,PryoTe00,rec_td,0,,,,,
player,201611270cle,cle,PryoTe00,rec_long,54,,,,,
player,201611270cle,cle,PryoTe00,fumbles,0,,,,,
player,201611270cle,cle,PryoTe00,fumbles_lost,0,,,,,
player,201611270cle,cle,DevaSe00,pass_cmp,0,,,,,
player,201611270cle,cle,DevaSe00,pass_att,0,,,,,
player,201611270cle,cle,DevaSe00,pass_yds,0,,,,,
player,201611270cle,cle,DevaSe00,pass_td,0,,,,,
player,201611270cle,cle,DevaSe00,pass_int,0,,,,,
player,201611270cle,cle,DevaSe00,pass_sacked,0,,,,,
player,201611270cle,cle,DevaSe00,pass_sacked_yds,0,,,,,
player,201611270cle,cle,DevaSe00,pass_long,0,,,,,
player,201611270cle,cle,DevaSe00,pass_rating,,,,,,
player,201611270cle,cle,DevaSe00,rush_att,0,,,,,
player,201611270cle,cle,DevaSe00,rush_yds,0,,,,,
player,201611270cle,cle,DevaSe00,rush_td,0,,,,,
player,201611270cle,cle,DevaSe00,rush_long,0,,,,,
player,201611270cle,cle,DevaSe00,targets,4,,,,,
player,201611270cle,cle,DevaSe00,rec,3,,,,,
player,201611270cle,cle,DevaSe00,rec_yds,39,,,,,
player,201611270cle,cle,DevaSe00,rec_td,0,,,,,
player,201611270cle,cle,DevaSe00,rec_long,21,,,,,
player,201611270cle,cle,DevaSe00,fumbles,0,,,,,
player,201611270cle,cle,DevaSe00,fumbles_lost,0,,,,,
player,201611270cle,cle,ColeCo00,pass_cmp,0,,,,,
player,201611270cle,cle,ColeCo00,pass_att,0,,,,,
player,201611270cle,cle,ColeCo00,pass_yds,0,,,,,
player,201611270cle,cle,ColeCo00,pass_td,0,,,,,
player,201611270cle,cle,ColeCo00,pass_int,0,,,,,
player,201611270cle,cle,ColeCo00,pass_sacked,0,,,,,
player,201611270cle,cle,ColeCo00,pass_sacked_yds,0,,,,,
player,201611270cle,cle,ColeCo00,pass_long,0,,,,,
player,201611270cle,cle,ColeCo00,pass_rating,,,,,,
player,201611270cle,cle,ColeCo00,rush_att,0,,,,,
player,201611270cle,cle,ColeCo00,rush_yds,0,,,,,
player,201611270cle,cle,ColeCo00,rush_td,0,,,,,
player,201611270cle,cle,ColeCo00,rush_long,0,,,,,
player,201611270cle,cle,ColeCo00,targets,7,,,,,
player,201611270cle,cle,ColeCo00,rec,3,,,,,
player,201611270cle,cle,ColeCo00,rec_yds,38,,,,,
player,201611270cle,cle,ColeCo00,rec_td,1,,,,,
player,201611270cle,cle,ColeCo00,rec_long,21,,,,,
player,201611270cle,cle,ColeCo00,fumbles,0,,,,,
player,201611270cle,cle,ColeCo00,fumbles_lost,0,,,,,
player,201611270cle,cle,HiggRa00,pass_cmp,0,,,,,
player,201611270cle,cle,HiggRa00,pass_att,0,,,,,
player,201611270cle,cle,HiggRa00,pass_yds,0,,,,,
player,201611270cle,cle,HiggRa00,pass_td,0,,,,,
player,201611270cle,cle,HiggRa00,pass_int,0,,,,,
player,201611270cle,cle,HiggRa00,pass_sacked,0,,,,,
player,201611270cle,cle,HiggRa00,pass_sacked_yds,0,,,,,
player,201611270cle,cle,HiggRa00,pass_long,0,,,,,
player,201611270cle,cle,HiggRa00,pass_rating,,,,,,
player,201611270cle,cle,HiggRa00,rush_att,0,,,,,
player,201611270cle,cle,HiggRa00,rush_yds,0,,,,,
player,201611270cle,cle,HiggRa00,rush_td,0,,,,,
player,201611270cle,cle,HiggRa00,rush_long,0,,,,,
player,201611270cle,cle,HiggRa00,targets,2,,,,,
player,201611270cle,cle,HiggRa00,rec,2,,,,,
player,201611270cle,cle,HiggRa00,rec_yds,34,,,,,
player,201611270cle,cle,HiggRa00,rec_td,0,,,,,
player,201611270cle,cle,HiggRa00,rec_long,19,,,,,
player,201611270cle,cle,HiggRa00,fumbles,0,,,,,
player,201611270cle,cle,HiggRa00,fumbles_lost,0,,,,,
player,201611270cle,cle,BarnGa01,pass_cmp,0,,,,,
player,201611270cle,cle,BarnGa01,pass_att,0,,,,,
player,201611270cle,cle,BarnGa01,pass_yds,0,,,,,
player,201611270cle,cle,BarnGa01,pass_td,0,,,,,
player,201611270cle,cle,BarnGa01,pass_int,0,,,,,
player,201611270cle,cle,BarnGa01,pass_sacked,0,,,,,
player,201611270cle,cle,BarnGa01,pass_sacked_yds,0,,,,,
player,201611270cle,cle,BarnGa01,pass_long,0,,,,,
player,201611270cle,cle,BarnGa01,pass_rating,,,,,,
player,201611270cle,cle,BarnGa01,rush_att,0,,,,,
player,201611270cle,cle,BarnGa01,rush_yds,0,,,,,
player,201611270cle,cle,BarnGa01,rush_td,0,,,,,
player,201611270cle,cle,BarnGa01,rush_long,0,,,,,
player,201611270cle,cle,BarnGa01,targets,3,,,,,
player,201611270cle,cle,BarnGa01,rec,1,,,,,
player,201611270cle,cle,BarnGa01,rec_yds,11,,,,,
player,201611270cle,cle,BarnGa01,rec_td,0,,,,,
player,201611270cle,cle,BarnGa01,rec_long,11,,,,,
player,201611270cle,cle,BarnGa01,fumbles,0,,,,,
player,201611270cle,cle,BarnGa01,fumbles_lost,0,,,,,
player,201611270cle,cle,HawkAn00,pass_cmp,0,,,,,
player,201611270cle,cle,HawkAn00,pass_att,0,,,,,
player,201611270cle,cle,HawkAn00,pass_yds,0,,,,,
player,201611270cle,cle,HawkAn00,pass_td,0,,,,,
player,201611270cle,cle,HawkAn00,pass_int,0,,,,,
player,201611270cle,cle,HawkAn00,pass_sacked,0,,,,,
player,201611270cle,cle,HawkAn00,pass_sacked_yds,0,,,,,
player,201611270cle,cle,HawkAn00,pass_long,0,,,,,
player,201611270cle,cle,HawkAn00,pass_rating,,,,,,
player,201611270cle,cle,HawkAn00,rush_att,0,,,,,
player,201611270cle,cle,HawkAn00,rush_yds,0,,,,,
player,201611270cle,cle,HawkAn00,rush_td,0,,,,,
player,201611270cle,cle,HawkAn00,rush_long,0,,,,,
player,201611270cle,cle,HawkAn00,targets,2,,,,,
player,201611270cle,cle,HawkAn00,rec,0,,,,,
player,201611270cle,cle,HawkAn00,rec_yds,0,,,,,
player,201611270cle,cle,HawkAn00,rec_td,0,,,,,
player,201611270cle,cle,HawkAn00,rec_long,0,,,,,
player,201611270cle,cle,HawkAn00,fumbles,0,,,,,
player,201611270cle,cle,HawkAn00,fumbles_lost,0,,,,,
player,201611270cle,cle,VitaDa00,pass_cmp,0,,,,,
player,201611270cle,cle,VitaDa00,pass_att,0,,,,,
player,201611270cle,cle,VitaDa00,pass_yds,0,,,,,
player,201611270cle,cle,VitaDa00,pass_td,0,,,,,
player,201611270cle,cle,VitaDa00,pass_int,0,,,,,
player,201611270cle,cle,VitaDa00,pass_sacked,0,,,,,
player,201611270cle,cle,VitaDa00,pass_sacked_yds,0,,,,,
player,201611270cle,cle,VitaDa00,pass_long,0,,,,,
player,201611270cle,cle,VitaDa00,pass_rating,,,,,,
player,201611270cle,cle,VitaDa00,rush_att,0,,,,,
player,201611270cle,cle,VitaDa00,rush_yds,0,,,,,
player,201611270cle,cle,VitaDa00,rush_td,0,,,,,
player,201611270cle,cle,VitaDa00,rush_long,0,,,,,
player,201611270cle,cle,VitaDa00,targets,1,,,,,
player,201611270cle,cle,VitaDa00,rec,1,,,,,
player,201611270cle,cle,VitaDa00,rec_yds,-4,,,,,
player,201611270cle,cle,VitaDa00,rec_td,0,,,,,
player,201611270cle,cle,VitaDa00,rec_long,-4,,,,,
player,201611270cle,cle,VitaDa00,fumbles,0,,,,,
player,201611270cle,cle,VitaDa00,fumbles_lost,0,,,,,
player,201611270cle,nyg,PierJa99,def_int,0,,,,,
player,201611270cle,nyg,PierJa99,def_int_yds,0,,,,,
player,201611270cle,nyg,PierJa99,def_int_td,0,,,,,
player,201611270cle,nyg,PierJa99,def_int_long,0,,,,,
player,201611270cle,nyg,PierJa99,pass_defended,0,,,,,
player,201611270cle,nyg,PierJa99,sacks,3.0,,,,,
player,201611270cle,nyg,PierJa99,tackles_combined,7,,,,,
player,201611270cle,nyg,PierJa99,tackles_solo,5,,,,,
player,201611270cle,nyg,PierJa99,tackles_assists,2,,,,,
player,201611270cle,nyg,PierJa99,tackles_loss,3,,,,,
player,201611270cle,nyg,PierJa99,qb_hits,2,,,,,
player,201611270cle,nyg,PierJa99,fumbles_rec,1,,,,,
player,201611270cle,nyg,PierJa99,fumbles_rec_yds,43,,,,,
player,201611270cle,nyg,PierJa99,fumbles_rec_td,1,,,,,
player,201611270cle,nyg,PierJa99,fumbles_forced,1,,,,,
player,201611270cle,nyg,VernOl00,def_int,0,,,,,
player,201611270cle,nyg,VernOl00,def_int_yds,0,,,,,
player,201611270cle,nyg,VernOl00,def_int_td,0,,,,,
player,201611270cle,nyg,VernOl00,def_int_long,0,,,,,
player,201611270cle,nyg,VernOl00,pass_defended,0,,,,,
player,201611270cle,nyg,VernOl00,sacks,2.0,,,,,
player,201611270cle,nyg,VernOl00,tackles_combined,4,,,,,
player,201611270cle,nyg,VernOl00,tackles_solo,4,,,,,
player,201611270cle,nyg,VernOl00,tackles_assists,0,,,,,
player,201611270cle,nyg,VernOl00,tackles_loss,3,,,,,
player,201611270cle,nyg,VernOl00,qb_hits,6,,,,,
player,201611270cle,nyg,VernOl00,fumbles_rec,0,,,,,
player,201611270cle,nyg,VernOl00,fumbles_rec_yds,0,,,,,
player,201611270cle,nyg,VernOl00,fumbles_rec_td,0,,,,,
player,201611270cle,nyg,VernOl00,fumbles_forced,0,,,,,
player,201611270cle,nyg,JenkJa03,def_int,0,,,,,
player,201611270cle,nyg,JenkJa03,def_int_yds,0,,,,,
player,201611270cle,nyg,JenkJa03,def_int_td,0,,,,,
player,201611270cle,nyg,JenkJa03,def_int_long,0,,,,,
player,201611270cle,nyg,JenkJa03,pass_defended,3,,,,,
player,201611270cle,nyg,JenkJa03,sacks,1.0,,,,,
player,201611270cle,nyg,JenkJa03,tackles_combined,5,,,,,
player,201611270cle,nyg,JenkJa03,tackles_solo,3,,,,,
player,201611270cle,nyg,JenkJa03,tackles_assists,2,,,,,
player,201611270cle,nyg,JenkJa03,tackles_loss,2,,,,,
player,201611270cle,nyg,JenkJa03,qb_hits,1,,,,,
player,201611270cle,nyg,JenkJa03,fumbles_rec,0,,,,,
player,201611270cle,nyg,JenkJa03,fumbles_rec_yds,0,,,,,
