game,2016,1,20160911,201609110clt,det,"Detroit Lions",39,clt,"Indianapolis Colts",35
player,201609110clt,det,RobeAn00,rush_att,0,,,,,
player,201609110clt,det,RobeAn00,rush_yds,0,,,,,
player,201609110clt,det,RobeAn00,rush_td,0,,,,,
player,201609110clt,det,RobeAn00,rush_long,0,,,,,
player,201609110clt,det,RobeAn00,targets,1,,,,,
player,201609110clt,det,RobeAn00,rec,1,,,,,
player,201609110clt,det,RobeAn00,rec_yds,8,,,,,
player,201609110clt,det,RobeAn00,rec_td,0,,,,,
player,201609110clt,det,RobeAn00,rec_long,8,,,,,
player,201609110clt,det,RobeAn00,fumbles,0,,,,,
player,201609110clt,det,RobeAn00,fumbles_lost,0,,,,,
player,201609110clt,det,WickCo00,pass_cmp,0,,,,,
player,201609110clt,det,WickCo00,pass_att,0,,,,,
player,201609110clt,det,WickCo00,pass_yds,0,,,,,
player,201609110clt,det,WickCo00,pass_td,0,,,,,
player,201609110clt,det,WickCo00,pass_int,0,,,,,
player,201609110clt,det,WickCo00,pass_sacked,0,,,,,
player,201609110clt,det,WickCo00,pass_sacked_yds,0,,,,,
player,201609110clt,det,WickCo00,pass_long,0,,,,,
player,201609110clt,det,WickCo00,pass_rating,,,,,,
player,201609110clt,det,WickCo00,rush_att,0,,,,,
player,201609110clt,det,WickCo00,rush_yds,0,,,,,
player,201609110clt,det,WickCo00,rush_td,0,,,,,
player,201609110clt,det,WickCo00,rush_long,0,,,,,
player,201609110clt,det,WickCo00,targets,1,,,,,
player,201609110clt,det,WickCo00,rec,1,,,,,
player,201609110clt,det,WickCo00,rec_yds,5,,,,,
player,201609110clt,det,WickCo00,rec_td,0,,,,,
player,201609110clt,det,WickCo00,rec_long,5,,,,,
player,201609110clt,det,WickCo00,fumbles,0,,,,,
player,201609110clt,det,WickCo00,fumbles_lost,0,,,,,
player,201609110clt,clt,LuckAn00,pass_cmp,31,,,,,
player,201609110clt,clt,LuckAn00,pass_att,47,,,,,
player,201609110clt,clt,LuckAn00,pass_yds,385,,,,,
player,201609110clt,clt,LuckAn00,pass_td,4,,,,,
player,201609110clt,clt,LuckAn00,pass_int,0,,,,,
player,201609110clt,clt,LuckAn00,pass_sacked,2,,,,,
player,201609110clt,clt,LuckAn00,pass_sacked_yds,17,,,,,
player,201609110clt,clt,LuckAn00,pass_long,51,,,,,
player,201609110clt,clt,LuckAn00,pass_rating,119.5,,,,,
player,201609110clt,clt,LuckAn00,rush_att,3,,,,,
player,201609110clt,clt,LuckAn00,rush_yds,21,,,,,
player,201609110clt,clt,LuckAn00,rush_td,0,,,,,
player,201609110clt,clt,LuckAn00,rush_long,11,,,,,
player,201609110clt,clt,LuckAn00,targets,0,,,,,
player,201609110clt,clt,LuckAn00,rec,0,,,,,
player,201609110clt,clt,LuckAn00,rec_yds,0,,,,,
player,201609110clt,clt,LuckAn00,rec_td,0,,,,,
player,201609110clt,clt,LuckAn00,rec_long,0,,,,,
player,201609110clt,clt,LuckAn00,fumbles,0,,,,,
player,201609110clt,clt,LuckAn00,fumbles_lost,0,,,,,
player,201609110clt,clt,GoreFr00,pass_cmp,0,,,,,
player,201609110clt,clt,GoreFr00,pass_att,0,,,,,
player,201609110clt,clt,GoreFr00,pass_yds,0,,,,,
player,201609110clt,clt,GoreFr00,pass_td,0,,,,,
player,201609110clt,clt,GoreFr00,pass_int,0,,,,,
player,201609110clt,clt,GoreFr00,pass_sacked,0,,,,,
player,201609110clt,clt,GoreFr00,pass_sacked_yds,0,,,,,
player,201609110clt,clt,GoreFr00,pass_long,0,,,,,
player,201609110clt,clt,GoreFr00,pass_rating,,,,,,
player,201609110clt,clt,GoreFr00,rush_att,14,,,,,
player,201609110clt,clt,GoreFr00,rush_yds,59,,,,,
player,201609110clt,clt,GoreFr00,rush_td,0,,,,,
player,201609110clt,clt,GoreFr00,rush_long,9,,,,,
player,201609110clt,clt,GoreFr00,targets,6,,,,,
player,201609110clt,clt,GoreFr00,rec,4,,,,,
player,201609110clt,clt,GoreFr00,rec_yds,19,,,,,
player,201609110clt,clt,GoreFr00,rec_td,0,,,,,
player,201609110clt,clt,GoreFr00,rec_long,8,,,,,
player,201609110clt,clt,GoreFr00,fumbles,0,,,,,
player,201609110clt,clt,GoreFr00,fumbles_lost,0,,,,,
player,201609110clt,clt,TurbRo00,pass_cmp,0,,,,,
player,201609110clt,clt,TurbRo00,pass_att,0,,,,,
player,201609110clt,clt,TurbRo00,pass_yds,0,,,,,
player,201609110clt,clt,TurbRo00,pass_td,0,,,,,
player,201609110clt,clt,TurbRo00,pass_int,0,,,,,
player,201609110clt,clt,TurbRo00,pass_sacked,0,,,,,
player,201609110clt,clt,TurbRo00,pass_sacked_yds,0,,,,,
player,201609110clt,clt,TurbRo00,pass_long,0,,,,,
player,201609110clt,clt,TurbRo00,pass_rating,,,,,,
player,201609110clt,clt,TurbRo00,rush_att,1,,,,,
player,201609110clt,clt,TurbRo00,rush_yds,4,,,,,
player,201609110clt,clt,TurbRo00,rush_td,0,,,,,
player,201609110clt,clt,TurbRo00,rush_long,4,,,,,
player,201609110clt,clt,TurbRo00,targets,2,,,,,
player,201609110clt,clt,TurbRo00,rec,2,,,,,
player,201609110clt,clt,TurbRo00,rec_yds,15,,,,,
player,201609110clt,clt,TurbRo00,rec_td,0,,,,,
player,201609110clt,clt,TurbRo00,rec_long,12,,,,,
player,201609110clt,clt,TurbRo00,fumbles,0,,,,,
player,201609110clt,clt,TurbRo00,fumbles_lost,0,,,,,
player,201609110clt,clt,DorsPh00,pass_cmp,0,,,,,
player,201609110clt,clt,DorsPh00,pass_att,0,,,,,
player,201609110clt,clt,DorsPh00,pass_yds,0,,,,,
player,201609110clt,clt,DorsPh00,pass_td,0,,,,,
player,201609110clt,clt,DorsPh00,pass_int,0,,,,,
player,201609110clt,clt,DorsPh00,pass_sacked,0,,,,,
player,201609110clt,clt,DorsPh00,pass_sacked_yds,0,,,,,
player,201609110clt,clt,DorsPh00,pass_long,0,,,,,
player,201609110clt,clt,DorsPh00,pass_rating,,,,,,
player,201609110clt,clt,DorsPh00,rush_att,0,,,,,
player,201609110clt,clt,DorsPh00,rush_yds,0,,,,,
player,201609110clt,clt,DorsPh00,rush_td,0,,,,,
player,201609110clt,clt,DorsPh00,rush_long,0,,,,,
player,201609110clt,clt,DorsPh00,targets,6,,,,,
player,201609110clt,clt,DorsPh00,rec,4,,,,,
player,201609110clt,clt,DorsPh00,rec_yds,94,,,,,
player,201609110clt,clt,DorsPh00,rec_td,0,,,,,
player,201609110clt,clt,DorsPh00,rec_long,51,,,,,
player,201609110clt,clt,DorsPh00,fumbles,0,,,,,
player,201609110clt,clt,DorsPh00,fumbles_lost,0,,,,,
player,201609110clt,clt,HiltT.00,pass_cmp,0,,,,,
player,201609110clt,clt,HiltT.00,pass_att,0,,,,,
player,201609110clt,clt,HiltT.00,pass_yds,0,,,,,
player,201609110clt,clt,HiltT.00,pass_td,0,,,,,
player,201609110clt,clt,HiltT.00,pass_int,0,,,,,
player,201609110clt,clt,HiltT.00,pass_sacked,0,,,,,
player,201609110clt,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201609110clt,clt,HiltT.00,pass_long,0,,,,,
player,201609110clt,clt,HiltT.00,pass_rating,,,,,,
player,201609110clt,clt,HiltT.00,rush_att,0,,,,,
player,201609110clt,clt,HiltT.00,rush_yds,0,,,,,
player,201609110clt,clt,HiltT.00,rush_td,0,,,,,
player,201609110clt,clt,HiltT.00,rush_long,0,,,,,
player,201609110clt,clt,HiltT.00,targets,12,,,,,
player,201609110clt,clt,HiltT.00,rec,6,,,,,
player,201609110clt,clt,HiltT.00,rec_yds,79,,,,,
player,201609110clt,clt,HiltT.00,rec_td,0,,,,,
player,201609110clt,clt,HiltT.00,rec_long,32,,,,,
player,201609110clt,clt,HiltT.00,fumbles,0,,,,,
player,201609110clt,clt,HiltT.00,fumbles_lost,0,,,,,
player,201609110clt,clt,MoncDo00,pass_cmp,0,,,,,
player,201609110clt,clt,MoncDo00,pass_att,0,,,,,
player,201609110clt,clt,MoncDo00,pass_yds,0,,,,,
player,201609110clt,clt,MoncDo00,pass_td,0,,,,,
player,201609110clt,clt,MoncDo00,pass_int,0,,,,,
player,201609110clt,clt,MoncDo00,pass_sacked,0,,,,,
player,201609110clt,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201609110clt,clt,MoncDo00,pass_long,0,,,,,
player,201609110clt,clt,MoncDo00,pass_rating,,,,,,
player,201609110clt,clt,MoncDo00,rush_att,0,,,,,
player,201609110clt,clt,MoncDo00,rush_yds,0,,,,,
player,201609110clt,clt,MoncDo00,rush_td,0,,,,,
player,201609110clt,clt,MoncDo00,rush_long,0,,,,,
player,201609110clt,clt,MoncDo00,targets,7,,,,,
player,201609110clt,clt,MoncDo00,rec,6,,,,,
player,201609110clt,clt,MoncDo00,rec_yds,64,,,,,
player,201609110clt,clt,MoncDo00,rec_td,1,,,,,
player,201609110clt,clt,MoncDo00,rec_long,32,,,,,
player,201609110clt,clt,MoncDo00,fumbles,0,,,,,
player,201609110clt,clt,MoncDo00,fumbles_lost,0,,,,,
player,201609110clt,clt,AlleDw00,pass_cmp,0,,,,,
player,201609110clt,clt,AlleDw00,pass_att,0,,,,,
player,201609110clt,clt,AlleDw00,pass_yds,0,,,,,
player,201609110clt,clt,AlleDw00,pass_td,0,,,,,
player,201609110clt,clt,AlleDw00,pass_int,0,,,,,
player,201609110clt,clt,AlleDw00,pass_sacked,0,,,,,
player,201609110clt,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201609110clt,clt,AlleDw00,pass_long,0,,,,,
player,201609110clt,clt,AlleDw00,pass_rating,,,,,,
player,201609110clt,clt,AlleDw00,rush_att,0,,,,,
player,201609110clt,clt,AlleDw00,rush_yds,0,,,,,
player,201609110clt,clt,AlleDw00,rush_td,0,,,,,
player,201609110clt,clt,AlleDw00,rush_long,0,,,,,
player,201609110clt,clt,AlleDw00,targets,6,,,,,
player,201609110clt,clt,AlleDw00,rec,4,,,,,
player,201609110clt,clt,AlleDw00,rec_yds,53,,,,,
player,201609110clt,clt,AlleDw00,rec_td,1,,,,,
player,201609110clt,clt,AlleDw00,rec_long,19,,,,,
player,201609110clt,clt,AlleDw00,fumbles,0,,,,,
player,201609110clt,clt,AlleDw00,fumbles_lost,0,,,,,
player,201609110clt,clt,DoylJa00,pass_cmp,0,,,,,
player,201609110clt,clt,DoylJa00,pass_att,0,,,,,
player,201609110clt,clt,DoylJa00,pass_yds,0,,,,,
player,201609110clt,clt,DoylJa00,pass_td,0,,,,,
player,201609110clt,clt,DoylJa00,pass_int,0,,,,,
player,201609110clt,clt,DoylJa00,pass_sacked,0,,,,,
player,201609110clt,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201609110clt,clt,DoylJa00,pass_long,0,,,,,
player,201609110clt,clt,DoylJa00,pass_rating,,,,,,
player,201609110clt,clt,DoylJa00,rush_att,0,,,,,
player,201609110clt,clt,DoylJa00,rush_yds,0,,,,,
player,201609110clt,clt,DoylJa00,rush_td,0,,,,,
player,201609110clt,clt,DoylJa00,rush_long,0,,,,,
player,201609110clt,clt,DoylJa00,targets,4,,,,,
player,201609110clt,clt,DoylJa00,rec,3,,,,,
player,201609110clt,clt,DoylJa00,rec_yds,35,,,,,
player,201609110clt,clt,DoylJa00,rec_td,2,,,,,
player,201609110clt,clt,DoylJa00,rec_long,16,,,,,
player,201609110clt,clt,DoylJa00,fumbles,0,,,,,
player,201609110clt,clt,DoylJa00,fumbles_lost,0,,,,,
player,201609110clt,clt,FergJo02,pass_cmp,0,,,,,
player,201609110clt,clt,FergJo02,pass_att,0,,,,,
player,201609110clt,clt,FergJo02,pass_yds,0,,,,,
player,201609110clt,clt,FergJo02,pass_td,0,,,,,
player,201609110clt,clt,FergJo02,pass_int,0,,,,,
player,201609110clt,clt,FergJo02,pass_sacked,0,,,,,
player,201609110clt,clt,FergJo02,pass_sacked_yds,0,,,,,
player,201609110clt,clt,FergJo02,pass_long,0,,,,,
player,201609110clt,clt,FergJo02,pass_rating,,,,,,
player,201609110clt,clt,FergJo02,rush_att,1,,,,,
player,201609110clt,clt,FergJo02,rush_yds,-2,,,,,
player,201609110clt,clt,FergJo02,rush_td,0,,,,,
player,201609110clt,clt,FergJo02,rush_long,-2,,,,,
player,201609110clt,clt,FergJo02,targets,2,,,,,
player,201609110clt,clt,FergJo02,rec,2,,,,,
player,201609110clt,clt,FergJo02,rec_yds,26,,,,,
player,201609110clt,clt,FergJo02,rec_td,0,,,,,
player,201609110clt,clt,FergJo02,rec_long,14,,,,,
player,201609110clt,clt,FergJo02,fumbles,0,,,,,
player,201609110clt,clt,FergJo02,fumbles_lost,0,,,,,
player,201609110clt,det,HydeKe01,def_int,0,,,,,
player,201609110clt,det,HydeKe01,def_int_yds,0,,,,,
player,201609110clt,det,HydeKe01,def_int_td,0,,,,,
player,201609110clt,det,HydeKe01,def_int_long,0,,,,,
player,201609110clt,det,HydeKe01,pass_defended,0,,,,,
player,201609110clt,det,HydeKe01,sacks,2.0,,,,,
player,201609110clt,det,HydeKe01,tackles_combined,3,,,,,
player,201609110clt,det,HydeKe01,tackles_solo,2,,,,,
player,201609110clt,det,HydeKe01,tackles_assists,1,,,,,
player,201609110clt,det,HydeKe01,tackles_loss,2,,,,,
player,201609110clt,det,HydeKe01,qb_hits,2,,,,,
player,201609110clt,det,HydeKe01,fumbles_rec,0,,,,,
player,201609110clt,det,HydeKe01,fumbles_rec_yds,0,,,,,
player,201609110clt,det,HydeKe01,fumbles_rec_td,0,,,,,
player,201609110clt,det,HydeKe01,fumbles_forced,0,,,,,
player,201609110clt,det,WhitTa00,def_int,0,,,,,
player,201609110clt,det,WhitTa00,def_int_yds,0,,,,,
player,201609110clt,det,WhitTa00,def_int_td,0,,,,,
player,201609110clt,det,WhitTa00,def_int_long,0,,,,,
player,201609110clt,det,WhitTa00,pass_defended,2,,,,,
player,201609110clt,det,WhitTa00,sacks,0.0,,,,,
player,201609110clt,det,WhitTa00,tackles_combined,10,,,,,
player,201609110clt,det,WhitTa00,tackles_solo,6,,,,,
player,201609110clt,det,WhitTa00,tackles_assists,4,,,,,
player,201609110clt,det,WhitTa00,tackles_loss,0,,,,,
player,201609110clt,det,WhitTa00,qb_hits,0,,,,,
player,201609110clt,det,WhitTa00,fumbles_rec,0,,,,,
player,201609110clt,det,WhitTa00,fumbles_rec_yds,0,,,,,
player,201609110clt,det,WhitTa00,fumbles_rec_td,0,,,,,
player,201609110clt,det,WhitTa00,fumbles_forced,0,,,,,
player,201609110clt,det,DiggQu00,def_int,0,,,,,
player,201609110clt,det,DiggQu00,def_int_yds,0,,,,,
player,201609110clt,det,DiggQu00,def_int_td,0,,,,,
player,201609110clt,det,DiggQu00,def_int_long,0,,,,,
player,201609110clt,det,DiggQu00,pass_defended,0,,,,,
player,201609110clt,det,DiggQu00,sacks,0.0,,,,,
player,201609110clt,det,DiggQu00,tackles_combined,6,,,,,
player,201609110clt,det,DiggQu00,tackles_solo,5,,,,,
player,201609110clt,det,DiggQu00,tackles_assists,1,,,,,
player,201609110clt,det,DiggQu00,tackles_loss,0,,,,,
player,201609110clt,det,DiggQu00,qb_hits,0,,,,,
player,201609110clt,det,DiggQu00,fumbles_rec,0,,,,,
player,201609110clt,det,DiggQu00,fumbles_rec_yds,0,,,,,
player,201609110clt,det,DiggQu00,fumbles_rec_td,0,,,,,
player,201609110clt,det,DiggQu00,fumbles_forced,0,,,,,
player,201609110clt,det,TaylDe00,def_int,0,,,,,
player,201609110clt,det,TaylDe00,def_int_yds,0,,,,,
player,201609110clt,det,TaylDe00,def_int_td,0,,,,,
player,201609110clt,det,TaylDe00,def_int_long,0,,,,,
player,201609110clt,det,TaylDe00,pass_defended,0,,,,,
player,201609110clt,det,TaylDe00,sacks,0.0,,,,,
player,201609110clt,det,TaylDe00,tackles_combined,6,,,,,
player,201609110clt,det,TaylDe00,tackles_solo,4,,,,,
player,201609110clt,det,TaylDe00,tackles_assists,2,,,,,
player,201609110clt,det,TaylDe00,tackles_loss,0,,,,,
player,201609110clt,det,TaylDe00,qb_hits,0,,,,,
player,201609110clt,det,TaylDe00,fumbles_rec,0,,,,,
player,201609110clt,det,TaylDe00,fumbles_rec_yds,0,,,,,
player,201609110clt,det,TaylDe00,fumbles_rec_td,0,,,,,
player,201609110clt,det,TaylDe00,fumbles_forced,0,,,,,
