game,2016,11,20161120,201611200sfo,nwe,"New England Patriots",30,sfo,"San Francisco 49ers",17
player,201611200sfo,nwe,BennMa00,rush_yds,0,,,,,
player,201611200sfo,nwe,BennMa00,rush_td,0,,,,,
player,201611200sfo,nwe,BennMa00,rush_long,0,,,,,
player,201611200sfo,nwe,BennMa00,targets,2,,,,,
player,201611200sfo,nwe,BennMa00,rec,1,,,,,
player,201611200sfo,nwe,BennMa00,rec_yds,14,,,,,
player,201611200sfo,nwe,BennMa00,rec_td,0,,,,,
player,201611200sfo,nwe,BennMa00,rec_long,14,,,,,
player,201611200sfo,nwe,BennMa00,fumbles,0,,,,,
player,201611200sfo,nwe,BennMa00,fumbles_lost,0,,,,,
player,201611200sfo,nwe,AmenDa00,pass_cmp,0,,,,,
player,201611200sfo,nwe,AmenDa00,pass_att,0,,,,,
player,201611200sfo,nwe,AmenDa00,pass_yds,0,,,,,
player,201611200sfo,nwe,AmenDa00,pass_td,0,,,,,
player,201611200sfo,nwe,AmenDa00,pass_int,0,,,,,
player,201611200sfo,nwe,AmenDa00,pass_sacked,0,,,,,
player,201611200sfo,nwe,AmenDa00,pass_sacked_yds,0,,,,,
player,201611200sfo,nwe,AmenDa00,pass_long,0,,,,,
player,201611200sfo,nwe,AmenDa00,pass_rating,,,,,,
player,201611200sfo,nwe,AmenDa00,rush_att,0,,,,,
player,201611200sfo,nwe,AmenDa00,rush_yds,0,,,,,
player,201611200sfo,nwe,AmenDa00,rush_td,0,,,,,
player,201611200sfo,nwe,AmenDa00,rush_long,0,,,,,
player,201611200sfo,nwe,AmenDa00,targets,3,,,,,
player,201611200sfo,nwe,AmenDa00,rec,2,,,,,
player,201611200sfo,nwe,AmenDa00,rec_yds,2,,,,,
player,201611200sfo,nwe,AmenDa00,rec_td,1,,,,,
player,201611200sfo,nwe,AmenDa00,rec_long,5,,,,,
player,201611200sfo,nwe,AmenDa00,fumbles,1,,,,,
player,201611200sfo,nwe,AmenDa00,fumbles_lost,0,,,,,
player,201611200sfo,sfo,KaepCo00,pass_cmp,16,,,,,
player,201611200sfo,sfo,KaepCo00,pass_att,30,,,,,
player,201611200sfo,sfo,KaepCo00,pass_yds,206,,,,,
player,201611200sfo,sfo,KaepCo00,pass_td,2,,,,,
player,201611200sfo,sfo,KaepCo00,pass_int,0,,,,,
player,201611200sfo,sfo,KaepCo00,pass_sacked,5,,,,,
player,201611200sfo,sfo,KaepCo00,pass_sacked_yds,29,,,,,
player,201611200sfo,sfo,KaepCo00,pass_long,26,,,,,
player,201611200sfo,sfo,KaepCo00,pass_rating,97.4,,,,,
player,201611200sfo,sfo,KaepCo00,rush_att,4,,,,,
player,201611200sfo,sfo,KaepCo00,rush_yds,32,,,,,
player,201611200sfo,sfo,KaepCo00,rush_td,0,,,,,
player,201611200sfo,sfo,KaepCo00,rush_long,17,,,,,
player,201611200sfo,sfo,KaepCo00,targets,0,,,,,
player,201611200sfo,sfo,KaepCo00,rec,0,,,,,
player,201611200sfo,sfo,KaepCo00,rec_yds,0,,,,,
player,201611200sfo,sfo,KaepCo00,rec_td,0,,,,,
player,201611200sfo,sfo,KaepCo00,rec_long,0,,,,,
player,201611200sfo,sfo,KaepCo00,fumbles,2,,,,,
player,201611200sfo,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201611200sfo,sfo,HydeCa00,pass_cmp,0,,,,,
player,201611200sfo,sfo,HydeCa00,pass_att,0,,,,,
player,201611200sfo,sfo,HydeCa00,pass_yds,0,,,,,
player,201611200sfo,sfo,HydeCa00,pass_td,0,,,,,
player,201611200sfo,sfo,HydeCa00,pass_int,0,,,,,
player,201611200sfo,sfo,HydeCa00,pass_sacked,0,,,,,
player,201611200sfo,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201611200sfo,sfo,HydeCa00,pass_long,0,,,,,
player,201611200sfo,sfo,HydeCa00,pass_rating,,,,,,
player,201611200sfo,sfo,HydeCa00,rush_att,19,,,,,
player,201611200sfo,sfo,HydeCa00,rush_yds,86,,,,,
player,201611200sfo,sfo,HydeCa00,rush_td,0,,,,,
player,201611200sfo,sfo,HydeCa00,rush_long,13,,,,,
player,201611200sfo,sfo,HydeCa00,targets,3,,,,,
player,201611200sfo,sfo,HydeCa00,rec,3,,,,,
player,201611200sfo,sfo,HydeCa00,rec_yds,24,,,,,
player,201611200sfo,sfo,HydeCa00,rec_td,0,,,,,
player,201611200sfo,sfo,HydeCa00,rec_long,12,,,,,
player,201611200sfo,sfo,HydeCa00,fumbles,1,,,,,
player,201611200sfo,sfo,HydeCa00,fumbles_lost,0,,,,,
player,201611200sfo,sfo,HarrDu01,pass_cmp,0,,,,,
player,201611200sfo,sfo,HarrDu01,pass_att,0,,,,,
player,201611200sfo,sfo,HarrDu01,pass_yds,0,,,,,
player,201611200sfo,sfo,HarrDu01,pass_td,0,,,,,
player,201611200sfo,sfo,HarrDu01,pass_int,0,,,,,
player,201611200sfo,sfo,HarrDu01,pass_sacked,0,,,,,
player,201611200sfo,sfo,HarrDu01,pass_sacked_yds,0,,,,,
player,201611200sfo,sfo,HarrDu01,pass_long,0,,,,,
player,201611200sfo,sfo,HarrDu01,pass_rating,,,,,,
player,201611200sfo,sfo,HarrDu01,rush_att,4,,,,,
player,201611200sfo,sfo,HarrDu01,rush_yds,4,,,,,
player,201611200sfo,sfo,HarrDu01,rush_td,0,,,,,
player,201611200sfo,sfo,HarrDu01,rush_long,2,,,,,
player,201611200sfo,sfo,HarrDu01,targets,0,,,,,
player,201611200sfo,sfo,HarrDu01,rec,0,,,,,
player,201611200sfo,sfo,HarrDu01,rec_yds,0,,,,,
player,201611200sfo,sfo,HarrDu01,rec_td,0,,,,,
player,201611200sfo,sfo,HarrDu01,rec_long,0,,,,,
player,201611200sfo,sfo,HarrDu01,fumbles,0,,,,,
player,201611200sfo,sfo,HarrDu01,fumbles_lost,0,,,,,
player,201611200sfo,sfo,McDoVa00,pass_cmp,0,,,,,
player,201611200sfo,sfo,McDoVa00,pass_att,0,,,,,
player,201611200sfo,sfo,McDoVa00,pass_yds,0,,,,,
player,201611200sfo,sfo,McDoVa00,pass_td,0,,,,,
player,201611200sfo,sfo,McDoVa00,pass_int,0,,,,,
player,201611200sfo,sfo,McDoVa00,pass_sacked,0,,,,,
player,201611200sfo,sfo,McDoVa00,pass_sacked_yds,0,,,,,
player,201611200sfo,sfo,McDoVa00,pass_long,0,,,,,
player,201611200sfo,sfo,McDoVa00,pass_rating,,,,,,
player,201611200sfo,sfo,McDoVa00,rush_att,0,,,,,
player,201611200sfo,sfo,McDoVa00,rush_yds,0,,,,,
player,201611200sfo,sfo,McDoVa00,rush_td,0,,,,,
player,201611200sfo,sfo,McDoVa00,rush_long,0,,,,,
player,201611200sfo,sfo,McDoVa00,targets,6,,,,,
player,201611200sfo,sfo,McDoVa00,rec,3,,,,,
player,201611200sfo,sfo,McDoVa00,rec_yds,46,,,,,
player,201611200sfo,sfo,McDoVa00,rec_td,1,,,,,
player,201611200sfo,sfo,McDoVa00,rec_long,24,,,,,
player,201611200sfo,sfo,McDoVa00,fumbles,0,,,,,
player,201611200sfo,sfo,McDoVa00,fumbles_lost,0,,,,,
player,201611200sfo,sfo,DrauSh00,pass_cmp,0,,,,,
player,201611200sfo,sfo,DrauSh00,pass_att,0,,,,,
player,201611200sfo,sfo,DrauSh00,pass_yds,0,,,,,
player,201611200sfo,sfo,DrauSh00,pass_td,0,,,,,
player,201611200sfo,sfo,DrauSh00,pass_int,0,,,,,
player,201611200sfo,sfo,DrauSh00,pass_sacked,0,,,,,
player,201611200sfo,sfo,DrauSh00,pass_sacked_yds,0,,,,,
player,201611200sfo,sfo,DrauSh00,pass_long,0,,,,,
player,201611200sfo,sfo,DrauSh00,pass_rating,,,,,,
player,201611200sfo,sfo,DrauSh00,rush_att,0,,,,,
player,201611200sfo,sfo,DrauSh00,rush_yds,0,,,,,
player,201611200sfo,sfo,DrauSh00,rush_td,0,,,,,
player,201611200sfo,sfo,DrauSh00,rush_long,0,,,,,
player,201611200sfo,sfo,DrauSh00,targets,3,,,,,
player,201611200sfo,sfo,DrauSh00,rec,3,,,,,
player,201611200sfo,sfo,DrauSh00,rec_yds,43,,,,,
player,201611200sfo,sfo,DrauSh00,rec_td,1,,,,,
player,201611200sfo,sfo,DrauSh00,rec_long,26,,,,,
player,201611200sfo,sfo,DrauSh00,fumbles,0,,,,,
player,201611200sfo,sfo,DrauSh00,fumbles_lost,0,,,,,
player,201611200sfo,sfo,CeleGa00,pass_cmp,0,,,,,
player,201611200sfo,sfo,CeleGa00,pass_att,0,,,,,
player,201611200sfo,sfo,CeleGa00,pass_yds,0,,,,,
player,201611200sfo,sfo,CeleGa00,pass_td,0,,,,,
player,201611200sfo,sfo,CeleGa00,pass_int,0,,,,,
player,201611200sfo,sfo,CeleGa00,pass_sacked,0,,,,,
player,201611200sfo,sfo,CeleGa00,pass_sacked_yds,0,,,,,
player,201611200sfo,sfo,CeleGa00,pass_long,0,,,,,
player,201611200sfo,sfo,CeleGa00,pass_rating,,,,,,
player,201611200sfo,sfo,CeleGa00,rush_att,0,,,,,
player,201611200sfo,sfo,CeleGa00,rush_yds,0,,,,,
player,201611200sfo,sfo,CeleGa00,rush_td,0,,,,,
player,201611200sfo,sfo,CeleGa00,rush_long,0,,,,,
player,201611200sfo,sfo,CeleGa00,targets,3,,,,,
player,201611200sfo,sfo,CeleGa00,rec,3,,,,,
player,201611200sfo,sfo,CeleGa00,rec_yds,41,,,,,
player,201611200sfo,sfo,CeleGa00,rec_td,0,,,,,
player,201611200sfo,sfo,CeleGa00,rec_long,19,,,,,
player,201611200sfo,sfo,CeleGa00,fumbles,0,,,,,
player,201611200sfo,sfo,CeleGa00,fumbles_lost,0,,,,,
player,201611200sfo,sfo,HarpCh01,pass_cmp,0,,,,,
player,201611200sfo,sfo,HarpCh01,pass_att,0,,,,,
player,201611200sfo,sfo,HarpCh01,pass_yds,0,,,,,
player,201611200sfo,sfo,HarpCh01,pass_td,0,,,,,
player,201611200sfo,sfo,HarpCh01,pass_int,0,,,,,
player,201611200sfo,sfo,HarpCh01,pass_sacked,0,,,,,
player,201611200sfo,sfo,HarpCh01,pass_sacked_yds,0,,,,,
player,201611200sfo,sfo,HarpCh01,pass_long,0,,,,,
player,201611200sfo,sfo,HarpCh01,pass_rating,,,,,,
player,201611200sfo,sfo,HarpCh01,rush_att,0,,,,,
player,201611200sfo,sfo,HarpCh01,rush_yds,0,,,,,
player,201611200sfo,sfo,HarpCh01,rush_td,0,,,,,
player,201611200sfo,sfo,HarpCh01,rush_long,0,,,,,
player,201611200sfo,sfo,HarpCh01,targets,2,,,,,
player,201611200sfo,sfo,HarpCh01,rec,2,,,,,
player,201611200sfo,sfo,HarpCh01,rec_yds,35,,,,,
player,201611200sfo,sfo,HarpCh01,rec_td,0,,,,,
player,201611200sfo,sfo,HarpCh01,rec_long,19,,,,,
player,201611200sfo,sfo,HarpCh01,fumbles,0,,,,,
player,201611200sfo,sfo,HarpCh01,fumbles_lost,0,,,,,
player,201611200sfo,sfo,PattQu00,pass_cmp,0,,,,,
player,201611200sfo,sfo,PattQu00,pass_att,0,,,,,
player,201611200sfo,sfo,PattQu00,pass_yds,0,,,,,
player,201611200sfo,sfo,PattQu00,pass_td,0,,,,,
player,201611200sfo,sfo,PattQu00,pass_int,0,,,,,
player,201611200sfo,sfo,PattQu00,pass_sacked,0,,,,,
player,201611200sfo,sfo,PattQu00,pass_sacked_yds,0,,,,,
player,201611200sfo,sfo,PattQu00,pass_long,0,,,,,
player,201611200sfo,sfo,PattQu00,pass_rating,,,,,,
player,201611200sfo,sfo,PattQu00,rush_att,0,,,,,
player,201611200sfo,sfo,PattQu00,rush_yds,0,,,,,
player,201611200sfo,sfo,PattQu00,rush_td,0,,,,,
player,201611200sfo,sfo,PattQu00,rush_long,0,,,,,
player,201611200sfo,sfo,PattQu00,targets,5,,,,,
player,201611200sfo,sfo,PattQu00,rec,2,,,,,
player,201611200sfo,sfo,PattQu00,rec_yds,17,,,,,
player,201611200sfo,sfo,PattQu00,rec_td,0,,,,,
player,201611200sfo,sfo,PattQu00,rec_long,10,,,,,
player,201611200sfo,sfo,PattQu00,fumbles,0,,,,,
player,201611200sfo,sfo,PattQu00,fumbles_lost,0,,,,,
player,201611200sfo,sfo,KerlJe00,pass_cmp,0,,,,,
player,201611200sfo,sfo,KerlJe00,pass_att,0,,,,,
player,201611200sfo,sfo,KerlJe00,pass_yds,0,,,,,
player,201611200sfo,sfo,KerlJe00,pass_td,0,,,,,
player,201611200sfo,sfo,KerlJe00,pass_int,0,,,,,
player,201611200sfo,sfo,KerlJe00,pass_sacked,0,,,,,
player,201611200sfo,sfo,KerlJe00,pass_sacked_yds,0,,,,,
player,201611200sfo,sfo,KerlJe00,pass_long,0,,,,,
player,201611200sfo,sfo,KerlJe00,pass_rating,,,,,,
player,201611200sfo,sfo,KerlJe00,rush_att,0,,,,,
player,201611200sfo,sfo,KerlJe00,rush_yds,0,,,,,
player,201611200sfo,sfo,KerlJe00,rush_td,0,,,,,
player,201611200sfo,sfo,KerlJe00,rush_long,0,,,,,
player,201611200sfo,sfo,KerlJe00,targets,6,,,,,
player,201611200sfo,sfo,KerlJe00,rec,0,,,,,
player,201611200sfo,sfo,KerlJe00,rec_yds,0,,,,,
player,201611200sfo,sfo,KerlJe00,rec_td,0,,,,,
player,201611200sfo,sfo,KerlJe00,rec_long,0,,,,,
player,201611200sfo,sfo,KerlJe00,fumbles,1,,,,,
player,201611200sfo,sfo,KerlJe00,fumbles_lost,0,,,,,
player,201611200sfo,sfo,BurbAa00,pass_cmp,0,,,,,
player,201611200sfo,sfo,BurbAa00,pass_att,0,,,,,
player,201611200sfo,sfo,BurbAa00,pass_yds,0,,,,,
player,201611200sfo,sfo,BurbAa00,pass_td,0,,,,,
player,201611200sfo,sfo,BurbAa00,pass_int,0,,,,,
player,201611200sfo,sfo,BurbAa00,pass_sacked,0,,,,,
player,201611200sfo,sfo,BurbAa00,pass_sacked_yds,0,,,,,
player,201611200sfo,sfo,BurbAa00,pass_long,0,,,,,
player,201611200sfo,sfo,BurbAa00,pass_rating,,,,,,
player,201611200sfo,sfo,BurbAa00,rush_att,0,,,,,
player,201611200sfo,sfo,BurbAa00,rush_yds,0,,,,,
player,201611200sfo,sfo,BurbAa00,rush_td,0,,,,,
player,201611200sfo,sfo,BurbAa00,rush_long,0,,,,,
player,201611200sfo,sfo,BurbAa00,targets,1,,,,,
player,201611200sfo,sfo,BurbAa00,rec,0,,,,,
player,201611200sfo,sfo,BurbAa00,rec_yds,0,,,,,
player,201611200sfo,sfo,BurbAa00,rec_td,0,,,,,
player,201611200sfo,sfo,BurbAa00,rec_long,0,,,,,
player,201611200sfo,sfo,BurbAa00,fumbles,0,,,,,
player,201611200sfo,sfo,BurbAa00,fumbles_lost,0,,,,,
player,201611200sfo,sfo,StreRo00,pass_cmp,0,,,,,
player,201611200sfo,sfo,StreRo00,pass_att,0,,,,,
player,201611200sfo,sfo,StreRo00,pass_yds,0,,,,,
player,201611200sfo,sfo,StreRo00,pass_td,0,,,,,
player,201611200sfo,sfo,StreRo00,pass_int,0,,,,,
player,201611200sfo,sfo,StreRo00,pass_sacked,0,,,,,
player,201611200sfo,sfo,StreRo00,pass_sacked_yds,0,,,,,
player,201611200sfo,sfo,StreRo00,pass_long,0,,,,,
player,201611200sfo,sfo,StreRo00,pass_rating,,,,,,
player,201611200sfo,sfo,StreRo00,rush_att,0,,,,,
player,201611200sfo,sfo,StreRo00,rush_yds,0,,,,,
player,201611200sfo,sfo,StreRo00,rush_td,0,,,,,
player,201611200sfo,sfo,StreRo00,rush_long,0,,,,,
player,201611200sfo,sfo,StreRo00,targets,1,,,,,
player,201611200sfo,sfo,StreRo00,rec,0,,,,,
player,201611200sfo,sfo,StreRo00,rec_yds,0,,,,,
player,201611200sfo,sfo,StreRo00,rec_td,0,,,,,
player,201611200sfo,sfo,StreRo00,rec_long,0,,,,,
player,201611200sfo,sfo,StreRo00,fumbles,0,,,,,
player,201611200sfo,sfo,StreRo00,fumbles_lost,0,,,,,
player,201611200sfo,nwe,ChunPa99,def_int,0,,,,,
player,201611200sfo,nwe,ChunPa99,def_int_yds,0,,,,,
player,201611200sfo,nwe,ChunPa99,def_int_td,0,,,,,
player,201611200sfo,nwe,ChunPa99,def_int_long,0,,,,,
player,201611200sfo,nwe,ChunPa99,pass_defended,0,,,,,
player,201611200sfo,nwe,ChunPa99,sacks,1.0,,,,,
player,201611200sfo,nwe,ChunPa99,tackles_combined,9,,,,,
player,201611200sfo,nwe,ChunPa99,tackles_solo,7,,,,,
player,201611200sfo,nwe,ChunPa99,tackles_assists,2,,,,,
player,201611200sfo,nwe,ChunPa99,tackles_loss,1,,,,,
player,201611200sfo,nwe,ChunPa99,qb_hits,1,,,,,
player,201611200sfo,nwe,ChunPa99,fumbles_rec,0,,,,,
player,201611200sfo,nwe,ChunPa99,fumbles_rec_yds,0,,,,,
player,201611200sfo,nwe,ChunPa99,fumbles_rec_td,0,,,,,
player,201611200sfo,nwe,ChunPa99,fumbles_forced,0,,,,,
player,201611200sfo,nwe,HighDo01,def_int,0,,,,,
player,201611200sfo,nwe,HighDo01,def_int_yds,0,,,,,
player,201611200sfo,nwe,HighDo01,def_int_td,0,,,,,
player,201611200sfo,nwe,HighDo01,def_int_long,0,,,,,
player,201611200sfo,nwe,HighDo01,pass_defended,0,,,,,
player,201611200sfo,nwe,HighDo01,sacks,1.0,,,,,
player,201611200sfo,nwe,HighDo01,tackles_combined,6,,,,,
player,201611200sfo,nwe,HighDo01,tackles_solo,5,,,,,
player,201611200sfo,nwe,HighDo01,tackles_assists,1,,,,,
