game,2016,3,20160925,201609250phi,pit,"Pittsburgh Steelers",3,phi,"Philadelphia Eagles",34
player,201609250phi,phi,SmalWe00,rec,0,,,,,
player,201609250phi,phi,SmalWe00,rec_yds,0,,,,,
player,201609250phi,phi,SmalWe00,rec_td,0,,,,,
player,201609250phi,phi,SmalWe00,rec_long,0,,,,,
player,201609250phi,phi,SmalWe00,fumbles,0,,,,,
player,201609250phi,phi,SmalWe00,fumbles_lost,0,,,,,
player,201609250phi,phi,BarnKe00,pass_cmp,0,,,,,
player,201609250phi,phi,BarnKe00,pass_att,0,,,,,
player,201609250phi,phi,BarnKe00,pass_yds,0,,,,,
player,201609250phi,phi,BarnKe00,pass_td,0,,,,,
player,201609250phi,phi,BarnKe00,pass_int,0,,,,,
player,201609250phi,phi,BarnKe00,pass_sacked,0,,,,,
player,201609250phi,phi,BarnKe00,pass_sacked_yds,0,,,,,
player,201609250phi,phi,BarnKe00,pass_long,0,,,,,
player,201609250phi,phi,BarnKe00,pass_rating,,,,,,
player,201609250phi,phi,BarnKe00,rush_att,8,,,,,
player,201609250phi,phi,BarnKe00,rush_yds,42,,,,,
player,201609250phi,phi,BarnKe00,rush_td,1,,,,,
player,201609250phi,phi,BarnKe00,rush_long,14,,,,,
player,201609250phi,phi,BarnKe00,targets,0,,,,,
player,201609250phi,phi,BarnKe00,rec,0,,,,,
player,201609250phi,phi,BarnKe00,rec_yds,0,,,,,
player,201609250phi,phi,BarnKe00,rec_td,0,,,,,
player,201609250phi,phi,BarnKe00,rec_long,0,,,,,
player,201609250phi,phi,BarnKe00,fumbles,0,,,,,
player,201609250phi,phi,BarnKe00,fumbles_lost,0,,,,,
player,201609250phi,phi,CeleBr00,pass_cmp,0,,,,,
player,201609250phi,phi,CeleBr00,pass_att,0,,,,,
player,201609250phi,phi,CeleBr00,pass_yds,0,,,,,
player,201609250phi,phi,CeleBr00,pass_td,0,,,,,
player,201609250phi,phi,CeleBr00,pass_int,0,,,,,
player,201609250phi,phi,CeleBr00,pass_sacked,0,,,,,
player,201609250phi,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201609250phi,phi,CeleBr00,pass_long,0,,,,,
player,201609250phi,phi,CeleBr00,pass_rating,,,,,,
player,201609250phi,phi,CeleBr00,rush_att,0,,,,,
player,201609250phi,phi,CeleBr00,rush_yds,0,,,,,
player,201609250phi,phi,CeleBr00,rush_td,0,,,,,
player,201609250phi,phi,CeleBr00,rush_long,0,,,,,
player,201609250phi,phi,CeleBr00,targets,4,,,,,
player,201609250phi,phi,CeleBr00,rec,3,,,,,
player,201609250phi,phi,CeleBr00,rec_yds,61,,,,,
player,201609250phi,phi,CeleBr00,rec_td,0,,,,,
player,201609250phi,phi,CeleBr00,rec_long,24,,,,,
player,201609250phi,phi,CeleBr00,fumbles,0,,,,,
player,201609250phi,phi,CeleBr00,fumbles_lost,0,,,,,
