game,2019,7,20191020,201910200oti,sdg,"Los Angeles Chargers",20,oti,"Tennessee Titans",23
player,201910200oti,sdg,GordMe00,fumbles,2,,,,,
player,201910200oti,sdg,GordMe00,fumbles_lost,1,,,,,
player,201910200oti,sdg,EkelAu00,pass_cmp,0,,,,,
player,201910200oti,sdg,EkelAu00,pass_att,0,,,,,
player,201910200oti,sdg,EkelAu00,pass_yds,0,,,,,
player,201910200oti,sdg,EkelAu00,pass_td,0,,,,,
player,201910200oti,sdg,EkelAu00,pass_int,0,,,,,
player,201910200oti,sdg,EkelAu00,pass_sacked,0,,,,,
player,201910200oti,sdg,EkelAu00,pass_sacked_yds,0,,,,,
player,201910200oti,sdg,EkelAu00,pass_long,0,,,,,
player,201910200oti,sdg,EkelAu00,pass_rating,,,,,,
player,201910200oti,sdg,EkelAu00,rush_att,5,,,,,
player,201910200oti,sdg,EkelAu00,rush_yds,7,,,,,
player,201910200oti,sdg,EkelAu00,rush_td,0,,,,,
player,201910200oti,sdg,EkelAu00,rush_long,3,,,,,
player,201910200oti,sdg,EkelAu00,targets,8,,,,,
player,201910200oti,sdg,EkelAu00,rec,7,,,,,
player,201910200oti,sdg,EkelAu00,rec_yds,118,,,,,
player,201910200oti,sdg,EkelAu00,rec_td,1,,,,,
player,201910200oti,sdg,EkelAu00,rec_long,41,,,,,
player,201910200oti,sdg,EkelAu00,fumbles,0,,,,,
player,201910200oti,sdg,EkelAu00,fumbles_lost,0,,,,,
player,201910200oti,sdg,HenrHu00,pass_cmp,0,,,,,
player,201910200oti,sdg,HenrHu00,pass_att,0,,,,,
player,201910200oti,sdg,HenrHu00,pass_yds,0,,,,,
player,201910200oti,sdg,HenrHu00,pass_td,0,,,,,
player,201910200oti,sdg,HenrHu00,pass_int,0,,,,,
player,201910200oti,sdg,HenrHu00,pass_sacked,0,,,,,
player,201910200oti,sdg,HenrHu00,pass_sacked_yds,0,,,,,
player,201910200oti,sdg,HenrHu00,pass_long,0,,,,,
player,201910200oti,sdg,HenrHu00,pass_rating,,,,,,
player,201910200oti,sdg,HenrHu00,rush_att,0,,,,,
player,201910200oti,sdg,HenrHu00,rush_yds,0,,,,,
player,201910200oti,sdg,HenrHu00,rush_td,0,,,,,
player,201910200oti,sdg,HenrHu00,rush_long,0,,,,,
player,201910200oti,sdg,HenrHu00,targets,8,,,,,
player,201910200oti,sdg,HenrHu00,rec,6,,,,,
player,201910200oti,sdg,HenrHu00,rec_yds,97,,,,,
player,201910200oti,sdg,HenrHu00,rec_td,0,,,,,
player,201910200oti,sdg,HenrHu00,rec_long,23,,,,,
player,201910200oti,sdg,HenrHu00,fumbles,0,,,,,
player,201910200oti,sdg,HenrHu00,fumbles_lost,0,,,,,
player,201910200oti,sdg,AlleKe00,pass_cmp,0,,,,,
player,201910200oti,sdg,AlleKe00,pass_att,0,,,,,
player,201910200oti,sdg,AlleKe00,pass_yds,0,,,,,
player,201910200oti,sdg,AlleKe00,pass_td,0,,,,,
player,201910200oti,sdg,AlleKe00,pass_int,0,,,,,
player,201910200oti,sdg,AlleKe00,pass_sacked,0,,,,,
player,201910200oti,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201910200oti,sdg,AlleKe00,pass_long,0,,,,,
player,201910200oti,sdg,AlleKe00,pass_rating,,,,,,
player,201910200oti,sdg,AlleKe00,rush_att,0,,,,,
player,201910200oti,sdg,AlleKe00,rush_yds,0,,,,,
player,201910200oti,sdg,AlleKe00,rush_td,0,,,,,
player,201910200oti,sdg,AlleKe00,rush_long,0,,,,,
player,201910200oti,sdg,AlleKe00,targets,11,,,,,
player,201910200oti,sdg,AlleKe00,rec,4,,,,,
player,201910200oti,sdg,AlleKe00,rec_yds,61,,,,,
player,201910200oti,sdg,AlleKe00,rec_td,0,,,,,
player,201910200oti,sdg,AlleKe00,rec_long,17,,,,,
player,201910200oti,sdg,AlleKe00,fumbles,0,,,,,
player,201910200oti,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201910200oti,sdg,WillMi07,pass_cmp,0,,,,,
player,201910200oti,sdg,WillMi07,pass_att,0,,,,,
player,201910200oti,sdg,WillMi07,pass_yds,0,,,,,
player,201910200oti,sdg,WillMi07,pass_td,0,,,,,
player,201910200oti,sdg,WillMi07,pass_int,0,,,,,
player,201910200oti,sdg,WillMi07,pass_sacked,0,,,,,
player,201910200oti,sdg,WillMi07,pass_sacked_yds,0,,,,,
player,201910200oti,sdg,WillMi07,pass_long,0,,,,,
player,201910200oti,sdg,WillMi07,pass_rating,,,,,,
player,201910200oti,sdg,WillMi07,rush_att,0,,,,,
player,201910200oti,sdg,WillMi07,rush_yds,0,,,,,
player,201910200oti,sdg,WillMi07,rush_td,0,,,,,
player,201910200oti,sdg,WillMi07,rush_long,0,,,,,
player,201910200oti,sdg,WillMi07,targets,6,,,,,
player,201910200oti,sdg,WillMi07,rec,4,,,,,
player,201910200oti,sdg,WillMi07,rec_yds,47,,,,,
player,201910200oti,sdg,WillMi07,rec_td,0,,,,,
player,201910200oti,sdg,WillMi07,rec_long,21,,,,,
player,201910200oti,sdg,WillMi07,fumbles,0,,,,,
player,201910200oti,sdg,WillMi07,fumbles_lost,0,,,,,
player,201910200oti,sdg,GreeVi00,pass_cmp,0,,,,,
player,201910200oti,sdg,GreeVi00,pass_att,0,,,,,
player,201910200oti,sdg,GreeVi00,pass_yds,0,,,,,
player,201910200oti,sdg,GreeVi00,pass_td,0,,,,,
player,201910200oti,sdg,GreeVi00,pass_int,0,,,,,
player,201910200oti,sdg,GreeVi00,pass_sacked,0,,,,,
player,201910200oti,sdg,GreeVi00,pass_sacked_yds,0,,,,,
player,201910200oti,sdg,GreeVi00,pass_long,0,,,,,
player,201910200oti,sdg,GreeVi00,pass_rating,,,,,,
player,201910200oti,sdg,GreeVi00,rush_att,0,,,,,
player,201910200oti,sdg,GreeVi00,rush_yds,0,,,,,
player,201910200oti,sdg,GreeVi00,rush_td,0,,,,,
player,201910200oti,sdg,GreeVi00,rush_long,0,,,,,
player,201910200oti,sdg,GreeVi00,targets,1,,,,,
player,201910200oti,sdg,GreeVi00,rec,1,,,,,
player,201910200oti,sdg,GreeVi00,rec_yds,9,,,,,
player,201910200oti,sdg,GreeVi00,rec_td,0,,,,,
player,201910200oti,sdg,GreeVi00,rec_long,9,,,,,
player,201910200oti,sdg,GreeVi00,fumbles,0,,,,,
player,201910200oti,sdg,GreeVi00,fumbles_lost,0,,,,,
player,201910200oti,oti,TannRy00,pass_cmp,23,,,,,
player,201910200oti,oti,TannRy00,pass_att,29,,,,,
player,201910200oti,oti,TannRy00,pass_yds,312,,,,,
player,201910200oti,oti,TannRy00,pass_td,2,,,,,
player,201910200oti,oti,TannRy00,pass_int,1,,,,,
player,201910200oti,oti,TannRy00,pass_sacked,2,,,,,
player,201910200oti,oti,TannRy00,pass_sacked_yds,17,,,,,
player,201910200oti,oti,TannRy00,pass_long,38,,,,,
player,201910200oti,oti,TannRy00,pass_rating,120.1,,,,,
player,201910200oti,oti,TannRy00,rush_att,5,,,,,
player,201910200oti,oti,TannRy00,rush_yds,7,,,,,
player,201910200oti,oti,TannRy00,rush_td,0,,,,,
player,201910200oti,oti,TannRy00,rush_long,6,,,,,
player,201910200oti,oti,TannRy00,targets,0,,,,,
player,201910200oti,oti,TannRy00,rec,0,,,,,
player,201910200oti,oti,TannRy00,rec_yds,0,,,,,
player,201910200oti,oti,TannRy00,rec_td,0,,,,,
player,201910200oti,oti,TannRy00,rec_long,0,,,,,
player,201910200oti,oti,TannRy00,fumbles,2,,,,,
player,201910200oti,oti,TannRy00,fumbles_lost,0,,,,,
player,201910200oti,oti,KernBr20,pass_cmp,1,,,,,
player,201910200oti,oti,KernBr20,pass_att,1,,,,,
player,201910200oti,oti,KernBr20,pass_yds,11,,,,,
player,201910200oti,oti,KernBr20,pass_td,0,,,,,
player,201910200oti,oti,KernBr20,pass_int,0,,,,,
player,201910200oti,oti,KernBr20,pass_sacked,0,,,,,
player,201910200oti,oti,KernBr20,pass_sacked_yds,0,,,,,
player,201910200oti,oti,KernBr20,pass_long,11,,,,,
player,201910200oti,oti,KernBr20,pass_rating,112.5,,,,,
player,201910200oti,oti,KernBr20,rush_att,0,,,,,
player,201910200oti,oti,KernBr20,rush_yds,0,,,,,
player,201910200oti,oti,KernBr20,rush_td,0,,,,,
player,201910200oti,oti,KernBr20,rush_long,0,,,,,
player,201910200oti,oti,KernBr20,targets,0,,,,,
player,201910200oti,oti,KernBr20,rec,0,,,,,
player,201910200oti,oti,KernBr20,rec_yds,0,,,,,
player,201910200oti,oti,KernBr20,rec_td,0,,,,,
player,201910200oti,oti,KernBr20,rec_long,0,,,,,
player,201910200oti,oti,KernBr20,fumbles,0,,,,,
player,201910200oti,oti,KernBr20,fumbles_lost,0,,,,,
player,201910200oti,oti,HenrDe00,pass_cmp,0,,,,,
player,201910200oti,oti,HenrDe00,pass_att,0,,,,,
player,201910200oti,oti,HenrDe00,pass_yds,0,,,,,
player,201910200oti,oti,HenrDe00,pass_td,0,,,,,
player,201910200oti,oti,HenrDe00,pass_int,0,,,,,
player,201910200oti,oti,HenrDe00,pass_sacked,0,,,,,
player,201910200oti,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201910200oti,oti,HenrDe00,pass_long,0,,,,,
player,201910200oti,oti,HenrDe00,pass_rating,,,,,,
player,201910200oti,oti,HenrDe00,rush_att,22,,,,,
player,201910200oti,oti,HenrDe00,rush_yds,90,,,,,
player,201910200oti,oti,HenrDe00,rush_td,1,,,,,
player,201910200oti,oti,HenrDe00,rush_long,12,,,,,
player,201910200oti,oti,HenrDe00,targets,1,,,,,
player,201910200oti,oti,HenrDe00,rec,1,,,,,
player,201910200oti,oti,HenrDe00,rec_yds,18,,,,,
player,201910200oti,oti,HenrDe00,rec_td,0,,,,,
player,201910200oti,oti,HenrDe00,rec_long,18,,,,,
player,201910200oti,oti,HenrDe00,fumbles,0,,,,,
player,201910200oti,oti,HenrDe00,fumbles_lost,0,,,,,
player,201910200oti,oti,LewiDi00,pass_cmp,0,,,,,
player,201910200oti,oti,LewiDi00,pass_att,0,,,,,
player,201910200oti,oti,LewiDi00,pass_yds,0,,,,,
player,201910200oti,oti,LewiDi00,pass_td,0,,,,,
player,201910200oti,oti,LewiDi00,pass_int,0,,,,,
player,201910200oti,oti,LewiDi00,pass_sacked,0,,,,,
player,201910200oti,oti,LewiDi00,pass_sacked_yds,0,,,,,
player,201910200oti,oti,LewiDi00,pass_long,0,,,,,
player,201910200oti,oti,LewiDi00,pass_rating,,,,,,
player,201910200oti,oti,LewiDi00,rush_att,1,,,,,
player,201910200oti,oti,LewiDi00,rush_yds,2,,,,,
player,201910200oti,oti,LewiDi00,rush_td,0,,,,,
player,201910200oti,oti,LewiDi00,rush_long,2,,,,,
player,201910200oti,oti,LewiDi00,targets,1,,,,,
player,201910200oti,oti,LewiDi00,rec,0,,,,,
player,201910200oti,oti,LewiDi00,rec_yds,0,,,,,
player,201910200oti,oti,LewiDi00,rec_td,0,,,,,
player,201910200oti,oti,LewiDi00,rec_long,0,,,,,
player,201910200oti,oti,LewiDi00,fumbles,0,,,,,
player,201910200oti,oti,LewiDi00,fumbles_lost,0,,,,,
player,201910200oti,oti,DaviCo03,pass_cmp,0,,,,,
player,201910200oti,oti,DaviCo03,pass_att,0,,,,,
player,201910200oti,oti,DaviCo03,pass_yds,0,,,,,
player,201910200oti,oti,DaviCo03,pass_td,0,,,,,
player,201910200oti,oti,DaviCo03,pass_int,0,,,,,
player,201910200oti,oti,DaviCo03,pass_sacked,0,,,,,
player,201910200oti,oti,DaviCo03,pass_sacked_yds,0,,,,,
player,201910200oti,oti,DaviCo03,pass_long,0,,,,,
player,201910200oti,oti,DaviCo03,pass_rating,,,,,,
player,201910200oti,oti,DaviCo03,rush_att,0,,,,,
player,201910200oti,oti,DaviCo03,rush_yds,0,,,,,
player,201910200oti,oti,DaviCo03,rush_td,0,,,,,
player,201910200oti,oti,DaviCo03,rush_long,0,,,,,
player,201910200oti,oti,DaviCo03,targets,7,,,,,
player,201910200oti,oti,DaviCo03,rec,6,,,,,
player,201910200oti,oti,DaviCo03,rec_yds,80,,,,,
player,201910200oti,oti,DaviCo03,rec_td,1,,,,,
player,201910200oti,oti,DaviCo03,rec_long,38,,,,,
player,201910200oti,oti,DaviCo03,fumbles,0,,,,,
player,201910200oti,oti,DaviCo03,fumbles_lost,0,,,,,
player,201910200oti,oti,SmitJo01,pass_cmp,0,,,,,
player,201910200oti,oti,SmitJo01,pass_att,0,,,,,
player,201910200oti,oti,SmitJo01,pass_yds,0,,,,,
player,201910200oti,oti,SmitJo01,pass_td,0,,,,,
player,201910200oti,oti,SmitJo01,pass_int,0,,,,,
player,201910200oti,oti,SmitJo01,pass_sacked,0,,,,,
player,201910200oti,oti,SmitJo01,pass_sacked_yds,0,,,,,
player,201910200oti,oti,SmitJo01,pass_long,0,,,,,
player,201910200oti,oti,SmitJo01,pass_rating,,,,,,
player,201910200oti,oti,SmitJo01,rush_att,0,,,,,
player,201910200oti,oti,SmitJo01,rush_yds,0,,,,,
player,201910200oti,oti,SmitJo01,rush_td,0,,,,,
player,201910200oti,oti,SmitJo01,rush_long,0,,,,,
player,201910200oti,oti,SmitJo01,targets,3,,,,,
player,201910200oti,oti,SmitJo01,rec,3,,,,,
player,201910200oti,oti,SmitJo01,rec_yds,64,,,,,
player,201910200oti,oti,SmitJo01,rec_td,0,,,,,
player,201910200oti,oti,SmitJo01,rec_long,35,,,,,
player,201910200oti,oti,SmitJo01,fumbles,0,,,,,
player,201910200oti,oti,SmitJo01,fumbles_lost,0,,,,,
player,201910200oti,oti,HumpAd00,pass_cmp,0,,,,,
player,201910200oti,oti,HumpAd00,pass_att,0,,,,,
player,201910200oti,oti,HumpAd00,pass_yds,0,,,,,
player,201910200oti,oti,HumpAd00,pass_td,0,,,,,
player,201910200oti,oti,HumpAd00,pass_int,0,,,,,
player,201910200oti,oti,HumpAd00,pass_sacked,0,,,,,
player,201910200oti,oti,HumpAd00,pass_sacked_yds,0,,,,,
player,201910200oti,oti,HumpAd00,pass_long,0,,,,,
player,201910200oti,oti,HumpAd00,pass_rating,,,,,,
player,201910200oti,oti,HumpAd00,rush_att,0,,,,,
player,201910200oti,oti,HumpAd00,rush_yds,0,,,,,
player,201910200oti,oti,HumpAd00,rush_td,0,,,,,
player,201910200oti,oti,HumpAd00,rush_long,0,,,,,
player,201910200oti,oti,HumpAd00,targets,4,,,,,
player,201910200oti,oti,HumpAd00,rec,4,,,,,
player,201910200oti,oti,HumpAd00,rec_yds,40,,,,,
player,201910200oti,oti,HumpAd00,rec_td,0,,,,,
player,201910200oti,oti,HumpAd00,rec_long,14,,,,,
player,201910200oti,oti,HumpAd00,fumbles,0,,,,,
player,201910200oti,oti,HumpAd00,fumbles_lost,0,,,,,
player,201910200oti,oti,FirkAn00,pass_cmp,0,,,,,
player,201910200oti,oti,FirkAn00,pass_att,0,,,,,
player,201910200oti,oti,FirkAn00,pass_yds,0,,,,,
player,201910200oti,oti,FirkAn00,pass_td,0,,,,,
player,201910200oti,oti,FirkAn00,pass_int,0,,,,,
player,201910200oti,oti,FirkAn00,pass_sacked,0,,,,,
player,201910200oti,oti,FirkAn00,pass_sacked_yds,0,,,,,
player,201910200oti,oti,FirkAn00,pass_long,0,,,,,
player,201910200oti,oti,FirkAn00,pass_rating,,,,,,
player,201910200oti,oti,FirkAn00,rush_att,0,,,,,
player,201910200oti,oti,FirkAn00,rush_yds,0,,,,,
player,201910200oti,oti,FirkAn00,rush_td,0,,,,,
player,201910200oti,oti,FirkAn00,rush_long,0,,,,,
player,201910200oti,oti,FirkAn00,targets,1,,,,,
player,201910200oti,oti,FirkAn00,rec,1,,,,,
player,201910200oti,oti,FirkAn00,rec_yds,27,,,,,
player,201910200oti,oti,FirkAn00,rec_td,0,,,,,
player,201910200oti,oti,FirkAn00,rec_long,27,,,,,
player,201910200oti,oti,FirkAn00,fumbles,0,,,,,
player,201910200oti,oti,FirkAn00,fumbles_lost,0,,,,,
player,201910200oti,oti,SharTa00,pass_cmp,0,,,,,
player,201910200oti,oti,SharTa00,pass_att,0,,,,,
player,201910200oti,oti,SharTa00,pass_yds,0,,,,,
player,201910200oti,oti,SharTa00,pass_td,0,,,,,
player,201910200oti,oti,SharTa00,pass_int,0,,,,,
player,201910200oti,oti,SharTa00,pass_sacked,0,,,,,
player,201910200oti,oti,SharTa00,pass_sacked_yds,0,,,,,
player,201910200oti,oti,SharTa00,pass_long,0,,,,,
player,201910200oti,oti,SharTa00,pass_rating,,,,,,
player,201910200oti,oti,SharTa00,rush_att,0,,,,,
player,201910200oti,oti,SharTa00,rush_yds,0,,,,,
player,201910200oti,oti,SharTa00,rush_td,0,,,,,
player,201910200oti,oti,SharTa00,rush_long,0,,,,,
player,201910200oti,oti,SharTa00,targets,3,,,,,
player,201910200oti,oti,SharTa00,rec,2,,,,,
player,201910200oti,oti,SharTa00,rec_yds,19,,,,,
player,201910200oti,oti,SharTa00,rec_td,1,,,,,
player,201910200oti,oti,SharTa00,rec_long,14,,,,,
player,201910200oti,oti,SharTa00,fumbles,0,,,,,
player,201910200oti,oti,SharTa00,fumbles_lost,0,,,,,
player,201910200oti,oti,ByarKe01,pass_cmp,0,,,,,
player,201910200oti,oti,ByarKe01,pass_att,0,,,,,
player,201910200oti,oti,ByarKe01,pass_yds,0,,,,,
player,201910200oti,oti,ByarKe01,pass_td,0,,,,,
player,201910200oti,oti,ByarKe01,pass_int,0,,,,,
player,201910200oti,oti,ByarKe01,pass_sacked,0,,,,,
player,201910200oti,oti,ByarKe01,pass_sacked_yds,0,,,,,
player,201910200oti,oti,ByarKe01,pass_long,0,,,,,
player,201910200oti,oti,ByarKe01,pass_rating,,,,,,
player,201910200oti,oti,ByarKe01,rush_att,0,,,,,
player,201910200oti,oti,ByarKe01,rush_yds,0,,,,,
player,201910200oti,oti,ByarKe01,rush_td,0,,,,,
player,201910200oti,oti,ByarKe01,rush_long,0,,,,,
player,201910200oti,oti,ByarKe01,targets,1,,,,,
player,201910200oti,oti,ByarKe01,rec,1,,,,,
player,201910200oti,oti,ByarKe01,rec_yds,11,,,,,
player,201910200oti,oti,ByarKe01,rec_td,0,,,,,
player,201910200oti,oti,ByarKe01,rec_long,11,,,,,
player,201910200oti,oti,ByarKe01,fumbles,0,,,,,
player,201910200oti,oti,ByarKe01,fumbles_lost,0,,,,,
player,201910200oti,oti,BrowAJ00,pass_cmp,0,,,,,
player,201910200oti,oti,BrowAJ00,pass_att,0,,,,,
player,201910200oti,oti,BrowAJ00,pass_yds,0,,,,,
player,201910200oti,oti,BrowAJ00,pass_td,0,,,,,
player,201910200oti,oti,BrowAJ00,pass_int,0,,,,,
player,201910200oti,oti,BrowAJ00,pass_sacked,0,,,,,
player,201910200oti,oti,BrowAJ00,pass_sacked_yds,0,,,,,
player,201910200oti,oti,BrowAJ00,pass_long,0,,,,,
player,201910200oti,oti,BrowAJ00,pass_rating,,,,,,
player,201910200oti,oti,BrowAJ00,rush_att,1,,,,,
player,201910200oti,oti,BrowAJ00,rush_yds,-2,,,,,
player,201910200oti,oti,BrowAJ00,rush_td,0,,,,,
player,201910200oti,oti,BrowAJ00,rush_long,-2,,,,,
player,201910200oti,oti,BrowAJ00,targets,8,,,,,
player,201910200oti,oti,BrowAJ00,rec,6,,,,,
player,201910200oti,oti,BrowAJ00,rec_yds,64,,,,,
player,201910200oti,oti,BrowAJ00,rec_td,0,,,,,
player,201910200oti,oti,BrowAJ00,rec_long,16,,,,,
player,201910200oti,oti,BrowAJ00,fumbles,0,,,,,
player,201910200oti,oti,BrowAJ00,fumbles_lost,0,,,,,
player,201910200oti,sdg,TeamRo00,def_int,1,,,,,
player,201910200oti,sdg,TeamRo00,def_int_yds,3,,,,,
player,201910200oti,sdg,TeamRo00,def_int_td,0,,,,,
player,201910200oti,sdg,TeamRo00,def_int_long,3,,,,,
player,201910200oti,sdg,TeamRo00,pass_defended,1,,,,,
player,201910200oti,sdg,TeamRo00,sacks,0.0,,,,,
player,201910200oti,sdg,TeamRo00,tackles_combined,6,,,,,
player,201910200oti,sdg,TeamRo00,tackles_solo,6,,,,,
player,201910200oti,sdg,TeamRo00,tackles_assists,0,,,,,
player,201910200oti,sdg,TeamRo00,tackles_loss,1,,,,,
player,201910200oti,sdg,TeamRo00,qb_hits,0,,,,,
player,201910200oti,sdg,TeamRo00,fumbles_rec,0,,,,,
player,201910200oti,sdg,TeamRo00,fumbles_rec_yds,0,,,,,
player,201910200oti,sdg,TeamRo00,fumbles_rec_td,0,,,,,
player,201910200oti,sdg,TeamRo00,fumbles_forced,0,,,,,
player,201910200oti,sdg,BosaJo00,def_int,0,,,,,
player,201910200oti,sdg,BosaJo00,def_int_yds,0,,,,,
player,201910200oti,sdg,BosaJo00,def_int_td,0,,,,,
player,201910200oti,sdg,BosaJo00,def_int_long,0,,,,,
player,201910200oti,sdg,BosaJo00,pass_defended,0,,,,,
player,201910200oti,sdg,BosaJo00,sacks,2.0,,,,,
player,201910200oti,sdg,BosaJo00,tackles_combined,6,,,,,
player,201910200oti,sdg,BosaJo00,tackles_solo,4,,,,,
player,201910200oti,sdg,BosaJo00,tackles_assists,2,,,,,
player,201910200oti,sdg,BosaJo00,tackles_loss,1,,,,,
player,201910200oti,sdg,BosaJo00,qb_hits,3,,,,,
player,201910200oti,sdg,BosaJo00,fumbles_rec,0,,,,,
player,201910200oti,sdg,BosaJo00,fumbles_rec_yds,0,,,,,
player,201910200oti,sdg,BosaJo00,fumbles_rec_td,0,,,,,
player,201910200oti,sdg,BosaJo00,fumbles_forced,1,,,,,
player,201910200oti,sdg,PerrDe00,def_int,0,,,,,
player,201910200oti,sdg,PerrDe00,def_int_yds,0,,,,,
player,201910200oti,sdg,PerrDe00,def_int_td,0,,,,,
player,201910200oti,sdg,PerrDe00,def_int_long,0,,,,,
player,201910200oti,sdg,PerrDe00,pass_defended,0,,,,,
player,201910200oti,sdg,PerrDe00,sacks,0.0,,,,,
player,201910200oti,sdg,PerrDe00,tackles_combined,8,,,,,
player,201910200oti,sdg,PerrDe00,tackles_solo,6,,,,,
player,201910200oti,sdg,PerrDe00,tackles_assists,2,,,,,
player,201910200oti,sdg,PerrDe00,tackles_loss,1,,,,,
player,201910200oti,sdg,PerrDe00,qb_hits,0,,,,,
player,201910200oti,sdg,PerrDe00,fumbles_rec,0,,,,,
player,201910200oti,sdg,PerrDe00,fumbles_rec_yds,0,,,,,
player,201910200oti,sdg,PerrDe00,fumbles_rec_td,0,,,,,
player,201910200oti,sdg,PerrDe00,fumbles_forced,0,,,,,
player,201910200oti,sdg,DaviMi03,def_int,0,,,,,
player,201910200oti,sdg,DaviMi03,def_int_yds,0,,,,,
player,201910200oti,sdg,DaviMi03,def_int_td,0,,,,,
player,201910200oti,sdg,DaviMi03,def_int_long,0,,,,,
player,201910200oti,sdg,DaviMi03,pass_defended,1,,,,,
player,201910200oti,sdg,DaviMi03,sacks,0.0,,,,,
player,201910200oti,sdg,DaviMi03,tackles_combined,7,,,,,
player,201910200oti,sdg,DaviMi03,tackles_solo,4,,,,,
player,201910200oti,sdg,DaviMi03,tackles_assists,3,,,,,
player,201910200oti,sdg,DaviMi03,tackles_loss,0,,,,,
player,201910200oti,sdg,DaviMi03,qb_hits,0,,,,,
player,201910200oti,sdg,DaviMi03,fumbles_rec,0,,,,,
player,201910200oti,sdg,DaviMi03,fumbles_rec_yds,0,,,,,
player,201910200oti,sdg,DaviMi03,fumbles_rec_td,0,,,,,
player,201910200oti,sdg,DaviMi03,fumbles_forced,0,,,,,
player,201910200oti,sdg,DaviTh20,def_int,0,,,,,
player,201910200oti,sdg,DaviTh20,def_int_yds,0,,,,,
player,201910200oti,sdg,DaviTh20,def_int_td,0,,,,,
player,201910200oti,sdg,DaviTh20,def_int_long,0,,,,,
