game,2019,1,20190908,201909080car,ram,"Los Angeles Rams",30,car,"Carolina Panthers",27
player,201909080car,car,McCaCh01,targets,11,,,,,
player,201909080car,car,McCaCh01,rec,10,,,,,
player,201909080car,car,McCaCh01,rec_yds,81,,,,,
player,201909080car,car,McCaCh01,rec_td,0,,,,,
player,201909080car,car,McCaCh01,rec_long,17,,,,,
player,201909080car,car,McCaCh01,fumbles,0,,,,,
player,201909080car,car,McCaCh01,fumbles_lost,0,,,,,
player,201909080car,car,ArmaAl00,pass_cmp,0,,,,,
player,201909080car,car,ArmaAl00,pass_att,0,,,,,
player,201909080car,car,ArmaAl00,pass_yds,0,,,,,
player,201909080car,car,ArmaAl00,pass_td,0,,,,,
player,201909080car,car,ArmaAl00,pass_int,0,,,,,
player,201909080car,car,ArmaAl00,pass_sacked,0,,,,,
player,201909080car,car,ArmaAl00,pass_sacked_yds,0,,,,,
player,201909080car,car,ArmaAl00,pass_long,0,,,,,
player,201909080car,car,ArmaAl00,pass_rating,,,,,,
player,201909080car,car,ArmaAl00,rush_att,1,,,,,
player,201909080car,car,ArmaAl00,rush_yds,1,,,,,
player,201909080car,car,ArmaAl00,rush_td,1,,,,,
player,201909080car,car,ArmaAl00,rush_long,1,,,,,
player,201909080car,car,ArmaAl00,targets,0,,,,,
player,201909080car,car,ArmaAl00,rec,0,,,,,
player,201909080car,car,ArmaAl00,rec_yds,0,,,,,
player,201909080car,car,ArmaAl00,rec_td,0,,,,,
player,201909080car,car,ArmaAl00,rec_long,0,,,,,
player,201909080car,car,ArmaAl00,fumbles,0,,,,,
player,201909080car,car,ArmaAl00,fumbles_lost,0,,,,,
player,201909080car,car,MoorD.00,pass_cmp,0,,,,,
player,201909080car,car,MoorD.00,pass_att,0,,,,,
player,201909080car,car,MoorD.00,pass_yds,0,,,,,
player,201909080car,car,MoorD.00,pass_td,0,,,,,
player,201909080car,car,MoorD.00,pass_int,0,,,,,
player,201909080car,car,MoorD.00,pass_sacked,0,,,,,
player,201909080car,car,MoorD.00,pass_sacked_yds,0,,,,,
player,201909080car,car,MoorD.00,pass_long,0,,,,,
player,201909080car,car,MoorD.00,pass_rating,,,,,,
player,201909080car,car,MoorD.00,rush_att,0,,,,,
player,201909080car,car,MoorD.00,rush_yds,0,,,,,
player,201909080car,car,MoorD.00,rush_td,0,,,,,
player,201909080car,car,MoorD.00,rush_long,0,,,,,
player,201909080car,car,MoorD.00,targets,10,,,,,
player,201909080car,car,MoorD.00,rec,7,,,,,
player,201909080car,car,MoorD.00,rec_yds,76,,,,,
player,201909080car,car,MoorD.00,rec_td,0,,,,,
player,201909080car,car,MoorD.00,rec_long,15,,,,,
player,201909080car,car,MoorD.00,fumbles,1,,,,,
player,201909080car,car,MoorD.00,fumbles_lost,1,,,,,
player,201909080car,car,OlseGr00,pass_cmp,0,,,,,
player,201909080car,car,OlseGr00,pass_att,0,,,,,
player,201909080car,car,OlseGr00,pass_yds,0,,,,,
player,201909080car,car,OlseGr00,pass_td,0,,,,,
player,201909080car,car,OlseGr00,pass_int,0,,,,,
player,201909080car,car,OlseGr00,pass_sacked,0,,,,,
player,201909080car,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201909080car,car,OlseGr00,pass_long,0,,,,,
player,201909080car,car,OlseGr00,pass_rating,,,,,,
player,201909080car,car,OlseGr00,rush_att,0,,,,,
player,201909080car,car,OlseGr00,rush_yds,0,,,,,
player,201909080car,car,OlseGr00,rush_td,0,,,,,
player,201909080car,car,OlseGr00,rush_long,0,,,,,
player,201909080car,car,OlseGr00,targets,9,,,,,
player,201909080car,car,OlseGr00,rec,4,,,,,
player,201909080car,car,OlseGr00,rec_yds,36,,,,,
player,201909080car,car,OlseGr00,rec_td,0,,,,,
player,201909080car,car,OlseGr00,rec_long,14,,,,,
player,201909080car,car,OlseGr00,fumbles,0,,,,,
player,201909080car,car,OlseGr00,fumbles_lost,0,,,,,
player,201909080car,car,SamuCu00,pass_cmp,0,,,,,
player,201909080car,car,SamuCu00,pass_att,0,,,,,
player,201909080car,car,SamuCu00,pass_yds,0,,,,,
player,201909080car,car,SamuCu00,pass_td,0,,,,,
player,201909080car,car,SamuCu00,pass_int,0,,,,,
player,201909080car,car,SamuCu00,pass_sacked,0,,,,,
player,201909080car,car,SamuCu00,pass_sacked_yds,0,,,,,
player,201909080car,car,SamuCu00,pass_long,0,,,,,
player,201909080car,car,SamuCu00,pass_rating,,,,,,
player,201909080car,car,SamuCu00,rush_att,0,,,,,
player,201909080car,car,SamuCu00,rush_yds,0,,,,,
player,201909080car,car,SamuCu00,rush_td,0,,,,,
player,201909080car,car,SamuCu00,rush_long,0,,,,,
player,201909080car,car,SamuCu00,targets,4,,,,,
player,201909080car,car,SamuCu00,rec,3,,,,,
player,201909080car,car,SamuCu00,rec_yds,32,,,,,
player,201909080car,car,SamuCu00,rec_td,0,,,,,
player,201909080car,car,SamuCu00,rec_long,16,,,,,
player,201909080car,car,SamuCu00,fumbles,0,,,,,
player,201909080car,car,SamuCu00,fumbles_lost,0,,,,,
player,201909080car,car,WrigJa02,pass_cmp,0,,,,,
player,201909080car,car,WrigJa02,pass_att,0,,,,,
player,201909080car,car,WrigJa02,pass_yds,0,,,,,
player,201909080car,car,WrigJa02,pass_td,0,,,,,
player,201909080car,car,WrigJa02,pass_int,0,,,,,
player,201909080car,car,WrigJa02,pass_sacked,0,,,,,
player,201909080car,car,WrigJa02,pass_sacked_yds,0,,,,,
player,201909080car,car,WrigJa02,pass_long,0,,,,,
player,201909080car,car,WrigJa02,pass_rating,,,,,,
player,201909080car,car,WrigJa02,rush_att,0,,,,,
player,201909080car,car,WrigJa02,rush_yds,0,,,,,
player,201909080car,car,WrigJa02,rush_td,0,,,,,
player,201909080car,car,WrigJa02,rush_long,0,,,,,
player,201909080car,car,WrigJa02,targets,1,,,,,
player,201909080car,car,WrigJa02,rec,1,,,,,
player,201909080car,car,WrigJa02,rec_yds,14,,,,,
player,201909080car,car,WrigJa02,rec_td,0,,,,,
player,201909080car,car,WrigJa02,rec_long,14,,,,,
player,201909080car,car,WrigJa02,fumbles,0,,,,,
player,201909080car,car,WrigJa02,fumbles_lost,0,,,,,
player,201909080car,car,ThomIa00,pass_cmp,0,,,,,
player,201909080car,car,ThomIa00,pass_att,0,,,,,
player,201909080car,car,ThomIa00,pass_yds,0,,,,,
player,201909080car,car,ThomIa00,pass_td,0,,,,,
player,201909080car,car,ThomIa00,pass_int,0,,,,,
player,201909080car,car,ThomIa00,pass_sacked,0,,,,,
player,201909080car,car,ThomIa00,pass_sacked_yds,0,,,,,
player,201909080car,car,ThomIa00,pass_long,0,,,,,
player,201909080car,car,ThomIa00,pass_rating,,,,,,
player,201909080car,car,ThomIa00,rush_att,0,,,,,
player,201909080car,car,ThomIa00,rush_yds,0,,,,,
player,201909080car,car,ThomIa00,rush_td,0,,,,,
player,201909080car,car,ThomIa00,rush_long,0,,,,,
player,201909080car,car,ThomIa00,targets,1,,,,,
player,201909080car,car,ThomIa00,rec,0,,,,,
player,201909080car,car,ThomIa00,rec_yds,0,,,,,
player,201909080car,car,ThomIa00,rec_td,0,,,,,
player,201909080car,car,ThomIa00,rec_long,0,,,,,
player,201909080car,car,ThomIa00,fumbles,0,,,,,
player,201909080car,car,ThomIa00,fumbles_lost,0,,,,,
player,201909080car,car,HogaCh00,pass_cmp,0,,,,,
player,201909080car,car,HogaCh00,pass_att,0,,,,,
player,201909080car,car,HogaCh00,pass_yds,0,,,,,
player,201909080car,car,HogaCh00,pass_td,0,,,,,
player,201909080car,car,HogaCh00,pass_int,0,,,,,
player,201909080car,car,HogaCh00,pass_sacked,0,,,,,
player,201909080car,car,HogaCh00,pass_sacked_yds,0,,,,,
player,201909080car,car,HogaCh00,pass_long,0,,,,,
player,201909080car,car,HogaCh00,pass_rating,,,,,,
player,201909080car,car,HogaCh00,rush_att,0,,,,,
player,201909080car,car,HogaCh00,rush_yds,0,,,,,
player,201909080car,car,HogaCh00,rush_td,0,,,,,
player,201909080car,car,HogaCh00,rush_long,0,,,,,
player,201909080car,car,HogaCh00,targets,1,,,,,
player,201909080car,car,HogaCh00,rec,0,,,,,
player,201909080car,car,HogaCh00,rec_yds,0,,,,,
player,201909080car,car,HogaCh00,rec_td,0,,,,,
player,201909080car,car,HogaCh00,rec_long,0,,,,,
player,201909080car,car,HogaCh00,fumbles,0,,,,,
player,201909080car,car,HogaCh00,fumbles_lost,0,,,,,
player,201909080car,ram,LittCo01,def_int,1,,,,,
player,201909080car,ram,LittCo01,def_int_yds,26,,,,,
player,201909080car,ram,LittCo01,def_int_td,0,,,,,
player,201909080car,ram,LittCo01,def_int_long,26,,,,,
player,201909080car,ram,LittCo01,pass_defended,2,,,,,
player,201909080car,ram,LittCo01,sacks,0.0,,,,,
player,201909080car,ram,LittCo01,tackles_combined,14,,,,,
player,201909080car,ram,LittCo01,tackles_solo,8,,,,,
player,201909080car,ram,LittCo01,tackles_assists,6,,,,,
player,201909080car,ram,LittCo01,tackles_loss,0,,,,,
player,201909080car,ram,LittCo01,qb_hits,0,,,,,
player,201909080car,ram,LittCo01,fumbles_rec,1,,,,,
player,201909080car,ram,LittCo01,fumbles_rec_yds,3,,,,,
player,201909080car,ram,LittCo01,fumbles_rec_td,0,,,,,
player,201909080car,ram,LittCo01,fumbles_forced,1,,,,,
player,201909080car,ram,FowlDa00,def_int,0,,,,,
player,201909080car,ram,FowlDa00,def_int_yds,0,,,,,
player,201909080car,ram,FowlDa00,def_int_td,0,,,,,
player,201909080car,ram,FowlDa00,def_int_long,0,,,,,
player,201909080car,ram,FowlDa00,pass_defended,0,,,,,
player,201909080car,ram,FowlDa00,sacks,2.0,,,,,
player,201909080car,ram,FowlDa00,tackles_combined,2,,,,,
player,201909080car,ram,FowlDa00,tackles_solo,2,,,,,
player,201909080car,ram,FowlDa00,tackles_assists,0,,,,,
player,201909080car,ram,FowlDa00,tackles_loss,2,,,,,
player,201909080car,ram,FowlDa00,qb_hits,3,,,,,
player,201909080car,ram,FowlDa00,fumbles_rec,0,,,,,
player,201909080car,ram,FowlDa00,fumbles_rec_yds,0,,,,,
player,201909080car,ram,FowlDa00,fumbles_rec_td,0,,,,,
player,201909080car,ram,FowlDa00,fumbles_forced,0,,,,,
player,201909080car,ram,MattCl99,def_int,0,,,,,
player,201909080car,ram,MattCl99,def_int_yds,0,,,,,
player,201909080car,ram,MattCl99,def_int_td,0,,,,,
player,201909080car,ram,MattCl99,def_int_long,0,,,,,
player,201909080car,ram,MattCl99,pass_defended,0,,,,,
player,201909080car,ram,MattCl99,sacks,1.0,,,,,
player,201909080car,ram,MattCl99,tackles_combined,3,,,,,
player,201909080car,ram,MattCl99,tackles_solo,2,,,,,
player,201909080car,ram,MattCl99,tackles_assists,1,,,,,
player,201909080car,ram,MattCl99,tackles_loss,1,,,,,
player,201909080car,ram,MattCl99,qb_hits,1,,,,,
player,201909080car,ram,MattCl99,fumbles_rec,0,,,,,
player,201909080car,ram,MattCl99,fumbles_rec_yds,0,,,,,
player,201909080car,ram,MattCl99,fumbles_rec_td,0,,,,,
player,201909080car,ram,MattCl99,fumbles_forced,0,,,,,
player,201909080car,ram,JohnJo10,def_int,0,,,,,
player,201909080car,ram,JohnJo10,def_int_yds,0,,,,,
player,201909080car,ram,JohnJo10,def_int_td,0,,,,,
player,201909080car,ram,JohnJo10,def_int_long,0,,,,,
player,201909080car,ram,JohnJo10,pass_defended,0,,,,,
player,201909080car,ram,JohnJo10,sacks,0.0,,,,,
player,201909080car,ram,JohnJo10,tackles_combined,11,,,,,
player,201909080car,ram,JohnJo10,tackles_solo,6,,,,,
player,201909080car,ram,JohnJo10,tackles_assists,5,,,,,
player,201909080car,ram,JohnJo10,tackles_loss,1,,,,,
player,201909080car,ram,JohnJo10,qb_hits,0,,,,,
player,201909080car,ram,JohnJo10,fumbles_rec,0,,,,,
player,201909080car,ram,JohnJo10,fumbles_rec_yds,0,,,,,
player,201909080car,ram,JohnJo10,fumbles_rec_td,0,,,,,
player,201909080car,ram,JohnJo10,fumbles_forced,0,,,,,
player,201909080car,ram,RappTa00,def_int,0,,,,,
player,201909080car,ram,RappTa00,def_int_yds,0,,,,,
player,201909080car,ram,RappTa00,def_int_td,0,,,,,
player,201909080car,ram,RappTa00,def_int_long,0,,,,,
player,201909080car,ram,RappTa00,pass_defended,0,,,,,
player,201909080car,ram,RappTa00,sacks,0.0,,,,,
player,201909080car,ram,RappTa00,tackles_combined,7,,,,,
player,201909080car,ram,RappTa00,tackles_solo,3,,,,,
player,201909080car,ram,RappTa00,tackles_assists,4,,,,,
player,201909080car,ram,RappTa00,tackles_loss,0,,,,,
player,201909080car,ram,RappTa00,qb_hits,0,,,,,
player,201909080car,ram,RappTa00,fumbles_rec,0,,,,,
