game,2019,10,20191110,201911100gnb,car,"Carolina Panthers",16,gnb,"Green Bay Packers",24
player,201911100gnb,car,AlleKy00,rush_td,0,,,,,
player,201911100gnb,car,AlleKy00,rush_long,8,,,,,
player,201911100gnb,car,AlleKy00,targets,0,,,,,
player,201911100gnb,car,AlleKy00,rec,0,,,,,
player,201911100gnb,car,AlleKy00,rec_yds,0,,,,,
player,201911100gnb,car,AlleKy00,rec_td,0,,,,,
player,201911100gnb,car,AlleKy00,rec_long,0,,,,,
player,201911100gnb,car,AlleKy00,fumbles,1,,,,,
player,201911100gnb,car,AlleKy00,fumbles_lost,1,,,,,
player,201911100gnb,car,McCaCh01,pass_cmp,0,,,,,
player,201911100gnb,car,McCaCh01,pass_att,0,,,,,
player,201911100gnb,car,McCaCh01,pass_yds,0,,,,,
player,201911100gnb,car,McCaCh01,pass_td,0,,,,,
player,201911100gnb,car,McCaCh01,pass_int,0,,,,,
player,201911100gnb,car,McCaCh01,pass_sacked,0,,,,,
player,201911100gnb,car,McCaCh01,pass_sacked_yds,0,,,,,
player,201911100gnb,car,McCaCh01,pass_long,0,,,,,
player,201911100gnb,car,McCaCh01,pass_rating,,,,,,
player,201911100gnb,car,McCaCh01,rush_att,20,,,,,
player,201911100gnb,car,McCaCh01,rush_yds,108,,,,,
player,201911100gnb,car,McCaCh01,rush_td,1,,,,,
player,201911100gnb,car,McCaCh01,rush_long,18,,,,,
player,201911100gnb,car,McCaCh01,targets,7,,,,,
player,201911100gnb,car,McCaCh01,rec,6,,,,,
player,201911100gnb,car,McCaCh01,rec_yds,33,,,,,
player,201911100gnb,car,McCaCh01,rec_td,0,,,,,
player,201911100gnb,car,McCaCh01,rec_long,11,,,,,
player,201911100gnb,car,McCaCh01,fumbles,1,,,,,
player,201911100gnb,car,McCaCh01,fumbles_lost,0,,,,,
player,201911100gnb,car,MoorD.00,pass_cmp,0,,,,,
player,201911100gnb,car,MoorD.00,pass_att,0,,,,,
player,201911100gnb,car,MoorD.00,pass_yds,0,,,,,
player,201911100gnb,car,MoorD.00,pass_td,0,,,,,
player,201911100gnb,car,MoorD.00,pass_int,0,,,,,
player,201911100gnb,car,MoorD.00,pass_sacked,0,,,,,
player,201911100gnb,car,MoorD.00,pass_sacked_yds,0,,,,,
player,201911100gnb,car,MoorD.00,pass_long,0,,,,,
player,201911100gnb,car,MoorD.00,pass_rating,,,,,,
player,201911100gnb,car,MoorD.00,rush_att,0,,,,,
player,201911100gnb,car,MoorD.00,rush_yds,0,,,,,
player,201911100gnb,car,MoorD.00,rush_td,0,,,,,
player,201911100gnb,car,MoorD.00,rush_long,0,,,,,
player,201911100gnb,car,MoorD.00,targets,11,,,,,
player,201911100gnb,car,MoorD.00,rec,9,,,,,
player,201911100gnb,car,MoorD.00,rec_yds,120,,,,,
player,201911100gnb,car,MoorD.00,rec_td,0,,,,,
player,201911100gnb,car,MoorD.00,rec_long,38,,,,,
player,201911100gnb,car,MoorD.00,fumbles,0,,,,,
player,201911100gnb,car,MoorD.00,fumbles_lost,0,,,,,
player,201911100gnb,car,OlseGr00,pass_cmp,0,,,,,
player,201911100gnb,car,OlseGr00,pass_att,0,,,,,
player,201911100gnb,car,OlseGr00,pass_yds,0,,,,,
player,201911100gnb,car,OlseGr00,pass_td,0,,,,,
player,201911100gnb,car,OlseGr00,pass_int,0,,,,,
player,201911100gnb,car,OlseGr00,pass_sacked,0,,,,,
player,201911100gnb,car,OlseGr00,pass_sacked_yds,0,,,,,
player,201911100gnb,car,OlseGr00,pass_long,0,,,,,
player,201911100gnb,car,OlseGr00,pass_rating,,,,,,
player,201911100gnb,car,OlseGr00,rush_att,0,,,,,
player,201911100gnb,car,OlseGr00,rush_yds,0,,,,,
player,201911100gnb,car,OlseGr00,rush_td,0,,,,,
player,201911100gnb,car,OlseGr00,rush_long,0,,,,,
player,201911100gnb,car,OlseGr00,targets,10,,,,,
player,201911100gnb,car,OlseGr00,rec,8,,,,,
player,201911100gnb,car,OlseGr00,rec_yds,98,,,,,
player,201911100gnb,car,OlseGr00,rec_td,0,,,,,
player,201911100gnb,car,OlseGr00,rec_long,18,,,,,
player,201911100gnb,car,OlseGr00,fumbles,0,,,,,
player,201911100gnb,car,OlseGr00,fumbles_lost,0,,,,,
player,201911100gnb,car,SamuCu00,pass_cmp,0,,,,,
player,201911100gnb,car,SamuCu00,pass_att,0,,,,,
player,201911100gnb,car,SamuCu00,pass_yds,0,,,,,
player,201911100gnb,car,SamuCu00,pass_td,0,,,,,
player,201911100gnb,car,SamuCu00,pass_int,0,,,,,
player,201911100gnb,car,SamuCu00,pass_sacked,0,,,,,
player,201911100gnb,car,SamuCu00,pass_sacked_yds,0,,,,,
player,201911100gnb,car,SamuCu00,pass_long,0,,,,,
player,201911100gnb,car,SamuCu00,pass_rating,,,,,,
player,201911100gnb,car,SamuCu00,rush_att,0,,,,,
player,201911100gnb,car,SamuCu00,rush_yds,0,,,,,
player,201911100gnb,car,SamuCu00,rush_td,0,,,,,
player,201911100gnb,car,SamuCu00,rush_long,0,,,,,
player,201911100gnb,car,SamuCu00,targets,8,,,,,
player,201911100gnb,car,SamuCu00,rec,4,,,,,
player,201911100gnb,car,SamuCu00,rec_yds,35,,,,,
player,201911100gnb,car,SamuCu00,rec_td,1,,,,,
player,201911100gnb,car,SamuCu00,rec_long,15,,,,,
player,201911100gnb,car,SamuCu00,fumbles,0,,,,,
player,201911100gnb,car,SamuCu00,fumbles_lost,0,,,,,
player,201911100gnb,car,WrigJa02,pass_cmp,0,,,,,
player,201911100gnb,car,WrigJa02,pass_att,0,,,,,
player,201911100gnb,car,WrigJa02,pass_yds,0,,,,,
player,201911100gnb,car,WrigJa02,pass_td,0,,,,,
player,201911100gnb,car,WrigJa02,pass_int,0,,,,,
player,201911100gnb,car,WrigJa02,pass_sacked,0,,,,,
player,201911100gnb,car,WrigJa02,pass_sacked_yds,0,,,,,
player,201911100gnb,car,WrigJa02,pass_long,0,,,,,
player,201911100gnb,car,WrigJa02,pass_rating,,,,,,
player,201911100gnb,car,WrigJa02,rush_att,0,,,,,
player,201911100gnb,car,WrigJa02,rush_yds,0,,,,,
player,201911100gnb,car,WrigJa02,rush_td,0,,,,,
player,201911100gnb,car,WrigJa02,rush_long,0,,,,,
player,201911100gnb,car,WrigJa02,targets,2,,,,,
player,201911100gnb,car,WrigJa02,rec,1,,,,,
player,201911100gnb,car,WrigJa02,rec_yds,21,,,,,
player,201911100gnb,car,WrigJa02,rec_td,0,,,,,
player,201911100gnb,car,WrigJa02,rec_long,21,,,,,
player,201911100gnb,car,WrigJa02,fumbles,0,,,,,
player,201911100gnb,car,WrigJa02,fumbles_lost,0,,,,,
player,201911100gnb,gnb,RodgAa00,pass_cmp,17,,,,,
player,201911100gnb,gnb,RodgAa00,pass_att,29,,,,,
player,201911100gnb,gnb,RodgAa00,pass_yds,233,,,,,
player,201911100gnb,gnb,RodgAa00,pass_td,0,,,,,
player,201911100gnb,gnb,RodgAa00,pass_int,0,,,,,
player,201911100gnb,gnb,RodgAa00,pass_sacked,2,,,,,
player,201911100gnb,gnb,RodgAa00,pass_sacked_yds,8,,,,,
player,201911100gnb,gnb,RodgAa00,pass_long,48,,,,,
player,201911100gnb,gnb,RodgAa00,pass_rating,84.4,,,,,
player,201911100gnb,gnb,RodgAa00,rush_att,1,,,,,
player,201911100gnb,gnb,RodgAa00,rush_yds,7,,,,,
player,201911100gnb,gnb,RodgAa00,rush_td,0,,,,,
player,201911100gnb,gnb,RodgAa00,rush_long,7,,,,,
player,201911100gnb,gnb,RodgAa00,targets,0,,,,,
player,201911100gnb,gnb,RodgAa00,rec,0,,,,,
player,201911100gnb,gnb,RodgAa00,rec_yds,0,,,,,
player,201911100gnb,gnb,RodgAa00,rec_td,0,,,,,
player,201911100gnb,gnb,RodgAa00,rec_long,0,,,,,
player,201911100gnb,gnb,RodgAa00,fumbles,0,,,,,
player,201911100gnb,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201911100gnb,gnb,JoneAa00,pass_cmp,0,,,,,
player,201911100gnb,gnb,JoneAa00,pass_att,0,,,,,
player,201911100gnb,gnb,JoneAa00,pass_yds,0,,,,,
player,201911100gnb,gnb,JoneAa00,pass_td,0,,,,,
player,201911100gnb,gnb,JoneAa00,pass_int,0,,,,,
player,201911100gnb,gnb,JoneAa00,pass_sacked,0,,,,,
player,201911100gnb,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201911100gnb,gnb,JoneAa00,pass_long,0,,,,,
player,201911100gnb,gnb,JoneAa00,pass_rating,,,,,,
player,201911100gnb,gnb,JoneAa00,rush_att,13,,,,,
player,201911100gnb,gnb,JoneAa00,rush_yds,93,,,,,
player,201911100gnb,gnb,JoneAa00,rush_td,3,,,,,
player,201911100gnb,gnb,JoneAa00,rush_long,28,,,,,
player,201911100gnb,gnb,JoneAa00,targets,0,,,,,
player,201911100gnb,gnb,JoneAa00,rec,0,,,,,
player,201911100gnb,gnb,JoneAa00,rec_yds,0,,,,,
player,201911100gnb,gnb,JoneAa00,rec_td,0,,,,,
player,201911100gnb,gnb,JoneAa00,rec_long,0,,,,,
player,201911100gnb,gnb,JoneAa00,fumbles,0,,,,,
player,201911100gnb,gnb,JoneAa00,fumbles_lost,0,,,,,
player,201911100gnb,gnb,WillJa06,pass_cmp,0,,,,,
player,201911100gnb,gnb,WillJa06,pass_att,0,,,,,
player,201911100gnb,gnb,WillJa06,pass_yds,0,,,,,
player,201911100gnb,gnb,WillJa06,pass_td,0,,,,,
player,201911100gnb,gnb,WillJa06,pass_int,0,,,,,
player,201911100gnb,gnb,WillJa06,pass_sacked,0,,,,,
player,201911100gnb,gnb,WillJa06,pass_sacked_yds,0,,,,,
player,201911100gnb,gnb,WillJa06,pass_long,0,,,,,
player,201911100gnb,gnb,WillJa06,pass_rating,,,,,,
player,201911100gnb,gnb,WillJa06,rush_att,13,,,,,
player,201911100gnb,gnb,WillJa06,rush_yds,63,,,,,
player,201911100gnb,gnb,WillJa06,rush_td,0,,,,,
player,201911100gnb,gnb,WillJa06,rush_long,16,,,,,
player,201911100gnb,gnb,WillJa06,targets,1,,,,,
player,201911100gnb,gnb,WillJa06,rec,0,,,,,
player,201911100gnb,gnb,WillJa06,rec_yds,0,,,,,
player,201911100gnb,gnb,WillJa06,rec_td,0,,,,,
player,201911100gnb,gnb,WillJa06,rec_long,0,,,,,
player,201911100gnb,gnb,WillJa06,fumbles,0,,,,,
player,201911100gnb,gnb,WillJa06,fumbles_lost,0,,,,,
player,201911100gnb,gnb,AdamDa01,pass_cmp,0,,,,,
player,201911100gnb,gnb,AdamDa01,pass_att,0,,,,,
player,201911100gnb,gnb,AdamDa01,pass_yds,0,,,,,
player,201911100gnb,gnb,AdamDa01,pass_td,0,,,,,
player,201911100gnb,gnb,AdamDa01,pass_int,0,,,,,
player,201911100gnb,gnb,AdamDa01,pass_sacked,0,,,,,
player,201911100gnb,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201911100gnb,gnb,AdamDa01,pass_long,0,,,,,
player,201911100gnb,gnb,AdamDa01,pass_rating,,,,,,
player,201911100gnb,gnb,AdamDa01,rush_att,0,,,,,
player,201911100gnb,gnb,AdamDa01,rush_yds,0,,,,,
player,201911100gnb,gnb,AdamDa01,rush_td,0,,,,,
player,201911100gnb,gnb,AdamDa01,rush_long,0,,,,,
player,201911100gnb,gnb,AdamDa01,targets,10,,,,,
player,201911100gnb,gnb,AdamDa01,rec,7,,,,,
player,201911100gnb,gnb,AdamDa01,rec_yds,118,,,,,
player,201911100gnb,gnb,AdamDa01,rec_td,0,,,,,
player,201911100gnb,gnb,AdamDa01,rec_long,38,,,,,
player,201911100gnb,gnb,AdamDa01,fumbles,0,,,,,
player,201911100gnb,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201911100gnb,gnb,GrahJi00,pass_cmp,0,,,,,
player,201911100gnb,gnb,GrahJi00,pass_att,0,,,,,
player,201911100gnb,gnb,GrahJi00,pass_yds,0,,,,,
player,201911100gnb,gnb,GrahJi00,pass_td,0,,,,,
player,201911100gnb,gnb,GrahJi00,pass_int,0,,,,,
player,201911100gnb,gnb,GrahJi00,pass_sacked,0,,,,,
player,201911100gnb,gnb,GrahJi00,pass_sacked_yds,0,,,,,
player,201911100gnb,gnb,GrahJi00,pass_long,0,,,,,
player,201911100gnb,gnb,GrahJi00,pass_rating,,,,,,
player,201911100gnb,gnb,GrahJi00,rush_att,0,,,,,
player,201911100gnb,gnb,GrahJi00,rush_yds,0,,,,,
player,201911100gnb,gnb,GrahJi00,rush_td,0,,,,,
player,201911100gnb,gnb,GrahJi00,rush_long,0,,,,,
player,201911100gnb,gnb,GrahJi00,targets,4,,,,,
player,201911100gnb,gnb,GrahJi00,rec,2,,,,,
player,201911100gnb,gnb,GrahJi00,rec_yds,59,,,,,
player,201911100gnb,gnb,GrahJi00,rec_td,0,,,,,
player,201911100gnb,gnb,GrahJi00,rec_long,48,,,,,
player,201911100gnb,gnb,GrahJi00,fumbles,0,,,,,
player,201911100gnb,gnb,GrahJi00,fumbles_lost,0,,,,,
player,201911100gnb,gnb,LazaAl00,pass_cmp,0,,,,,
player,201911100gnb,gnb,LazaAl00,pass_att,0,,,,,
player,201911100gnb,gnb,LazaAl00,pass_yds,0,,,,,
player,201911100gnb,gnb,LazaAl00,pass_td,0,,,,,
player,201911100gnb,gnb,LazaAl00,pass_int,0,,,,,
player,201911100gnb,gnb,LazaAl00,pass_sacked,0,,,,,
player,201911100gnb,gnb,LazaAl00,pass_sacked_yds,0,,,,,
player,201911100gnb,gnb,LazaAl00,pass_long,0,,,,,
player,201911100gnb,gnb,LazaAl00,pass_rating,,,,,,
player,201911100gnb,gnb,LazaAl00,rush_att,0,,,,,
player,201911100gnb,gnb,LazaAl00,rush_yds,0,,,,,
player,201911100gnb,gnb,LazaAl00,rush_td,0,,,,,
player,201911100gnb,gnb,LazaAl00,rush_long,0,,,,,
player,201911100gnb,gnb,LazaAl00,targets,6,,,,,
player,201911100gnb,gnb,LazaAl00,rec,3,,,,,
player,201911100gnb,gnb,LazaAl00,rec_yds,27,,,,,
player,201911100gnb,gnb,LazaAl00,rec_td,0,,,,,
player,201911100gnb,gnb,LazaAl00,rec_long,19,,,,,
player,201911100gnb,gnb,LazaAl00,fumbles,0,,,,,
player,201911100gnb,gnb,LazaAl00,fumbles_lost,0,,,,,
player,201911100gnb,gnb,KumeJa00,pass_cmp,0,,,,,
player,201911100gnb,gnb,KumeJa00,pass_att,0,,,,,
player,201911100gnb,gnb,KumeJa00,pass_yds,0,,,,,
player,201911100gnb,gnb,KumeJa00,pass_td,0,,,,,
player,201911100gnb,gnb,KumeJa00,pass_int,0,,,,,
player,201911100gnb,gnb,KumeJa00,pass_sacked,0,,,,,
player,201911100gnb,gnb,KumeJa00,pass_sacked_yds,0,,,,,
player,201911100gnb,gnb,KumeJa00,pass_long,0,,,,,
player,201911100gnb,gnb,KumeJa00,pass_rating,,,,,,
player,201911100gnb,gnb,KumeJa00,rush_att,0,,,,,
player,201911100gnb,gnb,KumeJa00,rush_yds,0,,,,,
player,201911100gnb,gnb,KumeJa00,rush_td,0,,,,,
player,201911100gnb,gnb,KumeJa00,rush_long,0,,,,,
player,201911100gnb,gnb,KumeJa00,targets,2,,,,,
player,201911100gnb,gnb,KumeJa00,rec,2,,,,,
player,201911100gnb,gnb,KumeJa00,rec_yds,23,,,,,
player,201911100gnb,gnb,KumeJa00,rec_td,0,,,,,
player,201911100gnb,gnb,KumeJa00,rec_long,12,,,,,
player,201911100gnb,gnb,KumeJa00,fumbles,0,,,,,
player,201911100gnb,gnb,KumeJa00,fumbles_lost,0,,,,,
player,201911100gnb,gnb,AlliGe01,pass_cmp,0,,,,,
player,201911100gnb,gnb,AlliGe01,pass_att,0,,,,,
player,201911100gnb,gnb,AlliGe01,pass_yds,0,,,,,
player,201911100gnb,gnb,AlliGe01,pass_td,0,,,,,
player,201911100gnb,gnb,AlliGe01,pass_int,0,,,,,
player,201911100gnb,gnb,AlliGe01,pass_sacked,0,,,,,
player,201911100gnb,gnb,AlliGe01,pass_sacked_yds,0,,,,,
player,201911100gnb,gnb,AlliGe01,pass_long,0,,,,,
player,201911100gnb,gnb,AlliGe01,pass_rating,,,,,,
player,201911100gnb,gnb,AlliGe01,rush_att,0,,,,,
player,201911100gnb,gnb,AlliGe01,rush_yds,0,,,,,
player,201911100gnb,gnb,AlliGe01,rush_td,0,,,,,
player,201911100gnb,gnb,AlliGe01,rush_long,0,,,,,
player,201911100gnb,gnb,AlliGe01,targets,3,,,,,
player,201911100gnb,gnb,AlliGe01,rec,3,,,,,
player,201911100gnb,gnb,AlliGe01,rec_yds,6,,,,,
player,201911100gnb,gnb,AlliGe01,rec_td,0,,,,,
player,201911100gnb,gnb,AlliGe01,rec_long,4,,,,,
player,201911100gnb,gnb,AlliGe01,fumbles,0,,,,,
player,201911100gnb,gnb,AlliGe01,fumbles_lost,0,,,,,
player,201911100gnb,gnb,ValdMa00,pass_cmp,0,,,,,
player,201911100gnb,gnb,ValdMa00,pass_att,0,,,,,
player,201911100gnb,gnb,ValdMa00,pass_yds,0,,,,,
player,201911100gnb,gnb,ValdMa00,pass_td,0,,,,,
player,201911100gnb,gnb,ValdMa00,pass_int,0,,,,,
player,201911100gnb,gnb,ValdMa00,pass_sacked,0,,,,,
player,201911100gnb,gnb,ValdMa00,pass_sacked_yds,0,,,,,
player,201911100gnb,gnb,ValdMa00,pass_long,0,,,,,
player,201911100gnb,gnb,ValdMa00,pass_rating,,,,,,
player,201911100gnb,gnb,ValdMa00,rush_att,0,,,,,
player,201911100gnb,gnb,ValdMa00,rush_yds,0,,,,,
player,201911100gnb,gnb,ValdMa00,rush_td,0,,,,,
player,201911100gnb,gnb,ValdMa00,rush_long,0,,,,,
player,201911100gnb,gnb,ValdMa00,targets,1,,,,,
player,201911100gnb,gnb,ValdMa00,rec,0,,,,,
player,201911100gnb,gnb,ValdMa00,rec_yds,0,,,,,
player,201911100gnb,gnb,ValdMa00,rec_td,0,,,,,
player,201911100gnb,gnb,ValdMa00,rec_long,0,,,,,
player,201911100gnb,gnb,ValdMa00,fumbles,0,,,,,
player,201911100gnb,gnb,ValdMa00,fumbles_lost,0,,,,,
player,201911100gnb,gnb,VitaDa00,pass_cmp,0,,,,,
player,201911100gnb,gnb,VitaDa00,pass_att,0,,,,,
player,201911100gnb,gnb,VitaDa00,pass_yds,0,,,,,
player,201911100gnb,gnb,VitaDa00,pass_td,0,,,,,
player,201911100gnb,gnb,VitaDa00,pass_int,0,,,,,
player,201911100gnb,gnb,VitaDa00,pass_sacked,0,,,,,
player,201911100gnb,gnb,VitaDa00,pass_sacked_yds,0,,,,,
player,201911100gnb,gnb,VitaDa00,pass_long,0,,,,,
player,201911100gnb,gnb,VitaDa00,pass_rating,,,,,,
player,201911100gnb,gnb,VitaDa00,rush_att,0,,,,,
player,201911100gnb,gnb,VitaDa00,rush_yds,0,,,,,
player,201911100gnb,gnb,VitaDa00,rush_td,0,,,,,
player,201911100gnb,gnb,VitaDa00,rush_long,0,,,,,
player,201911100gnb,gnb,VitaDa00,targets,1,,,,,
player,201911100gnb,gnb,VitaDa00,rec,0,,,,,
player,201911100gnb,gnb,VitaDa00,rec_yds,0,,,,,
player,201911100gnb,gnb,VitaDa00,rec_td,0,,,,,
player,201911100gnb,gnb,VitaDa00,rec_long,0,,,,,
player,201911100gnb,gnb,VitaDa00,fumbles,0,,,,,
player,201911100gnb,gnb,VitaDa00,fumbles_lost,0,,,,,
player,201911100gnb,car,ButlVe00,def_int,0,,,,,
player,201911100gnb,car,ButlVe00,def_int_yds,0,,,,,
player,201911100gnb,car,ButlVe00,def_int_td,0,,,,,
player,201911100gnb,car,ButlVe00,def_int_long,0,,,,,
player,201911100gnb,car,ButlVe00,pass_defended,0,,,,,
player,201911100gnb,car,ButlVe00,sacks,1.0,,,,,
player,201911100gnb,car,ButlVe00,tackles_combined,3,,,,,
player,201911100gnb,car,ButlVe00,tackles_solo,2,,,,,
player,201911100gnb,car,ButlVe00,tackles_assists,1,,,,,
player,201911100gnb,car,ButlVe00,tackles_loss,1,,,,,
player,201911100gnb,car,ButlVe00,qb_hits,2,,,,,
player,201911100gnb,car,ButlVe00,fumbles_rec,0,,,,,
player,201911100gnb,car,ButlVe00,fumbles_rec_yds,0,,,,,
player,201911100gnb,car,ButlVe00,fumbles_rec_td,0,,,,,
player,201911100gnb,car,ButlVe00,fumbles_forced,0,,,,,
player,201911100gnb,car,McCoGe99,def_int,0,,,,,
player,201911100gnb,car,McCoGe99,def_int_yds,0,,,,,
player,201911100gnb,car,McCoGe99,def_int_td,0,,,,,
player,201911100gnb,car,McCoGe99,def_int_long,0,,,,,
player,201911100gnb,car,McCoGe99,pass_defended,0,,,,,
player,201911100gnb,car,McCoGe99,sacks,0.5,,,,,
player,201911100gnb,car,McCoGe99,tackles_combined,4,,,,,
player,201911100gnb,car,McCoGe99,tackles_solo,1,,,,,
player,201911100gnb,car,McCoGe99,tackles_assists,3,,,,,
player,201911100gnb,car,McCoGe99,tackles_loss,1,,,,,
player,201911100gnb,car,McCoGe99,qb_hits,1,,,,,
player,201911100gnb,car,McCoGe99,fumbles_rec,0,,,,,
player,201911100gnb,car,McCoGe99,fumbles_rec_yds,0,,,,,
player,201911100gnb,car,McCoGe99,fumbles_rec_td,0,,,,,
player,201911100gnb,car,McCoGe99,fumbles_forced,0,,,,,
player,201911100gnb,car,AddiMa00,def_int,0,,,,,
player,201911100gnb,car,AddiMa00,def_int_yds,0,,,,,
player,201911100gnb,car,AddiMa00,def_int_td,0,,,,,
player,201911100gnb,car,AddiMa00,def_int_long,0,,,,,
player,201911100gnb,car,AddiMa00,pass_defended,0,,,,,
player,201911100gnb,car,AddiMa00,sacks,0.5,,,,,
player,201911100gnb,car,AddiMa00,tackles_combined,1,,,,,
player,201911100gnb,car,AddiMa00,tackles_solo,0,,,,,
player,201911100gnb,car,AddiMa00,tackles_assists,1,,,,,
player,201911100gnb,car,AddiMa00,tackles_loss,0,,,,,
player,201911100gnb,car,AddiMa00,qb_hits,2,,,,,
player,201911100gnb,car,AddiMa00,fumbles_rec,0,,,,,
player,201911100gnb,car,AddiMa00,fumbles_rec_yds,0,,,,,
player,201911100gnb,car,AddiMa00,fumbles_rec_td,0,,,,,
player,201911100gnb,car,AddiMa00,fumbles_forced,0,,,,,
player,201911100gnb,car,ReidEr00,def_int,0,,,,,
player,201911100gnb,car,ReidEr00,def_int_yds,0,,,,,
player,201911100gnb,car,ReidEr00,def_int_td,0,,,,,
player,201911100gnb,car,ReidEr00,def_int_long,0,,,,,
player,201911100gnb,car,ReidEr00,pass_defended,0,,,,,
player,201911100gnb,car,ReidEr00,sacks,0.0,,,,,
player,201911100gnb,car,ReidEr00,tackles_combined,8,,,,,
player,201911100gnb,car,ReidEr00,tackles_solo,4,,,,,
player,201911100gnb,car,ReidEr00,tackles_assists,4,,,,,
player,201911100gnb,car,ReidEr00,tackles_loss,0,,,,,
player,201911100gnb,car,ReidEr00,qb_hits,0,,,,,
player,201911100gnb,car,ReidEr00,fumbles_rec,0,,,,,
player,201911100gnb,car,ReidEr00,fumbles_rec_yds,0,,,,,
player,201911100gnb,car,ReidEr00,fumbles_rec_td,0,,,,,
player,201911100gnb,car,ReidEr00,fumbles_forced,0,,,,,
player,201911100gnb,car,CockRo00,def_int,0,,,,,
player,201911100gnb,car,CockRo00,def_int_yds,0,,,,,
player,201911100gnb,car,CockRo00,def_int_td,0,,,,,
player,201911100gnb,car,CockRo00,def_int_long,0,,,,,
player,201911100gnb,car,CockRo00,pass_defended,0,,,,,
player,201911100gnb,car,CockRo00,sacks,0.0,,,,,
player,201911100gnb,car,CockRo00,tackles_combined,6,,,,,
player,201911100gnb,car,CockRo00,tackles_solo,4,,,,,
player,201911100gnb,car,CockRo00,tackles_assists,2,,,,,
player,201911100gnb,car,CockRo00,tackles_loss,0,,,,,
player,201911100gnb,car,CockRo00,qb_hits,0,,,,,
player,201911100gnb,car,CockRo00,fumbles_rec,0,,,,,
player,201911100gnb,car,CockRo00,fumbles_rec_yds,0,,,,,
player,201911100gnb,car,CockRo00,fumbles_rec_td,0,,,,,
player,201911100gnb,car,CockRo00,fumbles_forced,0,,,,,
player,201911100gnb,car,JackDo02,def_int,0,,,,,
player,201911100gnb,car,JackDo02,def_int_yds,0,,,,,
player,201911100gnb,car,JackDo02,def_int_td,0,,,,,
player,201911100gnb,car,JackDo02,def_int_long,0,,,,,
player,201911100gnb,car,JackDo02,pass_defended,3,,,,,
player,201911100gnb,car,JackDo02,sacks,0.0,,,,,
player,201911100gnb,car,JackDo02,tackles_combined,5,,,,,
player,201911100gnb,car,JackDo02,tackles_solo,5,,,,,
player,201911100gnb,car,JackDo02,tackles_assists,0,,,,,
player,201911100gnb,car,JackDo02,tackles_loss,0,,,,,
player,201911100gnb,car,JackDo02,qb_hits,0,,,,,
player,201911100gnb,car,JackDo02,fumbles_rec,0,,,,,
player,201911100gnb,car,JackDo02,fumbles_rec_yds,0,,,,,
player,201911100gnb,car,JackDo02,fumbles_rec_td,0,,,,,
player,201911100gnb,car,JackDo02,fumbles_forced,0,,,,,
player,201911100gnb,car,BostTr00,def_int,0,,,,,
player,201911100gnb,car,BostTr00,def_int_yds,0,,,,,
player,201911100gnb,car,BostTr00,def_int_td,0,,,,,
player,201911100gnb,car,BostTr00,def_int_long,0,,,,,
