game,2019,11,20191117,201911170ram,chi,"Chicago Bears",7,ram,"Los Angeles Rams",17
player,201911170ram,chi,TrubMi00,fumbles,0,,,,,
player,201911170ram,chi,TrubMi00,fumbles_lost,0,,,,,
player,201911170ram,chi,DaniCh00,pass_cmp,1,,,,,
player,201911170ram,chi,DaniCh00,pass_att,4,,,,,
player,201911170ram,chi,DaniCh00,pass_yds,9,,,,,
player,201911170ram,chi,DaniCh00,pass_td,0,,,,,
player,201911170ram,chi,DaniCh00,pass_int,0,,,,,
player,201911170ram,chi,DaniCh00,pass_sacked,2,,,,,
player,201911170ram,chi,DaniCh00,pass_sacked_yds,4,,,,,
player,201911170ram,chi,DaniCh00,pass_long,9,,,,,
player,201911170ram,chi,DaniCh00,pass_rating,39.6,,,,,
player,201911170ram,chi,DaniCh00,rush_att,0,,,,,
player,201911170ram,chi,DaniCh00,rush_yds,0,,,,,
player,201911170ram,chi,DaniCh00,rush_td,0,,,,,
player,201911170ram,chi,DaniCh00,rush_long,0,,,,,
player,201911170ram,chi,DaniCh00,targets,0,,,,,
player,201911170ram,chi,DaniCh00,rec,0,,,,,
player,201911170ram,chi,DaniCh00,rec_yds,0,,,,,
player,201911170ram,chi,DaniCh00,rec_td,0,,,,,
player,201911170ram,chi,DaniCh00,rec_long,0,,,,,
player,201911170ram,chi,DaniCh00,fumbles,0,,,,,
player,201911170ram,chi,DaniCh00,fumbles_lost,0,,,,,
player,201911170ram,chi,CoheTa00,pass_cmp,0,,,,,
player,201911170ram,chi,CoheTa00,pass_att,0,,,,,
player,201911170ram,chi,CoheTa00,pass_yds,0,,,,,
player,201911170ram,chi,CoheTa00,pass_td,0,,,,,
player,201911170ram,chi,CoheTa00,pass_int,0,,,,,
player,201911170ram,chi,CoheTa00,pass_sacked,0,,,,,
player,201911170ram,chi,CoheTa00,pass_sacked_yds,0,,,,,
player,201911170ram,chi,CoheTa00,pass_long,0,,,,,
player,201911170ram,chi,CoheTa00,pass_rating,,,,,,
player,201911170ram,chi,CoheTa00,rush_att,9,,,,,
player,201911170ram,chi,CoheTa00,rush_yds,39,,,,,
player,201911170ram,chi,CoheTa00,rush_td,0,,,,,
player,201911170ram,chi,CoheTa00,rush_long,12,,,,,
player,201911170ram,chi,CoheTa00,targets,6,,,,,
player,201911170ram,chi,CoheTa00,rec,5,,,,,
player,201911170ram,chi,CoheTa00,rec_yds,35,,,,,
player,201911170ram,chi,CoheTa00,rec_td,1,,,,,
player,201911170ram,chi,CoheTa00,rec_long,17,,,,,
player,201911170ram,chi,CoheTa00,fumbles,0,,,,,
player,201911170ram,chi,CoheTa00,fumbles_lost,0,,,,,
player,201911170ram,chi,MontDa01,pass_cmp,0,,,,,
player,201911170ram,chi,MontDa01,pass_att,0,,,,,
player,201911170ram,chi,MontDa01,pass_yds,0,,,,,
player,201911170ram,chi,MontDa01,pass_td,0,,,,,
player,201911170ram,chi,MontDa01,pass_int,0,,,,,
player,201911170ram,chi,MontDa01,pass_sacked,0,,,,,
player,201911170ram,chi,MontDa01,pass_sacked_yds,0,,,,,
player,201911170ram,chi,MontDa01,pass_long,0,,,,,
player,201911170ram,chi,MontDa01,pass_rating,,,,,,
player,201911170ram,chi,MontDa01,rush_att,14,,,,,
player,201911170ram,chi,MontDa01,rush_yds,31,,,,,
player,201911170ram,chi,MontDa01,rush_td,0,,,,,
player,201911170ram,chi,MontDa01,rush_long,5,,,,,
player,201911170ram,chi,MontDa01,targets,3,,,,,
player,201911170ram,chi,MontDa01,rec,1,,,,,
player,201911170ram,chi,MontDa01,rec_yds,19,,,,,
player,201911170ram,chi,MontDa01,rec_td,0,,,,,
player,201911170ram,chi,MontDa01,rec_long,19,,,,,
player,201911170ram,chi,MontDa01,fumbles,0,,,,,
player,201911170ram,chi,MontDa01,fumbles_lost,0,,,,,
player,201911170ram,chi,GabrTa00,pass_cmp,0,,,,,
player,201911170ram,chi,GabrTa00,pass_att,0,,,,,
player,201911170ram,chi,GabrTa00,pass_yds,0,,,,,
player,201911170ram,chi,GabrTa00,pass_td,0,,,,,
player,201911170ram,chi,GabrTa00,pass_int,0,,,,,
player,201911170ram,chi,GabrTa00,pass_sacked,0,,,,,
player,201911170ram,chi,GabrTa00,pass_sacked_yds,0,,,,,
player,201911170ram,chi,GabrTa00,pass_long,0,,,,,
player,201911170ram,chi,GabrTa00,pass_rating,,,,,,
player,201911170ram,chi,GabrTa00,rush_att,0,,,,,
player,201911170ram,chi,GabrTa00,rush_yds,0,,,,,
player,201911170ram,chi,GabrTa00,rush_td,0,,,,,
player,201911170ram,chi,GabrTa00,rush_long,0,,,,,
player,201911170ram,chi,GabrTa00,targets,14,,,,,
player,201911170ram,chi,GabrTa00,rec,7,,,,,
player,201911170ram,chi,GabrTa00,rec_yds,57,,,,,
player,201911170ram,chi,GabrTa00,rec_td,0,,,,,
player,201911170ram,chi,GabrTa00,rec_long,15,,,,,
player,201911170ram,chi,GabrTa00,fumbles,0,,,,,
player,201911170ram,chi,GabrTa00,fumbles_lost,0,,,,,
player,201911170ram,chi,MillAn02,pass_cmp,0,,,,,
player,201911170ram,chi,MillAn02,pass_att,0,,,,,
player,201911170ram,chi,MillAn02,pass_yds,0,,,,,
player,201911170ram,chi,MillAn02,pass_td,0,,,,,
player,201911170ram,chi,MillAn02,pass_int,0,,,,,
player,201911170ram,chi,MillAn02,pass_sacked,0,,,,,
player,201911170ram,chi,MillAn02,pass_sacked_yds,0,,,,,
player,201911170ram,chi,MillAn02,pass_long,0,,,,,
player,201911170ram,chi,MillAn02,pass_rating,,,,,,
player,201911170ram,chi,MillAn02,rush_att,0,,,,,
player,201911170ram,chi,MillAn02,rush_yds,0,,,,,
player,201911170ram,chi,MillAn02,rush_td,0,,,,,
player,201911170ram,chi,MillAn02,rush_long,0,,,,,
player,201911170ram,chi,MillAn02,targets,11,,,,,
player,201911170ram,chi,MillAn02,rec,6,,,,,
player,201911170ram,chi,MillAn02,rec_yds,54,,,,,
player,201911170ram,chi,MillAn02,rec_td,0,,,,,
player,201911170ram,chi,MillAn02,rec_long,16,,,,,
player,201911170ram,chi,MillAn02,fumbles,0,,,,,
player,201911170ram,chi,MillAn02,fumbles_lost,0,,,,,
player,201911170ram,chi,RobiAl02,pass_cmp,0,,,,,
player,201911170ram,chi,RobiAl02,pass_att,0,,,,,
player,201911170ram,chi,RobiAl02,pass_yds,0,,,,,
player,201911170ram,chi,RobiAl02,pass_td,0,,,,,
player,201911170ram,chi,RobiAl02,pass_int,0,,,,,
player,201911170ram,chi,RobiAl02,pass_sacked,0,,,,,
player,201911170ram,chi,RobiAl02,pass_sacked_yds,0,,,,,
player,201911170ram,chi,RobiAl02,pass_long,0,,,,,
player,201911170ram,chi,RobiAl02,pass_rating,,,,,,
player,201911170ram,chi,RobiAl02,rush_att,0,,,,,
player,201911170ram,chi,RobiAl02,rush_yds,0,,,,,
player,201911170ram,chi,RobiAl02,rush_td,0,,,,,
player,201911170ram,chi,RobiAl02,rush_long,0,,,,,
player,201911170ram,chi,RobiAl02,targets,6,,,,,
player,201911170ram,chi,RobiAl02,rec,4,,,,,
player,201911170ram,chi,RobiAl02,rec_yds,15,,,,,
player,201911170ram,chi,RobiAl02,rec_td,0,,,,,
player,201911170ram,chi,RobiAl02,rec_long,6,,,,,
player,201911170ram,chi,RobiAl02,fumbles,0,,,,,
player,201911170ram,chi,RobiAl02,fumbles_lost,0,,,,,
player,201911170ram,chi,WimsJa00,pass_cmp,0,,,,,
player,201911170ram,chi,WimsJa00,pass_att,0,,,,,
player,201911170ram,chi,WimsJa00,pass_yds,0,,,,,
player,201911170ram,chi,WimsJa00,pass_td,0,,,,,
player,201911170ram,chi,WimsJa00,pass_int,0,,,,,
player,201911170ram,chi,WimsJa00,pass_sacked,0,,,,,
player,201911170ram,chi,WimsJa00,pass_sacked_yds,0,,,,,
player,201911170ram,chi,WimsJa00,pass_long,0,,,,,
player,201911170ram,chi,WimsJa00,pass_rating,,,,,,
player,201911170ram,chi,WimsJa00,rush_att,0,,,,,
player,201911170ram,chi,WimsJa00,rush_yds,0,,,,,
player,201911170ram,chi,WimsJa00,rush_td,0,,,,,
player,201911170ram,chi,WimsJa00,rush_long,0,,,,,
player,201911170ram,chi,WimsJa00,targets,2,,,,,
player,201911170ram,chi,WimsJa00,rec,1,,,,,
player,201911170ram,chi,WimsJa00,rec_yds,11,,,,,
player,201911170ram,chi,WimsJa00,rec_td,0,,,,,
player,201911170ram,chi,WimsJa00,rec_long,11,,,,,
player,201911170ram,chi,WimsJa00,fumbles,0,,,,,
player,201911170ram,chi,WimsJa00,fumbles_lost,0,,,,,
player,201911170ram,chi,BrauBe00,pass_cmp,0,,,,,
player,201911170ram,chi,BrauBe00,pass_att,0,,,,,
player,201911170ram,chi,BrauBe00,pass_yds,0,,,,,
player,201911170ram,chi,BrauBe00,pass_td,0,,,,,
player,201911170ram,chi,BrauBe00,pass_int,0,,,,,
player,201911170ram,chi,BrauBe00,pass_sacked,0,,,,,
player,201911170ram,chi,BrauBe00,pass_sacked_yds,0,,,,,
player,201911170ram,chi,BrauBe00,pass_long,0,,,,,
player,201911170ram,chi,BrauBe00,pass_rating,,,,,,
player,201911170ram,chi,BrauBe00,rush_att,0,,,,,
player,201911170ram,chi,BrauBe00,rush_yds,0,,,,,
player,201911170ram,chi,BrauBe00,rush_td,0,,,,,
player,201911170ram,chi,BrauBe00,rush_long,0,,,,,
player,201911170ram,chi,BrauBe00,targets,3,,,,,
player,201911170ram,chi,BrauBe00,rec,1,,,,,
player,201911170ram,chi,BrauBe00,rec_yds,8,,,,,
player,201911170ram,chi,BrauBe00,rec_td,0,,,,,
player,201911170ram,chi,BrauBe00,rec_long,8,,,,,
player,201911170ram,chi,BrauBe00,fumbles,0,,,,,
player,201911170ram,chi,BrauBe00,fumbles_lost,0,,,,,
player,201911170ram,ram,GoffJa00,pass_cmp,11,,,,,
player,201911170ram,ram,GoffJa00,pass_att,18,,,,,
player,201911170ram,ram,GoffJa00,pass_yds,173,,,,,
player,201911170ram,ram,GoffJa00,pass_td,0,,,,,
player,201911170ram,ram,GoffJa00,pass_int,1,,,,,
player,201911170ram,ram,GoffJa00,pass_sacked,0,,,,,
player,201911170ram,ram,GoffJa00,pass_sacked_yds,0,,,,,
player,201911170ram,ram,GoffJa00,pass_long,50,,,,,
player,201911170ram,ram,GoffJa00,pass_rating,69.9,,,,,
player,201911170ram,ram,GoffJa00,rush_att,3,,,,,
player,201911170ram,ram,GoffJa00,rush_yds,3,,,,,
player,201911170ram,ram,GoffJa00,rush_td,0,,,,,
player,201911170ram,ram,GoffJa00,rush_long,5,,,,,
player,201911170ram,ram,GoffJa00,targets,0,,,,,
player,201911170ram,ram,GoffJa00,rec,0,,,,,
player,201911170ram,ram,GoffJa00,rec_yds,0,,,,,
player,201911170ram,ram,GoffJa00,rec_td,0,,,,,
player,201911170ram,ram,GoffJa00,rec_long,0,,,,,
player,201911170ram,ram,GoffJa00,fumbles,0,,,,,
player,201911170ram,ram,GoffJa00,fumbles_lost,0,,,,,
player,201911170ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201911170ram,ram,GurlTo01,pass_att,0,,,,,
player,201911170ram,ram,GurlTo01,pass_yds,0,,,,,
player,201911170ram,ram,GurlTo01,pass_td,0,,,,,
player,201911170ram,ram,GurlTo01,pass_int,0,,,,,
player,201911170ram,ram,GurlTo01,pass_sacked,0,,,,,
player,201911170ram,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201911170ram,ram,GurlTo01,pass_long,0,,,,,
player,201911170ram,ram,GurlTo01,pass_rating,,,,,,
player,201911170ram,ram,GurlTo01,rush_att,25,,,,,
player,201911170ram,ram,GurlTo01,rush_yds,97,,,,,
player,201911170ram,ram,GurlTo01,rush_td,1,,,,,
player,201911170ram,ram,GurlTo01,rush_long,13,,,,,
player,201911170ram,ram,GurlTo01,targets,3,,,,,
player,201911170ram,ram,GurlTo01,rec,3,,,,,
player,201911170ram,ram,GurlTo01,rec_yds,36,,,,,
player,201911170ram,ram,GurlTo01,rec_td,0,,,,,
player,201911170ram,ram,GurlTo01,rec_long,23,,,,,
player,201911170ram,ram,GurlTo01,fumbles,1,,,,,
player,201911170ram,ram,GurlTo01,fumbles_lost,1,,,,,
player,201911170ram,ram,BrowMa03,pass_cmp,0,,,,,
player,201911170ram,ram,BrowMa03,pass_att,0,,,,,
player,201911170ram,ram,BrowMa03,pass_yds,0,,,,,
player,201911170ram,ram,BrowMa03,pass_td,0,,,,,
player,201911170ram,ram,BrowMa03,pass_int,0,,,,,
player,201911170ram,ram,BrowMa03,pass_sacked,0,,,,,
player,201911170ram,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201911170ram,ram,BrowMa03,pass_long,0,,,,,
player,201911170ram,ram,BrowMa03,pass_rating,,,,,,
player,201911170ram,ram,BrowMa03,rush_att,5,,,,,
player,201911170ram,ram,BrowMa03,rush_yds,15,,,,,
player,201911170ram,ram,BrowMa03,rush_td,1,,,,,
player,201911170ram,ram,BrowMa03,rush_long,6,,,,,
player,201911170ram,ram,BrowMa03,targets,0,,,,,
player,201911170ram,ram,BrowMa03,rec,0,,,,,
player,201911170ram,ram,BrowMa03,rec_yds,0,,,,,
player,201911170ram,ram,BrowMa03,rec_td,0,,,,,
player,201911170ram,ram,BrowMa03,rec_long,0,,,,,
player,201911170ram,ram,BrowMa03,fumbles,0,,,,,
player,201911170ram,ram,BrowMa03,fumbles_lost,0,,,,,
player,201911170ram,ram,KuppCo00,pass_cmp,0,,,,,
player,201911170ram,ram,KuppCo00,pass_att,0,,,,,
player,201911170ram,ram,KuppCo00,pass_yds,0,,,,,
player,201911170ram,ram,KuppCo00,pass_td,0,,,,,
player,201911170ram,ram,KuppCo00,pass_int,0,,,,,
player,201911170ram,ram,KuppCo00,pass_sacked,0,,,,,
player,201911170ram,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201911170ram,ram,KuppCo00,pass_long,0,,,,,
player,201911170ram,ram,KuppCo00,pass_rating,,,,,,
player,201911170ram,ram,KuppCo00,rush_att,0,,,,,
player,201911170ram,ram,KuppCo00,rush_yds,0,,,,,
player,201911170ram,ram,KuppCo00,rush_td,0,,,,,
player,201911170ram,ram,KuppCo00,rush_long,0,,,,,
player,201911170ram,ram,KuppCo00,targets,3,,,,,
player,201911170ram,ram,KuppCo00,rec,3,,,,,
player,201911170ram,ram,KuppCo00,rec_yds,53,,,,,
player,201911170ram,ram,KuppCo00,rec_td,0,,,,,
player,201911170ram,ram,KuppCo00,rec_long,50,,,,,
player,201911170ram,ram,KuppCo00,fumbles,2,,,,,
player,201911170ram,ram,KuppCo00,fumbles_lost,0,,,,,
player,201911170ram,ram,EverGe00,pass_cmp,0,,,,,
player,201911170ram,ram,EverGe00,pass_att,0,,,,,
player,201911170ram,ram,EverGe00,pass_yds,0,,,,,
player,201911170ram,ram,EverGe00,pass_td,0,,,,,
player,201911170ram,ram,EverGe00,pass_int,0,,,,,
player,201911170ram,ram,EverGe00,pass_sacked,0,,,,,
player,201911170ram,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201911170ram,ram,EverGe00,pass_long,0,,,,,
player,201911170ram,ram,EverGe00,pass_rating,,,,,,
player,201911170ram,ram,EverGe00,rush_att,0,,,,,
player,201911170ram,ram,EverGe00,rush_yds,0,,,,,
player,201911170ram,ram,EverGe00,rush_td,0,,,,,
player,201911170ram,ram,EverGe00,rush_long,0,,,,,
player,201911170ram,ram,EverGe00,targets,1,,,,,
player,201911170ram,ram,EverGe00,rec,1,,,,,
player,201911170ram,ram,EverGe00,rec_yds,20,,,,,
player,201911170ram,ram,EverGe00,rec_td,0,,,,,
player,201911170ram,ram,EverGe00,rec_long,20,,,,,
player,201911170ram,ram,EverGe00,fumbles,0,,,,,
player,201911170ram,ram,EverGe00,fumbles_lost,0,,,,,
player,201911170ram,ram,ThomMi04,pass_cmp,0,,,,,
player,201911170ram,ram,ThomMi04,pass_att,0,,,,,
player,201911170ram,ram,ThomMi04,pass_yds,0,,,,,
player,201911170ram,ram,ThomMi04,pass_td,0,,,,,
player,201911170ram,ram,ThomMi04,pass_int,0,,,,,
player,201911170ram,ram,ThomMi04,pass_sacked,0,,,,,
player,201911170ram,ram,ThomMi04,pass_sacked_yds,0,,,,,
player,201911170ram,ram,ThomMi04,pass_long,0,,,,,
player,201911170ram,ram,ThomMi04,pass_rating,,,,,,
player,201911170ram,ram,ThomMi04,rush_att,0,,,,,
player,201911170ram,ram,ThomMi04,rush_yds,0,,,,,
player,201911170ram,ram,ThomMi04,rush_td,0,,,,,
player,201911170ram,ram,ThomMi04,rush_long,0,,,,,
player,201911170ram,ram,ThomMi04,targets,3,,,,,
player,201911170ram,ram,ThomMi04,rec,1,,,,,
player,201911170ram,ram,ThomMi04,rec_yds,9,,,,,
player,201911170ram,ram,ThomMi04,rec_td,0,,,,,
player,201911170ram,ram,ThomMi04,rec_long,9,,,,,
player,201911170ram,ram,ThomMi04,fumbles,0,,,,,
player,201911170ram,ram,ThomMi04,fumbles_lost,0,,,,,
player,201911170ram,ram,ReynJo00,pass_cmp,0,,,,,
player,201911170ram,ram,ReynJo00,pass_att,0,,,,,
player,201911170ram,ram,ReynJo00,pass_yds,0,,,,,
player,201911170ram,ram,ReynJo00,pass_td,0,,,,,
player,201911170ram,ram,ReynJo00,pass_int,0,,,,,
player,201911170ram,ram,ReynJo00,pass_sacked,0,,,,,
player,201911170ram,ram,ReynJo00,pass_sacked_yds,0,,,,,
player,201911170ram,ram,ReynJo00,pass_long,0,,,,,
player,201911170ram,ram,ReynJo00,pass_rating,,,,,,
player,201911170ram,ram,ReynJo00,rush_att,1,,,,,
player,201911170ram,ram,ReynJo00,rush_yds,-5,,,,,
player,201911170ram,ram,ReynJo00,rush_td,0,,,,,
player,201911170ram,ram,ReynJo00,rush_long,-5,,,,,
player,201911170ram,ram,ReynJo00,targets,6,,,,,
player,201911170ram,ram,ReynJo00,rec,3,,,,,
player,201911170ram,ram,ReynJo00,rec_yds,55,,,,,
player,201911170ram,ram,ReynJo00,rec_td,0,,,,,
player,201911170ram,ram,ReynJo00,rec_long,26,,,,,
player,201911170ram,ram,ReynJo00,fumbles,0,,,,,
player,201911170ram,ram,ReynJo00,fumbles_lost,0,,,,,
player,201911170ram,chi,SmitRo07,def_int,1,,,,,
player,201911170ram,chi,SmitRo07,def_int_yds,0,,,,,
player,201911170ram,chi,SmitRo07,def_int_td,0,,,,,
player,201911170ram,chi,SmitRo07,def_int_long,0,,,,,
player,201911170ram,chi,SmitRo07,pass_defended,1,,,,,
player,201911170ram,chi,SmitRo07,sacks,0.0,,,,,
player,201911170ram,chi,SmitRo07,tackles_combined,11,,,,,
player,201911170ram,chi,SmitRo07,tackles_solo,6,,,,,
player,201911170ram,chi,SmitRo07,tackles_assists,5,,,,,
player,201911170ram,chi,SmitRo07,tackles_loss,1,,,,,
player,201911170ram,chi,SmitRo07,qb_hits,0,,,,,
player,201911170ram,chi,SmitRo07,fumbles_rec,0,,,,,
player,201911170ram,chi,SmitRo07,fumbles_rec_yds,0,,,,,
player,201911170ram,chi,SmitRo07,fumbles_rec_td,0,,,,,
player,201911170ram,chi,SmitRo07,fumbles_forced,0,,,,,
player,201911170ram,chi,ClinHa00,def_int,0,,,,,
player,201911170ram,chi,ClinHa00,def_int_yds,0,,,,,
player,201911170ram,chi,ClinHa00,def_int_td,0,,,,,
player,201911170ram,chi,ClinHa00,def_int_long,0,,,,,
player,201911170ram,chi,ClinHa00,pass_defended,0,,,,,
player,201911170ram,chi,ClinHa00,sacks,0.0,,,,,
player,201911170ram,chi,ClinHa00,tackles_combined,7,,,,,
player,201911170ram,chi,ClinHa00,tackles_solo,6,,,,,
player,201911170ram,chi,ClinHa00,tackles_assists,1,,,,,
player,201911170ram,chi,ClinHa00,tackles_loss,0,,,,,
player,201911170ram,chi,ClinHa00,qb_hits,0,,,,,
player,201911170ram,chi,ClinHa00,fumbles_rec,1,,,,,
player,201911170ram,chi,ClinHa00,fumbles_rec_yds,1,,,,,
player,201911170ram,chi,ClinHa00,fumbles_rec_td,0,,,,,
player,201911170ram,chi,ClinHa00,fumbles_forced,0,,,,,
player,201911170ram,chi,JackEd01,def_int,0,,,,,
player,201911170ram,chi,JackEd01,def_int_yds,0,,,,,
player,201911170ram,chi,JackEd01,def_int_td,0,,,,,
player,201911170ram,chi,JackEd01,def_int_long,0,,,,,
player,201911170ram,chi,JackEd01,pass_defended,0,,,,,
player,201911170ram,chi,JackEd01,sacks,0.0,,,,,
player,201911170ram,chi,JackEd01,tackles_combined,6,,,,,
player,201911170ram,chi,JackEd01,tackles_solo,4,,,,,
player,201911170ram,chi,JackEd01,tackles_assists,2,,,,,
player,201911170ram,chi,JackEd01,tackles_loss,2,,,,,
player,201911170ram,chi,JackEd01,qb_hits,0,,,,,
player,201911170ram,chi,JackEd01,fumbles_rec,0,,,,,
player,201911170ram,chi,JackEd01,fumbles_rec_yds,0,,,,,
player,201911170ram,chi,JackEd01,fumbles_rec_td,0,,,,,
player,201911170ram,chi,JackEd01,fumbles_forced,1,,,,,
player,201911170ram,chi,AmukPr00,def_int,0,,,,,
player,201911170ram,chi,AmukPr00,def_int_yds,0,,,,,
player,201911170ram,chi,AmukPr00,def_int_td,0,,,,,
player,201911170ram,chi,AmukPr00,def_int_long,0,,,,,
player,201911170ram,chi,AmukPr00,pass_defended,0,,,,,
player,201911170ram,chi,AmukPr00,sacks,0.0,,,,,
player,201911170ram,chi,AmukPr00,tackles_combined,5,,,,,
player,201911170ram,chi,AmukPr00,tackles_solo,4,,,,,
player,201911170ram,chi,AmukPr00,tackles_assists,1,,,,,
player,201911170ram,chi,AmukPr00,tackles_loss,0,,,,,
player,201911170ram,chi,AmukPr00,qb_hits,0,,,,,
player,201911170ram,chi,AmukPr00,fumbles_rec,0,,,,,
player,201911170ram,chi,AmukPr00,fumbles_rec_yds,0,,,,,
player,201911170ram,chi,AmukPr00,fumbles_rec_td,0,,,,,
player,201911170ram,chi,AmukPr00,fumbles_forced,0,,,,,
player,201911170ram,chi,RobeRo00,def_int,0,,,,,
player,201911170ram,chi,RobeRo00,def_int_yds,0,,,,,
player,201911170ram,chi,RobeRo00,def_int_td,0,,,,,
player,201911170ram,chi,RobeRo00,def_int_long,0,,,,,
player,201911170ram,chi,RobeRo00,pass_defended,0,,,,,
player,201911170ram,chi,RobeRo00,sacks,0.0,,,,,
player,201911170ram,chi,RobeRo00,tackles_combined,5,,,,,
player,201911170ram,chi,RobeRo00,tackles_solo,2,,,,,
player,201911170ram,chi,RobeRo00,tackles_assists,3,,,,,
player,201911170ram,chi,RobeRo00,tackles_loss,0,,,,,
player,201911170ram,chi,RobeRo00,qb_hits,0,,,,,
player,201911170ram,chi,RobeRo00,fumbles_rec,0,,,,,
player,201911170ram,chi,RobeRo00,fumbles_rec_yds,0,,,,,
player,201911170ram,chi,RobeRo00,fumbles_rec_td,0,,,,,
player,201911170ram,chi,RobeRo00,fumbles_forced,0,,,,,
player,201911170ram,chi,KwiaNi00,def_int,0,,,,,
player,201911170ram,chi,KwiaNi00,def_int_yds,0,,,,,
player,201911170ram,chi,KwiaNi00,def_int_td,0,,,,,
player,201911170ram,chi,KwiaNi00,def_int_long,0,,,,,
player,201911170ram,chi,KwiaNi00,pass_defended,0,,,,,
player,201911170ram,chi,KwiaNi00,sacks,0.0,,,,,
player,201911170ram,chi,KwiaNi00,tackles_combined,4,,,,,
player,201911170ram,chi,KwiaNi00,tackles_solo,3,,,,,
player,201911170ram,chi,KwiaNi00,tackles_assists,1,,,,,
player,201911170ram,chi,KwiaNi00,tackles_loss,0,,,,,
player,201911170ram,chi,KwiaNi00,qb_hits,0,,,,,
player,201911170ram,chi,KwiaNi00,fumbles_rec,0,,,,,
player,201911170ram,chi,KwiaNi00,fumbles_rec_yds,0,,,,,
player,201911170ram,chi,KwiaNi00,fumbles_rec_td,0,,,,,
player,201911170ram,chi,KwiaNi00,fumbles_forced,0,,,,,
player,201911170ram,chi,FullKy00,def_int,0,,,,,
player,201911170ram,chi,FullKy00,def_int_yds,0,,,,,
player,201911170ram,chi,FullKy00,def_int_td,0,,,,,
player,201911170ram,chi,FullKy00,def_int_long,0,,,,,
player,201911170ram,chi,FullKy00,pass_defended,0,,,,,
player,201911170ram,chi,FullKy00,sacks,0.0,,,,,
player,201911170ram,chi,FullKy00,tackles_combined,3,,,,,
player,201911170ram,chi,FullKy00,tackles_solo,2,,,,,
player,201911170ram,chi,FullKy00,tackles_assists,1,,,,,
player,201911170ram,chi,FullKy00,tackles_loss,0,,,,,
player,201911170ram,chi,FullKy00,qb_hits,0,,,,,
player,201911170ram,chi,FullKy00,fumbles_rec,0,,,,,
player,201911170ram,chi,FullKy00,fumbles_rec_yds,0,,,,,
player,201911170ram,chi,FullKy00,fumbles_rec_td,0,,,,,
player,201911170ram,chi,FullKy00,fumbles_forced,0,,,,,
player,201911170ram,chi,NichBi00,def_int,0,,,,,
player,201911170ram,chi,NichBi00,def_int_yds,0,,,,,
player,201911170ram,chi,NichBi00,def_int_td,0,,,,,
