game,2019,13,20191201,201912010mia,phi,"Philadelphia Eagles",31,mia,"Miami Dolphins",37
player,201912010mia,phi,WardGr02,rush_att,0,,,,,
player,201912010mia,phi,WardGr02,rush_yds,0,,,,,
player,201912010mia,phi,WardGr02,rush_td,0,,,,,
player,201912010mia,phi,WardGr02,rush_long,0,,,,,
player,201912010mia,phi,WardGr02,targets,3,,,,,
player,201912010mia,phi,WardGr02,rec,1,,,,,
player,201912010mia,phi,WardGr02,rec_yds,5,,,,,
player,201912010mia,phi,WardGr02,rec_td,0,,,,,
player,201912010mia,phi,WardGr02,rec_long,5,,,,,
player,201912010mia,phi,WardGr02,fumbles,0,,,,,
player,201912010mia,phi,WardGr02,fumbles_lost,0,,,,,
player,201912010mia,mia,FitzRy00,pass_cmp,27,,,,,
player,201912010mia,mia,FitzRy00,pass_att,39,,,,,
player,201912010mia,mia,FitzRy00,pass_yds,365,,,,,
player,201912010mia,mia,FitzRy00,pass_td,3,,,,,
player,201912010mia,mia,FitzRy00,pass_int,1,,,,,
player,201912010mia,mia,FitzRy00,pass_sacked,3,,,,,
player,201912010mia,mia,FitzRy00,pass_sacked_yds,15,,,,,
player,201912010mia,mia,FitzRy00,pass_long,43,,,,,
player,201912010mia,mia,FitzRy00,pass_rating,113.7,,,,,
player,201912010mia,mia,FitzRy00,rush_att,3,,,,,
player,201912010mia,mia,FitzRy00,rush_yds,2,,,,,
player,201912010mia,mia,FitzRy00,rush_td,0,,,,,
player,201912010mia,mia,FitzRy00,rush_long,3,,,,,
player,201912010mia,mia,FitzRy00,targets,0,,,,,
player,201912010mia,mia,FitzRy00,rec,0,,,,,
player,201912010mia,mia,FitzRy00,rec_yds,0,,,,,
player,201912010mia,mia,FitzRy00,rec_td,0,,,,,
player,201912010mia,mia,FitzRy00,rec_long,0,,,,,
player,201912010mia,mia,FitzRy00,fumbles,0,,,,,
player,201912010mia,mia,FitzRy00,fumbles_lost,0,,,,,
player,201912010mia,mia,HaacMa00,pass_cmp,1,,,,,
player,201912010mia,mia,HaacMa00,pass_att,1,,,,,
player,201912010mia,mia,HaacMa00,pass_yds,1,,,,,
player,201912010mia,mia,HaacMa00,pass_td,1,,,,,
player,201912010mia,mia,HaacMa00,pass_int,0,,,,,
player,201912010mia,mia,HaacMa00,pass_sacked,0,,,,,
player,201912010mia,mia,HaacMa00,pass_sacked_yds,0,,,,,
player,201912010mia,mia,HaacMa00,pass_long,1,,,,,
player,201912010mia,mia,HaacMa00,pass_rating,118.7,,,,,
player,201912010mia,mia,HaacMa00,rush_att,0,,,,,
player,201912010mia,mia,HaacMa00,rush_yds,0,,,,,
player,201912010mia,mia,HaacMa00,rush_td,0,,,,,
player,201912010mia,mia,HaacMa00,rush_long,0,,,,,
player,201912010mia,mia,HaacMa00,targets,0,,,,,
player,201912010mia,mia,HaacMa00,rec,0,,,,,
player,201912010mia,mia,HaacMa00,rec_yds,0,,,,,
player,201912010mia,mia,HaacMa00,rec_td,0,,,,,
player,201912010mia,mia,HaacMa00,rec_long,0,,,,,
player,201912010mia,mia,HaacMa00,fumbles,0,,,,,
player,201912010mia,mia,HaacMa00,fumbles_lost,0,,,,,
player,201912010mia,mia,WilsAl02,pass_cmp,0,,,,,
player,201912010mia,mia,WilsAl02,pass_att,0,,,,,
player,201912010mia,mia,WilsAl02,pass_yds,0,,,,,
player,201912010mia,mia,WilsAl02,pass_td,0,,,,,
player,201912010mia,mia,WilsAl02,pass_int,0,,,,,
player,201912010mia,mia,WilsAl02,pass_sacked,0,,,,,
player,201912010mia,mia,WilsAl02,pass_sacked_yds,0,,,,,
player,201912010mia,mia,WilsAl02,pass_long,0,,,,,
player,201912010mia,mia,WilsAl02,pass_rating,,,,,,
player,201912010mia,mia,WilsAl02,rush_att,2,,,,,
player,201912010mia,mia,WilsAl02,rush_yds,31,,,,,
player,201912010mia,mia,WilsAl02,rush_td,0,,,,,
player,201912010mia,mia,WilsAl02,rush_long,28,,,,,
player,201912010mia,mia,WilsAl02,targets,5,,,,,
player,201912010mia,mia,WilsAl02,rec,5,,,,,
player,201912010mia,mia,WilsAl02,rec_yds,32,,,,,
player,201912010mia,mia,WilsAl02,rec_td,0,,,,,
player,201912010mia,mia,WilsAl02,rec_long,13,,,,,
player,201912010mia,mia,WilsAl02,fumbles,0,,,,,
player,201912010mia,mia,WilsAl02,fumbles_lost,0,,,,,
player,201912010mia,mia,GaskMy00,pass_cmp,0,,,,,
player,201912010mia,mia,GaskMy00,pass_att,0,,,,,
player,201912010mia,mia,GaskMy00,pass_yds,0,,,,,
player,201912010mia,mia,GaskMy00,pass_td,0,,,,,
player,201912010mia,mia,GaskMy00,pass_int,0,,,,,
player,201912010mia,mia,GaskMy00,pass_sacked,0,,,,,
player,201912010mia,mia,GaskMy00,pass_sacked_yds,0,,,,,
player,201912010mia,mia,GaskMy00,pass_long,0,,,,,
player,201912010mia,mia,GaskMy00,pass_rating,,,,,,
player,201912010mia,mia,GaskMy00,rush_att,2,,,,,
player,201912010mia,mia,GaskMy00,rush_yds,20,,,,,
player,201912010mia,mia,GaskMy00,rush_td,0,,,,,
player,201912010mia,mia,GaskMy00,rush_long,11,,,,,
player,201912010mia,mia,GaskMy00,targets,1,,,,,
player,201912010mia,mia,GaskMy00,rec,1,,,,,
player,201912010mia,mia,GaskMy00,rec_yds,6,,,,,
player,201912010mia,mia,GaskMy00,rec_td,0,,,,,
player,201912010mia,mia,GaskMy00,rec_long,6,,,,,
player,201912010mia,mia,GaskMy00,fumbles,0,,,,,
player,201912010mia,mia,GaskMy00,fumbles_lost,0,,,,,
player,201912010mia,mia,LairPa00,pass_cmp,0,,,,,
player,201912010mia,mia,LairPa00,pass_att,0,,,,,
player,201912010mia,mia,LairPa00,pass_yds,0,,,,,
player,201912010mia,mia,LairPa00,pass_td,0,,,,,
player,201912010mia,mia,LairPa00,pass_int,0,,,,,
player,201912010mia,mia,LairPa00,pass_sacked,0,,,,,
player,201912010mia,mia,LairPa00,pass_sacked_yds,0,,,,,
player,201912010mia,mia,LairPa00,pass_long,0,,,,,
player,201912010mia,mia,LairPa00,pass_rating,,,,,,
player,201912010mia,mia,LairPa00,rush_att,10,,,,,
player,201912010mia,mia,LairPa00,rush_yds,5,,,,,
player,201912010mia,mia,LairPa00,rush_td,1,,,,,
player,201912010mia,mia,LairPa00,rush_long,4,,,,,
player,201912010mia,mia,LairPa00,targets,5,,,,,
player,201912010mia,mia,LairPa00,rec,4,,,,,
player,201912010mia,mia,LairPa00,rec_yds,43,,,,,
player,201912010mia,mia,LairPa00,rec_td,0,,,,,
player,201912010mia,mia,LairPa00,rec_long,19,,,,,
player,201912010mia,mia,LairPa00,fumbles,0,,,,,
player,201912010mia,mia,LairPa00,fumbles_lost,0,,,,,
player,201912010mia,mia,ParkDe01,pass_cmp,0,,,,,
player,201912010mia,mia,ParkDe01,pass_att,0,,,,,
player,201912010mia,mia,ParkDe01,pass_yds,0,,,,,
player,201912010mia,mia,ParkDe01,pass_td,0,,,,,
player,201912010mia,mia,ParkDe01,pass_int,0,,,,,
player,201912010mia,mia,ParkDe01,pass_sacked,0,,,,,
player,201912010mia,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201912010mia,mia,ParkDe01,pass_long,0,,,,,
player,201912010mia,mia,ParkDe01,pass_rating,,,,,,
player,201912010mia,mia,ParkDe01,rush_att,0,,,,,
player,201912010mia,mia,ParkDe01,rush_yds,0,,,,,
player,201912010mia,mia,ParkDe01,rush_td,0,,,,,
player,201912010mia,mia,ParkDe01,rush_long,0,,,,,
player,201912010mia,mia,ParkDe01,targets,10,,,,,
player,201912010mia,mia,ParkDe01,rec,7,,,,,
player,201912010mia,mia,ParkDe01,rec_yds,159,,,,,
player,201912010mia,mia,ParkDe01,rec_td,2,,,,,
player,201912010mia,mia,ParkDe01,rec_long,43,,,,,
player,201912010mia,mia,ParkDe01,fumbles,0,,,,,
player,201912010mia,mia,ParkDe01,fumbles_lost,0,,,,,
player,201912010mia,mia,GesiMi00,pass_cmp,0,,,,,
player,201912010mia,mia,GesiMi00,pass_att,0,,,,,
player,201912010mia,mia,GesiMi00,pass_yds,0,,,,,
player,201912010mia,mia,GesiMi00,pass_td,0,,,,,
player,201912010mia,mia,GesiMi00,pass_int,0,,,,,
player,201912010mia,mia,GesiMi00,pass_sacked,0,,,,,
player,201912010mia,mia,GesiMi00,pass_sacked_yds,0,,,,,
