game,2019,5,20191003,201910030sea,ram,"Los Angeles Rams",29,sea,"Seattle Seahawks",30
player,201910030sea,ram,CookBr00,rush_att,1,,,,,
player,201910030sea,ram,CookBr00,rush_yds,27,,,,,
player,201910030sea,ram,CookBr00,rush_td,0,,,,,
player,201910030sea,ram,CookBr00,rush_long,27,,,,,
player,201910030sea,ram,CookBr00,targets,3,,,,,
player,201910030sea,ram,CookBr00,rec,1,,,,,
player,201910030sea,ram,CookBr00,rec_yds,29,,,,,
player,201910030sea,ram,CookBr00,rec_td,0,,,,,
player,201910030sea,ram,CookBr00,rec_long,29,,,,,
player,201910030sea,ram,CookBr00,fumbles,0,,,,,
player,201910030sea,ram,CookBr00,fumbles_lost,0,,,,,
player,201910030sea,ram,BrowMa03,pass_cmp,0,,,,,
player,201910030sea,ram,BrowMa03,pass_att,0,,,,,
player,201910030sea,ram,BrowMa03,pass_yds,0,,,,,
player,201910030sea,ram,BrowMa03,pass_td,0,,,,,
player,201910030sea,ram,BrowMa03,pass_int,0,,,,,
player,201910030sea,ram,BrowMa03,pass_sacked,0,,,,,
player,201910030sea,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201910030sea,ram,BrowMa03,pass_long,0,,,,,
player,201910030sea,ram,BrowMa03,pass_rating,,,,,,
player,201910030sea,ram,BrowMa03,rush_att,1,,,,,
player,201910030sea,ram,BrowMa03,rush_yds,3,,,,,
player,201910030sea,ram,BrowMa03,rush_td,0,,,,,
player,201910030sea,ram,BrowMa03,rush_long,3,,,,,
player,201910030sea,ram,BrowMa03,targets,0,,,,,
player,201910030sea,ram,BrowMa03,rec,0,,,,,
player,201910030sea,ram,BrowMa03,rec_yds,0,,,,,
player,201910030sea,ram,BrowMa03,rec_td,0,,,,,
player,201910030sea,ram,BrowMa03,rec_long,0,,,,,
player,201910030sea,ram,BrowMa03,fumbles,0,,,,,
player,201910030sea,ram,BrowMa03,fumbles_lost,0,,,,,
player,201910030sea,ram,EverGe00,pass_cmp,0,,,,,
player,201910030sea,ram,EverGe00,pass_att,0,,,,,
player,201910030sea,ram,EverGe00,pass_yds,0,,,,,
player,201910030sea,ram,EverGe00,pass_td,0,,,,,
player,201910030sea,ram,EverGe00,pass_int,0,,,,,
player,201910030sea,ram,EverGe00,pass_sacked,0,,,,,
player,201910030sea,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201910030sea,ram,EverGe00,pass_long,0,,,,,
player,201910030sea,ram,EverGe00,pass_rating,,,,,,
player,201910030sea,ram,EverGe00,rush_att,0,,,,,
player,201910030sea,ram,EverGe00,rush_yds,0,,,,,
player,201910030sea,ram,EverGe00,rush_td,0,,,,,
player,201910030sea,ram,EverGe00,rush_long,0,,,,,
player,201910030sea,ram,EverGe00,targets,11,,,,,
player,201910030sea,ram,EverGe00,rec,7,,,,,
player,201910030sea,ram,EverGe00,rec_yds,136,,,,,
player,201910030sea,ram,EverGe00,rec_td,0,,,,,
player,201910030sea,ram,EverGe00,rec_long,32,,,,,
player,201910030sea,ram,EverGe00,fumbles,0,,,,,
player,201910030sea,ram,EverGe00,fumbles_lost,0,,,,,
player,201910030sea,ram,KuppCo00,pass_cmp,0,,,,,
player,201910030sea,ram,KuppCo00,pass_att,0,,,,,
player,201910030sea,ram,KuppCo00,pass_yds,0,,,,,
player,201910030sea,ram,KuppCo00,pass_td,0,,,,,
player,201910030sea,ram,KuppCo00,pass_int,0,,,,,
player,201910030sea,ram,KuppCo00,pass_sacked,0,,,,,
player,201910030sea,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201910030sea,ram,KuppCo00,pass_long,0,,,,,
player,201910030sea,ram,KuppCo00,pass_rating,,,,,,
player,201910030sea,ram,KuppCo00,rush_att,0,,,,,
player,201910030sea,ram,KuppCo00,rush_yds,0,,,,,
player,201910030sea,ram,KuppCo00,rush_td,0,,,,,
player,201910030sea,ram,KuppCo00,rush_long,0,,,,,
player,201910030sea,ram,KuppCo00,targets,17,,,,,
player,201910030sea,ram,KuppCo00,rec,9,,,,,
player,201910030sea,ram,KuppCo00,rec_yds,117,,,,,
player,201910030sea,ram,KuppCo00,rec_td,1,,,,,
player,201910030sea,ram,KuppCo00,rec_long,26,,,,,
player,201910030sea,ram,KuppCo00,fumbles,0,,,,,
player,201910030sea,ram,KuppCo00,fumbles_lost,0,,,,,
player,201910030sea,ram,WoodRo02,pass_cmp,0,,,,,
player,201910030sea,ram,WoodRo02,pass_att,0,,,,,
player,201910030sea,ram,WoodRo02,pass_yds,0,,,,,
player,201910030sea,ram,WoodRo02,pass_td,0,,,,,
player,201910030sea,ram,WoodRo02,pass_int,0,,,,,
player,201910030sea,ram,WoodRo02,pass_sacked,0,,,,,
player,201910030sea,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201910030sea,ram,WoodRo02,pass_long,0,,,,,
player,201910030sea,ram,WoodRo02,pass_rating,,,,,,
player,201910030sea,ram,WoodRo02,rush_att,0,,,,,
player,201910030sea,ram,WoodRo02,rush_yds,0,,,,,
player,201910030sea,ram,WoodRo02,rush_td,0,,,,,
player,201910030sea,ram,WoodRo02,rush_long,0,,,,,
player,201910030sea,ram,WoodRo02,targets,9,,,,,
player,201910030sea,ram,WoodRo02,rec,5,,,,,
player,201910030sea,ram,WoodRo02,rec_yds,48,,,,,
player,201910030sea,ram,WoodRo02,rec_td,0,,,,,
player,201910030sea,ram,WoodRo02,rec_long,17,,,,,
player,201910030sea,ram,WoodRo02,fumbles,0,,,,,
player,201910030sea,ram,WoodRo02,fumbles_lost,0,,,,,
player,201910030sea,ram,HigbTy00,pass_cmp,0,,,,,
player,201910030sea,ram,HigbTy00,pass_att,0,,,,,
player,201910030sea,ram,HigbTy00,pass_yds,0,,,,,
player,201910030sea,ram,HigbTy00,pass_td,0,,,,,
player,201910030sea,ram,HigbTy00,pass_int,0,,,,,
player,201910030sea,ram,HigbTy00,pass_sacked,0,,,,,
player,201910030sea,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201910030sea,ram,HigbTy00,pass_long,0,,,,,
player,201910030sea,ram,HigbTy00,pass_rating,,,,,,
player,201910030sea,ram,HigbTy00,rush_att,0,,,,,
player,201910030sea,ram,HigbTy00,rush_yds,0,,,,,
player,201910030sea,ram,HigbTy00,rush_td,0,,,,,
player,201910030sea,ram,HigbTy00,rush_long,0,,,,,
player,201910030sea,ram,HigbTy00,targets,3,,,,,
player,201910030sea,ram,HigbTy00,rec,3,,,,,
player,201910030sea,ram,HigbTy00,rec_yds,47,,,,,
player,201910030sea,ram,HigbTy00,rec_td,0,,,,,
player,201910030sea,ram,HigbTy00,rec_long,20,,,,,
player,201910030sea,ram,HigbTy00,fumbles,0,,,,,
player,201910030sea,ram,HigbTy00,fumbles_lost,0,,,,,
player,201910030sea,ram,ReynJo00,pass_cmp,0,,,,,
player,201910030sea,ram,ReynJo00,pass_att,0,,,,,
player,201910030sea,ram,ReynJo00,pass_yds,0,,,,,
player,201910030sea,ram,ReynJo00,pass_td,0,,,,,
player,201910030sea,ram,ReynJo00,pass_int,0,,,,,
player,201910030sea,ram,ReynJo00,pass_sacked,0,,,,,
player,201910030sea,ram,ReynJo00,pass_sacked_yds,0,,,,,
player,201910030sea,ram,ReynJo00,pass_long,0,,,,,
player,201910030sea,ram,ReynJo00,pass_rating,,,,,,
player,201910030sea,ram,ReynJo00,rush_att,0,,,,,
player,201910030sea,ram,ReynJo00,rush_yds,0,,,,,
player,201910030sea,ram,ReynJo00,rush_td,0,,,,,
player,201910030sea,ram,ReynJo00,rush_long,0,,,,,
player,201910030sea,ram,ReynJo00,targets,1,,,,,
player,201910030sea,ram,ReynJo00,rec,1,,,,,
player,201910030sea,ram,ReynJo00,rec_yds,12,,,,,
player,201910030sea,ram,ReynJo00,rec_td,0,,,,,
player,201910030sea,ram,ReynJo00,rec_long,12,,,,,
player,201910030sea,ram,ReynJo00,fumbles,0,,,,,
player,201910030sea,ram,ReynJo00,fumbles_lost,0,,,,,
player,201910030sea,sea,WilsRu00,pass_cmp,17,,,,,
player,201910030sea,sea,WilsRu00,pass_att,23,,,,,
player,201910030sea,sea,WilsRu00,pass_yds,268,,,,,
player,201910030sea,sea,WilsRu00,pass_td,4,,,,,
player,201910030sea,sea,WilsRu00,pass_int,0,,,,,
player,201910030sea,sea,WilsRu00,pass_sacked,1,,,,,
player,201910030sea,sea,WilsRu00,pass_sacked_yds,6,,,,,
player,201910030sea,sea,WilsRu00,pass_long,40,,,,,
player,201910030sea,sea,WilsRu00,pass_rating,151.8,,,,,
player,201910030sea,sea,WilsRu00,rush_att,8,,,,,
player,201910030sea,sea,WilsRu00,rush_yds,32,,,,,
player,201910030sea,sea,WilsRu00,rush_td,0,,,,,
player,201910030sea,sea,WilsRu00,rush_long,12,,,,,
player,201910030sea,sea,WilsRu00,targets,0,,,,,
player,201910030sea,sea,WilsRu00,rec,0,,,,,
player,201910030sea,sea,WilsRu00,rec_yds,0,,,,,
player,201910030sea,sea,WilsRu00,rec_td,0,,,,,
player,201910030sea,sea,WilsRu00,rec_long,0,,,,,
player,201910030sea,sea,WilsRu00,fumbles,0,,,,,
player,201910030sea,sea,WilsRu00,fumbles_lost,0,,,,,
player,201910030sea,sea,CarsCh00,pass_cmp,0,,,,,
player,201910030sea,sea,CarsCh00,pass_att,0,,,,,
player,201910030sea,sea,CarsCh00,pass_yds,0,,,,,
player,201910030sea,sea,CarsCh00,pass_td,0,,,,,
player,201910030sea,sea,CarsCh00,pass_int,0,,,,,
player,201910030sea,sea,CarsCh00,pass_sacked,0,,,,,
player,201910030sea,sea,CarsCh00,pass_sacked_yds,0,,,,,
player,201910030sea,sea,CarsCh00,pass_long,0,,,,,
player,201910030sea,sea,CarsCh00,pass_rating,,,,,,
player,201910030sea,sea,CarsCh00,rush_att,27,,,,,
player,201910030sea,sea,CarsCh00,rush_yds,118,,,,,
player,201910030sea,sea,CarsCh00,rush_td,0,,,,,
player,201910030sea,sea,CarsCh00,rush_long,14,,,,,
player,201910030sea,sea,CarsCh00,targets,2,,,,,
player,201910030sea,sea,CarsCh00,rec,1,,,,,
player,201910030sea,sea,CarsCh00,rec_yds,5,,,,,
player,201910030sea,sea,CarsCh00,rec_td,1,,,,,
player,201910030sea,sea,CarsCh00,rec_long,5,,,,,
player,201910030sea,sea,CarsCh00,fumbles,0,,,,,
player,201910030sea,sea,CarsCh00,fumbles_lost,0,,,,,
player,201910030sea,sea,PennRa00,pass_cmp,0,,,,,
player,201910030sea,sea,PennRa00,pass_att,0,,,,,
player,201910030sea,sea,PennRa00,pass_yds,0,,,,,
player,201910030sea,sea,PennRa00,pass_td,0,,,,,
player,201910030sea,sea,PennRa00,pass_int,0,,,,,
player,201910030sea,sea,PennRa00,pass_sacked,0,,,,,
player,201910030sea,sea,PennRa00,pass_sacked_yds,0,,,,,
player,201910030sea,sea,PennRa00,pass_long,0,,,,,
player,201910030sea,sea,PennRa00,pass_rating,,,,,,
player,201910030sea,sea,PennRa00,rush_att,6,,,,,
player,201910030sea,sea,PennRa00,rush_yds,18,,,,,
player,201910030sea,sea,PennRa00,rush_td,0,,,,,
player,201910030sea,sea,PennRa00,rush_long,8,,,,,
player,201910030sea,sea,PennRa00,targets,2,,,,,
player,201910030sea,sea,PennRa00,rec,2,,,,,
player,201910030sea,sea,PennRa00,rec_yds,31,,,,,
player,201910030sea,sea,PennRa00,rec_td,0,,,,,
player,201910030sea,sea,PennRa00,rec_long,30,,,,,
player,201910030sea,sea,PennRa00,fumbles,0,,,,,
player,201910030sea,sea,PennRa00,fumbles_lost,0,,,,,
player,201910030sea,sea,DissWi00,pass_cmp,0,,,,,
player,201910030sea,sea,DissWi00,pass_att,0,,,,,
player,201910030sea,sea,DissWi00,pass_yds,0,,,,,
player,201910030sea,sea,DissWi00,pass_td,0,,,,,
player,201910030sea,sea,DissWi00,pass_int,0,,,,,
player,201910030sea,sea,DissWi00,pass_sacked,0,,,,,
player,201910030sea,sea,DissWi00,pass_sacked_yds,0,,,,,
player,201910030sea,sea,DissWi00,pass_long,0,,,,,
player,201910030sea,sea,DissWi00,pass_rating,,,,,,
player,201910030sea,sea,DissWi00,rush_att,1,,,,,
player,201910030sea,sea,DissWi00,rush_yds,7,,,,,
player,201910030sea,sea,DissWi00,rush_td,0,,,,,
player,201910030sea,sea,DissWi00,rush_long,7,,,,,
player,201910030sea,sea,DissWi00,targets,4,,,,,
player,201910030sea,sea,DissWi00,rec,4,,,,,
player,201910030sea,sea,DissWi00,rec_yds,81,,,,,
player,201910030sea,sea,DissWi00,rec_td,0,,,,,
player,201910030sea,sea,DissWi00,rec_long,38,,,,,
player,201910030sea,sea,DissWi00,fumbles,0,,,,,
player,201910030sea,sea,DissWi00,fumbles_lost,0,,,,,
player,201910030sea,sea,MetcDK00,pass_cmp,0,,,,,
player,201910030sea,sea,MetcDK00,pass_att,0,,,,,
player,201910030sea,sea,MetcDK00,pass_yds,0,,,,,
player,201910030sea,sea,MetcDK00,pass_td,0,,,,,
player,201910030sea,sea,MetcDK00,pass_int,0,,,,,
player,201910030sea,sea,MetcDK00,pass_sacked,0,,,,,
player,201910030sea,sea,MetcDK00,pass_sacked_yds,0,,,,,
player,201910030sea,sea,MetcDK00,pass_long,0,,,,,
player,201910030sea,sea,MetcDK00,pass_rating,,,,,,
player,201910030sea,sea,MetcDK00,rush_att,0,,,,,
player,201910030sea,sea,MetcDK00,rush_yds,0,,,,,
player,201910030sea,sea,MetcDK00,rush_td,0,,,,,
player,201910030sea,sea,MetcDK00,rush_long,0,,,,,
player,201910030sea,sea,MetcDK00,targets,3,,,,,
player,201910030sea,sea,MetcDK00,rec,2,,,,,
player,201910030sea,sea,MetcDK00,rec_yds,44,,,,,
player,201910030sea,sea,MetcDK00,rec_td,1,,,,,
player,201910030sea,sea,MetcDK00,rec_long,40,,,,,
player,201910030sea,sea,MetcDK00,fumbles,0,,,,,
player,201910030sea,sea,MetcDK00,fumbles_lost,0,,,,,
player,201910030sea,sea,BrowJa03,pass_cmp,0,,,,,
player,201910030sea,sea,BrowJa03,pass_att,0,,,,,
player,201910030sea,sea,BrowJa03,pass_yds,0,,,,,
player,201910030sea,sea,BrowJa03,pass_td,0,,,,,
player,201910030sea,sea,BrowJa03,pass_int,0,,,,,
player,201910030sea,sea,BrowJa03,pass_sacked,0,,,,,
player,201910030sea,sea,BrowJa03,pass_sacked_yds,0,,,,,
player,201910030sea,sea,BrowJa03,pass_long,0,,,,,
player,201910030sea,sea,BrowJa03,pass_rating,,,,,,
player,201910030sea,sea,BrowJa03,rush_att,0,,,,,
player,201910030sea,sea,BrowJa03,rush_yds,0,,,,,
player,201910030sea,sea,BrowJa03,rush_td,0,,,,,
player,201910030sea,sea,BrowJa03,rush_long,0,,,,,
player,201910030sea,sea,BrowJa03,targets,4,,,,,
player,201910030sea,sea,BrowJa03,rec,2,,,,,
player,201910030sea,sea,BrowJa03,rec_yds,36,,,,,
player,201910030sea,sea,BrowJa03,rec_td,0,,,,,
player,201910030sea,sea,BrowJa03,rec_long,21,,,,,
player,201910030sea,sea,BrowJa03,fumbles,1,,,,,
player,201910030sea,sea,BrowJa03,fumbles_lost,1,,,,,
player,201910030sea,sea,WillLu00,pass_cmp,0,,,,,
player,201910030sea,sea,WillLu00,pass_att,0,,,,,
player,201910030sea,sea,WillLu00,pass_yds,0,,,,,
player,201910030sea,sea,WillLu00,pass_td,0,,,,,
player,201910030sea,sea,WillLu00,pass_int,0,,,,,
player,201910030sea,sea,WillLu00,pass_sacked,0,,,,,
player,201910030sea,sea,WillLu00,pass_sacked_yds,0,,,,,
player,201910030sea,sea,WillLu00,pass_long,0,,,,,
player,201910030sea,sea,WillLu00,pass_rating,,,,,,
player,201910030sea,sea,WillLu00,rush_att,0,,,,,
player,201910030sea,sea,WillLu00,rush_yds,0,,,,,
player,201910030sea,sea,WillLu00,rush_td,0,,,,,
player,201910030sea,sea,WillLu00,rush_long,0,,,,,
player,201910030sea,sea,WillLu00,targets,1,,,,,
player,201910030sea,sea,WillLu00,rec,1,,,,,
player,201910030sea,sea,WillLu00,rec_yds,10,,,,,
player,201910030sea,sea,WillLu00,rec_td,0,,,,,
player,201910030sea,sea,WillLu00,rec_long,10,,,,,
player,201910030sea,sea,WillLu00,fumbles,0,,,,,
player,201910030sea,sea,WillLu00,fumbles_lost,0,,,,,
player,201910030sea,sea,MoorDa03,pass_cmp,0,,,,,
player,201910030sea,sea,MoorDa03,pass_att,0,,,,,
player,201910030sea,sea,MoorDa03,pass_yds,0,,,,,
player,201910030sea,sea,MoorDa03,pass_td,0,,,,,
player,201910030sea,sea,MoorDa03,pass_int,0,,,,,
player,201910030sea,sea,MoorDa03,pass_sacked,0,,,,,
player,201910030sea,sea,MoorDa03,pass_sacked_yds,0,,,,,
player,201910030sea,sea,MoorDa03,pass_long,0,,,,,
player,201910030sea,sea,MoorDa03,pass_rating,,,,,,
player,201910030sea,sea,MoorDa03,rush_att,0,,,,,
player,201910030sea,sea,MoorDa03,rush_yds,0,,,,,
player,201910030sea,sea,MoorDa03,rush_td,0,,,,,
player,201910030sea,sea,MoorDa03,rush_long,0,,,,,
player,201910030sea,sea,MoorDa03,targets,2,,,,,
player,201910030sea,sea,MoorDa03,rec,1,,,,,
player,201910030sea,sea,MoorDa03,rec_yds,10,,,,,
player,201910030sea,sea,MoorDa03,rec_td,1,,,,,
player,201910030sea,sea,MoorDa03,rec_long,10,,,,,
player,201910030sea,sea,MoorDa03,fumbles,0,,,,,
player,201910030sea,sea,MoorDa03,fumbles_lost,0,,,,,
player,201910030sea,sea,LockTy00,pass_cmp,0,,,,,
player,201910030sea,sea,LockTy00,pass_att,0,,,,,
player,201910030sea,sea,LockTy00,pass_yds,0,,,,,
player,201910030sea,sea,LockTy00,pass_td,0,,,,,
player,201910030sea,sea,LockTy00,pass_int,0,,,,,
player,201910030sea,sea,LockTy00,pass_sacked,0,,,,,
player,201910030sea,sea,LockTy00,pass_sacked_yds,0,,,,,
player,201910030sea,sea,LockTy00,pass_long,0,,,,,
player,201910030sea,sea,LockTy00,pass_rating,,,,,,
player,201910030sea,sea,LockTy00,rush_att,1,,,,,
player,201910030sea,sea,LockTy00,rush_yds,-8,,,,,
player,201910030sea,sea,LockTy00,rush_td,0,,,,,
player,201910030sea,sea,LockTy00,rush_long,-8,,,,,
player,201910030sea,sea,LockTy00,targets,4,,,,,
player,201910030sea,sea,LockTy00,rec,4,,,,,
player,201910030sea,sea,LockTy00,rec_yds,51,,,,,
player,201910030sea,sea,LockTy00,rec_td,1,,,,,
player,201910030sea,sea,LockTy00,rec_long,17,,,,,
player,201910030sea,sea,LockTy00,fumbles,0,,,,,
player,201910030sea,sea,LockTy00,fumbles_lost,0,,,,,
player,201910030sea,ram,MattCl99,def_int,0,,,,,
player,201910030sea,ram,MattCl99,def_int_yds,0,,,,,
player,201910030sea,ram,MattCl99,def_int_td,0,,,,,
player,201910030sea,ram,MattCl99,def_int_long,0,,,,,
player,201910030sea,ram,MattCl99,pass_defended,0,,,,,
player,201910030sea,ram,MattCl99,sacks,1.0,,,,,
player,201910030sea,ram,MattCl99,tackles_combined,5,,,,,
player,201910030sea,ram,MattCl99,tackles_solo,4,,,,,
player,201910030sea,ram,MattCl99,tackles_assists,1,,,,,
player,201910030sea,ram,MattCl99,tackles_loss,1,,,,,
player,201910030sea,ram,MattCl99,qb_hits,2,,,,,
player,201910030sea,ram,MattCl99,fumbles_rec,0,,,,,
player,201910030sea,ram,MattCl99,fumbles_rec_yds,0,,,,,
player,201910030sea,ram,MattCl99,fumbles_rec_td,0,,,,,
player,201910030sea,ram,MattCl99,fumbles_forced,0,,,,,
player,201910030sea,ram,ReedTr01,def_int,0,,,,,
player,201910030sea,ram,ReedTr01,def_int_yds,0,,,,,
player,201910030sea,ram,ReedTr01,def_int_td,0,,,,,
player,201910030sea,ram,ReedTr01,def_int_long,0,,,,,
player,201910030sea,ram,ReedTr01,pass_defended,0,,,,,
player,201910030sea,ram,ReedTr01,sacks,0.0,,,,,
player,201910030sea,ram,ReedTr01,tackles_combined,13,,,,,
player,201910030sea,ram,ReedTr01,tackles_solo,8,,,,,
player,201910030sea,ram,ReedTr01,tackles_assists,5,,,,,
player,201910030sea,ram,ReedTr01,tackles_loss,0,,,,,
player,201910030sea,ram,ReedTr01,qb_hits,0,,,,,
player,201910030sea,ram,ReedTr01,fumbles_rec,0,,,,,
player,201910030sea,ram,ReedTr01,fumbles_rec_yds,0,,,,,
player,201910030sea,ram,ReedTr01,fumbles_rec_td,0,,,,,
player,201910030sea,ram,ReedTr01,fumbles_forced,0,,,,,
player,201910030sea,ram,LittCo01,def_int,0,,,,,
player,201910030sea,ram,LittCo01,def_int_yds,0,,,,,
player,201910030sea,ram,LittCo01,def_int_td,0,,,,,
player,201910030sea,ram,LittCo01,def_int_long,0,,,,,
player,201910030sea,ram,LittCo01,pass_defended,0,,,,,
player,201910030sea,ram,LittCo01,sacks,0.0,,,,,
player,201910030sea,ram,LittCo01,tackles_combined,7,,,,,
player,201910030sea,ram,LittCo01,tackles_solo,3,,,,,
player,201910030sea,ram,LittCo01,tackles_assists,4,,,,,
player,201910030sea,ram,LittCo01,tackles_loss,0,,,,,
player,201910030sea,ram,LittCo01,qb_hits,0,,,,,
player,201910030sea,ram,LittCo01,fumbles_rec,0,,,,,
player,201910030sea,ram,LittCo01,fumbles_rec_yds,0,,,,,
player,201910030sea,ram,LittCo01,fumbles_rec_td,0,,,,,
player,201910030sea,ram,LittCo01,fumbles_forced,0,,,,,
player,201910030sea,ram,WeddEr99,def_int,0,,,,,
player,201910030sea,ram,WeddEr99,def_int_yds,0,,,,,
player,201910030sea,ram,WeddEr99,def_int_td,0,,,,,
player,201910030sea,ram,WeddEr99,def_int_long,0,,,,,
player,201910030sea,ram,WeddEr99,pass_defended,0,,,,,
player,201910030sea,ram,WeddEr99,sacks,0.0,,,,,
player,201910030sea,ram,WeddEr99,tackles_combined,7,,,,,
player,201910030sea,ram,WeddEr99,tackles_solo,4,,,,,
player,201910030sea,ram,WeddEr99,tackles_assists,3,,,,,
player,201910030sea,ram,WeddEr99,tackles_loss,0,,,,,
player,201910030sea,ram,WeddEr99,qb_hits,0,,,,,
player,201910030sea,ram,WeddEr99,fumbles_rec,0,,,,,
player,201910030sea,ram,WeddEr99,fumbles_rec_yds,0,,,,,
player,201910030sea,ram,WeddEr99,fumbles_rec_td,0,,,,,
player,201910030sea,ram,WeddEr99,fumbles_forced,0,,,,,
player,201910030sea,ram,BrocMi00,def_int,0,,,,,
player,201910030sea,ram,BrocMi00,def_int_yds,0,,,,,
player,201910030sea,ram,BrocMi00,def_int_td,0,,,,,
player,201910030sea,ram,BrocMi00,def_int_long,0,,,,,
player,201910030sea,ram,BrocMi00,pass_defended,0,,,,,
player,201910030sea,ram,BrocMi00,sacks,0.0,,,,,
player,201910030sea,ram,BrocMi00,tackles_combined,6,,,,,
player,201910030sea,ram,BrocMi00,tackles_solo,3,,,,,
player,201910030sea,ram,BrocMi00,tackles_assists,3,,,,,
player,201910030sea,ram,BrocMi00,tackles_loss,0,,,,,
player,201910030sea,ram,BrocMi00,qb_hits,0,,,,,
player,201910030sea,ram,BrocMi00,fumbles_rec,0,,,,,
