game,2019,9,20191103,201911030car,oti,"Tennessee Titans",20,car,"Carolina Panthers",30
player,201911030car,oti,RaymKa00,rush_yds,0,,,,,
player,201911030car,oti,RaymKa00,rush_td,0,,,,,
player,201911030car,oti,RaymKa00,rush_long,0,,,,,
player,201911030car,oti,RaymKa00,targets,3,,,,,
player,201911030car,oti,RaymKa00,rec,2,,,,,
player,201911030car,oti,RaymKa00,rec_yds,19,,,,,
player,201911030car,oti,RaymKa00,rec_td,0,,,,,
player,201911030car,oti,RaymKa00,rec_long,14,,,,,
player,201911030car,oti,RaymKa00,fumbles,0,,,,,
player,201911030car,oti,RaymKa00,fumbles_lost,0,,,,,
player,201911030car,oti,SmitJo01,pass_cmp,0,,,,,
player,201911030car,oti,SmitJo01,pass_att,0,,,,,
player,201911030car,oti,SmitJo01,pass_yds,0,,,,,
player,201911030car,oti,SmitJo01,pass_td,0,,,,,
player,201911030car,oti,SmitJo01,pass_int,0,,,,,
player,201911030car,oti,SmitJo01,pass_sacked,0,,,,,
player,201911030car,oti,SmitJo01,pass_sacked_yds,0,,,,,
player,201911030car,oti,SmitJo01,pass_long,0,,,,,
player,201911030car,oti,SmitJo01,pass_rating,,,,,,
player,201911030car,oti,SmitJo01,rush_att,0,,,,,
player,201911030car,oti,SmitJo01,rush_yds,0,,,,,
player,201911030car,oti,SmitJo01,rush_td,0,,,,,
player,201911030car,oti,SmitJo01,rush_long,0,,,,,
player,201911030car,oti,SmitJo01,targets,5,,,,,
player,201911030car,oti,SmitJo01,rec,3,,,,,
player,201911030car,oti,SmitJo01,rec_yds,18,,,,,
player,201911030car,oti,SmitJo01,rec_td,0,,,,,
player,201911030car,oti,SmitJo01,rec_long,7,,,,,
player,201911030car,oti,SmitJo01,fumbles,0,,,,,
player,201911030car,oti,SmitJo01,fumbles_lost,0,,,,,
player,201911030car,oti,FirkAn00,pass_cmp,0,,,,,
player,201911030car,oti,FirkAn00,pass_att,0,,,,,
player,201911030car,oti,FirkAn00,pass_yds,0,,,,,
player,201911030car,oti,FirkAn00,pass_td,0,,,,,
player,201911030car,oti,FirkAn00,pass_int,0,,,,,
player,201911030car,oti,FirkAn00,pass_sacked,0,,,,,
player,201911030car,oti,FirkAn00,pass_sacked_yds,0,,,,,
player,201911030car,oti,FirkAn00,pass_long,0,,,,,
player,201911030car,oti,FirkAn00,pass_rating,,,,,,
player,201911030car,oti,FirkAn00,rush_att,0,,,,,
player,201911030car,oti,FirkAn00,rush_yds,0,,,,,
player,201911030car,oti,FirkAn00,rush_td,0,,,,,
player,201911030car,oti,FirkAn00,rush_long,0,,,,,
player,201911030car,oti,FirkAn00,targets,1,,,,,
player,201911030car,oti,FirkAn00,rec,0,,,,,
player,201911030car,oti,FirkAn00,rec_yds,0,,,,,
player,201911030car,oti,FirkAn00,rec_td,0,,,,,
player,201911030car,oti,FirkAn00,rec_long,0,,,,,
player,201911030car,oti,FirkAn00,fumbles,0,,,,,
player,201911030car,oti,FirkAn00,fumbles_lost,0,,,,,
player,201911030car,car,AlleKy00,pass_cmp,17,,,,,
player,201911030car,car,AlleKy00,pass_att,32,,,,,
player,201911030car,car,AlleKy00,pass_yds,232,,,,,
player,201911030car,car,AlleKy00,pass_td,2,,,,,
player,201911030car,car,AlleKy00,pass_int,1,,,,,
player,201911030car,car,AlleKy00,pass_sacked,3,,,,,
player,201911030car,car,AlleKy00,pass_sacked_yds,18,,,,,
player,201911030car,car,AlleKy00,pass_long,32,,,,,
player,201911030car,car,AlleKy00,pass_rating,84.4,,,,,
player,201911030car,car,AlleKy00,rush_att,3,,,,,
player,201911030car,car,AlleKy00,rush_yds,-4,,,,,
player,201911030car,car,AlleKy00,rush_td,0,,,,,
player,201911030car,car,AlleKy00,rush_long,-1,,,,,
player,201911030car,car,AlleKy00,targets,0,,,,,
player,201911030car,car,AlleKy00,rec,0,,,,,
