game,2019,6,20191010,201910100nwe,nyg,"New York Giants",14,nwe,"New England Patriots",35
player,201910100nwe,nyg,TateGo00,rec_long,64,,,,,
player,201910100nwe,nyg,TateGo00,fumbles,0,,,,,
player,201910100nwe,nyg,TateGo00,fumbles_lost,0,,,,,
player,201910100nwe,nyg,SlayDa01,pass_cmp,0,,,,,
player,201910100nwe,nyg,SlayDa01,pass_att,0,,,,,
player,201910100nwe,nyg,SlayDa01,pass_yds,0,,,,,
player,201910100nwe,nyg,SlayDa01,pass_td,0,,,,,
player,201910100nwe,nyg,SlayDa01,pass_int,0,,,,,
player,201910100nwe,nyg,SlayDa01,pass_sacked,0,,,,,
player,201910100nwe,nyg,SlayDa01,pass_sacked_yds,0,,,,,
player,201910100nwe,nyg,SlayDa01,pass_long,0,,,,,
player,201910100nwe,nyg,SlayDa01,pass_rating,,,,,,
player,201910100nwe,nyg,SlayDa01,rush_att,0,,,,,
player,201910100nwe,nyg,SlayDa01,rush_yds,0,,,,,
player,201910100nwe,nyg,SlayDa01,rush_td,0,,,,,
player,201910100nwe,nyg,SlayDa01,rush_long,0,,,,,
player,201910100nwe,nyg,SlayDa01,targets,8,,,,,
player,201910100nwe,nyg,SlayDa01,rec,3,,,,,
player,201910100nwe,nyg,SlayDa01,rec_yds,32,,,,,
player,201910100nwe,nyg,SlayDa01,rec_td,0,,,,,
player,201910100nwe,nyg,SlayDa01,rec_long,12,,,,,
player,201910100nwe,nyg,SlayDa01,fumbles,0,,,,,
player,201910100nwe,nyg,SlayDa01,fumbles_lost,0,,,,,
player,201910100nwe,nyg,ElliRh00,pass_cmp,0,,,,,
player,201910100nwe,nyg,ElliRh00,pass_att,0,,,,,
player,201910100nwe,nyg,ElliRh00,pass_yds,0,,,,,
player,201910100nwe,nyg,ElliRh00,pass_td,0,,,,,
player,201910100nwe,nyg,ElliRh00,pass_int,0,,,,,
player,201910100nwe,nyg,ElliRh00,pass_sacked,0,,,,,
player,201910100nwe,nyg,ElliRh00,pass_sacked_yds,0,,,,,
player,201910100nwe,nyg,ElliRh00,pass_long,0,,,,,
player,201910100nwe,nyg,ElliRh00,pass_rating,,,,,,
player,201910100nwe,nyg,ElliRh00,rush_att,0,,,,,
player,201910100nwe,nyg,ElliRh00,rush_yds,0,,,,,
player,201910100nwe,nyg,ElliRh00,rush_td,0,,,,,
player,201910100nwe,nyg,ElliRh00,rush_long,0,,,,,
player,201910100nwe,nyg,ElliRh00,targets,7,,,,,
player,201910100nwe,nyg,ElliRh00,rec,3,,,,,
player,201910100nwe,nyg,ElliRh00,rec_yds,30,,,,,
player,201910100nwe,nyg,ElliRh00,rec_td,0,,,,,
player,201910100nwe,nyg,ElliRh00,rec_long,18,,,,,
player,201910100nwe,nyg,ElliRh00,fumbles,0,,,,,
player,201910100nwe,nyg,ElliRh00,fumbles_lost,0,,,,,
player,201910100nwe,nyg,LatiCo00,pass_cmp,0,,,,,
player,201910100nwe,nyg,LatiCo00,pass_att,0,,,,,
player,201910100nwe,nyg,LatiCo00,pass_yds,0,,,,,
player,201910100nwe,nyg,LatiCo00,pass_td,0,,,,,
player,201910100nwe,nyg,LatiCo00,pass_int,0,,,,,
player,201910100nwe,nyg,LatiCo00,pass_sacked,0,,,,,
player,201910100nwe,nyg,LatiCo00,pass_sacked_yds,0,,,,,
player,201910100nwe,nyg,LatiCo00,pass_long,0,,,,,
player,201910100nwe,nyg,LatiCo00,pass_rating,,,,,,
player,201910100nwe,nyg,LatiCo00,rush_att,0,,,,,
player,201910100nwe,nyg,LatiCo00,rush_yds,0,,,,,
player,201910100nwe,nyg,LatiCo00,rush_td,0,,,,,
player,201910100nwe,nyg,LatiCo00,rush_long,0,,,,,
player,201910100nwe,nyg,LatiCo00,targets,1,,,,,
player,201910100nwe,nyg,LatiCo00,rec,0,,,,,
player,201910100nwe,nyg,LatiCo00,rec_yds,0,,,,,
player,201910100nwe,nyg,LatiCo00,rec_td,0,,,,,
player,201910100nwe,nyg,LatiCo00,rec_long,0,,,,,
player,201910100nwe,nyg,LatiCo00,fumbles,0,,,,,
player,201910100nwe,nyg,LatiCo00,fumbles_lost,0,,,,,
player,201910100nwe,nwe,BradTo00,pass_cmp,31,,,,,
player,201910100nwe,nwe,BradTo00,pass_att,41,,,,,
player,201910100nwe,nwe,BradTo00,pass_yds,334,,,,,
player,201910100nwe,nwe,BradTo00,pass_td,0,,,,,
player,201910100nwe,nwe,BradTo00,pass_int,1,,,,,
player,201910100nwe,nwe,BradTo00,pass_sacked,3,,,,,
player,201910100nwe,nwe,BradTo00,pass_sacked_yds,21,,,,,
player,201910100nwe,nwe,BradTo00,pass_long,36,,,,,
player,201910100nwe,nwe,BradTo00,pass_rating,88.9,,,,,
player,201910100nwe,nwe,BradTo00,rush_att,7,,,,,
player,201910100nwe,nwe,BradTo00,rush_yds,6,,,,,
player,201910100nwe,nwe,BradTo00,rush_td,2,,,,,
player,201910100nwe,nwe,BradTo00,rush_long,2,,,,,
player,201910100nwe,nwe,BradTo00,targets,0,,,,,
player,201910100nwe,nwe,BradTo00,rec,0,,,,,
player,201910100nwe,nwe,BradTo00,rec_yds,0,,,,,
player,201910100nwe,nwe,BradTo00,rec_td,0,,,,,
player,201910100nwe,nwe,BradTo00,rec_long,0,,,,,
player,201910100nwe,nwe,BradTo00,fumbles,2,,,,,
player,201910100nwe,nwe,BradTo00,fumbles_lost,1,,,,,
player,201910100nwe,nwe,MichSo00,pass_cmp,0,,,,,
player,201910100nwe,nwe,MichSo00,pass_att,0,,,,,
player,201910100nwe,nwe,MichSo00,pass_yds,0,,,,,
player,201910100nwe,nwe,MichSo00,pass_td,0,,,,,
player,201910100nwe,nwe,MichSo00,pass_int,0,,,,,
player,201910100nwe,nwe,MichSo00,pass_sacked,0,,,,,
player,201910100nwe,nwe,MichSo00,pass_sacked_yds,0,,,,,
player,201910100nwe,nwe,MichSo00,pass_long,0,,,,,
player,201910100nwe,nwe,MichSo00,pass_rating,,,,,,
player,201910100nwe,nwe,MichSo00,rush_att,22,,,,,
player,201910100nwe,nwe,MichSo00,rush_yds,86,,,,,
player,201910100nwe,nwe,MichSo00,rush_td,0,,,,,
player,201910100nwe,nwe,MichSo00,rush_long,26,,,,,
player,201910100nwe,nwe,MichSo00,targets,3,,,,,
player,201910100nwe,nwe,MichSo00,rec,2,,,,,
player,201910100nwe,nwe,MichSo00,rec_yds,27,,,,,
player,201910100nwe,nwe,MichSo00,rec_td,0,,,,,
player,201910100nwe,nwe,MichSo00,rec_long,19,,,,,
player,201910100nwe,nwe,MichSo00,fumbles,0,,,,,
player,201910100nwe,nwe,MichSo00,fumbles_lost,0,,,,,
player,201910100nwe,nwe,BoldBr00,pass_cmp,0,,,,,
player,201910100nwe,nwe,BoldBr00,pass_att,0,,,,,
player,201910100nwe,nwe,BoldBr00,pass_yds,0,,,,,
player,201910100nwe,nwe,BoldBr00,pass_td,0,,,,,
player,201910100nwe,nwe,BoldBr00,pass_int,0,,,,,
player,201910100nwe,nwe,BoldBr00,pass_sacked,0,,,,,
player,201910100nwe,nwe,BoldBr00,pass_sacked_yds,0,,,,,
player,201910100nwe,nwe,BoldBr00,pass_long,0,,,,,
player,201910100nwe,nwe,BoldBr00,pass_rating,,,,,,
player,201910100nwe,nwe,BoldBr00,rush_att,3,,,,,
player,201910100nwe,nwe,BoldBr00,rush_yds,23,,,,,
player,201910100nwe,nwe,BoldBr00,rush_td,1,,,,,
player,201910100nwe,nwe,BoldBr00,rush_long,21,,,,,
player,201910100nwe,nwe,BoldBr00,targets,2,,,,,
player,201910100nwe,nwe,BoldBr00,rec,2,,,,,
player,201910100nwe,nwe,BoldBr00,rec_yds,22,,,,,
player,201910100nwe,nwe,BoldBr00,rec_td,0,,,,,
player,201910100nwe,nwe,BoldBr00,rec_long,16,,,,,
player,201910100nwe,nwe,BoldBr00,fumbles,0,,,,,
player,201910100nwe,nwe,BoldBr00,fumbles_lost,0,,,,,
player,201910100nwe,nwe,EdelJu00,pass_cmp,0,,,,,
player,201910100nwe,nwe,EdelJu00,pass_att,0,,,,,
player,201910100nwe,nwe,EdelJu00,pass_yds,0,,,,,
player,201910100nwe,nwe,EdelJu00,pass_td,0,,,,,
player,201910100nwe,nwe,EdelJu00,pass_int,0,,,,,
player,201910100nwe,nwe,EdelJu00,pass_sacked,0,,,,,
player,201910100nwe,nwe,EdelJu00,pass_sacked_yds,0,,,,,
player,201910100nwe,nwe,EdelJu00,pass_long,0,,,,,
player,201910100nwe,nwe,EdelJu00,pass_rating,,,,,,
player,201910100nwe,nwe,EdelJu00,rush_att,0,,,,,
player,201910100nwe,nwe,EdelJu00,rush_yds,0,,,,,
player,201910100nwe,nwe,EdelJu00,rush_td,0,,,,,
player,201910100nwe,nwe,EdelJu00,rush_long,0,,,,,
player,201910100nwe,nwe,EdelJu00,targets,15,,,,,
player,201910100nwe,nwe,EdelJu00,rec,9,,,,,
player,201910100nwe,nwe,EdelJu00,rec_yds,113,,,,,
player,201910100nwe,nwe,EdelJu00,rec_td,0,,,,,
player,201910100nwe,nwe,EdelJu00,rec_long,36,,,,,
player,201910100nwe,nwe,EdelJu00,fumbles,0,,,,,
player,201910100nwe,nwe,EdelJu00,fumbles_lost,0,,,,,
player,201910100nwe,nwe,MeyeJa01,pass_cmp,0,,,,,
player,201910100nwe,nwe,MeyeJa01,pass_att,0,,,,,
player,201910100nwe,nwe,MeyeJa01,pass_yds,0,,,,,
player,201910100nwe,nwe,MeyeJa01,pass_td,0,,,,,
player,201910100nwe,nwe,MeyeJa01,pass_int,0,,,,,
player,201910100nwe,nwe,MeyeJa01,pass_sacked,0,,,,,
player,201910100nwe,nwe,MeyeJa01,pass_sacked_yds,0,,,,,
player,201910100nwe,nwe,MeyeJa01,pass_long,0,,,,,
player,201910100nwe,nwe,MeyeJa01,pass_rating,,,,,,
player,201910100nwe,nwe,MeyeJa01,rush_att,0,,,,,
player,201910100nwe,nwe,MeyeJa01,rush_yds,0,,,,,
player,201910100nwe,nwe,MeyeJa01,rush_td,0,,,,,
player,201910100nwe,nwe,MeyeJa01,rush_long,0,,,,,
player,201910100nwe,nwe,MeyeJa01,targets,4,,,,,
player,201910100nwe,nwe,MeyeJa01,rec,4,,,,,
player,201910100nwe,nwe,MeyeJa01,rec_yds,54,,,,,
player,201910100nwe,nwe,MeyeJa01,rec_td,0,,,,,
player,201910100nwe,nwe,MeyeJa01,rec_long,23,,,,,
player,201910100nwe,nwe,MeyeJa01,fumbles,0,,,,,
player,201910100nwe,nwe,MeyeJa01,fumbles_lost,0,,,,,
player,201910100nwe,nwe,OlszGu00,pass_cmp,0,,,,,
player,201910100nwe,nwe,OlszGu00,pass_att,0,,,,,
player,201910100nwe,nwe,OlszGu00,pass_yds,0,,,,,
player,201910100nwe,nwe,OlszGu00,pass_td,0,,,,,
player,201910100nwe,nwe,OlszGu00,pass_int,0,,,,,
player,201910100nwe,nwe,OlszGu00,pass_sacked,0,,,,,
player,201910100nwe,nwe,OlszGu00,pass_sacked_yds,0,,,,,
player,201910100nwe,nwe,OlszGu00,pass_long,0,,,,,
player,201910100nwe,nwe,OlszGu00,pass_rating,,,,,,
player,201910100nwe,nwe,OlszGu00,rush_att,0,,,,,
player,201910100nwe,nwe,OlszGu00,rush_yds,0,,,,,
player,201910100nwe,nwe,OlszGu00,rush_td,0,,,,,
player,201910100nwe,nwe,OlszGu00,rush_long,0,,,,,
player,201910100nwe,nwe,OlszGu00,targets,3,,,,,
player,201910100nwe,nwe,OlszGu00,rec,2,,,,,
player,201910100nwe,nwe,OlszGu00,rec_yds,34,,,,,
player,201910100nwe,nwe,OlszGu00,rec_td,0,,,,,
player,201910100nwe,nwe,OlszGu00,rec_long,29,,,,,
player,201910100nwe,nwe,OlszGu00,fumbles,0,,,,,
player,201910100nwe,nwe,OlszGu00,fumbles_lost,0,,,,,
player,201910100nwe,nwe,IzzoRy00,pass_cmp,0,,,,,
player,201910100nwe,nwe,IzzoRy00,pass_att,0,,,,,
player,201910100nwe,nwe,IzzoRy00,pass_yds,0,,,,,
player,201910100nwe,nwe,IzzoRy00,pass_td,0,,,,,
player,201910100nwe,nwe,IzzoRy00,pass_int,0,,,,,
player,201910100nwe,nwe,IzzoRy00,pass_sacked,0,,,,,
player,201910100nwe,nwe,IzzoRy00,pass_sacked_yds,0,,,,,
player,201910100nwe,nwe,IzzoRy00,pass_long,0,,,,,
player,201910100nwe,nwe,IzzoRy00,pass_rating,,,,,,
player,201910100nwe,nwe,IzzoRy00,rush_att,0,,,,,
player,201910100nwe,nwe,IzzoRy00,rush_yds,0,,,,,
player,201910100nwe,nwe,IzzoRy00,rush_td,0,,,,,
player,201910100nwe,nwe,IzzoRy00,rush_long,0,,,,,
player,201910100nwe,nwe,IzzoRy00,targets,4,,,,,
player,201910100nwe,nwe,IzzoRy00,rec,2,,,,,
player,201910100nwe,nwe,IzzoRy00,rec_yds,31,,,,,
player,201910100nwe,nwe,IzzoRy00,rec_td,0,,,,,
player,201910100nwe,nwe,IzzoRy00,rec_long,20,,,,,
player,201910100nwe,nwe,IzzoRy00,fumbles,0,,,,,
player,201910100nwe,nwe,IzzoRy00,fumbles_lost,0,,,,,
player,201910100nwe,nwe,GordJo02,pass_cmp,0,,,,,
player,201910100nwe,nwe,GordJo02,pass_att,0,,,,,
player,201910100nwe,nwe,GordJo02,pass_yds,0,,,,,
player,201910100nwe,nwe,GordJo02,pass_td,0,,,,,
player,201910100nwe,nwe,GordJo02,pass_int,0,,,,,
player,201910100nwe,nwe,GordJo02,pass_sacked,0,,,,,
player,201910100nwe,nwe,GordJo02,pass_sacked_yds,0,,,,,
player,201910100nwe,nwe,GordJo02,pass_long,0,,,,,
player,201910100nwe,nwe,GordJo02,pass_rating,,,,,,
player,201910100nwe,nwe,GordJo02,rush_att,0,,,,,
player,201910100nwe,nwe,GordJo02,rush_yds,0,,,,,
player,201910100nwe,nwe,GordJo02,rush_td,0,,,,,
player,201910100nwe,nwe,GordJo02,rush_long,0,,,,,
player,201910100nwe,nwe,GordJo02,targets,1,,,,,
player,201910100nwe,nwe,GordJo02,rec,1,,,,,
player,201910100nwe,nwe,GordJo02,rec_yds,7,,,,,
player,201910100nwe,nwe,GordJo02,rec_td,0,,,,,
player,201910100nwe,nwe,GordJo02,rec_long,7,,,,,
player,201910100nwe,nwe,GordJo02,fumbles,0,,,,,
player,201910100nwe,nwe,GordJo02,fumbles_lost,0,,,,,
player,201910100nwe,nwe,WhitJa02,pass_cmp,0,,,,,
player,201910100nwe,nwe,WhitJa02,pass_att,0,,,,,
player,201910100nwe,nwe,WhitJa02,pass_yds,0,,,,,
player,201910100nwe,nwe,WhitJa02,pass_td,0,,,,,
player,201910100nwe,nwe,WhitJa02,pass_int,0,,,,,
player,201910100nwe,nwe,WhitJa02,pass_sacked,0,,,,,
player,201910100nwe,nwe,WhitJa02,pass_sacked_yds,0,,,,,
player,201910100nwe,nwe,WhitJa02,pass_long,0,,,,,
player,201910100nwe,nwe,WhitJa02,pass_rating,,,,,,
player,201910100nwe,nwe,WhitJa02,rush_att,2,,,,,
player,201910100nwe,nwe,WhitJa02,rush_yds,-1,,,,,
player,201910100nwe,nwe,WhitJa02,rush_td,0,,,,,
player,201910100nwe,nwe,WhitJa02,rush_long,1,,,,,
player,201910100nwe,nwe,WhitJa02,targets,9,,,,,
player,201910100nwe,nwe,WhitJa02,rec,9,,,,,
player,201910100nwe,nwe,WhitJa02,rec_yds,46,,,,,
player,201910100nwe,nwe,WhitJa02,rec_td,0,,,,,
player,201910100nwe,nwe,WhitJa02,rec_long,11,,,,,
player,201910100nwe,nwe,WhitJa02,fumbles,0,,,,,
player,201910100nwe,nwe,WhitJa02,fumbles_lost,0,,,,,
player,201910100nwe,nyg,JenkJa03,def_int,1,,,,,
player,201910100nwe,nyg,JenkJa03,def_int_yds,62,,,,,
player,201910100nwe,nyg,JenkJa03,def_int_td,0,,,,,
player,201910100nwe,nyg,JenkJa03,def_int_long,62,,,,,
player,201910100nwe,nyg,JenkJa03,pass_defended,2,,,,,
player,201910100nwe,nyg,JenkJa03,sacks,0.0,,,,,
player,201910100nwe,nyg,JenkJa03,tackles_combined,3,,,,,
player,201910100nwe,nyg,JenkJa03,tackles_solo,3,,,,,
player,201910100nwe,nyg,JenkJa03,tackles_assists,0,,,,,
player,201910100nwe,nyg,JenkJa03,tackles_loss,0,,,,,
player,201910100nwe,nyg,JenkJa03,qb_hits,0,,,,,
player,201910100nwe,nyg,JenkJa03,fumbles_rec,0,,,,,
player,201910100nwe,nyg,JenkJa03,fumbles_rec_yds,0,,,,,
player,201910100nwe,nyg,JenkJa03,fumbles_rec_td,0,,,,,
player,201910100nwe,nyg,JenkJa03,fumbles_forced,0,,,,,
player,201910100nwe,nyg,OgleAl00,def_int,0,,,,,
player,201910100nwe,nyg,OgleAl00,def_int_yds,0,,,,,
player,201910100nwe,nyg,OgleAl00,def_int_td,0,,,,,
player,201910100nwe,nyg,OgleAl00,def_int_long,0,,,,,
player,201910100nwe,nyg,OgleAl00,pass_defended,0,,,,,
player,201910100nwe,nyg,OgleAl00,sacks,1.0,,,,,
player,201910100nwe,nyg,OgleAl00,tackles_combined,12,,,,,
player,201910100nwe,nyg,OgleAl00,tackles_solo,9,,,,,
player,201910100nwe,nyg,OgleAl00,tackles_assists,3,,,,,
player,201910100nwe,nyg,OgleAl00,tackles_loss,2,,,,,
player,201910100nwe,nyg,OgleAl00,qb_hits,2,,,,,
player,201910100nwe,nyg,OgleAl00,fumbles_rec,0,,,,,
player,201910100nwe,nyg,OgleAl00,fumbles_rec_yds,0,,,,,
player,201910100nwe,nyg,OgleAl00,fumbles_rec_td,0,,,,,
player,201910100nwe,nyg,OgleAl00,fumbles_forced,0,,,,,
player,201910100nwe,nyg,CartLo01,def_int,0,,,,,
player,201910100nwe,nyg,CartLo01,def_int_yds,0,,,,,
player,201910100nwe,nyg,CartLo01,def_int_td,0,,,,,
player,201910100nwe,nyg,CartLo01,def_int_long,0,,,,,
player,201910100nwe,nyg,CartLo01,pass_defended,0,,,,,
player,201910100nwe,nyg,CartLo01,sacks,1.0,,,,,
player,201910100nwe,nyg,CartLo01,tackles_combined,3,,,,,
player,201910100nwe,nyg,CartLo01,tackles_solo,3,,,,,
player,201910100nwe,nyg,CartLo01,tackles_assists,0,,,,,
player,201910100nwe,nyg,CartLo01,tackles_loss,0,,,,,
player,201910100nwe,nyg,CartLo01,qb_hits,2,,,,,
player,201910100nwe,nyg,CartLo01,fumbles_rec,0,,,,,
player,201910100nwe,nyg,CartLo01,fumbles_rec_yds,0,,,,,
player,201910100nwe,nyg,CartLo01,fumbles_rec_td,0,,,,,
player,201910100nwe,nyg,CartLo01,fumbles_forced,1,,,,,
player,201910100nwe,nyg,MayoDa00,def_int,0,,,,,
player,201910100nwe,nyg,MayoDa00,def_int_yds,0,,,,,
player,201910100nwe,nyg,MayoDa00,def_int_td,0,,,,,
player,201910100nwe,nyg,MayoDa00,def_int_long,0,,,,,
player,201910100nwe,nyg,MayoDa00,pass_defended,0,,,,,
player,201910100nwe,nyg,MayoDa00,sacks,0.5,,,,,
player,201910100nwe,nyg,MayoDa00,tackles_combined,12,,,,,
player,201910100nwe,nyg,MayoDa00,tackles_solo,8,,,,,
player,201910100nwe,nyg,MayoDa00,tackles_assists,4,,,,,
player,201910100nwe,nyg,MayoDa00,tackles_loss,0,,,,,
player,201910100nwe,nyg,MayoDa00,qb_hits,1,,,,,
player,201910100nwe,nyg,MayoDa00,fumbles_rec,0,,,,,
player,201910100nwe,nyg,MayoDa00,fumbles_rec_yds,0,,,,,
player,201910100nwe,nyg,MayoDa00,fumbles_rec_td,0,,,,,
player,201910100nwe,nyg,MayoDa00,fumbles_forced,0,,,,,
player,201910100nwe,nyg,GoldMa00,def_int,0,,,,,
player,201910100nwe,nyg,GoldMa00,def_int_yds,0,,,,,
player,201910100nwe,nyg,GoldMa00,def_int_td,0,,,,,
player,201910100nwe,nyg,GoldMa00,def_int_long,0,,,,,
player,201910100nwe,nyg,GoldMa00,pass_defended,0,,,,,
player,201910100nwe,nyg,GoldMa00,sacks,0.5,,,,,
player,201910100nwe,nyg,GoldMa00,tackles_combined,3,,,,,
player,201910100nwe,nyg,GoldMa00,tackles_solo,0,,,,,
player,201910100nwe,nyg,GoldMa00,tackles_assists,3,,,,,
player,201910100nwe,nyg,GoldMa00,tackles_loss,0,,,,,
player,201910100nwe,nyg,GoldMa00,qb_hits,1,,,,,
player,201910100nwe,nyg,GoldMa00,fumbles_rec,1,,,,,
player,201910100nwe,nyg,GoldMa00,fumbles_rec_yds,42,,,,,
player,201910100nwe,nyg,GoldMa00,fumbles_rec_td,1,,,,,
player,201910100nwe,nyg,GoldMa00,fumbles_forced,0,,,,,
player,201910100nwe,nyg,PeppJa00,def_int,0,,,,,
player,201910100nwe,nyg,PeppJa00,def_int_yds,0,,,,,
player,201910100nwe,nyg,PeppJa00,def_int_td,0,,,,,
player,201910100nwe,nyg,PeppJa00,def_int_long,0,,,,,
player,201910100nwe,nyg,PeppJa00,pass_defended,0,,,,,
player,201910100nwe,nyg,PeppJa00,sacks,0.0,,,,,
player,201910100nwe,nyg,PeppJa00,tackles_combined,10,,,,,
