game,2019,3,20190922,201909220kan,rav,"Baltimore Ravens",28,kan,"Kansas City Chiefs",33
player,201909220kan,rav,AndrMa00,pass_cmp,0,,,,,
player,201909220kan,rav,AndrMa00,pass_att,0,,,,,
player,201909220kan,rav,AndrMa00,pass_yds,0,,,,,
player,201909220kan,rav,AndrMa00,pass_td,0,,,,,
player,201909220kan,rav,AndrMa00,pass_int,0,,,,,
player,201909220kan,rav,AndrMa00,pass_sacked,0,,,,,
player,201909220kan,rav,AndrMa00,pass_sacked_yds,0,,,,,
player,201909220kan,rav,AndrMa00,pass_long,0,,,,,
player,201909220kan,rav,AndrMa00,pass_rating,,,,,,
player,201909220kan,rav,AndrMa00,rush_att,0,,,,,
player,201909220kan,rav,AndrMa00,rush_yds,0,,,,,
player,201909220kan,rav,AndrMa00,rush_td,0,,,,,
player,201909220kan,rav,AndrMa00,rush_long,0,,,,,
player,201909220kan,rav,AndrMa00,targets,7,,,,,
player,201909220kan,rav,AndrMa00,rec,3,,,,,
player,201909220kan,rav,AndrMa00,rec_yds,15,,,,,
player,201909220kan,rav,AndrMa00,rec_td,0,,,,,
player,201909220kan,rav,AndrMa00,rec_long,5,,,,,
player,201909220kan,rav,AndrMa00,fumbles,0,,,,,
player,201909220kan,rav,AndrMa00,fumbles_lost,0,,,,,
player,201909220kan,rav,HursHa00,pass_cmp,0,,,,,
player,201909220kan,rav,HursHa00,pass_att,0,,,,,
player,201909220kan,rav,HursHa00,pass_yds,0,,,,,
player,201909220kan,rav,HursHa00,pass_td,0,,,,,
player,201909220kan,rav,HursHa00,pass_int,0,,,,,
player,201909220kan,rav,HursHa00,pass_sacked,0,,,,,
player,201909220kan,rav,HursHa00,pass_sacked_yds,0,,,,,
player,201909220kan,rav,HursHa00,pass_long,0,,,,,
player,201909220kan,rav,HursHa00,pass_rating,,,,,,
player,201909220kan,rav,HursHa00,rush_att,0,,,,,
player,201909220kan,rav,HursHa00,rush_yds,0,,,,,
player,201909220kan,rav,HursHa00,rush_td,0,,,,,
player,201909220kan,rav,HursHa00,rush_long,0,,,,,
player,201909220kan,rav,HursHa00,targets,5,,,,,
player,201909220kan,rav,HursHa00,rec,2,,,,,
player,201909220kan,rav,HursHa00,rec_yds,14,,,,,
player,201909220kan,rav,HursHa00,rec_td,0,,,,,
player,201909220kan,rav,HursHa00,rec_long,11,,,,,
player,201909220kan,rav,HursHa00,fumbles,0,,,,,
player,201909220kan,rav,HursHa00,fumbles_lost,0,,,,,
player,201909220kan,rav,BoykMi00,pass_cmp,0,,,,,
player,201909220kan,rav,BoykMi00,pass_att,0,,,,,
player,201909220kan,rav,BoykMi00,pass_yds,0,,,,,
player,201909220kan,rav,BoykMi00,pass_td,0,,,,,
player,201909220kan,rav,BoykMi00,pass_int,0,,,,,
player,201909220kan,rav,BoykMi00,pass_sacked,0,,,,,
