game,2019,3,20190922,201909220dal,mia,"Miami Dolphins",6,dal,"Dallas Cowboys",31
player,201909220dal,mia,FitzRy00,pass_att,2,,,,,
player,201909220dal,mia,FitzRy00,pass_yds,29,,,,,
player,201909220dal,mia,FitzRy00,pass_td,0,,,,,
player,201909220dal,mia,FitzRy00,pass_int,0,,,,,
player,201909220dal,mia,FitzRy00,pass_sacked,0,,,,,
player,201909220dal,mia,FitzRy00,pass_sacked_yds,0,,,,,
player,201909220dal,mia,FitzRy00,pass_long,25,,,,,
player,201909220dal,mia,FitzRy00,pass_rating,118.7,,,,,
player,201909220dal,mia,FitzRy00,rush_att,0,,,,,
player,201909220dal,mia,FitzRy00,rush_yds,0,,,,,
player,201909220dal,mia,FitzRy00,rush_td,0,,,,,
player,201909220dal,mia,FitzRy00,rush_long,0,,,,,
player,201909220dal,mia,FitzRy00,targets,0,,,,,
player,201909220dal,mia,FitzRy00,rec,0,,,,,
player,201909220dal,mia,FitzRy00,rec_yds,0,,,,,
player,201909220dal,mia,FitzRy00,rec_td,0,,,,,
player,201909220dal,mia,FitzRy00,rec_long,0,,,,,
player,201909220dal,mia,FitzRy00,fumbles,0,,,,,
player,201909220dal,mia,FitzRy00,fumbles_lost,0,,,,,
player,201909220dal,mia,DrakKe00,pass_cmp,0,,,,,
player,201909220dal,mia,DrakKe00,pass_att,0,,,,,
player,201909220dal,mia,DrakKe00,pass_yds,0,,,,,
player,201909220dal,mia,DrakKe00,pass_td,0,,,,,
player,201909220dal,mia,DrakKe00,pass_int,0,,,,,
player,201909220dal,mia,DrakKe00,pass_sacked,0,,,,,
player,201909220dal,mia,DrakKe00,pass_sacked_yds,0,,,,,
player,201909220dal,mia,DrakKe00,pass_long,0,,,,,
player,201909220dal,mia,DrakKe00,pass_rating,,,,,,
player,201909220dal,mia,DrakKe00,rush_att,12,,,,,
player,201909220dal,mia,DrakKe00,rush_yds,38,,,,,
player,201909220dal,mia,DrakKe00,rush_td,0,,,,,
player,201909220dal,mia,DrakKe00,rush_long,8,,,,,
player,201909220dal,mia,DrakKe00,targets,6,,,,,
player,201909220dal,mia,DrakKe00,rec,3,,,,,
player,201909220dal,mia,DrakKe00,rec_yds,34,,,,,
player,201909220dal,mia,DrakKe00,rec_td,0,,,,,
player,201909220dal,mia,DrakKe00,rec_long,19,,,,,
player,201909220dal,mia,DrakKe00,fumbles,1,,,,,
player,201909220dal,mia,DrakKe00,fumbles_lost,1,,,,,
player,201909220dal,mia,BallKa00,pass_cmp,0,,,,,
player,201909220dal,mia,BallKa00,pass_att,0,,,,,
player,201909220dal,mia,BallKa00,pass_yds,0,,,,,
player,201909220dal,mia,BallKa00,pass_td,0,,,,,
player,201909220dal,mia,BallKa00,pass_int,0,,,,,
player,201909220dal,mia,BallKa00,pass_sacked,0,,,,,
player,201909220dal,mia,BallKa00,pass_sacked_yds,0,,,,,
player,201909220dal,mia,BallKa00,pass_long,0,,,,,
player,201909220dal,mia,BallKa00,pass_rating,,,,,,
player,201909220dal,mia,BallKa00,rush_att,8,,,,,
player,201909220dal,mia,BallKa00,rush_yds,17,,,,,
player,201909220dal,mia,BallKa00,rush_td,0,,,,,
player,201909220dal,mia,BallKa00,rush_long,6,,,,,
player,201909220dal,mia,BallKa00,targets,3,,,,,
player,201909220dal,mia,BallKa00,rec,1,,,,,
player,201909220dal,mia,BallKa00,rec_yds,10,,,,,
player,201909220dal,mia,BallKa00,rec_td,0,,,,,
player,201909220dal,mia,BallKa00,rec_long,10,,,,,
player,201909220dal,mia,BallKa00,fumbles,0,,,,,
player,201909220dal,mia,BallKa00,fumbles_lost,0,,,,,
player,201909220dal,mia,GranJa00,pass_cmp,0,,,,,
player,201909220dal,mia,GranJa00,pass_att,0,,,,,
player,201909220dal,mia,GranJa00,pass_yds,0,,,,,
player,201909220dal,mia,GranJa00,pass_td,0,,,,,
player,201909220dal,mia,GranJa00,pass_int,0,,,,,
player,201909220dal,mia,GranJa00,pass_sacked,0,,,,,
player,201909220dal,mia,GranJa00,pass_sacked_yds,0,,,,,
player,201909220dal,mia,GranJa00,pass_long,0,,,,,
player,201909220dal,mia,GranJa00,pass_rating,,,,,,
player,201909220dal,mia,GranJa00,rush_att,1,,,,,
player,201909220dal,mia,GranJa00,rush_yds,4,,,,,
player,201909220dal,mia,GranJa00,rush_td,0,,,,,
player,201909220dal,mia,GranJa00,rush_long,4,,,,,
player,201909220dal,mia,GranJa00,targets,7,,,,,
player,201909220dal,mia,GranJa00,rec,4,,,,,
player,201909220dal,mia,GranJa00,rec_yds,27,,,,,
player,201909220dal,mia,GranJa00,rec_td,0,,,,,
player,201909220dal,mia,GranJa00,rec_long,10,,,,,
player,201909220dal,mia,GranJa00,fumbles,1,,,,,
player,201909220dal,mia,GranJa00,fumbles_lost,0,,,,,
player,201909220dal,mia,WillPr01,pass_cmp,0,,,,,
player,201909220dal,mia,WillPr01,pass_att,0,,,,,
player,201909220dal,mia,WillPr01,pass_yds,0,,,,,
player,201909220dal,mia,WillPr01,pass_td,0,,,,,
player,201909220dal,mia,WillPr01,pass_int,0,,,,,
player,201909220dal,mia,WillPr01,pass_sacked,0,,,,,
player,201909220dal,mia,WillPr01,pass_sacked_yds,0,,,,,
player,201909220dal,mia,WillPr01,pass_long,0,,,,,
player,201909220dal,mia,WillPr01,pass_rating,,,,,,
player,201909220dal,mia,WillPr01,rush_att,0,,,,,
player,201909220dal,mia,WillPr01,rush_yds,0,,,,,
player,201909220dal,mia,WillPr01,rush_td,0,,,,,
player,201909220dal,mia,WillPr01,rush_long,0,,,,,
player,201909220dal,mia,WillPr01,targets,12,,,,,
player,201909220dal,mia,WillPr01,rec,4,,,,,
player,201909220dal,mia,WillPr01,rec_yds,68,,,,,
player,201909220dal,mia,WillPr01,rec_td,0,,,,,
player,201909220dal,mia,WillPr01,rec_long,25,,,,,
player,201909220dal,mia,WillPr01,fumbles,0,,,,,
player,201909220dal,mia,WillPr01,fumbles_lost,0,,,,,
player,201909220dal,mia,ParkDe01,pass_cmp,0,,,,,
player,201909220dal,mia,ParkDe01,pass_att,0,,,,,
player,201909220dal,mia,ParkDe01,pass_yds,0,,,,,
player,201909220dal,mia,ParkDe01,pass_td,0,,,,,
player,201909220dal,mia,ParkDe01,pass_int,0,,,,,
player,201909220dal,mia,ParkDe01,pass_sacked,0,,,,,
player,201909220dal,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201909220dal,mia,ParkDe01,pass_long,0,,,,,
player,201909220dal,mia,ParkDe01,pass_rating,,,,,,
player,201909220dal,mia,ParkDe01,rush_att,0,,,,,
player,201909220dal,mia,ParkDe01,rush_yds,0,,,,,
player,201909220dal,mia,ParkDe01,rush_td,0,,,,,
player,201909220dal,mia,ParkDe01,rush_long,0,,,,,
player,201909220dal,mia,ParkDe01,targets,6,,,,,
player,201909220dal,mia,ParkDe01,rec,3,,,,,
player,201909220dal,mia,ParkDe01,rec_yds,56,,,,,
player,201909220dal,mia,ParkDe01,rec_td,0,,,,,
player,201909220dal,mia,ParkDe01,rec_long,40,,,,,
player,201909220dal,mia,ParkDe01,fumbles,0,,,,,
player,201909220dal,mia,ParkDe01,fumbles_lost,0,,,,,
player,201909220dal,mia,OLeaNi00,pass_cmp,0,,,,,
player,201909220dal,mia,OLeaNi00,pass_att,0,,,,,
player,201909220dal,mia,OLeaNi00,pass_yds,0,,,,,
player,201909220dal,mia,OLeaNi00,pass_td,0,,,,,
player,201909220dal,mia,OLeaNi00,pass_int,0,,,,,
player,201909220dal,mia,OLeaNi00,pass_sacked,0,,,,,
player,201909220dal,mia,OLeaNi00,pass_sacked_yds,0,,,,,
player,201909220dal,mia,OLeaNi00,pass_long,0,,,,,
player,201909220dal,mia,OLeaNi00,pass_rating,,,,,,
player,201909220dal,mia,OLeaNi00,rush_att,0,,,,,
player,201909220dal,mia,OLeaNi00,rush_yds,0,,,,,
player,201909220dal,mia,OLeaNi00,rush_td,0,,,,,
player,201909220dal,mia,OLeaNi00,rush_long,0,,,,,
player,201909220dal,mia,OLeaNi00,targets,1,,,,,
player,201909220dal,mia,OLeaNi00,rec,1,,,,,
player,201909220dal,mia,OLeaNi00,rec_yds,19,,,,,
player,201909220dal,mia,OLeaNi00,rec_td,0,,,,,
player,201909220dal,mia,OLeaNi00,rec_long,19,,,,,
player,201909220dal,mia,OLeaNi00,fumbles,0,,,,,
player,201909220dal,mia,OLeaNi00,fumbles_lost,0,,,,,
player,201909220dal,mia,GesiMi00,pass_cmp,0,,,,,
player,201909220dal,mia,GesiMi00,pass_att,0,,,,,
player,201909220dal,mia,GesiMi00,pass_yds,0,,,,,
player,201909220dal,mia,GesiMi00,pass_td,0,,,,,
player,201909220dal,mia,GesiMi00,pass_int,0,,,,,
player,201909220dal,mia,GesiMi00,pass_sacked,0,,,,,
player,201909220dal,mia,GesiMi00,pass_sacked_yds,0,,,,,
player,201909220dal,mia,GesiMi00,pass_long,0,,,,,
player,201909220dal,mia,GesiMi00,pass_rating,,,,,,
player,201909220dal,mia,GesiMi00,rush_att,0,,,,,
player,201909220dal,mia,GesiMi00,rush_yds,0,,,,,
player,201909220dal,mia,GesiMi00,rush_td,0,,,,,
player,201909220dal,mia,GesiMi00,rush_long,0,,,,,
player,201909220dal,mia,GesiMi00,targets,3,,,,,
player,201909220dal,mia,GesiMi00,rec,3,,,,,
player,201909220dal,mia,GesiMi00,rec_yds,9,,,,,
player,201909220dal,mia,GesiMi00,rec_td,0,,,,,
player,201909220dal,mia,GesiMi00,rec_long,5,,,,,
player,201909220dal,mia,GesiMi00,fumbles,0,,,,,
player,201909220dal,mia,GesiMi00,fumbles_lost,0,,,,,
player,201909220dal,mia,HurnAl01,pass_cmp,0,,,,,
player,201909220dal,mia,HurnAl01,pass_att,0,,,,,
player,201909220dal,mia,HurnAl01,pass_yds,0,,,,,
player,201909220dal,mia,HurnAl01,pass_td,0,,,,,
player,201909220dal,mia,HurnAl01,pass_int,0,,,,,
player,201909220dal,mia,HurnAl01,pass_sacked,0,,,,,
player,201909220dal,mia,HurnAl01,pass_sacked_yds,0,,,,,
player,201909220dal,mia,HurnAl01,pass_long,0,,,,,
player,201909220dal,mia,HurnAl01,pass_rating,,,,,,
player,201909220dal,mia,HurnAl01,rush_att,0,,,,,
player,201909220dal,mia,HurnAl01,rush_yds,0,,,,,
player,201909220dal,mia,HurnAl01,rush_td,0,,,,,
player,201909220dal,mia,HurnAl01,rush_long,0,,,,,
player,201909220dal,mia,HurnAl01,targets,2,,,,,
player,201909220dal,mia,HurnAl01,rec,1,,,,,
player,201909220dal,mia,HurnAl01,rec_yds,6,,,,,
player,201909220dal,mia,HurnAl01,rec_td,0,,,,,
player,201909220dal,mia,HurnAl01,rec_long,6,,,,,
player,201909220dal,mia,HurnAl01,fumbles,0,,,,,
player,201909220dal,mia,HurnAl01,fumbles_lost,0,,,,,
player,201909220dal,mia,SmytDu00,pass_cmp,0,,,,,
player,201909220dal,mia,SmytDu00,pass_att,0,,,,,
player,201909220dal,mia,SmytDu00,pass_yds,0,,,,,
player,201909220dal,mia,SmytDu00,pass_td,0,,,,,
player,201909220dal,mia,SmytDu00,pass_int,0,,,,,
player,201909220dal,mia,SmytDu00,pass_sacked,0,,,,,
player,201909220dal,mia,SmytDu00,pass_sacked_yds,0,,,,,
player,201909220dal,mia,SmytDu00,pass_long,0,,,,,
player,201909220dal,mia,SmytDu00,pass_rating,,,,,,
player,201909220dal,mia,SmytDu00,rush_att,0,,,,,
player,201909220dal,mia,SmytDu00,rush_yds,0,,,,,
player,201909220dal,mia,SmytDu00,rush_td,0,,,,,
player,201909220dal,mia,SmytDu00,rush_long,0,,,,,
player,201909220dal,mia,SmytDu00,targets,1,,,,,
player,201909220dal,mia,SmytDu00,rec,0,,,,,
player,201909220dal,mia,SmytDu00,rec_yds,0,,,,,
player,201909220dal,mia,SmytDu00,rec_td,0,,,,,
player,201909220dal,mia,SmytDu00,rec_long,0,,,,,
player,201909220dal,mia,SmytDu00,fumbles,0,,,,,
player,201909220dal,mia,SmytDu00,fumbles_lost,0,,,,,
player,201909220dal,dal,PresDa01,pass_cmp,19,,,,,
player,201909220dal,dal,PresDa01,pass_att,32,,,,,
player,201909220dal,dal,PresDa01,pass_yds,246,,,,,
player,201909220dal,dal,PresDa01,pass_td,2,,,,,
player,201909220dal,dal,PresDa01,pass_int,1,,,,,
player,201909220dal,dal,PresDa01,pass_sacked,1,,,,,
player,201909220dal,dal,PresDa01,pass_sacked_yds,5,,,,,
player,201909220dal,dal,PresDa01,pass_long,37,,,,,
player,201909220dal,dal,PresDa01,pass_rating,91.4,,,,,
player,201909220dal,dal,PresDa01,rush_att,2,,,,,
player,201909220dal,dal,PresDa01,rush_yds,7,,,,,
player,201909220dal,dal,PresDa01,rush_td,1,,,,,
player,201909220dal,dal,PresDa01,rush_long,8,,,,,
player,201909220dal,dal,PresDa01,targets,0,,,,,
player,201909220dal,dal,PresDa01,rec,0,,,,,
player,201909220dal,dal,PresDa01,rec_yds,0,,,,,
player,201909220dal,dal,PresDa01,rec_td,0,,,,,
player,201909220dal,dal,PresDa01,rec_long,0,,,,,
player,201909220dal,dal,PresDa01,fumbles,0,,,,,
player,201909220dal,dal,PresDa01,fumbles_lost,0,,,,,
player,201909220dal,dal,ElliEz00,pass_cmp,0,,,,,
player,201909220dal,dal,ElliEz00,pass_att,0,,,,,
player,201909220dal,dal,ElliEz00,pass_yds,0,,,,,
player,201909220dal,dal,ElliEz00,pass_td,0,,,,,
player,201909220dal,dal,ElliEz00,pass_int,0,,,,,
player,201909220dal,dal,ElliEz00,pass_sacked,0,,,,,
player,201909220dal,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201909220dal,dal,ElliEz00,pass_long,0,,,,,
player,201909220dal,dal,ElliEz00,pass_rating,,,,,,
player,201909220dal,dal,ElliEz00,rush_att,19,,,,,
player,201909220dal,dal,ElliEz00,rush_yds,125,,,,,
player,201909220dal,dal,ElliEz00,rush_td,0,,,,,
player,201909220dal,dal,ElliEz00,rush_long,18,,,,,
player,201909220dal,dal,ElliEz00,targets,3,,,,,
player,201909220dal,dal,ElliEz00,rec,2,,,,,
player,201909220dal,dal,ElliEz00,rec_yds,14,,,,,
player,201909220dal,dal,ElliEz00,rec_td,0,,,,,
player,201909220dal,dal,ElliEz00,rec_long,12,,,,,
player,201909220dal,dal,ElliEz00,fumbles,0,,,,,
player,201909220dal,dal,ElliEz00,fumbles_lost,0,,,,,
player,201909220dal,dal,PollTo00,pass_cmp,0,,,,,
player,201909220dal,dal,PollTo00,pass_att,0,,,,,
player,201909220dal,dal,PollTo00,pass_yds,0,,,,,
player,201909220dal,dal,PollTo00,pass_td,0,,,,,
player,201909220dal,dal,PollTo00,pass_int,0,,,,,
player,201909220dal,dal,PollTo00,pass_sacked,0,,,,,
player,201909220dal,dal,PollTo00,pass_sacked_yds,0,,,,,
player,201909220dal,dal,PollTo00,pass_long,0,,,,,
player,201909220dal,dal,PollTo00,pass_rating,,,,,,
player,201909220dal,dal,PollTo00,rush_att,13,,,,,
player,201909220dal,dal,PollTo00,rush_yds,103,,,,,
player,201909220dal,dal,PollTo00,rush_td,1,,,,,
player,201909220dal,dal,PollTo00,rush_long,28,,,,,
player,201909220dal,dal,PollTo00,targets,3,,,,,
player,201909220dal,dal,PollTo00,rec,3,,,,,
player,201909220dal,dal,PollTo00,rec_yds,25,,,,,
player,201909220dal,dal,PollTo00,rec_td,0,,,,,
player,201909220dal,dal,PollTo00,rec_long,12,,,,,
player,201909220dal,dal,PollTo00,fumbles,0,,,,,
player,201909220dal,dal,PollTo00,fumbles_lost,0,,,,,
player,201909220dal,dal,CoopAm00,pass_cmp,0,,,,,
player,201909220dal,dal,CoopAm00,pass_att,0,,,,,
player,201909220dal,dal,CoopAm00,pass_yds,0,,,,,
player,201909220dal,dal,CoopAm00,pass_td,0,,,,,
player,201909220dal,dal,CoopAm00,pass_int,0,,,,,
player,201909220dal,dal,CoopAm00,pass_sacked,0,,,,,
player,201909220dal,dal,CoopAm00,pass_sacked_yds,0,,,,,
player,201909220dal,dal,CoopAm00,pass_long,0,,,,,
player,201909220dal,dal,CoopAm00,pass_rating,,,,,,
player,201909220dal,dal,CoopAm00,rush_att,0,,,,,
player,201909220dal,dal,CoopAm00,rush_yds,0,,,,,
player,201909220dal,dal,CoopAm00,rush_td,0,,,,,
player,201909220dal,dal,CoopAm00,rush_long,0,,,,,
player,201909220dal,dal,CoopAm00,targets,7,,,,,
player,201909220dal,dal,CoopAm00,rec,6,,,,,
player,201909220dal,dal,CoopAm00,rec_yds,88,,,,,
player,201909220dal,dal,CoopAm00,rec_td,2,,,,,
player,201909220dal,dal,CoopAm00,rec_long,37,,,,,
player,201909220dal,dal,CoopAm00,fumbles,0,,,,,
player,201909220dal,dal,CoopAm00,fumbles_lost,0,,,,,
player,201909220dal,dal,WittJa00,pass_cmp,0,,,,,
player,201909220dal,dal,WittJa00,pass_att,0,,,,,
player,201909220dal,dal,WittJa00,pass_yds,0,,,,,
player,201909220dal,dal,WittJa00,pass_td,0,,,,,
player,201909220dal,dal,WittJa00,pass_int,0,,,,,
player,201909220dal,dal,WittJa00,pass_sacked,0,,,,,
player,201909220dal,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201909220dal,dal,WittJa00,pass_long,0,,,,,
player,201909220dal,dal,WittJa00,pass_rating,,,,,,
player,201909220dal,dal,WittJa00,rush_att,0,,,,,
player,201909220dal,dal,WittJa00,rush_yds,0,,,,,
player,201909220dal,dal,WittJa00,rush_td,0,,,,,
player,201909220dal,dal,WittJa00,rush_long,0,,,,,
player,201909220dal,dal,WittJa00,targets,4,,,,,
player,201909220dal,dal,WittJa00,rec,3,,,,,
player,201909220dal,dal,WittJa00,rec_yds,54,,,,,
player,201909220dal,dal,WittJa00,rec_td,0,,,,,
player,201909220dal,dal,WittJa00,rec_long,33,,,,,
player,201909220dal,dal,WittJa00,fumbles,0,,,,,
player,201909220dal,dal,WittJa00,fumbles_lost,0,,,,,
player,201909220dal,dal,SmitDe04,pass_cmp,0,,,,,
player,201909220dal,dal,SmitDe04,pass_att,0,,,,,
player,201909220dal,dal,SmitDe04,pass_yds,0,,,,,
player,201909220dal,dal,SmitDe04,pass_td,0,,,,,
player,201909220dal,dal,SmitDe04,pass_int,0,,,,,
player,201909220dal,dal,SmitDe04,pass_sacked,0,,,,,
player,201909220dal,dal,SmitDe04,pass_sacked_yds,0,,,,,
player,201909220dal,dal,SmitDe04,pass_long,0,,,,,
player,201909220dal,dal,SmitDe04,pass_rating,,,,,,
player,201909220dal,dal,SmitDe04,rush_att,0,,,,,
player,201909220dal,dal,SmitDe04,rush_yds,0,,,,,
player,201909220dal,dal,SmitDe04,rush_td,0,,,,,
player,201909220dal,dal,SmitDe04,rush_long,0,,,,,
player,201909220dal,dal,SmitDe04,targets,5,,,,,
player,201909220dal,dal,SmitDe04,rec,2,,,,,
player,201909220dal,dal,SmitDe04,rec_yds,39,,,,,
player,201909220dal,dal,SmitDe04,rec_td,0,,,,,
player,201909220dal,dal,SmitDe04,rec_long,33,,,,,
player,201909220dal,dal,SmitDe04,fumbles,0,,,,,
player,201909220dal,dal,SmitDe04,fumbles_lost,0,,,,,
player,201909220dal,dal,CobbRa00,pass_cmp,0,,,,,
player,201909220dal,dal,CobbRa00,pass_att,0,,,,,
player,201909220dal,dal,CobbRa00,pass_yds,0,,,,,
player,201909220dal,dal,CobbRa00,pass_td,0,,,,,
player,201909220dal,dal,CobbRa00,pass_int,0,,,,,
player,201909220dal,dal,CobbRa00,pass_sacked,0,,,,,
player,201909220dal,dal,CobbRa00,pass_sacked_yds,0,,,,,
player,201909220dal,dal,CobbRa00,pass_long,0,,,,,
player,201909220dal,dal,CobbRa00,pass_rating,,,,,,
player,201909220dal,dal,CobbRa00,rush_att,0,,,,,
player,201909220dal,dal,CobbRa00,rush_yds,0,,,,,
player,201909220dal,dal,CobbRa00,rush_td,0,,,,,
player,201909220dal,dal,CobbRa00,rush_long,0,,,,,
player,201909220dal,dal,CobbRa00,targets,4,,,,,
player,201909220dal,dal,CobbRa00,rec,2,,,,,
player,201909220dal,dal,CobbRa00,rec_yds,23,,,,,
player,201909220dal,dal,CobbRa00,rec_td,0,,,,,
player,201909220dal,dal,CobbRa00,rec_long,20,,,,,
player,201909220dal,dal,CobbRa00,fumbles,0,,,,,
player,201909220dal,dal,CobbRa00,fumbles_lost,0,,,,,
player,201909220dal,dal,JarwBl00,pass_cmp,0,,,,,
player,201909220dal,dal,JarwBl00,pass_att,0,,,,,
player,201909220dal,dal,JarwBl00,pass_yds,0,,,,,
player,201909220dal,dal,JarwBl00,pass_td,0,,,,,
player,201909220dal,dal,JarwBl00,pass_int,0,,,,,
player,201909220dal,dal,JarwBl00,pass_sacked,0,,,,,
player,201909220dal,dal,JarwBl00,pass_sacked_yds,0,,,,,
player,201909220dal,dal,JarwBl00,pass_long,0,,,,,
player,201909220dal,dal,JarwBl00,pass_rating,,,,,,
player,201909220dal,dal,JarwBl00,rush_att,0,,,,,
player,201909220dal,dal,JarwBl00,rush_yds,0,,,,,
player,201909220dal,dal,JarwBl00,rush_td,0,,,,,
player,201909220dal,dal,JarwBl00,rush_long,0,,,,,
player,201909220dal,dal,JarwBl00,targets,3,,,,,
player,201909220dal,dal,JarwBl00,rec,1,,,,,
player,201909220dal,dal,JarwBl00,rec_yds,3,,,,,
player,201909220dal,dal,JarwBl00,rec_td,0,,,,,
player,201909220dal,dal,JarwBl00,rec_long,3,,,,,
player,201909220dal,dal,JarwBl00,fumbles,0,,,,,
player,201909220dal,dal,JarwBl00,fumbles_lost,0,,,,,
player,201909220dal,dal,WilsCe01,pass_cmp,0,,,,,
player,201909220dal,dal,WilsCe01,pass_att,0,,,,,
player,201909220dal,dal,WilsCe01,pass_yds,0,,,,,
player,201909220dal,dal,WilsCe01,pass_td,0,,,,,
player,201909220dal,dal,WilsCe01,pass_int,0,,,,,
player,201909220dal,dal,WilsCe01,pass_sacked,0,,,,,
player,201909220dal,dal,WilsCe01,pass_sacked_yds,0,,,,,
player,201909220dal,dal,WilsCe01,pass_long,0,,,,,
player,201909220dal,dal,WilsCe01,pass_rating,,,,,,
player,201909220dal,dal,WilsCe01,rush_att,0,,,,,
player,201909220dal,dal,WilsCe01,rush_yds,0,,,,,
player,201909220dal,dal,WilsCe01,rush_td,0,,,,,
player,201909220dal,dal,WilsCe01,rush_long,0,,,,,
player,201909220dal,dal,WilsCe01,targets,1,,,,,
player,201909220dal,dal,WilsCe01,rec,0,,,,,
player,201909220dal,dal,WilsCe01,rec_yds,0,,,,,
player,201909220dal,dal,WilsCe01,rec_td,0,,,,,
player,201909220dal,dal,WilsCe01,rec_long,0,,,,,
player,201909220dal,dal,WilsCe01,fumbles,0,,,,,
player,201909220dal,dal,WilsCe01,fumbles_lost,0,,,,,
player,201909220dal,mia,McCaBo01,def_int,1,,,,,
player,201909220dal,mia,McCaBo01,def_int_yds,21,,,,,
player,201909220dal,mia,McCaBo01,def_int_td,0,,,,,
player,201909220dal,mia,McCaBo01,def_int_long,21,,,,,
player,201909220dal,mia,McCaBo01,pass_defended,1,,,,,
player,201909220dal,mia,McCaBo01,sacks,0.0,,,,,
player,201909220dal,mia,McCaBo01,tackles_combined,5,,,,,
player,201909220dal,mia,McCaBo01,tackles_solo,3,,,,,
player,201909220dal,mia,McCaBo01,tackles_assists,2,,,,,
player,201909220dal,mia,McCaBo01,tackles_loss,0,,,,,
player,201909220dal,mia,McCaBo01,qb_hits,0,,,,,
player,201909220dal,mia,McCaBo01,fumbles_rec,0,,,,,
player,201909220dal,mia,McCaBo01,fumbles_rec_yds,0,,,,,
player,201909220dal,mia,McCaBo01,fumbles_rec_td,0,,,,,
player,201909220dal,mia,McCaBo01,fumbles_forced,0,,,,,
player,201909220dal,mia,CharTa00,def_int,0,,,,,
player,201909220dal,mia,CharTa00,def_int_yds,0,,,,,
player,201909220dal,mia,CharTa00,def_int_td,0,,,,,
player,201909220dal,mia,CharTa00,def_int_long,0,,,,,
player,201909220dal,mia,CharTa00,pass_defended,0,,,,,
player,201909220dal,mia,CharTa00,sacks,1.0,,,,,
player,201909220dal,mia,CharTa00,tackles_combined,2,,,,,
player,201909220dal,mia,CharTa00,tackles_solo,1,,,,,
player,201909220dal,mia,CharTa00,tackles_assists,1,,,,,
player,201909220dal,mia,CharTa00,tackles_loss,1,,,,,
player,201909220dal,mia,CharTa00,qb_hits,1,,,,,
player,201909220dal,mia,CharTa00,fumbles_rec,0,,,,,
player,201909220dal,mia,CharTa00,fumbles_rec_yds,0,,,,,
player,201909220dal,mia,CharTa00,fumbles_rec_td,0,,,,,
player,201909220dal,mia,CharTa00,fumbles_forced,0,,,,,
player,201909220dal,mia,EguaSa00,def_int,0,,,,,
player,201909220dal,mia,EguaSa00,def_int_yds,0,,,,,
player,201909220dal,mia,EguaSa00,def_int_td,0,,,,,
