game,2019,4,20190929,201909290clt,rai,"Oakland Raiders",31,clt,"Indianapolis Colts",24
player,201909290clt,clt,HineNy00,pass_sacked,0,,,,,
player,201909290clt,clt,HineNy00,pass_sacked_yds,0,,,,,
player,201909290clt,clt,HineNy00,pass_long,0,,,,,
player,201909290clt,clt,HineNy00,pass_rating,,,,,,
player,201909290clt,clt,HineNy00,rush_att,3,,,,,
player,201909290clt,clt,HineNy00,rush_yds,6,,,,,
player,201909290clt,clt,HineNy00,rush_td,0,,,,,
player,201909290clt,clt,HineNy00,rush_long,4,,,,,
player,201909290clt,clt,HineNy00,targets,6,,,,,
player,201909290clt,clt,HineNy00,rec,6,,,,,
player,201909290clt,clt,HineNy00,rec_yds,39,,,,,
player,201909290clt,clt,HineNy00,rec_td,0,,,,,
player,201909290clt,clt,HineNy00,rec_long,14,,,,,
player,201909290clt,clt,HineNy00,fumbles,0,,,,,
player,201909290clt,clt,HineNy00,fumbles_lost,0,,,,,
player,201909290clt,clt,PascZa00,pass_cmp,0,,,,,
player,201909290clt,clt,PascZa00,pass_att,0,,,,,
player,201909290clt,clt,PascZa00,pass_yds,0,,,,,
player,201909290clt,clt,PascZa00,pass_td,0,,,,,
player,201909290clt,clt,PascZa00,pass_int,0,,,,,
player,201909290clt,clt,PascZa00,pass_sacked,0,,,,,
player,201909290clt,clt,PascZa00,pass_sacked_yds,0,,,,,
player,201909290clt,clt,PascZa00,pass_long,0,,,,,
player,201909290clt,clt,PascZa00,pass_rating,,,,,,
player,201909290clt,clt,PascZa00,rush_att,0,,,,,
player,201909290clt,clt,PascZa00,rush_yds,0,,,,,
player,201909290clt,clt,PascZa00,rush_td,0,,,,,
player,201909290clt,clt,PascZa00,rush_long,0,,,,,
player,201909290clt,clt,PascZa00,targets,7,,,,,
player,201909290clt,clt,PascZa00,rec,4,,,,,
player,201909290clt,clt,PascZa00,rec_yds,72,,,,,
player,201909290clt,clt,PascZa00,rec_td,0,,,,,
player,201909290clt,clt,PascZa00,rec_long,28,,,,,
player,201909290clt,clt,PascZa00,fumbles,0,,,,,
player,201909290clt,clt,PascZa00,fumbles_lost,0,,,,,
player,201909290clt,clt,EbroEr00,pass_cmp,0,,,,,
player,201909290clt,clt,EbroEr00,pass_att,0,,,,,
player,201909290clt,clt,EbroEr00,pass_yds,0,,,,,
player,201909290clt,clt,EbroEr00,pass_td,0,,,,,
player,201909290clt,clt,EbroEr00,pass_int,0,,,,,
player,201909290clt,clt,EbroEr00,pass_sacked,0,,,,,
player,201909290clt,clt,EbroEr00,pass_sacked_yds,0,,,,,
player,201909290clt,clt,EbroEr00,pass_long,0,,,,,
player,201909290clt,clt,EbroEr00,pass_rating,,,,,,
player,201909290clt,clt,EbroEr00,rush_att,0,,,,,
player,201909290clt,clt,EbroEr00,rush_yds,0,,,,,
player,201909290clt,clt,EbroEr00,rush_td,0,,,,,
player,201909290clt,clt,EbroEr00,rush_long,0,,,,,
player,201909290clt,clt,EbroEr00,targets,5,,,,,
player,201909290clt,clt,EbroEr00,rec,1,,,,,
player,201909290clt,clt,EbroEr00,rec_yds,48,,,,,
player,201909290clt,clt,EbroEr00,rec_td,1,,,,,
player,201909290clt,clt,EbroEr00,rec_long,48,,,,,
player,201909290clt,clt,EbroEr00,fumbles,0,,,,,
player,201909290clt,clt,EbroEr00,fumbles_lost,0,,,,,
player,201909290clt,clt,RogeCh02,pass_cmp,0,,,,,
player,201909290clt,clt,RogeCh02,pass_att,0,,,,,
player,201909290clt,clt,RogeCh02,pass_yds,0,,,,,
player,201909290clt,clt,RogeCh02,pass_td,0,,,,,
player,201909290clt,clt,RogeCh02,pass_int,0,,,,,
player,201909290clt,clt,RogeCh02,pass_sacked,0,,,,,
player,201909290clt,clt,RogeCh02,pass_sacked_yds,0,,,,,
player,201909290clt,clt,RogeCh02,pass_long,0,,,,,
player,201909290clt,clt,RogeCh02,pass_rating,,,,,,
player,201909290clt,clt,RogeCh02,rush_att,0,,,,,
player,201909290clt,clt,RogeCh02,rush_yds,0,,,,,
player,201909290clt,clt,RogeCh02,rush_td,0,,,,,
player,201909290clt,clt,RogeCh02,rush_long,0,,,,,
player,201909290clt,clt,RogeCh02,targets,6,,,,,
player,201909290clt,clt,RogeCh02,rec,3,,,,,
player,201909290clt,clt,RogeCh02,rec_yds,48,,,,,
player,201909290clt,clt,RogeCh02,rec_td,1,,,,,
player,201909290clt,clt,RogeCh02,rec_long,27,,,,,
player,201909290clt,clt,RogeCh02,fumbles,1,,,,,
player,201909290clt,clt,RogeCh02,fumbles_lost,0,,,,,
player,201909290clt,clt,CampPa00,pass_cmp,0,,,,,
player,201909290clt,clt,CampPa00,pass_att,0,,,,,
player,201909290clt,clt,CampPa00,pass_yds,0,,,,,
player,201909290clt,clt,CampPa00,pass_td,0,,,,,
player,201909290clt,clt,CampPa00,pass_int,0,,,,,
player,201909290clt,clt,CampPa00,pass_sacked,0,,,,,
player,201909290clt,clt,CampPa00,pass_sacked_yds,0,,,,,
player,201909290clt,clt,CampPa00,pass_long,0,,,,,
player,201909290clt,clt,CampPa00,pass_rating,,,,,,
player,201909290clt,clt,CampPa00,rush_att,0,,,,,
player,201909290clt,clt,CampPa00,rush_yds,0,,,,,
player,201909290clt,clt,CampPa00,rush_td,0,,,,,
player,201909290clt,clt,CampPa00,rush_long,0,,,,,
player,201909290clt,clt,CampPa00,targets,8,,,,,
player,201909290clt,clt,CampPa00,rec,5,,,,,
player,201909290clt,clt,CampPa00,rec_yds,25,,,,,
player,201909290clt,clt,CampPa00,rec_td,0,,,,,
player,201909290clt,clt,CampPa00,rec_long,15,,,,,
player,201909290clt,clt,CampPa00,fumbles,1,,,,,
player,201909290clt,clt,CampPa00,fumbles_lost,1,,,,,
player,201909290clt,clt,DoylJa00,pass_cmp,0,,,,,
player,201909290clt,clt,DoylJa00,pass_att,0,,,,,
player,201909290clt,clt,DoylJa00,pass_yds,0,,,,,
player,201909290clt,clt,DoylJa00,pass_td,0,,,,,
player,201909290clt,clt,DoylJa00,pass_int,0,,,,,
player,201909290clt,clt,DoylJa00,pass_sacked,0,,,,,
player,201909290clt,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201909290clt,clt,DoylJa00,pass_long,0,,,,,
player,201909290clt,clt,DoylJa00,pass_rating,,,,,,
player,201909290clt,clt,DoylJa00,rush_att,0,,,,,
player,201909290clt,clt,DoylJa00,rush_yds,0,,,,,
player,201909290clt,clt,DoylJa00,rush_td,0,,,,,
player,201909290clt,clt,DoylJa00,rush_long,0,,,,,
player,201909290clt,clt,DoylJa00,targets,8,,,,,
player,201909290clt,clt,DoylJa00,rec,4,,,,,
player,201909290clt,clt,DoylJa00,rec_yds,22,,,,,
player,201909290clt,clt,DoylJa00,rec_td,1,,,,,
player,201909290clt,clt,DoylJa00,rec_long,8,,,,,
player,201909290clt,clt,DoylJa00,fumbles,0,,,,,
player,201909290clt,clt,DoylJa00,fumbles_lost,0,,,,,
player,201909290clt,clt,CainDe00,pass_cmp,0,,,,,
player,201909290clt,clt,CainDe00,pass_att,0,,,,,
player,201909290clt,clt,CainDe00,pass_yds,0,,,,,
player,201909290clt,clt,CainDe00,pass_td,0,,,,,
player,201909290clt,clt,CainDe00,pass_int,0,,,,,
player,201909290clt,clt,CainDe00,pass_sacked,0,,,,,
player,201909290clt,clt,CainDe00,pass_sacked_yds,0,,,,,
player,201909290clt,clt,CainDe00,pass_long,0,,,,,
player,201909290clt,clt,CainDe00,pass_rating,,,,,,
player,201909290clt,clt,CainDe00,rush_att,0,,,,,
player,201909290clt,clt,CainDe00,rush_yds,0,,,,,
player,201909290clt,clt,CainDe00,rush_td,0,,,,,
player,201909290clt,clt,CainDe00,rush_long,0,,,,,
player,201909290clt,clt,CainDe00,targets,5,,,,,
player,201909290clt,clt,CainDe00,rec,0,,,,,
player,201909290clt,clt,CainDe00,rec_yds,0,,,,,
player,201909290clt,clt,CainDe00,rec_td,0,,,,,
player,201909290clt,clt,CainDe00,rec_long,0,,,,,
player,201909290clt,clt,CainDe00,fumbles,0,,,,,
player,201909290clt,clt,CainDe00,fumbles_lost,0,,,,,
player,201909290clt,rai,HarrEr00,def_int,1,,,,,
player,201909290clt,rai,HarrEr00,def_int_yds,30,,,,,
player,201909290clt,rai,HarrEr00,def_int_td,1,,,,,
player,201909290clt,rai,HarrEr00,def_int_long,30,,,,,
player,201909290clt,rai,HarrEr00,pass_defended,1,,,,,
player,201909290clt,rai,HarrEr00,sacks,0.0,,,,,
player,201909290clt,rai,HarrEr00,tackles_combined,7,,,,,
player,201909290clt,rai,HarrEr00,tackles_solo,6,,,,,
player,201909290clt,rai,HarrEr00,tackles_assists,1,,,,,
player,201909290clt,rai,HarrEr00,tackles_loss,0,,,,,
player,201909290clt,rai,HarrEr00,qb_hits,0,,,,,
player,201909290clt,rai,HarrEr00,fumbles_rec,0,,,,,
player,201909290clt,rai,HarrEr00,fumbles_rec_yds,0,,,,,
player,201909290clt,rai,HarrEr00,fumbles_rec_td,0,,,,,
player,201909290clt,rai,HarrEr00,fumbles_forced,0,,,,,
player,201909290clt,rai,WhitTa00,def_int,0,,,,,
