game,2019,11,20191118,201911180sdg,kan,"Kansas City Chiefs",24,sdg,"Los Angeles Chargers",17
player,201911180sdg,kan,NiemBe00,tackles_solo,2,,,,,
player,201911180sdg,kan,NiemBe00,tackles_assists,2,,,,,
player,201911180sdg,kan,NiemBe00,tackles_loss,0,,,,,
player,201911180sdg,kan,NiemBe00,qb_hits,0,,,,,
player,201911180sdg,kan,NiemBe00,fumbles_rec,0,,,,,
player,201911180sdg,kan,NiemBe00,fumbles_rec_yds,0,,,,,
player,201911180sdg,kan,NiemBe00,fumbles_rec_td,0,,,,,
player,201911180sdg,kan,NiemBe00,fumbles_forced,0,,,,,
player,201911180sdg,kan,RaglRe00,def_int,0,,,,,
player,201911180sdg,kan,RaglRe00,def_int_yds,0,,,,,
player,201911180sdg,kan,RaglRe00,def_int_td,0,,,,,
player,201911180sdg,kan,RaglRe00,def_int_long,0,,,,,
player,201911180sdg,kan,RaglRe00,pass_defended,0,,,,,
player,201911180sdg,kan,RaglRe00,sacks,0.0,,,,,
player,201911180sdg,kan,RaglRe00,tackles_combined,3,,,,,
player,201911180sdg,kan,RaglRe00,tackles_solo,2,,,,,
player,201911180sdg,kan,RaglRe00,tackles_assists,1,,,,,
player,201911180sdg,kan,RaglRe00,tackles_loss,0,,,,,
player,201911180sdg,kan,RaglRe00,qb_hits,0,,,,,
player,201911180sdg,kan,RaglRe00,fumbles_rec,0,,,,,
player,201911180sdg,kan,RaglRe00,fumbles_rec_yds,0,,,,,
player,201911180sdg,kan,RaglRe00,fumbles_rec_td,0,,,,,
player,201911180sdg,kan,RaglRe00,fumbles_forced,0,,,,,
player,201911180sdg,kan,ThorJu00,def_int,0,,,,,
player,201911180sdg,kan,ThorJu00,def_int_yds,0,,,,,
player,201911180sdg,kan,ThorJu00,def_int_td,0,,,,,
player,201911180sdg,kan,ThorJu00,def_int_long,0,,,,,
player,201911180sdg,kan,ThorJu00,pass_defended,1,,,,,
player,201911180sdg,kan,ThorJu00,sacks,0.0,,,,,
player,201911180sdg,kan,ThorJu00,tackles_combined,3,,,,,
player,201911180sdg,kan,ThorJu00,tackles_solo,2,,,,,
player,201911180sdg,kan,ThorJu00,tackles_assists,1,,,,,
player,201911180sdg,kan,ThorJu00,tackles_loss,0,,,,,
player,201911180sdg,kan,ThorJu00,qb_hits,0,,,,,
player,201911180sdg,kan,ThorJu00,fumbles_rec,0,,,,,
player,201911180sdg,kan,ThorJu00,fumbles_rec_yds,0,,,,,
player,201911180sdg,kan,ThorJu00,fumbles_rec_td,0,,,,,
player,201911180sdg,kan,ThorJu00,fumbles_forced,0,,,,,
player,201911180sdg,kan,KpasTa00,def_int,0,,,,,
player,201911180sdg,kan,KpasTa00,def_int_yds,0,,,,,
player,201911180sdg,kan,KpasTa00,def_int_td,0,,,,,
player,201911180sdg,kan,KpasTa00,def_int_long,0,,,,,
player,201911180sdg,kan,KpasTa00,pass_defended,0,,,,,
player,201911180sdg,kan,KpasTa00,sacks,0.0,,,,,
player,201911180sdg,kan,KpasTa00,tackles_combined,2,,,,,
player,201911180sdg,kan,KpasTa00,tackles_solo,1,,,,,
player,201911180sdg,kan,KpasTa00,tackles_assists,1,,,,,
player,201911180sdg,kan,KpasTa00,tackles_loss,0,,,,,
player,201911180sdg,kan,KpasTa00,qb_hits,0,,,,,
player,201911180sdg,kan,KpasTa00,fumbles_rec,0,,,,,
player,201911180sdg,kan,KpasTa00,fumbles_rec_yds,0,,,,,
player,201911180sdg,kan,KpasTa00,fumbles_rec_td,0,,,,,
player,201911180sdg,kan,KpasTa00,fumbles_forced,0,,,,,
player,201911180sdg,kan,SaunKh00,def_int,0,,,,,
player,201911180sdg,kan,SaunKh00,def_int_yds,0,,,,,
player,201911180sdg,kan,SaunKh00,def_int_td,0,,,,,
player,201911180sdg,kan,SaunKh00,def_int_long,0,,,,,
player,201911180sdg,kan,SaunKh00,pass_defended,0,,,,,
player,201911180sdg,kan,SaunKh00,sacks,0.0,,,,,
player,201911180sdg,kan,SaunKh00,tackles_combined,2,,,,,
player,201911180sdg,kan,SaunKh00,tackles_solo,1,,,,,
player,201911180sdg,kan,SaunKh00,tackles_assists,1,,,,,
player,201911180sdg,kan,SaunKh00,tackles_loss,0,,,,,
player,201911180sdg,kan,SaunKh00,qb_hits,0,,,,,
player,201911180sdg,kan,SaunKh00,fumbles_rec,0,,,,,
player,201911180sdg,kan,SaunKh00,fumbles_rec_yds,0,,,,,
player,201911180sdg,kan,SaunKh00,fumbles_rec_td,0,,,,,
player,201911180sdg,kan,SaunKh00,fumbles_forced,0,,,,,
player,201911180sdg,kan,WardCh01,def_int,0,,,,,
player,201911180sdg,kan,WardCh01,def_int_yds,0,,,,,
player,201911180sdg,kan,WardCh01,def_int_td,0,,,,,
player,201911180sdg,kan,WardCh01,def_int_long,0,,,,,
player,201911180sdg,kan,WardCh01,pass_defended,3,,,,,
player,201911180sdg,kan,WardCh01,sacks,0.0,,,,,
player,201911180sdg,kan,WardCh01,tackles_combined,2,,,,,
player,201911180sdg,kan,WardCh01,tackles_solo,1,,,,,
player,201911180sdg,kan,WardCh01,tackles_assists,1,,,,,
player,201911180sdg,kan,WardCh01,tackles_loss,0,,,,,
player,201911180sdg,kan,WardCh01,qb_hits,0,,,,,
player,201911180sdg,kan,WardCh01,fumbles_rec,0,,,,,
player,201911180sdg,kan,WardCh01,fumbles_rec_yds,0,,,,,
player,201911180sdg,kan,WardCh01,fumbles_rec_td,0,,,,,
player,201911180sdg,kan,WardCh01,fumbles_forced,0,,,,,
player,201911180sdg,kan,WattAr00,def_int,0,,,,,
player,201911180sdg,kan,WattAr00,def_int_yds,0,,,,,
player,201911180sdg,kan,WattAr00,def_int_td,0,,,,,
player,201911180sdg,kan,WattAr00,def_int_long,0,,,,,
player,201911180sdg,kan,WattAr00,pass_defended,0,,,,,
player,201911180sdg,kan,WattAr00,sacks,0.0,,,,,
player,201911180sdg,kan,WattAr00,tackles_combined,2,,,,,
player,201911180sdg,kan,WattAr00,tackles_solo,0,,,,,
player,201911180sdg,kan,WattAr00,tackles_assists,2,,,,,
player,201911180sdg,kan,WattAr00,tackles_loss,0,,,,,
player,201911180sdg,kan,WattAr00,qb_hits,0,,,,,
player,201911180sdg,kan,WattAr00,fumbles_rec,0,,,,,
player,201911180sdg,kan,WattAr00,fumbles_rec_yds,0,,,,,
player,201911180sdg,kan,WattAr00,fumbles_rec_td,0,,,,,
player,201911180sdg,kan,WattAr00,fumbles_forced,0,,,,,
player,201911180sdg,kan,ClaiMo00,def_int,0,,,,,
player,201911180sdg,kan,ClaiMo00,def_int_yds,0,,,,,
player,201911180sdg,kan,ClaiMo00,def_int_td,0,,,,,
player,201911180sdg,kan,ClaiMo00,def_int_long,0,,,,,
player,201911180sdg,kan,ClaiMo00,pass_defended,0,,,,,
player,201911180sdg,kan,ClaiMo00,sacks,0.0,,,,,
player,201911180sdg,kan,ClaiMo00,tackles_combined,1,,,,,
player,201911180sdg,kan,ClaiMo00,tackles_solo,1,,,,,
player,201911180sdg,kan,ClaiMo00,tackles_assists,0,,,,,
player,201911180sdg,kan,ClaiMo00,tackles_loss,0,,,,,
player,201911180sdg,kan,ClaiMo00,qb_hits,0,,,,,
player,201911180sdg,kan,ClaiMo00,fumbles_rec,0,,,,,
player,201911180sdg,kan,ClaiMo00,fumbles_rec_yds,0,,,,,
player,201911180sdg,kan,ClaiMo00,fumbles_rec_td,0,,,,,
player,201911180sdg,kan,ClaiMo00,fumbles_forced,0,,,,,
player,201911180sdg,kan,LucaJo00,def_int,0,,,,,
player,201911180sdg,kan,LucaJo00,def_int_yds,0,,,,,
player,201911180sdg,kan,LucaJo00,def_int_td,0,,,,,
player,201911180sdg,kan,LucaJo00,def_int_long,0,,,,,
player,201911180sdg,kan,LucaJo00,pass_defended,0,,,,,
player,201911180sdg,kan,LucaJo00,sacks,0.0,,,,,
player,201911180sdg,kan,LucaJo00,tackles_combined,1,,,,,
player,201911180sdg,kan,LucaJo00,tackles_solo,0,,,,,
player,201911180sdg,kan,LucaJo00,tackles_assists,1,,,,,
player,201911180sdg,kan,LucaJo00,tackles_loss,0,,,,,
player,201911180sdg,kan,LucaJo00,qb_hits,0,,,,,
player,201911180sdg,kan,LucaJo00,fumbles_rec,0,,,,,
player,201911180sdg,kan,LucaJo00,fumbles_rec_yds,0,,,,,
player,201911180sdg,kan,LucaJo00,fumbles_rec_td,0,,,,,
player,201911180sdg,kan,LucaJo00,fumbles_forced,0,,,,,
player,201911180sdg,kan,IvieJo00,def_int,0,,,,,
player,201911180sdg,kan,IvieJo00,def_int_yds,0,,,,,
player,201911180sdg,kan,IvieJo00,def_int_td,0,,,,,
player,201911180sdg,kan,IvieJo00,def_int_long,0,,,,,
player,201911180sdg,kan,IvieJo00,pass_defended,0,,,,,
player,201911180sdg,kan,IvieJo00,sacks,0.0,,,,,
player,201911180sdg,kan,IvieJo00,tackles_combined,0,,,,,
player,201911180sdg,kan,IvieJo00,tackles_solo,0,,,,,
player,201911180sdg,kan,IvieJo00,tackles_assists,0,,,,,
player,201911180sdg,kan,IvieJo00,tackles_loss,0,,,,,
player,201911180sdg,kan,IvieJo00,qb_hits,1,,,,,
player,201911180sdg,kan,IvieJo00,fumbles_rec,0,,,,,
player,201911180sdg,kan,IvieJo00,fumbles_rec_yds,0,,,,,
player,201911180sdg,kan,IvieJo00,fumbles_rec_td,0,,,,,
player,201911180sdg,kan,IvieJo00,fumbles_forced,0,,,,,
player,201911180sdg,kan,JoneCh09,def_int,0,,,,,
player,201911180sdg,kan,JoneCh09,def_int_yds,0,,,,,
player,201911180sdg,kan,JoneCh09,def_int_td,0,,,,,
player,201911180sdg,kan,JoneCh09,def_int_long,0,,,,,
player,201911180sdg,kan,JoneCh09,pass_defended,2,,,,,
player,201911180sdg,kan,JoneCh09,sacks,0.0,,,,,
player,201911180sdg,kan,JoneCh09,tackles_combined,0,,,,,
player,201911180sdg,kan,JoneCh09,tackles_solo,0,,,,,
player,201911180sdg,kan,JoneCh09,tackles_assists,0,,,,,
player,201911180sdg,kan,JoneCh09,tackles_loss,0,,,,,
player,201911180sdg,kan,JoneCh09,qb_hits,1,,,,,
player,201911180sdg,kan,JoneCh09,fumbles_rec,0,,,,,
player,201911180sdg,kan,JoneCh09,fumbles_rec_yds,0,,,,,
