game,2019,7,20191020,201910200was,sfo,"San Francisco 49ers",9,was,"Washington Redskins",0
player,201910200was,sfo,DwelRo00,pass_long,0,,,,,
player,201910200was,sfo,DwelRo00,pass_rating,,,,,,
player,201910200was,sfo,DwelRo00,rush_att,0,,,,,
player,201910200was,sfo,DwelRo00,rush_yds,0,,,,,
player,201910200was,sfo,DwelRo00,rush_td,0,,,,,
player,201910200was,sfo,DwelRo00,rush_long,0,,,,,
player,201910200was,sfo,DwelRo00,targets,3,,,,,
player,201910200was,sfo,DwelRo00,rec,1,,,,,
player,201910200was,sfo,DwelRo00,rec_yds,2,,,,,
player,201910200was,sfo,DwelRo00,rec_td,0,,,,,
player,201910200was,sfo,DwelRo00,rec_long,2,,,,,
player,201910200was,sfo,DwelRo00,fumbles,0,,,,,
player,201910200was,sfo,DwelRo00,fumbles_lost,0,,,,,
player,201910200was,sfo,ToilLe00,pass_cmp,0,,,,,
player,201910200was,sfo,ToilLe00,pass_att,0,,,,,
player,201910200was,sfo,ToilLe00,pass_yds,0,,,,,
player,201910200was,sfo,ToilLe00,pass_td,0,,,,,
player,201910200was,sfo,ToilLe00,pass_int,0,,,,,
player,201910200was,sfo,ToilLe00,pass_sacked,0,,,,,
player,201910200was,sfo,ToilLe00,pass_sacked_yds,0,,,,,
player,201910200was,sfo,ToilLe00,pass_long,0,,,,,
player,201910200was,sfo,ToilLe00,pass_rating,,,,,,
player,201910200was,sfo,ToilLe00,rush_att,0,,,,,
player,201910200was,sfo,ToilLe00,rush_yds,0,,,,,
player,201910200was,sfo,ToilLe00,rush_td,0,,,,,
player,201910200was,sfo,ToilLe00,rush_long,0,,,,,
player,201910200was,sfo,ToilLe00,targets,1,,,,,
player,201910200was,sfo,ToilLe00,rec,1,,,,,
player,201910200was,sfo,ToilLe00,rec_yds,2,,,,,
player,201910200was,sfo,ToilLe00,rec_td,0,,,,,
player,201910200was,sfo,ToilLe00,rec_long,2,,,,,
player,201910200was,sfo,ToilLe00,fumbles,0,,,,,
player,201910200was,sfo,ToilLe00,fumbles_lost,0,,,,,
player,201910200was,sfo,GoodMa00,pass_cmp,0,,,,,
player,201910200was,sfo,GoodMa00,pass_att,0,,,,,
player,201910200was,sfo,GoodMa00,pass_yds,0,,,,,
player,201910200was,sfo,GoodMa00,pass_td,0,,,,,
player,201910200was,sfo,GoodMa00,pass_int,0,,,,,
player,201910200was,sfo,GoodMa00,pass_sacked,0,,,,,
player,201910200was,sfo,GoodMa00,pass_sacked_yds,0,,,,,
player,201910200was,sfo,GoodMa00,pass_long,0,,,,,
player,201910200was,sfo,GoodMa00,pass_rating,,,,,,
player,201910200was,sfo,GoodMa00,rush_att,0,,,,,
player,201910200was,sfo,GoodMa00,rush_yds,0,,,,,
player,201910200was,sfo,GoodMa00,rush_td,0,,,,,
player,201910200was,sfo,GoodMa00,rush_long,0,,,,,
player,201910200was,sfo,GoodMa00,targets,1,,,,,
player,201910200was,sfo,GoodMa00,rec,0,,,,,
player,201910200was,sfo,GoodMa00,rec_yds,0,,,,,
player,201910200was,sfo,GoodMa00,rec_td,0,,,,,
player,201910200was,sfo,GoodMa00,rec_long,0,,,,,
player,201910200was,sfo,GoodMa00,fumbles,0,,,,,
player,201910200was,sfo,GoodMa00,fumbles_lost,0,,,,,
player,201910200was,sfo,PettDa00,pass_cmp,0,,,,,
player,201910200was,sfo,PettDa00,pass_att,0,,,,,
player,201910200was,sfo,PettDa00,pass_yds,0,,,,,
player,201910200was,sfo,PettDa00,pass_td,0,,,,,
player,201910200was,sfo,PettDa00,pass_int,0,,,,,
player,201910200was,sfo,PettDa00,pass_sacked,0,,,,,
player,201910200was,sfo,PettDa00,pass_sacked_yds,0,,,,,
player,201910200was,sfo,PettDa00,pass_long,0,,,,,
player,201910200was,sfo,PettDa00,pass_rating,,,,,,
player,201910200was,sfo,PettDa00,rush_att,0,,,,,
player,201910200was,sfo,PettDa00,rush_yds,0,,,,,
player,201910200was,sfo,PettDa00,rush_td,0,,,,,
player,201910200was,sfo,PettDa00,rush_long,0,,,,,
player,201910200was,sfo,PettDa00,targets,2,,,,,
player,201910200was,sfo,PettDa00,rec,0,,,,,
player,201910200was,sfo,PettDa00,rec_yds,0,,,,,
player,201910200was,sfo,PettDa00,rec_td,0,,,,,
player,201910200was,sfo,PettDa00,rec_long,0,,,,,
player,201910200was,sfo,PettDa00,fumbles,0,,,,,
player,201910200was,sfo,PettDa00,fumbles_lost,0,,,,,
player,201910200was,was,KeenCa00,pass_cmp,9,,,,,
player,201910200was,was,KeenCa00,pass_att,12,,,,,
player,201910200was,was,KeenCa00,pass_yds,77,,,,,
player,201910200was,was,KeenCa00,pass_td,0,,,,,
player,201910200was,was,KeenCa00,pass_int,0,,,,,
player,201910200was,was,KeenCa00,pass_sacked,3,,,,,
player,201910200was,was,KeenCa00,pass_sacked_yds,27,,,,,
player,201910200was,was,KeenCa00,pass_long,19,,,,,
player,201910200was,was,KeenCa00,pass_rating,91.3,,,,,
player,201910200was,was,KeenCa00,rush_att,0,,,,,
player,201910200was,was,KeenCa00,rush_yds,0,,,,,
player,201910200was,was,KeenCa00,rush_td,0,,,,,
player,201910200was,was,KeenCa00,rush_long,0,,,,,
player,201910200was,was,KeenCa00,targets,0,,,,,
player,201910200was,was,KeenCa00,rec,0,,,,,
player,201910200was,was,KeenCa00,rec_yds,0,,,,,
player,201910200was,was,KeenCa00,rec_td,0,,,,,
player,201910200was,was,KeenCa00,rec_long,0,,,,,
player,201910200was,was,KeenCa00,fumbles,0,,,,,
player,201910200was,was,KeenCa00,fumbles_lost,0,,,,,
player,201910200was,was,PeteAd01,pass_cmp,0,,,,,
player,201910200was,was,PeteAd01,pass_att,0,,,,,
player,201910200was,was,PeteAd01,pass_yds,0,,,,,
player,201910200was,was,PeteAd01,pass_td,0,,,,,
player,201910200was,was,PeteAd01,pass_int,0,,,,,
player,201910200was,was,PeteAd01,pass_sacked,0,,,,,
player,201910200was,was,PeteAd01,pass_sacked_yds,0,,,,,
player,201910200was,was,PeteAd01,pass_long,0,,,,,
player,201910200was,was,PeteAd01,pass_rating,,,,,,
player,201910200was,was,PeteAd01,rush_att,20,,,,,
player,201910200was,was,PeteAd01,rush_yds,81,,,,,
player,201910200was,was,PeteAd01,rush_td,0,,,,,
player,201910200was,was,PeteAd01,rush_long,15,,,,,
player,201910200was,was,PeteAd01,targets,0,,,,,
player,201910200was,was,PeteAd01,rec,0,,,,,
player,201910200was,was,PeteAd01,rec_yds,0,,,,,
player,201910200was,was,PeteAd01,rec_td,0,,,,,
player,201910200was,was,PeteAd01,rec_long,0,,,,,
player,201910200was,was,PeteAd01,fumbles,1,,,,,
player,201910200was,was,PeteAd01,fumbles_lost,1,,,,,
player,201910200was,was,SmalWe00,pass_cmp,0,,,,,
player,201910200was,was,SmalWe00,pass_att,0,,,,,
player,201910200was,was,SmalWe00,pass_yds,0,,,,,
player,201910200was,was,SmalWe00,pass_td,0,,,,,
player,201910200was,was,SmalWe00,pass_int,0,,,,,
player,201910200was,was,SmalWe00,pass_sacked,0,,,,,
player,201910200was,was,SmalWe00,pass_sacked_yds,0,,,,,
player,201910200was,was,SmalWe00,pass_long,0,,,,,
player,201910200was,was,SmalWe00,pass_rating,,,,,,
player,201910200was,was,SmalWe00,rush_att,5,,,,,
player,201910200was,was,SmalWe00,rush_yds,23,,,,,
player,201910200was,was,SmalWe00,rush_td,0,,,,,
player,201910200was,was,SmalWe00,rush_long,17,,,,,
player,201910200was,was,SmalWe00,targets,1,,,,,
player,201910200was,was,SmalWe00,rec,1,,,,,
player,201910200was,was,SmalWe00,rec_yds,18,,,,,
player,201910200was,was,SmalWe00,rec_td,0,,,,,
player,201910200was,was,SmalWe00,rec_long,18,,,,,
player,201910200was,was,SmalWe00,fumbles,0,,,,,
player,201910200was,was,SmalWe00,fumbles_lost,0,,,,,
player,201910200was,was,QuinTr00,pass_cmp,0,,,,,
player,201910200was,was,QuinTr00,pass_att,0,,,,,
player,201910200was,was,QuinTr00,pass_yds,0,,,,,
player,201910200was,was,QuinTr00,pass_td,0,,,,,
player,201910200was,was,QuinTr00,pass_int,0,,,,,
player,201910200was,was,QuinTr00,pass_sacked,0,,,,,
player,201910200was,was,QuinTr00,pass_sacked_yds,0,,,,,
player,201910200was,was,QuinTr00,pass_long,0,,,,,
player,201910200was,was,QuinTr00,pass_rating,,,,,,
player,201910200was,was,QuinTr00,rush_att,0,,,,,
player,201910200was,was,QuinTr00,rush_yds,0,,,,,
player,201910200was,was,QuinTr00,rush_td,0,,,,,
player,201910200was,was,QuinTr00,rush_long,0,,,,,
player,201910200was,was,QuinTr00,targets,3,,,,,
player,201910200was,was,QuinTr00,rec,2,,,,,
player,201910200was,was,QuinTr00,rec_yds,30,,,,,
player,201910200was,was,QuinTr00,rec_td,0,,,,,
player,201910200was,was,QuinTr00,rec_long,19,,,,,
player,201910200was,was,QuinTr00,fumbles,0,,,,,
player,201910200was,was,QuinTr00,fumbles_lost,0,,,,,
player,201910200was,was,SpriJe00,pass_cmp,0,,,,,
player,201910200was,was,SpriJe00,pass_att,0,,,,,
player,201910200was,was,SpriJe00,pass_yds,0,,,,,
player,201910200was,was,SpriJe00,pass_td,0,,,,,
player,201910200was,was,SpriJe00,pass_int,0,,,,,
player,201910200was,was,SpriJe00,pass_sacked,0,,,,,
player,201910200was,was,SpriJe00,pass_sacked_yds,0,,,,,
player,201910200was,was,SpriJe00,pass_long,0,,,,,
player,201910200was,was,SpriJe00,pass_rating,,,,,,
player,201910200was,was,SpriJe00,rush_att,0,,,,,
player,201910200was,was,SpriJe00,rush_yds,0,,,,,
player,201910200was,was,SpriJe00,rush_td,0,,,,,
player,201910200was,was,SpriJe00,rush_long,0,,,,,
player,201910200was,was,SpriJe00,targets,2,,,,,
player,201910200was,was,SpriJe00,rec,2,,,,,
player,201910200was,was,SpriJe00,rec_yds,13,,,,,
player,201910200was,was,SpriJe00,rec_td,0,,,,,
player,201910200was,was,SpriJe00,rec_long,13,,,,,
player,201910200was,was,SpriJe00,fumbles,0,,,,,
player,201910200was,was,SpriJe00,fumbles_lost,0,,,,,
player,201910200was,was,McLaTe00,pass_cmp,0,,,,,
player,201910200was,was,McLaTe00,pass_att,0,,,,,
player,201910200was,was,McLaTe00,pass_yds,0,,,,,
player,201910200was,was,McLaTe00,pass_td,0,,,,,
player,201910200was,was,McLaTe00,pass_int,0,,,,,
player,201910200was,was,McLaTe00,pass_sacked,0,,,,,
player,201910200was,was,McLaTe00,pass_sacked_yds,0,,,,,
player,201910200was,was,McLaTe00,pass_long,0,,,,,
player,201910200was,was,McLaTe00,pass_rating,,,,,,
player,201910200was,was,McLaTe00,rush_att,0,,,,,
player,201910200was,was,McLaTe00,rush_yds,0,,,,,
player,201910200was,was,McLaTe00,rush_td,0,,,,,
player,201910200was,was,McLaTe00,rush_long,0,,,,,
player,201910200was,was,McLaTe00,targets,2,,,,,
player,201910200was,was,McLaTe00,rec,1,,,,,
player,201910200was,was,McLaTe00,rec_yds,11,,,,,
player,201910200was,was,McLaTe00,rec_td,0,,,,,
player,201910200was,was,McLaTe00,rec_long,11,,,,,
player,201910200was,was,McLaTe00,fumbles,0,,,,,
player,201910200was,was,McLaTe00,fumbles_lost,0,,,,,
player,201910200was,was,SimsSt00,pass_cmp,0,,,,,
player,201910200was,was,SimsSt00,pass_att,0,,,,,
player,201910200was,was,SimsSt00,pass_yds,0,,,,,
player,201910200was,was,SimsSt00,pass_td,0,,,,,
player,201910200was,was,SimsSt00,pass_int,0,,,,,
player,201910200was,was,SimsSt00,pass_sacked,0,,,,,
player,201910200was,was,SimsSt00,pass_sacked_yds,0,,,,,
player,201910200was,was,SimsSt00,pass_long,0,,,,,
player,201910200was,was,SimsSt00,pass_rating,,,,,,
player,201910200was,was,SimsSt00,rush_att,1,,,,,
player,201910200was,was,SimsSt00,rush_yds,0,,,,,
player,201910200was,was,SimsSt00,rush_td,0,,,,,
player,201910200was,was,SimsSt00,rush_long,0,,,,,
player,201910200was,was,SimsSt00,targets,3,,,,,
player,201910200was,was,SimsSt00,rec,3,,,,,
player,201910200was,was,SimsSt00,rec_yds,5,,,,,
player,201910200was,was,SimsSt00,rec_td,0,,,,,
player,201910200was,was,SimsSt00,rec_long,6,,,,,
player,201910200was,was,SimsSt00,fumbles,0,,,,,
player,201910200was,was,SimsSt00,fumbles_lost,0,,,,,
player,201910200was,was,RichPa01,pass_cmp,0,,,,,
player,201910200was,was,RichPa01,pass_att,0,,,,,
player,201910200was,was,RichPa01,pass_yds,0,,,,,
player,201910200was,was,RichPa01,pass_td,0,,,,,
player,201910200was,was,RichPa01,pass_int,0,,,,,
player,201910200was,was,RichPa01,pass_sacked,0,,,,,
player,201910200was,was,RichPa01,pass_sacked_yds,0,,,,,
player,201910200was,was,RichPa01,pass_long,0,,,,,
player,201910200was,was,RichPa01,pass_rating,,,,,,
player,201910200was,was,RichPa01,rush_att,0,,,,,
player,201910200was,was,RichPa01,rush_yds,0,,,,,
player,201910200was,was,RichPa01,rush_td,0,,,,,
player,201910200was,was,RichPa01,rush_long,0,,,,,
player,201910200was,was,RichPa01,targets,1,,,,,
player,201910200was,was,RichPa01,rec,0,,,,,
player,201910200was,was,RichPa01,rec_yds,0,,,,,
player,201910200was,was,RichPa01,rec_td,0,,,,,
player,201910200was,was,RichPa01,rec_long,0,,,,,
player,201910200was,was,RichPa01,fumbles,0,,,,,
