game,2019,13,20191201,201912010kan,rai,"Oakland Raiders",9,kan,"Kansas City Chiefs",40
player,201912010kan,rai,WallDa01,pass_att,0,,,,,
player,201912010kan,rai,WallDa01,pass_yds,0,,,,,
player,201912010kan,rai,WallDa01,pass_td,0,,,,,
player,201912010kan,rai,WallDa01,pass_int,0,,,,,
player,201912010kan,rai,WallDa01,pass_sacked,0,,,,,
player,201912010kan,rai,WallDa01,pass_sacked_yds,0,,,,,
player,201912010kan,rai,WallDa01,pass_long,0,,,,,
player,201912010kan,rai,WallDa01,pass_rating,,,,,,
player,201912010kan,rai,WallDa01,rush_att,0,,,,,
player,201912010kan,rai,WallDa01,rush_yds,0,,,,,
player,201912010kan,rai,WallDa01,rush_td,0,,,,,
player,201912010kan,rai,WallDa01,rush_long,0,,,,,
player,201912010kan,rai,WallDa01,targets,9,,,,,
player,201912010kan,rai,WallDa01,rec,7,,,,,
player,201912010kan,rai,WallDa01,rec_yds,100,,,,,
player,201912010kan,rai,WallDa01,rec_td,0,,,,,
player,201912010kan,rai,WallDa01,rec_long,24,,,,,
player,201912010kan,rai,WallDa01,fumbles,0,,,,,
player,201912010kan,rai,WallDa01,fumbles_lost,0,,,,,
player,201912010kan,rai,MoreFo00,pass_cmp,0,,,,,
player,201912010kan,rai,MoreFo00,pass_att,0,,,,,
player,201912010kan,rai,MoreFo00,pass_yds,0,,,,,
player,201912010kan,rai,MoreFo00,pass_td,0,,,,,
player,201912010kan,rai,MoreFo00,pass_int,0,,,,,
player,201912010kan,rai,MoreFo00,pass_sacked,0,,,,,
player,201912010kan,rai,MoreFo00,pass_sacked_yds,0,,,,,
player,201912010kan,rai,MoreFo00,pass_long,0,,,,,
player,201912010kan,rai,MoreFo00,pass_rating,,,,,,
player,201912010kan,rai,MoreFo00,rush_att,0,,,,,
player,201912010kan,rai,MoreFo00,rush_yds,0,,,,,
player,201912010kan,rai,MoreFo00,rush_td,0,,,,,
player,201912010kan,rai,MoreFo00,rush_long,0,,,,,
player,201912010kan,rai,MoreFo00,targets,1,,,,,
player,201912010kan,rai,MoreFo00,rec,1,,,,,
player,201912010kan,rai,MoreFo00,rec_yds,15,,,,,
player,201912010kan,rai,MoreFo00,rec_td,0,,,,,
player,201912010kan,rai,MoreFo00,rec_long,15,,,,,
player,201912010kan,rai,MoreFo00,fumbles,0,,,,,
player,201912010kan,rai,MoreFo00,fumbles_lost,0,,,,,
player,201912010kan,rai,JoneZa00,pass_cmp,0,,,,,
player,201912010kan,rai,JoneZa00,pass_att,0,,,,,
player,201912010kan,rai,JoneZa00,pass_yds,0,,,,,
player,201912010kan,rai,JoneZa00,pass_td,0,,,,,
player,201912010kan,rai,JoneZa00,pass_int,0,,,,,
player,201912010kan,rai,JoneZa00,pass_sacked,0,,,,,
player,201912010kan,rai,JoneZa00,pass_sacked_yds,0,,,,,
player,201912010kan,rai,JoneZa00,pass_long,0,,,,,
player,201912010kan,rai,JoneZa00,pass_rating,,,,,,
player,201912010kan,rai,JoneZa00,rush_att,0,,,,,
player,201912010kan,rai,JoneZa00,rush_yds,0,,,,,
player,201912010kan,rai,JoneZa00,rush_td,0,,,,,
player,201912010kan,rai,JoneZa00,rush_long,0,,,,,
player,201912010kan,rai,JoneZa00,targets,3,,,,,
player,201912010kan,rai,JoneZa00,rec,2,,,,,
player,201912010kan,rai,JoneZa00,rec_yds,14,,,,,
player,201912010kan,rai,JoneZa00,rec_td,0,,,,,
player,201912010kan,rai,JoneZa00,rec_long,8,,,,,
player,201912010kan,rai,JoneZa00,fumbles,0,,,,,
player,201912010kan,rai,JoneZa00,fumbles_lost,0,,,,,
player,201912010kan,rai,DossKe00,pass_cmp,0,,,,,
player,201912010kan,rai,DossKe00,pass_att,0,,,,,
player,201912010kan,rai,DossKe00,pass_yds,0,,,,,
player,201912010kan,rai,DossKe00,pass_td,0,,,,,
player,201912010kan,rai,DossKe00,pass_int,0,,,,,
player,201912010kan,rai,DossKe00,pass_sacked,0,,,,,
player,201912010kan,rai,DossKe00,pass_sacked_yds,0,,,,,
player,201912010kan,rai,DossKe00,pass_long,0,,,,,
player,201912010kan,rai,DossKe00,pass_rating,,,,,,
player,201912010kan,rai,DossKe00,rush_att,0,,,,,
player,201912010kan,rai,DossKe00,rush_yds,0,,,,,
player,201912010kan,rai,DossKe00,rush_td,0,,,,,
player,201912010kan,rai,DossKe00,rush_long,0,,,,,
player,201912010kan,rai,DossKe00,targets,1,,,,,
player,201912010kan,rai,DossKe00,rec,1,,,,,
player,201912010kan,rai,DossKe00,rec_yds,11,,,,,
player,201912010kan,rai,DossKe00,rec_td,0,,,,,
player,201912010kan,rai,DossKe00,rec_long,11,,,,,
player,201912010kan,rai,DossKe00,fumbles,0,,,,,
player,201912010kan,rai,DossKe00,fumbles_lost,0,,,,,
player,201912010kan,rai,CarrDe00,pass_cmp,0,,,,,
player,201912010kan,rai,CarrDe00,pass_att,0,,,,,
player,201912010kan,rai,CarrDe00,pass_yds,0,,,,,
player,201912010kan,rai,CarrDe00,pass_td,0,,,,,
player,201912010kan,rai,CarrDe00,pass_int,0,,,,,
player,201912010kan,rai,CarrDe00,pass_sacked,0,,,,,
player,201912010kan,rai,CarrDe00,pass_sacked_yds,0,,,,,
player,201912010kan,rai,CarrDe00,pass_long,0,,,,,
player,201912010kan,rai,CarrDe00,pass_rating,,,,,,
player,201912010kan,rai,CarrDe00,rush_att,0,,,,,
player,201912010kan,rai,CarrDe00,rush_yds,0,,,,,
player,201912010kan,rai,CarrDe00,rush_td,0,,,,,
player,201912010kan,rai,CarrDe00,rush_long,0,,,,,
player,201912010kan,rai,CarrDe00,targets,2,,,,,
player,201912010kan,rai,CarrDe00,rec,2,,,,,
player,201912010kan,rai,CarrDe00,rec_yds,10,,,,,
player,201912010kan,rai,CarrDe00,rec_td,1,,,,,
player,201912010kan,rai,CarrDe00,rec_long,6,,,,,
player,201912010kan,rai,CarrDe00,fumbles,0,,,,,
player,201912010kan,rai,CarrDe00,fumbles_lost,0,,,,,
player,201912010kan,rai,WillTy00,pass_cmp,0,,,,,
player,201912010kan,rai,WillTy00,pass_att,0,,,,,
player,201912010kan,rai,WillTy00,pass_yds,0,,,,,
player,201912010kan,rai,WillTy00,pass_td,0,,,,,
player,201912010kan,rai,WillTy00,pass_int,0,,,,,
player,201912010kan,rai,WillTy00,pass_sacked,0,,,,,
player,201912010kan,rai,WillTy00,pass_sacked_yds,0,,,,,
player,201912010kan,rai,WillTy00,pass_long,0,,,,,
player,201912010kan,rai,WillTy00,pass_rating,,,,,,
player,201912010kan,rai,WillTy00,rush_att,0,,,,,
player,201912010kan,rai,WillTy00,rush_yds,0,,,,,
player,201912010kan,rai,WillTy00,rush_td,0,,,,,
player,201912010kan,rai,WillTy00,rush_long,0,,,,,
player,201912010kan,rai,WillTy00,targets,4,,,,,
player,201912010kan,rai,WillTy00,rec,1,,,,,
player,201912010kan,rai,WillTy00,rec_yds,9,,,,,
player,201912010kan,rai,WillTy00,rec_td,0,,,,,
player,201912010kan,rai,WillTy00,rec_long,9,,,,,
player,201912010kan,rai,WillTy00,fumbles,0,,,,,
player,201912010kan,rai,WillTy00,fumbles_lost,0,,,,,
player,201912010kan,rai,DaviTr03,pass_cmp,0,,,,,
player,201912010kan,rai,DaviTr03,pass_att,0,,,,,
player,201912010kan,rai,DaviTr03,pass_yds,0,,,,,
player,201912010kan,rai,DaviTr03,pass_td,0,,,,,
player,201912010kan,rai,DaviTr03,pass_int,0,,,,,
player,201912010kan,rai,DaviTr03,pass_sacked,0,,,,,
player,201912010kan,rai,DaviTr03,pass_sacked_yds,0,,,,,
player,201912010kan,rai,DaviTr03,pass_long,0,,,,,
player,201912010kan,rai,DaviTr03,pass_rating,,,,,,
player,201912010kan,rai,DaviTr03,rush_att,1,,,,,
player,201912010kan,rai,DaviTr03,rush_yds,0,,,,,
player,201912010kan,rai,DaviTr03,rush_td,0,,,,,
player,201912010kan,rai,DaviTr03,rush_long,0,,,,,
player,201912010kan,rai,DaviTr03,targets,0,,,,,
player,201912010kan,rai,DaviTr03,rec,0,,,,,
player,201912010kan,rai,DaviTr03,rec_yds,0,,,,,
player,201912010kan,rai,DaviTr03,rec_td,0,,,,,
player,201912010kan,rai,DaviTr03,rec_long,0,,,,,
player,201912010kan,rai,DaviTr03,fumbles,1,,,,,
player,201912010kan,rai,DaviTr03,fumbles_lost,1,,,,,
player,201912010kan,kan,MahoPa00,pass_cmp,15,,,,,
player,201912010kan,kan,MahoPa00,pass_att,29,,,,,
player,201912010kan,kan,MahoPa00,pass_yds,175,,,,,
player,201912010kan,kan,MahoPa00,pass_td,1,,,,,
player,201912010kan,kan,MahoPa00,pass_int,0,,,,,
player,201912010kan,kan,MahoPa00,pass_sacked,1,,,,,
player,201912010kan,kan,MahoPa00,pass_sacked_yds,12,,,,,
player,201912010kan,kan,MahoPa00,pass_long,47,,,,,
player,201912010kan,kan,MahoPa00,pass_rating,81.8,,,,,
player,201912010kan,kan,MahoPa00,rush_att,3,,,,,
player,201912010kan,kan,MahoPa00,rush_yds,25,,,,,
player,201912010kan,kan,MahoPa00,rush_td,1,,,,,
player,201912010kan,kan,MahoPa00,rush_long,13,,,,,
player,201912010kan,kan,MahoPa00,targets,0,,,,,
player,201912010kan,kan,MahoPa00,rec,0,,,,,
player,201912010kan,kan,MahoPa00,rec_yds,0,,,,,
player,201912010kan,kan,MahoPa00,rec_td,0,,,,,
player,201912010kan,kan,MahoPa00,rec_long,0,,,,,
player,201912010kan,kan,MahoPa00,fumbles,0,,,,,
player,201912010kan,kan,MahoPa00,fumbles_lost,0,,,,,
player,201912010kan,kan,ThomDa06,pass_cmp,0,,,,,
player,201912010kan,kan,ThomDa06,pass_att,0,,,,,
