game,2019,9,20191103,201911030sea,tam,"Tampa Bay Buccaneers",34,sea,"Seattle Seahawks",40
player,201911030sea,sea,ReedJa02,st_pct,22%,,,,,
player,201911030sea,sea,ClowJa00,pos,DE,,,,,
player,201911030sea,sea,ClowJa00,offense,0,,,,,
player,201911030sea,sea,ClowJa00,off_pct,0%,,,,,
player,201911030sea,sea,ClowJa00,defense,65,,,,,
player,201911030sea,sea,ClowJa00,def_pct,82%,,,,,
player,201911030sea,sea,ClowJa00,special_teams,1,,,,,
player,201911030sea,sea,ClowJa00,st_pct,3%,,,,,
player,201911030sea,sea,KendMy00,pos,LB,,,,,
player,201911030sea,sea,KendMy00,offense,0,,,,,
player,201911030sea,sea,KendMy00,off_pct,0%,,,,,
player,201911030sea,sea,KendMy00,defense,54,,,,,
player,201911030sea,sea,KendMy00,def_pct,68%,,,,,
player,201911030sea,sea,KendMy00,special_teams,7,,,,,
player,201911030sea,sea,KendMy00,st_pct,19%,,,,,
player,201911030sea,sea,AnsaEz00,pos,DE,,,,,
player,201911030sea,sea,AnsaEz00,offense,0,,,,,
player,201911030sea,sea,AnsaEz00,off_pct,0%,,,,,
player,201911030sea,sea,AnsaEz00,defense,41,,,,,
player,201911030sea,sea,AnsaEz00,def_pct,52%,,,,,
player,201911030sea,sea,AnsaEz00,special_teams,1,,,,,
player,201911030sea,sea,AnsaEz00,st_pct,3%,,,,,
player,201911030sea,sea,WoodAl99,pos,DT,,,,,
player,201911030sea,sea,WoodAl99,offense,0,,,,,
player,201911030sea,sea,WoodAl99,off_pct,0%,,,,,
player,201911030sea,sea,WoodAl99,defense,39,,,,,
player,201911030sea,sea,WoodAl99,def_pct,49%,,,,,
player,201911030sea,sea,WoodAl99,special_teams,0,,,,,
player,201911030sea,sea,WoodAl99,st_pct,0%,,,,,
player,201911030sea,sea,TaylJa01,pos,CB,,,,,
player,201911030sea,sea,TaylJa01,offense,0,,,,,
player,201911030sea,sea,TaylJa01,off_pct,0%,,,,,
player,201911030sea,sea,TaylJa01,defense,34,,,,,
player,201911030sea,sea,TaylJa01,def_pct,43%,,,,,
player,201911030sea,sea,TaylJa01,special_teams,1,,,,,
player,201911030sea,sea,TaylJa01,st_pct,3%,,,,,
player,201911030sea,sea,FordPo00,pos,NT,,,,,
player,201911030sea,sea,FordPo00,offense,0,,,,,
player,201911030sea,sea,FordPo00,off_pct,0%,,,,,
player,201911030sea,sea,FordPo00,defense,33,,,,,
player,201911030sea,sea,FordPo00,def_pct,42%,,,,,
player,201911030sea,sea,FordPo00,special_teams,7,,,,,
player,201911030sea,sea,FordPo00,st_pct,19%,,,,,
player,201911030sea,sea,JackBr04,pos,DE,,,,,
player,201911030sea,sea,JackBr04,offense,0,,,,,
player,201911030sea,sea,JackBr04,off_pct,0%,,,,,
player,201911030sea,sea,JackBr04,defense,32,,,,,
player,201911030sea,sea,JackBr04,def_pct,41%,,,,,
player,201911030sea,sea,JackBr04,special_teams,9,,,,,
player,201911030sea,sea,JackBr04,st_pct,25%,,,,,
player,201911030sea,sea,GreeRa01,pos,DE,,,,,
player,201911030sea,sea,GreeRa01,offense,0,,,,,
player,201911030sea,sea,GreeRa01,off_pct,0%,,,,,
player,201911030sea,sea,GreeRa01,defense,29,,,,,
player,201911030sea,sea,GreeRa01,def_pct,37%,,,,,
player,201911030sea,sea,GreeRa01,special_teams,8,,,,,
player,201911030sea,sea,GreeRa01,st_pct,22%,,,,,
player,201911030sea,sea,CollLJ00,pos,DE,,,,,
player,201911030sea,sea,CollLJ00,offense,0,,,,,
player,201911030sea,sea,CollLJ00,off_pct,0%,,,,,
player,201911030sea,sea,CollLJ00,defense,6,,,,,
player,201911030sea,sea,CollLJ00,def_pct,8%,,,,,
player,201911030sea,sea,CollLJ00,special_teams,0,,,,,
player,201911030sea,sea,CollLJ00,st_pct,0%,,,,,
player,201911030sea,sea,ThorNe00,pos,CB,,,,,
player,201911030sea,sea,ThorNe00,offense,0,,,,,
player,201911030sea,sea,ThorNe00,off_pct,0%,,,,,
player,201911030sea,sea,ThorNe00,defense,1,,,,,
player,201911030sea,sea,ThorNe00,def_pct,1%,,,,,
player,201911030sea,sea,ThorNe00,special_teams,21,,,,,
player,201911030sea,sea,ThorNe00,st_pct,58%,,,,,
player,201911030sea,sea,BurrBe00,pos,LB,,,,,
player,201911030sea,sea,BurrBe00,offense,0,,,,,
player,201911030sea,sea,BurrBe00,off_pct,0%,,,,,
player,201911030sea,sea,BurrBe00,defense,0,,,,,
player,201911030sea,sea,BurrBe00,def_pct,0%,,,,,
player,201911030sea,sea,BurrBe00,special_teams,21,,,,,
player,201911030sea,sea,BurrBe00,st_pct,58%,,,,,
player,201911030sea,sea,BartCo00,pos,LB,,,,,
player,201911030sea,sea,BartCo00,offense,0,,,,,
player,201911030sea,sea,BartCo00,off_pct,0%,,,,,
player,201911030sea,sea,BartCo00,defense,0,,,,,
player,201911030sea,sea,BartCo00,def_pct,0%,,,,,
player,201911030sea,sea,BartCo00,special_teams,21,,,,,
player,201911030sea,sea,BartCo00,st_pct,58%,,,,,
player,201911030sea,sea,AmadUg00,pos,FS,,,,,
player,201911030sea,sea,AmadUg00,offense,0,,,,,
player,201911030sea,sea,AmadUg00,off_pct,0%,,,,,
player,201911030sea,sea,AmadUg00,defense,0,,,,,
player,201911030sea,sea,AmadUg00,def_pct,0%,,,,,
player,201911030sea,sea,AmadUg00,special_teams,21,,,,,
player,201911030sea,sea,AmadUg00,st_pct,58%,,,,,
player,201911030sea,sea,KingAk00,pos,CB,,,,,
player,201911030sea,sea,KingAk00,offense,0,,,,,
player,201911030sea,sea,KingAk00,off_pct,0%,,,,,
player,201911030sea,sea,KingAk00,defense,0,,,,,
player,201911030sea,sea,KingAk00,def_pct,0%,,,,,
player,201911030sea,sea,KingAk00,special_teams,18,,,,,
player,201911030sea,sea,KingAk00,st_pct,50%,,,,,
player,201911030sea,sea,GrifSh01,pos,LB,,,,,
player,201911030sea,sea,GrifSh01,offense,0,,,,,
player,201911030sea,sea,GrifSh01,off_pct,0%,,,,,
player,201911030sea,sea,GrifSh01,defense,0,,,,,
player,201911030sea,sea,GrifSh01,def_pct,0%,,,,,
player,201911030sea,sea,GrifSh01,special_teams,15,,,,,
player,201911030sea,sea,GrifSh01,st_pct,42%,,,,,
player,201911030sea,sea,MyerJa00,pos,K,,,,,
player,201911030sea,sea,MyerJa00,offense,0,,,,,
player,201911030sea,sea,MyerJa00,off_pct,0%,,,,,
player,201911030sea,sea,MyerJa00,defense,0,,,,,
player,201911030sea,sea,MyerJa00,def_pct,0%,,,,,
player,201911030sea,sea,MyerJa00,special_teams,14,,,,,
player,201911030sea,sea,MyerJa00,st_pct,39%,,,,,
player,201911030sea,sea,HomeTr00,pos,RB,,,,,
player,201911030sea,sea,HomeTr00,offense,0,,,,,
player,201911030sea,sea,HomeTr00,off_pct,0%,,,,,
player,201911030sea,sea,HomeTr00,defense,0,,,,,
player,201911030sea,sea,HomeTr00,def_pct,0%,,,,,
player,201911030sea,sea,HomeTr00,special_teams,13,,,,,
player,201911030sea,sea,HomeTr00,st_pct,36%,,,,,
player,201911030sea,sea,OttxTy00,pos,LS,,,,,
player,201911030sea,sea,OttxTy00,offense,0,,,,,
player,201911030sea,sea,OttxTy00,off_pct,0%,,,,,
player,201911030sea,sea,OttxTy00,defense,0,,,,,
player,201911030sea,sea,OttxTy00,def_pct,0%,,,,,
player,201911030sea,sea,OttxTy00,special_teams,10,,,,,
player,201911030sea,sea,OttxTy00,st_pct,28%,,,,,
player,201911030sea,sea,DickMi00,pos,P,,,,,
player,201911030sea,sea,DickMi00,offense,0,,,,,
player,201911030sea,sea,DickMi00,off_pct,0%,,,,,
player,201911030sea,sea,DickMi00,defense,0,,,,,
player,201911030sea,sea,DickMi00,def_pct,0%,,,,,
player,201911030sea,sea,DickMi00,special_teams,10,,,,,
player,201911030sea,sea,DickMi00,st_pct,28%,,,,,
player,201911030sea,sea,RoosJo00,pos,G,,,,,
player,201911030sea,sea,RoosJo00,offense,0,,,,,
player,201911030sea,sea,RoosJo00,off_pct,0%,,,,,
player,201911030sea,sea,RoosJo00,defense,0,,,,,
player,201911030sea,sea,RoosJo00,def_pct,0%,,,,,
player,201911030sea,sea,RoosJo00,special_teams,7,,,,,
