game,2019,2,20190915,201909150det,sdg,"Los Angeles Chargers",10,det,"Detroit Lions",13
player,201909150det,det,McKiJ.00,pass_sacked_yds,0,,,,,
player,201909150det,det,McKiJ.00,pass_long,0,,,,,
player,201909150det,det,McKiJ.00,pass_rating,,,,,,
player,201909150det,det,McKiJ.00,rush_att,2,,,,,
player,201909150det,det,McKiJ.00,rush_yds,2,,,,,
player,201909150det,det,McKiJ.00,rush_td,0,,,,,
player,201909150det,det,McKiJ.00,rush_long,4,,,,,
player,201909150det,det,McKiJ.00,targets,0,,,,,
player,201909150det,det,McKiJ.00,rec,0,,,,,
player,201909150det,det,McKiJ.00,rec_yds,0,,,,,
player,201909150det,det,McKiJ.00,rec_td,0,,,,,
player,201909150det,det,McKiJ.00,rec_long,0,,,,,
player,201909150det,det,McKiJ.00,fumbles,0,,,,,
player,201909150det,det,McKiJ.00,fumbles_lost,0,,,,,
player,201909150det,det,GollKe00,pass_cmp,0,,,,,
player,201909150det,det,GollKe00,pass_att,0,,,,,
player,201909150det,det,GollKe00,pass_yds,0,,,,,
player,201909150det,det,GollKe00,pass_td,0,,,,,
player,201909150det,det,GollKe00,pass_int,0,,,,,
player,201909150det,det,GollKe00,pass_sacked,0,,,,,
player,201909150det,det,GollKe00,pass_sacked_yds,0,,,,,
player,201909150det,det,GollKe00,pass_long,0,,,,,
player,201909150det,det,GollKe00,pass_rating,,,,,,
player,201909150det,det,GollKe00,rush_att,0,,,,,
player,201909150det,det,GollKe00,rush_yds,0,,,,,
player,201909150det,det,GollKe00,rush_td,0,,,,,
player,201909150det,det,GollKe00,rush_long,0,,,,,
player,201909150det,det,GollKe00,targets,10,,,,,
player,201909150det,det,GollKe00,rec,8,,,,,
player,201909150det,det,GollKe00,rec_yds,117,,,,,
player,201909150det,det,GollKe00,rec_td,1,,,,,
player,201909150det,det,GollKe00,rec_long,31,,,,,
player,201909150det,det,GollKe00,fumbles,0,,,,,
player,201909150det,det,GollKe00,fumbles_lost,0,,,,,
player,201909150det,det,JoneMa02,pass_cmp,0,,,,,
player,201909150det,det,JoneMa02,pass_att,0,,,,,
player,201909150det,det,JoneMa02,pass_yds,0,,,,,
player,201909150det,det,JoneMa02,pass_td,0,,,,,
player,201909150det,det,JoneMa02,pass_int,0,,,,,
player,201909150det,det,JoneMa02,pass_sacked,0,,,,,
player,201909150det,det,JoneMa02,pass_sacked_yds,0,,,,,
player,201909150det,det,JoneMa02,pass_long,0,,,,,
player,201909150det,det,JoneMa02,pass_rating,,,,,,
player,201909150det,det,JoneMa02,rush_att,0,,,,,
player,201909150det,det,JoneMa02,rush_yds,0,,,,,
player,201909150det,det,JoneMa02,rush_td,0,,,,,
player,201909150det,det,JoneMa02,rush_long,0,,,,,
