game,2019,10,20191110,201911100dal,min,"Minnesota Vikings",28,dal,"Dallas Cowboys",24
player,201911100dal,min,TreaLa00,rush_td,0,,,,,
player,201911100dal,min,TreaLa00,rush_long,0,,,,,
player,201911100dal,min,TreaLa00,targets,1,,,,,
player,201911100dal,min,TreaLa00,rec,1,,,,,
player,201911100dal,min,TreaLa00,rec_yds,10,,,,,
player,201911100dal,min,TreaLa00,rec_td,0,,,,,
player,201911100dal,min,TreaLa00,rec_long,10,,,,,
player,201911100dal,min,TreaLa00,fumbles,0,,,,,
player,201911100dal,min,TreaLa00,fumbles_lost,0,,,,,
player,201911100dal,min,ConkTy00,pass_cmp,0,,,,,
player,201911100dal,min,ConkTy00,pass_att,0,,,,,
player,201911100dal,min,ConkTy00,pass_yds,0,,,,,
player,201911100dal,min,ConkTy00,pass_td,0,,,,,
player,201911100dal,min,ConkTy00,pass_int,0,,,,,
player,201911100dal,min,ConkTy00,pass_sacked,0,,,,,
player,201911100dal,min,ConkTy00,pass_sacked_yds,0,,,,,
player,201911100dal,min,ConkTy00,pass_long,0,,,,,
player,201911100dal,min,ConkTy00,pass_rating,,,,,,
player,201911100dal,min,ConkTy00,rush_att,0,,,,,
player,201911100dal,min,ConkTy00,rush_yds,0,,,,,
player,201911100dal,min,ConkTy00,rush_td,0,,,,,
player,201911100dal,min,ConkTy00,rush_long,0,,,,,
player,201911100dal,min,ConkTy00,targets,1,,,,,
player,201911100dal,min,ConkTy00,rec,0,,,,,
player,201911100dal,min,ConkTy00,rec_yds,0,,,,,
player,201911100dal,min,ConkTy00,rec_td,0,,,,,
player,201911100dal,min,ConkTy00,rec_long,0,,,,,
player,201911100dal,min,ConkTy00,fumbles,0,,,,,
player,201911100dal,min,ConkTy00,fumbles_lost,0,,,,,
player,201911100dal,min,HamxC.00,pass_cmp,0,,,,,
player,201911100dal,min,HamxC.00,pass_att,0,,,,,
player,201911100dal,min,HamxC.00,pass_yds,0,,,,,
player,201911100dal,min,HamxC.00,pass_td,0,,,,,
player,201911100dal,min,HamxC.00,pass_int,0,,,,,
player,201911100dal,min,HamxC.00,pass_sacked,0,,,,,
player,201911100dal,min,HamxC.00,pass_sacked_yds,0,,,,,
player,201911100dal,min,HamxC.00,pass_long,0,,,,,
player,201911100dal,min,HamxC.00,pass_rating,,,,,,
player,201911100dal,min,HamxC.00,rush_att,1,,,,,
player,201911100dal,min,HamxC.00,rush_yds,-1,,,,,
player,201911100dal,min,HamxC.00,rush_td,0,,,,,
player,201911100dal,min,HamxC.00,rush_long,-1,,,,,
player,201911100dal,min,HamxC.00,targets,0,,,,,
player,201911100dal,min,HamxC.00,rec,0,,,,,
player,201911100dal,min,HamxC.00,rec_yds,0,,,,,
player,201911100dal,min,HamxC.00,rec_td,0,,,,,
player,201911100dal,min,HamxC.00,rec_long,0,,,,,
player,201911100dal,min,HamxC.00,fumbles,0,,,,,
player,201911100dal,min,HamxC.00,fumbles_lost,0,,,,,
player,201911100dal,dal,PresDa01,pass_cmp,28,,,,,
player,201911100dal,dal,PresDa01,pass_att,46,,,,,
player,201911100dal,dal,PresDa01,pass_yds,397,,,,,
player,201911100dal,dal,PresDa01,pass_td,3,,,,,
player,201911100dal,dal,PresDa01,pass_int,1,,,,,
player,201911100dal,dal,PresDa01,pass_sacked,1,,,,,
player,201911100dal,dal,PresDa01,pass_sacked_yds,4,,,,,
player,201911100dal,dal,PresDa01,pass_long,26,,,,,
player,201911100dal,dal,PresDa01,pass_rating,101.4,,,,,
player,201911100dal,dal,PresDa01,rush_att,0,,,,,
player,201911100dal,dal,PresDa01,rush_yds,0,,,,,
player,201911100dal,dal,PresDa01,rush_td,0,,,,,
player,201911100dal,dal,PresDa01,rush_long,0,,,,,
player,201911100dal,dal,PresDa01,targets,0,,,,,
player,201911100dal,dal,PresDa01,rec,0,,,,,
player,201911100dal,dal,PresDa01,rec_yds,0,,,,,
player,201911100dal,dal,PresDa01,rec_td,0,,,,,
player,201911100dal,dal,PresDa01,rec_long,0,,,,,
player,201911100dal,dal,PresDa01,fumbles,0,,,,,
player,201911100dal,dal,PresDa01,fumbles_lost,0,,,,,
