game,2019,5,20191006,201910060nor,tam,"Tampa Bay Buccaneers",24,nor,"New Orleans Saints",31
player,201910060nor,tam,WilsJe00,targets,2,,,,,
player,201910060nor,tam,WilsJe00,rec,1,,,,,
player,201910060nor,tam,WilsJe00,rec_yds,11,,,,,
player,201910060nor,tam,WilsJe00,rec_td,0,,,,,
player,201910060nor,tam,WilsJe00,rec_long,11,,,,,
player,201910060nor,tam,WilsJe00,fumbles,0,,,,,
player,201910060nor,tam,WilsJe00,fumbles_lost,0,,,,,
player,201910060nor,tam,HowaO.00,pass_cmp,0,,,,,
player,201910060nor,tam,HowaO.00,pass_att,0,,,,,
player,201910060nor,tam,HowaO.00,pass_yds,0,,,,,
player,201910060nor,tam,HowaO.00,pass_td,0,,,,,
player,201910060nor,tam,HowaO.00,pass_int,0,,,,,
player,201910060nor,tam,HowaO.00,pass_sacked,0,,,,,
player,201910060nor,tam,HowaO.00,pass_sacked_yds,0,,,,,
player,201910060nor,tam,HowaO.00,pass_long,0,,,,,
player,201910060nor,tam,HowaO.00,pass_rating,,,,,,
player,201910060nor,tam,HowaO.00,rush_att,0,,,,,
player,201910060nor,tam,HowaO.00,rush_yds,0,,,,,
player,201910060nor,tam,HowaO.00,rush_td,0,,,,,
player,201910060nor,tam,HowaO.00,rush_long,0,,,,,
player,201910060nor,tam,HowaO.00,targets,2,,,,,
player,201910060nor,tam,HowaO.00,rec,1,,,,,
player,201910060nor,tam,HowaO.00,rec_yds,10,,,,,
player,201910060nor,tam,HowaO.00,rec_td,0,,,,,
player,201910060nor,tam,HowaO.00,rec_long,10,,,,,
player,201910060nor,tam,HowaO.00,fumbles,0,,,,,
player,201910060nor,tam,HowaO.00,fumbles_lost,0,,,,,
player,201910060nor,tam,EvanMi00,pass_cmp,0,,,,,
player,201910060nor,tam,EvanMi00,pass_att,0,,,,,
player,201910060nor,tam,EvanMi00,pass_yds,0,,,,,
player,201910060nor,tam,EvanMi00,pass_td,0,,,,,
player,201910060nor,tam,EvanMi00,pass_int,0,,,,,
player,201910060nor,tam,EvanMi00,pass_sacked,0,,,,,
player,201910060nor,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201910060nor,tam,EvanMi00,pass_long,0,,,,,
player,201910060nor,tam,EvanMi00,pass_rating,,,,,,
player,201910060nor,tam,EvanMi00,rush_att,0,,,,,
player,201910060nor,tam,EvanMi00,rush_yds,0,,,,,
player,201910060nor,tam,EvanMi00,rush_td,0,,,,,
player,201910060nor,tam,EvanMi00,rush_long,0,,,,,
player,201910060nor,tam,EvanMi00,targets,3,,,,,
player,201910060nor,tam,EvanMi00,rec,0,,,,,
player,201910060nor,tam,EvanMi00,rec_yds,0,,,,,
player,201910060nor,tam,EvanMi00,rec_td,0,,,,,
player,201910060nor,tam,EvanMi00,rec_long,0,,,,,
player,201910060nor,tam,EvanMi00,fumbles,0,,,,,
player,201910060nor,tam,EvanMi00,fumbles_lost,0,,,,,
player,201910060nor,tam,OgunDa00,pass_cmp,0,,,,,
player,201910060nor,tam,OgunDa00,pass_att,0,,,,,
player,201910060nor,tam,OgunDa00,pass_yds,0,,,,,
player,201910060nor,tam,OgunDa00,pass_td,0,,,,,
player,201910060nor,tam,OgunDa00,pass_int,0,,,,,
player,201910060nor,tam,OgunDa00,pass_sacked,0,,,,,
player,201910060nor,tam,OgunDa00,pass_sacked_yds,0,,,,,
player,201910060nor,tam,OgunDa00,pass_long,0,,,,,
player,201910060nor,tam,OgunDa00,pass_rating,,,,,,
player,201910060nor,tam,OgunDa00,rush_att,1,,,,,
player,201910060nor,tam,OgunDa00,rush_yds,-4,,,,,
player,201910060nor,tam,OgunDa00,rush_td,0,,,,,
player,201910060nor,tam,OgunDa00,rush_long,-4,,,,,
player,201910060nor,tam,OgunDa00,targets,3,,,,,
player,201910060nor,tam,OgunDa00,rec,2,,,,,
player,201910060nor,tam,OgunDa00,rec_yds,27,,,,,
player,201910060nor,tam,OgunDa00,rec_td,0,,,,,
player,201910060nor,tam,OgunDa00,rec_long,16,,,,,
player,201910060nor,tam,OgunDa00,fumbles,0,,,,,
player,201910060nor,tam,OgunDa00,fumbles_lost,0,,,,,
player,201910060nor,nor,BridTe00,pass_cmp,26,,,,,
player,201910060nor,nor,BridTe00,pass_att,34,,,,,
player,201910060nor,nor,BridTe00,pass_yds,314,,,,,
player,201910060nor,nor,BridTe00,pass_td,4,,,,,
player,201910060nor,nor,BridTe00,pass_int,1,,,,,
player,201910060nor,nor,BridTe00,pass_sacked,0,,,,,
player,201910060nor,nor,BridTe00,pass_sacked_yds,0,,,,,
player,201910060nor,nor,BridTe00,pass_long,42,,,,,
player,201910060nor,nor,BridTe00,pass_rating,131.2,,,,,
player,201910060nor,nor,BridTe00,rush_att,5,,,,,
player,201910060nor,nor,BridTe00,rush_yds,7,,,,,
player,201910060nor,nor,BridTe00,rush_td,0,,,,,
player,201910060nor,nor,BridTe00,rush_long,5,,,,,
player,201910060nor,nor,BridTe00,targets,0,,,,,
player,201910060nor,nor,BridTe00,rec,0,,,,,
player,201910060nor,nor,BridTe00,rec_yds,0,,,,,
player,201910060nor,nor,BridTe00,rec_td,0,,,,,
player,201910060nor,nor,BridTe00,rec_long,0,,,,,
player,201910060nor,nor,BridTe00,fumbles,0,,,,,
player,201910060nor,nor,BridTe00,fumbles_lost,0,,,,,
player,201910060nor,nor,KamaAl00,pass_cmp,1,,,,,
player,201910060nor,nor,KamaAl00,pass_att,1,,,,,
player,201910060nor,nor,KamaAl00,pass_yds,13,,,,,
player,201910060nor,nor,KamaAl00,pass_td,0,,,,,
player,201910060nor,nor,KamaAl00,pass_int,0,,,,,
player,201910060nor,nor,KamaAl00,pass_sacked,0,,,,,
player,201910060nor,nor,KamaAl00,pass_sacked_yds,0,,,,,
player,201910060nor,nor,KamaAl00,pass_long,13,,,,,
player,201910060nor,nor,KamaAl00,pass_rating,118.7,,,,,
player,201910060nor,nor,KamaAl00,rush_att,16,,,,,
player,201910060nor,nor,KamaAl00,rush_yds,62,,,,,
player,201910060nor,nor,KamaAl00,rush_td,0,,,,,
player,201910060nor,nor,KamaAl00,rush_long,16,,,,,
player,201910060nor,nor,KamaAl00,targets,7,,,,,
player,201910060nor,nor,KamaAl00,rec,6,,,,,
player,201910060nor,nor,KamaAl00,rec_yds,42,,,,,
player,201910060nor,nor,KamaAl00,rec_td,0,,,,,
player,201910060nor,nor,KamaAl00,rec_long,15,,,,,
player,201910060nor,nor,KamaAl00,fumbles,0,,,,,
player,201910060nor,nor,KamaAl00,fumbles_lost,0,,,,,
player,201910060nor,nor,HillTa00,pass_cmp,1,,,,,
player,201910060nor,nor,HillTa00,pass_att,1,,,,,
player,201910060nor,nor,HillTa00,pass_yds,18,,,,,
player,201910060nor,nor,HillTa00,pass_td,0,,,,,
player,201910060nor,nor,HillTa00,pass_int,0,,,,,
player,201910060nor,nor,HillTa00,pass_sacked,0,,,,,
player,201910060nor,nor,HillTa00,pass_sacked_yds,0,,,,,
player,201910060nor,nor,HillTa00,pass_long,18,,,,,
player,201910060nor,nor,HillTa00,pass_rating,118.7,,,,,
player,201910060nor,nor,HillTa00,rush_att,2,,,,,
player,201910060nor,nor,HillTa00,rush_yds,14,,,,,
player,201910060nor,nor,HillTa00,rush_td,0,,,,,
player,201910060nor,nor,HillTa00,rush_long,11,,,,,
player,201910060nor,nor,HillTa00,targets,0,,,,,
player,201910060nor,nor,HillTa00,rec,0,,,,,
player,201910060nor,nor,HillTa00,rec_yds,0,,,,,
player,201910060nor,nor,HillTa00,rec_td,0,,,,,
player,201910060nor,nor,HillTa00,rec_long,0,,,,,
player,201910060nor,nor,HillTa00,fumbles,0,,,,,
player,201910060nor,nor,HillTa00,fumbles_lost,0,,,,,
player,201910060nor,nor,MurrLa00,pass_cmp,0,,,,,
player,201910060nor,nor,MurrLa00,pass_att,0,,,,,
player,201910060nor,nor,MurrLa00,pass_yds,0,,,,,
player,201910060nor,nor,MurrLa00,pass_td,0,,,,,
player,201910060nor,nor,MurrLa00,pass_int,0,,,,,
player,201910060nor,nor,MurrLa00,pass_sacked,0,,,,,
player,201910060nor,nor,MurrLa00,pass_sacked_yds,0,,,,,
player,201910060nor,nor,MurrLa00,pass_long,0,,,,,
player,201910060nor,nor,MurrLa00,pass_rating,,,,,,
player,201910060nor,nor,MurrLa00,rush_att,7,,,,,
player,201910060nor,nor,MurrLa00,rush_yds,28,,,,,
player,201910060nor,nor,MurrLa00,rush_td,0,,,,,
player,201910060nor,nor,MurrLa00,rush_long,12,,,,,
player,201910060nor,nor,MurrLa00,targets,2,,,,,
player,201910060nor,nor,MurrLa00,rec,2,,,,,
player,201910060nor,nor,MurrLa00,rec_yds,6,,,,,
player,201910060nor,nor,MurrLa00,rec_td,0,,,,,
player,201910060nor,nor,MurrLa00,rec_long,4,,,,,
player,201910060nor,nor,MurrLa00,fumbles,0,,,,,
player,201910060nor,nor,MurrLa00,fumbles_lost,0,,,,,
player,201910060nor,nor,GinnTe00,pass_cmp,0,,,,,
player,201910060nor,nor,GinnTe00,pass_att,0,,,,,
player,201910060nor,nor,GinnTe00,pass_yds,0,,,,,
player,201910060nor,nor,GinnTe00,pass_td,0,,,,,
player,201910060nor,nor,GinnTe00,pass_int,0,,,,,
player,201910060nor,nor,GinnTe00,pass_sacked,0,,,,,
player,201910060nor,nor,GinnTe00,pass_sacked_yds,0,,,,,
player,201910060nor,nor,GinnTe00,pass_long,0,,,,,
player,201910060nor,nor,GinnTe00,pass_rating,,,,,,
player,201910060nor,nor,GinnTe00,rush_att,1,,,,,
player,201910060nor,nor,GinnTe00,rush_yds,1,,,,,
player,201910060nor,nor,GinnTe00,rush_td,0,,,,,
player,201910060nor,nor,GinnTe00,rush_long,1,,,,,
player,201910060nor,nor,GinnTe00,targets,2,,,,,
player,201910060nor,nor,GinnTe00,rec,2,,,,,
player,201910060nor,nor,GinnTe00,rec_yds,35,,,,,
player,201910060nor,nor,GinnTe00,rec_td,1,,,,,
player,201910060nor,nor,GinnTe00,rec_long,33,,,,,
player,201910060nor,nor,GinnTe00,fumbles,0,,,,,
player,201910060nor,nor,GinnTe00,fumbles_lost,0,,,,,
player,201910060nor,nor,ThomMi05,pass_cmp,0,,,,,
player,201910060nor,nor,ThomMi05,pass_att,0,,,,,
player,201910060nor,nor,ThomMi05,pass_yds,0,,,,,
player,201910060nor,nor,ThomMi05,pass_td,0,,,,,
player,201910060nor,nor,ThomMi05,pass_int,0,,,,,
player,201910060nor,nor,ThomMi05,pass_sacked,0,,,,,
player,201910060nor,nor,ThomMi05,pass_sacked_yds,0,,,,,
player,201910060nor,nor,ThomMi05,pass_long,0,,,,,
player,201910060nor,nor,ThomMi05,pass_rating,,,,,,
player,201910060nor,nor,ThomMi05,rush_att,0,,,,,
player,201910060nor,nor,ThomMi05,rush_yds,0,,,,,
player,201910060nor,nor,ThomMi05,rush_td,0,,,,,
player,201910060nor,nor,ThomMi05,rush_long,0,,,,,
player,201910060nor,nor,ThomMi05,targets,13,,,,,
player,201910060nor,nor,ThomMi05,rec,11,,,,,
player,201910060nor,nor,ThomMi05,rec_yds,182,,,,,
player,201910060nor,nor,ThomMi05,rec_td,2,,,,,
player,201910060nor,nor,ThomMi05,rec_long,42,,,,,
player,201910060nor,nor,ThomMi05,fumbles,0,,,,,
player,201910060nor,nor,ThomMi05,fumbles_lost,0,,,,,
player,201910060nor,nor,CookJa02,pass_cmp,0,,,,,
player,201910060nor,nor,CookJa02,pass_att,0,,,,,
player,201910060nor,nor,CookJa02,pass_yds,0,,,,,
player,201910060nor,nor,CookJa02,pass_td,0,,,,,
player,201910060nor,nor,CookJa02,pass_int,0,,,,,
player,201910060nor,nor,CookJa02,pass_sacked,0,,,,,
player,201910060nor,nor,CookJa02,pass_sacked_yds,0,,,,,
player,201910060nor,nor,CookJa02,pass_long,0,,,,,
player,201910060nor,nor,CookJa02,pass_rating,,,,,,
player,201910060nor,nor,CookJa02,rush_att,0,,,,,
player,201910060nor,nor,CookJa02,rush_yds,0,,,,,
player,201910060nor,nor,CookJa02,rush_td,0,,,,,
player,201910060nor,nor,CookJa02,rush_long,0,,,,,
player,201910060nor,nor,CookJa02,targets,6,,,,,
player,201910060nor,nor,CookJa02,rec,4,,,,,
player,201910060nor,nor,CookJa02,rec_yds,41,,,,,
player,201910060nor,nor,CookJa02,rec_td,1,,,,,
player,201910060nor,nor,CookJa02,rec_long,16,,,,,
player,201910060nor,nor,CookJa02,fumbles,0,,,,,
player,201910060nor,nor,CookJa02,fumbles_lost,0,,,,,
player,201910060nor,nor,HillJo02,pass_cmp,0,,,,,
player,201910060nor,nor,HillJo02,pass_att,0,,,,,
player,201910060nor,nor,HillJo02,pass_yds,0,,,,,
player,201910060nor,nor,HillJo02,pass_td,0,,,,,
player,201910060nor,nor,HillJo02,pass_int,0,,,,,
player,201910060nor,nor,HillJo02,pass_sacked,0,,,,,
player,201910060nor,nor,HillJo02,pass_sacked_yds,0,,,,,
player,201910060nor,nor,HillJo02,pass_long,0,,,,,
