game,2019,16,20191222,201912220chi,kan,"Kansas City Chiefs",26,chi,"Chicago Bears",3
player,201912220chi,kan,WatkSa00,pass_long,0,,,,,
player,201912220chi,kan,WatkSa00,pass_rating,,,,,,
player,201912220chi,kan,WatkSa00,rush_att,0,,,,,
player,201912220chi,kan,WatkSa00,rush_yds,0,,,,,
player,201912220chi,kan,WatkSa00,rush_td,0,,,,,
player,201912220chi,kan,WatkSa00,rush_long,0,,,,,
player,201912220chi,kan,WatkSa00,targets,5,,,,,
player,201912220chi,kan,WatkSa00,rec,2,,,,,
player,201912220chi,kan,WatkSa00,rec_yds,28,,,,,
player,201912220chi,kan,WatkSa00,rec_td,0,,,,,
player,201912220chi,kan,WatkSa00,rec_long,17,,,,,
player,201912220chi,kan,WatkSa00,fumbles,0,,,,,
player,201912220chi,kan,WatkSa00,fumbles_lost,0,,,,,
player,201912220chi,kan,BellBl00,pass_cmp,0,,,,,
player,201912220chi,kan,BellBl00,pass_att,0,,,,,
player,201912220chi,kan,BellBl00,pass_yds,0,,,,,
player,201912220chi,kan,BellBl00,pass_td,0,,,,,
player,201912220chi,kan,BellBl00,pass_int,0,,,,,
player,201912220chi,kan,BellBl00,pass_sacked,0,,,,,
player,201912220chi,kan,BellBl00,pass_sacked_yds,0,,,,,
player,201912220chi,kan,BellBl00,pass_long,0,,,,,
player,201912220chi,kan,BellBl00,pass_rating,,,,,,
player,201912220chi,kan,BellBl00,rush_att,0,,,,,
player,201912220chi,kan,BellBl00,rush_yds,0,,,,,
player,201912220chi,kan,BellBl00,rush_td,0,,,,,
player,201912220chi,kan,BellBl00,rush_long,0,,,,,
player,201912220chi,kan,BellBl00,targets,3,,,,,
player,201912220chi,kan,BellBl00,rec,2,,,,,
player,201912220chi,kan,BellBl00,rec_yds,15,,,,,
player,201912220chi,kan,BellBl00,rec_td,0,,,,,
player,201912220chi,kan,BellBl00,rec_long,10,,,,,
player,201912220chi,kan,BellBl00,fumbles,0,,,,,
player,201912220chi,kan,BellBl00,fumbles_lost,0,,,,,
player,201912220chi,kan,RobiDe01,pass_cmp,0,,,,,
player,201912220chi,kan,RobiDe01,pass_att,0,,,,,
player,201912220chi,kan,RobiDe01,pass_yds,0,,,,,
player,201912220chi,kan,RobiDe01,pass_td,0,,,,,
player,201912220chi,kan,RobiDe01,pass_int,0,,,,,
player,201912220chi,kan,RobiDe01,pass_sacked,0,,,,,
player,201912220chi,kan,RobiDe01,pass_sacked_yds,0,,,,,
player,201912220chi,kan,RobiDe01,pass_long,0,,,,,
player,201912220chi,kan,RobiDe01,pass_rating,,,,,,
player,201912220chi,kan,RobiDe01,rush_att,0,,,,,
player,201912220chi,kan,RobiDe01,rush_yds,0,,,,,
player,201912220chi,kan,RobiDe01,rush_td,0,,,,,
player,201912220chi,kan,RobiDe01,rush_long,0,,,,,
player,201912220chi,kan,RobiDe01,targets,2,,,,,
player,201912220chi,kan,RobiDe01,rec,1,,,,,
player,201912220chi,kan,RobiDe01,rec_yds,13,,,,,
player,201912220chi,kan,RobiDe01,rec_td,0,,,,,
player,201912220chi,kan,RobiDe01,rec_long,13,,,,,
player,201912220chi,kan,RobiDe01,fumbles,0,,,,,
player,201912220chi,kan,RobiDe01,fumbles_lost,0,,,,,
player,201912220chi,kan,MoorMa01,pass_cmp,0,,,,,
player,201912220chi,kan,MoorMa01,pass_att,0,,,,,
player,201912220chi,kan,MoorMa01,pass_yds,0,,,,,
player,201912220chi,kan,MoorMa01,pass_td,0,,,,,
player,201912220chi,kan,MoorMa01,pass_int,0,,,,,
player,201912220chi,kan,MoorMa01,pass_sacked,0,,,,,
player,201912220chi,kan,MoorMa01,pass_sacked_yds,0,,,,,
player,201912220chi,kan,MoorMa01,pass_long,0,,,,,
player,201912220chi,kan,MoorMa01,pass_rating,,,,,,
player,201912220chi,kan,MoorMa01,rush_att,1,,,,,
player,201912220chi,kan,MoorMa01,rush_yds,-1,,,,,
player,201912220chi,kan,MoorMa01,rush_td,0,,,,,
player,201912220chi,kan,MoorMa01,rush_long,-1,,,,,
player,201912220chi,kan,MoorMa01,targets,0,,,,,
player,201912220chi,kan,MoorMa01,rec,0,,,,,
player,201912220chi,kan,MoorMa01,rec_yds,0,,,,,
player,201912220chi,kan,MoorMa01,rec_td,0,,,,,
player,201912220chi,kan,MoorMa01,rec_long,0,,,,,
player,201912220chi,kan,MoorMa01,fumbles,0,,,,,
player,201912220chi,kan,MoorMa01,fumbles_lost,0,,,,,
player,201912220chi,chi,TrubMi00,pass_cmp,18,,,,,
player,201912220chi,chi,TrubMi00,pass_att,34,,,,,
player,201912220chi,chi,TrubMi00,pass_yds,157,,,,,
player,201912220chi,chi,TrubMi00,pass_td,0,,,,,
player,201912220chi,chi,TrubMi00,pass_int,0,,,,,
player,201912220chi,chi,TrubMi00,pass_sacked,3,,,,,
player,201912220chi,chi,TrubMi00,pass_sacked_yds,24,,,,,
player,201912220chi,chi,TrubMi00,pass_long,20,,,,,
player,201912220chi,chi,TrubMi00,pass_rating,65.4,,,,,
player,201912220chi,chi,TrubMi00,rush_att,6,,,,,
player,201912220chi,chi,TrubMi00,rush_yds,20,,,,,
player,201912220chi,chi,TrubMi00,rush_td,0,,,,,
player,201912220chi,chi,TrubMi00,rush_long,8,,,,,
player,201912220chi,chi,TrubMi00,targets,0,,,,,
player,201912220chi,chi,TrubMi00,rec,0,,,,,
player,201912220chi,chi,TrubMi00,rec_yds,0,,,,,
player,201912220chi,chi,TrubMi00,rec_td,0,,,,,
player,201912220chi,chi,TrubMi00,rec_long,0,,,,,
player,201912220chi,chi,TrubMi00,fumbles,1,,,,,
player,201912220chi,chi,TrubMi00,fumbles_lost,0,,,,,
player,201912220chi,chi,MontDa01,pass_cmp,0,,,,,
player,201912220chi,chi,MontDa01,pass_att,0,,,,,
player,201912220chi,chi,MontDa01,pass_yds,0,,,,,
player,201912220chi,chi,MontDa01,pass_td,0,,,,,
player,201912220chi,chi,MontDa01,pass_int,0,,,,,
player,201912220chi,chi,MontDa01,pass_sacked,0,,,,,
player,201912220chi,chi,MontDa01,pass_sacked_yds,0,,,,,
player,201912220chi,chi,MontDa01,pass_long,0,,,,,
player,201912220chi,chi,MontDa01,pass_rating,,,,,,
player,201912220chi,chi,MontDa01,rush_att,13,,,,,
player,201912220chi,chi,MontDa01,rush_yds,57,,,,,
player,201912220chi,chi,MontDa01,rush_td,0,,,,,
player,201912220chi,chi,MontDa01,rush_long,16,,,,,
player,201912220chi,chi,MontDa01,targets,1,,,,,
player,201912220chi,chi,MontDa01,rec,1,,,,,
player,201912220chi,chi,MontDa01,rec_yds,2,,,,,
player,201912220chi,chi,MontDa01,rec_td,0,,,,,
player,201912220chi,chi,MontDa01,rec_long,2,,,,,
player,201912220chi,chi,MontDa01,fumbles,0,,,,,
player,201912220chi,chi,MontDa01,fumbles_lost,0,,,,,
player,201912220chi,chi,PattCo00,pass_cmp,0,,,,,
player,201912220chi,chi,PattCo00,pass_att,0,,,,,
player,201912220chi,chi,PattCo00,pass_yds,0,,,,,
player,201912220chi,chi,PattCo00,pass_td,0,,,,,
player,201912220chi,chi,PattCo00,pass_int,0,,,,,
player,201912220chi,chi,PattCo00,pass_sacked,0,,,,,
player,201912220chi,chi,PattCo00,pass_sacked_yds,0,,,,,
player,201912220chi,chi,PattCo00,pass_long,0,,,,,
player,201912220chi,chi,PattCo00,pass_rating,,,,,,
player,201912220chi,chi,PattCo00,rush_att,1,,,,,
player,201912220chi,chi,PattCo00,rush_yds,16,,,,,
player,201912220chi,chi,PattCo00,rush_td,0,,,,,
player,201912220chi,chi,PattCo00,rush_long,16,,,,,
player,201912220chi,chi,PattCo00,targets,1,,,,,
player,201912220chi,chi,PattCo00,rec,1,,,,,
player,201912220chi,chi,PattCo00,rec_yds,5,,,,,
player,201912220chi,chi,PattCo00,rec_td,0,,,,,
player,201912220chi,chi,PattCo00,rec_long,5,,,,,
player,201912220chi,chi,PattCo00,fumbles,0,,,,,
player,201912220chi,chi,PattCo00,fumbles_lost,0,,,,,
player,201912220chi,chi,CoheTa00,pass_cmp,0,,,,,
player,201912220chi,chi,CoheTa00,pass_att,0,,,,,
player,201912220chi,chi,CoheTa00,pass_yds,0,,,,,
player,201912220chi,chi,CoheTa00,pass_td,0,,,,,
player,201912220chi,chi,CoheTa00,pass_int,0,,,,,
player,201912220chi,chi,CoheTa00,pass_sacked,0,,,,,
player,201912220chi,chi,CoheTa00,pass_sacked_yds,0,,,,,
player,201912220chi,chi,CoheTa00,pass_long,0,,,,,
player,201912220chi,chi,CoheTa00,pass_rating,,,,,,
player,201912220chi,chi,CoheTa00,rush_att,2,,,,,
player,201912220chi,chi,CoheTa00,rush_yds,8,,,,,
player,201912220chi,chi,CoheTa00,rush_td,0,,,,,
player,201912220chi,chi,CoheTa00,rush_long,6,,,,,
player,201912220chi,chi,CoheTa00,targets,4,,,,,
player,201912220chi,chi,CoheTa00,rec,3,,,,,
player,201912220chi,chi,CoheTa00,rec_yds,25,,,,,
player,201912220chi,chi,CoheTa00,rec_td,0,,,,,
player,201912220chi,chi,CoheTa00,rec_long,12,,,,,
player,201912220chi,chi,CoheTa00,fumbles,0,,,,,
player,201912220chi,chi,CoheTa00,fumbles_lost,0,,,,,
player,201912220chi,chi,RobiAl02,pass_cmp,0,,,,,
player,201912220chi,chi,RobiAl02,pass_att,0,,,,,
player,201912220chi,chi,RobiAl02,pass_yds,0,,,,,
player,201912220chi,chi,RobiAl02,pass_td,0,,,,,
player,201912220chi,chi,RobiAl02,pass_int,0,,,,,
player,201912220chi,chi,RobiAl02,pass_sacked,0,,,,,
player,201912220chi,chi,RobiAl02,pass_sacked_yds,0,,,,,
player,201912220chi,chi,RobiAl02,pass_long,0,,,,,
player,201912220chi,chi,RobiAl02,pass_rating,,,,,,
player,201912220chi,chi,RobiAl02,rush_att,0,,,,,
player,201912220chi,chi,RobiAl02,rush_yds,0,,,,,
player,201912220chi,chi,RobiAl02,rush_td,0,,,,,
player,201912220chi,chi,RobiAl02,rush_long,0,,,,,
player,201912220chi,chi,RobiAl02,targets,12,,,,,
player,201912220chi,chi,RobiAl02,rec,6,,,,,
player,201912220chi,chi,RobiAl02,rec_yds,53,,,,,
player,201912220chi,chi,RobiAl02,rec_td,0,,,,,
player,201912220chi,chi,RobiAl02,rec_long,17,,,,,
player,201912220chi,chi,RobiAl02,fumbles,0,,,,,
player,201912220chi,chi,RobiAl02,fumbles_lost,0,,,,,
player,201912220chi,chi,WimsJa00,pass_cmp,0,,,,,
player,201912220chi,chi,WimsJa00,pass_att,0,,,,,
player,201912220chi,chi,WimsJa00,pass_yds,0,,,,,
player,201912220chi,chi,WimsJa00,pass_td,0,,,,,
player,201912220chi,chi,WimsJa00,pass_int,0,,,,,
player,201912220chi,chi,WimsJa00,pass_sacked,0,,,,,
player,201912220chi,chi,WimsJa00,pass_sacked_yds,0,,,,,
player,201912220chi,chi,WimsJa00,pass_long,0,,,,,
player,201912220chi,chi,WimsJa00,pass_rating,,,,,,
player,201912220chi,chi,WimsJa00,rush_att,0,,,,,
player,201912220chi,chi,WimsJa00,rush_yds,0,,,,,
player,201912220chi,chi,WimsJa00,rush_td,0,,,,,
player,201912220chi,chi,WimsJa00,rush_long,0,,,,,
player,201912220chi,chi,WimsJa00,targets,9,,,,,
player,201912220chi,chi,WimsJa00,rec,3,,,,,
player,201912220chi,chi,WimsJa00,rec_yds,26,,,,,
player,201912220chi,chi,WimsJa00,rec_td,0,,,,,
player,201912220chi,chi,WimsJa00,rec_long,12,,,,,
player,201912220chi,chi,WimsJa00,fumbles,0,,,,,
player,201912220chi,chi,WimsJa00,fumbles_lost,0,,,,,
player,201912220chi,chi,HorsJe00,pass_cmp,0,,,,,
player,201912220chi,chi,HorsJe00,pass_att,0,,,,,
player,201912220chi,chi,HorsJe00,pass_yds,0,,,,,
player,201912220chi,chi,HorsJe00,pass_td,0,,,,,
player,201912220chi,chi,HorsJe00,pass_int,0,,,,,
player,201912220chi,chi,HorsJe00,pass_sacked,0,,,,,
player,201912220chi,chi,HorsJe00,pass_sacked_yds,0,,,,,
player,201912220chi,chi,HorsJe00,pass_long,0,,,,,
player,201912220chi,chi,HorsJe00,pass_rating,,,,,,
player,201912220chi,chi,HorsJe00,rush_att,0,,,,,
player,201912220chi,chi,HorsJe00,rush_yds,0,,,,,
player,201912220chi,chi,HorsJe00,rush_td,0,,,,,
player,201912220chi,chi,HorsJe00,rush_long,0,,,,,
player,201912220chi,chi,HorsJe00,targets,1,,,,,
player,201912220chi,chi,HorsJe00,rec,1,,,,,
player,201912220chi,chi,HorsJe00,rec_yds,20,,,,,
player,201912220chi,chi,HorsJe00,rec_td,0,,,,,
player,201912220chi,chi,HorsJe00,rec_long,20,,,,,
player,201912220chi,chi,HorsJe00,fumbles,0,,,,,
player,201912220chi,chi,HorsJe00,fumbles_lost,0,,,,,
player,201912220chi,chi,HoltJ.01,pass_cmp,0,,,,,
player,201912220chi,chi,HoltJ.01,pass_att,0,,,,,
player,201912220chi,chi,HoltJ.01,pass_yds,0,,,,,
player,201912220chi,chi,HoltJ.01,pass_td,0,,,,,
player,201912220chi,chi,HoltJ.01,pass_int,0,,,,,
player,201912220chi,chi,HoltJ.01,pass_sacked,0,,,,,
player,201912220chi,chi,HoltJ.01,pass_sacked_yds,0,,,,,
player,201912220chi,chi,HoltJ.01,pass_long,0,,,,,
player,201912220chi,chi,HoltJ.01,pass_rating,,,,,,
player,201912220chi,chi,HoltJ.01,rush_att,0,,,,,
player,201912220chi,chi,HoltJ.01,rush_yds,0,,,,,
player,201912220chi,chi,HoltJ.01,rush_td,0,,,,,
player,201912220chi,chi,HoltJ.01,rush_long,0,,,,,
player,201912220chi,chi,HoltJ.01,targets,1,,,,,
player,201912220chi,chi,HoltJ.01,rec,1,,,,,
player,201912220chi,chi,HoltJ.01,rec_yds,13,,,,,
player,201912220chi,chi,HoltJ.01,rec_td,0,,,,,
player,201912220chi,chi,HoltJ.01,rec_long,13,,,,,
player,201912220chi,chi,HoltJ.01,fumbles,0,,,,,
player,201912220chi,chi,HoltJ.01,fumbles_lost,0,,,,,
player,201912220chi,chi,SaubEr00,pass_cmp,0,,,,,
player,201912220chi,chi,SaubEr00,pass_att,0,,,,,
player,201912220chi,chi,SaubEr00,pass_yds,0,,,,,
player,201912220chi,chi,SaubEr00,pass_td,0,,,,,
player,201912220chi,chi,SaubEr00,pass_int,0,,,,,
player,201912220chi,chi,SaubEr00,pass_sacked,0,,,,,
player,201912220chi,chi,SaubEr00,pass_sacked_yds,0,,,,,
player,201912220chi,chi,SaubEr00,pass_long,0,,,,,
player,201912220chi,chi,SaubEr00,pass_rating,,,,,,
player,201912220chi,chi,SaubEr00,rush_att,0,,,,,
player,201912220chi,chi,SaubEr00,rush_yds,0,,,,,
player,201912220chi,chi,SaubEr00,rush_td,0,,,,,
player,201912220chi,chi,SaubEr00,rush_long,0,,,,,
player,201912220chi,chi,SaubEr00,targets,2,,,,,
player,201912220chi,chi,SaubEr00,rec,1,,,,,
player,201912220chi,chi,SaubEr00,rec_yds,11,,,,,
player,201912220chi,chi,SaubEr00,rec_td,0,,,,,
player,201912220chi,chi,SaubEr00,rec_long,11,,,,,
player,201912220chi,chi,SaubEr00,fumbles,0,,,,,
player,201912220chi,chi,SaubEr00,fumbles_lost,0,,,,,
player,201912220chi,chi,MillAn02,pass_cmp,0,,,,,
player,201912220chi,chi,MillAn02,pass_att,0,,,,,
player,201912220chi,chi,MillAn02,pass_yds,0,,,,,
player,201912220chi,chi,MillAn02,pass_td,0,,,,,
player,201912220chi,chi,MillAn02,pass_int,0,,,,,
player,201912220chi,chi,MillAn02,pass_sacked,0,,,,,
player,201912220chi,chi,MillAn02,pass_sacked_yds,0,,,,,
player,201912220chi,chi,MillAn02,pass_long,0,,,,,
player,201912220chi,chi,MillAn02,pass_rating,,,,,,
player,201912220chi,chi,MillAn02,rush_att,0,,,,,
player,201912220chi,chi,MillAn02,rush_yds,0,,,,,
player,201912220chi,chi,MillAn02,rush_td,0,,,,,
player,201912220chi,chi,MillAn02,rush_long,0,,,,,
player,201912220chi,chi,MillAn02,targets,2,,,,,
player,201912220chi,chi,MillAn02,rec,1,,,,,
player,201912220chi,chi,MillAn02,rec_yds,2,,,,,
player,201912220chi,chi,MillAn02,rec_td,0,,,,,
player,201912220chi,chi,MillAn02,rec_long,2,,,,,
player,201912220chi,chi,MillAn02,fumbles,0,,,,,
player,201912220chi,chi,MillAn02,fumbles_lost,0,,,,,
player,201912220chi,kan,JoneCh09,def_int,0,,,,,
player,201912220chi,kan,JoneCh09,def_int_yds,0,,,,,
player,201912220chi,kan,JoneCh09,def_int_td,0,,,,,
player,201912220chi,kan,JoneCh09,def_int_long,0,,,,,
player,201912220chi,kan,JoneCh09,pass_defended,0,,,,,
player,201912220chi,kan,JoneCh09,sacks,1.0,,,,,
player,201912220chi,kan,JoneCh09,tackles_combined,3,,,,,
player,201912220chi,kan,JoneCh09,tackles_solo,3,,,,,
player,201912220chi,kan,JoneCh09,tackles_assists,0,,,,,
player,201912220chi,kan,JoneCh09,tackles_loss,1,,,,,
player,201912220chi,kan,JoneCh09,qb_hits,1,,,,,
player,201912220chi,kan,JoneCh09,fumbles_rec,0,,,,,
player,201912220chi,kan,JoneCh09,fumbles_rec_yds,0,,,,,
player,201912220chi,kan,JoneCh09,fumbles_rec_td,0,,,,,
player,201912220chi,kan,JoneCh09,fumbles_forced,0,,,,,
player,201912220chi,kan,ClarFr01,def_int,0,,,,,
player,201912220chi,kan,ClarFr01,def_int_yds,0,,,,,
player,201912220chi,kan,ClarFr01,def_int_td,0,,,,,
player,201912220chi,kan,ClarFr01,def_int_long,0,,,,,
player,201912220chi,kan,ClarFr01,pass_defended,0,,,,,
player,201912220chi,kan,ClarFr01,sacks,1.0,,,,,
player,201912220chi,kan,ClarFr01,tackles_combined,1,,,,,
player,201912220chi,kan,ClarFr01,tackles_solo,1,,,,,
player,201912220chi,kan,ClarFr01,tackles_assists,0,,,,,
player,201912220chi,kan,ClarFr01,tackles_loss,1,,,,,
player,201912220chi,kan,ClarFr01,qb_hits,0,,,,,
player,201912220chi,kan,ClarFr01,fumbles_rec,0,,,,,
player,201912220chi,kan,ClarFr01,fumbles_rec_yds,0,,,,,
player,201912220chi,kan,ClarFr01,fumbles_rec_td,0,,,,,
player,201912220chi,kan,ClarFr01,fumbles_forced,0,,,,,
player,201912220chi,kan,RaglRe00,def_int,0,,,,,
