game,2019,6,20191013,201910130min,phi,"Philadelphia Eagles",20,min,"Minnesota Vikings",38
player,201910130min,phi,AghoNe00,pass_cmp,0,,,,,
player,201910130min,phi,AghoNe00,pass_att,0,,,,,
player,201910130min,phi,AghoNe00,pass_yds,0,,,,,
player,201910130min,phi,AghoNe00,pass_td,0,,,,,
player,201910130min,phi,AghoNe00,pass_int,0,,,,,
player,201910130min,phi,AghoNe00,pass_sacked,0,,,,,
player,201910130min,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201910130min,phi,AghoNe00,pass_long,0,,,,,
player,201910130min,phi,AghoNe00,pass_rating,,,,,,
player,201910130min,phi,AghoNe00,rush_att,0,,,,,
player,201910130min,phi,AghoNe00,rush_yds,0,,,,,
player,201910130min,phi,AghoNe00,rush_td,0,,,,,
player,201910130min,phi,AghoNe00,rush_long,0,,,,,
player,201910130min,phi,AghoNe00,targets,7,,,,,
player,201910130min,phi,AghoNe00,rec,4,,,,,
player,201910130min,phi,AghoNe00,rec_yds,42,,,,,
player,201910130min,phi,AghoNe00,rec_td,0,,,,,
player,201910130min,phi,AghoNe00,rec_long,23,,,,,
player,201910130min,phi,AghoNe00,fumbles,0,,,,,
player,201910130min,phi,AghoNe00,fumbles_lost,0,,,,,
player,201910130min,phi,HollMa00,pass_cmp,0,,,,,
player,201910130min,phi,HollMa00,pass_att,0,,,,,
player,201910130min,phi,HollMa00,pass_yds,0,,,,,
player,201910130min,phi,HollMa00,pass_td,0,,,,,
player,201910130min,phi,HollMa00,pass_int,0,,,,,
player,201910130min,phi,HollMa00,pass_sacked,0,,,,,
player,201910130min,phi,HollMa00,pass_sacked_yds,0,,,,,
player,201910130min,phi,HollMa00,pass_long,0,,,,,
player,201910130min,phi,HollMa00,pass_rating,,,,,,
player,201910130min,phi,HollMa00,rush_att,0,,,,,
player,201910130min,phi,HollMa00,rush_yds,0,,,,,
player,201910130min,phi,HollMa00,rush_td,0,,,,,
player,201910130min,phi,HollMa00,rush_long,0,,,,,
player,201910130min,phi,HollMa00,targets,2,,,,,
player,201910130min,phi,HollMa00,rec,0,,,,,
player,201910130min,phi,HollMa00,rec_yds,0,,,,,
player,201910130min,phi,HollMa00,rec_td,0,,,,,
player,201910130min,phi,HollMa00,rec_long,0,,,,,
player,201910130min,phi,HollMa00,fumbles,0,,,,,
player,201910130min,phi,HollMa00,fumbles_lost,0,,,,,
player,201910130min,min,CousKi00,pass_cmp,22,,,,,
player,201910130min,min,CousKi00,pass_att,29,,,,,
player,201910130min,min,CousKi00,pass_yds,333,,,,,
player,201910130min,min,CousKi00,pass_td,4,,,,,
player,201910130min,min,CousKi00,pass_int,1,,,,,
player,201910130min,min,CousKi00,pass_sacked,1,,,,,
player,201910130min,min,CousKi00,pass_sacked_yds,8,,,,,
player,201910130min,min,CousKi00,pass_long,62,,,,,
player,201910130min,min,CousKi00,pass_rating,138.4,,,,,
player,201910130min,min,CousKi00,rush_att,2,,,,,
player,201910130min,min,CousKi00,rush_yds,0,,,,,
player,201910130min,min,CousKi00,rush_td,0,,,,,
player,201910130min,min,CousKi00,rush_long,1,,,,,
player,201910130min,min,CousKi00,targets,0,,,,,
player,201910130min,min,CousKi00,rec,0,,,,,
player,201910130min,min,CousKi00,rec_yds,0,,,,,
player,201910130min,min,CousKi00,rec_td,0,,,,,
player,201910130min,min,CousKi00,rec_long,0,,,,,
player,201910130min,min,CousKi00,fumbles,0,,,,,
player,201910130min,min,CousKi00,fumbles_lost,0,,,,,
player,201910130min,min,MattAl01,pass_cmp,0,,,,,
player,201910130min,min,MattAl01,pass_att,0,,,,,
player,201910130min,min,MattAl01,pass_yds,0,,,,,
player,201910130min,min,MattAl01,pass_td,0,,,,,
player,201910130min,min,MattAl01,pass_int,0,,,,,
player,201910130min,min,MattAl01,pass_sacked,0,,,,,
player,201910130min,min,MattAl01,pass_sacked_yds,0,,,,,
player,201910130min,min,MattAl01,pass_long,0,,,,,
player,201910130min,min,MattAl01,pass_rating,,,,,,
player,201910130min,min,MattAl01,rush_att,14,,,,,
player,201910130min,min,MattAl01,rush_yds,63,,,,,
player,201910130min,min,MattAl01,rush_td,0,,,,,
player,201910130min,min,MattAl01,rush_long,35,,,,,
player,201910130min,min,MattAl01,targets,0,,,,,
player,201910130min,min,MattAl01,rec,0,,,,,
player,201910130min,min,MattAl01,rec_yds,0,,,,,
player,201910130min,min,MattAl01,rec_td,0,,,,,
player,201910130min,min,MattAl01,rec_long,0,,,,,
player,201910130min,min,MattAl01,fumbles,1,,,,,
player,201910130min,min,MattAl01,fumbles_lost,1,,,,,
player,201910130min,min,CookDa01,pass_cmp,0,,,,,
player,201910130min,min,CookDa01,pass_att,0,,,,,
player,201910130min,min,CookDa01,pass_yds,0,,,,,
player,201910130min,min,CookDa01,pass_td,0,,,,,
player,201910130min,min,CookDa01,pass_int,0,,,,,
player,201910130min,min,CookDa01,pass_sacked,0,,,,,
player,201910130min,min,CookDa01,pass_sacked_yds,0,,,,,
player,201910130min,min,CookDa01,pass_long,0,,,,,
player,201910130min,min,CookDa01,pass_rating,,,,,,
player,201910130min,min,CookDa01,rush_att,16,,,,,
player,201910130min,min,CookDa01,rush_yds,41,,,,,
player,201910130min,min,CookDa01,rush_td,1,,,,,
player,201910130min,min,CookDa01,rush_long,14,,,,,
player,201910130min,min,CookDa01,targets,2,,,,,
player,201910130min,min,CookDa01,rec,2,,,,,
player,201910130min,min,CookDa01,rec_yds,13,,,,,
player,201910130min,min,CookDa01,rec_td,0,,,,,
player,201910130min,min,CookDa01,rec_long,11,,,,,
player,201910130min,min,CookDa01,fumbles,0,,,,,
player,201910130min,min,CookDa01,fumbles_lost,0,,,,,
player,201910130min,min,DiggSt00,pass_cmp,0,,,,,
player,201910130min,min,DiggSt00,pass_att,0,,,,,
player,201910130min,min,DiggSt00,pass_yds,0,,,,,
player,201910130min,min,DiggSt00,pass_td,0,,,,,
player,201910130min,min,DiggSt00,pass_int,0,,,,,
player,201910130min,min,DiggSt00,pass_sacked,0,,,,,
player,201910130min,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201910130min,min,DiggSt00,pass_long,0,,,,,
player,201910130min,min,DiggSt00,pass_rating,,,,,,
player,201910130min,min,DiggSt00,rush_att,2,,,,,
player,201910130min,min,DiggSt00,rush_yds,18,,,,,
player,201910130min,min,DiggSt00,rush_td,0,,,,,
player,201910130min,min,DiggSt00,rush_long,10,,,,,
player,201910130min,min,DiggSt00,targets,11,,,,,
player,201910130min,min,DiggSt00,rec,7,,,,,
player,201910130min,min,DiggSt00,rec_yds,167,,,,,
player,201910130min,min,DiggSt00,rec_td,3,,,,,
player,201910130min,min,DiggSt00,rec_long,62,,,,,
player,201910130min,min,DiggSt00,fumbles,0,,,,,
player,201910130min,min,DiggSt00,fumbles_lost,0,,,,,
player,201910130min,min,ThieAd00,pass_cmp,0,,,,,
player,201910130min,min,ThieAd00,pass_att,0,,,,,
player,201910130min,min,ThieAd00,pass_yds,0,,,,,
player,201910130min,min,ThieAd00,pass_td,0,,,,,
player,201910130min,min,ThieAd00,pass_int,0,,,,,
player,201910130min,min,ThieAd00,pass_sacked,0,,,,,
player,201910130min,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201910130min,min,ThieAd00,pass_long,0,,,,,
player,201910130min,min,ThieAd00,pass_rating,,,,,,
player,201910130min,min,ThieAd00,rush_att,1,,,,,
player,201910130min,min,ThieAd00,rush_yds,0,,,,,
player,201910130min,min,ThieAd00,rush_td,0,,,,,
player,201910130min,min,ThieAd00,rush_long,0,,,,,
player,201910130min,min,ThieAd00,targets,8,,,,,
player,201910130min,min,ThieAd00,rec,6,,,,,
player,201910130min,min,ThieAd00,rec_yds,57,,,,,
player,201910130min,min,ThieAd00,rec_td,1,,,,,
player,201910130min,min,ThieAd00,rec_long,20,,,,,
player,201910130min,min,ThieAd00,fumbles,0,,,,,
player,201910130min,min,ThieAd00,fumbles_lost,0,,,,,
player,201910130min,min,RudoKy00,pass_cmp,0,,,,,
player,201910130min,min,RudoKy00,pass_att,0,,,,,
player,201910130min,min,RudoKy00,pass_yds,0,,,,,
player,201910130min,min,RudoKy00,pass_td,0,,,,,
player,201910130min,min,RudoKy00,pass_int,0,,,,,
player,201910130min,min,RudoKy00,pass_sacked,0,,,,,
player,201910130min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201910130min,min,RudoKy00,pass_long,0,,,,,
player,201910130min,min,RudoKy00,pass_rating,,,,,,
player,201910130min,min,RudoKy00,rush_att,0,,,,,
player,201910130min,min,RudoKy00,rush_yds,0,,,,,
player,201910130min,min,RudoKy00,rush_td,0,,,,,
player,201910130min,min,RudoKy00,rush_long,0,,,,,
player,201910130min,min,RudoKy00,targets,3,,,,,
player,201910130min,min,RudoKy00,rec,3,,,,,
player,201910130min,min,RudoKy00,rec_yds,36,,,,,
player,201910130min,min,RudoKy00,rec_td,0,,,,,
player,201910130min,min,RudoKy00,rec_long,18,,,,,
player,201910130min,min,RudoKy00,fumbles,0,,,,,
player,201910130min,min,RudoKy00,fumbles_lost,0,,,,,
player,201910130min,min,SmitIr01,pass_cmp,0,,,,,
player,201910130min,min,SmitIr01,pass_att,0,,,,,
player,201910130min,min,SmitIr01,pass_yds,0,,,,,
player,201910130min,min,SmitIr01,pass_td,0,,,,,
player,201910130min,min,SmitIr01,pass_int,0,,,,,
player,201910130min,min,SmitIr01,pass_sacked,0,,,,,
player,201910130min,min,SmitIr01,pass_sacked_yds,0,,,,,
player,201910130min,min,SmitIr01,pass_long,0,,,,,
player,201910130min,min,SmitIr01,pass_rating,,,,,,
player,201910130min,min,SmitIr01,rush_att,0,,,,,
player,201910130min,min,SmitIr01,rush_yds,0,,,,,
player,201910130min,min,SmitIr01,rush_td,0,,,,,
player,201910130min,min,SmitIr01,rush_long,0,,,,,
player,201910130min,min,SmitIr01,targets,2,,,,,
player,201910130min,min,SmitIr01,rec,2,,,,,
player,201910130min,min,SmitIr01,rec_yds,29,,,,,
player,201910130min,min,SmitIr01,rec_td,0,,,,,
player,201910130min,min,SmitIr01,rec_long,29,,,,,
player,201910130min,min,SmitIr01,fumbles,0,,,,,
player,201910130min,min,SmitIr01,fumbles_lost,0,,,,,
player,201910130min,min,JohnOl00,pass_cmp,0,,,,,
player,201910130min,min,JohnOl00,pass_att,0,,,,,
player,201910130min,min,JohnOl00,pass_yds,0,,,,,
player,201910130min,min,JohnOl00,pass_td,0,,,,,
player,201910130min,min,JohnOl00,pass_int,0,,,,,
player,201910130min,min,JohnOl00,pass_sacked,0,,,,,
player,201910130min,min,JohnOl00,pass_sacked_yds,0,,,,,
player,201910130min,min,JohnOl00,pass_long,0,,,,,
player,201910130min,min,JohnOl00,pass_rating,,,,,,
player,201910130min,min,JohnOl00,rush_att,0,,,,,
player,201910130min,min,JohnOl00,rush_yds,0,,,,,
player,201910130min,min,JohnOl00,rush_td,0,,,,,
player,201910130min,min,JohnOl00,rush_long,0,,,,,
player,201910130min,min,JohnOl00,targets,1,,,,,
player,201910130min,min,JohnOl00,rec,1,,,,,
player,201910130min,min,JohnOl00,rec_yds,16,,,,,
player,201910130min,min,JohnOl00,rec_td,0,,,,,
player,201910130min,min,JohnOl00,rec_long,16,,,,,
player,201910130min,min,JohnOl00,fumbles,0,,,,,
player,201910130min,min,JohnOl00,fumbles_lost,0,,,,,
player,201910130min,min,TreaLa00,pass_cmp,0,,,,,
player,201910130min,min,TreaLa00,pass_att,0,,,,,
player,201910130min,min,TreaLa00,pass_yds,0,,,,,
player,201910130min,min,TreaLa00,pass_td,0,,,,,
player,201910130min,min,TreaLa00,pass_int,0,,,,,
player,201910130min,min,TreaLa00,pass_sacked,0,,,,,
player,201910130min,min,TreaLa00,pass_sacked_yds,0,,,,,
player,201910130min,min,TreaLa00,pass_long,0,,,,,
player,201910130min,min,TreaLa00,pass_rating,,,,,,
player,201910130min,min,TreaLa00,rush_att,0,,,,,
player,201910130min,min,TreaLa00,rush_yds,0,,,,,
player,201910130min,min,TreaLa00,rush_td,0,,,,,
player,201910130min,min,TreaLa00,rush_long,0,,,,,
player,201910130min,min,TreaLa00,targets,1,,,,,
player,201910130min,min,TreaLa00,rec,1,,,,,
player,201910130min,min,TreaLa00,rec_yds,15,,,,,
player,201910130min,min,TreaLa00,rec_td,0,,,,,
player,201910130min,min,TreaLa00,rec_long,15,,,,,
player,201910130min,min,TreaLa00,fumbles,0,,,,,
player,201910130min,min,TreaLa00,fumbles_lost,0,,,,,
player,201910130min,phi,SendAn00,def_int,1,,,,,
player,201910130min,phi,SendAn00,def_int_yds,15,,,,,
player,201910130min,phi,SendAn00,def_int_td,0,,,,,
player,201910130min,phi,SendAn00,def_int_long,15,,,,,
player,201910130min,phi,SendAn00,pass_defended,1,,,,,
player,201910130min,phi,SendAn00,sacks,0.0,,,,,
player,201910130min,phi,SendAn00,tackles_combined,3,,,,,
player,201910130min,phi,SendAn00,tackles_solo,2,,,,,
player,201910130min,phi,SendAn00,tackles_assists,1,,,,,
player,201910130min,phi,SendAn00,tackles_loss,0,,,,,
player,201910130min,phi,SendAn00,qb_hits,0,,,,,
player,201910130min,phi,SendAn00,fumbles_rec,0,,,,,
player,201910130min,phi,SendAn00,fumbles_rec_yds,0,,,,,
player,201910130min,phi,SendAn00,fumbles_rec_td,0,,,,,
player,201910130min,phi,SendAn00,fumbles_forced,0,,,,,
player,201910130min,phi,GrahBr99,def_int,0,,,,,
player,201910130min,phi,GrahBr99,def_int_yds,0,,,,,
player,201910130min,phi,GrahBr99,def_int_td,0,,,,,
player,201910130min,phi,GrahBr99,def_int_long,0,,,,,
player,201910130min,phi,GrahBr99,pass_defended,0,,,,,
player,201910130min,phi,GrahBr99,sacks,1.0,,,,,
player,201910130min,phi,GrahBr99,tackles_combined,4,,,,,
player,201910130min,phi,GrahBr99,tackles_solo,3,,,,,
player,201910130min,phi,GrahBr99,tackles_assists,1,,,,,
player,201910130min,phi,GrahBr99,tackles_loss,1,,,,,
player,201910130min,phi,GrahBr99,qb_hits,1,,,,,
player,201910130min,phi,GrahBr99,fumbles_rec,0,,,,,
player,201910130min,phi,GrahBr99,fumbles_rec_yds,0,,,,,
player,201910130min,phi,GrahBr99,fumbles_rec_td,0,,,,,
player,201910130min,phi,GrahBr99,fumbles_forced,0,,,,,
player,201910130min,phi,JenkMa99,def_int,0,,,,,
player,201910130min,phi,JenkMa99,def_int_yds,0,,,,,
player,201910130min,phi,JenkMa99,def_int_td,0,,,,,
player,201910130min,phi,JenkMa99,def_int_long,0,,,,,
player,201910130min,phi,JenkMa99,pass_defended,1,,,,,
player,201910130min,phi,JenkMa99,sacks,0.0,,,,,
player,201910130min,phi,JenkMa99,tackles_combined,8,,,,,
player,201910130min,phi,JenkMa99,tackles_solo,6,,,,,
player,201910130min,phi,JenkMa99,tackles_assists,2,,,,,
player,201910130min,phi,JenkMa99,tackles_loss,0,,,,,
player,201910130min,phi,JenkMa99,qb_hits,0,,,,,
player,201910130min,phi,JenkMa99,fumbles_rec,0,,,,,
player,201910130min,phi,JenkMa99,fumbles_rec_yds,0,,,,,
player,201910130min,phi,JenkMa99,fumbles_rec_td,0,,,,,
player,201910130min,phi,JenkMa99,fumbles_forced,1,,,,,
player,201910130min,phi,DougRa00,def_int,0,,,,,
player,201910130min,phi,DougRa00,def_int_yds,0,,,,,
player,201910130min,phi,DougRa00,def_int_td,0,,,,,
player,201910130min,phi,DougRa00,def_int_long,0,,,,,
player,201910130min,phi,DougRa00,pass_defended,0,,,,,
player,201910130min,phi,DougRa00,sacks,0.0,,,,,
player,201910130min,phi,DougRa00,tackles_combined,6,,,,,
player,201910130min,phi,DougRa00,tackles_solo,5,,,,,
player,201910130min,phi,DougRa00,tackles_assists,1,,,,,
player,201910130min,phi,DougRa00,tackles_loss,1,,,,,
player,201910130min,phi,DougRa00,qb_hits,0,,,,,
player,201910130min,phi,DougRa00,fumbles_rec,0,,,,,
player,201910130min,phi,DougRa00,fumbles_rec_yds,0,,,,,
player,201910130min,phi,DougRa00,fumbles_rec_td,0,,,,,
player,201910130min,phi,DougRa00,fumbles_forced,0,,,,,
player,201910130min,phi,GerrNa00,def_int,0,,,,,
player,201910130min,phi,GerrNa00,def_int_yds,0,,,,,
player,201910130min,phi,GerrNa00,def_int_td,0,,,,,
player,201910130min,phi,GerrNa00,def_int_long,0,,,,,
player,201910130min,phi,GerrNa00,pass_defended,0,,,,,
player,201910130min,phi,GerrNa00,sacks,0.0,,,,,
player,201910130min,phi,GerrNa00,tackles_combined,6,,,,,
player,201910130min,phi,GerrNa00,tackles_solo,4,,,,,
player,201910130min,phi,GerrNa00,tackles_assists,2,,,,,
player,201910130min,phi,GerrNa00,tackles_loss,1,,,,,
player,201910130min,phi,GerrNa00,qb_hits,0,,,,,
player,201910130min,phi,GerrNa00,fumbles_rec,0,,,,,
player,201910130min,phi,GerrNa00,fumbles_rec_yds,0,,,,,
