game,2019,12,20191124,201911240was,det,"Detroit Lions",16,was,"Washington Redskins",19
player,201911240was,det,GollKe00,pass_yds,0,,,,,
player,201911240was,det,GollKe00,pass_td,0,,,,,
player,201911240was,det,GollKe00,pass_int,0,,,,,
player,201911240was,det,GollKe00,pass_sacked,0,,,,,
player,201911240was,det,GollKe00,pass_sacked_yds,0,,,,,
player,201911240was,det,GollKe00,pass_long,0,,,,,
player,201911240was,det,GollKe00,pass_rating,,,,,,
player,201911240was,det,GollKe00,rush_att,0,,,,,
player,201911240was,det,GollKe00,rush_yds,0,,,,,
player,201911240was,det,GollKe00,rush_td,0,,,,,
player,201911240was,det,GollKe00,rush_long,0,,,,,
player,201911240was,det,GollKe00,targets,4,,,,,
player,201911240was,det,GollKe00,rec,4,,,,,
player,201911240was,det,GollKe00,rec_yds,61,,,,,
player,201911240was,det,GollKe00,rec_td,0,,,,,
player,201911240was,det,GollKe00,rec_long,34,,,,,
player,201911240was,det,GollKe00,fumbles,0,,,,,
player,201911240was,det,GollKe00,fumbles_lost,0,,,,,
player,201911240was,det,JoneMa02,pass_cmp,0,,,,,
player,201911240was,det,JoneMa02,pass_att,0,,,,,
player,201911240was,det,JoneMa02,pass_yds,0,,,,,
player,201911240was,det,JoneMa02,pass_td,0,,,,,
player,201911240was,det,JoneMa02,pass_int,0,,,,,
player,201911240was,det,JoneMa02,pass_sacked,0,,,,,
player,201911240was,det,JoneMa02,pass_sacked_yds,0,,,,,
player,201911240was,det,JoneMa02,pass_long,0,,,,,
player,201911240was,det,JoneMa02,pass_rating,,,,,,
player,201911240was,det,JoneMa02,rush_att,0,,,,,
player,201911240was,det,JoneMa02,rush_yds,0,,,,,
player,201911240was,det,JoneMa02,rush_td,0,,,,,
player,201911240was,det,JoneMa02,rush_long,0,,,,,
player,201911240was,det,JoneMa02,targets,11,,,,,
player,201911240was,det,JoneMa02,rec,5,,,,,
player,201911240was,det,JoneMa02,rec_yds,46,,,,,
player,201911240was,det,JoneMa02,rec_td,0,,,,,
player,201911240was,det,JoneMa02,rec_long,14,,,,,
player,201911240was,det,JoneMa02,fumbles,0,,,,,
player,201911240was,det,JoneMa02,fumbles_lost,0,,,,,
player,201911240was,det,ThomLo00,pass_cmp,0,,,,,
player,201911240was,det,ThomLo00,pass_att,0,,,,,
player,201911240was,det,ThomLo00,pass_yds,0,,,,,
player,201911240was,det,ThomLo00,pass_td,0,,,,,
player,201911240was,det,ThomLo00,pass_int,0,,,,,
player,201911240was,det,ThomLo00,pass_sacked,0,,,,,
player,201911240was,det,ThomLo00,pass_sacked_yds,0,,,,,
player,201911240was,det,ThomLo00,pass_long,0,,,,,
player,201911240was,det,ThomLo00,pass_rating,,,,,,
player,201911240was,det,ThomLo00,rush_att,0,,,,,
player,201911240was,det,ThomLo00,rush_yds,0,,,,,
player,201911240was,det,ThomLo00,rush_td,0,,,,,
player,201911240was,det,ThomLo00,rush_long,0,,,,,
player,201911240was,det,ThomLo00,targets,2,,,,,
player,201911240was,det,ThomLo00,rec,2,,,,,
player,201911240was,det,ThomLo00,rec_yds,24,,,,,
player,201911240was,det,ThomLo00,rec_td,1,,,,,
player,201911240was,det,ThomLo00,rec_long,12,,,,,
player,201911240was,det,ThomLo00,fumbles,0,,,,,
player,201911240was,det,ThomLo00,fumbles_lost,0,,,,,
player,201911240was,det,HallMa02,pass_cmp,0,,,,,
player,201911240was,det,HallMa02,pass_att,0,,,,,
player,201911240was,det,HallMa02,pass_yds,0,,,,,
player,201911240was,det,HallMa02,pass_td,0,,,,,
player,201911240was,det,HallMa02,pass_int,0,,,,,
player,201911240was,det,HallMa02,pass_sacked,0,,,,,
player,201911240was,det,HallMa02,pass_sacked_yds,0,,,,,
player,201911240was,det,HallMa02,pass_long,0,,,,,
player,201911240was,det,HallMa02,pass_rating,,,,,,
player,201911240was,det,HallMa02,rush_att,0,,,,,
player,201911240was,det,HallMa02,rush_yds,0,,,,,
player,201911240was,det,HallMa02,rush_td,0,,,,,
player,201911240was,det,HallMa02,rush_long,0,,,,,
player,201911240was,det,HallMa02,targets,2,,,,,
player,201911240was,det,HallMa02,rec,1,,,,,
player,201911240was,det,HallMa02,rec_yds,21,,,,,
player,201911240was,det,HallMa02,rec_td,0,,,,,
player,201911240was,det,HallMa02,rec_long,21,,,,,
player,201911240was,det,HallMa02,fumbles,0,,,,,
player,201911240was,det,HallMa02,fumbles_lost,0,,,,,
player,201911240was,det,AmenDa00,pass_cmp,0,,,,,
player,201911240was,det,AmenDa00,pass_att,0,,,,,
player,201911240was,det,AmenDa00,pass_yds,0,,,,,
player,201911240was,det,AmenDa00,pass_td,0,,,,,
player,201911240was,det,AmenDa00,pass_int,0,,,,,
player,201911240was,det,AmenDa00,pass_sacked,0,,,,,
player,201911240was,det,AmenDa00,pass_sacked_yds,0,,,,,
player,201911240was,det,AmenDa00,pass_long,0,,,,,
player,201911240was,det,AmenDa00,pass_rating,,,,,,
player,201911240was,det,AmenDa00,rush_att,0,,,,,
player,201911240was,det,AmenDa00,rush_yds,0,,,,,
player,201911240was,det,AmenDa00,rush_td,0,,,,,
player,201911240was,det,AmenDa00,rush_long,0,,,,,
player,201911240was,det,AmenDa00,targets,3,,,,,
player,201911240was,det,AmenDa00,rec,3,,,,,
player,201911240was,det,AmenDa00,rec_yds,21,,,,,
player,201911240was,det,AmenDa00,rec_td,0,,,,,
player,201911240was,det,AmenDa00,rec_long,11,,,,,
player,201911240was,det,AmenDa00,fumbles,0,,,,,
player,201911240was,det,AmenDa00,fumbles_lost,0,,,,,
player,201911240was,det,JameJe00,pass_cmp,0,,,,,
player,201911240was,det,JameJe00,pass_att,0,,,,,
player,201911240was,det,JameJe00,pass_yds,0,,,,,
player,201911240was,det,JameJe00,pass_td,0,,,,,
player,201911240was,det,JameJe00,pass_int,0,,,,,
player,201911240was,det,JameJe00,pass_sacked,0,,,,,
player,201911240was,det,JameJe00,pass_sacked_yds,0,,,,,
player,201911240was,det,JameJe00,pass_long,0,,,,,
player,201911240was,det,JameJe00,pass_rating,,,,,,
player,201911240was,det,JameJe00,rush_att,0,,,,,
player,201911240was,det,JameJe00,rush_yds,0,,,,,
player,201911240was,det,JameJe00,rush_td,0,,,,,
player,201911240was,det,JameJe00,rush_long,0,,,,,
player,201911240was,det,JameJe00,targets,1,,,,,
player,201911240was,det,JameJe00,rec,1,,,,,
player,201911240was,det,JameJe00,rec_yds,7,,,,,
player,201911240was,det,JameJe00,rec_td,0,,,,,
player,201911240was,det,JameJe00,rec_long,7,,,,,
player,201911240was,det,JameJe00,fumbles,0,,,,,
player,201911240was,det,JameJe00,fumbles_lost,0,,,,,
player,201911240was,det,HockTJ00,pass_cmp,0,,,,,
player,201911240was,det,HockTJ00,pass_att,0,,,,,
player,201911240was,det,HockTJ00,pass_yds,0,,,,,
player,201911240was,det,HockTJ00,pass_td,0,,,,,
player,201911240was,det,HockTJ00,pass_int,0,,,,,
player,201911240was,det,HockTJ00,pass_sacked,0,,,,,
player,201911240was,det,HockTJ00,pass_sacked_yds,0,,,,,
player,201911240was,det,HockTJ00,pass_long,0,,,,,
player,201911240was,det,HockTJ00,pass_rating,,,,,,
player,201911240was,det,HockTJ00,rush_att,0,,,,,
player,201911240was,det,HockTJ00,rush_yds,0,,,,,
player,201911240was,det,HockTJ00,rush_td,0,,,,,
player,201911240was,det,HockTJ00,rush_long,0,,,,,
player,201911240was,det,HockTJ00,targets,2,,,,,
player,201911240was,det,HockTJ00,rec,0,,,,,
player,201911240was,det,HockTJ00,rec_yds,0,,,,,
player,201911240was,det,HockTJ00,rec_td,0,,,,,
player,201911240was,det,HockTJ00,rec_long,0,,,,,
player,201911240was,det,HockTJ00,fumbles,0,,,,,
player,201911240was,det,HockTJ00,fumbles_lost,0,,,,,
player,201911240was,was,HaskDw00,pass_cmp,13,,,,,
player,201911240was,was,HaskDw00,pass_att,29,,,,,
player,201911240was,was,HaskDw00,pass_yds,156,,,,,
player,201911240was,was,HaskDw00,pass_td,0,,,,,
player,201911240was,was,HaskDw00,pass_int,1,,,,,
player,201911240was,was,HaskDw00,pass_sacked,3,,,,,
player,201911240was,was,HaskDw00,pass_sacked_yds,12,,,,,
player,201911240was,was,HaskDw00,pass_long,26,,,,,
player,201911240was,was,HaskDw00,pass_rating,47.5,,,,,
player,201911240was,was,HaskDw00,rush_att,3,,,,,
player,201911240was,was,HaskDw00,rush_yds,28,,,,,
player,201911240was,was,HaskDw00,rush_td,0,,,,,
player,201911240was,was,HaskDw00,rush_long,18,,,,,
player,201911240was,was,HaskDw00,targets,0,,,,,
player,201911240was,was,HaskDw00,rec,0,,,,,
player,201911240was,was,HaskDw00,rec_yds,0,,,,,
player,201911240was,was,HaskDw00,rec_td,0,,,,,
player,201911240was,was,HaskDw00,rec_long,0,,,,,
player,201911240was,was,HaskDw00,fumbles,1,,,,,
player,201911240was,was,HaskDw00,fumbles_lost,1,,,,,
player,201911240was,was,SimsSt00,pass_cmp,0,,,,,
player,201911240was,was,SimsSt00,pass_att,1,,,,,
player,201911240was,was,SimsSt00,pass_yds,0,,,,,
player,201911240was,was,SimsSt00,pass_td,0,,,,,
player,201911240was,was,SimsSt00,pass_int,0,,,,,
player,201911240was,was,SimsSt00,pass_sacked,0,,,,,
player,201911240was,was,SimsSt00,pass_sacked_yds,0,,,,,
player,201911240was,was,SimsSt00,pass_long,0,,,,,
player,201911240was,was,SimsSt00,pass_rating,39.6,,,,,
player,201911240was,was,SimsSt00,rush_att,0,,,,,
player,201911240was,was,SimsSt00,rush_yds,0,,,,,
player,201911240was,was,SimsSt00,rush_td,0,,,,,
player,201911240was,was,SimsSt00,rush_long,0,,,,,
player,201911240was,was,SimsSt00,targets,2,,,,,
player,201911240was,was,SimsSt00,rec,0,,,,,
player,201911240was,was,SimsSt00,rec_yds,0,,,,,
player,201911240was,was,SimsSt00,rec_td,0,,,,,
player,201911240was,was,SimsSt00,rec_long,0,,,,,
player,201911240was,was,SimsSt00,fumbles,0,,,,,
player,201911240was,was,SimsSt00,fumbles_lost,0,,,,,
player,201911240was,was,GuicDe00,pass_cmp,0,,,,,
player,201911240was,was,GuicDe00,pass_att,0,,,,,
player,201911240was,was,GuicDe00,pass_yds,0,,,,,
player,201911240was,was,GuicDe00,pass_td,0,,,,,
player,201911240was,was,GuicDe00,pass_int,0,,,,,
player,201911240was,was,GuicDe00,pass_sacked,0,,,,,
player,201911240was,was,GuicDe00,pass_sacked_yds,0,,,,,
player,201911240was,was,GuicDe00,pass_long,0,,,,,
player,201911240was,was,GuicDe00,pass_rating,,,,,,
player,201911240was,was,GuicDe00,rush_att,10,,,,,
player,201911240was,was,GuicDe00,rush_yds,32,,,,,
player,201911240was,was,GuicDe00,rush_td,0,,,,,
player,201911240was,was,GuicDe00,rush_long,11,,,,,
player,201911240was,was,GuicDe00,targets,2,,,,,
player,201911240was,was,GuicDe00,rec,1,,,,,
player,201911240was,was,GuicDe00,rec_yds,6,,,,,
player,201911240was,was,GuicDe00,rec_td,0,,,,,
player,201911240was,was,GuicDe00,rec_long,6,,,,,
player,201911240was,was,GuicDe00,fumbles,0,,,,,
player,201911240was,was,GuicDe00,fumbles_lost,0,,,,,
player,201911240was,was,PeteAd01,pass_cmp,0,,,,,
player,201911240was,was,PeteAd01,pass_att,0,,,,,
player,201911240was,was,PeteAd01,pass_yds,0,,,,,
player,201911240was,was,PeteAd01,pass_td,0,,,,,
player,201911240was,was,PeteAd01,pass_int,0,,,,,
player,201911240was,was,PeteAd01,pass_sacked,0,,,,,
player,201911240was,was,PeteAd01,pass_sacked_yds,0,,,,,
player,201911240was,was,PeteAd01,pass_long,0,,,,,
player,201911240was,was,PeteAd01,pass_rating,,,,,,
player,201911240was,was,PeteAd01,rush_att,10,,,,,
player,201911240was,was,PeteAd01,rush_yds,27,,,,,
player,201911240was,was,PeteAd01,rush_td,0,,,,,
player,201911240was,was,PeteAd01,rush_long,7,,,,,
player,201911240was,was,PeteAd01,targets,1,,,,,
player,201911240was,was,PeteAd01,rec,1,,,,,
player,201911240was,was,PeteAd01,rec_yds,22,,,,,
player,201911240was,was,PeteAd01,rec_td,0,,,,,
player,201911240was,was,PeteAd01,rec_long,22,,,,,
player,201911240was,was,PeteAd01,fumbles,0,,,,,
player,201911240was,was,PeteAd01,fumbles_lost,0,,,,,
player,201911240was,was,McLaTe00,pass_cmp,0,,,,,
player,201911240was,was,McLaTe00,pass_att,0,,,,,
player,201911240was,was,McLaTe00,pass_yds,0,,,,,
player,201911240was,was,McLaTe00,pass_td,0,,,,,
player,201911240was,was,McLaTe00,pass_int,0,,,,,
player,201911240was,was,McLaTe00,pass_sacked,0,,,,,
player,201911240was,was,McLaTe00,pass_sacked_yds,0,,,,,
player,201911240was,was,McLaTe00,pass_long,0,,,,,
player,201911240was,was,McLaTe00,pass_rating,,,,,,
player,201911240was,was,McLaTe00,rush_att,0,,,,,
player,201911240was,was,McLaTe00,rush_yds,0,,,,,
player,201911240was,was,McLaTe00,rush_td,0,,,,,
player,201911240was,was,McLaTe00,rush_long,0,,,,,
player,201911240was,was,McLaTe00,targets,12,,,,,
player,201911240was,was,McLaTe00,rec,5,,,,,
player,201911240was,was,McLaTe00,rec_yds,72,,,,,
player,201911240was,was,McLaTe00,rec_td,0,,,,,
player,201911240was,was,McLaTe00,rec_long,26,,,,,
player,201911240was,was,McLaTe00,fumbles,0,,,,,
player,201911240was,was,McLaTe00,fumbles_lost,0,,,,,
player,201911240was,was,HarmKe00,pass_cmp,0,,,,,
player,201911240was,was,HarmKe00,pass_att,0,,,,,
player,201911240was,was,HarmKe00,pass_yds,0,,,,,
player,201911240was,was,HarmKe00,pass_td,0,,,,,
player,201911240was,was,HarmKe00,pass_int,0,,,,,
player,201911240was,was,HarmKe00,pass_sacked,0,,,,,
player,201911240was,was,HarmKe00,pass_sacked_yds,0,,,,,
player,201911240was,was,HarmKe00,pass_long,0,,,,,
player,201911240was,was,HarmKe00,pass_rating,,,,,,
player,201911240was,was,HarmKe00,rush_att,0,,,,,
player,201911240was,was,HarmKe00,rush_yds,0,,,,,
player,201911240was,was,HarmKe00,rush_td,0,,,,,
player,201911240was,was,HarmKe00,rush_long,0,,,,,
player,201911240was,was,HarmKe00,targets,6,,,,,
player,201911240was,was,HarmKe00,rec,3,,,,,
player,201911240was,was,HarmKe00,rec_yds,43,,,,,
player,201911240was,was,HarmKe00,rec_td,0,,,,,
player,201911240was,was,HarmKe00,rec_long,26,,,,,
player,201911240was,was,HarmKe00,fumbles,0,,,,,
player,201911240was,was,HarmKe00,fumbles_lost,0,,,,,
player,201911240was,was,RichPa01,pass_cmp,0,,,,,
player,201911240was,was,RichPa01,pass_att,0,,,,,
player,201911240was,was,RichPa01,pass_yds,0,,,,,
player,201911240was,was,RichPa01,pass_td,0,,,,,
player,201911240was,was,RichPa01,pass_int,0,,,,,
player,201911240was,was,RichPa01,pass_sacked,0,,,,,
player,201911240was,was,RichPa01,pass_sacked_yds,0,,,,,
player,201911240was,was,RichPa01,pass_long,0,,,,,
player,201911240was,was,RichPa01,pass_rating,,,,,,
player,201911240was,was,RichPa01,rush_att,0,,,,,
player,201911240was,was,RichPa01,rush_yds,0,,,,,
player,201911240was,was,RichPa01,rush_td,0,,,,,
player,201911240was,was,RichPa01,rush_long,0,,,,,
player,201911240was,was,RichPa01,targets,2,,,,,
player,201911240was,was,RichPa01,rec,1,,,,,
player,201911240was,was,RichPa01,rec_yds,6,,,,,
player,201911240was,was,RichPa01,rec_td,0,,,,,
player,201911240was,was,RichPa01,rec_long,6,,,,,
player,201911240was,was,RichPa01,fumbles,0,,,,,
player,201911240was,was,RichPa01,fumbles_lost,0,,,,,
player,201911240was,was,SpriJe00,pass_cmp,0,,,,,
player,201911240was,was,SpriJe00,pass_att,0,,,,,
player,201911240was,was,SpriJe00,pass_yds,0,,,,,
player,201911240was,was,SpriJe00,pass_td,0,,,,,
player,201911240was,was,SpriJe00,pass_int,0,,,,,
player,201911240was,was,SpriJe00,pass_sacked,0,,,,,
player,201911240was,was,SpriJe00,pass_sacked_yds,0,,,,,
player,201911240was,was,SpriJe00,pass_long,0,,,,,
player,201911240was,was,SpriJe00,pass_rating,,,,,,
player,201911240was,was,SpriJe00,rush_att,0,,,,,
player,201911240was,was,SpriJe00,rush_yds,0,,,,,
player,201911240was,was,SpriJe00,rush_td,0,,,,,
player,201911240was,was,SpriJe00,rush_long,0,,,,,
player,201911240was,was,SpriJe00,targets,2,,,,,
player,201911240was,was,SpriJe00,rec,1,,,,,
player,201911240was,was,SpriJe00,rec_yds,4,,,,,
player,201911240was,was,SpriJe00,rec_td,0,,,,,
player,201911240was,was,SpriJe00,rec_long,4,,,,,
player,201911240was,was,SpriJe00,fumbles,0,,,,,
player,201911240was,was,SpriJe00,fumbles_lost,0,,,,,
player,201911240was,was,SmalWe00,pass_cmp,0,,,,,
player,201911240was,was,SmalWe00,pass_att,0,,,,,
player,201911240was,was,SmalWe00,pass_yds,0,,,,,
player,201911240was,was,SmalWe00,pass_td,0,,,,,
player,201911240was,was,SmalWe00,pass_int,0,,,,,
player,201911240was,was,SmalWe00,pass_sacked,0,,,,,
player,201911240was,was,SmalWe00,pass_sacked_yds,0,,,,,
player,201911240was,was,SmalWe00,pass_long,0,,,,,
player,201911240was,was,SmalWe00,pass_rating,,,,,,
player,201911240was,was,SmalWe00,rush_att,0,,,,,
player,201911240was,was,SmalWe00,rush_yds,0,,,,,
player,201911240was,was,SmalWe00,rush_td,0,,,,,
player,201911240was,was,SmalWe00,rush_long,0,,,,,
player,201911240was,was,SmalWe00,targets,1,,,,,
player,201911240was,was,SmalWe00,rec,1,,,,,
player,201911240was,was,SmalWe00,rec_yds,3,,,,,
player,201911240was,was,SmalWe00,rec_td,0,,,,,
player,201911240was,was,SmalWe00,rec_long,3,,,,,
player,201911240was,was,SmalWe00,fumbles,0,,,,,
player,201911240was,was,SmalWe00,fumbles_lost,0,,,,,
player,201911240was,was,QuinTr00,pass_cmp,0,,,,,
player,201911240was,was,QuinTr00,pass_att,0,,,,,
player,201911240was,was,QuinTr00,pass_yds,0,,,,,
player,201911240was,was,QuinTr00,pass_td,0,,,,,
player,201911240was,was,QuinTr00,pass_int,0,,,,,
player,201911240was,was,QuinTr00,pass_sacked,0,,,,,
player,201911240was,was,QuinTr00,pass_sacked_yds,0,,,,,
player,201911240was,was,QuinTr00,pass_long,0,,,,,
player,201911240was,was,QuinTr00,pass_rating,,,,,,
player,201911240was,was,QuinTr00,rush_att,0,,,,,
player,201911240was,was,QuinTr00,rush_yds,0,,,,,
player,201911240was,was,QuinTr00,rush_td,0,,,,,
player,201911240was,was,QuinTr00,rush_long,0,,,,,
player,201911240was,was,QuinTr00,targets,1,,,,,
player,201911240was,was,QuinTr00,rec,0,,,,,
player,201911240was,was,QuinTr00,rec_yds,0,,,,,
player,201911240was,was,QuinTr00,rec_td,0,,,,,
player,201911240was,was,QuinTr00,rec_long,0,,,,,
player,201911240was,was,QuinTr00,fumbles,0,,,,,
player,201911240was,was,QuinTr00,fumbles_lost,0,,,,,
player,201911240was,was,KeenCa00,pass_cmp,0,,,,,
player,201911240was,was,KeenCa00,pass_att,0,,,,,
player,201911240was,was,KeenCa00,pass_yds,0,,,,,
player,201911240was,was,KeenCa00,pass_td,0,,,,,
player,201911240was,was,KeenCa00,pass_int,0,,,,,
player,201911240was,was,KeenCa00,pass_sacked,0,,,,,
player,201911240was,was,KeenCa00,pass_sacked_yds,0,,,,,
player,201911240was,was,KeenCa00,pass_long,0,,,,,
player,201911240was,was,KeenCa00,pass_rating,,,,,,
player,201911240was,was,KeenCa00,rush_att,1,,,,,
player,201911240was,was,KeenCa00,rush_yds,-1,,,,,
player,201911240was,was,KeenCa00,rush_td,0,,,,,
player,201911240was,was,KeenCa00,rush_long,-1,,,,,
player,201911240was,was,KeenCa00,targets,0,,,,,
player,201911240was,was,KeenCa00,rec,0,,,,,
player,201911240was,was,KeenCa00,rec_yds,0,,,,,
player,201911240was,was,KeenCa00,rec_td,0,,,,,
player,201911240was,was,KeenCa00,rec_long,0,,,,,
player,201911240was,was,KeenCa00,fumbles,0,,,,,
player,201911240was,was,KeenCa00,fumbles_lost,0,,,,,
player,201911240was,det,OruwAm00,def_int,1,,,,,
player,201911240was,det,OruwAm00,def_int_yds,0,,,,,
player,201911240was,det,OruwAm00,def_int_td,0,,,,,
player,201911240was,det,OruwAm00,def_int_long,0,,,,,
player,201911240was,det,OruwAm00,pass_defended,2,,,,,
player,201911240was,det,OruwAm00,sacks,0.0,,,,,
player,201911240was,det,OruwAm00,tackles_combined,5,,,,,
player,201911240was,det,OruwAm00,tackles_solo,5,,,,,
player,201911240was,det,OruwAm00,tackles_assists,0,,,,,
player,201911240was,det,OruwAm00,tackles_loss,0,,,,,
player,201911240was,det,OruwAm00,qb_hits,0,,,,,
player,201911240was,det,OruwAm00,fumbles_rec,0,,,,,
player,201911240was,det,OruwAm00,fumbles_rec_yds,0,,,,,
player,201911240was,det,OruwAm00,fumbles_rec_td,0,,,,,
player,201911240was,det,OruwAm00,fumbles_forced,0,,,,,
player,201911240was,det,DaviJa01,def_int,0,,,,,
player,201911240was,det,DaviJa01,def_int_yds,0,,,,,
player,201911240was,det,DaviJa01,def_int_td,0,,,,,
player,201911240was,det,DaviJa01,def_int_long,0,,,,,
player,201911240was,det,DaviJa01,pass_defended,0,,,,,
player,201911240was,det,DaviJa01,sacks,1.0,,,,,
player,201911240was,det,DaviJa01,tackles_combined,8,,,,,
player,201911240was,det,DaviJa01,tackles_solo,6,,,,,
player,201911240was,det,DaviJa01,tackles_assists,2,,,,,
