game,2019,14,20191208,201912080gnb,was,"Washington Redskins",15,gnb,"Green Bay Packers",20
player,201912080gnb,was,SimsSt00,pass_yds,0,,,,,
player,201912080gnb,was,SimsSt00,pass_td,0,,,,,
player,201912080gnb,was,SimsSt00,pass_int,0,,,,,
player,201912080gnb,was,SimsSt00,pass_sacked,0,,,,,
player,201912080gnb,was,SimsSt00,pass_sacked_yds,0,,,,,
player,201912080gnb,was,SimsSt00,pass_long,0,,,,,
player,201912080gnb,was,SimsSt00,pass_rating,,,,,,
player,201912080gnb,was,SimsSt00,rush_att,0,,,,,
player,201912080gnb,was,SimsSt00,rush_yds,0,,,,,
player,201912080gnb,was,SimsSt00,rush_td,0,,,,,
player,201912080gnb,was,SimsSt00,rush_long,0,,,,,
player,201912080gnb,was,SimsSt00,targets,7,,,,,
player,201912080gnb,was,SimsSt00,rec,4,,,,,
player,201912080gnb,was,SimsSt00,rec_yds,40,,,,,
player,201912080gnb,was,SimsSt00,rec_td,0,,,,,
player,201912080gnb,was,SimsSt00,rec_long,13,,,,,
player,201912080gnb,was,SimsSt00,fumbles,0,,,,,
player,201912080gnb,was,SimsSt00,fumbles_lost,0,,,,,
player,201912080gnb,was,HarmKe00,pass_cmp,0,,,,,
player,201912080gnb,was,HarmKe00,pass_att,0,,,,,
player,201912080gnb,was,HarmKe00,pass_yds,0,,,,,
player,201912080gnb,was,HarmKe00,pass_td,0,,,,,
player,201912080gnb,was,HarmKe00,pass_int,0,,,,,
player,201912080gnb,was,HarmKe00,pass_sacked,0,,,,,
player,201912080gnb,was,HarmKe00,pass_sacked_yds,0,,,,,
player,201912080gnb,was,HarmKe00,pass_long,0,,,,,
player,201912080gnb,was,HarmKe00,pass_rating,,,,,,
player,201912080gnb,was,HarmKe00,rush_att,0,,,,,
player,201912080gnb,was,HarmKe00,rush_yds,0,,,,,
player,201912080gnb,was,HarmKe00,rush_td,0,,,,,
player,201912080gnb,was,HarmKe00,rush_long,0,,,,,
player,201912080gnb,was,HarmKe00,targets,4,,,,,
player,201912080gnb,was,HarmKe00,rec,1,,,,,
player,201912080gnb,was,HarmKe00,rec_yds,30,,,,,
player,201912080gnb,was,HarmKe00,rec_td,0,,,,,
player,201912080gnb,was,HarmKe00,rec_long,30,,,,,
player,201912080gnb,was,HarmKe00,fumbles,0,,,,,
player,201912080gnb,was,HarmKe00,fumbles_lost,0,,,,,
player,201912080gnb,gnb,RodgAa00,pass_cmp,18,,,,,
player,201912080gnb,gnb,RodgAa00,pass_att,28,,,,,
player,201912080gnb,gnb,RodgAa00,pass_yds,195,,,,,
player,201912080gnb,gnb,RodgAa00,pass_td,1,,,,,
player,201912080gnb,gnb,RodgAa00,pass_int,0,,,,,
player,201912080gnb,gnb,RodgAa00,pass_sacked,4,,,,,
player,201912080gnb,gnb,RodgAa00,pass_sacked_yds,28,,,,,
player,201912080gnb,gnb,RodgAa00,pass_long,25,,,,,
player,201912080gnb,gnb,RodgAa00,pass_rating,96.6,,,,,
player,201912080gnb,gnb,RodgAa00,rush_att,5,,,,,
player,201912080gnb,gnb,RodgAa00,rush_yds,16,,,,,
player,201912080gnb,gnb,RodgAa00,rush_td,0,,,,,
player,201912080gnb,gnb,RodgAa00,rush_long,13,,,,,
