game,2019,12,20191124,201911240chi,nyg,"New York Giants",14,chi,"Chicago Bears",19
player,201911240chi,nyg,SimoSc00,pass_td,0,,,,,
player,201911240chi,nyg,SimoSc00,pass_int,0,,,,,
player,201911240chi,nyg,SimoSc00,pass_sacked,0,,,,,
player,201911240chi,nyg,SimoSc00,pass_sacked_yds,0,,,,,
player,201911240chi,nyg,SimoSc00,pass_long,0,,,,,
player,201911240chi,nyg,SimoSc00,pass_rating,,,,,,
player,201911240chi,nyg,SimoSc00,rush_att,0,,,,,
player,201911240chi,nyg,SimoSc00,rush_yds,0,,,,,
player,201911240chi,nyg,SimoSc00,rush_td,0,,,,,
player,201911240chi,nyg,SimoSc00,rush_long,0,,,,,
player,201911240chi,nyg,SimoSc00,targets,1,,,,,
player,201911240chi,nyg,SimoSc00,rec,1,,,,,
player,201911240chi,nyg,SimoSc00,rec_yds,10,,,,,
player,201911240chi,nyg,SimoSc00,rec_td,0,,,,,
player,201911240chi,nyg,SimoSc00,rec_long,10,,,,,
player,201911240chi,nyg,SimoSc00,fumbles,0,,,,,
player,201911240chi,nyg,SimoSc00,fumbles_lost,0,,,,,
player,201911240chi,nyg,LatiCo00,pass_cmp,0,,,,,
player,201911240chi,nyg,LatiCo00,pass_att,0,,,,,
player,201911240chi,nyg,LatiCo00,pass_yds,0,,,,,
player,201911240chi,nyg,LatiCo00,pass_td,0,,,,,
player,201911240chi,nyg,LatiCo00,pass_int,0,,,,,
player,201911240chi,nyg,LatiCo00,pass_sacked,0,,,,,
player,201911240chi,nyg,LatiCo00,pass_sacked_yds,0,,,,,
player,201911240chi,nyg,LatiCo00,pass_long,0,,,,,
player,201911240chi,nyg,LatiCo00,pass_rating,,,,,,
player,201911240chi,nyg,LatiCo00,rush_att,0,,,,,
player,201911240chi,nyg,LatiCo00,rush_yds,0,,,,,
player,201911240chi,nyg,LatiCo00,rush_td,0,,,,,
player,201911240chi,nyg,LatiCo00,rush_long,0,,,,,
player,201911240chi,nyg,LatiCo00,targets,1,,,,,
player,201911240chi,nyg,LatiCo00,rec,1,,,,,
player,201911240chi,nyg,LatiCo00,rec_yds,7,,,,,
player,201911240chi,nyg,LatiCo00,rec_td,0,,,,,
player,201911240chi,nyg,LatiCo00,rec_long,7,,,,,
player,201911240chi,nyg,LatiCo00,fumbles,0,,,,,
player,201911240chi,nyg,LatiCo00,fumbles_lost,0,,,,,
player,201911240chi,chi,TrubMi00,pass_cmp,25,,,,,
player,201911240chi,chi,TrubMi00,pass_att,41,,,,,
player,201911240chi,chi,TrubMi00,pass_yds,278,,,,,
player,201911240chi,chi,TrubMi00,pass_td,1,,,,,
player,201911240chi,chi,TrubMi00,pass_int,2,,,,,
player,201911240chi,chi,TrubMi00,pass_sacked,2,,,,,
player,201911240chi,chi,TrubMi00,pass_sacked_yds,8,,,,,
player,201911240chi,chi,TrubMi00,pass_long,49,,,,,
player,201911240chi,chi,TrubMi00,pass_rating,69.0,,,,,
player,201911240chi,chi,TrubMi00,rush_att,7,,,,,
player,201911240chi,chi,TrubMi00,rush_yds,18,,,,,
player,201911240chi,chi,TrubMi00,rush_td,1,,,,,
player,201911240chi,chi,TrubMi00,rush_long,12,,,,,
player,201911240chi,chi,TrubMi00,targets,0,,,,,
player,201911240chi,chi,TrubMi00,rec,0,,,,,
player,201911240chi,chi,TrubMi00,rec_yds,0,,,,,
player,201911240chi,chi,TrubMi00,rec_td,0,,,,,
player,201911240chi,chi,TrubMi00,rec_long,0,,,,,
player,201911240chi,chi,TrubMi00,fumbles,0,,,,,
player,201911240chi,chi,TrubMi00,fumbles_lost,0,,,,,
player,201911240chi,chi,CoheTa00,pass_cmp,0,,,,,
player,201911240chi,chi,CoheTa00,pass_att,0,,,,,
player,201911240chi,chi,CoheTa00,pass_yds,0,,,,,
player,201911240chi,chi,CoheTa00,pass_td,0,,,,,
player,201911240chi,chi,CoheTa00,pass_int,0,,,,,
player,201911240chi,chi,CoheTa00,pass_sacked,0,,,,,
player,201911240chi,chi,CoheTa00,pass_sacked_yds,0,,,,,
player,201911240chi,chi,CoheTa00,pass_long,0,,,,,
player,201911240chi,chi,CoheTa00,pass_rating,,,,,,
player,201911240chi,chi,CoheTa00,rush_att,6,,,,,
player,201911240chi,chi,CoheTa00,rush_yds,25,,,,,
player,201911240chi,chi,CoheTa00,rush_td,0,,,,,
player,201911240chi,chi,CoheTa00,rush_long,13,,,,,
player,201911240chi,chi,CoheTa00,targets,9,,,,,
player,201911240chi,chi,CoheTa00,rec,7,,,,,
player,201911240chi,chi,CoheTa00,rec_yds,29,,,,,
player,201911240chi,chi,CoheTa00,rec_td,0,,,,,
player,201911240chi,chi,CoheTa00,rec_long,14,,,,,
player,201911240chi,chi,CoheTa00,fumbles,0,,,,,
player,201911240chi,chi,CoheTa00,fumbles_lost,0,,,,,
player,201911240chi,chi,MontDa01,pass_cmp,0,,,,,
player,201911240chi,chi,MontDa01,pass_att,0,,,,,
player,201911240chi,chi,MontDa01,pass_yds,0,,,,,
player,201911240chi,chi,MontDa01,pass_td,0,,,,,
player,201911240chi,chi,MontDa01,pass_int,0,,,,,
player,201911240chi,chi,MontDa01,pass_sacked,0,,,,,
player,201911240chi,chi,MontDa01,pass_sacked_yds,0,,,,,
player,201911240chi,chi,MontDa01,pass_long,0,,,,,
player,201911240chi,chi,MontDa01,pass_rating,,,,,,
player,201911240chi,chi,MontDa01,rush_att,13,,,,,
player,201911240chi,chi,MontDa01,rush_yds,22,,,,,
player,201911240chi,chi,MontDa01,rush_td,0,,,,,
player,201911240chi,chi,MontDa01,rush_long,13,,,,,
player,201911240chi,chi,MontDa01,targets,3,,,,,
player,201911240chi,chi,MontDa01,rec,2,,,,,
player,201911240chi,chi,MontDa01,rec_yds,9,,,,,
player,201911240chi,chi,MontDa01,rec_td,0,,,,,
player,201911240chi,chi,MontDa01,rec_long,8,,,,,
player,201911240chi,chi,MontDa01,fumbles,0,,,,,
player,201911240chi,chi,MontDa01,fumbles_lost,0,,,,,
player,201911240chi,chi,RobiAl02,pass_cmp,0,,,,,
player,201911240chi,chi,RobiAl02,pass_att,0,,,,,
player,201911240chi,chi,RobiAl02,pass_yds,0,,,,,
player,201911240chi,chi,RobiAl02,pass_td,0,,,,,
player,201911240chi,chi,RobiAl02,pass_int,0,,,,,
player,201911240chi,chi,RobiAl02,pass_sacked,0,,,,,
player,201911240chi,chi,RobiAl02,pass_sacked_yds,0,,,,,
player,201911240chi,chi,RobiAl02,pass_long,0,,,,,
player,201911240chi,chi,RobiAl02,pass_rating,,,,,,
player,201911240chi,chi,RobiAl02,rush_att,0,,,,,
player,201911240chi,chi,RobiAl02,rush_yds,0,,,,,
player,201911240chi,chi,RobiAl02,rush_td,0,,,,,
player,201911240chi,chi,RobiAl02,rush_long,0,,,,,
player,201911240chi,chi,RobiAl02,targets,10,,,,,
player,201911240chi,chi,RobiAl02,rec,6,,,,,
player,201911240chi,chi,RobiAl02,rec_yds,131,,,,,
player,201911240chi,chi,RobiAl02,rec_td,1,,,,,
player,201911240chi,chi,RobiAl02,rec_long,49,,,,,
player,201911240chi,chi,RobiAl02,fumbles,0,,,,,
player,201911240chi,chi,RobiAl02,fumbles_lost,0,,,,,
player,201911240chi,chi,MillAn02,pass_cmp,0,,,,,
player,201911240chi,chi,MillAn02,pass_att,0,,,,,
player,201911240chi,chi,MillAn02,pass_yds,0,,,,,
player,201911240chi,chi,MillAn02,pass_td,0,,,,,
player,201911240chi,chi,MillAn02,pass_int,0,,,,,
player,201911240chi,chi,MillAn02,pass_sacked,0,,,,,
player,201911240chi,chi,MillAn02,pass_sacked_yds,0,,,,,
player,201911240chi,chi,MillAn02,pass_long,0,,,,,
player,201911240chi,chi,MillAn02,pass_rating,,,,,,
player,201911240chi,chi,MillAn02,rush_att,0,,,,,
player,201911240chi,chi,MillAn02,rush_yds,0,,,,,
player,201911240chi,chi,MillAn02,rush_td,0,,,,,
player,201911240chi,chi,MillAn02,rush_long,0,,,,,
player,201911240chi,chi,MillAn02,targets,9,,,,,
player,201911240chi,chi,MillAn02,rec,6,,,,,
player,201911240chi,chi,MillAn02,rec_yds,77,,,,,
player,201911240chi,chi,MillAn02,rec_td,0,,,,,
player,201911240chi,chi,MillAn02,rec_long,22,,,,,
player,201911240chi,chi,MillAn02,fumbles,0,,,,,
player,201911240chi,chi,MillAn02,fumbles_lost,0,,,,,
player,201911240chi,chi,GabrTa00,pass_cmp,0,,,,,
player,201911240chi,chi,GabrTa00,pass_att,0,,,,,
player,201911240chi,chi,GabrTa00,pass_yds,0,,,,,
player,201911240chi,chi,GabrTa00,pass_td,0,,,,,
player,201911240chi,chi,GabrTa00,pass_int,0,,,,,
player,201911240chi,chi,GabrTa00,pass_sacked,0,,,,,
player,201911240chi,chi,GabrTa00,pass_sacked_yds,0,,,,,
player,201911240chi,chi,GabrTa00,pass_long,0,,,,,
player,201911240chi,chi,GabrTa00,pass_rating,,,,,,
player,201911240chi,chi,GabrTa00,rush_att,0,,,,,
player,201911240chi,chi,GabrTa00,rush_yds,0,,,,,
player,201911240chi,chi,GabrTa00,rush_td,0,,,,,
player,201911240chi,chi,GabrTa00,rush_long,0,,,,,
player,201911240chi,chi,GabrTa00,targets,3,,,,,
player,201911240chi,chi,GabrTa00,rec,1,,,,,
player,201911240chi,chi,GabrTa00,rec_yds,19,,,,,
player,201911240chi,chi,GabrTa00,rec_td,0,,,,,
player,201911240chi,chi,GabrTa00,rec_long,19,,,,,
player,201911240chi,chi,GabrTa00,fumbles,0,,,,,
player,201911240chi,chi,GabrTa00,fumbles_lost,0,,,,,
player,201911240chi,chi,BrauBe00,pass_cmp,0,,,,,
player,201911240chi,chi,BrauBe00,pass_att,0,,,,,
player,201911240chi,chi,BrauBe00,pass_yds,0,,,,,
player,201911240chi,chi,BrauBe00,pass_td,0,,,,,
player,201911240chi,chi,BrauBe00,pass_int,0,,,,,
player,201911240chi,chi,BrauBe00,pass_sacked,0,,,,,
player,201911240chi,chi,BrauBe00,pass_sacked_yds,0,,,,,
player,201911240chi,chi,BrauBe00,pass_long,0,,,,,
player,201911240chi,chi,BrauBe00,pass_rating,,,,,,
player,201911240chi,chi,BrauBe00,rush_att,0,,,,,
player,201911240chi,chi,BrauBe00,rush_yds,0,,,,,
player,201911240chi,chi,BrauBe00,rush_td,0,,,,,
player,201911240chi,chi,BrauBe00,rush_long,0,,,,,
player,201911240chi,chi,BrauBe00,targets,4,,,,,
player,201911240chi,chi,BrauBe00,rec,2,,,,,
player,201911240chi,chi,BrauBe00,rec_yds,9,,,,,
player,201911240chi,chi,BrauBe00,rec_td,0,,,,,
player,201911240chi,chi,BrauBe00,rec_long,5,,,,,
player,201911240chi,chi,BrauBe00,fumbles,0,,,,,
player,201911240chi,chi,BrauBe00,fumbles_lost,0,,,,,
player,201911240chi,chi,HorsJe00,pass_cmp,0,,,,,
player,201911240chi,chi,HorsJe00,pass_att,0,,,,,
player,201911240chi,chi,HorsJe00,pass_yds,0,,,,,
player,201911240chi,chi,HorsJe00,pass_td,0,,,,,
player,201911240chi,chi,HorsJe00,pass_int,0,,,,,
player,201911240chi,chi,HorsJe00,pass_sacked,0,,,,,
player,201911240chi,chi,HorsJe00,pass_sacked_yds,0,,,,,
player,201911240chi,chi,HorsJe00,pass_long,0,,,,,
player,201911240chi,chi,HorsJe00,pass_rating,,,,,,
player,201911240chi,chi,HorsJe00,rush_att,0,,,,,
player,201911240chi,chi,HorsJe00,rush_yds,0,,,,,
player,201911240chi,chi,HorsJe00,rush_td,0,,,,,
player,201911240chi,chi,HorsJe00,rush_long,0,,,,,
player,201911240chi,chi,HorsJe00,targets,1,,,,,
player,201911240chi,chi,HorsJe00,rec,1,,,,,
player,201911240chi,chi,HorsJe00,rec_yds,4,,,,,
player,201911240chi,chi,HorsJe00,rec_td,0,,,,,
player,201911240chi,chi,HorsJe00,rec_long,4,,,,,
player,201911240chi,chi,HorsJe00,fumbles,0,,,,,
player,201911240chi,chi,HorsJe00,fumbles_lost,0,,,,,
player,201911240chi,chi,WimsJa00,pass_cmp,0,,,,,
player,201911240chi,chi,WimsJa00,pass_att,0,,,,,
player,201911240chi,chi,WimsJa00,pass_yds,0,,,,,
player,201911240chi,chi,WimsJa00,pass_td,0,,,,,
player,201911240chi,chi,WimsJa00,pass_int,0,,,,,
player,201911240chi,chi,WimsJa00,pass_sacked,0,,,,,
player,201911240chi,chi,WimsJa00,pass_sacked_yds,0,,,,,
player,201911240chi,chi,WimsJa00,pass_long,0,,,,,
player,201911240chi,chi,WimsJa00,pass_rating,,,,,,
player,201911240chi,chi,WimsJa00,rush_att,0,,,,,
player,201911240chi,chi,WimsJa00,rush_yds,0,,,,,
player,201911240chi,chi,WimsJa00,rush_td,0,,,,,
player,201911240chi,chi,WimsJa00,rush_long,0,,,,,
player,201911240chi,chi,WimsJa00,targets,2,,,,,
player,201911240chi,chi,WimsJa00,rec,0,,,,,
player,201911240chi,chi,WimsJa00,rec_yds,0,,,,,
player,201911240chi,chi,WimsJa00,rec_td,0,,,,,
player,201911240chi,chi,WimsJa00,rec_long,0,,,,,
player,201911240chi,chi,WimsJa00,fumbles,0,,,,,
player,201911240chi,chi,WimsJa00,fumbles_lost,0,,,,,
player,201911240chi,nyg,OgleAl00,def_int,1,,,,,
player,201911240chi,nyg,OgleAl00,def_int_yds,0,,,,,
player,201911240chi,nyg,OgleAl00,def_int_td,0,,,,,
player,201911240chi,nyg,OgleAl00,def_int_long,0,,,,,
player,201911240chi,nyg,OgleAl00,pass_defended,1,,,,,
player,201911240chi,nyg,OgleAl00,sacks,0.0,,,,,
player,201911240chi,nyg,OgleAl00,tackles_combined,2,,,,,
player,201911240chi,nyg,OgleAl00,tackles_solo,1,,,,,
player,201911240chi,nyg,OgleAl00,tackles_assists,1,,,,,
player,201911240chi,nyg,OgleAl00,tackles_loss,0,,,,,
player,201911240chi,nyg,OgleAl00,qb_hits,0,,,,,
player,201911240chi,nyg,OgleAl00,fumbles_rec,0,,,,,
player,201911240chi,nyg,OgleAl00,fumbles_rec_yds,0,,,,,
player,201911240chi,nyg,OgleAl00,fumbles_rec_td,0,,,,,
player,201911240chi,nyg,OgleAl00,fumbles_forced,0,,,,,
player,201911240chi,nyg,LoveJu00,def_int,1,,,,,
player,201911240chi,nyg,LoveJu00,def_int_yds,30,,,,,
player,201911240chi,nyg,LoveJu00,def_int_td,0,,,,,
player,201911240chi,nyg,LoveJu00,def_int_long,30,,,,,
player,201911240chi,nyg,LoveJu00,pass_defended,1,,,,,
player,201911240chi,nyg,LoveJu00,sacks,0.0,,,,,
player,201911240chi,nyg,LoveJu00,tackles_combined,1,,,,,
player,201911240chi,nyg,LoveJu00,tackles_solo,1,,,,,
player,201911240chi,nyg,LoveJu00,tackles_assists,0,,,,,
player,201911240chi,nyg,LoveJu00,tackles_loss,0,,,,,
player,201911240chi,nyg,LoveJu00,qb_hits,0,,,,,
player,201911240chi,nyg,LoveJu00,fumbles_rec,0,,,,,
player,201911240chi,nyg,LoveJu00,fumbles_rec_yds,0,,,,,
player,201911240chi,nyg,LoveJu00,fumbles_rec_td,0,,,,,
player,201911240chi,nyg,LoveJu00,fumbles_forced,0,,,,,
player,201911240chi,nyg,CartLo01,def_int,0,,,,,
player,201911240chi,nyg,CartLo01,def_int_yds,0,,,,,
player,201911240chi,nyg,CartLo01,def_int_td,0,,,,,
player,201911240chi,nyg,CartLo01,def_int_long,0,,,,,
player,201911240chi,nyg,CartLo01,pass_defended,1,,,,,
player,201911240chi,nyg,CartLo01,sacks,1.0,,,,,
player,201911240chi,nyg,CartLo01,tackles_combined,4,,,,,
player,201911240chi,nyg,CartLo01,tackles_solo,2,,,,,
player,201911240chi,nyg,CartLo01,tackles_assists,2,,,,,
player,201911240chi,nyg,CartLo01,tackles_loss,1,,,,,
player,201911240chi,nyg,CartLo01,qb_hits,1,,,,,
player,201911240chi,nyg,CartLo01,fumbles_rec,0,,,,,
player,201911240chi,nyg,CartLo01,fumbles_rec_yds,0,,,,,
player,201911240chi,nyg,CartLo01,fumbles_rec_td,0,,,,,
player,201911240chi,nyg,CartLo01,fumbles_forced,0,,,,,
player,201911240chi,nyg,GoldMa00,def_int,0,,,,,
player,201911240chi,nyg,GoldMa00,def_int_yds,0,,,,,
player,201911240chi,nyg,GoldMa00,def_int_td,0,,,,,
player,201911240chi,nyg,GoldMa00,def_int_long,0,,,,,
player,201911240chi,nyg,GoldMa00,pass_defended,0,,,,,
player,201911240chi,nyg,GoldMa00,sacks,1.0,,,,,
player,201911240chi,nyg,GoldMa00,tackles_combined,4,,,,,
player,201911240chi,nyg,GoldMa00,tackles_solo,3,,,,,
player,201911240chi,nyg,GoldMa00,tackles_assists,1,,,,,
player,201911240chi,nyg,GoldMa00,tackles_loss,3,,,,,
player,201911240chi,nyg,GoldMa00,qb_hits,1,,,,,
player,201911240chi,nyg,GoldMa00,fumbles_rec,0,,,,,
player,201911240chi,nyg,GoldMa00,fumbles_rec_yds,0,,,,,
player,201911240chi,nyg,GoldMa00,fumbles_rec_td,0,,,,,
player,201911240chi,nyg,GoldMa00,fumbles_forced,0,,,,,
player,201911240chi,nyg,BallCo00,def_int,0,,,,,
player,201911240chi,nyg,BallCo00,def_int_yds,0,,,,,
player,201911240chi,nyg,BallCo00,def_int_td,0,,,,,
