game,2019,2,20190915,201909150ram,nor,"New Orleans Saints",9,ram,"Los Angeles Rams",27
player,201909150ram,ram,EverGe00,pass_cmp,0,,,,,
player,201909150ram,ram,EverGe00,pass_att,0,,,,,
player,201909150ram,ram,EverGe00,pass_yds,0,,,,,
player,201909150ram,ram,EverGe00,pass_td,0,,,,,
player,201909150ram,ram,EverGe00,pass_int,0,,,,,
player,201909150ram,ram,EverGe00,pass_sacked,0,,,,,
player,201909150ram,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201909150ram,ram,EverGe00,pass_long,0,,,,,
player,201909150ram,ram,EverGe00,pass_rating,,,,,,
player,201909150ram,ram,EverGe00,rush_att,1,,,,,
player,201909150ram,ram,EverGe00,rush_yds,0,,,,,
player,201909150ram,ram,EverGe00,rush_td,0,,,,,
player,201909150ram,ram,EverGe00,rush_long,0,,,,,
player,201909150ram,ram,EverGe00,targets,4,,,,,
player,201909150ram,ram,EverGe00,rec,3,,,,,
player,201909150ram,ram,EverGe00,rec_yds,21,,,,,
player,201909150ram,ram,EverGe00,rec_td,0,,,,,
player,201909150ram,ram,EverGe00,rec_long,11,,,,,
player,201909150ram,ram,EverGe00,fumbles,0,,,,,
player,201909150ram,ram,EverGe00,fumbles_lost,0,,,,,
player,201909150ram,ram,HigbTy00,pass_cmp,0,,,,,
player,201909150ram,ram,HigbTy00,pass_att,0,,,,,
player,201909150ram,ram,HigbTy00,pass_yds,0,,,,,
player,201909150ram,ram,HigbTy00,pass_td,0,,,,,
player,201909150ram,ram,HigbTy00,pass_int,0,,,,,
player,201909150ram,ram,HigbTy00,pass_sacked,0,,,,,
player,201909150ram,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201909150ram,ram,HigbTy00,pass_long,0,,,,,
player,201909150ram,ram,HigbTy00,pass_rating,,,,,,
player,201909150ram,ram,HigbTy00,rush_att,0,,,,,
player,201909150ram,ram,HigbTy00,rush_yds,0,,,,,
player,201909150ram,ram,HigbTy00,rush_td,0,,,,,
player,201909150ram,ram,HigbTy00,rush_long,0,,,,,
player,201909150ram,ram,HigbTy00,targets,3,,,,,
player,201909150ram,ram,HigbTy00,rec,2,,,,,
player,201909150ram,ram,HigbTy00,rec_yds,21,,,,,
player,201909150ram,ram,HigbTy00,rec_td,0,,,,,
player,201909150ram,ram,HigbTy00,rec_long,18,,,,,
player,201909150ram,ram,HigbTy00,fumbles,0,,,,,
player,201909150ram,ram,HigbTy00,fumbles_lost,0,,,,,
player,201909150ram,ram,ReynJo00,pass_cmp,0,,,,,
player,201909150ram,ram,ReynJo00,pass_att,0,,,,,
player,201909150ram,ram,ReynJo00,pass_yds,0,,,,,
player,201909150ram,ram,ReynJo00,pass_td,0,,,,,
player,201909150ram,ram,ReynJo00,pass_int,0,,,,,
player,201909150ram,ram,ReynJo00,pass_sacked,0,,,,,
player,201909150ram,ram,ReynJo00,pass_sacked_yds,0,,,,,
player,201909150ram,ram,ReynJo00,pass_long,0,,,,,
player,201909150ram,ram,ReynJo00,pass_rating,,,,,,
player,201909150ram,ram,ReynJo00,rush_att,0,,,,,
player,201909150ram,ram,ReynJo00,rush_yds,0,,,,,
player,201909150ram,ram,ReynJo00,rush_td,0,,,,,
player,201909150ram,ram,ReynJo00,rush_long,0,,,,,
player,201909150ram,ram,ReynJo00,targets,1,,,,,
player,201909150ram,ram,ReynJo00,rec,0,,,,,
player,201909150ram,ram,ReynJo00,rec_yds,0,,,,,
player,201909150ram,ram,ReynJo00,rec_td,0,,,,,
player,201909150ram,ram,ReynJo00,rec_long,0,,,,,
player,201909150ram,ram,ReynJo00,fumbles,0,,,,,
player,201909150ram,ram,ReynJo00,fumbles_lost,0,,,,,
player,201909150ram,nor,JordCa00,def_int,0,,,,,
player,201909150ram,nor,JordCa00,def_int_yds,0,,,,,
player,201909150ram,nor,JordCa00,def_int_td,0,,,,,
player,201909150ram,nor,JordCa00,def_int_long,0,,,,,
player,201909150ram,nor,JordCa00,pass_defended,0,,,,,
player,201909150ram,nor,JordCa00,sacks,1.0,,,,,
player,201909150ram,nor,JordCa00,tackles_combined,5,,,,,
player,201909150ram,nor,JordCa00,tackles_solo,5,,,,,
player,201909150ram,nor,JordCa00,tackles_assists,0,,,,,
player,201909150ram,nor,JordCa00,tackles_loss,1,,,,,
player,201909150ram,nor,JordCa00,qb_hits,2,,,,,
player,201909150ram,nor,JordCa00,fumbles_rec,1,,,,,
player,201909150ram,nor,JordCa00,fumbles_rec_yds,0,,,,,
player,201909150ram,nor,JordCa00,fumbles_rec_td,0,,,,,
player,201909150ram,nor,JordCa00,fumbles_forced,0,,,,,
player,201909150ram,nor,DaveMa00,def_int,0,,,,,
player,201909150ram,nor,DaveMa00,def_int_yds,0,,,,,
player,201909150ram,nor,DaveMa00,def_int_td,0,,,,,
player,201909150ram,nor,DaveMa00,def_int_long,0,,,,,
player,201909150ram,nor,DaveMa00,pass_defended,0,,,,,
player,201909150ram,nor,DaveMa00,sacks,1.0,,,,,
player,201909150ram,nor,DaveMa00,tackles_combined,3,,,,,
player,201909150ram,nor,DaveMa00,tackles_solo,2,,,,,
player,201909150ram,nor,DaveMa00,tackles_assists,1,,,,,
player,201909150ram,nor,DaveMa00,tackles_loss,1,,,,,
player,201909150ram,nor,DaveMa00,qb_hits,3,,,,,
player,201909150ram,nor,DaveMa00,fumbles_rec,0,,,,,
player,201909150ram,nor,DaveMa00,fumbles_rec_yds,0,,,,,
player,201909150ram,nor,DaveMa00,fumbles_rec_td,0,,,,,
player,201909150ram,nor,DaveMa00,fumbles_forced,0,,,,,
player,201909150ram,nor,HendTr00,def_int,0,,,,,
player,201909150ram,nor,HendTr00,def_int_yds,0,,,,,
player,201909150ram,nor,HendTr00,def_int_td,0,,,,,
player,201909150ram,nor,HendTr00,def_int_long,0,,,,,
player,201909150ram,nor,HendTr00,pass_defended,0,,,,,
player,201909150ram,nor,HendTr00,sacks,1.0,,,,,
player,201909150ram,nor,HendTr00,tackles_combined,2,,,,,
player,201909150ram,nor,HendTr00,tackles_solo,2,,,,,
player,201909150ram,nor,HendTr00,tackles_assists,0,,,,,
player,201909150ram,nor,HendTr00,tackles_loss,0,,,,,
player,201909150ram,nor,HendTr00,qb_hits,0,,,,,
player,201909150ram,nor,HendTr00,fumbles_rec,0,,,,,
player,201909150ram,nor,HendTr00,fumbles_rec_yds,0,,,,,
player,201909150ram,nor,HendTr00,fumbles_rec_td,0,,,,,
player,201909150ram,nor,HendTr00,fumbles_forced,1,,,,,
player,201909150ram,nor,ApplEl00,def_int,0,,,,,
player,201909150ram,nor,ApplEl00,def_int_yds,0,,,,,
player,201909150ram,nor,ApplEl00,def_int_td,0,,,,,
player,201909150ram,nor,ApplEl00,def_int_long,0,,,,,
player,201909150ram,nor,ApplEl00,pass_defended,0,,,,,
player,201909150ram,nor,ApplEl00,sacks,0.0,,,,,
player,201909150ram,nor,ApplEl00,tackles_combined,7,,,,,
player,201909150ram,nor,ApplEl00,tackles_solo,7,,,,,
