game,2018,10,20181111,201811110chi,det,"Detroit Lions",22,chi,"Chicago Bears",34
player,201811110chi,chi,TrubMi00,offense,57,,,,,
player,201811110chi,chi,TrubMi00,off_pct,100%,,,,,
player,201811110chi,chi,TrubMi00,defense,0,,,,,
player,201811110chi,chi,TrubMi00,def_pct,0%,,,,,
player,201811110chi,chi,TrubMi00,special_teams,0,,,,,
player,201811110chi,chi,TrubMi00,st_pct,0%,,,,,
player,201811110chi,chi,RobiAl02,pos,WR,,,,,
player,201811110chi,chi,RobiAl02,offense,54,,,,,
player,201811110chi,chi,RobiAl02,off_pct,95%,,,,,
player,201811110chi,chi,RobiAl02,defense,0,,,,,
player,201811110chi,chi,RobiAl02,def_pct,0%,,,,,
player,201811110chi,chi,RobiAl02,special_teams,3,,,,,
player,201811110chi,chi,RobiAl02,st_pct,11%,,,,,
player,201811110chi,chi,GabrTa00,pos,WR,,,,,
player,201811110chi,chi,GabrTa00,offense,46,,,,,
player,201811110chi,chi,GabrTa00,off_pct,81%,,,,,
player,201811110chi,chi,GabrTa00,defense,0,,,,,
player,201811110chi,chi,GabrTa00,def_pct,0%,,,,,
player,201811110chi,chi,GabrTa00,special_teams,0,,,,,
player,201811110chi,chi,GabrTa00,st_pct,0%,,,,,
player,201811110chi,chi,BurtTr01,pos,TE,,,,,
player,201811110chi,chi,BurtTr01,offense,43,,,,,
player,201811110chi,chi,BurtTr01,off_pct,75%,,,,,
player,201811110chi,chi,BurtTr01,defense,0,,,,,
player,201811110chi,chi,BurtTr01,def_pct,0%,,,,,
player,201811110chi,chi,BurtTr01,special_teams,3,,,,,
player,201811110chi,chi,BurtTr01,st_pct,11%,,,,,
player,201811110chi,chi,MillAn02,pos,WR,,,,,
player,201811110chi,chi,MillAn02,offense,42,,,,,
player,201811110chi,chi,MillAn02,off_pct,74%,,,,,
player,201811110chi,chi,MillAn02,defense,0,,,,,
player,201811110chi,chi,MillAn02,def_pct,0%,,,,,
player,201811110chi,chi,MillAn02,special_teams,3,,,,,
player,201811110chi,chi,MillAn02,st_pct,11%,,,,,
player,201811110chi,chi,CoheTa00,pos,RB,,,,,
player,201811110chi,chi,CoheTa00,offense,31,,,,,
player,201811110chi,chi,CoheTa00,off_pct,54%,,,,,
player,201811110chi,chi,CoheTa00,defense,0,,,,,
player,201811110chi,chi,CoheTa00,def_pct,0%,,,,,
player,201811110chi,chi,CoheTa00,special_teams,7,,,,,
player,201811110chi,chi,CoheTa00,st_pct,26%,,,,,
player,201811110chi,chi,HowaJo00,pos,RB,,,,,
player,201811110chi,chi,HowaJo00,offense,30,,,,,
player,201811110chi,chi,HowaJo00,off_pct,53%,,,,,
player,201811110chi,chi,HowaJo00,defense,0,,,,,
player,201811110chi,chi,HowaJo00,def_pct,0%,,,,,
player,201811110chi,chi,HowaJo00,special_teams,0,,,,,
player,201811110chi,chi,HowaJo00,st_pct,0%,,,,,
player,201811110chi,chi,BrauBe00,pos,TE,,,,,
player,201811110chi,chi,BrauBe00,offense,13,,,,,
player,201811110chi,chi,BrauBe00,off_pct,23%,,,,,
player,201811110chi,chi,BrauBe00,defense,0,,,,,
player,201811110chi,chi,BrauBe00,def_pct,0%,,,,,
player,201811110chi,chi,BrauBe00,special_teams,8,,,,,
player,201811110chi,chi,BrauBe00,st_pct,30%,,,,,
player,201811110chi,chi,MizzTa00,pos,RB,,,,,
player,201811110chi,chi,MizzTa00,offense,8,,,,,
player,201811110chi,chi,MizzTa00,off_pct,14%,,,,,
player,201811110chi,chi,MizzTa00,defense,0,,,,,
player,201811110chi,chi,MizzTa00,def_pct,0%,,,,,
player,201811110chi,chi,MizzTa00,special_teams,12,,,,,
player,201811110chi,chi,MizzTa00,st_pct,44%,,,,,
player,201811110chi,chi,BurtMi00,pos,FB,,,,,
player,201811110chi,chi,BurtMi00,offense,7,,,,,
player,201811110chi,chi,BurtMi00,off_pct,12%,,,,,
player,201811110chi,chi,BurtMi00,defense,0,,,,,
player,201811110chi,chi,BurtMi00,def_pct,0%,,,,,
player,201811110chi,chi,BurtMi00,special_teams,3,,,,,
player,201811110chi,chi,BurtMi00,st_pct,11%,,,,,
player,201811110chi,chi,BellJo02,pos,WR,,,,,
player,201811110chi,chi,BellJo02,offense,6,,,,,
player,201811110chi,chi,BellJo02,off_pct,11%,,,,,
player,201811110chi,chi,BellJo02,defense,0,,,,,
player,201811110chi,chi,BellJo02,def_pct,0%,,,,,
player,201811110chi,chi,BellJo02,special_teams,8,,,,,
player,201811110chi,chi,BellJo02,st_pct,30%,,,,,
player,201811110chi,chi,SoweBr00,pos,T,,,,,
player,201811110chi,chi,SoweBr00,offense,4,,,,,
player,201811110chi,chi,SoweBr00,off_pct,7%,,,,,
player,201811110chi,chi,SoweBr00,defense,0,,,,,
player,201811110chi,chi,SoweBr00,def_pct,0%,,,,,
player,201811110chi,chi,SoweBr00,special_teams,6,,,,,
player,201811110chi,chi,SoweBr00,st_pct,22%,,,,,
player,201811110chi,chi,CunnBe01,pos,RB,,,,,
player,201811110chi,chi,CunnBe01,offense,1,,,,,
player,201811110chi,chi,CunnBe01,off_pct,2%,,,,,
player,201811110chi,chi,CunnBe01,defense,0,,,,,
player,201811110chi,chi,CunnBe01,def_pct,0%,,,,,
player,201811110chi,chi,CunnBe01,special_teams,17,,,,,
player,201811110chi,chi,CunnBe01,st_pct,63%,,,,,
player,201811110chi,chi,JackEd01,pos,FS,,,,,
player,201811110chi,chi,JackEd01,offense,0,,,,,
player,201811110chi,chi,JackEd01,off_pct,0%,,,,,
player,201811110chi,chi,JackEd01,defense,78,,,,,
player,201811110chi,chi,JackEd01,def_pct,100%,,,,,
player,201811110chi,chi,JackEd01,special_teams,3,,,,,
player,201811110chi,chi,JackEd01,st_pct,11%,,,,,
player,201811110chi,chi,TrevDa00,pos,LB,,,,,
player,201811110chi,chi,TrevDa00,offense,0,,,,,
player,201811110chi,chi,TrevDa00,off_pct,0%,,,,,
player,201811110chi,chi,TrevDa00,defense,78,,,,,
player,201811110chi,chi,TrevDa00,def_pct,100%,,,,,
player,201811110chi,chi,TrevDa00,special_teams,3,,,,,
player,201811110chi,chi,TrevDa00,st_pct,11%,,,,,
player,201811110chi,chi,AmosAd00,pos,FS,,,,,
player,201811110chi,chi,AmosAd00,offense,0,,,,,
player,201811110chi,chi,AmosAd00,off_pct,0%,,,,,
player,201811110chi,chi,AmosAd00,defense,77,,,,,
