game,2018,17,20181230,201812300rav,cle,"Cleveland Browns",24,rav,"Baltimore Ravens",26
player,201812300rav,cle,CallAn00,rec_yds,79,,,,,
player,201812300rav,cle,CallAn00,rec_td,1,,,,,
player,201812300rav,cle,CallAn00,rec_long,38,,,,,
player,201812300rav,cle,CallAn00,fumbles,0,,,,,
player,201812300rav,cle,CallAn00,fumbles_lost,0,,,,,
player,201812300rav,cle,NjokDa00,pass_cmp,0,,,,,
player,201812300rav,cle,NjokDa00,pass_att,0,,,,,
player,201812300rav,cle,NjokDa00,pass_yds,0,,,,,
player,201812300rav,cle,NjokDa00,pass_td,0,,,,,
player,201812300rav,cle,NjokDa00,pass_int,0,,,,,
player,201812300rav,cle,NjokDa00,pass_sacked,0,,,,,
player,201812300rav,cle,NjokDa00,pass_sacked_yds,0,,,,,
player,201812300rav,cle,NjokDa00,pass_long,0,,,,,
player,201812300rav,cle,NjokDa00,pass_rating,,,,,,
player,201812300rav,cle,NjokDa00,rush_att,0,,,,,
player,201812300rav,cle,NjokDa00,rush_yds,0,,,,,
player,201812300rav,cle,NjokDa00,rush_td,0,,,,,
player,201812300rav,cle,NjokDa00,rush_long,0,,,,,
player,201812300rav,cle,NjokDa00,targets,7,,,,,
player,201812300rav,cle,NjokDa00,rec,3,,,,,
player,201812300rav,cle,NjokDa00,rec_yds,62,,,,,
player,201812300rav,cle,NjokDa00,rec_td,0,,,,,
player,201812300rav,cle,NjokDa00,rec_long,42,,,,,
player,201812300rav,cle,NjokDa00,fumbles,0,,,,,
player,201812300rav,cle,NjokDa00,fumbles_lost,0,,,,,
player,201812300rav,cle,FellDa01,pass_cmp,0,,,,,
player,201812300rav,cle,FellDa01,pass_att,0,,,,,
player,201812300rav,cle,FellDa01,pass_yds,0,,,,,
player,201812300rav,cle,FellDa01,pass_td,0,,,,,
player,201812300rav,cle,FellDa01,pass_int,0,,,,,
player,201812300rav,cle,FellDa01,pass_sacked,0,,,,,
player,201812300rav,cle,FellDa01,pass_sacked_yds,0,,,,,
player,201812300rav,cle,FellDa01,pass_long,0,,,,,
player,201812300rav,cle,FellDa01,pass_rating,,,,,,
player,201812300rav,cle,FellDa01,rush_att,0,,,,,
player,201812300rav,cle,FellDa01,rush_yds,0,,,,,
player,201812300rav,cle,FellDa01,rush_td,0,,,,,
player,201812300rav,cle,FellDa01,rush_long,0,,,,,
player,201812300rav,cle,FellDa01,targets,1,,,,,
player,201812300rav,cle,FellDa01,rec,1,,,,,
player,201812300rav,cle,FellDa01,rec_yds,3,,,,,
player,201812300rav,cle,FellDa01,rec_td,0,,,,,
player,201812300rav,cle,FellDa01,rec_long,3,,,,,
player,201812300rav,cle,FellDa01,fumbles,0,,,,,
player,201812300rav,cle,FellDa01,fumbles_lost,0,,,,,
player,201812300rav,rav,JackLa00,pass_cmp,14,,,,,
player,201812300rav,rav,JackLa00,pass_att,24,,,,,
player,201812300rav,rav,JackLa00,pass_yds,179,,,,,
player,201812300rav,rav,JackLa00,pass_td,0,,,,,
player,201812300rav,rav,JackLa00,pass_int,0,,,,,
player,201812300rav,rav,JackLa00,pass_sacked,2,,,,,
player,201812300rav,rav,JackLa00,pass_sacked_yds,12,,,,,
player,201812300rav,rav,JackLa00,pass_long,32,,,,,
player,201812300rav,rav,JackLa00,pass_rating,81.8,,,,,
player,201812300rav,rav,JackLa00,rush_att,20,,,,,
player,201812300rav,rav,JackLa00,rush_yds,90,,,,,
player,201812300rav,rav,JackLa00,rush_td,2,,,,,
player,201812300rav,rav,JackLa00,rush_long,25,,,,,
player,201812300rav,rav,JackLa00,targets,0,,,,,
player,201812300rav,rav,JackLa00,rec,0,,,,,
player,201812300rav,rav,JackLa00,rec_yds,0,,,,,
player,201812300rav,rav,JackLa00,rec_td,0,,,,,
player,201812300rav,rav,JackLa00,rec_long,0,,,,,
player,201812300rav,rav,JackLa00,fumbles,2,,,,,
player,201812300rav,rav,JackLa00,fumbles_lost,1,,,,,
player,201812300rav,rav,DixoKe00,pass_cmp,0,,,,,
player,201812300rav,rav,DixoKe00,pass_att,0,,,,,
player,201812300rav,rav,DixoKe00,pass_yds,0,,,,,
player,201812300rav,rav,DixoKe00,pass_td,0,,,,,
player,201812300rav,rav,DixoKe00,pass_int,0,,,,,
player,201812300rav,rav,DixoKe00,pass_sacked,0,,,,,
player,201812300rav,rav,DixoKe00,pass_sacked_yds,0,,,,,
player,201812300rav,rav,DixoKe00,pass_long,0,,,,,
player,201812300rav,rav,DixoKe00,pass_rating,,,,,,
player,201812300rav,rav,DixoKe00,rush_att,12,,,,,
player,201812300rav,rav,DixoKe00,rush_yds,117,,,,,
player,201812300rav,rav,DixoKe00,rush_td,0,,,,,
player,201812300rav,rav,DixoKe00,rush_long,37,,,,,
player,201812300rav,rav,DixoKe00,targets,1,,,,,
player,201812300rav,rav,DixoKe00,rec,1,,,,,
player,201812300rav,rav,DixoKe00,rec_yds,2,,,,,
player,201812300rav,rav,DixoKe00,rec_td,0,,,,,
player,201812300rav,rav,DixoKe00,rec_long,2,,,,,
player,201812300rav,rav,DixoKe00,fumbles,0,,,,,
player,201812300rav,rav,DixoKe00,fumbles_lost,0,,,,,
player,201812300rav,rav,EdwaGu00,pass_cmp,0,,,,,
player,201812300rav,rav,EdwaGu00,pass_att,0,,,,,
player,201812300rav,rav,EdwaGu00,pass_yds,0,,,,,
player,201812300rav,rav,EdwaGu00,pass_td,0,,,,,
player,201812300rav,rav,EdwaGu00,pass_int,0,,,,,
player,201812300rav,rav,EdwaGu00,pass_sacked,0,,,,,
player,201812300rav,rav,EdwaGu00,pass_sacked_yds,0,,,,,
player,201812300rav,rav,EdwaGu00,pass_long,0,,,,,
player,201812300rav,rav,EdwaGu00,pass_rating,,,,,,
