game,2018,11,20181119,201811190ram,kan,"Kansas City Chiefs",51,ram,"Los Angeles Rams",54
player,201811190ram,ram,BrowMa03,pass_sacked,0,,,,,
player,201811190ram,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201811190ram,ram,BrowMa03,pass_long,0,,,,,
player,201811190ram,ram,BrowMa03,pass_rating,,,,,,
player,201811190ram,ram,BrowMa03,rush_att,4,,,,,
player,201811190ram,ram,BrowMa03,rush_yds,15,,,,,
player,201811190ram,ram,BrowMa03,rush_td,0,,,,,
player,201811190ram,ram,BrowMa03,rush_long,8,,,,,
player,201811190ram,ram,BrowMa03,targets,0,,,,,
player,201811190ram,ram,BrowMa03,rec,0,,,,,
player,201811190ram,ram,BrowMa03,rec_yds,0,,,,,
player,201811190ram,ram,BrowMa03,rec_td,0,,,,,
player,201811190ram,ram,BrowMa03,rec_long,0,,,,,
player,201811190ram,ram,BrowMa03,fumbles,0,,,,,
player,201811190ram,ram,BrowMa03,fumbles_lost,0,,,,,
player,201811190ram,ram,CookBr00,pass_cmp,0,,,,,
player,201811190ram,ram,CookBr00,pass_att,0,,,,,
player,201811190ram,ram,CookBr00,pass_yds,0,,,,,
player,201811190ram,ram,CookBr00,pass_td,0,,,,,
player,201811190ram,ram,CookBr00,pass_int,0,,,,,
player,201811190ram,ram,CookBr00,pass_sacked,0,,,,,
player,201811190ram,ram,CookBr00,pass_sacked_yds,0,,,,,
player,201811190ram,ram,CookBr00,pass_long,0,,,,,
player,201811190ram,ram,CookBr00,pass_rating,,,,,,
player,201811190ram,ram,CookBr00,rush_att,1,,,,,
player,201811190ram,ram,CookBr00,rush_yds,0,,,,,
player,201811190ram,ram,CookBr00,rush_td,0,,,,,
player,201811190ram,ram,CookBr00,rush_long,0,,,,,
player,201811190ram,ram,CookBr00,targets,12,,,,,
player,201811190ram,ram,CookBr00,rec,8,,,,,
player,201811190ram,ram,CookBr00,rec_yds,107,,,,,
player,201811190ram,ram,CookBr00,rec_td,0,,,,,
player,201811190ram,ram,CookBr00,rec_long,30,,,,,
player,201811190ram,ram,CookBr00,fumbles,0,,,,,
player,201811190ram,ram,CookBr00,fumbles_lost,0,,,,,
player,201811190ram,ram,ReynJo00,pass_cmp,0,,,,,
player,201811190ram,ram,ReynJo00,pass_att,0,,,,,
player,201811190ram,ram,ReynJo00,pass_yds,0,,,,,
player,201811190ram,ram,ReynJo00,pass_td,0,,,,,
player,201811190ram,ram,ReynJo00,pass_int,0,,,,,
player,201811190ram,ram,ReynJo00,pass_sacked,0,,,,,
player,201811190ram,ram,ReynJo00,pass_sacked_yds,0,,,,,
player,201811190ram,ram,ReynJo00,pass_long,0,,,,,
player,201811190ram,ram,ReynJo00,pass_rating,,,,,,
player,201811190ram,ram,ReynJo00,rush_att,0,,,,,
player,201811190ram,ram,ReynJo00,rush_yds,0,,,,,
player,201811190ram,ram,ReynJo00,rush_td,0,,,,,
player,201811190ram,ram,ReynJo00,rush_long,0,,,,,
