game,2018,6,20181014,201810140cle,sdg,"Los Angeles Chargers",38,cle,"Cleveland Browns",14
player,201810140cle,cle,NjokDa00,pass_sacked,0,,,,,
player,201810140cle,cle,NjokDa00,pass_sacked_yds,0,,,,,
player,201810140cle,cle,NjokDa00,pass_long,0,,,,,
player,201810140cle,cle,NjokDa00,pass_rating,,,,,,
player,201810140cle,cle,NjokDa00,rush_att,0,,,,,
player,201810140cle,cle,NjokDa00,rush_yds,0,,,,,
player,201810140cle,cle,NjokDa00,rush_td,0,,,,,
player,201810140cle,cle,NjokDa00,rush_long,0,,,,,
player,201810140cle,cle,NjokDa00,targets,12,,,,,
player,201810140cle,cle,NjokDa00,rec,7,,,,,
player,201810140cle,cle,NjokDa00,rec_yds,55,,,,,
player,201810140cle,cle,NjokDa00,rec_td,1,,,,,
player,201810140cle,cle,NjokDa00,rec_long,22,,,,,
player,201810140cle,cle,NjokDa00,fumbles,0,,,,,
player,201810140cle,cle,NjokDa00,fumbles_lost,0,,,,,
player,201810140cle,cle,LandJa00,pass_cmp,0,,,,,
player,201810140cle,cle,LandJa00,pass_att,0,,,,,
player,201810140cle,cle,LandJa00,pass_yds,0,,,,,
player,201810140cle,cle,LandJa00,pass_td,0,,,,,
player,201810140cle,cle,LandJa00,pass_int,0,,,,,
player,201810140cle,cle,LandJa00,pass_sacked,0,,,,,
player,201810140cle,cle,LandJa00,pass_sacked_yds,0,,,,,
player,201810140cle,cle,LandJa00,pass_long,0,,,,,
player,201810140cle,cle,LandJa00,pass_rating,,,,,,
player,201810140cle,cle,LandJa00,rush_att,0,,,,,
player,201810140cle,cle,LandJa00,rush_yds,0,,,,,
player,201810140cle,cle,LandJa00,rush_td,0,,,,,
player,201810140cle,cle,LandJa00,rush_long,0,,,,,
player,201810140cle,cle,LandJa00,targets,10,,,,,
player,201810140cle,cle,LandJa00,rec,2,,,,,
player,201810140cle,cle,LandJa00,rec_yds,11,,,,,
player,201810140cle,cle,LandJa00,rec_td,0,,,,,
player,201810140cle,cle,LandJa00,rec_long,7,,,,,
player,201810140cle,cle,LandJa00,fumbles,0,,,,,
player,201810140cle,cle,LandJa00,fumbles_lost,0,,,,,
player,201810140cle,cle,CallAn00,pass_cmp,0,,,,,
player,201810140cle,cle,CallAn00,pass_att,0,,,,,
player,201810140cle,cle,CallAn00,pass_yds,0,,,,,
player,201810140cle,cle,CallAn00,pass_td,0,,,,,
player,201810140cle,cle,CallAn00,pass_int,0,,,,,
player,201810140cle,cle,CallAn00,pass_sacked,0,,,,,
player,201810140cle,cle,CallAn00,pass_sacked_yds,0,,,,,
player,201810140cle,cle,CallAn00,pass_long,0,,,,,
player,201810140cle,cle,CallAn00,pass_rating,,,,,,
player,201810140cle,cle,CallAn00,rush_att,0,,,,,
player,201810140cle,cle,CallAn00,rush_yds,0,,,,,
player,201810140cle,cle,CallAn00,rush_td,0,,,,,
player,201810140cle,cle,CallAn00,rush_long,0,,,,,
player,201810140cle,cle,CallAn00,targets,7,,,,,
player,201810140cle,cle,CallAn00,rec,2,,,,,
player,201810140cle,cle,CallAn00,rec_yds,9,,,,,
player,201810140cle,cle,CallAn00,rec_td,0,,,,,
player,201810140cle,cle,CallAn00,rec_long,9,,,,,
player,201810140cle,cle,CallAn00,fumbles,0,,,,,
player,201810140cle,cle,CallAn00,fumbles_lost,0,,,,,
player,201810140cle,cle,CharOr00,pass_cmp,0,,,,,
player,201810140cle,cle,CharOr00,pass_att,0,,,,,
player,201810140cle,cle,CharOr00,pass_yds,0,,,,,
player,201810140cle,cle,CharOr00,pass_td,0,,,,,
player,201810140cle,cle,CharOr00,pass_int,0,,,,,
player,201810140cle,cle,CharOr00,pass_sacked,0,,,,,
player,201810140cle,cle,CharOr00,pass_sacked_yds,0,,,,,
player,201810140cle,cle,CharOr00,pass_long,0,,,,,
player,201810140cle,cle,CharOr00,pass_rating,,,,,,
player,201810140cle,cle,CharOr00,rush_att,0,,,,,
player,201810140cle,cle,CharOr00,rush_yds,0,,,,,
player,201810140cle,cle,CharOr00,rush_td,0,,,,,
player,201810140cle,cle,CharOr00,rush_long,0,,,,,
player,201810140cle,cle,CharOr00,targets,1,,,,,
player,201810140cle,cle,CharOr00,rec,1,,,,,
player,201810140cle,cle,CharOr00,rec_yds,8,,,,,
player,201810140cle,cle,CharOr00,rec_td,0,,,,,
player,201810140cle,cle,CharOr00,rec_long,8,,,,,
player,201810140cle,cle,CharOr00,fumbles,0,,,,,
player,201810140cle,cle,CharOr00,fumbles_lost,0,,,,,
player,201810140cle,sdg,KingDe01,def_int,2,,,,,
player,201810140cle,sdg,KingDe01,def_int_yds,33,,,,,
player,201810140cle,sdg,KingDe01,def_int_td,0,,,,,
player,201810140cle,sdg,KingDe01,def_int_long,33,,,,,
player,201810140cle,sdg,KingDe01,pass_defended,3,,,,,
player,201810140cle,sdg,KingDe01,sacks,0.0,,,,,
player,201810140cle,sdg,KingDe01,tackles_combined,2,,,,,
player,201810140cle,sdg,KingDe01,tackles_solo,2,,,,,
player,201810140cle,sdg,KingDe01,tackles_assists,0,,,,,
player,201810140cle,sdg,KingDe01,tackles_loss,0,,,,,
player,201810140cle,sdg,KingDe01,qb_hits,1,,,,,
player,201810140cle,sdg,KingDe01,fumbles_rec,0,,,,,
player,201810140cle,sdg,KingDe01,fumbles_rec_yds,0,,,,,
player,201810140cle,sdg,KingDe01,fumbles_rec_td,0,,,,,
player,201810140cle,sdg,KingDe01,fumbles_forced,0,,,,,
player,201810140cle,sdg,LiugCo00,def_int,0,,,,,
player,201810140cle,sdg,LiugCo00,def_int_yds,0,,,,,
player,201810140cle,sdg,LiugCo00,def_int_td,0,,,,,
player,201810140cle,sdg,LiugCo00,def_int_long,0,,,,,
player,201810140cle,sdg,LiugCo00,pass_defended,0,,,,,
player,201810140cle,sdg,LiugCo00,sacks,1.5,,,,,
player,201810140cle,sdg,LiugCo00,tackles_combined,3,,,,,
player,201810140cle,sdg,LiugCo00,tackles_solo,2,,,,,
player,201810140cle,sdg,LiugCo00,tackles_assists,1,,,,,
player,201810140cle,sdg,LiugCo00,tackles_loss,1,,,,,
player,201810140cle,sdg,LiugCo00,qb_hits,2,,,,,
player,201810140cle,sdg,LiugCo00,fumbles_rec,0,,,,,
player,201810140cle,sdg,LiugCo00,fumbles_rec_yds,0,,,,,
player,201810140cle,sdg,LiugCo00,fumbles_rec_td,0,,,,,
player,201810140cle,sdg,LiugCo00,fumbles_forced,0,,,,,
player,201810140cle,sdg,SquaDa00,def_int,0,,,,,
player,201810140cle,sdg,SquaDa00,def_int_yds,0,,,,,
player,201810140cle,sdg,SquaDa00,def_int_td,0,,,,,
player,201810140cle,sdg,SquaDa00,def_int_long,0,,,,,
player,201810140cle,sdg,SquaDa00,pass_defended,0,,,,,
player,201810140cle,sdg,SquaDa00,sacks,1.5,,,,,
player,201810140cle,sdg,SquaDa00,tackles_combined,3,,,,,
player,201810140cle,sdg,SquaDa00,tackles_solo,2,,,,,
player,201810140cle,sdg,SquaDa00,tackles_assists,1,,,,,
player,201810140cle,sdg,SquaDa00,tackles_loss,1,,,,,
player,201810140cle,sdg,SquaDa00,qb_hits,2,,,,,
player,201810140cle,sdg,SquaDa00,fumbles_rec,0,,,,,
player,201810140cle,sdg,SquaDa00,fumbles_rec_yds,0,,,,,
player,201810140cle,sdg,SquaDa00,fumbles_rec_td,0,,,,,
player,201810140cle,sdg,SquaDa00,fumbles_forced,0,,,,,
player,201810140cle,sdg,RochIs00,def_int,0,,,,,
player,201810140cle,sdg,RochIs00,def_int_yds,0,,,,,
player,201810140cle,sdg,RochIs00,def_int_td,0,,,,,
player,201810140cle,sdg,RochIs00,def_int_long,0,,,,,
player,201810140cle,sdg,RochIs00,pass_defended,0,,,,,
player,201810140cle,sdg,RochIs00,sacks,1.0,,,,,
player,201810140cle,sdg,RochIs00,tackles_combined,2,,,,,
player,201810140cle,sdg,RochIs00,tackles_solo,1,,,,,
player,201810140cle,sdg,RochIs00,tackles_assists,1,,,,,
player,201810140cle,sdg,RochIs00,tackles_loss,1,,,,,
player,201810140cle,sdg,RochIs00,qb_hits,1,,,,,
player,201810140cle,sdg,RochIs00,fumbles_rec,0,,,,,
player,201810140cle,sdg,RochIs00,fumbles_rec_yds,0,,,,,
player,201810140cle,sdg,RochIs00,fumbles_rec_td,0,,,,,
player,201810140cle,sdg,RochIs00,fumbles_forced,0,,,,,
player,201810140cle,sdg,JenkRa00,def_int,0,,,,,
player,201810140cle,sdg,JenkRa00,def_int_yds,0,,,,,
player,201810140cle,sdg,JenkRa00,def_int_td,0,,,,,
player,201810140cle,sdg,JenkRa00,def_int_long,0,,,,,
