game,2018,11,20181115,201811150sea,gnb,"Green Bay Packers",24,sea,"Seattle Seahawks",27
player,201811150sea,sea,WilsRu00,pass_sacked,3,,,,,
player,201811150sea,sea,WilsRu00,pass_sacked_yds,20,,,,,
player,201811150sea,sea,WilsRu00,pass_long,34,,,,,
player,201811150sea,sea,WilsRu00,pass_rating,110.3,,,,,
player,201811150sea,sea,WilsRu00,rush_att,5,,,,,
player,201811150sea,sea,WilsRu00,rush_yds,17,,,,,
player,201811150sea,sea,WilsRu00,rush_td,0,,,,,
player,201811150sea,sea,WilsRu00,rush_long,12,,,,,
player,201811150sea,sea,WilsRu00,targets,1,,,,,
player,201811150sea,sea,WilsRu00,rec,1,,,,,
player,201811150sea,sea,WilsRu00,rec_yds,-11,,,,,
player,201811150sea,sea,WilsRu00,rec_td,0,,,,,
player,201811150sea,sea,WilsRu00,rec_long,-11,,,,,
player,201811150sea,sea,WilsRu00,fumbles,0,,,,,
player,201811150sea,sea,WilsRu00,fumbles_lost,0,,,,,
player,201811150sea,sea,CarsCh00,pass_cmp,0,,,,,
player,201811150sea,sea,CarsCh00,pass_att,0,,,,,
player,201811150sea,sea,CarsCh00,pass_yds,0,,,,,
player,201811150sea,sea,CarsCh00,pass_td,0,,,,,
player,201811150sea,sea,CarsCh00,pass_int,0,,,,,
player,201811150sea,sea,CarsCh00,pass_sacked,0,,,,,
player,201811150sea,sea,CarsCh00,pass_sacked_yds,0,,,,,
player,201811150sea,sea,CarsCh00,pass_long,0,,,,,
player,201811150sea,sea,CarsCh00,pass_rating,,,,,,
player,201811150sea,sea,CarsCh00,rush_att,17,,,,,
player,201811150sea,sea,CarsCh00,rush_yds,83,,,,,
player,201811150sea,sea,CarsCh00,rush_td,1,,,,,
player,201811150sea,sea,CarsCh00,rush_long,15,,,,,
player,201811150sea,sea,CarsCh00,targets,0,,,,,
player,201811150sea,sea,CarsCh00,rec,0,,,,,
player,201811150sea,sea,CarsCh00,rec_yds,0,,,,,
player,201811150sea,sea,CarsCh00,rec_td,0,,,,,
player,201811150sea,sea,CarsCh00,rec_long,0,,,,,
player,201811150sea,sea,CarsCh00,fumbles,1,,,,,
player,201811150sea,sea,CarsCh00,fumbles_lost,1,,,,,
player,201811150sea,sea,PennRa00,pass_cmp,0,,,,,
player,201811150sea,sea,PennRa00,pass_att,0,,,,,
player,201811150sea,sea,PennRa00,pass_yds,0,,,,,
player,201811150sea,sea,PennRa00,pass_td,0,,,,,
player,201811150sea,sea,PennRa00,pass_int,0,,,,,
player,201811150sea,sea,PennRa00,pass_sacked,0,,,,,
player,201811150sea,sea,PennRa00,pass_sacked_yds,0,,,,,
player,201811150sea,sea,PennRa00,pass_long,0,,,,,
player,201811150sea,sea,PennRa00,pass_rating,,,,,,
player,201811150sea,sea,PennRa00,rush_att,8,,,,,
player,201811150sea,sea,PennRa00,rush_yds,46,,,,,
player,201811150sea,sea,PennRa00,rush_td,0,,,,,
player,201811150sea,sea,PennRa00,rush_long,30,,,,,
player,201811150sea,sea,PennRa00,targets,0,,,,,
player,201811150sea,sea,PennRa00,rec,0,,,,,
player,201811150sea,sea,PennRa00,rec_yds,0,,,,,
player,201811150sea,sea,PennRa00,rec_td,0,,,,,
player,201811150sea,sea,PennRa00,rec_long,0,,,,,
player,201811150sea,sea,PennRa00,fumbles,0,,,,,
player,201811150sea,sea,PennRa00,fumbles_lost,0,,,,,
player,201811150sea,sea,DaviMi01,pass_cmp,0,,,,,
player,201811150sea,sea,DaviMi01,pass_att,0,,,,,
player,201811150sea,sea,DaviMi01,pass_yds,0,,,,,
player,201811150sea,sea,DaviMi01,pass_td,0,,,,,
player,201811150sea,sea,DaviMi01,pass_int,0,,,,,
player,201811150sea,sea,DaviMi01,pass_sacked,0,,,,,
player,201811150sea,sea,DaviMi01,pass_sacked_yds,0,,,,,
player,201811150sea,sea,DaviMi01,pass_long,0,,,,,
player,201811150sea,sea,DaviMi01,pass_rating,,,,,,
player,201811150sea,sea,DaviMi01,rush_att,4,,,,,
player,201811150sea,sea,DaviMi01,rush_yds,26,,,,,
player,201811150sea,sea,DaviMi01,rush_td,0,,,,,
player,201811150sea,sea,DaviMi01,rush_long,10,,,,,
player,201811150sea,sea,DaviMi01,targets,2,,,,,
player,201811150sea,sea,DaviMi01,rec,2,,,,,
player,201811150sea,sea,DaviMi01,rec_yds,24,,,,,
player,201811150sea,sea,DaviMi01,rec_td,0,,,,,
player,201811150sea,sea,DaviMi01,rec_long,15,,,,,
player,201811150sea,sea,DaviMi01,fumbles,0,,,,,
player,201811150sea,sea,DaviMi01,fumbles_lost,0,,,,,
player,201811150sea,sea,LockTy00,pass_cmp,0,,,,,
player,201811150sea,sea,LockTy00,pass_att,0,,,,,
player,201811150sea,sea,LockTy00,pass_yds,0,,,,,
player,201811150sea,sea,LockTy00,pass_td,0,,,,,
player,201811150sea,sea,LockTy00,pass_int,0,,,,,
player,201811150sea,sea,LockTy00,pass_sacked,0,,,,,
player,201811150sea,sea,LockTy00,pass_sacked_yds,0,,,,,
player,201811150sea,sea,LockTy00,pass_long,0,,,,,
player,201811150sea,sea,LockTy00,pass_rating,,,,,,
player,201811150sea,sea,LockTy00,rush_att,1,,,,,
player,201811150sea,sea,LockTy00,rush_yds,1,,,,,
player,201811150sea,sea,LockTy00,rush_td,0,,,,,
player,201811150sea,sea,LockTy00,rush_long,1,,,,,
player,201811150sea,sea,LockTy00,targets,5,,,,,
player,201811150sea,sea,LockTy00,rec,5,,,,,
player,201811150sea,sea,LockTy00,rec_yds,71,,,,,
player,201811150sea,sea,LockTy00,rec_td,0,,,,,
player,201811150sea,sea,LockTy00,rec_long,34,,,,,
player,201811150sea,sea,LockTy00,fumbles,0,,,,,
