game,2018,9,20181101,201811010sfo,rai,"Oakland Raiders",3,sfo,"San Francisco 49ers",34
player,201811010sfo,rai,HarrDw00,rec,1,,,,,
player,201811010sfo,rai,HarrDw00,rec_yds,13,,,,,
player,201811010sfo,rai,HarrDw00,rec_td,0,,,,,
player,201811010sfo,rai,HarrDw00,rec_long,13,,,,,
player,201811010sfo,rai,HarrDw00,fumbles,1,,,,,
player,201811010sfo,rai,HarrDw00,fumbles_lost,0,,,,,
player,201811010sfo,rai,RobeSe00,pass_cmp,0,,,,,
player,201811010sfo,rai,RobeSe00,pass_att,0,,,,,
player,201811010sfo,rai,RobeSe00,pass_yds,0,,,,,
player,201811010sfo,rai,RobeSe00,pass_td,0,,,,,
player,201811010sfo,rai,RobeSe00,pass_int,0,,,,,
player,201811010sfo,rai,RobeSe00,pass_sacked,0,,,,,
player,201811010sfo,rai,RobeSe00,pass_sacked_yds,0,,,,,
player,201811010sfo,rai,RobeSe00,pass_long,0,,,,,
player,201811010sfo,rai,RobeSe00,pass_rating,,,,,,
player,201811010sfo,rai,RobeSe00,rush_att,0,,,,,
player,201811010sfo,rai,RobeSe00,rush_yds,0,,,,,
player,201811010sfo,rai,RobeSe00,rush_td,0,,,,,
player,201811010sfo,rai,RobeSe00,rush_long,0,,,,,
player,201811010sfo,rai,RobeSe00,targets,2,,,,,
player,201811010sfo,rai,RobeSe00,rec,1,,,,,
player,201811010sfo,rai,RobeSe00,rec_yds,8,,,,,
player,201811010sfo,rai,RobeSe00,rec_td,0,,,,,
player,201811010sfo,rai,RobeSe00,rec_long,8,,,,,
player,201811010sfo,rai,RobeSe00,fumbles,0,,,,,
player,201811010sfo,rai,RobeSe00,fumbles_lost,0,,,,,
player,201811010sfo,rai,CarrDe00,pass_cmp,0,,,,,
player,201811010sfo,rai,CarrDe00,pass_att,0,,,,,
player,201811010sfo,rai,CarrDe00,pass_yds,0,,,,,
player,201811010sfo,rai,CarrDe00,pass_td,0,,,,,
player,201811010sfo,rai,CarrDe00,pass_int,0,,,,,
player,201811010sfo,rai,CarrDe00,pass_sacked,0,,,,,
player,201811010sfo,rai,CarrDe00,pass_sacked_yds,0,,,,,
player,201811010sfo,rai,CarrDe00,pass_long,0,,,,,
player,201811010sfo,rai,CarrDe00,pass_rating,,,,,,
player,201811010sfo,rai,CarrDe00,rush_att,0,,,,,
player,201811010sfo,rai,CarrDe00,rush_yds,0,,,,,
player,201811010sfo,rai,CarrDe00,rush_td,0,,,,,
player,201811010sfo,rai,CarrDe00,rush_long,0,,,,,
player,201811010sfo,rai,CarrDe00,targets,2,,,,,
player,201811010sfo,rai,CarrDe00,rec,1,,,,,
player,201811010sfo,rai,CarrDe00,rec_yds,8,,,,,
player,201811010sfo,rai,CarrDe00,rec_td,0,,,,,
player,201811010sfo,rai,CarrDe00,rec_long,8,,,,,
player,201811010sfo,rai,CarrDe00,fumbles,0,,,,,
player,201811010sfo,rai,CarrDe00,fumbles_lost,0,,,,,
player,201811010sfo,sfo,MullNi00,pass_cmp,16,,,,,
player,201811010sfo,sfo,MullNi00,pass_att,22,,,,,
player,201811010sfo,sfo,MullNi00,pass_yds,262,,,,,
player,201811010sfo,sfo,MullNi00,pass_td,3,,,,,
player,201811010sfo,sfo,MullNi00,pass_int,0,,,,,
player,201811010sfo,sfo,MullNi00,pass_sacked,0,,,,,
player,201811010sfo,sfo,MullNi00,pass_sacked_yds,0,,,,,
player,201811010sfo,sfo,MullNi00,pass_long,71,,,,,
player,201811010sfo,sfo,MullNi00,pass_rating,151.9,,,,,
player,201811010sfo,sfo,MullNi00,rush_att,4,,,,,
player,201811010sfo,sfo,MullNi00,rush_yds,-3,,,,,
player,201811010sfo,sfo,MullNi00,rush_td,0,,,,,
player,201811010sfo,sfo,MullNi00,rush_long,0,,,,,
player,201811010sfo,sfo,MullNi00,targets,0,,,,,
player,201811010sfo,sfo,MullNi00,rec,0,,,,,
player,201811010sfo,sfo,MullNi00,rec_yds,0,,,,,
player,201811010sfo,sfo,MullNi00,rec_td,0,,,,,
player,201811010sfo,sfo,MullNi00,rec_long,0,,,,,
player,201811010sfo,sfo,MullNi00,fumbles,1,,,,,
player,201811010sfo,sfo,MullNi00,fumbles_lost,0,,,,,
player,201811010sfo,sfo,MostRa00,pass_cmp,0,,,,,
player,201811010sfo,sfo,MostRa00,pass_att,0,,,,,
player,201811010sfo,sfo,MostRa00,pass_yds,0,,,,,
player,201811010sfo,sfo,MostRa00,pass_td,0,,,,,
player,201811010sfo,sfo,MostRa00,pass_int,0,,,,,
player,201811010sfo,sfo,MostRa00,pass_sacked,0,,,,,
player,201811010sfo,sfo,MostRa00,pass_sacked_yds,0,,,,,
player,201811010sfo,sfo,MostRa00,pass_long,0,,,,,
player,201811010sfo,sfo,MostRa00,pass_rating,,,,,,
player,201811010sfo,sfo,MostRa00,rush_att,7,,,,,
player,201811010sfo,sfo,MostRa00,rush_yds,86,,,,,
player,201811010sfo,sfo,MostRa00,rush_td,1,,,,,
player,201811010sfo,sfo,MostRa00,rush_long,52,,,,,
player,201811010sfo,sfo,MostRa00,targets,0,,,,,
player,201811010sfo,sfo,MostRa00,rec,0,,,,,
player,201811010sfo,sfo,MostRa00,rec_yds,0,,,,,
player,201811010sfo,sfo,MostRa00,rec_td,0,,,,,
player,201811010sfo,sfo,MostRa00,rec_long,0,,,,,
player,201811010sfo,sfo,MostRa00,fumbles,0,,,,,
player,201811010sfo,sfo,MostRa00,fumbles_lost,0,,,,,
player,201811010sfo,sfo,BreiMa00,pass_cmp,0,,,,,
player,201811010sfo,sfo,BreiMa00,pass_att,0,,,,,
player,201811010sfo,sfo,BreiMa00,pass_yds,0,,,,,
player,201811010sfo,sfo,BreiMa00,pass_td,0,,,,,
player,201811010sfo,sfo,BreiMa00,pass_int,0,,,,,
player,201811010sfo,sfo,BreiMa00,pass_sacked,0,,,,,
player,201811010sfo,sfo,BreiMa00,pass_sacked_yds,0,,,,,
player,201811010sfo,sfo,BreiMa00,pass_long,0,,,,,
player,201811010sfo,sfo,BreiMa00,pass_rating,,,,,,
player,201811010sfo,sfo,BreiMa00,rush_att,12,,,,,
player,201811010sfo,sfo,BreiMa00,rush_yds,44,,,,,
player,201811010sfo,sfo,BreiMa00,rush_td,0,,,,,
player,201811010sfo,sfo,BreiMa00,rush_long,18,,,,,
player,201811010sfo,sfo,BreiMa00,targets,1,,,,,
player,201811010sfo,sfo,BreiMa00,rec,1,,,,,
player,201811010sfo,sfo,BreiMa00,rec_yds,3,,,,,
player,201811010sfo,sfo,BreiMa00,rec_td,0,,,,,
player,201811010sfo,sfo,BreiMa00,rec_long,3,,,,,
player,201811010sfo,sfo,BreiMa00,fumbles,0,,,,,
player,201811010sfo,sfo,BreiMa00,fumbles_lost,0,,,,,
player,201811010sfo,sfo,MorrAl00,pass_cmp,0,,,,,
player,201811010sfo,sfo,MorrAl00,pass_att,0,,,,,
player,201811010sfo,sfo,MorrAl00,pass_yds,0,,,,,
player,201811010sfo,sfo,MorrAl00,pass_td,0,,,,,
player,201811010sfo,sfo,MorrAl00,pass_int,0,,,,,
player,201811010sfo,sfo,MorrAl00,pass_sacked,0,,,,,
player,201811010sfo,sfo,MorrAl00,pass_sacked_yds,0,,,,,
player,201811010sfo,sfo,MorrAl00,pass_long,0,,,,,
player,201811010sfo,sfo,MorrAl00,pass_rating,,,,,,
player,201811010sfo,sfo,MorrAl00,rush_att,7,,,,,
player,201811010sfo,sfo,MorrAl00,rush_yds,13,,,,,
player,201811010sfo,sfo,MorrAl00,rush_td,0,,,,,
player,201811010sfo,sfo,MorrAl00,rush_long,11,,,,,
player,201811010sfo,sfo,MorrAl00,targets,0,,,,,
player,201811010sfo,sfo,MorrAl00,rec,0,,,,,
player,201811010sfo,sfo,MorrAl00,rec_yds,0,,,,,
player,201811010sfo,sfo,MorrAl00,rec_td,0,,,,,
player,201811010sfo,sfo,MorrAl00,rec_long,0,,,,,
player,201811010sfo,sfo,MorrAl00,fumbles,0,,,,,
player,201811010sfo,sfo,MorrAl00,fumbles_lost,0,,,,,
player,201811010sfo,sfo,GoodMa00,pass_cmp,0,,,,,
player,201811010sfo,sfo,GoodMa00,pass_att,0,,,,,
player,201811010sfo,sfo,GoodMa00,pass_yds,0,,,,,
player,201811010sfo,sfo,GoodMa00,pass_td,0,,,,,
player,201811010sfo,sfo,GoodMa00,pass_int,0,,,,,
player,201811010sfo,sfo,GoodMa00,pass_sacked,0,,,,,
player,201811010sfo,sfo,GoodMa00,pass_sacked_yds,0,,,,,
player,201811010sfo,sfo,GoodMa00,pass_long,0,,,,,
player,201811010sfo,sfo,GoodMa00,pass_rating,,,,,,
player,201811010sfo,sfo,GoodMa00,rush_att,1,,,,,
player,201811010sfo,sfo,GoodMa00,rush_yds,2,,,,,
player,201811010sfo,sfo,GoodMa00,rush_td,0,,,,,
player,201811010sfo,sfo,GoodMa00,rush_long,2,,,,,
player,201811010sfo,sfo,GoodMa00,targets,4,,,,,
player,201811010sfo,sfo,GoodMa00,rec,1,,,,,
player,201811010sfo,sfo,GoodMa00,rec_yds,11,,,,,
player,201811010sfo,sfo,GoodMa00,rec_td,0,,,,,
player,201811010sfo,sfo,GoodMa00,rec_long,11,,,,,
player,201811010sfo,sfo,GoodMa00,fumbles,0,,,,,
player,201811010sfo,sfo,GoodMa00,fumbles_lost,0,,,,,
player,201811010sfo,sfo,JuszKy00,pass_cmp,0,,,,,
player,201811010sfo,sfo,JuszKy00,pass_att,0,,,,,
player,201811010sfo,sfo,JuszKy00,pass_yds,0,,,,,
player,201811010sfo,sfo,JuszKy00,pass_td,0,,,,,
player,201811010sfo,sfo,JuszKy00,pass_int,0,,,,,
player,201811010sfo,sfo,JuszKy00,pass_sacked,0,,,,,
player,201811010sfo,sfo,JuszKy00,pass_sacked_yds,0,,,,,
player,201811010sfo,sfo,JuszKy00,pass_long,0,,,,,
player,201811010sfo,sfo,JuszKy00,pass_rating,,,,,,
player,201811010sfo,sfo,JuszKy00,rush_att,1,,,,,
player,201811010sfo,sfo,JuszKy00,rush_yds,1,,,,,
player,201811010sfo,sfo,JuszKy00,rush_td,0,,,,,
player,201811010sfo,sfo,JuszKy00,rush_long,1,,,,,
player,201811010sfo,sfo,JuszKy00,targets,2,,,,,
player,201811010sfo,sfo,JuszKy00,rec,2,,,,,
player,201811010sfo,sfo,JuszKy00,rec_yds,10,,,,,
player,201811010sfo,sfo,JuszKy00,rec_td,0,,,,,
player,201811010sfo,sfo,JuszKy00,rec_long,6,,,,,
player,201811010sfo,sfo,JuszKy00,fumbles,0,,,,,
player,201811010sfo,sfo,JuszKy00,fumbles_lost,0,,,,,
player,201811010sfo,sfo,KittGe00,pass_cmp,0,,,,,
player,201811010sfo,sfo,KittGe00,pass_att,0,,,,,
player,201811010sfo,sfo,KittGe00,pass_yds,0,,,,,
player,201811010sfo,sfo,KittGe00,pass_td,0,,,,,
player,201811010sfo,sfo,KittGe00,pass_int,0,,,,,
