game,2018,16,20181223,201812230crd,ram,"Los Angeles Rams",31,crd,"Arizona Cardinals",9
player,201812230crd,crd,SherTr00,pass_att,0,,,,,
player,201812230crd,crd,SherTr00,pass_yds,0,,,,,
player,201812230crd,crd,SherTr00,pass_td,0,,,,,
player,201812230crd,crd,SherTr00,pass_int,0,,,,,
player,201812230crd,crd,SherTr00,pass_sacked,0,,,,,
player,201812230crd,crd,SherTr00,pass_sacked_yds,0,,,,,
player,201812230crd,crd,SherTr00,pass_long,0,,,,,
player,201812230crd,crd,SherTr00,pass_rating,,,,,,
player,201812230crd,crd,SherTr00,rush_att,0,,,,,
player,201812230crd,crd,SherTr00,rush_yds,0,,,,,
player,201812230crd,crd,SherTr00,rush_td,0,,,,,
player,201812230crd,crd,SherTr00,rush_long,0,,,,,
player,201812230crd,crd,SherTr00,targets,6,,,,,
player,201812230crd,crd,SherTr00,rec,6,,,,,
player,201812230crd,crd,SherTr00,rec_yds,62,,,,,
player,201812230crd,crd,SherTr00,rec_td,0,,,,,
player,201812230crd,crd,SherTr00,rec_long,15,,,,,
player,201812230crd,crd,SherTr00,fumbles,0,,,,,
player,201812230crd,crd,SherTr00,fumbles_lost,0,,,,,
player,201812230crd,crd,TollJa00,pass_cmp,0,,,,,
player,201812230crd,crd,TollJa00,pass_att,0,,,,,
player,201812230crd,crd,TollJa00,pass_yds,0,,,,,
player,201812230crd,crd,TollJa00,pass_td,0,,,,,
player,201812230crd,crd,TollJa00,pass_int,0,,,,,
player,201812230crd,crd,TollJa00,pass_sacked,0,,,,,
player,201812230crd,crd,TollJa00,pass_sacked_yds,0,,,,,
player,201812230crd,crd,TollJa00,pass_long,0,,,,,
player,201812230crd,crd,TollJa00,pass_rating,,,,,,
player,201812230crd,crd,TollJa00,rush_att,0,,,,,
player,201812230crd,crd,TollJa00,rush_yds,0,,,,,
player,201812230crd,crd,TollJa00,rush_td,0,,,,,
player,201812230crd,crd,TollJa00,rush_long,0,,,,,
player,201812230crd,crd,TollJa00,targets,3,,,,,
player,201812230crd,crd,TollJa00,rec,1,,,,,
player,201812230crd,crd,TollJa00,rec_yds,15,,,,,
player,201812230crd,crd,TollJa00,rec_td,0,,,,,
player,201812230crd,crd,TollJa00,rec_long,15,,,,,
player,201812230crd,crd,TollJa00,fumbles,0,,,,,
player,201812230crd,crd,TollJa00,fumbles_lost,0,,,,,
player,201812230crd,crd,PhilJo00,pass_cmp,0,,,,,
player,201812230crd,crd,PhilJo00,pass_att,0,,,,,
player,201812230crd,crd,PhilJo00,pass_yds,0,,,,,
player,201812230crd,crd,PhilJo00,pass_td,0,,,,,
player,201812230crd,crd,PhilJo00,pass_int,0,,,,,
player,201812230crd,crd,PhilJo00,pass_sacked,0,,,,,
player,201812230crd,crd,PhilJo00,pass_sacked_yds,0,,,,,
player,201812230crd,crd,PhilJo00,pass_long,0,,,,,
player,201812230crd,crd,PhilJo00,pass_rating,,,,,,
player,201812230crd,crd,PhilJo00,rush_att,0,,,,,
player,201812230crd,crd,PhilJo00,rush_yds,0,,,,,
player,201812230crd,crd,PhilJo00,rush_td,0,,,,,
player,201812230crd,crd,PhilJo00,rush_long,0,,,,,
player,201812230crd,crd,PhilJo00,targets,1,,,,,
player,201812230crd,crd,PhilJo00,rec,1,,,,,
player,201812230crd,crd,PhilJo00,rec_yds,9,,,,,
player,201812230crd,crd,PhilJo00,rec_td,0,,,,,
player,201812230crd,crd,PhilJo00,rec_long,9,,,,,
player,201812230crd,crd,PhilJo00,fumbles,0,,,,,
player,201812230crd,crd,PhilJo00,fumbles_lost,0,,,,,
player,201812230crd,crd,WillCh05,pass_cmp,0,,,,,
player,201812230crd,crd,WillCh05,pass_att,0,,,,,
player,201812230crd,crd,WillCh05,pass_yds,0,,,,,
player,201812230crd,crd,WillCh05,pass_td,0,,,,,
player,201812230crd,crd,WillCh05,pass_int,0,,,,,
player,201812230crd,crd,WillCh05,pass_sacked,0,,,,,
player,201812230crd,crd,WillCh05,pass_sacked_yds,0,,,,,
player,201812230crd,crd,WillCh05,pass_long,0,,,,,
player,201812230crd,crd,WillCh05,pass_rating,,,,,,
player,201812230crd,crd,WillCh05,rush_att,0,,,,,
player,201812230crd,crd,WillCh05,rush_yds,0,,,,,
player,201812230crd,crd,WillCh05,rush_td,0,,,,,
player,201812230crd,crd,WillCh05,rush_long,0,,,,,
player,201812230crd,crd,WillCh05,targets,4,,,,,
player,201812230crd,crd,WillCh05,rec,1,,,,,
player,201812230crd,crd,WillCh05,rec_yds,7,,,,,
player,201812230crd,crd,WillCh05,rec_td,0,,,,,
player,201812230crd,crd,WillCh05,rec_long,7,,,,,
player,201812230crd,crd,WillCh05,fumbles,0,,,,,
player,201812230crd,crd,WillCh05,fumbles_lost,0,,,,,
player,201812230crd,crd,SealRi00,pass_cmp,0,,,,,
player,201812230crd,crd,SealRi00,pass_att,0,,,,,
player,201812230crd,crd,SealRi00,pass_yds,0,,,,,
player,201812230crd,crd,SealRi00,pass_td,0,,,,,
player,201812230crd,crd,SealRi00,pass_int,0,,,,,
player,201812230crd,crd,SealRi00,pass_sacked,0,,,,,
player,201812230crd,crd,SealRi00,pass_sacked_yds,0,,,,,
player,201812230crd,crd,SealRi00,pass_long,0,,,,,
player,201812230crd,crd,SealRi00,pass_rating,,,,,,
