game,2018,4,20180927,201809270ram,min,"Minnesota Vikings",31,ram,"Los Angeles Rams",38
player,201809270ram,min,RobiAl00,rec_long,17,,,,,
player,201809270ram,min,RobiAl00,fumbles,0,,,,,
player,201809270ram,min,RobiAl00,fumbles_lost,0,,,,,
player,201809270ram,min,HamxC.00,pass_cmp,0,,,,,
player,201809270ram,min,HamxC.00,pass_att,0,,,,,
player,201809270ram,min,HamxC.00,pass_yds,0,,,,,
player,201809270ram,min,HamxC.00,pass_td,0,,,,,
player,201809270ram,min,HamxC.00,pass_int,0,,,,,
player,201809270ram,min,HamxC.00,pass_sacked,0,,,,,
player,201809270ram,min,HamxC.00,pass_sacked_yds,0,,,,,
player,201809270ram,min,HamxC.00,pass_long,0,,,,,
player,201809270ram,min,HamxC.00,pass_rating,,,,,,
player,201809270ram,min,HamxC.00,rush_att,0,,,,,
player,201809270ram,min,HamxC.00,rush_yds,0,,,,,
player,201809270ram,min,HamxC.00,rush_td,0,,,,,
player,201809270ram,min,HamxC.00,rush_long,0,,,,,
player,201809270ram,min,HamxC.00,targets,2,,,,,
player,201809270ram,min,HamxC.00,rec,2,,,,,
player,201809270ram,min,HamxC.00,rec_yds,7,,,,,
player,201809270ram,min,HamxC.00,rec_td,0,,,,,
player,201809270ram,min,HamxC.00,rec_long,6,,,,,
player,201809270ram,min,HamxC.00,fumbles,0,,,,,
player,201809270ram,min,HamxC.00,fumbles_lost,0,,,,,
player,201809270ram,min,MorgDa01,pass_cmp,0,,,,,
player,201809270ram,min,MorgDa01,pass_att,0,,,,,
player,201809270ram,min,MorgDa01,pass_yds,0,,,,,
player,201809270ram,min,MorgDa01,pass_td,0,,,,,
player,201809270ram,min,MorgDa01,pass_int,0,,,,,
player,201809270ram,min,MorgDa01,pass_sacked,0,,,,,
player,201809270ram,min,MorgDa01,pass_sacked_yds,0,,,,,
player,201809270ram,min,MorgDa01,pass_long,0,,,,,
player,201809270ram,min,MorgDa01,pass_rating,,,,,,
player,201809270ram,min,MorgDa01,rush_att,0,,,,,
player,201809270ram,min,MorgDa01,rush_yds,0,,,,,
player,201809270ram,min,MorgDa01,rush_td,0,,,,,
player,201809270ram,min,MorgDa01,rush_long,0,,,,,
player,201809270ram,min,MorgDa01,targets,1,,,,,
player,201809270ram,min,MorgDa01,rec,1,,,,,
player,201809270ram,min,MorgDa01,rec_yds,3,,,,,
player,201809270ram,min,MorgDa01,rec_td,0,,,,,
player,201809270ram,min,MorgDa01,rec_long,3,,,,,
player,201809270ram,min,MorgDa01,fumbles,0,,,,,
player,201809270ram,min,MorgDa01,fumbles_lost,0,,,,,
player,201809270ram,min,BoonMi00,pass_cmp,0,,,,,
player,201809270ram,min,BoonMi00,pass_att,0,,,,,
player,201809270ram,min,BoonMi00,pass_yds,0,,,,,
player,201809270ram,min,BoonMi00,pass_td,0,,,,,
player,201809270ram,min,BoonMi00,pass_int,0,,,,,
player,201809270ram,min,BoonMi00,pass_sacked,0,,,,,
player,201809270ram,min,BoonMi00,pass_sacked_yds,0,,,,,
player,201809270ram,min,BoonMi00,pass_long,0,,,,,
player,201809270ram,min,BoonMi00,pass_rating,,,,,,
player,201809270ram,min,BoonMi00,rush_att,0,,,,,
player,201809270ram,min,BoonMi00,rush_yds,0,,,,,
player,201809270ram,min,BoonMi00,rush_td,0,,,,,
player,201809270ram,min,BoonMi00,rush_long,0,,,,,
player,201809270ram,min,BoonMi00,targets,1,,,,,
player,201809270ram,min,BoonMi00,rec,1,,,,,
player,201809270ram,min,BoonMi00,rec_yds,1,,,,,
player,201809270ram,min,BoonMi00,rec_td,0,,,,,
player,201809270ram,min,BoonMi00,rec_long,1,,,,,
player,201809270ram,min,BoonMi00,fumbles,0,,,,,
player,201809270ram,min,BoonMi00,fumbles_lost,0,,,,,
player,201809270ram,ram,GoffJa00,pass_cmp,26,,,,,
player,201809270ram,ram,GoffJa00,pass_att,33,,,,,
player,201809270ram,ram,GoffJa00,pass_yds,465,,,,,
player,201809270ram,ram,GoffJa00,pass_td,5,,,,,
player,201809270ram,ram,GoffJa00,pass_int,0,,,,,
player,201809270ram,ram,GoffJa00,pass_sacked,1,,,,,
player,201809270ram,ram,GoffJa00,pass_sacked_yds,9,,,,,
player,201809270ram,ram,GoffJa00,pass_long,70,,,,,
player,201809270ram,ram,GoffJa00,pass_rating,158.3,,,,,
player,201809270ram,ram,GoffJa00,rush_att,2,,,,,
player,201809270ram,ram,GoffJa00,rush_yds,7,,,,,
player,201809270ram,ram,GoffJa00,rush_td,0,,,,,
player,201809270ram,ram,GoffJa00,rush_long,8,,,,,
player,201809270ram,ram,GoffJa00,targets,0,,,,,
player,201809270ram,ram,GoffJa00,rec,0,,,,,
player,201809270ram,ram,GoffJa00,rec_yds,0,,,,,
player,201809270ram,ram,GoffJa00,rec_td,0,,,,,
player,201809270ram,ram,GoffJa00,rec_long,0,,,,,
player,201809270ram,ram,GoffJa00,fumbles,0,,,,,
player,201809270ram,ram,GoffJa00,fumbles_lost,0,,,,,
player,201809270ram,ram,HekkJo00,pass_cmp,0,,,,,
player,201809270ram,ram,HekkJo00,pass_att,1,,,,,
player,201809270ram,ram,HekkJo00,pass_yds,0,,,,,
player,201809270ram,ram,HekkJo00,pass_td,0,,,,,
player,201809270ram,ram,HekkJo00,pass_int,0,,,,,
player,201809270ram,ram,HekkJo00,pass_sacked,0,,,,,
player,201809270ram,ram,HekkJo00,pass_sacked_yds,0,,,,,
player,201809270ram,ram,HekkJo00,pass_long,0,,,,,
player,201809270ram,ram,HekkJo00,pass_rating,39.6,,,,,
player,201809270ram,ram,HekkJo00,rush_att,0,,,,,
player,201809270ram,ram,HekkJo00,rush_yds,0,,,,,
player,201809270ram,ram,HekkJo00,rush_td,0,,,,,
player,201809270ram,ram,HekkJo00,rush_long,0,,,,,
player,201809270ram,ram,HekkJo00,targets,0,,,,,
player,201809270ram,ram,HekkJo00,rec,0,,,,,
player,201809270ram,ram,HekkJo00,rec_yds,0,,,,,
player,201809270ram,ram,HekkJo00,rec_td,0,,,,,
player,201809270ram,ram,HekkJo00,rec_long,0,,,,,
player,201809270ram,ram,HekkJo00,fumbles,0,,,,,
player,201809270ram,ram,HekkJo00,fumbles_lost,0,,,,,
player,201809270ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201809270ram,ram,GurlTo01,pass_att,0,,,,,
player,201809270ram,ram,GurlTo01,pass_yds,0,,,,,
player,201809270ram,ram,GurlTo01,pass_td,0,,,,,
player,201809270ram,ram,GurlTo01,pass_int,0,,,,,
player,201809270ram,ram,GurlTo01,pass_sacked,0,,,,,
player,201809270ram,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201809270ram,ram,GurlTo01,pass_long,0,,,,,
player,201809270ram,ram,GurlTo01,pass_rating,,,,,,
player,201809270ram,ram,GurlTo01,rush_att,17,,,,,
player,201809270ram,ram,GurlTo01,rush_yds,83,,,,,
player,201809270ram,ram,GurlTo01,rush_td,0,,,,,
player,201809270ram,ram,GurlTo01,rush_long,10,,,,,
player,201809270ram,ram,GurlTo01,targets,6,,,,,
player,201809270ram,ram,GurlTo01,rec,4,,,,,
player,201809270ram,ram,GurlTo01,rec_yds,73,,,,,
player,201809270ram,ram,GurlTo01,rec_td,1,,,,,
player,201809270ram,ram,GurlTo01,rec_long,56,,,,,
player,201809270ram,ram,GurlTo01,fumbles,0,,,,,
player,201809270ram,ram,GurlTo01,fumbles_lost,0,,,,,
player,201809270ram,ram,CookBr00,pass_cmp,0,,,,,
player,201809270ram,ram,CookBr00,pass_att,0,,,,,
player,201809270ram,ram,CookBr00,pass_yds,0,,,,,
player,201809270ram,ram,CookBr00,pass_td,0,,,,,
player,201809270ram,ram,CookBr00,pass_int,0,,,,,
player,201809270ram,ram,CookBr00,pass_sacked,0,,,,,
player,201809270ram,ram,CookBr00,pass_sacked_yds,0,,,,,
player,201809270ram,ram,CookBr00,pass_long,0,,,,,
player,201809270ram,ram,CookBr00,pass_rating,,,,,,
player,201809270ram,ram,CookBr00,rush_att,1,,,,,
player,201809270ram,ram,CookBr00,rush_yds,10,,,,,
player,201809270ram,ram,CookBr00,rush_td,0,,,,,
player,201809270ram,ram,CookBr00,rush_long,10,,,,,
player,201809270ram,ram,CookBr00,targets,8,,,,,
player,201809270ram,ram,CookBr00,rec,7,,,,,
player,201809270ram,ram,CookBr00,rec_yds,116,,,,,
player,201809270ram,ram,CookBr00,rec_td,1,,,,,
player,201809270ram,ram,CookBr00,rec_long,47,,,,,
player,201809270ram,ram,CookBr00,fumbles,1,,,,,
player,201809270ram,ram,CookBr00,fumbles_lost,0,,,,,
player,201809270ram,ram,KuppCo00,pass_cmp,0,,,,,
player,201809270ram,ram,KuppCo00,pass_att,0,,,,,
player,201809270ram,ram,KuppCo00,pass_yds,0,,,,,
player,201809270ram,ram,KuppCo00,pass_td,0,,,,,
player,201809270ram,ram,KuppCo00,pass_int,0,,,,,
player,201809270ram,ram,KuppCo00,pass_sacked,0,,,,,
player,201809270ram,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201809270ram,ram,KuppCo00,pass_long,0,,,,,
player,201809270ram,ram,KuppCo00,pass_rating,,,,,,
player,201809270ram,ram,KuppCo00,rush_att,0,,,,,
player,201809270ram,ram,KuppCo00,rush_yds,0,,,,,
player,201809270ram,ram,KuppCo00,rush_td,0,,,,,
player,201809270ram,ram,KuppCo00,rush_long,0,,,,,
player,201809270ram,ram,KuppCo00,targets,11,,,,,
player,201809270ram,ram,KuppCo00,rec,9,,,,,
player,201809270ram,ram,KuppCo00,rec_yds,162,,,,,
player,201809270ram,ram,KuppCo00,rec_td,2,,,,,
player,201809270ram,ram,KuppCo00,rec_long,70,,,,,
player,201809270ram,ram,KuppCo00,fumbles,0,,,,,
player,201809270ram,ram,KuppCo00,fumbles_lost,0,,,,,
player,201809270ram,ram,WoodRo02,pass_cmp,0,,,,,
player,201809270ram,ram,WoodRo02,pass_att,0,,,,,
player,201809270ram,ram,WoodRo02,pass_yds,0,,,,,
player,201809270ram,ram,WoodRo02,pass_td,0,,,,,
player,201809270ram,ram,WoodRo02,pass_int,0,,,,,
player,201809270ram,ram,WoodRo02,pass_sacked,0,,,,,
player,201809270ram,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201809270ram,ram,WoodRo02,pass_long,0,,,,,
player,201809270ram,ram,WoodRo02,pass_rating,,,,,,
player,201809270ram,ram,WoodRo02,rush_att,0,,,,,
player,201809270ram,ram,WoodRo02,rush_yds,0,,,,,
player,201809270ram,ram,WoodRo02,rush_td,0,,,,,
player,201809270ram,ram,WoodRo02,rush_long,0,,,,,
player,201809270ram,ram,WoodRo02,targets,5,,,,,
player,201809270ram,ram,WoodRo02,rec,5,,,,,
player,201809270ram,ram,WoodRo02,rec_yds,101,,,,,
player,201809270ram,ram,WoodRo02,rec_td,1,,,,,
player,201809270ram,ram,WoodRo02,rec_long,36,,,,,
player,201809270ram,ram,WoodRo02,fumbles,0,,,,,
player,201809270ram,ram,WoodRo02,fumbles_lost,0,,,,,
player,201809270ram,ram,EverGe00,pass_cmp,0,,,,,
player,201809270ram,ram,EverGe00,pass_att,0,,,,,
player,201809270ram,ram,EverGe00,pass_yds,0,,,,,
player,201809270ram,ram,EverGe00,pass_td,0,,,,,
player,201809270ram,ram,EverGe00,pass_int,0,,,,,
player,201809270ram,ram,EverGe00,pass_sacked,0,,,,,
player,201809270ram,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201809270ram,ram,EverGe00,pass_long,0,,,,,
player,201809270ram,ram,EverGe00,pass_rating,,,,,,
player,201809270ram,ram,EverGe00,rush_att,0,,,,,
player,201809270ram,ram,EverGe00,rush_yds,0,,,,,
player,201809270ram,ram,EverGe00,rush_td,0,,,,,
player,201809270ram,ram,EverGe00,rush_long,0,,,,,
player,201809270ram,ram,EverGe00,targets,1,,,,,
player,201809270ram,ram,EverGe00,rec,1,,,,,
player,201809270ram,ram,EverGe00,rec_yds,13,,,,,
player,201809270ram,ram,EverGe00,rec_td,0,,,,,
player,201809270ram,ram,EverGe00,rec_long,13,,,,,
player,201809270ram,ram,EverGe00,fumbles,0,,,,,
player,201809270ram,ram,EverGe00,fumbles_lost,0,,,,,
player,201809270ram,ram,ReynJo00,pass_cmp,0,,,,,
player,201809270ram,ram,ReynJo00,pass_att,0,,,,,
player,201809270ram,ram,ReynJo00,pass_yds,0,,,,,
player,201809270ram,ram,ReynJo00,pass_td,0,,,,,
player,201809270ram,ram,ReynJo00,pass_int,0,,,,,
player,201809270ram,ram,ReynJo00,pass_sacked,0,,,,,
player,201809270ram,ram,ReynJo00,pass_sacked_yds,0,,,,,
player,201809270ram,ram,ReynJo00,pass_long,0,,,,,
player,201809270ram,ram,ReynJo00,pass_rating,,,,,,
player,201809270ram,ram,ReynJo00,rush_att,0,,,,,
player,201809270ram,ram,ReynJo00,rush_yds,0,,,,,
player,201809270ram,ram,ReynJo00,rush_td,0,,,,,
player,201809270ram,ram,ReynJo00,rush_long,0,,,,,
player,201809270ram,ram,ReynJo00,targets,1,,,,,
player,201809270ram,ram,ReynJo00,rec,0,,,,,
player,201809270ram,ram,ReynJo00,rec_yds,0,,,,,
player,201809270ram,ram,ReynJo00,rec_td,0,,,,,
player,201809270ram,ram,ReynJo00,rec_long,0,,,,,
player,201809270ram,ram,ReynJo00,fumbles,0,,,,,
player,201809270ram,ram,ReynJo00,fumbles_lost,0,,,,,
player,201809270ram,ram,HigbTy00,pass_cmp,0,,,,,
player,201809270ram,ram,HigbTy00,pass_att,0,,,,,
player,201809270ram,ram,HigbTy00,pass_yds,0,,,,,
player,201809270ram,ram,HigbTy00,pass_td,0,,,,,
player,201809270ram,ram,HigbTy00,pass_int,0,,,,,
player,201809270ram,ram,HigbTy00,pass_sacked,0,,,,,
player,201809270ram,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201809270ram,ram,HigbTy00,pass_long,0,,,,,
player,201809270ram,ram,HigbTy00,pass_rating,,,,,,
player,201809270ram,ram,HigbTy00,rush_att,0,,,,,
player,201809270ram,ram,HigbTy00,rush_yds,0,,,,,
player,201809270ram,ram,HigbTy00,rush_td,0,,,,,
player,201809270ram,ram,HigbTy00,rush_long,0,,,,,
player,201809270ram,ram,HigbTy00,targets,1,,,,,
player,201809270ram,ram,HigbTy00,rec,0,,,,,
player,201809270ram,ram,HigbTy00,rec_yds,0,,,,,
player,201809270ram,ram,HigbTy00,rec_td,0,,,,,
player,201809270ram,ram,HigbTy00,rec_long,0,,,,,
player,201809270ram,ram,HigbTy00,fumbles,0,,,,,
player,201809270ram,ram,HigbTy00,fumbles_lost,0,,,,,
player,201809270ram,min,HuntDa01,def_int,0,,,,,
player,201809270ram,min,HuntDa01,def_int_yds,0,,,,,
player,201809270ram,min,HuntDa01,def_int_td,0,,,,,
player,201809270ram,min,HuntDa01,def_int_long,0,,,,,
player,201809270ram,min,HuntDa01,pass_defended,0,,,,,
player,201809270ram,min,HuntDa01,sacks,1.0,,,,,
player,201809270ram,min,HuntDa01,tackles_combined,6,,,,,
player,201809270ram,min,HuntDa01,tackles_solo,3,,,,,
player,201809270ram,min,HuntDa01,tackles_assists,3,,,,,
player,201809270ram,min,HuntDa01,tackles_loss,1,,,,,
player,201809270ram,min,HuntDa01,qb_hits,1,,,,,
player,201809270ram,min,HuntDa01,fumbles_rec,0,,,,,
player,201809270ram,min,HuntDa01,fumbles_rec_yds,0,,,,,
player,201809270ram,min,HuntDa01,fumbles_rec_td,0,,,,,
player,201809270ram,min,HuntDa01,fumbles_forced,0,,,,,
player,201809270ram,min,HughMi00,def_int,0,,,,,
player,201809270ram,min,HughMi00,def_int_yds,0,,,,,
player,201809270ram,min,HughMi00,def_int_td,0,,,,,
player,201809270ram,min,HughMi00,def_int_long,0,,,,,
player,201809270ram,min,HughMi00,pass_defended,0,,,,,
player,201809270ram,min,HughMi00,sacks,0.0,,,,,
player,201809270ram,min,HughMi00,tackles_combined,8,,,,,
