game,2018,7,20181021,201810210sdg,oti,"Tennessee Titans",19,sdg,"Los Angeles Chargers",20
player,201810210sdg,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201810210sdg,oti,HenrDe00,pass_long,0,,,,,
player,201810210sdg,oti,HenrDe00,pass_rating,,,,,,
player,201810210sdg,oti,HenrDe00,rush_att,12,,,,,
player,201810210sdg,oti,HenrDe00,rush_yds,33,,,,,
player,201810210sdg,oti,HenrDe00,rush_td,1,,,,,
player,201810210sdg,oti,HenrDe00,rush_long,7,,,,,
player,201810210sdg,oti,HenrDe00,targets,2,,,,,
player,201810210sdg,oti,HenrDe00,rec,2,,,,,
player,201810210sdg,oti,HenrDe00,rec_yds,32,,,,,
player,201810210sdg,oti,HenrDe00,rec_td,0,,,,,
player,201810210sdg,oti,HenrDe00,rec_long,21,,,,,
player,201810210sdg,oti,HenrDe00,fumbles,0,,,,,
player,201810210sdg,oti,HenrDe00,fumbles_lost,0,,,,,
player,201810210sdg,oti,FlueDa00,pass_cmp,0,,,,,
player,201810210sdg,oti,FlueDa00,pass_att,0,,,,,
player,201810210sdg,oti,FlueDa00,pass_yds,0,,,,,
player,201810210sdg,oti,FlueDa00,pass_td,0,,,,,
player,201810210sdg,oti,FlueDa00,pass_int,0,,,,,
player,201810210sdg,oti,FlueDa00,pass_sacked,0,,,,,
player,201810210sdg,oti,FlueDa00,pass_sacked_yds,0,,,,,
player,201810210sdg,oti,FlueDa00,pass_long,0,,,,,
player,201810210sdg,oti,FlueDa00,pass_rating,,,,,,
player,201810210sdg,oti,FlueDa00,rush_att,1,,,,,
player,201810210sdg,oti,FlueDa00,rush_yds,2,,,,,
player,201810210sdg,oti,FlueDa00,rush_td,0,,,,,
player,201810210sdg,oti,FlueDa00,rush_long,2,,,,,
player,201810210sdg,oti,FlueDa00,targets,0,,,,,
player,201810210sdg,oti,FlueDa00,rec,0,,,,,
player,201810210sdg,oti,FlueDa00,rec_yds,0,,,,,
player,201810210sdg,oti,FlueDa00,rec_td,0,,,,,
player,201810210sdg,oti,FlueDa00,rec_long,0,,,,,
player,201810210sdg,oti,FlueDa00,fumbles,0,,,,,
player,201810210sdg,oti,FlueDa00,fumbles_lost,0,,,,,
player,201810210sdg,oti,SharTa00,pass_cmp,0,,,,,
player,201810210sdg,oti,SharTa00,pass_att,0,,,,,
player,201810210sdg,oti,SharTa00,pass_yds,0,,,,,
player,201810210sdg,oti,SharTa00,pass_td,0,,,,,
player,201810210sdg,oti,SharTa00,pass_int,0,,,,,
player,201810210sdg,oti,SharTa00,pass_sacked,0,,,,,
player,201810210sdg,oti,SharTa00,pass_sacked_yds,0,,,,,
player,201810210sdg,oti,SharTa00,pass_long,0,,,,,
player,201810210sdg,oti,SharTa00,pass_rating,,,,,,
player,201810210sdg,oti,SharTa00,rush_att,0,,,,,
player,201810210sdg,oti,SharTa00,rush_yds,0,,,,,
player,201810210sdg,oti,SharTa00,rush_td,0,,,,,
player,201810210sdg,oti,SharTa00,rush_long,0,,,,,
player,201810210sdg,oti,SharTa00,targets,9,,,,,
player,201810210sdg,oti,SharTa00,rec,7,,,,,
player,201810210sdg,oti,SharTa00,rec_yds,101,,,,,
player,201810210sdg,oti,SharTa00,rec_td,0,,,,,
player,201810210sdg,oti,SharTa00,rec_long,19,,,,,
player,201810210sdg,oti,SharTa00,fumbles,0,,,,,
player,201810210sdg,oti,SharTa00,fumbles_lost,0,,,,,
player,201810210sdg,oti,SmitJo01,pass_cmp,0,,,,,
player,201810210sdg,oti,SmitJo01,pass_att,0,,,,,
player,201810210sdg,oti,SmitJo01,pass_yds,0,,,,,
player,201810210sdg,oti,SmitJo01,pass_td,0,,,,,
player,201810210sdg,oti,SmitJo01,pass_int,0,,,,,
player,201810210sdg,oti,SmitJo01,pass_sacked,0,,,,,
player,201810210sdg,oti,SmitJo01,pass_sacked_yds,0,,,,,
player,201810210sdg,oti,SmitJo01,pass_long,0,,,,,
player,201810210sdg,oti,SmitJo01,pass_rating,,,,,,
player,201810210sdg,oti,SmitJo01,rush_att,0,,,,,
player,201810210sdg,oti,SmitJo01,rush_yds,0,,,,,
player,201810210sdg,oti,SmitJo01,rush_td,0,,,,,
player,201810210sdg,oti,SmitJo01,rush_long,0,,,,,
player,201810210sdg,oti,SmitJo01,targets,3,,,,,
player,201810210sdg,oti,SmitJo01,rec,2,,,,,
player,201810210sdg,oti,SmitJo01,rec_yds,11,,,,,
player,201810210sdg,oti,SmitJo01,rec_td,0,,,,,
player,201810210sdg,oti,SmitJo01,rec_long,8,,,,,
player,201810210sdg,oti,SmitJo01,fumbles,0,,,,,
player,201810210sdg,oti,SmitJo01,fumbles_lost,0,,,,,
player,201810210sdg,oti,StocLu00,pass_cmp,0,,,,,
player,201810210sdg,oti,StocLu00,pass_att,0,,,,,
player,201810210sdg,oti,StocLu00,pass_yds,0,,,,,
player,201810210sdg,oti,StocLu00,pass_td,0,,,,,
player,201810210sdg,oti,StocLu00,pass_int,0,,,,,
player,201810210sdg,oti,StocLu00,pass_sacked,0,,,,,
player,201810210sdg,oti,StocLu00,pass_sacked_yds,0,,,,,
player,201810210sdg,oti,StocLu00,pass_long,0,,,,,
player,201810210sdg,oti,StocLu00,pass_rating,,,,,,
player,201810210sdg,oti,StocLu00,rush_att,0,,,,,
player,201810210sdg,oti,StocLu00,rush_yds,0,,,,,
player,201810210sdg,oti,StocLu00,rush_td,0,,,,,
player,201810210sdg,oti,StocLu00,rush_long,0,,,,,
player,201810210sdg,oti,StocLu00,targets,2,,,,,
player,201810210sdg,oti,StocLu00,rec,2,,,,,
player,201810210sdg,oti,StocLu00,rec_yds,11,,,,,
player,201810210sdg,oti,StocLu00,rec_td,1,,,,,
player,201810210sdg,oti,StocLu00,rec_long,10,,,,,
player,201810210sdg,oti,StocLu00,fumbles,0,,,,,
player,201810210sdg,oti,StocLu00,fumbles_lost,0,,,,,
player,201810210sdg,oti,DaviCo03,pass_cmp,0,,,,,
player,201810210sdg,oti,DaviCo03,pass_att,0,,,,,
player,201810210sdg,oti,DaviCo03,pass_yds,0,,,,,
player,201810210sdg,oti,DaviCo03,pass_td,0,,,,,
player,201810210sdg,oti,DaviCo03,pass_int,0,,,,,
player,201810210sdg,oti,DaviCo03,pass_sacked,0,,,,,
player,201810210sdg,oti,DaviCo03,pass_sacked_yds,0,,,,,
player,201810210sdg,oti,DaviCo03,pass_long,0,,,,,
player,201810210sdg,oti,DaviCo03,pass_rating,,,,,,
player,201810210sdg,oti,DaviCo03,rush_att,0,,,,,
player,201810210sdg,oti,DaviCo03,rush_yds,0,,,,,
player,201810210sdg,oti,DaviCo03,rush_td,0,,,,,
player,201810210sdg,oti,DaviCo03,rush_long,0,,,,,
player,201810210sdg,oti,DaviCo03,targets,7,,,,,
player,201810210sdg,oti,DaviCo03,rec,3,,,,,
player,201810210sdg,oti,DaviCo03,rec_yds,10,,,,,
player,201810210sdg,oti,DaviCo03,rec_td,0,,,,,
player,201810210sdg,oti,DaviCo03,rec_long,5,,,,,
player,201810210sdg,oti,DaviCo03,fumbles,0,,,,,
player,201810210sdg,oti,DaviCo03,fumbles_lost,0,,,,,
player,201810210sdg,oti,TaylTa00,pass_cmp,0,,,,,
player,201810210sdg,oti,TaylTa00,pass_att,0,,,,,
player,201810210sdg,oti,TaylTa00,pass_yds,0,,,,,
player,201810210sdg,oti,TaylTa00,pass_td,0,,,,,
player,201810210sdg,oti,TaylTa00,pass_int,0,,,,,
player,201810210sdg,oti,TaylTa00,pass_sacked,0,,,,,
player,201810210sdg,oti,TaylTa00,pass_sacked_yds,0,,,,,
player,201810210sdg,oti,TaylTa00,pass_long,0,,,,,
player,201810210sdg,oti,TaylTa00,pass_rating,,,,,,
player,201810210sdg,oti,TaylTa00,rush_att,0,,,,,
player,201810210sdg,oti,TaylTa00,rush_yds,0,,,,,
player,201810210sdg,oti,TaylTa00,rush_td,0,,,,,
player,201810210sdg,oti,TaylTa00,rush_long,0,,,,,
player,201810210sdg,oti,TaylTa00,targets,2,,,,,
player,201810210sdg,oti,TaylTa00,rec,1,,,,,
player,201810210sdg,oti,TaylTa00,rec_yds,8,,,,,
player,201810210sdg,oti,TaylTa00,rec_td,0,,,,,
player,201810210sdg,oti,TaylTa00,rec_long,8,,,,,
player,201810210sdg,oti,TaylTa00,fumbles,0,,,,,
player,201810210sdg,oti,TaylTa00,fumbles_lost,0,,,,,
player,201810210sdg,oti,BatsCa00,pass_cmp,0,,,,,
player,201810210sdg,oti,BatsCa00,pass_att,0,,,,,
player,201810210sdg,oti,BatsCa00,pass_yds,0,,,,,
player,201810210sdg,oti,BatsCa00,pass_td,0,,,,,
player,201810210sdg,oti,BatsCa00,pass_int,0,,,,,
player,201810210sdg,oti,BatsCa00,pass_sacked,0,,,,,
player,201810210sdg,oti,BatsCa00,pass_sacked_yds,0,,,,,
player,201810210sdg,oti,BatsCa00,pass_long,0,,,,,
player,201810210sdg,oti,BatsCa00,pass_rating,,,,,,
player,201810210sdg,oti,BatsCa00,rush_att,0,,,,,
player,201810210sdg,oti,BatsCa00,rush_yds,0,,,,,
player,201810210sdg,oti,BatsCa00,rush_td,0,,,,,
player,201810210sdg,oti,BatsCa00,rush_long,0,,,,,
player,201810210sdg,oti,BatsCa00,targets,1,,,,,
player,201810210sdg,oti,BatsCa00,rec,1,,,,,
player,201810210sdg,oti,BatsCa00,rec_yds,0,,,,,
player,201810210sdg,oti,BatsCa00,rec_td,0,,,,,
player,201810210sdg,oti,BatsCa00,rec_long,0,,,,,
player,201810210sdg,oti,BatsCa00,fumbles,0,,,,,
player,201810210sdg,oti,BatsCa00,fumbles_lost,0,,,,,
player,201810210sdg,sdg,RivePh00,pass_cmp,19,,,,,
player,201810210sdg,sdg,RivePh00,pass_att,26,,,,,
player,201810210sdg,sdg,RivePh00,pass_yds,306,,,,,
player,201810210sdg,sdg,RivePh00,pass_td,2,,,,,
player,201810210sdg,sdg,RivePh00,pass_int,0,,,,,
player,201810210sdg,sdg,RivePh00,pass_sacked,2,,,,,
player,201810210sdg,sdg,RivePh00,pass_sacked_yds,9,,,,,
player,201810210sdg,sdg,RivePh00,pass_long,75,,,,,
player,201810210sdg,sdg,RivePh00,pass_rating,137.7,,,,,
player,201810210sdg,sdg,RivePh00,rush_att,1,,,,,
player,201810210sdg,sdg,RivePh00,rush_yds,-1,,,,,
player,201810210sdg,sdg,RivePh00,rush_td,0,,,,,
player,201810210sdg,sdg,RivePh00,rush_long,-1,,,,,
player,201810210sdg,sdg,RivePh00,targets,0,,,,,
player,201810210sdg,sdg,RivePh00,rec,0,,,,,
player,201810210sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201810210sdg,sdg,RivePh00,rec_td,0,,,,,
player,201810210sdg,sdg,RivePh00,rec_long,0,,,,,
player,201810210sdg,sdg,RivePh00,fumbles,0,,,,,
player,201810210sdg,sdg,RivePh00,fumbles_lost,0,,,,,
player,201810210sdg,sdg,EkelAu00,pass_cmp,0,,,,,
player,201810210sdg,sdg,EkelAu00,pass_att,0,,,,,
player,201810210sdg,sdg,EkelAu00,pass_yds,0,,,,,
player,201810210sdg,sdg,EkelAu00,pass_td,0,,,,,
player,201810210sdg,sdg,EkelAu00,pass_int,0,,,,,
player,201810210sdg,sdg,EkelAu00,pass_sacked,0,,,,,
player,201810210sdg,sdg,EkelAu00,pass_sacked_yds,0,,,,,
player,201810210sdg,sdg,EkelAu00,pass_long,0,,,,,
player,201810210sdg,sdg,EkelAu00,pass_rating,,,,,,
player,201810210sdg,sdg,EkelAu00,rush_att,12,,,,,
player,201810210sdg,sdg,EkelAu00,rush_yds,42,,,,,
player,201810210sdg,sdg,EkelAu00,rush_td,0,,,,,
player,201810210sdg,sdg,EkelAu00,rush_long,11,,,,,
player,201810210sdg,sdg,EkelAu00,targets,7,,,,,
player,201810210sdg,sdg,EkelAu00,rec,5,,,,,
player,201810210sdg,sdg,EkelAu00,rec_yds,26,,,,,
player,201810210sdg,sdg,EkelAu00,rec_td,0,,,,,
player,201810210sdg,sdg,EkelAu00,rec_long,11,,,,,
player,201810210sdg,sdg,EkelAu00,fumbles,0,,,,,
player,201810210sdg,sdg,EkelAu00,fumbles_lost,0,,,,,
player,201810210sdg,sdg,WillMi07,pass_cmp,0,,,,,
player,201810210sdg,sdg,WillMi07,pass_att,0,,,,,
player,201810210sdg,sdg,WillMi07,pass_yds,0,,,,,
player,201810210sdg,sdg,WillMi07,pass_td,0,,,,,
player,201810210sdg,sdg,WillMi07,pass_int,0,,,,,
player,201810210sdg,sdg,WillMi07,pass_sacked,0,,,,,
player,201810210sdg,sdg,WillMi07,pass_sacked_yds,0,,,,,
player,201810210sdg,sdg,WillMi07,pass_long,0,,,,,
player,201810210sdg,sdg,WillMi07,pass_rating,,,,,,
player,201810210sdg,sdg,WillMi07,rush_att,1,,,,,
player,201810210sdg,sdg,WillMi07,rush_yds,3,,,,,
player,201810210sdg,sdg,WillMi07,rush_td,0,,,,,
player,201810210sdg,sdg,WillMi07,rush_long,3,,,,,
player,201810210sdg,sdg,WillMi07,targets,3,,,,,
player,201810210sdg,sdg,WillMi07,rec,1,,,,,
player,201810210sdg,sdg,WillMi07,rec_yds,55,,,,,
player,201810210sdg,sdg,WillMi07,rec_td,1,,,,,
player,201810210sdg,sdg,WillMi07,rec_long,55,,,,,
player,201810210sdg,sdg,WillMi07,fumbles,0,,,,,
player,201810210sdg,sdg,WillMi07,fumbles_lost,0,,,,,
player,201810210sdg,sdg,JackJu01,pass_cmp,0,,,,,
player,201810210sdg,sdg,JackJu01,pass_att,0,,,,,
player,201810210sdg,sdg,JackJu01,pass_yds,0,,,,,
player,201810210sdg,sdg,JackJu01,pass_td,0,,,,,
player,201810210sdg,sdg,JackJu01,pass_int,0,,,,,
player,201810210sdg,sdg,JackJu01,pass_sacked,0,,,,,
player,201810210sdg,sdg,JackJu01,pass_sacked_yds,0,,,,,
player,201810210sdg,sdg,JackJu01,pass_long,0,,,,,
player,201810210sdg,sdg,JackJu01,pass_rating,,,,,,
player,201810210sdg,sdg,JackJu01,rush_att,2,,,,,
player,201810210sdg,sdg,JackJu01,rush_yds,3,,,,,
player,201810210sdg,sdg,JackJu01,rush_td,0,,,,,
player,201810210sdg,sdg,JackJu01,rush_long,2,,,,,
player,201810210sdg,sdg,JackJu01,targets,1,,,,,
player,201810210sdg,sdg,JackJu01,rec,1,,,,,
player,201810210sdg,sdg,JackJu01,rec_yds,11,,,,,
player,201810210sdg,sdg,JackJu01,rec_td,0,,,,,
player,201810210sdg,sdg,JackJu01,rec_long,11,,,,,
player,201810210sdg,sdg,JackJu01,fumbles,0,,,,,
player,201810210sdg,sdg,JackJu01,fumbles_lost,0,,,,,
player,201810210sdg,sdg,WillTy00,pass_cmp,0,,,,,
player,201810210sdg,sdg,WillTy00,pass_att,0,,,,,
player,201810210sdg,sdg,WillTy00,pass_yds,0,,,,,
player,201810210sdg,sdg,WillTy00,pass_td,0,,,,,
player,201810210sdg,sdg,WillTy00,pass_int,0,,,,,
player,201810210sdg,sdg,WillTy00,pass_sacked,0,,,,,
player,201810210sdg,sdg,WillTy00,pass_sacked_yds,0,,,,,
player,201810210sdg,sdg,WillTy00,pass_long,0,,,,,
player,201810210sdg,sdg,WillTy00,pass_rating,,,,,,
player,201810210sdg,sdg,WillTy00,rush_att,0,,,,,
player,201810210sdg,sdg,WillTy00,rush_yds,0,,,,,
player,201810210sdg,sdg,WillTy00,rush_td,0,,,,,
player,201810210sdg,sdg,WillTy00,rush_long,0,,,,,
player,201810210sdg,sdg,WillTy00,targets,4,,,,,
player,201810210sdg,sdg,WillTy00,rec,4,,,,,
player,201810210sdg,sdg,WillTy00,rec_yds,118,,,,,
player,201810210sdg,sdg,WillTy00,rec_td,1,,,,,
player,201810210sdg,sdg,WillTy00,rec_long,75,,,,,
player,201810210sdg,sdg,WillTy00,fumbles,0,,,,,
player,201810210sdg,sdg,WillTy00,fumbles_lost,0,,,,,
player,201810210sdg,sdg,AlleKe00,pass_cmp,0,,,,,
player,201810210sdg,sdg,AlleKe00,pass_att,0,,,,,
player,201810210sdg,sdg,AlleKe00,pass_yds,0,,,,,
player,201810210sdg,sdg,AlleKe00,pass_td,0,,,,,
player,201810210sdg,sdg,AlleKe00,pass_int,0,,,,,
player,201810210sdg,sdg,AlleKe00,pass_sacked,0,,,,,
player,201810210sdg,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201810210sdg,sdg,AlleKe00,pass_long,0,,,,,
player,201810210sdg,sdg,AlleKe00,pass_rating,,,,,,
player,201810210sdg,sdg,AlleKe00,rush_att,0,,,,,
player,201810210sdg,sdg,AlleKe00,rush_yds,0,,,,,
player,201810210sdg,sdg,AlleKe00,rush_td,0,,,,,
player,201810210sdg,sdg,AlleKe00,rush_long,0,,,,,
player,201810210sdg,sdg,AlleKe00,targets,5,,,,,
player,201810210sdg,sdg,AlleKe00,rec,5,,,,,
player,201810210sdg,sdg,AlleKe00,rec_yds,72,,,,,
player,201810210sdg,sdg,AlleKe00,rec_td,0,,,,,
player,201810210sdg,sdg,AlleKe00,rec_long,24,,,,,
player,201810210sdg,sdg,AlleKe00,fumbles,0,,,,,
player,201810210sdg,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201810210sdg,sdg,BenjTr00,pass_cmp,0,,,,,
player,201810210sdg,sdg,BenjTr00,pass_att,0,,,,,
player,201810210sdg,sdg,BenjTr00,pass_yds,0,,,,,
player,201810210sdg,sdg,BenjTr00,pass_td,0,,,,,
player,201810210sdg,sdg,BenjTr00,pass_int,0,,,,,
player,201810210sdg,sdg,BenjTr00,pass_sacked,0,,,,,
player,201810210sdg,sdg,BenjTr00,pass_sacked_yds,0,,,,,
player,201810210sdg,sdg,BenjTr00,pass_long,0,,,,,
player,201810210sdg,sdg,BenjTr00,pass_rating,,,,,,
player,201810210sdg,sdg,BenjTr00,rush_att,0,,,,,
player,201810210sdg,sdg,BenjTr00,rush_yds,0,,,,,
player,201810210sdg,sdg,BenjTr00,rush_td,0,,,,,
player,201810210sdg,sdg,BenjTr00,rush_long,0,,,,,
player,201810210sdg,sdg,BenjTr00,targets,1,,,,,
player,201810210sdg,sdg,BenjTr00,rec,1,,,,,
player,201810210sdg,sdg,BenjTr00,rec_yds,13,,,,,
player,201810210sdg,sdg,BenjTr00,rec_td,0,,,,,
player,201810210sdg,sdg,BenjTr00,rec_long,13,,,,,
player,201810210sdg,sdg,BenjTr00,fumbles,0,,,,,
player,201810210sdg,sdg,BenjTr00,fumbles_lost,0,,,,,
player,201810210sdg,sdg,GateAn00,pass_cmp,0,,,,,
player,201810210sdg,sdg,GateAn00,pass_att,0,,,,,
player,201810210sdg,sdg,GateAn00,pass_yds,0,,,,,
player,201810210sdg,sdg,GateAn00,pass_td,0,,,,,
player,201810210sdg,sdg,GateAn00,pass_int,0,,,,,
player,201810210sdg,sdg,GateAn00,pass_sacked,0,,,,,
player,201810210sdg,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201810210sdg,sdg,GateAn00,pass_long,0,,,,,
player,201810210sdg,sdg,GateAn00,pass_rating,,,,,,
player,201810210sdg,sdg,GateAn00,rush_att,0,,,,,
player,201810210sdg,sdg,GateAn00,rush_yds,0,,,,,
player,201810210sdg,sdg,GateAn00,rush_td,0,,,,,
player,201810210sdg,sdg,GateAn00,rush_long,0,,,,,
player,201810210sdg,sdg,GateAn00,targets,3,,,,,
player,201810210sdg,sdg,GateAn00,rec,2,,,,,
player,201810210sdg,sdg,GateAn00,rec_yds,11,,,,,
player,201810210sdg,sdg,GateAn00,rec_td,0,,,,,
player,201810210sdg,sdg,GateAn00,rec_long,7,,,,,
player,201810210sdg,sdg,GateAn00,fumbles,0,,,,,
player,201810210sdg,sdg,GateAn00,fumbles_lost,0,,,,,
player,201810210sdg,sdg,GreeVi00,pass_cmp,0,,,,,
player,201810210sdg,sdg,GreeVi00,pass_att,0,,,,,
player,201810210sdg,sdg,GreeVi00,pass_yds,0,,,,,
player,201810210sdg,sdg,GreeVi00,pass_td,0,,,,,
player,201810210sdg,sdg,GreeVi00,pass_int,0,,,,,
player,201810210sdg,sdg,GreeVi00,pass_sacked,0,,,,,
player,201810210sdg,sdg,GreeVi00,pass_sacked_yds,0,,,,,
player,201810210sdg,sdg,GreeVi00,pass_long,0,,,,,
player,201810210sdg,sdg,GreeVi00,pass_rating,,,,,,
player,201810210sdg,sdg,GreeVi00,rush_att,0,,,,,
player,201810210sdg,sdg,GreeVi00,rush_yds,0,,,,,
player,201810210sdg,sdg,GreeVi00,rush_td,0,,,,,
player,201810210sdg,sdg,GreeVi00,rush_long,0,,,,,
player,201810210sdg,sdg,GreeVi00,targets,1,,,,,
player,201810210sdg,sdg,GreeVi00,rec,0,,,,,
player,201810210sdg,sdg,GreeVi00,rec_yds,0,,,,,
player,201810210sdg,sdg,GreeVi00,rec_td,0,,,,,
player,201810210sdg,sdg,GreeVi00,rec_long,0,,,,,
player,201810210sdg,sdg,GreeVi00,fumbles,0,,,,,
player,201810210sdg,sdg,GreeVi00,fumbles_lost,0,,,,,
player,201810210sdg,oti,BrowJa06,def_int,0,,,,,
player,201810210sdg,oti,BrowJa06,def_int_yds,0,,,,,
player,201810210sdg,oti,BrowJa06,def_int_td,0,,,,,
player,201810210sdg,oti,BrowJa06,def_int_long,0,,,,,
player,201810210sdg,oti,BrowJa06,pass_defended,0,,,,,
player,201810210sdg,oti,BrowJa06,sacks,1.0,,,,,
player,201810210sdg,oti,BrowJa06,tackles_combined,7,,,,,
player,201810210sdg,oti,BrowJa06,tackles_solo,6,,,,,
player,201810210sdg,oti,BrowJa06,tackles_assists,1,,,,,
player,201810210sdg,oti,BrowJa06,tackles_loss,1,,,,,
player,201810210sdg,oti,BrowJa06,qb_hits,1,,,,,
player,201810210sdg,oti,BrowJa06,fumbles_rec,0,,,,,
player,201810210sdg,oti,BrowJa06,fumbles_rec_yds,0,,,,,
player,201810210sdg,oti,BrowJa06,fumbles_rec_td,0,,,,,
player,201810210sdg,oti,BrowJa06,fumbles_forced,0,,,,,
player,201810210sdg,oti,CorrKa00,def_int,0,,,,,
player,201810210sdg,oti,CorrKa00,def_int_yds,0,,,,,
player,201810210sdg,oti,CorrKa00,def_int_td,0,,,,,
player,201810210sdg,oti,CorrKa00,def_int_long,0,,,,,
player,201810210sdg,oti,CorrKa00,pass_defended,0,,,,,
player,201810210sdg,oti,CorrKa00,sacks,0.5,,,,,
player,201810210sdg,oti,CorrKa00,tackles_combined,3,,,,,
player,201810210sdg,oti,CorrKa00,tackles_solo,2,,,,,
player,201810210sdg,oti,CorrKa00,tackles_assists,1,,,,,
player,201810210sdg,oti,CorrKa00,tackles_loss,1,,,,,
player,201810210sdg,oti,CorrKa00,qb_hits,1,,,,,
player,201810210sdg,oti,CorrKa00,fumbles_rec,0,,,,,
player,201810210sdg,oti,CorrKa00,fumbles_rec_yds,0,,,,,
player,201810210sdg,oti,CorrKa00,fumbles_rec_td,0,,,,,
player,201810210sdg,oti,CorrKa00,fumbles_forced,0,,,,,
player,201810210sdg,oti,CaseJu00,def_int,0,,,,,
player,201810210sdg,oti,CaseJu00,def_int_yds,0,,,,,
player,201810210sdg,oti,CaseJu00,def_int_td,0,,,,,
player,201810210sdg,oti,CaseJu00,def_int_long,0,,,,,
