game,2018,10,20181111,201811110gnb,mia,"Miami Dolphins",12,gnb,"Green Bay Packers",31
player,201811110gnb,mia,GesiMi00,rush_yds,0,,,,,
player,201811110gnb,mia,GesiMi00,rush_td,0,,,,,
player,201811110gnb,mia,GesiMi00,rush_long,0,,,,,
player,201811110gnb,mia,GesiMi00,targets,1,,,,,
player,201811110gnb,mia,GesiMi00,rec,1,,,,,
player,201811110gnb,mia,GesiMi00,rec_yds,5,,,,,
player,201811110gnb,mia,GesiMi00,rec_td,0,,,,,
player,201811110gnb,mia,GesiMi00,rec_long,5,,,,,
player,201811110gnb,mia,GesiMi00,fumbles,0,,,,,
player,201811110gnb,mia,GesiMi00,fumbles_lost,0,,,,,
player,201811110gnb,mia,GranJa00,pass_cmp,0,,,,,
player,201811110gnb,mia,GranJa00,pass_att,0,,,,,
player,201811110gnb,mia,GranJa00,pass_yds,0,,,,,
player,201811110gnb,mia,GranJa00,pass_td,0,,,,,
player,201811110gnb,mia,GranJa00,pass_int,0,,,,,
player,201811110gnb,mia,GranJa00,pass_sacked,0,,,,,
player,201811110gnb,mia,GranJa00,pass_sacked_yds,0,,,,,
player,201811110gnb,mia,GranJa00,pass_long,0,,,,,
player,201811110gnb,mia,GranJa00,pass_rating,,,,,,
player,201811110gnb,mia,GranJa00,rush_att,0,,,,,
player,201811110gnb,mia,GranJa00,rush_yds,0,,,,,
player,201811110gnb,mia,GranJa00,rush_td,0,,,,,
player,201811110gnb,mia,GranJa00,rush_long,0,,,,,
player,201811110gnb,mia,GranJa00,targets,1,,,,,
player,201811110gnb,mia,GranJa00,rec,0,,,,,
player,201811110gnb,mia,GranJa00,rec_yds,0,,,,,
player,201811110gnb,mia,GranJa00,rec_td,0,,,,,
player,201811110gnb,mia,GranJa00,rec_long,0,,,,,
player,201811110gnb,mia,GranJa00,fumbles,0,,,,,
player,201811110gnb,mia,GranJa00,fumbles_lost,0,,,,,
player,201811110gnb,gnb,RodgAa00,pass_cmp,19,,,,,
player,201811110gnb,gnb,RodgAa00,pass_att,28,,,,,
player,201811110gnb,gnb,RodgAa00,pass_yds,199,,,,,
player,201811110gnb,gnb,RodgAa00,pass_td,2,,,,,
player,201811110gnb,gnb,RodgAa00,pass_int,0,,,,,
player,201811110gnb,gnb,RodgAa00,pass_sacked,2,,,,,
player,201811110gnb,gnb,RodgAa00,pass_sacked_yds,17,,,,,
player,201811110gnb,gnb,RodgAa00,pass_long,30,,,,,
player,201811110gnb,gnb,RodgAa00,pass_rating,112.1,,,,,
player,201811110gnb,gnb,RodgAa00,rush_att,6,,,,,
player,201811110gnb,gnb,RodgAa00,rush_yds,21,,,,,
player,201811110gnb,gnb,RodgAa00,rush_td,0,,,,,
player,201811110gnb,gnb,RodgAa00,rush_long,9,,,,,
player,201811110gnb,gnb,RodgAa00,targets,0,,,,,
player,201811110gnb,gnb,RodgAa00,rec,0,,,,,
player,201811110gnb,gnb,RodgAa00,rec_yds,0,,,,,
player,201811110gnb,gnb,RodgAa00,rec_td,0,,,,,
player,201811110gnb,gnb,RodgAa00,rec_long,0,,,,,
player,201811110gnb,gnb,RodgAa00,fumbles,0,,,,,
player,201811110gnb,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201811110gnb,gnb,JoneAa00,pass_cmp,0,,,,,
player,201811110gnb,gnb,JoneAa00,pass_att,0,,,,,
player,201811110gnb,gnb,JoneAa00,pass_yds,0,,,,,
player,201811110gnb,gnb,JoneAa00,pass_td,0,,,,,
player,201811110gnb,gnb,JoneAa00,pass_int,0,,,,,
player,201811110gnb,gnb,JoneAa00,pass_sacked,0,,,,,
player,201811110gnb,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201811110gnb,gnb,JoneAa00,pass_long,0,,,,,
player,201811110gnb,gnb,JoneAa00,pass_rating,,,,,,
player,201811110gnb,gnb,JoneAa00,rush_att,15,,,,,
player,201811110gnb,gnb,JoneAa00,rush_yds,145,,,,,
player,201811110gnb,gnb,JoneAa00,rush_td,2,,,,,
player,201811110gnb,gnb,JoneAa00,rush_long,67,,,,,
player,201811110gnb,gnb,JoneAa00,targets,5,,,,,
player,201811110gnb,gnb,JoneAa00,rec,3,,,,,
player,201811110gnb,gnb,JoneAa00,rec_yds,27,,,,,
player,201811110gnb,gnb,JoneAa00,rec_td,0,,,,,
player,201811110gnb,gnb,JoneAa00,rec_long,19,,,,,
player,201811110gnb,gnb,JoneAa00,fumbles,0,,,,,
player,201811110gnb,gnb,JoneAa00,fumbles_lost,0,,,,,
player,201811110gnb,gnb,GreeRa02,pass_cmp,0,,,,,
player,201811110gnb,gnb,GreeRa02,pass_att,0,,,,,
player,201811110gnb,gnb,GreeRa02,pass_yds,0,,,,,
player,201811110gnb,gnb,GreeRa02,pass_td,0,,,,,
player,201811110gnb,gnb,GreeRa02,pass_int,0,,,,,
player,201811110gnb,gnb,GreeRa02,pass_sacked,0,,,,,
player,201811110gnb,gnb,GreeRa02,pass_sacked_yds,0,,,,,
player,201811110gnb,gnb,GreeRa02,pass_long,0,,,,,
player,201811110gnb,gnb,GreeRa02,pass_rating,,,,,,
player,201811110gnb,gnb,GreeRa02,rush_att,1,,,,,
player,201811110gnb,gnb,GreeRa02,rush_yds,26,,,,,
player,201811110gnb,gnb,GreeRa02,rush_td,0,,,,,
player,201811110gnb,gnb,GreeRa02,rush_long,26,,,,,
player,201811110gnb,gnb,GreeRa02,targets,0,,,,,
player,201811110gnb,gnb,GreeRa02,rec,0,,,,,
player,201811110gnb,gnb,GreeRa02,rec_yds,0,,,,,
player,201811110gnb,gnb,GreeRa02,rec_td,0,,,,,
player,201811110gnb,gnb,GreeRa02,rec_long,0,,,,,
player,201811110gnb,gnb,GreeRa02,fumbles,0,,,,,
player,201811110gnb,gnb,GreeRa02,fumbles_lost,0,,,,,
player,201811110gnb,gnb,WillJa06,pass_cmp,0,,,,,
player,201811110gnb,gnb,WillJa06,pass_att,0,,,,,
player,201811110gnb,gnb,WillJa06,pass_yds,0,,,,,
player,201811110gnb,gnb,WillJa06,pass_td,0,,,,,
player,201811110gnb,gnb,WillJa06,pass_int,0,,,,,
player,201811110gnb,gnb,WillJa06,pass_sacked,0,,,,,
player,201811110gnb,gnb,WillJa06,pass_sacked_yds,0,,,,,
player,201811110gnb,gnb,WillJa06,pass_long,0,,,,,
player,201811110gnb,gnb,WillJa06,pass_rating,,,,,,
player,201811110gnb,gnb,WillJa06,rush_att,3,,,,,
player,201811110gnb,gnb,WillJa06,rush_yds,3,,,,,
player,201811110gnb,gnb,WillJa06,rush_td,0,,,,,
player,201811110gnb,gnb,WillJa06,rush_long,2,,,,,
player,201811110gnb,gnb,WillJa06,targets,0,,,,,
player,201811110gnb,gnb,WillJa06,rec,0,,,,,
player,201811110gnb,gnb,WillJa06,rec_yds,0,,,,,
player,201811110gnb,gnb,WillJa06,rec_td,0,,,,,
player,201811110gnb,gnb,WillJa06,rec_long,0,,,,,
player,201811110gnb,gnb,WillJa06,fumbles,0,,,,,
player,201811110gnb,gnb,WillJa06,fumbles_lost,0,,,,,
player,201811110gnb,gnb,AdamDa01,pass_cmp,0,,,,,
player,201811110gnb,gnb,AdamDa01,pass_att,0,,,,,
player,201811110gnb,gnb,AdamDa01,pass_yds,0,,,,,
player,201811110gnb,gnb,AdamDa01,pass_td,0,,,,,
player,201811110gnb,gnb,AdamDa01,pass_int,0,,,,,
player,201811110gnb,gnb,AdamDa01,pass_sacked,0,,,,,
player,201811110gnb,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201811110gnb,gnb,AdamDa01,pass_long,0,,,,,
player,201811110gnb,gnb,AdamDa01,pass_rating,,,,,,
player,201811110gnb,gnb,AdamDa01,rush_att,0,,,,,
player,201811110gnb,gnb,AdamDa01,rush_yds,0,,,,,
player,201811110gnb,gnb,AdamDa01,rush_td,0,,,,,
player,201811110gnb,gnb,AdamDa01,rush_long,0,,,,,
player,201811110gnb,gnb,AdamDa01,targets,7,,,,,
player,201811110gnb,gnb,AdamDa01,rec,4,,,,,
player,201811110gnb,gnb,AdamDa01,rec_yds,57,,,,,
player,201811110gnb,gnb,AdamDa01,rec_td,2,,,,,
player,201811110gnb,gnb,AdamDa01,rec_long,25,,,,,
player,201811110gnb,gnb,AdamDa01,fumbles,0,,,,,
player,201811110gnb,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201811110gnb,gnb,ValdMa00,pass_cmp,0,,,,,
player,201811110gnb,gnb,ValdMa00,pass_att,0,,,,,
player,201811110gnb,gnb,ValdMa00,pass_yds,0,,,,,
player,201811110gnb,gnb,ValdMa00,pass_td,0,,,,,
player,201811110gnb,gnb,ValdMa00,pass_int,0,,,,,
player,201811110gnb,gnb,ValdMa00,pass_sacked,0,,,,,
player,201811110gnb,gnb,ValdMa00,pass_sacked_yds,0,,,,,
player,201811110gnb,gnb,ValdMa00,pass_long,0,,,,,
player,201811110gnb,gnb,ValdMa00,pass_rating,,,,,,
player,201811110gnb,gnb,ValdMa00,rush_att,0,,,,,
player,201811110gnb,gnb,ValdMa00,rush_yds,0,,,,,
player,201811110gnb,gnb,ValdMa00,rush_td,0,,,,,
player,201811110gnb,gnb,ValdMa00,rush_long,0,,,,,
player,201811110gnb,gnb,ValdMa00,targets,7,,,,,
player,201811110gnb,gnb,ValdMa00,rec,6,,,,,
player,201811110gnb,gnb,ValdMa00,rec_yds,44,,,,,
player,201811110gnb,gnb,ValdMa00,rec_td,0,,,,,
player,201811110gnb,gnb,ValdMa00,rec_long,11,,,,,
player,201811110gnb,gnb,ValdMa00,fumbles,0,,,,,
player,201811110gnb,gnb,ValdMa00,fumbles_lost,0,,,,,
player,201811110gnb,gnb,LewiMa00,pass_cmp,0,,,,,
player,201811110gnb,gnb,LewiMa00,pass_att,0,,,,,
player,201811110gnb,gnb,LewiMa00,pass_yds,0,,,,,
player,201811110gnb,gnb,LewiMa00,pass_td,0,,,,,
player,201811110gnb,gnb,LewiMa00,pass_int,0,,,,,
player,201811110gnb,gnb,LewiMa00,pass_sacked,0,,,,,
player,201811110gnb,gnb,LewiMa00,pass_sacked_yds,0,,,,,
player,201811110gnb,gnb,LewiMa00,pass_long,0,,,,,
player,201811110gnb,gnb,LewiMa00,pass_rating,,,,,,
player,201811110gnb,gnb,LewiMa00,rush_att,0,,,,,
player,201811110gnb,gnb,LewiMa00,rush_yds,0,,,,,
player,201811110gnb,gnb,LewiMa00,rush_td,0,,,,,
player,201811110gnb,gnb,LewiMa00,rush_long,0,,,,,
player,201811110gnb,gnb,LewiMa00,targets,1,,,,,
player,201811110gnb,gnb,LewiMa00,rec,1,,,,,
player,201811110gnb,gnb,LewiMa00,rec_yds,30,,,,,
player,201811110gnb,gnb,LewiMa00,rec_td,0,,,,,
player,201811110gnb,gnb,LewiMa00,rec_long,30,,,,,
player,201811110gnb,gnb,LewiMa00,fumbles,0,,,,,
player,201811110gnb,gnb,LewiMa00,fumbles_lost,0,,,,,
player,201811110gnb,gnb,KendLa00,pass_cmp,0,,,,,
player,201811110gnb,gnb,KendLa00,pass_att,0,,,,,
player,201811110gnb,gnb,KendLa00,pass_yds,0,,,,,
player,201811110gnb,gnb,KendLa00,pass_td,0,,,,,
player,201811110gnb,gnb,KendLa00,pass_int,0,,,,,
player,201811110gnb,gnb,KendLa00,pass_sacked,0,,,,,
player,201811110gnb,gnb,KendLa00,pass_sacked_yds,0,,,,,
player,201811110gnb,gnb,KendLa00,pass_long,0,,,,,
player,201811110gnb,gnb,KendLa00,pass_rating,,,,,,
player,201811110gnb,gnb,KendLa00,rush_att,0,,,,,
player,201811110gnb,gnb,KendLa00,rush_yds,0,,,,,
player,201811110gnb,gnb,KendLa00,rush_td,0,,,,,
player,201811110gnb,gnb,KendLa00,rush_long,0,,,,,
player,201811110gnb,gnb,KendLa00,targets,2,,,,,
player,201811110gnb,gnb,KendLa00,rec,2,,,,,
player,201811110gnb,gnb,KendLa00,rec_yds,24,,,,,
player,201811110gnb,gnb,KendLa00,rec_td,0,,,,,
player,201811110gnb,gnb,KendLa00,rec_long,18,,,,,
player,201811110gnb,gnb,KendLa00,fumbles,0,,,,,
player,201811110gnb,gnb,KendLa00,fumbles_lost,0,,,,,
player,201811110gnb,gnb,GrahJi00,pass_cmp,0,,,,,
player,201811110gnb,gnb,GrahJi00,pass_att,0,,,,,
player,201811110gnb,gnb,GrahJi00,pass_yds,0,,,,,
player,201811110gnb,gnb,GrahJi00,pass_td,0,,,,,
player,201811110gnb,gnb,GrahJi00,pass_int,0,,,,,
player,201811110gnb,gnb,GrahJi00,pass_sacked,0,,,,,
player,201811110gnb,gnb,GrahJi00,pass_sacked_yds,0,,,,,
player,201811110gnb,gnb,GrahJi00,pass_long,0,,,,,
player,201811110gnb,gnb,GrahJi00,pass_rating,,,,,,
player,201811110gnb,gnb,GrahJi00,rush_att,0,,,,,
player,201811110gnb,gnb,GrahJi00,rush_yds,0,,,,,
player,201811110gnb,gnb,GrahJi00,rush_td,0,,,,,
player,201811110gnb,gnb,GrahJi00,rush_long,0,,,,,
