game,2018,1,20180910,201809100rai,ram,"Los Angeles Rams",33,rai,"Oakland Raiders",13
player,201809100rai,rai,LyncMa00,pass_long,0,,,,,
player,201809100rai,rai,LyncMa00,pass_rating,,,,,,
player,201809100rai,rai,LyncMa00,rush_att,11,,,,,
player,201809100rai,rai,LyncMa00,rush_yds,41,,,,,
player,201809100rai,rai,LyncMa00,rush_td,1,,,,,
player,201809100rai,rai,LyncMa00,rush_long,10,,,,,
player,201809100rai,rai,LyncMa00,targets,2,,,,,
player,201809100rai,rai,LyncMa00,rec,2,,,,,
player,201809100rai,rai,LyncMa00,rec_yds,8,,,,,
player,201809100rai,rai,LyncMa00,rec_td,0,,,,,
player,201809100rai,rai,LyncMa00,rec_long,6,,,,,
player,201809100rai,rai,LyncMa00,fumbles,0,,,,,
player,201809100rai,rai,LyncMa00,fumbles_lost,0,,,,,
player,201809100rai,rai,RichJa01,pass_cmp,0,,,,,
player,201809100rai,rai,RichJa01,pass_att,0,,,,,
player,201809100rai,rai,RichJa01,pass_yds,0,,,,,
player,201809100rai,rai,RichJa01,pass_td,0,,,,,
player,201809100rai,rai,RichJa01,pass_int,0,,,,,
player,201809100rai,rai,RichJa01,pass_sacked,0,,,,,
player,201809100rai,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201809100rai,rai,RichJa01,pass_long,0,,,,,
player,201809100rai,rai,RichJa01,pass_rating,,,,,,
player,201809100rai,rai,RichJa01,rush_att,5,,,,,
player,201809100rai,rai,RichJa01,rush_yds,24,,,,,
player,201809100rai,rai,RichJa01,rush_td,0,,,,,
player,201809100rai,rai,RichJa01,rush_long,9,,,,,
player,201809100rai,rai,RichJa01,targets,11,,,,,
player,201809100rai,rai,RichJa01,rec,9,,,,,
player,201809100rai,rai,RichJa01,rec_yds,55,,,,,
player,201809100rai,rai,RichJa01,rec_td,0,,,,,
player,201809100rai,rai,RichJa01,rec_long,9,,,,,
player,201809100rai,rai,RichJa01,fumbles,0,,,,,
player,201809100rai,rai,RichJa01,fumbles_lost,0,,,,,
player,201809100rai,rai,MartDo00,pass_cmp,0,,,,,
player,201809100rai,rai,MartDo00,pass_att,0,,,,,
player,201809100rai,rai,MartDo00,pass_yds,0,,,,,
player,201809100rai,rai,MartDo00,pass_td,0,,,,,
player,201809100rai,rai,MartDo00,pass_int,0,,,,,
player,201809100rai,rai,MartDo00,pass_sacked,0,,,,,
player,201809100rai,rai,MartDo00,pass_sacked_yds,0,,,,,
player,201809100rai,rai,MartDo00,pass_long,0,,,,,
player,201809100rai,rai,MartDo00,pass_rating,,,,,,
player,201809100rai,rai,MartDo00,rush_att,4,,,,,
player,201809100rai,rai,MartDo00,rush_yds,20,,,,,
player,201809100rai,rai,MartDo00,rush_td,0,,,,,
player,201809100rai,rai,MartDo00,rush_long,13,,,,,
player,201809100rai,rai,MartDo00,targets,2,,,,,
player,201809100rai,rai,MartDo00,rec,2,,,,,
player,201809100rai,rai,MartDo00,rec_yds,-3,,,,,
player,201809100rai,rai,MartDo00,rec_td,0,,,,,
player,201809100rai,rai,MartDo00,rec_long,-1,,,,,
player,201809100rai,rai,MartDo00,fumbles,0,,,,,
player,201809100rai,rai,MartDo00,fumbles_lost,0,,,,,
player,201809100rai,rai,CoopAm00,pass_cmp,0,,,,,
player,201809100rai,rai,CoopAm00,pass_att,0,,,,,
player,201809100rai,rai,CoopAm00,pass_yds,0,,,,,
player,201809100rai,rai,CoopAm00,pass_td,0,,,,,
player,201809100rai,rai,CoopAm00,pass_int,0,,,,,
player,201809100rai,rai,CoopAm00,pass_sacked,0,,,,,
player,201809100rai,rai,CoopAm00,pass_sacked_yds,0,,,,,
player,201809100rai,rai,CoopAm00,pass_long,0,,,,,
player,201809100rai,rai,CoopAm00,pass_rating,,,,,,
player,201809100rai,rai,CoopAm00,rush_att,1,,,,,
player,201809100rai,rai,CoopAm00,rush_yds,9,,,,,
player,201809100rai,rai,CoopAm00,rush_td,0,,,,,
player,201809100rai,rai,CoopAm00,rush_long,9,,,,,
player,201809100rai,rai,CoopAm00,targets,3,,,,,
player,201809100rai,rai,CoopAm00,rec,1,,,,,
player,201809100rai,rai,CoopAm00,rec_yds,9,,,,,
player,201809100rai,rai,CoopAm00,rec_td,0,,,,,
player,201809100rai,rai,CoopAm00,rec_long,9,,,,,
player,201809100rai,rai,CoopAm00,fumbles,0,,,,,
player,201809100rai,rai,CoopAm00,fumbles_lost,0,,,,,
player,201809100rai,rai,CookJa02,pass_cmp,0,,,,,
player,201809100rai,rai,CookJa02,pass_att,0,,,,,
player,201809100rai,rai,CookJa02,pass_yds,0,,,,,
player,201809100rai,rai,CookJa02,pass_td,0,,,,,
player,201809100rai,rai,CookJa02,pass_int,0,,,,,
player,201809100rai,rai,CookJa02,pass_sacked,0,,,,,
player,201809100rai,rai,CookJa02,pass_sacked_yds,0,,,,,
player,201809100rai,rai,CookJa02,pass_long,0,,,,,
player,201809100rai,rai,CookJa02,pass_rating,,,,,,
player,201809100rai,rai,CookJa02,rush_att,0,,,,,
player,201809100rai,rai,CookJa02,rush_yds,0,,,,,
player,201809100rai,rai,CookJa02,rush_td,0,,,,,
player,201809100rai,rai,CookJa02,rush_long,0,,,,,
player,201809100rai,rai,CookJa02,targets,12,,,,,
player,201809100rai,rai,CookJa02,rec,9,,,,,
player,201809100rai,rai,CookJa02,rec_yds,180,,,,,
player,201809100rai,rai,CookJa02,rec_td,0,,,,,
player,201809100rai,rai,CookJa02,rec_long,45,,,,,
player,201809100rai,rai,CookJa02,fumbles,0,,,,,
player,201809100rai,rai,CookJa02,fumbles_lost,0,,,,,
player,201809100rai,rai,NelsJo00,pass_cmp,0,,,,,
player,201809100rai,rai,NelsJo00,pass_att,0,,,,,
player,201809100rai,rai,NelsJo00,pass_yds,0,,,,,
player,201809100rai,rai,NelsJo00,pass_td,0,,,,,
player,201809100rai,rai,NelsJo00,pass_int,0,,,,,
player,201809100rai,rai,NelsJo00,pass_sacked,0,,,,,
player,201809100rai,rai,NelsJo00,pass_sacked_yds,0,,,,,
player,201809100rai,rai,NelsJo00,pass_long,0,,,,,
player,201809100rai,rai,NelsJo00,pass_rating,,,,,,
player,201809100rai,rai,NelsJo00,rush_att,0,,,,,
player,201809100rai,rai,NelsJo00,rush_yds,0,,,,,
player,201809100rai,rai,NelsJo00,rush_td,0,,,,,
player,201809100rai,rai,NelsJo00,rush_long,0,,,,,
player,201809100rai,rai,NelsJo00,targets,4,,,,,
player,201809100rai,rai,NelsJo00,rec,3,,,,,
player,201809100rai,rai,NelsJo00,rec_yds,23,,,,,
player,201809100rai,rai,NelsJo00,rec_td,0,,,,,
player,201809100rai,rai,NelsJo00,rec_long,17,,,,,
player,201809100rai,rai,NelsJo00,fumbles,0,,,,,
player,201809100rai,rai,NelsJo00,fumbles_lost,0,,,,,
player,201809100rai,rai,CarrDe00,pass_cmp,0,,,,,
player,201809100rai,rai,CarrDe00,pass_att,0,,,,,
player,201809100rai,rai,CarrDe00,pass_yds,0,,,,,
player,201809100rai,rai,CarrDe00,pass_td,0,,,,,
player,201809100rai,rai,CarrDe00,pass_int,0,,,,,
player,201809100rai,rai,CarrDe00,pass_sacked,0,,,,,
player,201809100rai,rai,CarrDe00,pass_sacked_yds,0,,,,,
player,201809100rai,rai,CarrDe00,pass_long,0,,,,,
player,201809100rai,rai,CarrDe00,pass_rating,,,,,,
player,201809100rai,rai,CarrDe00,rush_att,0,,,,,
player,201809100rai,rai,CarrDe00,rush_yds,0,,,,,
player,201809100rai,rai,CarrDe00,rush_td,0,,,,,
player,201809100rai,rai,CarrDe00,rush_long,0,,,,,
player,201809100rai,rai,CarrDe00,targets,3,,,,,
player,201809100rai,rai,CarrDe00,rec,2,,,,,
player,201809100rai,rai,CarrDe00,rec_yds,20,,,,,
player,201809100rai,rai,CarrDe00,rec_td,0,,,,,
player,201809100rai,rai,CarrDe00,rec_long,12,,,,,
player,201809100rai,rai,CarrDe00,fumbles,0,,,,,
player,201809100rai,rai,CarrDe00,fumbles_lost,0,,,,,
player,201809100rai,rai,RobeSe00,pass_cmp,0,,,,,
player,201809100rai,rai,RobeSe00,pass_att,0,,,,,
player,201809100rai,rai,RobeSe00,pass_yds,0,,,,,
player,201809100rai,rai,RobeSe00,pass_td,0,,,,,
player,201809100rai,rai,RobeSe00,pass_int,0,,,,,
player,201809100rai,rai,RobeSe00,pass_sacked,0,,,,,
player,201809100rai,rai,RobeSe00,pass_sacked_yds,0,,,,,
player,201809100rai,rai,RobeSe00,pass_long,0,,,,,
player,201809100rai,rai,RobeSe00,pass_rating,,,,,,
player,201809100rai,rai,RobeSe00,rush_att,0,,,,,
player,201809100rai,rai,RobeSe00,rush_yds,0,,,,,
player,201809100rai,rai,RobeSe00,rush_td,0,,,,,
player,201809100rai,rai,RobeSe00,rush_long,0,,,,,
player,201809100rai,rai,RobeSe00,targets,1,,,,,
player,201809100rai,rai,RobeSe00,rec,1,,,,,
player,201809100rai,rai,RobeSe00,rec_yds,11,,,,,
player,201809100rai,rai,RobeSe00,rec_td,0,,,,,
player,201809100rai,rai,RobeSe00,rec_long,11,,,,,
player,201809100rai,rai,RobeSe00,fumbles,0,,,,,
player,201809100rai,rai,RobeSe00,fumbles_lost,0,,,,,
player,201809100rai,ram,LittCo01,def_int,1,,,,,
player,201809100rai,ram,LittCo01,def_int_yds,7,,,,,
player,201809100rai,ram,LittCo01,def_int_td,0,,,,,
player,201809100rai,ram,LittCo01,def_int_long,7,,,,,
player,201809100rai,ram,LittCo01,pass_defended,1,,,,,
player,201809100rai,ram,LittCo01,sacks,0.0,,,,,
player,201809100rai,ram,LittCo01,tackles_combined,13,,,,,
player,201809100rai,ram,LittCo01,tackles_solo,11,,,,,
player,201809100rai,ram,LittCo01,tackles_assists,2,,,,,
player,201809100rai,ram,LittCo01,tackles_loss,0,,,,,
player,201809100rai,ram,LittCo01,qb_hits,0,,,,,
player,201809100rai,ram,LittCo01,fumbles_rec,0,,,,,
player,201809100rai,ram,LittCo01,fumbles_rec_yds,0,,,,,
player,201809100rai,ram,LittCo01,fumbles_rec_td,0,,,,,
player,201809100rai,ram,LittCo01,fumbles_forced,0,,,,,
player,201809100rai,ram,JohnJo10,def_int,1,,,,,
player,201809100rai,ram,JohnJo10,def_int_yds,0,,,,,
player,201809100rai,ram,JohnJo10,def_int_td,0,,,,,
player,201809100rai,ram,JohnJo10,def_int_long,0,,,,,
player,201809100rai,ram,JohnJo10,pass_defended,2,,,,,
player,201809100rai,ram,JohnJo10,sacks,0.0,,,,,
player,201809100rai,ram,JohnJo10,tackles_combined,9,,,,,
player,201809100rai,ram,JohnJo10,tackles_solo,6,,,,,
player,201809100rai,ram,JohnJo10,tackles_assists,3,,,,,
player,201809100rai,ram,JohnJo10,tackles_loss,0,,,,,
player,201809100rai,ram,JohnJo10,qb_hits,0,,,,,
player,201809100rai,ram,JohnJo10,fumbles_rec,0,,,,,
player,201809100rai,ram,JohnJo10,fumbles_rec_yds,0,,,,,
player,201809100rai,ram,JohnJo10,fumbles_rec_td,0,,,,,
player,201809100rai,ram,JohnJo10,fumbles_forced,0,,,,,
player,201809100rai,ram,PeteMa00,def_int,1,,,,,
player,201809100rai,ram,PeteMa00,def_int_yds,50,,,,,
player,201809100rai,ram,PeteMa00,def_int_td,1,,,,,
player,201809100rai,ram,PeteMa00,def_int_long,50,,,,,
player,201809100rai,ram,PeteMa00,pass_defended,1,,,,,
player,201809100rai,ram,PeteMa00,sacks,0.0,,,,,
player,201809100rai,ram,PeteMa00,tackles_combined,3,,,,,
player,201809100rai,ram,PeteMa00,tackles_solo,1,,,,,
player,201809100rai,ram,PeteMa00,tackles_assists,2,,,,,
player,201809100rai,ram,PeteMa00,tackles_loss,0,,,,,
player,201809100rai,ram,PeteMa00,qb_hits,0,,,,,
player,201809100rai,ram,PeteMa00,fumbles_rec,0,,,,,
player,201809100rai,ram,PeteMa00,fumbles_rec_yds,0,,,,,
player,201809100rai,ram,PeteMa00,fumbles_rec_td,0,,,,,
player,201809100rai,ram,PeteMa00,fumbles_forced,0,,,,,
player,201809100rai,ram,BrocMi00,def_int,0,,,,,
player,201809100rai,ram,BrocMi00,def_int_yds,0,,,,,
player,201809100rai,ram,BrocMi00,def_int_td,0,,,,,
player,201809100rai,ram,BrocMi00,def_int_long,0,,,,,
player,201809100rai,ram,BrocMi00,pass_defended,0,,,,,
player,201809100rai,ram,BrocMi00,sacks,1.0,,,,,
player,201809100rai,ram,BrocMi00,tackles_combined,5,,,,,
player,201809100rai,ram,BrocMi00,tackles_solo,4,,,,,
player,201809100rai,ram,BrocMi00,tackles_assists,1,,,,,
player,201809100rai,ram,BrocMi00,tackles_loss,1,,,,,
player,201809100rai,ram,BrocMi00,qb_hits,1,,,,,
player,201809100rai,ram,BrocMi00,fumbles_rec,0,,,,,
player,201809100rai,ram,BrocMi00,fumbles_rec_yds,0,,,,,
player,201809100rai,ram,BrocMi00,fumbles_rec_td,0,,,,,
player,201809100rai,ram,BrocMi00,fumbles_forced,0,,,,,
player,201809100rai,ram,TaliAq99,def_int,0,,,,,
player,201809100rai,ram,TaliAq99,def_int_yds,0,,,,,
player,201809100rai,ram,TaliAq99,def_int_td,0,,,,,
player,201809100rai,ram,TaliAq99,def_int_long,0,,,,,
player,201809100rai,ram,TaliAq99,pass_defended,0,,,,,
player,201809100rai,ram,TaliAq99,sacks,0.0,,,,,
player,201809100rai,ram,TaliAq99,tackles_combined,7,,,,,
player,201809100rai,ram,TaliAq99,tackles_solo,4,,,,,
player,201809100rai,ram,TaliAq99,tackles_assists,3,,,,,
player,201809100rai,ram,TaliAq99,tackles_loss,0,,,,,
player,201809100rai,ram,TaliAq99,qb_hits,0,,,,,
player,201809100rai,ram,TaliAq99,fumbles_rec,0,,,,,
player,201809100rai,ram,TaliAq99,fumbles_rec_yds,0,,,,,
player,201809100rai,ram,TaliAq99,fumbles_rec_td,0,,,,,
player,201809100rai,ram,TaliAq99,fumbles_forced,0,,,,,
player,201809100rai,ram,JoynLa00,def_int,0,,,,,
player,201809100rai,ram,JoynLa00,def_int_yds,0,,,,,
player,201809100rai,ram,JoynLa00,def_int_td,0,,,,,
player,201809100rai,ram,JoynLa00,def_int_long,0,,,,,
player,201809100rai,ram,JoynLa00,pass_defended,0,,,,,
player,201809100rai,ram,JoynLa00,sacks,0.0,,,,,
player,201809100rai,ram,JoynLa00,tackles_combined,6,,,,,
player,201809100rai,ram,JoynLa00,tackles_solo,5,,,,,
player,201809100rai,ram,JoynLa00,tackles_assists,1,,,,,
player,201809100rai,ram,JoynLa00,tackles_loss,0,,,,,
player,201809100rai,ram,JoynLa00,qb_hits,0,,,,,
player,201809100rai,ram,JoynLa00,fumbles_rec,0,,,,,
player,201809100rai,ram,JoynLa00,fumbles_rec_yds,0,,,,,
player,201809100rai,ram,JoynLa00,fumbles_rec_td,0,,,,,
player,201809100rai,ram,JoynLa00,fumbles_forced,0,,,,,
player,201809100rai,ram,EbukSa00,def_int,0,,,,,
player,201809100rai,ram,EbukSa00,def_int_yds,0,,,,,
player,201809100rai,ram,EbukSa00,def_int_td,0,,,,,
player,201809100rai,ram,EbukSa00,def_int_long,0,,,,,
player,201809100rai,ram,EbukSa00,pass_defended,0,,,,,
player,201809100rai,ram,EbukSa00,sacks,0.0,,,,,
player,201809100rai,ram,EbukSa00,tackles_combined,4,,,,,
player,201809100rai,ram,EbukSa00,tackles_solo,3,,,,,
player,201809100rai,ram,EbukSa00,tackles_assists,1,,,,,
player,201809100rai,ram,EbukSa00,tackles_loss,3,,,,,
player,201809100rai,ram,EbukSa00,qb_hits,0,,,,,
player,201809100rai,ram,EbukSa00,fumbles_rec,0,,,,,
player,201809100rai,ram,EbukSa00,fumbles_rec_yds,0,,,,,
player,201809100rai,ram,EbukSa00,fumbles_rec_td,0,,,,,
player,201809100rai,ram,EbukSa00,fumbles_forced,0,,,,,
player,201809100rai,ram,SuhxNd99,def_int,0,,,,,
player,201809100rai,ram,SuhxNd99,def_int_yds,0,,,,,
player,201809100rai,ram,SuhxNd99,def_int_td,0,,,,,
player,201809100rai,ram,SuhxNd99,def_int_long,0,,,,,
player,201809100rai,ram,SuhxNd99,pass_defended,0,,,,,
player,201809100rai,ram,SuhxNd99,sacks,0.0,,,,,
player,201809100rai,ram,SuhxNd99,tackles_combined,4,,,,,
player,201809100rai,ram,SuhxNd99,tackles_solo,2,,,,,
player,201809100rai,ram,SuhxNd99,tackles_assists,2,,,,,
player,201809100rai,ram,SuhxNd99,tackles_loss,0,,,,,
player,201809100rai,ram,SuhxNd99,qb_hits,1,,,,,
player,201809100rai,ram,SuhxNd99,fumbles_rec,0,,,,,
player,201809100rai,ram,SuhxNd99,fumbles_rec_yds,0,,,,,
player,201809100rai,ram,SuhxNd99,fumbles_rec_td,0,,,,,
player,201809100rai,ram,SuhxNd99,fumbles_forced,0,,,,,
player,201809100rai,ram,WilsRa00,def_int,0,,,,,
player,201809100rai,ram,WilsRa00,def_int_yds,0,,,,,
player,201809100rai,ram,WilsRa00,def_int_td,0,,,,,
player,201809100rai,ram,WilsRa00,def_int_long,0,,,,,
player,201809100rai,ram,WilsRa00,pass_defended,0,,,,,
player,201809100rai,ram,WilsRa00,sacks,0.0,,,,,
player,201809100rai,ram,WilsRa00,tackles_combined,4,,,,,
