game,2018,1,20180909,201809090car,dal,"Dallas Cowboys",8,car,"Carolina Panthers",16
player,201809090car,dal,SwaiGe00,pass_sacked_yds,0,,,,,
player,201809090car,dal,SwaiGe00,pass_long,0,,,,,
player,201809090car,dal,SwaiGe00,pass_rating,,,,,,
player,201809090car,dal,SwaiGe00,rush_att,0,,,,,
player,201809090car,dal,SwaiGe00,rush_yds,0,,,,,
player,201809090car,dal,SwaiGe00,rush_td,0,,,,,
player,201809090car,dal,SwaiGe00,rush_long,0,,,,,
player,201809090car,dal,SwaiGe00,targets,4,,,,,
player,201809090car,dal,SwaiGe00,rec,3,,,,,
player,201809090car,dal,SwaiGe00,rec_yds,18,,,,,
player,201809090car,dal,SwaiGe00,rec_td,0,,,,,
player,201809090car,dal,SwaiGe00,rec_long,11,,,,,
player,201809090car,dal,SwaiGe00,fumbles,0,,,,,
player,201809090car,dal,SwaiGe00,fumbles_lost,0,,,,,
player,201809090car,dal,GallMi00,pass_cmp,0,,,,,
player,201809090car,dal,GallMi00,pass_att,0,,,,,
player,201809090car,dal,GallMi00,pass_yds,0,,,,,
player,201809090car,dal,GallMi00,pass_td,0,,,,,
player,201809090car,dal,GallMi00,pass_int,0,,,,,
player,201809090car,dal,GallMi00,pass_sacked,0,,,,,
player,201809090car,dal,GallMi00,pass_sacked_yds,0,,,,,
player,201809090car,dal,GallMi00,pass_long,0,,,,,
player,201809090car,dal,GallMi00,pass_rating,,,,,,
player,201809090car,dal,GallMi00,rush_att,0,,,,,
player,201809090car,dal,GallMi00,rush_yds,0,,,,,
player,201809090car,dal,GallMi00,rush_td,0,,,,,
player,201809090car,dal,GallMi00,rush_long,0,,,,,
player,201809090car,dal,GallMi00,targets,1,,,,,
player,201809090car,dal,GallMi00,rec,1,,,,,
player,201809090car,dal,GallMi00,rec_yds,9,,,,,
player,201809090car,dal,GallMi00,rec_td,0,,,,,
player,201809090car,dal,GallMi00,rec_long,9,,,,,
player,201809090car,dal,GallMi00,fumbles,0,,,,,
player,201809090car,dal,GallMi00,fumbles_lost,0,,,,,
player,201809090car,dal,WillTe01,pass_cmp,0,,,,,
player,201809090car,dal,WillTe01,pass_att,0,,,,,
player,201809090car,dal,WillTe01,pass_yds,0,,,,,
player,201809090car,dal,WillTe01,pass_td,0,,,,,
player,201809090car,dal,WillTe01,pass_int,0,,,,,
player,201809090car,dal,WillTe01,pass_sacked,0,,,,,
player,201809090car,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201809090car,dal,WillTe01,pass_long,0,,,,,
player,201809090car,dal,WillTe01,pass_rating,,,,,,
player,201809090car,dal,WillTe01,rush_att,0,,,,,
player,201809090car,dal,WillTe01,rush_yds,0,,,,,
player,201809090car,dal,WillTe01,rush_td,0,,,,,
player,201809090car,dal,WillTe01,rush_long,0,,,,,
