game,2018,8,20181028,201810280rai,clt,"Indianapolis Colts",42,rai,"Oakland Raiders",28
player,201810280rai,clt,LuckAn00,fumbles_lost,0,,,,,
player,201810280rai,clt,MackMa00,pass_cmp,0,,,,,
player,201810280rai,clt,MackMa00,pass_att,0,,,,,
player,201810280rai,clt,MackMa00,pass_yds,0,,,,,
player,201810280rai,clt,MackMa00,pass_td,0,,,,,
player,201810280rai,clt,MackMa00,pass_int,0,,,,,
player,201810280rai,clt,MackMa00,pass_sacked,0,,,,,
player,201810280rai,clt,MackMa00,pass_sacked_yds,0,,,,,
player,201810280rai,clt,MackMa00,pass_long,0,,,,,
player,201810280rai,clt,MackMa00,pass_rating,,,,,,
player,201810280rai,clt,MackMa00,rush_att,25,,,,,
player,201810280rai,clt,MackMa00,rush_yds,132,,,,,
player,201810280rai,clt,MackMa00,rush_td,2,,,,,
player,201810280rai,clt,MackMa00,rush_long,49,,,,,
player,201810280rai,clt,MackMa00,targets,4,,,,,
player,201810280rai,clt,MackMa00,rec,2,,,,,
player,201810280rai,clt,MackMa00,rec_yds,17,,,,,
player,201810280rai,clt,MackMa00,rec_td,0,,,,,
player,201810280rai,clt,MackMa00,rec_long,11,,,,,
player,201810280rai,clt,MackMa00,fumbles,0,,,,,
player,201810280rai,clt,MackMa00,fumbles_lost,0,,,,,
player,201810280rai,clt,HineNy00,pass_cmp,0,,,,,
player,201810280rai,clt,HineNy00,pass_att,0,,,,,
player,201810280rai,clt,HineNy00,pass_yds,0,,,,,
player,201810280rai,clt,HineNy00,pass_td,0,,,,,
player,201810280rai,clt,HineNy00,pass_int,0,,,,,
player,201810280rai,clt,HineNy00,pass_sacked,0,,,,,
player,201810280rai,clt,HineNy00,pass_sacked_yds,0,,,,,
player,201810280rai,clt,HineNy00,pass_long,0,,,,,
player,201810280rai,clt,HineNy00,pass_rating,,,,,,
player,201810280rai,clt,HineNy00,rush_att,11,,,,,
player,201810280rai,clt,HineNy00,rush_yds,78,,,,,
player,201810280rai,clt,HineNy00,rush_td,0,,,,,
player,201810280rai,clt,HineNy00,rush_long,15,,,,,
player,201810280rai,clt,HineNy00,targets,2,,,,,
player,201810280rai,clt,HineNy00,rec,2,,,,,
player,201810280rai,clt,HineNy00,rec_yds,7,,,,,
player,201810280rai,clt,HineNy00,rec_td,0,,,,,
player,201810280rai,clt,HineNy00,rec_long,7,,,,,
player,201810280rai,clt,HineNy00,fumbles,0,,,,,
player,201810280rai,clt,HineNy00,fumbles_lost,0,,,,,
player,201810280rai,clt,WilkJo01,pass_cmp,0,,,,,
player,201810280rai,clt,WilkJo01,pass_att,0,,,,,
player,201810280rai,clt,WilkJo01,pass_yds,0,,,,,
player,201810280rai,clt,WilkJo01,pass_td,0,,,,,
player,201810280rai,clt,WilkJo01,pass_int,0,,,,,
player,201810280rai,clt,WilkJo01,pass_sacked,0,,,,,
player,201810280rai,clt,WilkJo01,pass_sacked_yds,0,,,,,
player,201810280rai,clt,WilkJo01,pass_long,0,,,,,
player,201810280rai,clt,WilkJo01,pass_rating,,,,,,
player,201810280rai,clt,WilkJo01,rush_att,2,,,,,
player,201810280rai,clt,WilkJo01,rush_yds,14,,,,,
player,201810280rai,clt,WilkJo01,rush_td,0,,,,,
player,201810280rai,clt,WilkJo01,rush_long,9,,,,,
player,201810280rai,clt,WilkJo01,targets,0,,,,,
player,201810280rai,clt,WilkJo01,rec,0,,,,,
player,201810280rai,clt,WilkJo01,rec_yds,0,,,,,
player,201810280rai,clt,WilkJo01,rec_td,0,,,,,
player,201810280rai,clt,WilkJo01,rec_long,0,,,,,
player,201810280rai,clt,WilkJo01,fumbles,0,,,,,
player,201810280rai,clt,WilkJo01,fumbles_lost,0,,,,,
player,201810280rai,clt,DoylJa00,pass_cmp,0,,,,,
player,201810280rai,clt,DoylJa00,pass_att,0,,,,,
player,201810280rai,clt,DoylJa00,pass_yds,0,,,,,
player,201810280rai,clt,DoylJa00,pass_td,0,,,,,
player,201810280rai,clt,DoylJa00,pass_int,0,,,,,
player,201810280rai,clt,DoylJa00,pass_sacked,0,,,,,
player,201810280rai,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201810280rai,clt,DoylJa00,pass_long,0,,,,,
player,201810280rai,clt,DoylJa00,pass_rating,,,,,,
player,201810280rai,clt,DoylJa00,rush_att,0,,,,,
player,201810280rai,clt,DoylJa00,rush_yds,0,,,,,
player,201810280rai,clt,DoylJa00,rush_td,0,,,,,
player,201810280rai,clt,DoylJa00,rush_long,0,,,,,
player,201810280rai,clt,DoylJa00,targets,7,,,,,
player,201810280rai,clt,DoylJa00,rec,6,,,,,
player,201810280rai,clt,DoylJa00,rec_yds,70,,,,,
player,201810280rai,clt,DoylJa00,rec_td,1,,,,,
player,201810280rai,clt,DoylJa00,rec_long,17,,,,,
player,201810280rai,clt,DoylJa00,fumbles,0,,,,,
player,201810280rai,clt,DoylJa00,fumbles_lost,0,,,,,
player,201810280rai,clt,InmaDo00,pass_cmp,0,,,,,
player,201810280rai,clt,InmaDo00,pass_att,0,,,,,
player,201810280rai,clt,InmaDo00,pass_yds,0,,,,,
player,201810280rai,clt,InmaDo00,pass_td,0,,,,,
player,201810280rai,clt,InmaDo00,pass_int,0,,,,,
player,201810280rai,clt,InmaDo00,pass_sacked,0,,,,,
player,201810280rai,clt,InmaDo00,pass_sacked_yds,0,,,,,
player,201810280rai,clt,InmaDo00,pass_long,0,,,,,
player,201810280rai,clt,InmaDo00,pass_rating,,,,,,
player,201810280rai,clt,InmaDo00,rush_att,0,,,,,
player,201810280rai,clt,InmaDo00,rush_yds,0,,,,,
player,201810280rai,clt,InmaDo00,rush_td,0,,,,,
player,201810280rai,clt,InmaDo00,rush_long,0,,,,,
player,201810280rai,clt,InmaDo00,targets,7,,,,,
player,201810280rai,clt,InmaDo00,rec,6,,,,,
player,201810280rai,clt,InmaDo00,rec_yds,52,,,,,
player,201810280rai,clt,InmaDo00,rec_td,0,,,,,
player,201810280rai,clt,InmaDo00,rec_long,16,,,,,
player,201810280rai,clt,InmaDo00,fumbles,0,,,,,
player,201810280rai,clt,InmaDo00,fumbles_lost,0,,,,,
player,201810280rai,clt,EbroEr00,pass_cmp,0,,,,,
player,201810280rai,clt,EbroEr00,pass_att,0,,,,,
player,201810280rai,clt,EbroEr00,pass_yds,0,,,,,
player,201810280rai,clt,EbroEr00,pass_td,0,,,,,
player,201810280rai,clt,EbroEr00,pass_int,0,,,,,
player,201810280rai,clt,EbroEr00,pass_sacked,0,,,,,
player,201810280rai,clt,EbroEr00,pass_sacked_yds,0,,,,,
player,201810280rai,clt,EbroEr00,pass_long,0,,,,,
player,201810280rai,clt,EbroEr00,pass_rating,,,,,,
player,201810280rai,clt,EbroEr00,rush_att,0,,,,,
player,201810280rai,clt,EbroEr00,rush_yds,0,,,,,
player,201810280rai,clt,EbroEr00,rush_td,0,,,,,
player,201810280rai,clt,EbroEr00,rush_long,0,,,,,
player,201810280rai,clt,EbroEr00,targets,3,,,,,
player,201810280rai,clt,EbroEr00,rec,3,,,,,
player,201810280rai,clt,EbroEr00,rec_yds,37,,,,,
player,201810280rai,clt,EbroEr00,rec_td,1,,,,,
player,201810280rai,clt,EbroEr00,rec_long,20,,,,,
player,201810280rai,clt,EbroEr00,fumbles,0,,,,,
player,201810280rai,clt,EbroEr00,fumbles_lost,0,,,,,
player,201810280rai,clt,HiltT.00,pass_cmp,0,,,,,
player,201810280rai,clt,HiltT.00,pass_att,0,,,,,
player,201810280rai,clt,HiltT.00,pass_yds,0,,,,,
player,201810280rai,clt,HiltT.00,pass_td,0,,,,,
player,201810280rai,clt,HiltT.00,pass_int,0,,,,,
player,201810280rai,clt,HiltT.00,pass_sacked,0,,,,,
player,201810280rai,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201810280rai,clt,HiltT.00,pass_long,0,,,,,
player,201810280rai,clt,HiltT.00,pass_rating,,,,,,
player,201810280rai,clt,HiltT.00,rush_att,0,,,,,
player,201810280rai,clt,HiltT.00,rush_yds,0,,,,,
player,201810280rai,clt,HiltT.00,rush_td,0,,,,,
player,201810280rai,clt,HiltT.00,rush_long,0,,,,,
player,201810280rai,clt,HiltT.00,targets,5,,,,,
player,201810280rai,clt,HiltT.00,rec,1,,,,,
player,201810280rai,clt,HiltT.00,rec_yds,34,,,,,
player,201810280rai,clt,HiltT.00,rec_td,0,,,,,
player,201810280rai,clt,HiltT.00,rec_long,34,,,,,
player,201810280rai,clt,HiltT.00,fumbles,0,,,,,
player,201810280rai,clt,HiltT.00,fumbles_lost,0,,,,,
player,201810280rai,clt,AlieMo00,pass_cmp,0,,,,,
player,201810280rai,clt,AlieMo00,pass_att,0,,,,,
player,201810280rai,clt,AlieMo00,pass_yds,0,,,,,
player,201810280rai,clt,AlieMo00,pass_td,0,,,,,
player,201810280rai,clt,AlieMo00,pass_int,0,,,,,
player,201810280rai,clt,AlieMo00,pass_sacked,0,,,,,
player,201810280rai,clt,AlieMo00,pass_sacked_yds,0,,,,,
player,201810280rai,clt,AlieMo00,pass_long,0,,,,,
player,201810280rai,clt,AlieMo00,pass_rating,,,,,,
player,201810280rai,clt,AlieMo00,rush_att,0,,,,,
player,201810280rai,clt,AlieMo00,rush_yds,0,,,,,
player,201810280rai,clt,AlieMo00,rush_td,0,,,,,
player,201810280rai,clt,AlieMo00,rush_long,0,,,,,
player,201810280rai,clt,AlieMo00,targets,1,,,,,
player,201810280rai,clt,AlieMo00,rec,1,,,,,
player,201810280rai,clt,AlieMo00,rec_yds,26,,,,,
player,201810280rai,clt,AlieMo00,rec_td,1,,,,,
player,201810280rai,clt,AlieMo00,rec_long,26,,,,,
player,201810280rai,clt,AlieMo00,fumbles,0,,,,,
player,201810280rai,clt,AlieMo00,fumbles_lost,0,,,,,
player,201810280rai,clt,RogeCh02,pass_cmp,0,,,,,
player,201810280rai,clt,RogeCh02,pass_att,0,,,,,
player,201810280rai,clt,RogeCh02,pass_yds,0,,,,,
player,201810280rai,clt,RogeCh02,pass_td,0,,,,,
player,201810280rai,clt,RogeCh02,pass_int,0,,,,,
player,201810280rai,clt,RogeCh02,pass_sacked,0,,,,,
player,201810280rai,clt,RogeCh02,pass_sacked_yds,0,,,,,
player,201810280rai,clt,RogeCh02,pass_long,0,,,,,
player,201810280rai,clt,RogeCh02,pass_rating,,,,,,
player,201810280rai,clt,RogeCh02,rush_att,0,,,,,
player,201810280rai,clt,RogeCh02,rush_yds,0,,,,,
player,201810280rai,clt,RogeCh02,rush_td,0,,,,,
player,201810280rai,clt,RogeCh02,rush_long,0,,,,,
player,201810280rai,clt,RogeCh02,targets,1,,,,,
player,201810280rai,clt,RogeCh02,rec,0,,,,,
player,201810280rai,clt,RogeCh02,rec_yds,0,,,,,
player,201810280rai,clt,RogeCh02,rec_td,0,,,,,
player,201810280rai,clt,RogeCh02,rec_long,0,,,,,
player,201810280rai,clt,RogeCh02,fumbles,0,,,,,
player,201810280rai,clt,RogeCh02,fumbles_lost,0,,,,,
player,201810280rai,clt,PascZa00,pass_cmp,0,,,,,
player,201810280rai,clt,PascZa00,pass_att,0,,,,,
player,201810280rai,clt,PascZa00,pass_yds,0,,,,,
player,201810280rai,clt,PascZa00,pass_td,0,,,,,
player,201810280rai,clt,PascZa00,pass_int,0,,,,,
player,201810280rai,clt,PascZa00,pass_sacked,0,,,,,
player,201810280rai,clt,PascZa00,pass_sacked_yds,0,,,,,
player,201810280rai,clt,PascZa00,pass_long,0,,,,,
player,201810280rai,clt,PascZa00,pass_rating,,,,,,
player,201810280rai,clt,PascZa00,rush_att,0,,,,,
player,201810280rai,clt,PascZa00,rush_yds,0,,,,,
player,201810280rai,clt,PascZa00,rush_td,0,,,,,
player,201810280rai,clt,PascZa00,rush_long,0,,,,,
player,201810280rai,clt,PascZa00,targets,1,,,,,
player,201810280rai,clt,PascZa00,rec,1,,,,,
player,201810280rai,clt,PascZa00,rec_yds,-4,,,,,
player,201810280rai,clt,PascZa00,rec_td,0,,,,,
player,201810280rai,clt,PascZa00,rec_long,-4,,,,,
player,201810280rai,clt,PascZa00,fumbles,0,,,,,
player,201810280rai,clt,PascZa00,fumbles_lost,0,,,,,
player,201810280rai,rai,CarrDe02,pass_cmp,21,,,,,
player,201810280rai,rai,CarrDe02,pass_att,28,,,,,
player,201810280rai,rai,CarrDe02,pass_yds,244,,,,,
player,201810280rai,rai,CarrDe02,pass_td,3,,,,,
player,201810280rai,rai,CarrDe02,pass_int,0,,,,,
player,201810280rai,rai,CarrDe02,pass_sacked,0,,,,,
player,201810280rai,rai,CarrDe02,pass_sacked_yds,0,,,,,
player,201810280rai,rai,CarrDe02,pass_long,31,,,,,
player,201810280rai,rai,CarrDe02,pass_rating,136.6,,,,,
player,201810280rai,rai,CarrDe02,rush_att,2,,,,,
player,201810280rai,rai,CarrDe02,rush_yds,0,,,,,
player,201810280rai,rai,CarrDe02,rush_td,1,,,,,
player,201810280rai,rai,CarrDe02,rush_long,1,,,,,
player,201810280rai,rai,CarrDe02,targets,0,,,,,
player,201810280rai,rai,CarrDe02,rec,0,,,,,
player,201810280rai,rai,CarrDe02,rec_yds,0,,,,,
player,201810280rai,rai,CarrDe02,rec_td,0,,,,,
player,201810280rai,rai,CarrDe02,rec_long,0,,,,,
player,201810280rai,rai,CarrDe02,fumbles,0,,,,,
player,201810280rai,rai,CarrDe02,fumbles_lost,0,,,,,
player,201810280rai,rai,MartDo00,pass_cmp,0,,,,,
player,201810280rai,rai,MartDo00,pass_att,0,,,,,
player,201810280rai,rai,MartDo00,pass_yds,0,,,,,
player,201810280rai,rai,MartDo00,pass_td,0,,,,,
player,201810280rai,rai,MartDo00,pass_int,0,,,,,
player,201810280rai,rai,MartDo00,pass_sacked,0,,,,,
player,201810280rai,rai,MartDo00,pass_sacked_yds,0,,,,,
player,201810280rai,rai,MartDo00,pass_long,0,,,,,
player,201810280rai,rai,MartDo00,pass_rating,,,,,,
player,201810280rai,rai,MartDo00,rush_att,13,,,,,
player,201810280rai,rai,MartDo00,rush_yds,72,,,,,
player,201810280rai,rai,MartDo00,rush_td,0,,,,,
player,201810280rai,rai,MartDo00,rush_long,29,,,,,
player,201810280rai,rai,MartDo00,targets,2,,,,,
player,201810280rai,rai,MartDo00,rec,2,,,,,
player,201810280rai,rai,MartDo00,rec_yds,17,,,,,
player,201810280rai,rai,MartDo00,rec_td,0,,,,,
player,201810280rai,rai,MartDo00,rec_long,10,,,,,
player,201810280rai,rai,MartDo00,fumbles,1,,,,,
player,201810280rai,rai,MartDo00,fumbles_lost,1,,,,,
player,201810280rai,rai,RichJa01,pass_cmp,0,,,,,
player,201810280rai,rai,RichJa01,pass_att,0,,,,,
player,201810280rai,rai,RichJa01,pass_yds,0,,,,,
player,201810280rai,rai,RichJa01,pass_td,0,,,,,
player,201810280rai,rai,RichJa01,pass_int,0,,,,,
player,201810280rai,rai,RichJa01,pass_sacked,0,,,,,
player,201810280rai,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201810280rai,rai,RichJa01,pass_long,0,,,,,
player,201810280rai,rai,RichJa01,pass_rating,,,,,,
player,201810280rai,rai,RichJa01,rush_att,2,,,,,
player,201810280rai,rai,RichJa01,rush_yds,14,,,,,
player,201810280rai,rai,RichJa01,rush_td,0,,,,,
player,201810280rai,rai,RichJa01,rush_long,13,,,,,
player,201810280rai,rai,RichJa01,targets,8,,,,,
player,201810280rai,rai,RichJa01,rec,8,,,,,
player,201810280rai,rai,RichJa01,rec_yds,50,,,,,
player,201810280rai,rai,RichJa01,rec_td,0,,,,,
player,201810280rai,rai,RichJa01,rec_long,13,,,,,
player,201810280rai,rai,RichJa01,fumbles,0,,,,,
player,201810280rai,rai,RichJa01,fumbles_lost,0,,,,,
player,201810280rai,rai,HarrDw00,pass_cmp,0,,,,,
player,201810280rai,rai,HarrDw00,pass_att,0,,,,,
player,201810280rai,rai,HarrDw00,pass_yds,0,,,,,
player,201810280rai,rai,HarrDw00,pass_td,0,,,,,
player,201810280rai,rai,HarrDw00,pass_int,0,,,,,
player,201810280rai,rai,HarrDw00,pass_sacked,0,,,,,
player,201810280rai,rai,HarrDw00,pass_sacked_yds,0,,,,,
player,201810280rai,rai,HarrDw00,pass_long,0,,,,,
player,201810280rai,rai,HarrDw00,pass_rating,,,,,,
player,201810280rai,rai,HarrDw00,rush_att,1,,,,,
player,201810280rai,rai,HarrDw00,rush_yds,13,,,,,
player,201810280rai,rai,HarrDw00,rush_td,0,,,,,
player,201810280rai,rai,HarrDw00,rush_long,13,,,,,
player,201810280rai,rai,HarrDw00,targets,0,,,,,
player,201810280rai,rai,HarrDw00,rec,0,,,,,
player,201810280rai,rai,HarrDw00,rec_yds,0,,,,,
player,201810280rai,rai,HarrDw00,rec_td,0,,,,,
player,201810280rai,rai,HarrDw00,rec_long,0,,,,,
player,201810280rai,rai,HarrDw00,fumbles,0,,,,,
player,201810280rai,rai,HarrDw00,fumbles_lost,0,,,,,
player,201810280rai,rai,WashDe00,pass_cmp,0,,,,,
player,201810280rai,rai,WashDe00,pass_att,0,,,,,
player,201810280rai,rai,WashDe00,pass_yds,0,,,,,
player,201810280rai,rai,WashDe00,pass_td,0,,,,,
player,201810280rai,rai,WashDe00,pass_int,0,,,,,
player,201810280rai,rai,WashDe00,pass_sacked,0,,,,,
player,201810280rai,rai,WashDe00,pass_sacked_yds,0,,,,,
player,201810280rai,rai,WashDe00,pass_long,0,,,,,
player,201810280rai,rai,WashDe00,pass_rating,,,,,,
player,201810280rai,rai,WashDe00,rush_att,1,,,,,
player,201810280rai,rai,WashDe00,rush_yds,4,,,,,
player,201810280rai,rai,WashDe00,rush_td,0,,,,,
player,201810280rai,rai,WashDe00,rush_long,4,,,,,
player,201810280rai,rai,WashDe00,targets,0,,,,,
player,201810280rai,rai,WashDe00,rec,0,,,,,
player,201810280rai,rai,WashDe00,rec_yds,0,,,,,
player,201810280rai,rai,WashDe00,rec_td,0,,,,,
player,201810280rai,rai,WashDe00,rec_long,0,,,,,
player,201810280rai,rai,WashDe00,fumbles,0,,,,,
player,201810280rai,rai,WashDe00,fumbles_lost,0,,,,,
player,201810280rai,rai,CookJa02,pass_cmp,0,,,,,
player,201810280rai,rai,CookJa02,pass_att,0,,,,,
player,201810280rai,rai,CookJa02,pass_yds,0,,,,,
player,201810280rai,rai,CookJa02,pass_td,0,,,,,
player,201810280rai,rai,CookJa02,pass_int,0,,,,,
player,201810280rai,rai,CookJa02,pass_sacked,0,,,,,
player,201810280rai,rai,CookJa02,pass_sacked_yds,0,,,,,
player,201810280rai,rai,CookJa02,pass_long,0,,,,,
player,201810280rai,rai,CookJa02,pass_rating,,,,,,
player,201810280rai,rai,CookJa02,rush_att,0,,,,,
player,201810280rai,rai,CookJa02,rush_yds,0,,,,,
player,201810280rai,rai,CookJa02,rush_td,0,,,,,
player,201810280rai,rai,CookJa02,rush_long,0,,,,,
player,201810280rai,rai,CookJa02,targets,5,,,,,
player,201810280rai,rai,CookJa02,rec,4,,,,,
player,201810280rai,rai,CookJa02,rec_yds,74,,,,,
player,201810280rai,rai,CookJa02,rec_td,1,,,,,
player,201810280rai,rai,CookJa02,rec_long,30,,,,,
player,201810280rai,rai,CookJa02,fumbles,0,,,,,
player,201810280rai,rai,CookJa02,fumbles_lost,0,,,,,
player,201810280rai,rai,RobeSe00,pass_cmp,0,,,,,
player,201810280rai,rai,RobeSe00,pass_att,0,,,,,
player,201810280rai,rai,RobeSe00,pass_yds,0,,,,,
player,201810280rai,rai,RobeSe00,pass_td,0,,,,,
player,201810280rai,rai,RobeSe00,pass_int,0,,,,,
player,201810280rai,rai,RobeSe00,pass_sacked,0,,,,,
player,201810280rai,rai,RobeSe00,pass_sacked_yds,0,,,,,
player,201810280rai,rai,RobeSe00,pass_long,0,,,,,
player,201810280rai,rai,RobeSe00,pass_rating,,,,,,
player,201810280rai,rai,RobeSe00,rush_att,0,,,,,
player,201810280rai,rai,RobeSe00,rush_yds,0,,,,,
player,201810280rai,rai,RobeSe00,rush_td,0,,,,,
player,201810280rai,rai,RobeSe00,rush_long,0,,,,,
player,201810280rai,rai,RobeSe00,targets,4,,,,,
player,201810280rai,rai,RobeSe00,rec,2,,,,,
player,201810280rai,rai,RobeSe00,rec_yds,42,,,,,
player,201810280rai,rai,RobeSe00,rec_td,1,,,,,
player,201810280rai,rai,RobeSe00,rec_long,31,,,,,
player,201810280rai,rai,RobeSe00,fumbles,0,,,,,
player,201810280rai,rai,RobeSe00,fumbles_lost,0,,,,,
player,201810280rai,rai,LaFeBr00,pass_cmp,0,,,,,
player,201810280rai,rai,LaFeBr00,pass_att,0,,,,,
player,201810280rai,rai,LaFeBr00,pass_yds,0,,,,,
player,201810280rai,rai,LaFeBr00,pass_td,0,,,,,
player,201810280rai,rai,LaFeBr00,pass_int,0,,,,,
player,201810280rai,rai,LaFeBr00,pass_sacked,0,,,,,
player,201810280rai,rai,LaFeBr00,pass_sacked_yds,0,,,,,
player,201810280rai,rai,LaFeBr00,pass_long,0,,,,,
player,201810280rai,rai,LaFeBr00,pass_rating,,,,,,
player,201810280rai,rai,LaFeBr00,rush_att,0,,,,,
player,201810280rai,rai,LaFeBr00,rush_yds,0,,,,,
player,201810280rai,rai,LaFeBr00,rush_td,0,,,,,
player,201810280rai,rai,LaFeBr00,rush_long,0,,,,,
player,201810280rai,rai,LaFeBr00,targets,4,,,,,
player,201810280rai,rai,LaFeBr00,rec,3,,,,,
player,201810280rai,rai,LaFeBr00,rec_yds,39,,,,,
player,201810280rai,rai,LaFeBr00,rec_td,1,,,,,
player,201810280rai,rai,LaFeBr00,rec_long,18,,,,,
player,201810280rai,rai,LaFeBr00,fumbles,0,,,,,
player,201810280rai,rai,LaFeBr00,fumbles_lost,0,,,,,
player,201810280rai,rai,NelsJo00,pass_cmp,0,,,,,
player,201810280rai,rai,NelsJo00,pass_att,0,,,,,
player,201810280rai,rai,NelsJo00,pass_yds,0,,,,,
player,201810280rai,rai,NelsJo00,pass_td,0,,,,,
player,201810280rai,rai,NelsJo00,pass_int,0,,,,,
player,201810280rai,rai,NelsJo00,pass_sacked,0,,,,,
player,201810280rai,rai,NelsJo00,pass_sacked_yds,0,,,,,
player,201810280rai,rai,NelsJo00,pass_long,0,,,,,
player,201810280rai,rai,NelsJo00,pass_rating,,,,,,
player,201810280rai,rai,NelsJo00,rush_att,0,,,,,
player,201810280rai,rai,NelsJo00,rush_yds,0,,,,,
player,201810280rai,rai,NelsJo00,rush_td,0,,,,,
player,201810280rai,rai,NelsJo00,rush_long,0,,,,,
player,201810280rai,rai,NelsJo00,targets,4,,,,,
player,201810280rai,rai,NelsJo00,rec,1,,,,,
player,201810280rai,rai,NelsJo00,rec_yds,14,,,,,
player,201810280rai,rai,NelsJo00,rec_td,0,,,,,
player,201810280rai,rai,NelsJo00,rec_long,14,,,,,
player,201810280rai,rai,NelsJo00,fumbles,0,,,,,
player,201810280rai,rai,NelsJo00,fumbles_lost,0,,,,,
player,201810280rai,rai,SmitKe03,pass_cmp,0,,,,,
player,201810280rai,rai,SmitKe03,pass_att,0,,,,,
player,201810280rai,rai,SmitKe03,pass_yds,0,,,,,
player,201810280rai,rai,SmitKe03,pass_td,0,,,,,
player,201810280rai,rai,SmitKe03,pass_int,0,,,,,
player,201810280rai,rai,SmitKe03,pass_sacked,0,,,,,
player,201810280rai,rai,SmitKe03,pass_sacked_yds,0,,,,,
player,201810280rai,rai,SmitKe03,pass_long,0,,,,,
player,201810280rai,rai,SmitKe03,pass_rating,,,,,,
player,201810280rai,rai,SmitKe03,rush_att,0,,,,,
player,201810280rai,rai,SmitKe03,rush_yds,0,,,,,
player,201810280rai,rai,SmitKe03,rush_td,0,,,,,
player,201810280rai,rai,SmitKe03,rush_long,0,,,,,
player,201810280rai,rai,SmitKe03,targets,1,,,,,
player,201810280rai,rai,SmitKe03,rec,1,,,,,
player,201810280rai,rai,SmitKe03,rec_yds,8,,,,,
player,201810280rai,rai,SmitKe03,rec_td,0,,,,,
player,201810280rai,rai,SmitKe03,rec_long,8,,,,,
player,201810280rai,rai,SmitKe03,fumbles,0,,,,,
player,201810280rai,rai,SmitKe03,fumbles_lost,0,,,,,
player,201810280rai,clt,LeonDa00,def_int,0,,,,,
player,201810280rai,clt,LeonDa00,def_int_yds,0,,,,,
player,201810280rai,clt,LeonDa00,def_int_td,0,,,,,
player,201810280rai,clt,LeonDa00,def_int_long,0,,,,,
player,201810280rai,clt,LeonDa00,pass_defended,0,,,,,
player,201810280rai,clt,LeonDa00,sacks,0.0,,,,,
player,201810280rai,clt,LeonDa00,tackles_combined,9,,,,,
player,201810280rai,clt,LeonDa00,tackles_solo,4,,,,,
player,201810280rai,clt,LeonDa00,tackles_assists,5,,,,,
player,201810280rai,clt,LeonDa00,tackles_loss,0,,,,,
player,201810280rai,clt,LeonDa00,qb_hits,1,,,,,
player,201810280rai,clt,LeonDa00,fumbles_rec,0,,,,,
player,201810280rai,clt,LeonDa00,fumbles_rec_yds,0,,,,,
player,201810280rai,clt,LeonDa00,fumbles_rec_td,0,,,,,
