game,2018,8,20181025,201810250htx,mia,"Miami Dolphins",23,htx,"Houston Texans",42
player,201810250htx,htx,MillLa01,rec_yds,0,,,,,
player,201810250htx,htx,MillLa01,rec_td,0,,,,,
player,201810250htx,htx,MillLa01,rec_long,0,,,,,
player,201810250htx,htx,MillLa01,fumbles,0,,,,,
player,201810250htx,htx,MillLa01,fumbles_lost,0,,,,,
player,201810250htx,htx,BlueAl00,pass_cmp,0,,,,,
player,201810250htx,htx,BlueAl00,pass_att,0,,,,,
player,201810250htx,htx,BlueAl00,pass_yds,0,,,,,
player,201810250htx,htx,BlueAl00,pass_td,0,,,,,
player,201810250htx,htx,BlueAl00,pass_int,0,,,,,
player,201810250htx,htx,BlueAl00,pass_sacked,0,,,,,
player,201810250htx,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201810250htx,htx,BlueAl00,pass_long,0,,,,,
player,201810250htx,htx,BlueAl00,pass_rating,,,,,,
player,201810250htx,htx,BlueAl00,rush_att,15,,,,,
player,201810250htx,htx,BlueAl00,rush_yds,42,,,,,
player,201810250htx,htx,BlueAl00,rush_td,0,,,,,
player,201810250htx,htx,BlueAl00,rush_long,12,,,,,
player,201810250htx,htx,BlueAl00,targets,0,,,,,
player,201810250htx,htx,BlueAl00,rec,0,,,,,
player,201810250htx,htx,BlueAl00,rec_yds,0,,,,,
player,201810250htx,htx,BlueAl00,rec_td,0,,,,,
player,201810250htx,htx,BlueAl00,rec_long,0,,,,,
player,201810250htx,htx,BlueAl00,fumbles,0,,,,,
player,201810250htx,htx,BlueAl00,fumbles_lost,0,,,,,
player,201810250htx,htx,FullWi01,pass_cmp,0,,,,,
player,201810250htx,htx,FullWi01,pass_att,0,,,,,
player,201810250htx,htx,FullWi01,pass_yds,0,,,,,
player,201810250htx,htx,FullWi01,pass_td,0,,,,,
player,201810250htx,htx,FullWi01,pass_int,0,,,,,
player,201810250htx,htx,FullWi01,pass_sacked,0,,,,,
player,201810250htx,htx,FullWi01,pass_sacked_yds,0,,,,,
player,201810250htx,htx,FullWi01,pass_long,0,,,,,
player,201810250htx,htx,FullWi01,pass_rating,,,,,,
player,201810250htx,htx,FullWi01,rush_att,0,,,,,
player,201810250htx,htx,FullWi01,rush_yds,0,,,,,
player,201810250htx,htx,FullWi01,rush_td,0,,,,,
player,201810250htx,htx,FullWi01,rush_long,0,,,,,
player,201810250htx,htx,FullWi01,targets,6,,,,,
player,201810250htx,htx,FullWi01,rec,5,,,,,
player,201810250htx,htx,FullWi01,rec_yds,124,,,,,
player,201810250htx,htx,FullWi01,rec_td,1,,,,,
player,201810250htx,htx,FullWi01,rec_long,73,,,,,
player,201810250htx,htx,FullWi01,fumbles,0,,,,,
player,201810250htx,htx,FullWi01,fumbles_lost,0,,,,,
player,201810250htx,htx,HopkDe00,pass_cmp,0,,,,,
player,201810250htx,htx,HopkDe00,pass_att,0,,,,,
