game,2018,3,20180923,201809230kan,sfo,"San Francisco 49ers",27,kan,"Kansas City Chiefs",38
player,201809230kan,sfo,GaroJi00,rec_yds,0,,,,,
player,201809230kan,sfo,GaroJi00,rec_td,0,,,,,
player,201809230kan,sfo,GaroJi00,rec_long,0,,,,,
player,201809230kan,sfo,GaroJi00,fumbles,3,,,,,
player,201809230kan,sfo,GaroJi00,fumbles_lost,0,,,,,
player,201809230kan,sfo,BreiMa00,pass_cmp,0,,,,,
player,201809230kan,sfo,BreiMa00,pass_att,0,,,,,
player,201809230kan,sfo,BreiMa00,pass_yds,0,,,,,
player,201809230kan,sfo,BreiMa00,pass_td,0,,,,,
player,201809230kan,sfo,BreiMa00,pass_int,0,,,,,
player,201809230kan,sfo,BreiMa00,pass_sacked,0,,,,,
player,201809230kan,sfo,BreiMa00,pass_sacked_yds,0,,,,,
player,201809230kan,sfo,BreiMa00,pass_long,0,,,,,
player,201809230kan,sfo,BreiMa00,pass_rating,,,,,,
player,201809230kan,sfo,BreiMa00,rush_att,10,,,,,
player,201809230kan,sfo,BreiMa00,rush_yds,90,,,,,
player,201809230kan,sfo,BreiMa00,rush_td,0,,,,,
player,201809230kan,sfo,BreiMa00,rush_long,26,,,,,
player,201809230kan,sfo,BreiMa00,targets,3,,,,,
player,201809230kan,sfo,BreiMa00,rec,3,,,,,
player,201809230kan,sfo,BreiMa00,rec_yds,27,,,,,
player,201809230kan,sfo,BreiMa00,rec_td,0,,,,,
player,201809230kan,sfo,BreiMa00,rec_long,13,,,,,
player,201809230kan,sfo,BreiMa00,fumbles,0,,,,,
player,201809230kan,sfo,BreiMa00,fumbles_lost,0,,,,,
player,201809230kan,sfo,MorrAl00,pass_cmp,0,,,,,
player,201809230kan,sfo,MorrAl00,pass_att,0,,,,,
player,201809230kan,sfo,MorrAl00,pass_yds,0,,,,,
player,201809230kan,sfo,MorrAl00,pass_td,0,,,,,
player,201809230kan,sfo,MorrAl00,pass_int,0,,,,,
player,201809230kan,sfo,MorrAl00,pass_sacked,0,,,,,
player,201809230kan,sfo,MorrAl00,pass_sacked_yds,0,,,,,
player,201809230kan,sfo,MorrAl00,pass_long,0,,,,,
player,201809230kan,sfo,MorrAl00,pass_rating,,,,,,
player,201809230kan,sfo,MorrAl00,rush_att,14,,,,,
player,201809230kan,sfo,MorrAl00,rush_yds,67,,,,,
player,201809230kan,sfo,MorrAl00,rush_td,1,,,,,
player,201809230kan,sfo,MorrAl00,rush_long,16,,,,,
player,201809230kan,sfo,MorrAl00,targets,0,,,,,
player,201809230kan,sfo,MorrAl00,rec,0,,,,,
player,201809230kan,sfo,MorrAl00,rec_yds,0,,,,,
player,201809230kan,sfo,MorrAl00,rec_td,0,,,,,
player,201809230kan,sfo,MorrAl00,rec_long,0,,,,,
player,201809230kan,sfo,MorrAl00,fumbles,0,,,,,
player,201809230kan,sfo,MorrAl00,fumbles_lost,0,,,,,
player,201809230kan,sfo,KittGe00,pass_cmp,0,,,,,
player,201809230kan,sfo,KittGe00,pass_att,0,,,,,
player,201809230kan,sfo,KittGe00,pass_yds,0,,,,,
player,201809230kan,sfo,KittGe00,pass_td,0,,,,,
player,201809230kan,sfo,KittGe00,pass_int,0,,,,,
player,201809230kan,sfo,KittGe00,pass_sacked,0,,,,,
player,201809230kan,sfo,KittGe00,pass_sacked_yds,0,,,,,
player,201809230kan,sfo,KittGe00,pass_long,0,,,,,
player,201809230kan,sfo,KittGe00,pass_rating,,,,,,
player,201809230kan,sfo,KittGe00,rush_att,0,,,,,
player,201809230kan,sfo,KittGe00,rush_yds,0,,,,,
player,201809230kan,sfo,KittGe00,rush_td,0,,,,,
player,201809230kan,sfo,KittGe00,rush_long,0,,,,,
player,201809230kan,sfo,KittGe00,targets,7,,,,,
player,201809230kan,sfo,KittGe00,rec,5,,,,,
player,201809230kan,sfo,KittGe00,rec_yds,79,,,,,
player,201809230kan,sfo,KittGe00,rec_td,0,,,,,
player,201809230kan,sfo,KittGe00,rec_long,23,,,,,
player,201809230kan,sfo,KittGe00,fumbles,0,,,,,
player,201809230kan,sfo,KittGe00,fumbles_lost,0,,,,,
player,201809230kan,sfo,JuszKy00,pass_cmp,0,,,,,
player,201809230kan,sfo,JuszKy00,pass_att,0,,,,,
player,201809230kan,sfo,JuszKy00,pass_yds,0,,,,,
player,201809230kan,sfo,JuszKy00,pass_td,0,,,,,
player,201809230kan,sfo,JuszKy00,pass_int,0,,,,,
player,201809230kan,sfo,JuszKy00,pass_sacked,0,,,,,
player,201809230kan,sfo,JuszKy00,pass_sacked_yds,0,,,,,
player,201809230kan,sfo,JuszKy00,pass_long,0,,,,,
player,201809230kan,sfo,JuszKy00,pass_rating,,,,,,
player,201809230kan,sfo,JuszKy00,rush_att,0,,,,,
player,201809230kan,sfo,JuszKy00,rush_yds,0,,,,,
player,201809230kan,sfo,JuszKy00,rush_td,0,,,,,
player,201809230kan,sfo,JuszKy00,rush_long,0,,,,,
player,201809230kan,sfo,JuszKy00,targets,4,,,,,
player,201809230kan,sfo,JuszKy00,rec,2,,,,,
player,201809230kan,sfo,JuszKy00,rec_yds,38,,,,,
player,201809230kan,sfo,JuszKy00,rec_td,1,,,,,
player,201809230kan,sfo,JuszKy00,rec_long,35,,,,,
player,201809230kan,sfo,JuszKy00,fumbles,0,,,,,
player,201809230kan,sfo,JuszKy00,fumbles_lost,0,,,,,
player,201809230kan,sfo,BourKe00,pass_cmp,0,,,,,
player,201809230kan,sfo,BourKe00,pass_att,0,,,,,
player,201809230kan,sfo,BourKe00,pass_yds,0,,,,,
player,201809230kan,sfo,BourKe00,pass_td,0,,,,,
player,201809230kan,sfo,BourKe00,pass_int,0,,,,,
player,201809230kan,sfo,BourKe00,pass_sacked,0,,,,,
player,201809230kan,sfo,BourKe00,pass_sacked_yds,0,,,,,
player,201809230kan,sfo,BourKe00,pass_long,0,,,,,
player,201809230kan,sfo,BourKe00,pass_rating,,,,,,
player,201809230kan,sfo,BourKe00,rush_att,0,,,,,
player,201809230kan,sfo,BourKe00,rush_yds,0,,,,,
player,201809230kan,sfo,BourKe00,rush_td,0,,,,,
player,201809230kan,sfo,BourKe00,rush_long,0,,,,,
player,201809230kan,sfo,BourKe00,targets,2,,,,,
player,201809230kan,sfo,BourKe00,rec,1,,,,,
player,201809230kan,sfo,BourKe00,rec_yds,27,,,,,
player,201809230kan,sfo,BourKe00,rec_td,0,,,,,
player,201809230kan,sfo,BourKe00,rec_long,27,,,,,
player,201809230kan,sfo,BourKe00,fumbles,0,,,,,
player,201809230kan,sfo,BourKe00,fumbles_lost,0,,,,,
player,201809230kan,sfo,TaylTr02,pass_cmp,0,,,,,
player,201809230kan,sfo,TaylTr02,pass_att,0,,,,,
player,201809230kan,sfo,TaylTr02,pass_yds,0,,,,,
player,201809230kan,sfo,TaylTr02,pass_td,0,,,,,
player,201809230kan,sfo,TaylTr02,pass_int,0,,,,,
player,201809230kan,sfo,TaylTr02,pass_sacked,0,,,,,
player,201809230kan,sfo,TaylTr02,pass_sacked_yds,0,,,,,
player,201809230kan,sfo,TaylTr02,pass_long,0,,,,,
player,201809230kan,sfo,TaylTr02,pass_rating,,,,,,
player,201809230kan,sfo,TaylTr02,rush_att,0,,,,,
player,201809230kan,sfo,TaylTr02,rush_yds,0,,,,,
player,201809230kan,sfo,TaylTr02,rush_td,0,,,,,
player,201809230kan,sfo,TaylTr02,rush_long,0,,,,,
player,201809230kan,sfo,TaylTr02,targets,4,,,,,
player,201809230kan,sfo,TaylTr02,rec,3,,,,,
player,201809230kan,sfo,TaylTr02,rec_yds,24,,,,,
player,201809230kan,sfo,TaylTr02,rec_td,0,,,,,
player,201809230kan,sfo,TaylTr02,rec_long,10,,,,,
player,201809230kan,sfo,TaylTr02,fumbles,0,,,,,
player,201809230kan,sfo,TaylTr02,fumbles_lost,0,,,,,
player,201809230kan,sfo,GarcPi00,pass_cmp,0,,,,,
player,201809230kan,sfo,GarcPi00,pass_att,0,,,,,
player,201809230kan,sfo,GarcPi00,pass_yds,0,,,,,
player,201809230kan,sfo,GarcPi00,pass_td,0,,,,,
player,201809230kan,sfo,GarcPi00,pass_int,0,,,,,
player,201809230kan,sfo,GarcPi00,pass_sacked,0,,,,,
player,201809230kan,sfo,GarcPi00,pass_sacked_yds,0,,,,,
player,201809230kan,sfo,GarcPi00,pass_long,0,,,,,
player,201809230kan,sfo,GarcPi00,pass_rating,,,,,,
player,201809230kan,sfo,GarcPi00,rush_att,0,,,,,
player,201809230kan,sfo,GarcPi00,rush_yds,0,,,,,
player,201809230kan,sfo,GarcPi00,rush_td,0,,,,,
player,201809230kan,sfo,GarcPi00,rush_long,0,,,,,
player,201809230kan,sfo,GarcPi00,targets,4,,,,,
player,201809230kan,sfo,GarcPi00,rec,1,,,,,
player,201809230kan,sfo,GarcPi00,rec_yds,11,,,,,
player,201809230kan,sfo,GarcPi00,rec_td,0,,,,,
player,201809230kan,sfo,GarcPi00,rec_long,11,,,,,
player,201809230kan,sfo,GarcPi00,fumbles,0,,,,,
player,201809230kan,sfo,GarcPi00,fumbles_lost,0,,,,,
player,201809230kan,sfo,MostRa00,pass_cmp,0,,,,,
player,201809230kan,sfo,MostRa00,pass_att,0,,,,,
player,201809230kan,sfo,MostRa00,pass_yds,0,,,,,
player,201809230kan,sfo,MostRa00,pass_td,0,,,,,
player,201809230kan,sfo,MostRa00,pass_int,0,,,,,
player,201809230kan,sfo,MostRa00,pass_sacked,0,,,,,
player,201809230kan,sfo,MostRa00,pass_sacked_yds,0,,,,,
player,201809230kan,sfo,MostRa00,pass_long,0,,,,,
player,201809230kan,sfo,MostRa00,pass_rating,,,,,,
player,201809230kan,sfo,MostRa00,rush_att,1,,,,,
player,201809230kan,sfo,MostRa00,rush_yds,0,,,,,
player,201809230kan,sfo,MostRa00,rush_td,0,,,,,
player,201809230kan,sfo,MostRa00,rush_long,0,,,,,
player,201809230kan,sfo,MostRa00,targets,1,,,,,
player,201809230kan,sfo,MostRa00,rec,1,,,,,
player,201809230kan,sfo,MostRa00,rec_yds,8,,,,,
player,201809230kan,sfo,MostRa00,rec_td,0,,,,,
player,201809230kan,sfo,MostRa00,rec_long,8,,,,,
player,201809230kan,sfo,MostRa00,fumbles,0,,,,,
player,201809230kan,sfo,MostRa00,fumbles_lost,0,,,,,
player,201809230kan,sfo,CeleGa00,pass_cmp,0,,,,,
player,201809230kan,sfo,CeleGa00,pass_att,0,,,,,
player,201809230kan,sfo,CeleGa00,pass_yds,0,,,,,
player,201809230kan,sfo,CeleGa00,pass_td,0,,,,,
player,201809230kan,sfo,CeleGa00,pass_int,0,,,,,
player,201809230kan,sfo,CeleGa00,pass_sacked,0,,,,,
player,201809230kan,sfo,CeleGa00,pass_sacked_yds,0,,,,,
player,201809230kan,sfo,CeleGa00,pass_long,0,,,,,
player,201809230kan,sfo,CeleGa00,pass_rating,,,,,,
player,201809230kan,sfo,CeleGa00,rush_att,0,,,,,
player,201809230kan,sfo,CeleGa00,rush_yds,0,,,,,
player,201809230kan,sfo,CeleGa00,rush_td,0,,,,,
player,201809230kan,sfo,CeleGa00,rush_long,0,,,,,
player,201809230kan,sfo,CeleGa00,targets,1,,,,,
player,201809230kan,sfo,CeleGa00,rec,1,,,,,
player,201809230kan,sfo,CeleGa00,rec_yds,7,,,,,
player,201809230kan,sfo,CeleGa00,rec_td,0,,,,,
player,201809230kan,sfo,CeleGa00,rec_long,7,,,,,
player,201809230kan,sfo,CeleGa00,fumbles,0,,,,,
player,201809230kan,sfo,CeleGa00,fumbles_lost,0,,,,,
player,201809230kan,sfo,GoodMa00,pass_cmp,0,,,,,
player,201809230kan,sfo,GoodMa00,pass_att,0,,,,,
player,201809230kan,sfo,GoodMa00,pass_yds,0,,,,,
player,201809230kan,sfo,GoodMa00,pass_td,0,,,,,
player,201809230kan,sfo,GoodMa00,pass_int,0,,,,,
player,201809230kan,sfo,GoodMa00,pass_sacked,0,,,,,
player,201809230kan,sfo,GoodMa00,pass_sacked_yds,0,,,,,
player,201809230kan,sfo,GoodMa00,pass_long,0,,,,,
player,201809230kan,sfo,GoodMa00,pass_rating,,,,,,
player,201809230kan,sfo,GoodMa00,rush_att,1,,,,,
player,201809230kan,sfo,GoodMa00,rush_yds,-2,,,,,
player,201809230kan,sfo,GoodMa00,rush_td,0,,,,,
player,201809230kan,sfo,GoodMa00,rush_long,-2,,,,,
player,201809230kan,sfo,GoodMa00,targets,4,,,,,
player,201809230kan,sfo,GoodMa00,rec,3,,,,,
player,201809230kan,sfo,GoodMa00,rec_yds,30,,,,,
player,201809230kan,sfo,GoodMa00,rec_td,1,,,,,
player,201809230kan,sfo,GoodMa00,rec_long,13,,,,,
player,201809230kan,sfo,GoodMa00,fumbles,0,,,,,
player,201809230kan,sfo,GoodMa00,fumbles_lost,0,,,,,
player,201809230kan,kan,MahoPa00,pass_cmp,24,,,,,
player,201809230kan,kan,MahoPa00,pass_att,38,,,,,
player,201809230kan,kan,MahoPa00,pass_yds,314,,,,,
player,201809230kan,kan,MahoPa00,pass_td,3,,,,,
player,201809230kan,kan,MahoPa00,pass_int,0,,,,,
player,201809230kan,kan,MahoPa00,pass_sacked,2,,,,,
player,201809230kan,kan,MahoPa00,pass_sacked_yds,7,,,,,
player,201809230kan,kan,MahoPa00,pass_long,42,,,,,
player,201809230kan,kan,MahoPa00,pass_rating,115.5,,,,,
player,201809230kan,kan,MahoPa00,rush_att,5,,,,,
player,201809230kan,kan,MahoPa00,rush_yds,7,,,,,
player,201809230kan,kan,MahoPa00,rush_td,0,,,,,
player,201809230kan,kan,MahoPa00,rush_long,7,,,,,
player,201809230kan,kan,MahoPa00,targets,0,,,,,
player,201809230kan,kan,MahoPa00,rec,0,,,,,
player,201809230kan,kan,MahoPa00,rec_yds,0,,,,,
player,201809230kan,kan,MahoPa00,rec_td,0,,,,,
player,201809230kan,kan,MahoPa00,rec_long,0,,,,,
player,201809230kan,kan,MahoPa00,fumbles,1,,,,,
player,201809230kan,kan,MahoPa00,fumbles_lost,0,,,,,
player,201809230kan,kan,HuntKa00,pass_cmp,0,,,,,
player,201809230kan,kan,HuntKa00,pass_att,0,,,,,
player,201809230kan,kan,HuntKa00,pass_yds,0,,,,,
player,201809230kan,kan,HuntKa00,pass_td,0,,,,,
player,201809230kan,kan,HuntKa00,pass_int,0,,,,,
player,201809230kan,kan,HuntKa00,pass_sacked,0,,,,,
player,201809230kan,kan,HuntKa00,pass_sacked_yds,0,,,,,
player,201809230kan,kan,HuntKa00,pass_long,0,,,,,
player,201809230kan,kan,HuntKa00,pass_rating,,,,,,
player,201809230kan,kan,HuntKa00,rush_att,18,,,,,
player,201809230kan,kan,HuntKa00,rush_yds,44,,,,,
player,201809230kan,kan,HuntKa00,rush_td,2,,,,,
player,201809230kan,kan,HuntKa00,rush_long,10,,,,,
player,201809230kan,kan,HuntKa00,targets,1,,,,,
player,201809230kan,kan,HuntKa00,rec,0,,,,,
player,201809230kan,kan,HuntKa00,rec_yds,0,,,,,
player,201809230kan,kan,HuntKa00,rec_td,0,,,,,
player,201809230kan,kan,HuntKa00,rec_long,0,,,,,
player,201809230kan,kan,HuntKa00,fumbles,0,,,,,
player,201809230kan,kan,HuntKa00,fumbles_lost,0,,,,,
player,201809230kan,kan,WatkSa00,pass_cmp,0,,,,,
player,201809230kan,kan,WatkSa00,pass_att,0,,,,,
player,201809230kan,kan,WatkSa00,pass_yds,0,,,,,
player,201809230kan,kan,WatkSa00,pass_td,0,,,,,
player,201809230kan,kan,WatkSa00,pass_int,0,,,,,
player,201809230kan,kan,WatkSa00,pass_sacked,0,,,,,
player,201809230kan,kan,WatkSa00,pass_sacked_yds,0,,,,,
player,201809230kan,kan,WatkSa00,pass_long,0,,,,,
player,201809230kan,kan,WatkSa00,pass_rating,,,,,,
player,201809230kan,kan,WatkSa00,rush_att,2,,,,,
player,201809230kan,kan,WatkSa00,rush_yds,20,,,,,
player,201809230kan,kan,WatkSa00,rush_td,0,,,,,
player,201809230kan,kan,WatkSa00,rush_long,11,,,,,
player,201809230kan,kan,WatkSa00,targets,8,,,,,
player,201809230kan,kan,WatkSa00,rec,5,,,,,
player,201809230kan,kan,WatkSa00,rec_yds,55,,,,,
player,201809230kan,kan,WatkSa00,rec_td,1,,,,,
player,201809230kan,kan,WatkSa00,rec_long,15,,,,,
player,201809230kan,kan,WatkSa00,fumbles,1,,,,,
player,201809230kan,kan,WatkSa00,fumbles_lost,0,,,,,
player,201809230kan,kan,HillTy00,pass_cmp,0,,,,,
player,201809230kan,kan,HillTy00,pass_att,0,,,,,
player,201809230kan,kan,HillTy00,pass_yds,0,,,,,
player,201809230kan,kan,HillTy00,pass_td,0,,,,,
player,201809230kan,kan,HillTy00,pass_int,0,,,,,
player,201809230kan,kan,HillTy00,pass_sacked,0,,,,,
player,201809230kan,kan,HillTy00,pass_sacked_yds,0,,,,,
player,201809230kan,kan,HillTy00,pass_long,0,,,,,
player,201809230kan,kan,HillTy00,pass_rating,,,,,,
player,201809230kan,kan,HillTy00,rush_att,2,,,,,
player,201809230kan,kan,HillTy00,rush_yds,5,,,,,
player,201809230kan,kan,HillTy00,rush_td,0,,,,,
player,201809230kan,kan,HillTy00,rush_long,5,,,,,
player,201809230kan,kan,HillTy00,targets,5,,,,,
player,201809230kan,kan,HillTy00,rec,2,,,,,
player,201809230kan,kan,HillTy00,rec_yds,51,,,,,
player,201809230kan,kan,HillTy00,rec_td,0,,,,,
player,201809230kan,kan,HillTy00,rec_long,42,,,,,
player,201809230kan,kan,HillTy00,fumbles,0,,,,,
player,201809230kan,kan,HillTy00,fumbles_lost,0,,,,,
player,201809230kan,kan,WareSp00,pass_cmp,0,,,,,
player,201809230kan,kan,WareSp00,pass_att,0,,,,,
player,201809230kan,kan,WareSp00,pass_yds,0,,,,,
player,201809230kan,kan,WareSp00,pass_td,0,,,,,
player,201809230kan,kan,WareSp00,pass_int,0,,,,,
player,201809230kan,kan,WareSp00,pass_sacked,0,,,,,
player,201809230kan,kan,WareSp00,pass_sacked_yds,0,,,,,
player,201809230kan,kan,WareSp00,pass_long,0,,,,,
player,201809230kan,kan,WareSp00,pass_rating,,,,,,
player,201809230kan,kan,WareSp00,rush_att,1,,,,,
player,201809230kan,kan,WareSp00,rush_yds,1,,,,,
player,201809230kan,kan,WareSp00,rush_td,0,,,,,
player,201809230kan,kan,WareSp00,rush_long,1,,,,,
player,201809230kan,kan,WareSp00,targets,3,,,,,
player,201809230kan,kan,WareSp00,rec,2,,,,,
player,201809230kan,kan,WareSp00,rec_yds,29,,,,,
player,201809230kan,kan,WareSp00,rec_td,0,,,,,
player,201809230kan,kan,WareSp00,rec_long,15,,,,,
player,201809230kan,kan,WareSp00,fumbles,0,,,,,
player,201809230kan,kan,WareSp00,fumbles_lost,0,,,,,
player,201809230kan,kan,KelcTr00,pass_cmp,0,,,,,
player,201809230kan,kan,KelcTr00,pass_att,0,,,,,
player,201809230kan,kan,KelcTr00,pass_yds,0,,,,,
player,201809230kan,kan,KelcTr00,pass_td,0,,,,,
player,201809230kan,kan,KelcTr00,pass_int,0,,,,,
player,201809230kan,kan,KelcTr00,pass_sacked,0,,,,,
player,201809230kan,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201809230kan,kan,KelcTr00,pass_long,0,,,,,
player,201809230kan,kan,KelcTr00,pass_rating,,,,,,
player,201809230kan,kan,KelcTr00,rush_att,0,,,,,
player,201809230kan,kan,KelcTr00,rush_yds,0,,,,,
player,201809230kan,kan,KelcTr00,rush_td,0,,,,,
player,201809230kan,kan,KelcTr00,rush_long,0,,,,,
player,201809230kan,kan,KelcTr00,targets,10,,,,,
player,201809230kan,kan,KelcTr00,rec,8,,,,,
player,201809230kan,kan,KelcTr00,rec_yds,114,,,,,
player,201809230kan,kan,KelcTr00,rec_td,0,,,,,
player,201809230kan,kan,KelcTr00,rec_long,25,,,,,
player,201809230kan,kan,KelcTr00,fumbles,0,,,,,
player,201809230kan,kan,KelcTr00,fumbles_lost,0,,,,,
player,201809230kan,kan,SherAn00,pass_cmp,0,,,,,
player,201809230kan,kan,SherAn00,pass_att,0,,,,,
player,201809230kan,kan,SherAn00,pass_yds,0,,,,,
player,201809230kan,kan,SherAn00,pass_td,0,,,,,
player,201809230kan,kan,SherAn00,pass_int,0,,,,,
player,201809230kan,kan,SherAn00,pass_sacked,0,,,,,
player,201809230kan,kan,SherAn00,pass_sacked_yds,0,,,,,
player,201809230kan,kan,SherAn00,pass_long,0,,,,,
player,201809230kan,kan,SherAn00,pass_rating,,,,,,
player,201809230kan,kan,SherAn00,rush_att,0,,,,,
player,201809230kan,kan,SherAn00,rush_yds,0,,,,,
player,201809230kan,kan,SherAn00,rush_td,0,,,,,
player,201809230kan,kan,SherAn00,rush_long,0,,,,,
player,201809230kan,kan,SherAn00,targets,1,,,,,
player,201809230kan,kan,SherAn00,rec,1,,,,,
player,201809230kan,kan,SherAn00,rec_yds,16,,,,,
player,201809230kan,kan,SherAn00,rec_td,0,,,,,
player,201809230kan,kan,SherAn00,rec_long,16,,,,,
player,201809230kan,kan,SherAn00,fumbles,0,,,,,
player,201809230kan,kan,SherAn00,fumbles_lost,0,,,,,
player,201809230kan,kan,WillDa05,pass_cmp,0,,,,,
player,201809230kan,kan,WillDa05,pass_att,0,,,,,
player,201809230kan,kan,WillDa05,pass_yds,0,,,,,
player,201809230kan,kan,WillDa05,pass_td,0,,,,,
player,201809230kan,kan,WillDa05,pass_int,0,,,,,
player,201809230kan,kan,WillDa05,pass_sacked,0,,,,,
player,201809230kan,kan,WillDa05,pass_sacked_yds,0,,,,,
player,201809230kan,kan,WillDa05,pass_long,0,,,,,
player,201809230kan,kan,WillDa05,pass_rating,,,,,,
player,201809230kan,kan,WillDa05,rush_att,0,,,,,
player,201809230kan,kan,WillDa05,rush_yds,0,,,,,
player,201809230kan,kan,WillDa05,rush_td,0,,,,,
player,201809230kan,kan,WillDa05,rush_long,0,,,,,
player,201809230kan,kan,WillDa05,targets,2,,,,,
player,201809230kan,kan,WillDa05,rec,2,,,,,
player,201809230kan,kan,WillDa05,rec_yds,16,,,,,
player,201809230kan,kan,WillDa05,rec_td,0,,,,,
player,201809230kan,kan,WillDa05,rec_long,9,,,,,
player,201809230kan,kan,WillDa05,fumbles,0,,,,,
player,201809230kan,kan,WillDa05,fumbles_lost,0,,,,,
player,201809230kan,kan,HarrDe03,pass_cmp,0,,,,,
player,201809230kan,kan,HarrDe03,pass_att,0,,,,,
player,201809230kan,kan,HarrDe03,pass_yds,0,,,,,
player,201809230kan,kan,HarrDe03,pass_td,0,,,,,
player,201809230kan,kan,HarrDe03,pass_int,0,,,,,
player,201809230kan,kan,HarrDe03,pass_sacked,0,,,,,
player,201809230kan,kan,HarrDe03,pass_sacked_yds,0,,,,,
player,201809230kan,kan,HarrDe03,pass_long,0,,,,,
player,201809230kan,kan,HarrDe03,pass_rating,,,,,,
player,201809230kan,kan,HarrDe03,rush_att,0,,,,,
player,201809230kan,kan,HarrDe03,rush_yds,0,,,,,
player,201809230kan,kan,HarrDe03,rush_td,0,,,,,
player,201809230kan,kan,HarrDe03,rush_long,0,,,,,
player,201809230kan,kan,HarrDe03,targets,3,,,,,
player,201809230kan,kan,HarrDe03,rec,1,,,,,
player,201809230kan,kan,HarrDe03,rec_yds,13,,,,,
player,201809230kan,kan,HarrDe03,rec_td,1,,,,,
player,201809230kan,kan,HarrDe03,rec_long,13,,,,,
player,201809230kan,kan,HarrDe03,fumbles,0,,,,,
player,201809230kan,kan,HarrDe03,fumbles_lost,0,,,,,
player,201809230kan,kan,ConlCh00,pass_cmp,0,,,,,
player,201809230kan,kan,ConlCh00,pass_att,0,,,,,
player,201809230kan,kan,ConlCh00,pass_yds,0,,,,,
player,201809230kan,kan,ConlCh00,pass_td,0,,,,,
player,201809230kan,kan,ConlCh00,pass_int,0,,,,,
player,201809230kan,kan,ConlCh00,pass_sacked,0,,,,,
player,201809230kan,kan,ConlCh00,pass_sacked_yds,0,,,,,
player,201809230kan,kan,ConlCh00,pass_long,0,,,,,
player,201809230kan,kan,ConlCh00,pass_rating,,,,,,
player,201809230kan,kan,ConlCh00,rush_att,0,,,,,
player,201809230kan,kan,ConlCh00,rush_yds,0,,,,,
player,201809230kan,kan,ConlCh00,rush_td,0,,,,,
player,201809230kan,kan,ConlCh00,rush_long,0,,,,,
player,201809230kan,kan,ConlCh00,targets,3,,,,,
player,201809230kan,kan,ConlCh00,rec,2,,,,,
player,201809230kan,kan,ConlCh00,rec_yds,13,,,,,
player,201809230kan,kan,ConlCh00,rec_td,1,,,,,
player,201809230kan,kan,ConlCh00,rec_long,9,,,,,
player,201809230kan,kan,ConlCh00,fumbles,0,,,,,
player,201809230kan,kan,ConlCh00,fumbles_lost,0,,,,,
player,201809230kan,kan,KempMa00,pass_cmp,0,,,,,
player,201809230kan,kan,KempMa00,pass_att,0,,,,,
player,201809230kan,kan,KempMa00,pass_yds,0,,,,,
player,201809230kan,kan,KempMa00,pass_td,0,,,,,
player,201809230kan,kan,KempMa00,pass_int,0,,,,,
player,201809230kan,kan,KempMa00,pass_sacked,0,,,,,
player,201809230kan,kan,KempMa00,pass_sacked_yds,0,,,,,
