game,2018,10,20181111,201811110tam,was,"Washington Redskins",16,tam,"Tampa Bay Buccaneers",3
player,201811110tam,tam,BarbPe01,pass_sacked_yds,0,,,,,
player,201811110tam,tam,BarbPe01,pass_long,0,,,,,
player,201811110tam,tam,BarbPe01,pass_rating,,,,,,
player,201811110tam,tam,BarbPe01,rush_att,13,,,,,
player,201811110tam,tam,BarbPe01,rush_yds,61,,,,,
player,201811110tam,tam,BarbPe01,rush_td,0,,,,,
player,201811110tam,tam,BarbPe01,rush_long,14,,,,,
player,201811110tam,tam,BarbPe01,targets,1,,,,,
player,201811110tam,tam,BarbPe01,rec,1,,,,,
player,201811110tam,tam,BarbPe01,rec_yds,5,,,,,
player,201811110tam,tam,BarbPe01,rec_td,0,,,,,
player,201811110tam,tam,BarbPe01,rec_long,5,,,,,
player,201811110tam,tam,BarbPe01,fumbles,0,,,,,
player,201811110tam,tam,BarbPe01,fumbles_lost,0,,,,,
player,201811110tam,tam,WilsSh01,pass_cmp,0,,,,,
player,201811110tam,tam,WilsSh01,pass_att,0,,,,,
player,201811110tam,tam,WilsSh01,pass_yds,0,,,,,
player,201811110tam,tam,WilsSh01,pass_td,0,,,,,
player,201811110tam,tam,WilsSh01,pass_int,0,,,,,
player,201811110tam,tam,WilsSh01,pass_sacked,0,,,,,
player,201811110tam,tam,WilsSh01,pass_sacked_yds,0,,,,,
player,201811110tam,tam,WilsSh01,pass_long,0,,,,,
player,201811110tam,tam,WilsSh01,pass_rating,,,,,,
player,201811110tam,tam,WilsSh01,rush_att,2,,,,,
player,201811110tam,tam,WilsSh01,rush_yds,7,,,,,
player,201811110tam,tam,WilsSh01,rush_td,0,,,,,
player,201811110tam,tam,WilsSh01,rush_long,4,,,,,
player,201811110tam,tam,WilsSh01,targets,3,,,,,
player,201811110tam,tam,WilsSh01,rec,1,,,,,
player,201811110tam,tam,WilsSh01,rec_yds,-4,,,,,
player,201811110tam,tam,WilsSh01,rec_td,0,,,,,
player,201811110tam,tam,WilsSh01,rec_long,-4,,,,,
player,201811110tam,tam,WilsSh01,fumbles,0,,,,,
player,201811110tam,tam,WilsSh01,fumbles_lost,0,,,,,
player,201811110tam,tam,GodwCh00,pass_cmp,0,,,,,
player,201811110tam,tam,GodwCh00,pass_att,0,,,,,
player,201811110tam,tam,GodwCh00,pass_yds,0,,,,,
player,201811110tam,tam,GodwCh00,pass_td,0,,,,,
player,201811110tam,tam,GodwCh00,pass_int,0,,,,,
player,201811110tam,tam,GodwCh00,pass_sacked,0,,,,,
