game,2018,16,20181223,201812230phi,htx,"Houston Texans",30,phi,"Philadelphia Eagles",32
player,201812230phi,htx,ThomDe03,rec,3,,,,,
player,201812230phi,htx,ThomDe03,rec_yds,37,,,,,
player,201812230phi,htx,ThomDe03,rec_td,0,,,,,
player,201812230phi,htx,ThomDe03,rec_long,15,,,,,
player,201812230phi,htx,ThomDe03,fumbles,0,,,,,
player,201812230phi,htx,ThomDe03,fumbles_lost,0,,,,,
player,201812230phi,htx,SmitVy00,pass_cmp,0,,,,,
player,201812230phi,htx,SmitVy00,pass_att,0,,,,,
player,201812230phi,htx,SmitVy00,pass_yds,0,,,,,
player,201812230phi,htx,SmitVy00,pass_td,0,,,,,
player,201812230phi,htx,SmitVy00,pass_int,0,,,,,
player,201812230phi,htx,SmitVy00,pass_sacked,0,,,,,
player,201812230phi,htx,SmitVy00,pass_sacked_yds,0,,,,,
player,201812230phi,htx,SmitVy00,pass_long,0,,,,,
player,201812230phi,htx,SmitVy00,pass_rating,,,,,,
player,201812230phi,htx,SmitVy00,rush_att,0,,,,,
player,201812230phi,htx,SmitVy00,rush_yds,0,,,,,
player,201812230phi,htx,SmitVy00,rush_td,0,,,,,
player,201812230phi,htx,SmitVy00,rush_long,0,,,,,
player,201812230phi,htx,SmitVy00,targets,1,,,,,
player,201812230phi,htx,SmitVy00,rec,1,,,,,
player,201812230phi,htx,SmitVy00,rec_yds,35,,,,,
player,201812230phi,htx,SmitVy00,rec_td,1,,,,,
player,201812230phi,htx,SmitVy00,rec_long,35,,,,,
player,201812230phi,htx,SmitVy00,fumbles,0,,,,,
player,201812230phi,htx,SmitVy00,fumbles_lost,0,,,,,
player,201812230phi,htx,AkinJo00,pass_cmp,0,,,,,
player,201812230phi,htx,AkinJo00,pass_att,0,,,,,
player,201812230phi,htx,AkinJo00,pass_yds,0,,,,,
player,201812230phi,htx,AkinJo00,pass_td,0,,,,,
player,201812230phi,htx,AkinJo00,pass_int,0,,,,,
player,201812230phi,htx,AkinJo00,pass_sacked,0,,,,,
player,201812230phi,htx,AkinJo00,pass_sacked_yds,0,,,,,
player,201812230phi,htx,AkinJo00,pass_long,0,,,,,
player,201812230phi,htx,AkinJo00,pass_rating,,,,,,
player,201812230phi,htx,AkinJo00,rush_att,0,,,,,
player,201812230phi,htx,AkinJo00,rush_yds,0,,,,,
player,201812230phi,htx,AkinJo00,rush_td,0,,,,,
player,201812230phi,htx,AkinJo00,rush_long,0,,,,,
player,201812230phi,htx,AkinJo00,targets,3,,,,,
player,201812230phi,htx,AkinJo00,rec,2,,,,,
player,201812230phi,htx,AkinJo00,rec_yds,33,,,,,
player,201812230phi,htx,AkinJo00,rec_td,0,,,,,
player,201812230phi,htx,AkinJo00,rec_long,22,,,,,
player,201812230phi,htx,AkinJo00,fumbles,0,,,,,
player,201812230phi,htx,AkinJo00,fumbles_lost,0,,,,,
player,201812230phi,htx,GrifRy00,pass_cmp,0,,,,,
player,201812230phi,htx,GrifRy00,pass_att,0,,,,,
player,201812230phi,htx,GrifRy00,pass_yds,0,,,,,
player,201812230phi,htx,GrifRy00,pass_td,0,,,,,
player,201812230phi,htx,GrifRy00,pass_int,0,,,,,
player,201812230phi,htx,GrifRy00,pass_sacked,0,,,,,
player,201812230phi,htx,GrifRy00,pass_sacked_yds,0,,,,,
player,201812230phi,htx,GrifRy00,pass_long,0,,,,,
player,201812230phi,htx,GrifRy00,pass_rating,,,,,,
player,201812230phi,htx,GrifRy00,rush_att,0,,,,,
player,201812230phi,htx,GrifRy00,rush_yds,0,,,,,
player,201812230phi,htx,GrifRy00,rush_td,0,,,,,
player,201812230phi,htx,GrifRy00,rush_long,0,,,,,
player,201812230phi,htx,GrifRy00,targets,4,,,,,
player,201812230phi,htx,GrifRy00,rec,2,,,,,
player,201812230phi,htx,GrifRy00,rec_yds,15,,,,,
player,201812230phi,htx,GrifRy00,rec_td,0,,,,,
player,201812230phi,htx,GrifRy00,rec_long,10,,,,,
player,201812230phi,htx,GrifRy00,fumbles,0,,,,,
player,201812230phi,htx,GrifRy00,fumbles_lost,0,,,,,
player,201812230phi,htx,ThomJo05,pass_cmp,0,,,,,
player,201812230phi,htx,ThomJo05,pass_att,0,,,,,
player,201812230phi,htx,ThomJo05,pass_yds,0,,,,,
player,201812230phi,htx,ThomJo05,pass_td,0,,,,,
player,201812230phi,htx,ThomJo05,pass_int,0,,,,,
player,201812230phi,htx,ThomJo05,pass_sacked,0,,,,,
player,201812230phi,htx,ThomJo05,pass_sacked_yds,0,,,,,
player,201812230phi,htx,ThomJo05,pass_long,0,,,,,
player,201812230phi,htx,ThomJo05,pass_rating,,,,,,
player,201812230phi,htx,ThomJo05,rush_att,0,,,,,
player,201812230phi,htx,ThomJo05,rush_yds,0,,,,,
player,201812230phi,htx,ThomJo05,rush_td,0,,,,,
player,201812230phi,htx,ThomJo05,rush_long,0,,,,,
player,201812230phi,htx,ThomJo05,targets,1,,,,,
player,201812230phi,htx,ThomJo05,rec,0,,,,,
player,201812230phi,htx,ThomJo05,rec_yds,0,,,,,
player,201812230phi,htx,ThomJo05,rec_td,0,,,,,
player,201812230phi,htx,ThomJo05,rec_long,0,,,,,
player,201812230phi,htx,ThomJo05,fumbles,0,,,,,
player,201812230phi,htx,ThomJo05,fumbles_lost,0,,,,,
player,201812230phi,htx,ForeDO00,pass_cmp,0,,,,,
player,201812230phi,htx,ForeDO00,pass_att,0,,,,,
player,201812230phi,htx,ForeDO00,pass_yds,0,,,,,
player,201812230phi,htx,ForeDO00,pass_td,0,,,,,
player,201812230phi,htx,ForeDO00,pass_int,0,,,,,
player,201812230phi,htx,ForeDO00,pass_sacked,0,,,,,
player,201812230phi,htx,ForeDO00,pass_sacked_yds,0,,,,,
player,201812230phi,htx,ForeDO00,pass_long,0,,,,,
player,201812230phi,htx,ForeDO00,pass_rating,,,,,,
player,201812230phi,htx,ForeDO00,rush_att,7,,,,,
player,201812230phi,htx,ForeDO00,rush_yds,-1,,,,,
player,201812230phi,htx,ForeDO00,rush_td,0,,,,,
player,201812230phi,htx,ForeDO00,rush_long,2,,,,,
player,201812230phi,htx,ForeDO00,targets,2,,,,,
player,201812230phi,htx,ForeDO00,rec,2,,,,,
player,201812230phi,htx,ForeDO00,rec_yds,28,,,,,
player,201812230phi,htx,ForeDO00,rec_td,1,,,,,
player,201812230phi,htx,ForeDO00,rec_long,20,,,,,
player,201812230phi,htx,ForeDO00,fumbles,1,,,,,
player,201812230phi,htx,ForeDO00,fumbles_lost,0,,,,,
player,201812230phi,phi,FoleNi00,pass_cmp,35,,,,,
player,201812230phi,phi,FoleNi00,pass_att,49,,,,,
player,201812230phi,phi,FoleNi00,pass_yds,471,,,,,
player,201812230phi,phi,FoleNi00,pass_td,4,,,,,
player,201812230phi,phi,FoleNi00,pass_int,1,,,,,
player,201812230phi,phi,FoleNi00,pass_sacked,1,,,,,
player,201812230phi,phi,FoleNi00,pass_sacked_yds,9,,,,,
player,201812230phi,phi,FoleNi00,pass_long,83,,,,,
player,201812230phi,phi,FoleNi00,pass_rating,120.4,,,,,
player,201812230phi,phi,FoleNi00,rush_att,1,,,,,
player,201812230phi,phi,FoleNi00,rush_yds,1,,,,,
player,201812230phi,phi,FoleNi00,rush_td,0,,,,,
player,201812230phi,phi,FoleNi00,rush_long,1,,,,,
player,201812230phi,phi,FoleNi00,targets,0,,,,,
player,201812230phi,phi,FoleNi00,rec,0,,,,,
player,201812230phi,phi,FoleNi00,rec_yds,0,,,,,
player,201812230phi,phi,FoleNi00,rec_td,0,,,,,
player,201812230phi,phi,FoleNi00,rec_long,0,,,,,
player,201812230phi,phi,FoleNi00,fumbles,1,,,,,
player,201812230phi,phi,FoleNi00,fumbles_lost,1,,,,,
player,201812230phi,phi,SudfNa00,pass_cmp,0,,,,,
player,201812230phi,phi,SudfNa00,pass_att,1,,,,,
player,201812230phi,phi,SudfNa00,pass_yds,0,,,,,
player,201812230phi,phi,SudfNa00,pass_td,0,,,,,
player,201812230phi,phi,SudfNa00,pass_int,0,,,,,
player,201812230phi,phi,SudfNa00,pass_sacked,0,,,,,
player,201812230phi,phi,SudfNa00,pass_sacked_yds,0,,,,,
player,201812230phi,phi,SudfNa00,pass_long,0,,,,,
player,201812230phi,phi,SudfNa00,pass_rating,39.6,,,,,
player,201812230phi,phi,SudfNa00,rush_att,0,,,,,
player,201812230phi,phi,SudfNa00,rush_yds,0,,,,,
player,201812230phi,phi,SudfNa00,rush_td,0,,,,,
player,201812230phi,phi,SudfNa00,rush_long,0,,,,,
player,201812230phi,phi,SudfNa00,targets,0,,,,,
player,201812230phi,phi,SudfNa00,rec,0,,,,,
player,201812230phi,phi,SudfNa00,rec_yds,0,,,,,
player,201812230phi,phi,SudfNa00,rec_td,0,,,,,
player,201812230phi,phi,SudfNa00,rec_long,0,,,,,
player,201812230phi,phi,SudfNa00,fumbles,0,,,,,
player,201812230phi,phi,SudfNa00,fumbles_lost,0,,,,,
player,201812230phi,phi,SproDa00,pass_cmp,0,,,,,
player,201812230phi,phi,SproDa00,pass_att,0,,,,,
player,201812230phi,phi,SproDa00,pass_yds,0,,,,,
player,201812230phi,phi,SproDa00,pass_td,0,,,,,
player,201812230phi,phi,SproDa00,pass_int,0,,,,,
player,201812230phi,phi,SproDa00,pass_sacked,0,,,,,
player,201812230phi,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201812230phi,phi,SproDa00,pass_long,0,,,,,
player,201812230phi,phi,SproDa00,pass_rating,,,,,,
player,201812230phi,phi,SproDa00,rush_att,9,,,,,
player,201812230phi,phi,SproDa00,rush_yds,32,,,,,
player,201812230phi,phi,SproDa00,rush_td,0,,,,,
player,201812230phi,phi,SproDa00,rush_long,16,,,,,
player,201812230phi,phi,SproDa00,targets,6,,,,,
player,201812230phi,phi,SproDa00,rec,3,,,,,
player,201812230phi,phi,SproDa00,rec_yds,76,,,,,
player,201812230phi,phi,SproDa00,rec_td,1,,,,,
player,201812230phi,phi,SproDa00,rec_long,37,,,,,
player,201812230phi,phi,SproDa00,fumbles,0,,,,,
player,201812230phi,phi,SproDa00,fumbles_lost,0,,,,,
player,201812230phi,phi,AdamJo03,pass_cmp,0,,,,,
player,201812230phi,phi,AdamJo03,pass_att,0,,,,,
player,201812230phi,phi,AdamJo03,pass_yds,0,,,,,
player,201812230phi,phi,AdamJo03,pass_td,0,,,,,
player,201812230phi,phi,AdamJo03,pass_int,0,,,,,
player,201812230phi,phi,AdamJo03,pass_sacked,0,,,,,
player,201812230phi,phi,AdamJo03,pass_sacked_yds,0,,,,,
player,201812230phi,phi,AdamJo03,pass_long,0,,,,,
player,201812230phi,phi,AdamJo03,pass_rating,,,,,,
player,201812230phi,phi,AdamJo03,rush_att,11,,,,,
player,201812230phi,phi,AdamJo03,rush_yds,21,,,,,
player,201812230phi,phi,AdamJo03,rush_td,0,,,,,
player,201812230phi,phi,AdamJo03,rush_long,6,,,,,
player,201812230phi,phi,AdamJo03,targets,1,,,,,
player,201812230phi,phi,AdamJo03,rec,0,,,,,
player,201812230phi,phi,AdamJo03,rec_yds,0,,,,,
player,201812230phi,phi,AdamJo03,rec_td,0,,,,,
player,201812230phi,phi,AdamJo03,rec_long,0,,,,,
player,201812230phi,phi,AdamJo03,fumbles,1,,,,,
player,201812230phi,phi,AdamJo03,fumbles_lost,1,,,,,
player,201812230phi,phi,SmalWe00,pass_cmp,0,,,,,
player,201812230phi,phi,SmalWe00,pass_att,0,,,,,
player,201812230phi,phi,SmalWe00,pass_yds,0,,,,,
player,201812230phi,phi,SmalWe00,pass_td,0,,,,,
player,201812230phi,phi,SmalWe00,pass_int,0,,,,,
player,201812230phi,phi,SmalWe00,pass_sacked,0,,,,,
player,201812230phi,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201812230phi,phi,SmalWe00,pass_long,0,,,,,
player,201812230phi,phi,SmalWe00,pass_rating,,,,,,
player,201812230phi,phi,SmalWe00,rush_att,1,,,,,
player,201812230phi,phi,SmalWe00,rush_yds,3,,,,,
player,201812230phi,phi,SmalWe00,rush_td,0,,,,,
player,201812230phi,phi,SmalWe00,rush_long,3,,,,,
player,201812230phi,phi,SmalWe00,targets,4,,,,,
player,201812230phi,phi,SmalWe00,rec,4,,,,,
player,201812230phi,phi,SmalWe00,rec_yds,24,,,,,
player,201812230phi,phi,SmalWe00,rec_td,0,,,,,
player,201812230phi,phi,SmalWe00,rec_long,10,,,,,
player,201812230phi,phi,SmalWe00,fumbles,0,,,,,
player,201812230phi,phi,SmalWe00,fumbles_lost,0,,,,,
player,201812230phi,phi,AghoNe00,pass_cmp,0,,,,,
player,201812230phi,phi,AghoNe00,pass_att,0,,,,,
