game,2018,9,20181104,201811040car,tam,"Tampa Bay Buccaneers",28,car,"Carolina Panthers",42
player,201811040car,tam,AngeBr00,pass_hits,0,,,,,
player,201811040car,tam,AngeBr00,rush_scrambles,0,,,,,
player,201811040car,tam,AngeBr00,rush_scrambles_yds_per_att,,,,,,
player,201811040car,car,NewtCa00,pass_cmp,19,,,,,
player,201811040car,car,NewtCa00,pass_att,25,,,,,
player,201811040car,car,NewtCa00,pass_yds,247,,,,,
player,201811040car,car,NewtCa00,pass_first_down,11,,,,,
player,201811040car,car,NewtCa00,pass_air_yds,120,,,,,
player,201811040car,car,NewtCa00,pass_air_yds_per_cmp,6.3,,,,,
player,201811040car,car,NewtCa00,pass_air_yds_per_att,4.8,,,,,
player,201811040car,car,NewtCa00,pass_tgt_yds_per_att,7.3,,,,,
player,201811040car,car,NewtCa00,pass_yac,127,,,,,
player,201811040car,car,NewtCa00,pass_yac_per_cmp,6.7,,,,,
player,201811040car,car,NewtCa00,pass_drops,1,,,,,
player,201811040car,car,NewtCa00,pass_drop_pct,4.0,,,,,
player,201811040car,car,NewtCa00,pass_poor_throws,3,,,,,
player,201811040car,car,NewtCa00,pass_poor_throw_pct,12.0,,,,,
player,201811040car,car,NewtCa00,pass_blitzed,7,,,,,
player,201811040car,car,NewtCa00,pass_hurried,0,,,,,
player,201811040car,car,NewtCa00,pass_hits,2,,,,,
player,201811040car,car,NewtCa00,rush_scrambles,1,,,,,
player,201811040car,car,NewtCa00,rush_scrambles_yds_per_att,2.0,,,,,
player,201811040car,tam,BarbPe01,rush_att,11,,,,,
player,201811040car,tam,BarbPe01,rush_yds,31,,,,,
player,201811040car,tam,BarbPe01,rush_first_down,1,,,,,
player,201811040car,tam,BarbPe01,rush_yds_before_contact,26,,,,,
player,201811040car,tam,BarbPe01,rush_yds_bc_per_rush,2.4,,,,,
player,201811040car,tam,BarbPe01,rush_yac,5,,,,,
player,201811040car,tam,BarbPe01,rush_yac_per_rush,0.5,,,,,
player,201811040car,tam,BarbPe01,rush_broken_tackles,1,,,,,
