game,2018,7,20181021,201810210rav,nor,"New Orleans Saints",24,rav,"Baltimore Ravens",23
player,201810210rav,nor,BreeDr00,rush_td,0,,,,,
player,201810210rav,nor,BreeDr00,rush_long,2,,,,,
player,201810210rav,nor,BreeDr00,targets,0,,,,,
player,201810210rav,nor,BreeDr00,rec,0,,,,,
player,201810210rav,nor,BreeDr00,rec_yds,0,,,,,
player,201810210rav,nor,BreeDr00,rec_td,0,,,,,
player,201810210rav,nor,BreeDr00,rec_long,0,,,,,
player,201810210rav,nor,BreeDr00,fumbles,1,,,,,
player,201810210rav,nor,BreeDr00,fumbles_lost,0,,,,,
player,201810210rav,nor,KamaAl00,pass_cmp,0,,,,,
player,201810210rav,nor,KamaAl00,pass_att,0,,,,,
player,201810210rav,nor,KamaAl00,pass_yds,0,,,,,
player,201810210rav,nor,KamaAl00,pass_td,0,,,,,
player,201810210rav,nor,KamaAl00,pass_int,0,,,,,
player,201810210rav,nor,KamaAl00,pass_sacked,0,,,,,
player,201810210rav,nor,KamaAl00,pass_sacked_yds,0,,,,,
player,201810210rav,nor,KamaAl00,pass_long,0,,,,,
player,201810210rav,nor,KamaAl00,pass_rating,,,,,,
player,201810210rav,nor,KamaAl00,rush_att,17,,,,,
player,201810210rav,nor,KamaAl00,rush_yds,64,,,,,
player,201810210rav,nor,KamaAl00,rush_td,1,,,,,
player,201810210rav,nor,KamaAl00,rush_long,12,,,,,
player,201810210rav,nor,KamaAl00,targets,2,,,,,
player,201810210rav,nor,KamaAl00,rec,2,,,,,
player,201810210rav,nor,KamaAl00,rec_yds,11,,,,,
player,201810210rav,nor,KamaAl00,rec_td,0,,,,,
player,201810210rav,nor,KamaAl00,rec_long,8,,,,,
player,201810210rav,nor,KamaAl00,fumbles,0,,,,,
player,201810210rav,nor,KamaAl00,fumbles_lost,0,,,,,
player,201810210rav,nor,HillTa00,pass_cmp,0,,,,,
player,201810210rav,nor,HillTa00,pass_att,0,,,,,
player,201810210rav,nor,HillTa00,pass_yds,0,,,,,
player,201810210rav,nor,HillTa00,pass_td,0,,,,,
player,201810210rav,nor,HillTa00,pass_int,0,,,,,
player,201810210rav,nor,HillTa00,pass_sacked,0,,,,,
player,201810210rav,nor,HillTa00,pass_sacked_yds,0,,,,,
player,201810210rav,nor,HillTa00,pass_long,0,,,,,
player,201810210rav,nor,HillTa00,pass_rating,,,,,,
player,201810210rav,nor,HillTa00,rush_att,6,,,,,
player,201810210rav,nor,HillTa00,rush_yds,35,,,,,
player,201810210rav,nor,HillTa00,rush_td,0,,,,,
player,201810210rav,nor,HillTa00,rush_long,11,,,,,
player,201810210rav,nor,HillTa00,targets,0,,,,,
player,201810210rav,nor,HillTa00,rec,0,,,,,
player,201810210rav,nor,HillTa00,rec_yds,0,,,,,
player,201810210rav,nor,HillTa00,rec_td,0,,,,,
player,201810210rav,nor,HillTa00,rec_long,0,,,,,
player,201810210rav,nor,HillTa00,fumbles,1,,,,,
player,201810210rav,nor,HillTa00,fumbles_lost,1,,,,,
player,201810210rav,nor,IngrMa01,pass_cmp,0,,,,,
player,201810210rav,nor,IngrMa01,pass_att,0,,,,,
player,201810210rav,nor,IngrMa01,pass_yds,0,,,,,
player,201810210rav,nor,IngrMa01,pass_td,0,,,,,
player,201810210rav,nor,IngrMa01,pass_int,0,,,,,
player,201810210rav,nor,IngrMa01,pass_sacked,0,,,,,
player,201810210rav,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201810210rav,nor,IngrMa01,pass_long,0,,,,,
player,201810210rav,nor,IngrMa01,pass_rating,,,,,,
player,201810210rav,nor,IngrMa01,rush_att,12,,,,,
player,201810210rav,nor,IngrMa01,rush_yds,32,,,,,
player,201810210rav,nor,IngrMa01,rush_td,0,,,,,
player,201810210rav,nor,IngrMa01,rush_long,8,,,,,
player,201810210rav,nor,IngrMa01,targets,2,,,,,
player,201810210rav,nor,IngrMa01,rec,2,,,,,
player,201810210rav,nor,IngrMa01,rec_yds,10,,,,,
player,201810210rav,nor,IngrMa01,rec_td,0,,,,,
player,201810210rav,nor,IngrMa01,rec_long,8,,,,,
player,201810210rav,nor,IngrMa01,fumbles,0,,,,,
player,201810210rav,nor,IngrMa01,fumbles_lost,0,,,,,
player,201810210rav,nor,ThomMi05,pass_cmp,0,,,,,
player,201810210rav,nor,ThomMi05,pass_att,0,,,,,
player,201810210rav,nor,ThomMi05,pass_yds,0,,,,,
player,201810210rav,nor,ThomMi05,pass_td,0,,,,,
player,201810210rav,nor,ThomMi05,pass_int,0,,,,,
player,201810210rav,nor,ThomMi05,pass_sacked,0,,,,,
player,201810210rav,nor,ThomMi05,pass_sacked_yds,0,,,,,
player,201810210rav,nor,ThomMi05,pass_long,0,,,,,
player,201810210rav,nor,ThomMi05,pass_rating,,,,,,
player,201810210rav,nor,ThomMi05,rush_att,0,,,,,
player,201810210rav,nor,ThomMi05,rush_yds,0,,,,,
player,201810210rav,nor,ThomMi05,rush_td,0,,,,,
player,201810210rav,nor,ThomMi05,rush_long,0,,,,,
player,201810210rav,nor,ThomMi05,targets,9,,,,,
player,201810210rav,nor,ThomMi05,rec,7,,,,,
player,201810210rav,nor,ThomMi05,rec_yds,69,,,,,
player,201810210rav,nor,ThomMi05,rec_td,1,,,,,
player,201810210rav,nor,ThomMi05,rec_long,32,,,,,
player,201810210rav,nor,ThomMi05,fumbles,0,,,,,
player,201810210rav,nor,ThomMi05,fumbles_lost,0,,,,,
player,201810210rav,nor,SmitTr03,pass_cmp,0,,,,,
player,201810210rav,nor,SmitTr03,pass_att,0,,,,,
player,201810210rav,nor,SmitTr03,pass_yds,0,,,,,
player,201810210rav,nor,SmitTr03,pass_td,0,,,,,
player,201810210rav,nor,SmitTr03,pass_int,0,,,,,
player,201810210rav,nor,SmitTr03,pass_sacked,0,,,,,
player,201810210rav,nor,SmitTr03,pass_sacked_yds,0,,,,,
player,201810210rav,nor,SmitTr03,pass_long,0,,,,,
player,201810210rav,nor,SmitTr03,pass_rating,,,,,,
player,201810210rav,nor,SmitTr03,rush_att,0,,,,,
player,201810210rav,nor,SmitTr03,rush_yds,0,,,,,
player,201810210rav,nor,SmitTr03,rush_td,0,,,,,
player,201810210rav,nor,SmitTr03,rush_long,0,,,,,
player,201810210rav,nor,SmitTr03,targets,6,,,,,
player,201810210rav,nor,SmitTr03,rec,3,,,,,
player,201810210rav,nor,SmitTr03,rec_yds,44,,,,,
player,201810210rav,nor,SmitTr03,rec_td,0,,,,,
player,201810210rav,nor,SmitTr03,rec_long,26,,,,,
player,201810210rav,nor,SmitTr03,fumbles,0,,,,,
player,201810210rav,nor,SmitTr03,fumbles_lost,0,,,,,
player,201810210rav,nor,WatsBe00,pass_cmp,0,,,,,
player,201810210rav,nor,WatsBe00,pass_att,0,,,,,
player,201810210rav,nor,WatsBe00,pass_yds,0,,,,,
player,201810210rav,nor,WatsBe00,pass_td,0,,,,,
player,201810210rav,nor,WatsBe00,pass_int,0,,,,,
player,201810210rav,nor,WatsBe00,pass_sacked,0,,,,,
player,201810210rav,nor,WatsBe00,pass_sacked_yds,0,,,,,
player,201810210rav,nor,WatsBe00,pass_long,0,,,,,
player,201810210rav,nor,WatsBe00,pass_rating,,,,,,
player,201810210rav,nor,WatsBe00,rush_att,0,,,,,
player,201810210rav,nor,WatsBe00,rush_yds,0,,,,,
player,201810210rav,nor,WatsBe00,rush_td,0,,,,,
player,201810210rav,nor,WatsBe00,rush_long,0,,,,,
player,201810210rav,nor,WatsBe00,targets,6,,,,,
player,201810210rav,nor,WatsBe00,rec,6,,,,,
player,201810210rav,nor,WatsBe00,rec_yds,43,,,,,
player,201810210rav,nor,WatsBe00,rec_td,1,,,,,
player,201810210rav,nor,WatsBe00,rec_long,15,,,,,
player,201810210rav,nor,WatsBe00,fumbles,0,,,,,
player,201810210rav,nor,WatsBe00,fumbles_lost,0,,,,,
player,201810210rav,nor,ArnoDa00,pass_cmp,0,,,,,
player,201810210rav,nor,ArnoDa00,pass_att,0,,,,,
player,201810210rav,nor,ArnoDa00,pass_yds,0,,,,,
player,201810210rav,nor,ArnoDa00,pass_td,0,,,,,
player,201810210rav,nor,ArnoDa00,pass_int,0,,,,,
player,201810210rav,nor,ArnoDa00,pass_sacked,0,,,,,
player,201810210rav,nor,ArnoDa00,pass_sacked_yds,0,,,,,
player,201810210rav,nor,ArnoDa00,pass_long,0,,,,,
player,201810210rav,nor,ArnoDa00,pass_rating,,,,,,
player,201810210rav,nor,ArnoDa00,rush_att,0,,,,,
player,201810210rav,nor,ArnoDa00,rush_yds,0,,,,,
player,201810210rav,nor,ArnoDa00,rush_td,0,,,,,
player,201810210rav,nor,ArnoDa00,rush_long,0,,,,,
player,201810210rav,nor,ArnoDa00,targets,3,,,,,
player,201810210rav,nor,ArnoDa00,rec,2,,,,,
player,201810210rav,nor,ArnoDa00,rec_yds,35,,,,,
player,201810210rav,nor,ArnoDa00,rec_td,0,,,,,
player,201810210rav,nor,ArnoDa00,rec_long,25,,,,,
player,201810210rav,nor,ArnoDa00,fumbles,0,,,,,
player,201810210rav,nor,ArnoDa00,fumbles_lost,0,,,,,
player,201810210rav,rav,FlacJo00,pass_cmp,23,,,,,
player,201810210rav,rav,FlacJo00,pass_att,39,,,,,
player,201810210rav,rav,FlacJo00,pass_yds,279,,,,,
player,201810210rav,rav,FlacJo00,pass_td,2,,,,,
player,201810210rav,rav,FlacJo00,pass_int,0,,,,,
player,201810210rav,rav,FlacJo00,pass_sacked,1,,,,,
player,201810210rav,rav,FlacJo00,pass_sacked_yds,10,,,,,
player,201810210rav,rav,FlacJo00,pass_long,56,,,,,
player,201810210rav,rav,FlacJo00,pass_rating,98.1,,,,,
player,201810210rav,rav,FlacJo00,rush_att,1,,,,,
player,201810210rav,rav,FlacJo00,rush_yds,4,,,,,
player,201810210rav,rav,FlacJo00,rush_td,0,,,,,
player,201810210rav,rav,FlacJo00,rush_long,4,,,,,
player,201810210rav,rav,FlacJo00,targets,0,,,,,
player,201810210rav,rav,FlacJo00,rec,0,,,,,
player,201810210rav,rav,FlacJo00,rec_yds,0,,,,,
player,201810210rav,rav,FlacJo00,rec_td,0,,,,,
player,201810210rav,rav,FlacJo00,rec_long,0,,,,,
player,201810210rav,rav,FlacJo00,fumbles,0,,,,,
player,201810210rav,rav,FlacJo00,fumbles_lost,0,,,,,
player,201810210rav,rav,JackLa00,pass_cmp,1,,,,,
player,201810210rav,rav,JackLa00,pass_att,1,,,,,
player,201810210rav,rav,JackLa00,pass_yds,5,,,,,
player,201810210rav,rav,JackLa00,pass_td,0,,,,,
player,201810210rav,rav,JackLa00,pass_int,0,,,,,
player,201810210rav,rav,JackLa00,pass_sacked,0,,,,,
player,201810210rav,rav,JackLa00,pass_sacked_yds,0,,,,,
player,201810210rav,rav,JackLa00,pass_long,5,,,,,
player,201810210rav,rav,JackLa00,pass_rating,87.5,,,,,
player,201810210rav,rav,JackLa00,rush_att,3,,,,,
player,201810210rav,rav,JackLa00,rush_yds,9,,,,,
player,201810210rav,rav,JackLa00,rush_td,1,,,,,
player,201810210rav,rav,JackLa00,rush_long,4,,,,,
player,201810210rav,rav,JackLa00,targets,0,,,,,
player,201810210rav,rav,JackLa00,rec,0,,,,,
player,201810210rav,rav,JackLa00,rec_yds,0,,,,,
player,201810210rav,rav,JackLa00,rec_td,0,,,,,
player,201810210rav,rav,JackLa00,rec_long,0,,,,,
player,201810210rav,rav,JackLa00,fumbles,0,,,,,
player,201810210rav,rav,JackLa00,fumbles_lost,0,,,,,
player,201810210rav,rav,CollAl00,pass_cmp,0,,,,,
player,201810210rav,rav,CollAl00,pass_att,0,,,,,
player,201810210rav,rav,CollAl00,pass_yds,0,,,,,
player,201810210rav,rav,CollAl00,pass_td,0,,,,,
player,201810210rav,rav,CollAl00,pass_int,0,,,,,
player,201810210rav,rav,CollAl00,pass_sacked,0,,,,,
player,201810210rav,rav,CollAl00,pass_sacked_yds,0,,,,,
player,201810210rav,rav,CollAl00,pass_long,0,,,,,
player,201810210rav,rav,CollAl00,pass_rating,,,,,,
player,201810210rav,rav,CollAl00,rush_att,11,,,,,
player,201810210rav,rav,CollAl00,rush_yds,38,,,,,
player,201810210rav,rav,CollAl00,rush_td,0,,,,,
player,201810210rav,rav,CollAl00,rush_long,9,,,,,
player,201810210rav,rav,CollAl00,targets,4,,,,,
player,201810210rav,rav,CollAl00,rec,3,,,,,
player,201810210rav,rav,CollAl00,rec_yds,10,,,,,
player,201810210rav,rav,CollAl00,rec_td,0,,,,,
player,201810210rav,rav,CollAl00,rec_long,6,,,,,
player,201810210rav,rav,CollAl00,fumbles,0,,,,,
player,201810210rav,rav,CollAl00,fumbles_lost,0,,,,,
player,201810210rav,rav,SneaWi00,pass_cmp,0,,,,,
player,201810210rav,rav,SneaWi00,pass_att,0,,,,,
player,201810210rav,rav,SneaWi00,pass_yds,0,,,,,
player,201810210rav,rav,SneaWi00,pass_td,0,,,,,
player,201810210rav,rav,SneaWi00,pass_int,0,,,,,
player,201810210rav,rav,SneaWi00,pass_sacked,0,,,,,
player,201810210rav,rav,SneaWi00,pass_sacked_yds,0,,,,,
player,201810210rav,rav,SneaWi00,pass_long,0,,,,,
player,201810210rav,rav,SneaWi00,pass_rating,,,,,,
player,201810210rav,rav,SneaWi00,rush_att,1,,,,,
player,201810210rav,rav,SneaWi00,rush_yds,13,,,,,
player,201810210rav,rav,SneaWi00,rush_td,0,,,,,
player,201810210rav,rav,SneaWi00,rush_long,13,,,,,
player,201810210rav,rav,SneaWi00,targets,7,,,,,
player,201810210rav,rav,SneaWi00,rec,3,,,,,
player,201810210rav,rav,SneaWi00,rec_yds,23,,,,,
player,201810210rav,rav,SneaWi00,rec_td,0,,,,,
player,201810210rav,rav,SneaWi00,rec_long,9,,,,,
player,201810210rav,rav,SneaWi00,fumbles,0,,,,,
player,201810210rav,rav,SneaWi00,fumbles_lost,0,,,,,
player,201810210rav,rav,MoorCh00,pass_cmp,0,,,,,
player,201810210rav,rav,MoorCh00,pass_att,0,,,,,
player,201810210rav,rav,MoorCh00,pass_yds,0,,,,,
player,201810210rav,rav,MoorCh00,pass_td,0,,,,,
player,201810210rav,rav,MoorCh00,pass_int,0,,,,,
player,201810210rav,rav,MoorCh00,pass_sacked,0,,,,,
player,201810210rav,rav,MoorCh00,pass_sacked_yds,0,,,,,
player,201810210rav,rav,MoorCh00,pass_long,0,,,,,
player,201810210rav,rav,MoorCh00,pass_rating,,,,,,
player,201810210rav,rav,MoorCh00,rush_att,1,,,,,
player,201810210rav,rav,MoorCh00,rush_yds,9,,,,,
player,201810210rav,rav,MoorCh00,rush_td,0,,,,,
player,201810210rav,rav,MoorCh00,rush_long,9,,,,,
player,201810210rav,rav,MoorCh00,targets,2,,,,,
player,201810210rav,rav,MoorCh00,rec,1,,,,,
player,201810210rav,rav,MoorCh00,rec_yds,14,,,,,
player,201810210rav,rav,MoorCh00,rec_td,0,,,,,
player,201810210rav,rav,MoorCh00,rec_long,14,,,,,
player,201810210rav,rav,MoorCh00,fumbles,0,,,,,
player,201810210rav,rav,MoorCh00,fumbles_lost,0,,,,,
player,201810210rav,rav,AlleJa01,pass_cmp,0,,,,,
player,201810210rav,rav,AlleJa01,pass_att,0,,,,,
player,201810210rav,rav,AlleJa01,pass_yds,0,,,,,
player,201810210rav,rav,AlleJa01,pass_td,0,,,,,
player,201810210rav,rav,AlleJa01,pass_int,0,,,,,
player,201810210rav,rav,AlleJa01,pass_sacked,0,,,,,
player,201810210rav,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201810210rav,rav,AlleJa01,pass_long,0,,,,,
player,201810210rav,rav,AlleJa01,pass_rating,,,,,,
player,201810210rav,rav,AlleJa01,rush_att,3,,,,,
player,201810210rav,rav,AlleJa01,rush_yds,3,,,,,
player,201810210rav,rav,AlleJa01,rush_td,0,,,,,
player,201810210rav,rav,AlleJa01,rush_long,2,,,,,
player,201810210rav,rav,AlleJa01,targets,3,,,,,
player,201810210rav,rav,AlleJa01,rec,3,,,,,
player,201810210rav,rav,AlleJa01,rec_yds,21,,,,,
player,201810210rav,rav,AlleJa01,rec_td,0,,,,,
player,201810210rav,rav,AlleJa01,rec_long,17,,,,,
player,201810210rav,rav,AlleJa01,fumbles,0,,,,,
player,201810210rav,rav,AlleJa01,fumbles_lost,0,,,,,
player,201810210rav,rav,WillMa04,pass_cmp,0,,,,,
player,201810210rav,rav,WillMa04,pass_att,0,,,,,
player,201810210rav,rav,WillMa04,pass_yds,0,,,,,
player,201810210rav,rav,WillMa04,pass_td,0,,,,,
player,201810210rav,rav,WillMa04,pass_int,0,,,,,
player,201810210rav,rav,WillMa04,pass_sacked,0,,,,,
player,201810210rav,rav,WillMa04,pass_sacked_yds,0,,,,,
player,201810210rav,rav,WillMa04,pass_long,0,,,,,
player,201810210rav,rav,WillMa04,pass_rating,,,,,,
player,201810210rav,rav,WillMa04,rush_att,1,,,,,
player,201810210rav,rav,WillMa04,rush_yds,1,,,,,
player,201810210rav,rav,WillMa04,rush_td,0,,,,,
player,201810210rav,rav,WillMa04,rush_long,1,,,,,
player,201810210rav,rav,WillMa04,targets,0,,,,,
player,201810210rav,rav,WillMa04,rec,0,,,,,
player,201810210rav,rav,WillMa04,rec_yds,0,,,,,
player,201810210rav,rav,WillMa04,rec_td,0,,,,,
player,201810210rav,rav,WillMa04,rec_long,0,,,,,
player,201810210rav,rav,WillMa04,fumbles,0,,,,,
player,201810210rav,rav,WillMa04,fumbles_lost,0,,,,,
player,201810210rav,rav,BrowJo02,pass_cmp,0,,,,,
player,201810210rav,rav,BrowJo02,pass_att,0,,,,,
player,201810210rav,rav,BrowJo02,pass_yds,0,,,,,
player,201810210rav,rav,BrowJo02,pass_td,0,,,,,
player,201810210rav,rav,BrowJo02,pass_int,0,,,,,
player,201810210rav,rav,BrowJo02,pass_sacked,0,,,,,
player,201810210rav,rav,BrowJo02,pass_sacked_yds,0,,,,,
player,201810210rav,rav,BrowJo02,pass_long,0,,,,,
player,201810210rav,rav,BrowJo02,pass_rating,,,,,,
player,201810210rav,rav,BrowJo02,rush_att,0,,,,,
player,201810210rav,rav,BrowJo02,rush_yds,0,,,,,
player,201810210rav,rav,BrowJo02,rush_td,0,,,,,
player,201810210rav,rav,BrowJo02,rush_long,0,,,,,
player,201810210rav,rav,BrowJo02,targets,7,,,,,
player,201810210rav,rav,BrowJo02,rec,7,,,,,
player,201810210rav,rav,BrowJo02,rec_yds,134,,,,,
player,201810210rav,rav,BrowJo02,rec_td,1,,,,,
player,201810210rav,rav,BrowJo02,rec_long,56,,,,,
player,201810210rav,rav,BrowJo02,fumbles,0,,,,,
player,201810210rav,rav,BrowJo02,fumbles_lost,0,,,,,
player,201810210rav,rav,CrabMi00,pass_cmp,0,,,,,
player,201810210rav,rav,CrabMi00,pass_att,0,,,,,
player,201810210rav,rav,CrabMi00,pass_yds,0,,,,,
player,201810210rav,rav,CrabMi00,pass_td,0,,,,,
player,201810210rav,rav,CrabMi00,pass_int,0,,,,,
player,201810210rav,rav,CrabMi00,pass_sacked,0,,,,,
player,201810210rav,rav,CrabMi00,pass_sacked_yds,0,,,,,
player,201810210rav,rav,CrabMi00,pass_long,0,,,,,
player,201810210rav,rav,CrabMi00,pass_rating,,,,,,
player,201810210rav,rav,CrabMi00,rush_att,0,,,,,
player,201810210rav,rav,CrabMi00,rush_yds,0,,,,,
player,201810210rav,rav,CrabMi00,rush_td,0,,,,,
player,201810210rav,rav,CrabMi00,rush_long,0,,,,,
player,201810210rav,rav,CrabMi00,targets,9,,,,,
player,201810210rav,rav,CrabMi00,rec,5,,,,,
player,201810210rav,rav,CrabMi00,rec_yds,66,,,,,
player,201810210rav,rav,CrabMi00,rec_td,0,,,,,
player,201810210rav,rav,CrabMi00,rec_long,18,,,,,
player,201810210rav,rav,CrabMi00,fumbles,0,,,,,
player,201810210rav,rav,CrabMi00,fumbles_lost,0,,,,,
player,201810210rav,rav,BoylNi00,pass_cmp,0,,,,,
player,201810210rav,rav,BoylNi00,pass_att,0,,,,,
player,201810210rav,rav,BoylNi00,pass_yds,0,,,,,
player,201810210rav,rav,BoylNi00,pass_td,0,,,,,
player,201810210rav,rav,BoylNi00,pass_int,0,,,,,
player,201810210rav,rav,BoylNi00,pass_sacked,0,,,,,
player,201810210rav,rav,BoylNi00,pass_sacked_yds,0,,,,,
player,201810210rav,rav,BoylNi00,pass_long,0,,,,,
player,201810210rav,rav,BoylNi00,pass_rating,,,,,,
player,201810210rav,rav,BoylNi00,rush_att,0,,,,,
player,201810210rav,rav,BoylNi00,rush_yds,0,,,,,
player,201810210rav,rav,BoylNi00,rush_td,0,,,,,
player,201810210rav,rav,BoylNi00,rush_long,0,,,,,
player,201810210rav,rav,BoylNi00,targets,2,,,,,
player,201810210rav,rav,BoylNi00,rec,1,,,,,
player,201810210rav,rav,BoylNi00,rec_yds,8,,,,,
player,201810210rav,rav,BoylNi00,rec_td,0,,,,,
player,201810210rav,rav,BoylNi00,rec_long,8,,,,,
player,201810210rav,rav,BoylNi00,fumbles,0,,,,,
player,201810210rav,rav,BoylNi00,fumbles_lost,0,,,,,
player,201810210rav,rav,AndrMa00,pass_cmp,0,,,,,
player,201810210rav,rav,AndrMa00,pass_att,0,,,,,
player,201810210rav,rav,AndrMa00,pass_yds,0,,,,,
player,201810210rav,rav,AndrMa00,pass_td,0,,,,,
player,201810210rav,rav,AndrMa00,pass_int,0,,,,,
player,201810210rav,rav,AndrMa00,pass_sacked,0,,,,,
player,201810210rav,rav,AndrMa00,pass_sacked_yds,0,,,,,
player,201810210rav,rav,AndrMa00,pass_long,0,,,,,
player,201810210rav,rav,AndrMa00,pass_rating,,,,,,
player,201810210rav,rav,AndrMa00,rush_att,0,,,,,
player,201810210rav,rav,AndrMa00,rush_yds,0,,,,,
player,201810210rav,rav,AndrMa00,rush_td,0,,,,,
player,201810210rav,rav,AndrMa00,rush_long,0,,,,,
player,201810210rav,rav,AndrMa00,targets,1,,,,,
player,201810210rav,rav,AndrMa00,rec,1,,,,,
player,201810210rav,rav,AndrMa00,rec_yds,8,,,,,
player,201810210rav,rav,AndrMa00,rec_td,1,,,,,
player,201810210rav,rav,AndrMa00,rec_long,8,,,,,
player,201810210rav,rav,AndrMa00,fumbles,0,,,,,
player,201810210rav,rav,AndrMa00,fumbles_lost,0,,,,,
player,201810210rav,rav,HursHa00,pass_cmp,0,,,,,
player,201810210rav,rav,HursHa00,pass_att,0,,,,,
player,201810210rav,rav,HursHa00,pass_yds,0,,,,,
player,201810210rav,rav,HursHa00,pass_td,0,,,,,
player,201810210rav,rav,HursHa00,pass_int,0,,,,,
player,201810210rav,rav,HursHa00,pass_sacked,0,,,,,
player,201810210rav,rav,HursHa00,pass_sacked_yds,0,,,,,
player,201810210rav,rav,HursHa00,pass_long,0,,,,,
player,201810210rav,rav,HursHa00,pass_rating,,,,,,
player,201810210rav,rav,HursHa00,rush_att,0,,,,,
player,201810210rav,rav,HursHa00,rush_yds,0,,,,,
player,201810210rav,rav,HursHa00,rush_td,0,,,,,
player,201810210rav,rav,HursHa00,rush_long,0,,,,,
player,201810210rav,rav,HursHa00,targets,2,,,,,
player,201810210rav,rav,HursHa00,rec,0,,,,,
player,201810210rav,rav,HursHa00,rec_yds,0,,,,,
player,201810210rav,rav,HursHa00,rec_td,0,,,,,
player,201810210rav,rav,HursHa00,rec_long,0,,,,,
player,201810210rav,rav,HursHa00,fumbles,0,,,,,
player,201810210rav,rav,HursHa00,fumbles_lost,0,,,,,
player,201810210rav,rav,EdwaGu00,pass_cmp,0,,,,,
player,201810210rav,rav,EdwaGu00,pass_att,0,,,,,
player,201810210rav,rav,EdwaGu00,pass_yds,0,,,,,
player,201810210rav,rav,EdwaGu00,pass_td,0,,,,,
player,201810210rav,rav,EdwaGu00,pass_int,0,,,,,
player,201810210rav,rav,EdwaGu00,pass_sacked,0,,,,,
player,201810210rav,rav,EdwaGu00,pass_sacked_yds,0,,,,,
player,201810210rav,rav,EdwaGu00,pass_long,0,,,,,
player,201810210rav,rav,EdwaGu00,pass_rating,,,,,,
player,201810210rav,rav,EdwaGu00,rush_att,2,,,,,
player,201810210rav,rav,EdwaGu00,rush_yds,0,,,,,
player,201810210rav,rav,EdwaGu00,rush_td,0,,,,,
player,201810210rav,rav,EdwaGu00,rush_long,0,,,,,
player,201810210rav,rav,EdwaGu00,targets,0,,,,,
player,201810210rav,rav,EdwaGu00,rec,0,,,,,
player,201810210rav,rav,EdwaGu00,rec_yds,0,,,,,
player,201810210rav,rav,EdwaGu00,rec_td,0,,,,,
player,201810210rav,rav,EdwaGu00,rec_long,0,,,,,
player,201810210rav,rav,EdwaGu00,fumbles,0,,,,,
player,201810210rav,rav,EdwaGu00,fumbles_lost,0,,,,,
player,201810210rav,nor,OkafAl00,def_int,0,,,,,
player,201810210rav,nor,OkafAl00,def_int_yds,0,,,,,
player,201810210rav,nor,OkafAl00,def_int_td,0,,,,,
player,201810210rav,nor,OkafAl00,def_int_long,0,,,,,
player,201810210rav,nor,OkafAl00,pass_defended,1,,,,,
player,201810210rav,nor,OkafAl00,sacks,1.0,,,,,
player,201810210rav,nor,OkafAl00,tackles_combined,3,,,,,
player,201810210rav,nor,OkafAl00,tackles_solo,2,,,,,
player,201810210rav,nor,OkafAl00,tackles_assists,1,,,,,
player,201810210rav,nor,OkafAl00,tackles_loss,1,,,,,
player,201810210rav,nor,OkafAl00,qb_hits,2,,,,,
player,201810210rav,nor,OkafAl00,fumbles_rec,0,,,,,
