game,2018,6,20181014,201810140was,car,"Carolina Panthers",17,was,"Washington Redskins",23
player,201810140was,was,PeriSa00,rec_yds,-3,,,,,
player,201810140was,was,PeriSa00,rec_td,0,,,,,
player,201810140was,was,PeriSa00,rec_long,-3,,,,,
player,201810140was,was,PeriSa00,fumbles,0,,,,,
player,201810140was,was,PeriSa00,fumbles_lost,0,,,,,
player,201810140was,was,RichPa01,pass_cmp,0,,,,,
player,201810140was,was,RichPa01,pass_att,0,,,,,
player,201810140was,was,RichPa01,pass_yds,0,,,,,
player,201810140was,was,RichPa01,pass_td,0,,,,,
player,201810140was,was,RichPa01,pass_int,0,,,,,
player,201810140was,was,RichPa01,pass_sacked,0,,,,,
player,201810140was,was,RichPa01,pass_sacked_yds,0,,,,,
player,201810140was,was,RichPa01,pass_long,0,,,,,
player,201810140was,was,RichPa01,pass_rating,,,,,,
player,201810140was,was,RichPa01,rush_att,1,,,,,
player,201810140was,was,RichPa01,rush_yds,2,,,,,
player,201810140was,was,RichPa01,rush_td,0,,,,,
player,201810140was,was,RichPa01,rush_long,2,,,,,
player,201810140was,was,RichPa01,targets,5,,,,,
player,201810140was,was,RichPa01,rec,3,,,,,
player,201810140was,was,RichPa01,rec_yds,31,,,,,
player,201810140was,was,RichPa01,rec_td,1,,,,,
player,201810140was,was,RichPa01,rec_long,21,,,,,
player,201810140was,was,RichPa01,fumbles,0,,,,,
player,201810140was,was,RichPa01,fumbles_lost,0,,,,,
player,201810140was,was,DaviVe00,pass_cmp,0,,,,,
player,201810140was,was,DaviVe00,pass_att,0,,,,,
player,201810140was,was,DaviVe00,pass_yds,0,,,,,
player,201810140was,was,DaviVe00,pass_td,0,,,,,
player,201810140was,was,DaviVe00,pass_int,0,,,,,
player,201810140was,was,DaviVe00,pass_sacked,0,,,,,
player,201810140was,was,DaviVe00,pass_sacked_yds,0,,,,,
player,201810140was,was,DaviVe00,pass_long,0,,,,,
player,201810140was,was,DaviVe00,pass_rating,,,,,,
player,201810140was,was,DaviVe00,rush_att,0,,,,,
player,201810140was,was,DaviVe00,rush_yds,0,,,,,
player,201810140was,was,DaviVe00,rush_td,0,,,,,
player,201810140was,was,DaviVe00,rush_long,0,,,,,
player,201810140was,was,DaviVe00,targets,3,,,,,
player,201810140was,was,DaviVe00,rec,3,,,,,
player,201810140was,was,DaviVe00,rec_yds,48,,,,,
player,201810140was,was,DaviVe00,rec_td,1,,,,,
player,201810140was,was,DaviVe00,rec_long,22,,,,,
player,201810140was,was,DaviVe00,fumbles,0,,,,,
player,201810140was,was,DaviVe00,fumbles_lost,0,,,,,
player,201810140was,was,ReedJo02,pass_cmp,0,,,,,
player,201810140was,was,ReedJo02,pass_att,0,,,,,
player,201810140was,was,ReedJo02,pass_yds,0,,,,,
player,201810140was,was,ReedJo02,pass_td,0,,,,,
player,201810140was,was,ReedJo02,pass_int,0,,,,,
player,201810140was,was,ReedJo02,pass_sacked,0,,,,,
player,201810140was,was,ReedJo02,pass_sacked_yds,0,,,,,
player,201810140was,was,ReedJo02,pass_long,0,,,,,
player,201810140was,was,ReedJo02,pass_rating,,,,,,
player,201810140was,was,ReedJo02,rush_att,0,,,,,
player,201810140was,was,ReedJo02,rush_yds,0,,,,,
player,201810140was,was,ReedJo02,rush_td,0,,,,,
player,201810140was,was,ReedJo02,rush_long,0,,,,,
player,201810140was,was,ReedJo02,targets,9,,,,,
player,201810140was,was,ReedJo02,rec,5,,,,,
player,201810140was,was,ReedJo02,rec_yds,36,,,,,
player,201810140was,was,ReedJo02,rec_td,0,,,,,
player,201810140was,was,ReedJo02,rec_long,10,,,,,
player,201810140was,was,ReedJo02,fumbles,0,,,,,
player,201810140was,was,ReedJo02,fumbles_lost,0,,,,,
player,201810140was,was,DoctJo00,pass_cmp,0,,,,,
player,201810140was,was,DoctJo00,pass_att,0,,,,,
player,201810140was,was,DoctJo00,pass_yds,0,,,,,
player,201810140was,was,DoctJo00,pass_td,0,,,,,
player,201810140was,was,DoctJo00,pass_int,0,,,,,
player,201810140was,was,DoctJo00,pass_sacked,0,,,,,
player,201810140was,was,DoctJo00,pass_sacked_yds,0,,,,,
player,201810140was,was,DoctJo00,pass_long,0,,,,,
player,201810140was,was,DoctJo00,pass_rating,,,,,,
player,201810140was,was,DoctJo00,rush_att,0,,,,,
player,201810140was,was,DoctJo00,rush_yds,0,,,,,
player,201810140was,was,DoctJo00,rush_td,0,,,,,
player,201810140was,was,DoctJo00,rush_long,0,,,,,
player,201810140was,was,DoctJo00,targets,5,,,,,
player,201810140was,was,DoctJo00,rec,3,,,,,
player,201810140was,was,DoctJo00,rec_yds,20,,,,,
player,201810140was,was,DoctJo00,rec_td,0,,,,,
player,201810140was,was,DoctJo00,rec_long,8,,,,,
player,201810140was,was,DoctJo00,fumbles,0,,,,,
player,201810140was,was,DoctJo00,fumbles_lost,0,,,,,
player,201810140was,was,QuicBr00,pass_cmp,0,,,,,
player,201810140was,was,QuicBr00,pass_att,0,,,,,
player,201810140was,was,QuicBr00,pass_yds,0,,,,,
player,201810140was,was,QuicBr00,pass_td,0,,,,,
player,201810140was,was,QuicBr00,pass_int,0,,,,,
player,201810140was,was,QuicBr00,pass_sacked,0,,,,,
player,201810140was,was,QuicBr00,pass_sacked_yds,0,,,,,
player,201810140was,was,QuicBr00,pass_long,0,,,,,
player,201810140was,was,QuicBr00,pass_rating,,,,,,
player,201810140was,was,QuicBr00,rush_att,0,,,,,
player,201810140was,was,QuicBr00,rush_yds,0,,,,,
player,201810140was,was,QuicBr00,rush_td,0,,,,,
player,201810140was,was,QuicBr00,rush_long,0,,,,,
player,201810140was,was,QuicBr00,targets,2,,,,,
player,201810140was,was,QuicBr00,rec,2,,,,,
player,201810140was,was,QuicBr00,rec_yds,12,,,,,
player,201810140was,was,QuicBr00,rec_td,0,,,,,
player,201810140was,was,QuicBr00,rec_long,6,,,,,
player,201810140was,was,QuicBr00,fumbles,0,,,,,
player,201810140was,was,QuicBr00,fumbles_lost,0,,,,,
player,201810140was,was,FloyMi00,pass_cmp,0,,,,,
player,201810140was,was,FloyMi00,pass_att,0,,,,,
player,201810140was,was,FloyMi00,pass_yds,0,,,,,
player,201810140was,was,FloyMi00,pass_td,0,,,,,
player,201810140was,was,FloyMi00,pass_int,0,,,,,
player,201810140was,was,FloyMi00,pass_sacked,0,,,,,
player,201810140was,was,FloyMi00,pass_sacked_yds,0,,,,,
player,201810140was,was,FloyMi00,pass_long,0,,,,,
player,201810140was,was,FloyMi00,pass_rating,,,,,,
player,201810140was,was,FloyMi00,rush_att,0,,,,,
player,201810140was,was,FloyMi00,rush_yds,0,,,,,
player,201810140was,was,FloyMi00,rush_td,0,,,,,
player,201810140was,was,FloyMi00,rush_long,0,,,,,
player,201810140was,was,FloyMi00,targets,1,,,,,
player,201810140was,was,FloyMi00,rec,0,,,,,
player,201810140was,was,FloyMi00,rec_yds,0,,,,,
player,201810140was,was,FloyMi00,rec_td,0,,,,,
player,201810140was,was,FloyMi00,rec_long,0,,,,,
player,201810140was,was,FloyMi00,fumbles,0,,,,,
player,201810140was,was,FloyMi00,fumbles_lost,0,,,,,
player,201810140was,car,AddiMa00,def_int,0,,,,,
player,201810140was,car,AddiMa00,def_int_yds,0,,,,,
player,201810140was,car,AddiMa00,def_int_td,0,,,,,
player,201810140was,car,AddiMa00,def_int_long,0,,,,,
player,201810140was,car,AddiMa00,pass_defended,0,,,,,
player,201810140was,car,AddiMa00,sacks,1.0,,,,,
player,201810140was,car,AddiMa00,tackles_combined,4,,,,,
player,201810140was,car,AddiMa00,tackles_solo,4,,,,,
player,201810140was,car,AddiMa00,tackles_assists,0,,,,,
player,201810140was,car,AddiMa00,tackles_loss,1,,,,,
player,201810140was,car,AddiMa00,qb_hits,1,,,,,
player,201810140was,car,AddiMa00,fumbles_rec,0,,,,,
player,201810140was,car,AddiMa00,fumbles_rec_yds,0,,,,,
player,201810140was,car,AddiMa00,fumbles_rec_td,0,,,,,
player,201810140was,car,AddiMa00,fumbles_forced,0,,,,,
player,201810140was,car,ThomSh01,def_int,0,,,,,
player,201810140was,car,ThomSh01,def_int_yds,0,,,,,
player,201810140was,car,ThomSh01,def_int_td,0,,,,,
player,201810140was,car,ThomSh01,def_int_long,0,,,,,
player,201810140was,car,ThomSh01,pass_defended,0,,,,,
player,201810140was,car,ThomSh01,sacks,1.0,,,,,
player,201810140was,car,ThomSh01,tackles_combined,4,,,,,
player,201810140was,car,ThomSh01,tackles_solo,3,,,,,
player,201810140was,car,ThomSh01,tackles_assists,1,,,,,
player,201810140was,car,ThomSh01,tackles_loss,1,,,,,
player,201810140was,car,ThomSh01,qb_hits,1,,,,,
player,201810140was,car,ThomSh01,fumbles_rec,0,,,,,
player,201810140was,car,ThomSh01,fumbles_rec_yds,0,,,,,
