game,2018,12,20181125,201811250car,sea,"Seattle Seahawks",30,car,"Carolina Panthers",27
player,201811250car,sea,LockTy00,rush_yds_before_contact,-2,,,,,
player,201811250car,sea,LockTy00,rush_yds_bc_per_rush,-2.0,,,,,
player,201811250car,sea,LockTy00,rush_yac,0,,,,,
player,201811250car,sea,LockTy00,rush_yac_per_rush,0.0,,,,,
player,201811250car,sea,LockTy00,rush_broken_tackles,0,,,,,
player,201811250car,sea,LockTy00,rush_broken_tackles_per_rush,,,,,,
player,201811250car,car,McCaCh01,rush_att,17,,,,,
player,201811250car,car,McCaCh01,rush_yds,125,,,,,
player,201811250car,car,McCaCh01,rush_first_down,5,,,,,
player,201811250car,car,McCaCh01,rush_yds_before_contact,102,,,,,
player,201811250car,car,McCaCh01,rush_yds_bc_per_rush,6.0,,,,,
player,201811250car,car,McCaCh01,rush_yac,23,,,,,
player,201811250car,car,McCaCh01,rush_yac_per_rush,1.4,,,,,
player,201811250car,car,McCaCh01,rush_broken_tackles,0,,,,,
player,201811250car,car,McCaCh01,rush_broken_tackles_per_rush,,,,,,
player,201811250car,car,NewtCa00,rush_att,8,,,,,
player,201811250car,car,NewtCa00,rush_yds,63,,,,,
player,201811250car,car,NewtCa00,rush_first_down,4,,,,,
player,201811250car,car,NewtCa00,rush_yds_before_contact,47,,,,,
player,201811250car,car,NewtCa00,rush_yds_bc_per_rush,5.9,,,,,
player,201811250car,car,NewtCa00,rush_yac,16,,,,,
player,201811250car,car,NewtCa00,rush_yac_per_rush,2.0,,,,,
player,201811250car,car,NewtCa00,rush_broken_tackles,0,,,,,
player,201811250car,car,NewtCa00,rush_broken_tackles_per_rush,,,,,,
player,201811250car,car,MoorD.00,rush_att,1,,,,,
player,201811250car,car,MoorD.00,rush_yds,7,,,,,
player,201811250car,car,MoorD.00,rush_first_down,0,,,,,
player,201811250car,car,MoorD.00,rush_yds_before_contact,7,,,,,
player,201811250car,car,MoorD.00,rush_yds_bc_per_rush,7.0,,,,,
player,201811250car,car,MoorD.00,rush_yac,0,,,,,
player,201811250car,car,MoorD.00,rush_yac_per_rush,0.0,,,,,
player,201811250car,car,MoorD.00,rush_broken_tackles,0,,,,,
player,201811250car,car,MoorD.00,rush_broken_tackles_per_rush,,,,,,
player,201811250car,car,SamuCu00,rush_att,1,,,,,
