game,2018,17,20181230,201812300oti,clt,"Indianapolis Colts",33,oti,"Tennessee Titans",17
player,201812300oti,clt,RogeCh02,pass_yds,0,,,,,
player,201812300oti,clt,RogeCh02,pass_td,0,,,,,
player,201812300oti,clt,RogeCh02,pass_int,0,,,,,
player,201812300oti,clt,RogeCh02,pass_sacked,0,,,,,
player,201812300oti,clt,RogeCh02,pass_sacked_yds,0,,,,,
player,201812300oti,clt,RogeCh02,pass_long,0,,,,,
player,201812300oti,clt,RogeCh02,pass_rating,,,,,,
player,201812300oti,clt,RogeCh02,rush_att,0,,,,,
player,201812300oti,clt,RogeCh02,rush_yds,0,,,,,
player,201812300oti,clt,RogeCh02,rush_td,0,,,,,
player,201812300oti,clt,RogeCh02,rush_long,0,,,,,
player,201812300oti,clt,RogeCh02,targets,4,,,,,
player,201812300oti,clt,RogeCh02,rec,3,,,,,
player,201812300oti,clt,RogeCh02,rec_yds,32,,,,,
player,201812300oti,clt,RogeCh02,rec_td,0,,,,,
player,201812300oti,clt,RogeCh02,rec_long,17,,,,,
player,201812300oti,clt,RogeCh02,fumbles,0,,,,,
player,201812300oti,clt,RogeCh02,fumbles_lost,0,,,,,
player,201812300oti,clt,AlieMo00,pass_cmp,0,,,,,
player,201812300oti,clt,AlieMo00,pass_att,0,,,,,
player,201812300oti,clt,AlieMo00,pass_yds,0,,,,,
player,201812300oti,clt,AlieMo00,pass_td,0,,,,,
player,201812300oti,clt,AlieMo00,pass_int,0,,,,,
player,201812300oti,clt,AlieMo00,pass_sacked,0,,,,,
player,201812300oti,clt,AlieMo00,pass_sacked_yds,0,,,,,
player,201812300oti,clt,AlieMo00,pass_long,0,,,,,
player,201812300oti,clt,AlieMo00,pass_rating,,,,,,
player,201812300oti,clt,AlieMo00,rush_att,0,,,,,
player,201812300oti,clt,AlieMo00,rush_yds,0,,,,,
player,201812300oti,clt,AlieMo00,rush_td,0,,,,,
player,201812300oti,clt,AlieMo00,rush_long,0,,,,,
player,201812300oti,clt,AlieMo00,targets,1,,,,,
player,201812300oti,clt,AlieMo00,rec,1,,,,,
player,201812300oti,clt,AlieMo00,rec_yds,21,,,,,
player,201812300oti,clt,AlieMo00,rec_td,0,,,,,
player,201812300oti,clt,AlieMo00,rec_long,21,,,,,
player,201812300oti,clt,AlieMo00,fumbles,0,,,,,
player,201812300oti,clt,AlieMo00,fumbles_lost,0,,,,,
player,201812300oti,clt,GranRy01,pass_cmp,0,,,,,
player,201812300oti,clt,GranRy01,pass_att,0,,,,,
player,201812300oti,clt,GranRy01,pass_yds,0,,,,,
player,201812300oti,clt,GranRy01,pass_td,0,,,,,
player,201812300oti,clt,GranRy01,pass_int,0,,,,,
player,201812300oti,clt,GranRy01,pass_sacked,0,,,,,
player,201812300oti,clt,GranRy01,pass_sacked_yds,0,,,,,
player,201812300oti,clt,GranRy01,pass_long,0,,,,,
