game,2018,13,20181202,201812020gnb,crd,"Arizona Cardinals",20,gnb,"Green Bay Packers",17
player,201812020gnb,crd,KirkCh01,targets,8,,,,,
player,201812020gnb,crd,KirkCh01,rec,3,,,,,
player,201812020gnb,crd,KirkCh01,rec_yds,54,,,,,
player,201812020gnb,crd,KirkCh01,rec_td,0,,,,,
player,201812020gnb,crd,KirkCh01,rec_long,37,,,,,
player,201812020gnb,crd,KirkCh01,fumbles,0,,,,,
player,201812020gnb,crd,KirkCh01,fumbles_lost,0,,,,,
player,201812020gnb,crd,LogaT.00,pass_cmp,0,,,,,
player,201812020gnb,crd,LogaT.00,pass_att,0,,,,,
player,201812020gnb,crd,LogaT.00,pass_yds,0,,,,,
player,201812020gnb,crd,LogaT.00,pass_td,0,,,,,
player,201812020gnb,crd,LogaT.00,pass_int,0,,,,,
player,201812020gnb,crd,LogaT.00,pass_sacked,0,,,,,
player,201812020gnb,crd,LogaT.00,pass_sacked_yds,0,,,,,
player,201812020gnb,crd,LogaT.00,pass_long,0,,,,,
player,201812020gnb,crd,LogaT.00,pass_rating,,,,,,
player,201812020gnb,crd,LogaT.00,rush_att,1,,,,,
player,201812020gnb,crd,LogaT.00,rush_yds,5,,,,,
player,201812020gnb,crd,LogaT.00,rush_td,0,,,,,
player,201812020gnb,crd,LogaT.00,rush_long,5,,,,,
player,201812020gnb,crd,LogaT.00,targets,0,,,,,
player,201812020gnb,crd,LogaT.00,rec,0,,,,,
player,201812020gnb,crd,LogaT.00,rec_yds,0,,,,,
player,201812020gnb,crd,LogaT.00,rec_td,0,,,,,
player,201812020gnb,crd,LogaT.00,rec_long,0,,,,,
player,201812020gnb,crd,LogaT.00,fumbles,0,,,,,
player,201812020gnb,crd,LogaT.00,fumbles_lost,0,,,,,
player,201812020gnb,crd,FitzLa00,pass_cmp,0,,,,,
player,201812020gnb,crd,FitzLa00,pass_att,0,,,,,
player,201812020gnb,crd,FitzLa00,pass_yds,0,,,,,
player,201812020gnb,crd,FitzLa00,pass_td,0,,,,,
player,201812020gnb,crd,FitzLa00,pass_int,0,,,,,
player,201812020gnb,crd,FitzLa00,pass_sacked,0,,,,,
player,201812020gnb,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201812020gnb,crd,FitzLa00,pass_long,0,,,,,
player,201812020gnb,crd,FitzLa00,pass_rating,,,,,,
player,201812020gnb,crd,FitzLa00,rush_att,0,,,,,
player,201812020gnb,crd,FitzLa00,rush_yds,0,,,,,
player,201812020gnb,crd,FitzLa00,rush_td,0,,,,,
player,201812020gnb,crd,FitzLa00,rush_long,0,,,,,
player,201812020gnb,crd,FitzLa00,targets,6,,,,,
player,201812020gnb,crd,FitzLa00,rec,3,,,,,
player,201812020gnb,crd,FitzLa00,rec_yds,48,,,,,
player,201812020gnb,crd,FitzLa00,rec_td,0,,,,,
player,201812020gnb,crd,FitzLa00,rec_long,32,,,,,
player,201812020gnb,crd,FitzLa00,fumbles,0,,,,,
player,201812020gnb,crd,FitzLa00,fumbles_lost,0,,,,,
player,201812020gnb,crd,SherTr00,pass_cmp,0,,,,,
player,201812020gnb,crd,SherTr00,pass_att,0,,,,,
player,201812020gnb,crd,SherTr00,pass_yds,0,,,,,
player,201812020gnb,crd,SherTr00,pass_td,0,,,,,
player,201812020gnb,crd,SherTr00,pass_int,0,,,,,
player,201812020gnb,crd,SherTr00,pass_sacked,0,,,,,
player,201812020gnb,crd,SherTr00,pass_sacked_yds,0,,,,,
player,201812020gnb,crd,SherTr00,pass_long,0,,,,,
player,201812020gnb,crd,SherTr00,pass_rating,,,,,,
player,201812020gnb,crd,SherTr00,rush_att,0,,,,,
player,201812020gnb,crd,SherTr00,rush_yds,0,,,,,
player,201812020gnb,crd,SherTr00,rush_td,0,,,,,
player,201812020gnb,crd,SherTr00,rush_long,0,,,,,
player,201812020gnb,crd,SherTr00,targets,3,,,,,
player,201812020gnb,crd,SherTr00,rec,1,,,,,
player,201812020gnb,crd,SherTr00,rec_yds,21,,,,,
player,201812020gnb,crd,SherTr00,rec_td,0,,,,,
player,201812020gnb,crd,SherTr00,rec_long,21,,,,,
player,201812020gnb,crd,SherTr00,fumbles,0,,,,,
player,201812020gnb,crd,SherTr00,fumbles_lost,0,,,,,
player,201812020gnb,crd,SealRi00,pass_cmp,0,,,,,
player,201812020gnb,crd,SealRi00,pass_att,0,,,,,
player,201812020gnb,crd,SealRi00,pass_yds,0,,,,,
player,201812020gnb,crd,SealRi00,pass_td,0,,,,,
player,201812020gnb,crd,SealRi00,pass_int,0,,,,,
player,201812020gnb,crd,SealRi00,pass_sacked,0,,,,,
player,201812020gnb,crd,SealRi00,pass_sacked_yds,0,,,,,
player,201812020gnb,crd,SealRi00,pass_long,0,,,,,
player,201812020gnb,crd,SealRi00,pass_rating,,,,,,
player,201812020gnb,crd,SealRi00,rush_att,0,,,,,
player,201812020gnb,crd,SealRi00,rush_yds,0,,,,,
player,201812020gnb,crd,SealRi00,rush_td,0,,,,,
player,201812020gnb,crd,SealRi00,rush_long,0,,,,,
player,201812020gnb,crd,SealRi00,targets,3,,,,,
player,201812020gnb,crd,SealRi00,rec,1,,,,,
player,201812020gnb,crd,SealRi00,rec_yds,10,,,,,
player,201812020gnb,crd,SealRi00,rec_td,0,,,,,
player,201812020gnb,crd,SealRi00,rec_long,10,,,,,
player,201812020gnb,crd,SealRi00,fumbles,0,,,,,
player,201812020gnb,crd,SealRi00,fumbles_lost,0,,,,,
player,201812020gnb,gnb,RodgAa00,pass_cmp,31,,,,,
player,201812020gnb,gnb,RodgAa00,pass_att,50,,,,,
player,201812020gnb,gnb,RodgAa00,pass_yds,233,,,,,
player,201812020gnb,gnb,RodgAa00,pass_td,1,,,,,
player,201812020gnb,gnb,RodgAa00,pass_int,0,,,,,
player,201812020gnb,gnb,RodgAa00,pass_sacked,1,,,,,
player,201812020gnb,gnb,RodgAa00,pass_sacked_yds,6,,,,,
player,201812020gnb,gnb,RodgAa00,pass_long,19,,,,,
player,201812020gnb,gnb,RodgAa00,pass_rating,79.8,,,,,
player,201812020gnb,gnb,RodgAa00,rush_att,3,,,,,
player,201812020gnb,gnb,RodgAa00,rush_yds,20,,,,,
player,201812020gnb,gnb,RodgAa00,rush_td,0,,,,,
player,201812020gnb,gnb,RodgAa00,rush_long,11,,,,,
player,201812020gnb,gnb,RodgAa00,targets,0,,,,,
player,201812020gnb,gnb,RodgAa00,rec,0,,,,,
player,201812020gnb,gnb,RodgAa00,rec_yds,0,,,,,
player,201812020gnb,gnb,RodgAa00,rec_td,0,,,,,
player,201812020gnb,gnb,RodgAa00,rec_long,0,,,,,
player,201812020gnb,gnb,RodgAa00,fumbles,0,,,,,
player,201812020gnb,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201812020gnb,gnb,JoneAa00,pass_cmp,0,,,,,
player,201812020gnb,gnb,JoneAa00,pass_att,0,,,,,
player,201812020gnb,gnb,JoneAa00,pass_yds,0,,,,,
player,201812020gnb,gnb,JoneAa00,pass_td,0,,,,,
player,201812020gnb,gnb,JoneAa00,pass_int,0,,,,,
player,201812020gnb,gnb,JoneAa00,pass_sacked,0,,,,,
player,201812020gnb,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201812020gnb,gnb,JoneAa00,pass_long,0,,,,,
player,201812020gnb,gnb,JoneAa00,pass_rating,,,,,,
player,201812020gnb,gnb,JoneAa00,rush_att,11,,,,,
player,201812020gnb,gnb,JoneAa00,rush_yds,36,,,,,
player,201812020gnb,gnb,JoneAa00,rush_td,1,,,,,
player,201812020gnb,gnb,JoneAa00,rush_long,13,,,,,
player,201812020gnb,gnb,JoneAa00,targets,4,,,,,
player,201812020gnb,gnb,JoneAa00,rec,4,,,,,
player,201812020gnb,gnb,JoneAa00,rec_yds,16,,,,,
player,201812020gnb,gnb,JoneAa00,rec_td,0,,,,,
player,201812020gnb,gnb,JoneAa00,rec_long,6,,,,,
player,201812020gnb,gnb,JoneAa00,fumbles,0,,,,,
player,201812020gnb,gnb,JoneAa00,fumbles_lost,0,,,,,
player,201812020gnb,gnb,ValdMa00,pass_cmp,0,,,,,
player,201812020gnb,gnb,ValdMa00,pass_att,0,,,,,
player,201812020gnb,gnb,ValdMa00,pass_yds,0,,,,,
player,201812020gnb,gnb,ValdMa00,pass_td,0,,,,,
player,201812020gnb,gnb,ValdMa00,pass_int,0,,,,,
player,201812020gnb,gnb,ValdMa00,pass_sacked,0,,,,,
player,201812020gnb,gnb,ValdMa00,pass_sacked_yds,0,,,,,
player,201812020gnb,gnb,ValdMa00,pass_long,0,,,,,
player,201812020gnb,gnb,ValdMa00,pass_rating,,,,,,
player,201812020gnb,gnb,ValdMa00,rush_att,2,,,,,
player,201812020gnb,gnb,ValdMa00,rush_yds,29,,,,,
player,201812020gnb,gnb,ValdMa00,rush_td,0,,,,,
player,201812020gnb,gnb,ValdMa00,rush_long,21,,,,,
player,201812020gnb,gnb,ValdMa00,targets,7,,,,,
player,201812020gnb,gnb,ValdMa00,rec,2,,,,,
player,201812020gnb,gnb,ValdMa00,rec_yds,19,,,,,
player,201812020gnb,gnb,ValdMa00,rec_td,0,,,,,
player,201812020gnb,gnb,ValdMa00,rec_long,11,,,,,
player,201812020gnb,gnb,ValdMa00,fumbles,0,,,,,
player,201812020gnb,gnb,ValdMa00,fumbles_lost,0,,,,,
player,201812020gnb,gnb,WillJa06,pass_cmp,0,,,,,
player,201812020gnb,gnb,WillJa06,pass_att,0,,,,,
player,201812020gnb,gnb,WillJa06,pass_yds,0,,,,,
player,201812020gnb,gnb,WillJa06,pass_td,0,,,,,
player,201812020gnb,gnb,WillJa06,pass_int,0,,,,,
player,201812020gnb,gnb,WillJa06,pass_sacked,0,,,,,
player,201812020gnb,gnb,WillJa06,pass_sacked_yds,0,,,,,
player,201812020gnb,gnb,WillJa06,pass_long,0,,,,,
player,201812020gnb,gnb,WillJa06,pass_rating,,,,,,
player,201812020gnb,gnb,WillJa06,rush_att,7,,,,,
player,201812020gnb,gnb,WillJa06,rush_yds,13,,,,,
player,201812020gnb,gnb,WillJa06,rush_td,0,,,,,
player,201812020gnb,gnb,WillJa06,rush_long,4,,,,,
player,201812020gnb,gnb,WillJa06,targets,4,,,,,
player,201812020gnb,gnb,WillJa06,rec,4,,,,,
player,201812020gnb,gnb,WillJa06,rec_yds,14,,,,,
player,201812020gnb,gnb,WillJa06,rec_td,0,,,,,
player,201812020gnb,gnb,WillJa06,rec_long,10,,,,,
player,201812020gnb,gnb,WillJa06,fumbles,0,,,,,
player,201812020gnb,gnb,WillJa06,fumbles_lost,0,,,,,
player,201812020gnb,gnb,AdamDa01,pass_cmp,0,,,,,
player,201812020gnb,gnb,AdamDa01,pass_att,0,,,,,
player,201812020gnb,gnb,AdamDa01,pass_yds,0,,,,,
player,201812020gnb,gnb,AdamDa01,pass_td,0,,,,,
player,201812020gnb,gnb,AdamDa01,pass_int,0,,,,,
player,201812020gnb,gnb,AdamDa01,pass_sacked,0,,,,,
player,201812020gnb,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201812020gnb,gnb,AdamDa01,pass_long,0,,,,,
player,201812020gnb,gnb,AdamDa01,pass_rating,,,,,,
player,201812020gnb,gnb,AdamDa01,rush_att,0,,,,,
player,201812020gnb,gnb,AdamDa01,rush_yds,0,,,,,
player,201812020gnb,gnb,AdamDa01,rush_td,0,,,,,
player,201812020gnb,gnb,AdamDa01,rush_long,0,,,,,
player,201812020gnb,gnb,AdamDa01,targets,13,,,,,
player,201812020gnb,gnb,AdamDa01,rec,8,,,,,
player,201812020gnb,gnb,AdamDa01,rec_yds,93,,,,,
player,201812020gnb,gnb,AdamDa01,rec_td,1,,,,,
player,201812020gnb,gnb,AdamDa01,rec_long,19,,,,,
player,201812020gnb,gnb,AdamDa01,fumbles,0,,,,,
player,201812020gnb,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201812020gnb,gnb,GrahJi00,pass_cmp,0,,,,,
player,201812020gnb,gnb,GrahJi00,pass_att,0,,,,,
player,201812020gnb,gnb,GrahJi00,pass_yds,0,,,,,
player,201812020gnb,gnb,GrahJi00,pass_td,0,,,,,
player,201812020gnb,gnb,GrahJi00,pass_int,0,,,,,
player,201812020gnb,gnb,GrahJi00,pass_sacked,0,,,,,
player,201812020gnb,gnb,GrahJi00,pass_sacked_yds,0,,,,,
player,201812020gnb,gnb,GrahJi00,pass_long,0,,,,,
player,201812020gnb,gnb,GrahJi00,pass_rating,,,,,,
player,201812020gnb,gnb,GrahJi00,rush_att,0,,,,,
player,201812020gnb,gnb,GrahJi00,rush_yds,0,,,,,
player,201812020gnb,gnb,GrahJi00,rush_td,0,,,,,
player,201812020gnb,gnb,GrahJi00,rush_long,0,,,,,
player,201812020gnb,gnb,GrahJi00,targets,11,,,,,
player,201812020gnb,gnb,GrahJi00,rec,8,,,,,
player,201812020gnb,gnb,GrahJi00,rec_yds,50,,,,,
player,201812020gnb,gnb,GrahJi00,rec_td,0,,,,,
player,201812020gnb,gnb,GrahJi00,rec_long,10,,,,,
player,201812020gnb,gnb,GrahJi00,fumbles,0,,,,,
player,201812020gnb,gnb,GrahJi00,fumbles_lost,0,,,,,
player,201812020gnb,gnb,CobbRa00,pass_cmp,0,,,,,
player,201812020gnb,gnb,CobbRa00,pass_att,0,,,,,
player,201812020gnb,gnb,CobbRa00,pass_yds,0,,,,,
player,201812020gnb,gnb,CobbRa00,pass_td,0,,,,,
player,201812020gnb,gnb,CobbRa00,pass_int,0,,,,,
player,201812020gnb,gnb,CobbRa00,pass_sacked,0,,,,,
player,201812020gnb,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201812020gnb,gnb,CobbRa00,pass_long,0,,,,,
player,201812020gnb,gnb,CobbRa00,pass_rating,,,,,,
player,201812020gnb,gnb,CobbRa00,rush_att,0,,,,,
player,201812020gnb,gnb,CobbRa00,rush_yds,0,,,,,
player,201812020gnb,gnb,CobbRa00,rush_td,0,,,,,
player,201812020gnb,gnb,CobbRa00,rush_long,0,,,,,
player,201812020gnb,gnb,CobbRa00,targets,5,,,,,
player,201812020gnb,gnb,CobbRa00,rec,3,,,,,
player,201812020gnb,gnb,CobbRa00,rec_yds,25,,,,,
player,201812020gnb,gnb,CobbRa00,rec_td,0,,,,,
player,201812020gnb,gnb,CobbRa00,rec_long,9,,,,,
player,201812020gnb,gnb,CobbRa00,fumbles,0,,,,,
player,201812020gnb,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201812020gnb,gnb,KumeJa00,pass_cmp,0,,,,,
player,201812020gnb,gnb,KumeJa00,pass_att,0,,,,,
player,201812020gnb,gnb,KumeJa00,pass_yds,0,,,,,
player,201812020gnb,gnb,KumeJa00,pass_td,0,,,,,
player,201812020gnb,gnb,KumeJa00,pass_int,0,,,,,
player,201812020gnb,gnb,KumeJa00,pass_sacked,0,,,,,
player,201812020gnb,gnb,KumeJa00,pass_sacked_yds,0,,,,,
player,201812020gnb,gnb,KumeJa00,pass_long,0,,,,,
player,201812020gnb,gnb,KumeJa00,pass_rating,,,,,,
player,201812020gnb,gnb,KumeJa00,rush_att,0,,,,,
player,201812020gnb,gnb,KumeJa00,rush_yds,0,,,,,
player,201812020gnb,gnb,KumeJa00,rush_td,0,,,,,
player,201812020gnb,gnb,KumeJa00,rush_long,0,,,,,
player,201812020gnb,gnb,KumeJa00,targets,2,,,,,
player,201812020gnb,gnb,KumeJa00,rec,1,,,,,
player,201812020gnb,gnb,KumeJa00,rec_yds,11,,,,,
player,201812020gnb,gnb,KumeJa00,rec_td,0,,,,,
player,201812020gnb,gnb,KumeJa00,rec_long,11,,,,,
player,201812020gnb,gnb,KumeJa00,fumbles,0,,,,,
player,201812020gnb,gnb,KumeJa00,fumbles_lost,0,,,,,
player,201812020gnb,gnb,TonyRo00,pass_cmp,0,,,,,
player,201812020gnb,gnb,TonyRo00,pass_att,0,,,,,
player,201812020gnb,gnb,TonyRo00,pass_yds,0,,,,,
player,201812020gnb,gnb,TonyRo00,pass_td,0,,,,,
player,201812020gnb,gnb,TonyRo00,pass_int,0,,,,,
player,201812020gnb,gnb,TonyRo00,pass_sacked,0,,,,,
player,201812020gnb,gnb,TonyRo00,pass_sacked_yds,0,,,,,
player,201812020gnb,gnb,TonyRo00,pass_long,0,,,,,
player,201812020gnb,gnb,TonyRo00,pass_rating,,,,,,
player,201812020gnb,gnb,TonyRo00,rush_att,0,,,,,
player,201812020gnb,gnb,TonyRo00,rush_yds,0,,,,,
player,201812020gnb,gnb,TonyRo00,rush_td,0,,,,,
player,201812020gnb,gnb,TonyRo00,rush_long,0,,,,,
player,201812020gnb,gnb,TonyRo00,targets,1,,,,,
player,201812020gnb,gnb,TonyRo00,rec,1,,,,,
player,201812020gnb,gnb,TonyRo00,rec_yds,5,,,,,
player,201812020gnb,gnb,TonyRo00,rec_td,0,,,,,
player,201812020gnb,gnb,TonyRo00,rec_long,5,,,,,
player,201812020gnb,gnb,TonyRo00,fumbles,0,,,,,
player,201812020gnb,gnb,TonyRo00,fumbles_lost,0,,,,,
player,201812020gnb,gnb,St.BEq00,pass_cmp,0,,,,,
player,201812020gnb,gnb,St.BEq00,pass_att,0,,,,,
player,201812020gnb,gnb,St.BEq00,pass_yds,0,,,,,
player,201812020gnb,gnb,St.BEq00,pass_td,0,,,,,
player,201812020gnb,gnb,St.BEq00,pass_int,0,,,,,
player,201812020gnb,gnb,St.BEq00,pass_sacked,0,,,,,
player,201812020gnb,gnb,St.BEq00,pass_sacked_yds,0,,,,,
player,201812020gnb,gnb,St.BEq00,pass_long,0,,,,,
player,201812020gnb,gnb,St.BEq00,pass_rating,,,,,,
player,201812020gnb,gnb,St.BEq00,rush_att,0,,,,,
player,201812020gnb,gnb,St.BEq00,rush_yds,0,,,,,
player,201812020gnb,gnb,St.BEq00,rush_td,0,,,,,
player,201812020gnb,gnb,St.BEq00,rush_long,0,,,,,
player,201812020gnb,gnb,St.BEq00,targets,1,,,,,
player,201812020gnb,gnb,St.BEq00,rec,0,,,,,
player,201812020gnb,gnb,St.BEq00,rec_yds,0,,,,,
player,201812020gnb,gnb,St.BEq00,rec_td,0,,,,,
player,201812020gnb,gnb,St.BEq00,rec_long,0,,,,,
player,201812020gnb,gnb,St.BEq00,fumbles,0,,,,,
player,201812020gnb,gnb,St.BEq00,fumbles_lost,0,,,,,
player,201812020gnb,crd,JoneCh03,def_int,0,,,,,
player,201812020gnb,crd,JoneCh03,def_int_yds,0,,,,,
player,201812020gnb,crd,JoneCh03,def_int_td,0,,,,,
player,201812020gnb,crd,JoneCh03,def_int_long,0,,,,,
player,201812020gnb,crd,JoneCh03,pass_defended,0,,,,,
player,201812020gnb,crd,JoneCh03,sacks,1.0,,,,,
player,201812020gnb,crd,JoneCh03,tackles_combined,4,,,,,
player,201812020gnb,crd,JoneCh03,tackles_solo,4,,,,,
player,201812020gnb,crd,JoneCh03,tackles_assists,0,,,,,
player,201812020gnb,crd,JoneCh03,tackles_loss,2,,,,,
player,201812020gnb,crd,JoneCh03,qb_hits,3,,,,,
player,201812020gnb,crd,JoneCh03,fumbles_rec,0,,,,,
player,201812020gnb,crd,JoneCh03,fumbles_rec_yds,0,,,,,
player,201812020gnb,crd,JoneCh03,fumbles_rec_td,0,,,,,
player,201812020gnb,crd,JoneCh03,fumbles_forced,0,,,,,
player,201812020gnb,crd,HodgGe00,def_int,0,,,,,
player,201812020gnb,crd,HodgGe00,def_int_yds,0,,,,,
player,201812020gnb,crd,HodgGe00,def_int_td,0,,,,,
player,201812020gnb,crd,HodgGe00,def_int_long,0,,,,,
player,201812020gnb,crd,HodgGe00,pass_defended,0,,,,,
player,201812020gnb,crd,HodgGe00,sacks,0.0,,,,,
player,201812020gnb,crd,HodgGe00,tackles_combined,13,,,,,
player,201812020gnb,crd,HodgGe00,tackles_solo,12,,,,,
player,201812020gnb,crd,HodgGe00,tackles_assists,1,,,,,
player,201812020gnb,crd,HodgGe00,tackles_loss,0,,,,,
player,201812020gnb,crd,HodgGe00,qb_hits,0,,,,,
player,201812020gnb,crd,HodgGe00,fumbles_rec,0,,,,,
player,201812020gnb,crd,HodgGe00,fumbles_rec_yds,0,,,,,
player,201812020gnb,crd,HodgGe00,fumbles_rec_td,0,,,,,
player,201812020gnb,crd,HodgGe00,fumbles_forced,0,,,,,
player,201812020gnb,crd,BethAn20,def_int,0,,,,,
player,201812020gnb,crd,BethAn20,def_int_yds,0,,,,,
player,201812020gnb,crd,BethAn20,def_int_td,0,,,,,
player,201812020gnb,crd,BethAn20,def_int_long,0,,,,,
player,201812020gnb,crd,BethAn20,pass_defended,1,,,,,
player,201812020gnb,crd,BethAn20,sacks,0.0,,,,,
player,201812020gnb,crd,BethAn20,tackles_combined,10,,,,,
player,201812020gnb,crd,BethAn20,tackles_solo,8,,,,,
player,201812020gnb,crd,BethAn20,tackles_assists,2,,,,,
player,201812020gnb,crd,BethAn20,tackles_loss,0,,,,,
player,201812020gnb,crd,BethAn20,qb_hits,0,,,,,
player,201812020gnb,crd,BethAn20,fumbles_rec,0,,,,,
player,201812020gnb,crd,BethAn20,fumbles_rec_yds,0,,,,,
player,201812020gnb,crd,BethAn20,fumbles_rec_td,0,,,,,
player,201812020gnb,crd,BethAn20,fumbles_forced,0,,,,,
player,201812020gnb,crd,AmerDa00,def_int,0,,,,,
player,201812020gnb,crd,AmerDa00,def_int_yds,0,,,,,
player,201812020gnb,crd,AmerDa00,def_int_td,0,,,,,
player,201812020gnb,crd,AmerDa00,def_int_long,0,,,,,
