game,2018,13,20181202,201812020det,ram,"Los Angeles Rams",30,det,"Detroit Lions",16
player,201812020det,det,ElliBr00,fumbles,0,,,,,
player,201812020det,det,ElliBr00,fumbles_lost,0,,,,,
player,201812020det,det,BlouLe00,pass_cmp,0,,,,,
player,201812020det,det,BlouLe00,pass_att,0,,,,,
player,201812020det,det,BlouLe00,pass_yds,0,,,,,
player,201812020det,det,BlouLe00,pass_td,0,,,,,
player,201812020det,det,BlouLe00,pass_int,0,,,,,
player,201812020det,det,BlouLe00,pass_sacked,0,,,,,
player,201812020det,det,BlouLe00,pass_sacked_yds,0,,,,,
player,201812020det,det,BlouLe00,pass_long,0,,,,,
player,201812020det,det,BlouLe00,pass_rating,,,,,,
player,201812020det,det,BlouLe00,rush_att,16,,,,,
player,201812020det,det,BlouLe00,rush_yds,61,,,,,
player,201812020det,det,BlouLe00,rush_td,0,,,,,
player,201812020det,det,BlouLe00,rush_long,24,,,,,
player,201812020det,det,BlouLe00,targets,1,,,,,
player,201812020det,det,BlouLe00,rec,0,,,,,
player,201812020det,det,BlouLe00,rec_yds,0,,,,,
player,201812020det,det,BlouLe00,rec_td,0,,,,,
player,201812020det,det,BlouLe00,rec_long,0,,,,,
player,201812020det,det,BlouLe00,fumbles,0,,,,,
player,201812020det,det,BlouLe00,fumbles_lost,0,,,,,
player,201812020det,det,RiddTh00,pass_cmp,0,,,,,
player,201812020det,det,RiddTh00,pass_att,0,,,,,
player,201812020det,det,RiddTh00,pass_yds,0,,,,,
player,201812020det,det,RiddTh00,pass_td,0,,,,,
player,201812020det,det,RiddTh00,pass_int,0,,,,,
player,201812020det,det,RiddTh00,pass_sacked,0,,,,,
player,201812020det,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201812020det,det,RiddTh00,pass_long,0,,,,,
player,201812020det,det,RiddTh00,pass_rating,,,,,,
player,201812020det,det,RiddTh00,rush_att,8,,,,,
player,201812020det,det,RiddTh00,rush_yds,32,,,,,
player,201812020det,det,RiddTh00,rush_td,0,,,,,
player,201812020det,det,RiddTh00,rush_long,11,,,,,
player,201812020det,det,RiddTh00,targets,4,,,,,
player,201812020det,det,RiddTh00,rec,3,,,,,
player,201812020det,det,RiddTh00,rec_yds,26,,,,,
player,201812020det,det,RiddTh00,rec_td,0,,,,,
player,201812020det,det,RiddTh00,rec_long,12,,,,,
player,201812020det,det,RiddTh00,fumbles,0,,,,,
player,201812020det,det,RiddTh00,fumbles_lost,0,,,,,
player,201812020det,det,ZennZa00,pass_cmp,0,,,,,
player,201812020det,det,ZennZa00,pass_att,0,,,,,
player,201812020det,det,ZennZa00,pass_yds,0,,,,,
player,201812020det,det,ZennZa00,pass_td,0,,,,,
player,201812020det,det,ZennZa00,pass_int,0,,,,,
player,201812020det,det,ZennZa00,pass_sacked,0,,,,,
player,201812020det,det,ZennZa00,pass_sacked_yds,0,,,,,
player,201812020det,det,ZennZa00,pass_long,0,,,,,
player,201812020det,det,ZennZa00,pass_rating,,,,,,
player,201812020det,det,ZennZa00,rush_att,1,,,,,
player,201812020det,det,ZennZa00,rush_yds,7,,,,,
player,201812020det,det,ZennZa00,rush_td,0,,,,,
player,201812020det,det,ZennZa00,rush_long,7,,,,,
player,201812020det,det,ZennZa00,targets,0,,,,,
player,201812020det,det,ZennZa00,rec,0,,,,,
player,201812020det,det,ZennZa00,rec_yds,0,,,,,
player,201812020det,det,ZennZa00,rec_td,0,,,,,
player,201812020det,det,ZennZa00,rec_long,0,,,,,
player,201812020det,det,ZennZa00,fumbles,0,,,,,
player,201812020det,det,ZennZa00,fumbles_lost,0,,,,,
player,201812020det,det,ToilLe00,pass_cmp,0,,,,,
player,201812020det,det,ToilLe00,pass_att,0,,,,,
player,201812020det,det,ToilLe00,pass_yds,0,,,,,
player,201812020det,det,ToilLe00,pass_td,0,,,,,
player,201812020det,det,ToilLe00,pass_int,0,,,,,
player,201812020det,det,ToilLe00,pass_sacked,0,,,,,
player,201812020det,det,ToilLe00,pass_sacked_yds,0,,,,,
player,201812020det,det,ToilLe00,pass_long,0,,,,,
player,201812020det,det,ToilLe00,pass_rating,,,,,,
player,201812020det,det,ToilLe00,rush_att,0,,,,,
player,201812020det,det,ToilLe00,rush_yds,0,,,,,
player,201812020det,det,ToilLe00,rush_td,0,,,,,
player,201812020det,det,ToilLe00,rush_long,0,,,,,
player,201812020det,det,ToilLe00,targets,6,,,,,
player,201812020det,det,ToilLe00,rec,4,,,,,
player,201812020det,det,ToilLe00,rec_yds,90,,,,,
player,201812020det,det,ToilLe00,rec_td,0,,,,,
player,201812020det,det,ToilLe00,rec_long,39,,,,,
player,201812020det,det,ToilLe00,fumbles,0,,,,,
player,201812020det,det,ToilLe00,fumbles_lost,0,,,,,
player,201812020det,det,GollKe00,pass_cmp,0,,,,,
player,201812020det,det,GollKe00,pass_att,0,,,,,
player,201812020det,det,GollKe00,pass_yds,0,,,,,
player,201812020det,det,GollKe00,pass_td,0,,,,,
player,201812020det,det,GollKe00,pass_int,0,,,,,
player,201812020det,det,GollKe00,pass_sacked,0,,,,,
player,201812020det,det,GollKe00,pass_sacked_yds,0,,,,,
player,201812020det,det,GollKe00,pass_long,0,,,,,
player,201812020det,det,GollKe00,pass_rating,,,,,,
player,201812020det,det,GollKe00,rush_att,0,,,,,
player,201812020det,det,GollKe00,rush_yds,0,,,,,
player,201812020det,det,GollKe00,rush_td,0,,,,,
player,201812020det,det,GollKe00,rush_long,0,,,,,
player,201812020det,det,GollKe00,targets,8,,,,,
player,201812020det,det,GollKe00,rec,3,,,,,
player,201812020det,det,GollKe00,rec_yds,50,,,,,
player,201812020det,det,GollKe00,rec_td,0,,,,,
player,201812020det,det,GollKe00,rec_long,24,,,,,
player,201812020det,det,GollKe00,fumbles,0,,,,,
player,201812020det,det,GollKe00,fumbles_lost,0,,,,,
player,201812020det,det,JoneT.00,pass_cmp,0,,,,,
player,201812020det,det,JoneT.00,pass_att,0,,,,,
player,201812020det,det,JoneT.00,pass_yds,0,,,,,
player,201812020det,det,JoneT.00,pass_td,0,,,,,
player,201812020det,det,JoneT.00,pass_int,0,,,,,
player,201812020det,det,JoneT.00,pass_sacked,0,,,,,
player,201812020det,det,JoneT.00,pass_sacked_yds,0,,,,,
player,201812020det,det,JoneT.00,pass_long,0,,,,,
player,201812020det,det,JoneT.00,pass_rating,,,,,,
player,201812020det,det,JoneT.00,rush_att,0,,,,,
player,201812020det,det,JoneT.00,rush_yds,0,,,,,
player,201812020det,det,JoneT.00,rush_td,0,,,,,
player,201812020det,det,JoneT.00,rush_long,0,,,,,
player,201812020det,det,JoneT.00,targets,1,,,,,
player,201812020det,det,JoneT.00,rec,1,,,,,
player,201812020det,det,JoneT.00,rec_yds,25,,,,,
player,201812020det,det,JoneT.00,rec_td,0,,,,,
player,201812020det,det,JoneT.00,rec_long,25,,,,,
player,201812020det,det,JoneT.00,fumbles,0,,,,,
player,201812020det,det,JoneT.00,fumbles_lost,0,,,,,
player,201812020det,det,DeckTa00,pass_cmp,0,,,,,
player,201812020det,det,DeckTa00,pass_att,0,,,,,
player,201812020det,det,DeckTa00,pass_yds,0,,,,,
player,201812020det,det,DeckTa00,pass_td,0,,,,,
player,201812020det,det,DeckTa00,pass_int,0,,,,,
player,201812020det,det,DeckTa00,pass_sacked,0,,,,,
player,201812020det,det,DeckTa00,pass_sacked_yds,0,,,,,
player,201812020det,det,DeckTa00,pass_long,0,,,,,
player,201812020det,det,DeckTa00,pass_rating,,,,,,
player,201812020det,det,DeckTa00,rush_att,0,,,,,
player,201812020det,det,DeckTa00,rush_yds,0,,,,,
player,201812020det,det,DeckTa00,rush_td,0,,,,,
player,201812020det,det,DeckTa00,rush_long,0,,,,,
player,201812020det,det,DeckTa00,targets,1,,,,,
player,201812020det,det,DeckTa00,rec,1,,,,,
player,201812020det,det,DeckTa00,rec_yds,11,,,,,
player,201812020det,det,DeckTa00,rec_td,1,,,,,
player,201812020det,det,DeckTa00,rec_long,11,,,,,
player,201812020det,det,DeckTa00,fumbles,0,,,,,
player,201812020det,det,DeckTa00,fumbles_lost,0,,,,,
player,201812020det,det,WillLu00,pass_cmp,0,,,,,
player,201812020det,det,WillLu00,pass_att,0,,,,,
player,201812020det,det,WillLu00,pass_yds,0,,,,,
player,201812020det,det,WillLu00,pass_td,0,,,,,
player,201812020det,det,WillLu00,pass_int,0,,,,,
player,201812020det,det,WillLu00,pass_sacked,0,,,,,
player,201812020det,det,WillLu00,pass_sacked_yds,0,,,,,
player,201812020det,det,WillLu00,pass_long,0,,,,,
player,201812020det,det,WillLu00,pass_rating,,,,,,
player,201812020det,det,WillLu00,rush_att,0,,,,,
player,201812020det,det,WillLu00,rush_yds,0,,,,,
player,201812020det,det,WillLu00,rush_td,0,,,,,
player,201812020det,det,WillLu00,rush_long,0,,,,,
player,201812020det,det,WillLu00,targets,2,,,,,
player,201812020det,det,WillLu00,rec,1,,,,,
player,201812020det,det,WillLu00,rec_yds,8,,,,,
player,201812020det,det,WillLu00,rec_td,0,,,,,
player,201812020det,det,WillLu00,rec_long,8,,,,,
player,201812020det,det,WillLu00,fumbles,0,,,,,
player,201812020det,det,WillLu00,fumbles_lost,0,,,,,
player,201812020det,ram,HillTr01,def_int,1,,,,,
player,201812020det,ram,HillTr01,def_int_yds,0,,,,,
player,201812020det,ram,HillTr01,def_int_td,0,,,,,
player,201812020det,ram,HillTr01,def_int_long,0,,,,,
player,201812020det,ram,HillTr01,pass_defended,2,,,,,
player,201812020det,ram,HillTr01,sacks,0.0,,,,,
player,201812020det,ram,HillTr01,tackles_combined,0,,,,,
player,201812020det,ram,HillTr01,tackles_solo,0,,,,,
player,201812020det,ram,HillTr01,tackles_assists,0,,,,,
player,201812020det,ram,HillTr01,tackles_loss,0,,,,,
player,201812020det,ram,HillTr01,qb_hits,0,,,,,
player,201812020det,ram,HillTr01,fumbles_rec,0,,,,,
player,201812020det,ram,HillTr01,fumbles_rec_yds,0,,,,,
player,201812020det,ram,HillTr01,fumbles_rec_td,0,,,,,
player,201812020det,ram,HillTr01,fumbles_forced,0,,,,,
player,201812020det,ram,DonaAa00,def_int,0,,,,,
player,201812020det,ram,DonaAa00,def_int_yds,0,,,,,
player,201812020det,ram,DonaAa00,def_int_td,0,,,,,
player,201812020det,ram,DonaAa00,def_int_long,0,,,,,
player,201812020det,ram,DonaAa00,pass_defended,0,,,,,
player,201812020det,ram,DonaAa00,sacks,2.0,,,,,
player,201812020det,ram,DonaAa00,tackles_combined,6,,,,,
player,201812020det,ram,DonaAa00,tackles_solo,5,,,,,
player,201812020det,ram,DonaAa00,tackles_assists,1,,,,,
player,201812020det,ram,DonaAa00,tackles_loss,4,,,,,
player,201812020det,ram,DonaAa00,qb_hits,4,,,,,
player,201812020det,ram,DonaAa00,fumbles_rec,0,,,,,
player,201812020det,ram,DonaAa00,fumbles_rec_yds,0,,,,,
player,201812020det,ram,DonaAa00,fumbles_rec_td,0,,,,,
player,201812020det,ram,DonaAa00,fumbles_forced,1,,,,,
player,201812020det,ram,FowlDa00,def_int,0,,,,,
player,201812020det,ram,FowlDa00,def_int_yds,0,,,,,
player,201812020det,ram,FowlDa00,def_int_td,0,,,,,
player,201812020det,ram,FowlDa00,def_int_long,0,,,,,
player,201812020det,ram,FowlDa00,pass_defended,0,,,,,
player,201812020det,ram,FowlDa00,sacks,1.0,,,,,
player,201812020det,ram,FowlDa00,tackles_combined,5,,,,,
player,201812020det,ram,FowlDa00,tackles_solo,5,,,,,
player,201812020det,ram,FowlDa00,tackles_assists,0,,,,,
player,201812020det,ram,FowlDa00,tackles_loss,3,,,,,
player,201812020det,ram,FowlDa00,qb_hits,1,,,,,
player,201812020det,ram,FowlDa00,fumbles_rec,0,,,,,
player,201812020det,ram,FowlDa00,fumbles_rec_yds,0,,,,,
player,201812020det,ram,FowlDa00,fumbles_rec_td,0,,,,,
player,201812020det,ram,FowlDa00,fumbles_forced,0,,,,,
player,201812020det,ram,LittCo01,def_int,0,,,,,
player,201812020det,ram,LittCo01,def_int_yds,0,,,,,
player,201812020det,ram,LittCo01,def_int_td,0,,,,,
player,201812020det,ram,LittCo01,def_int_long,0,,,,,
player,201812020det,ram,LittCo01,pass_defended,1,,,,,
player,201812020det,ram,LittCo01,sacks,1.0,,,,,
player,201812020det,ram,LittCo01,tackles_combined,4,,,,,
player,201812020det,ram,LittCo01,tackles_solo,2,,,,,
player,201812020det,ram,LittCo01,tackles_assists,2,,,,,
player,201812020det,ram,LittCo01,tackles_loss,2,,,,,
player,201812020det,ram,LittCo01,qb_hits,1,,,,,
player,201812020det,ram,LittCo01,fumbles_rec,0,,,,,
player,201812020det,ram,LittCo01,fumbles_rec_yds,0,,,,,
player,201812020det,ram,LittCo01,fumbles_rec_td,0,,,,,
player,201812020det,ram,LittCo01,fumbles_forced,0,,,,,
player,201812020det,ram,JohnJo10,def_int,0,,,,,
player,201812020det,ram,JohnJo10,def_int_yds,0,,,,,
player,201812020det,ram,JohnJo10,def_int_td,0,,,,,
player,201812020det,ram,JohnJo10,def_int_long,0,,,,,
player,201812020det,ram,JohnJo10,pass_defended,0,,,,,
player,201812020det,ram,JohnJo10,sacks,0.0,,,,,
player,201812020det,ram,JohnJo10,tackles_combined,12,,,,,
player,201812020det,ram,JohnJo10,tackles_solo,10,,,,,
player,201812020det,ram,JohnJo10,tackles_assists,2,,,,,
player,201812020det,ram,JohnJo10,tackles_loss,0,,,,,
player,201812020det,ram,JohnJo10,qb_hits,0,,,,,
player,201812020det,ram,JohnJo10,fumbles_rec,0,,,,,
player,201812020det,ram,JohnJo10,fumbles_rec_yds,0,,,,,
player,201812020det,ram,JohnJo10,fumbles_rec_td,0,,,,,
