game,2018,11,20181118,201811180was,htx,"Houston Texans",23,was,"Washington Redskins",21
player,201811180was,was,DaviVe00,pass_cmp,0,,,,,
player,201811180was,was,DaviVe00,pass_att,0,,,,,
player,201811180was,was,DaviVe00,pass_yds,0,,,,,
player,201811180was,was,DaviVe00,pass_td,0,,,,,
player,201811180was,was,DaviVe00,pass_int,0,,,,,
player,201811180was,was,DaviVe00,pass_sacked,0,,,,,
player,201811180was,was,DaviVe00,pass_sacked_yds,0,,,,,
player,201811180was,was,DaviVe00,pass_long,0,,,,,
player,201811180was,was,DaviVe00,pass_rating,,,,,,
player,201811180was,was,DaviVe00,rush_att,0,,,,,
player,201811180was,was,DaviVe00,rush_yds,0,,,,,
player,201811180was,was,DaviVe00,rush_td,0,,,,,
player,201811180was,was,DaviVe00,rush_long,0,,,,,
player,201811180was,was,DaviVe00,targets,2,,,,,
player,201811180was,was,DaviVe00,rec,0,,,,,
player,201811180was,was,DaviVe00,rec_yds,0,,,,,
player,201811180was,was,DaviVe00,rec_td,0,,,,,
player,201811180was,was,DaviVe00,rec_long,0,,,,,
player,201811180was,was,DaviVe00,fumbles,0,,,,,
player,201811180was,was,DaviVe00,fumbles_lost,0,,,,,
player,201811180was,was,SpriJe00,pass_cmp,0,,,,,
player,201811180was,was,SpriJe00,pass_att,0,,,,,
player,201811180was,was,SpriJe00,pass_yds,0,,,,,
player,201811180was,was,SpriJe00,pass_td,0,,,,,
player,201811180was,was,SpriJe00,pass_int,0,,,,,
player,201811180was,was,SpriJe00,pass_sacked,0,,,,,
player,201811180was,was,SpriJe00,pass_sacked_yds,0,,,,,
player,201811180was,was,SpriJe00,pass_long,0,,,,,
player,201811180was,was,SpriJe00,pass_rating,,,,,,
player,201811180was,was,SpriJe00,rush_att,0,,,,,
player,201811180was,was,SpriJe00,rush_yds,0,,,,,
player,201811180was,was,SpriJe00,rush_td,0,,,,,
player,201811180was,was,SpriJe00,rush_long,0,,,,,
player,201811180was,was,SpriJe00,targets,1,,,,,
player,201811180was,was,SpriJe00,rec,0,,,,,
player,201811180was,was,SpriJe00,rec_yds,0,,,,,
player,201811180was,was,SpriJe00,rec_td,0,,,,,
player,201811180was,was,SpriJe00,rec_long,0,,,,,
player,201811180was,was,SpriJe00,fumbles,0,,,,,
player,201811180was,was,SpriJe00,fumbles_lost,0,,,,,
player,201811180was,htx,ReidJu00,def_int,1,,,,,
player,201811180was,htx,ReidJu00,def_int_yds,101,,,,,
player,201811180was,htx,ReidJu00,def_int_td,1,,,,,
player,201811180was,htx,ReidJu00,def_int_long,101,,,,,
player,201811180was,htx,ReidJu00,pass_defended,2,,,,,
player,201811180was,htx,ReidJu00,sacks,0.0,,,,,
player,201811180was,htx,ReidJu00,tackles_combined,4,,,,,
player,201811180was,htx,ReidJu00,tackles_solo,3,,,,,
player,201811180was,htx,ReidJu00,tackles_assists,1,,,,,
player,201811180was,htx,ReidJu00,tackles_loss,0,,,,,
player,201811180was,htx,ReidJu00,qb_hits,0,,,,,
player,201811180was,htx,ReidJu00,fumbles_rec,0,,,,,
player,201811180was,htx,ReidJu00,fumbles_rec_yds,0,,,,,
player,201811180was,htx,ReidJu00,fumbles_rec_td,0,,,,,
player,201811180was,htx,ReidJu00,fumbles_forced,0,,,,,
player,201811180was,htx,ScarBr00,def_int,1,,,,,
player,201811180was,htx,ScarBr00,def_int_yds,8,,,,,
player,201811180was,htx,ScarBr00,def_int_td,0,,,,,
player,201811180was,htx,ScarBr00,def_int_long,8,,,,,
player,201811180was,htx,ScarBr00,pass_defended,2,,,,,
