game,2018,14,20181209,201812090chi,ram,"Los Angeles Rams",6,chi,"Chicago Bears",15
player,201812090chi,ram,GoffJa00,rec_yds,0,,,,,
player,201812090chi,ram,GoffJa00,rec_td,0,,,,,
player,201812090chi,ram,GoffJa00,rec_long,0,,,,,
player,201812090chi,ram,GoffJa00,fumbles,1,,,,,
player,201812090chi,ram,GoffJa00,fumbles_lost,0,,,,,
player,201812090chi,ram,HekkJo00,pass_cmp,1,,,,,
player,201812090chi,ram,HekkJo00,pass_att,1,,,,,
player,201812090chi,ram,HekkJo00,pass_yds,7,,,,,
player,201812090chi,ram,HekkJo00,pass_td,0,,,,,
player,201812090chi,ram,HekkJo00,pass_int,0,,,,,
player,201812090chi,ram,HekkJo00,pass_sacked,0,,,,,
player,201812090chi,ram,HekkJo00,pass_sacked_yds,0,,,,,
player,201812090chi,ram,HekkJo00,pass_long,7,,,,,
player,201812090chi,ram,HekkJo00,pass_rating,95.8,,,,,
player,201812090chi,ram,HekkJo00,rush_att,0,,,,,
player,201812090chi,ram,HekkJo00,rush_yds,0,,,,,
player,201812090chi,ram,HekkJo00,rush_td,0,,,,,
player,201812090chi,ram,HekkJo00,rush_long,0,,,,,
player,201812090chi,ram,HekkJo00,targets,0,,,,,
player,201812090chi,ram,HekkJo00,rec,0,,,,,
player,201812090chi,ram,HekkJo00,rec_yds,0,,,,,
player,201812090chi,ram,HekkJo00,rec_td,0,,,,,
player,201812090chi,ram,HekkJo00,rec_long,0,,,,,
player,201812090chi,ram,HekkJo00,fumbles,0,,,,,
player,201812090chi,ram,HekkJo00,fumbles_lost,0,,,,,
player,201812090chi,ram,GurlTo01,pass_cmp,0,,,,,
player,201812090chi,ram,GurlTo01,pass_att,0,,,,,
player,201812090chi,ram,GurlTo01,pass_yds,0,,,,,
player,201812090chi,ram,GurlTo01,pass_td,0,,,,,
player,201812090chi,ram,GurlTo01,pass_int,0,,,,,
player,201812090chi,ram,GurlTo01,pass_sacked,0,,,,,
player,201812090chi,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201812090chi,ram,GurlTo01,pass_long,0,,,,,
player,201812090chi,ram,GurlTo01,pass_rating,,,,,,
player,201812090chi,ram,GurlTo01,rush_att,11,,,,,
player,201812090chi,ram,GurlTo01,rush_yds,28,,,,,
player,201812090chi,ram,GurlTo01,rush_td,0,,,,,
player,201812090chi,ram,GurlTo01,rush_long,12,,,,,
player,201812090chi,ram,GurlTo01,targets,7,,,,,
player,201812090chi,ram,GurlTo01,rec,3,,,,,
player,201812090chi,ram,GurlTo01,rec_yds,30,,,,,
player,201812090chi,ram,GurlTo01,rec_td,0,,,,,
player,201812090chi,ram,GurlTo01,rec_long,11,,,,,
player,201812090chi,ram,GurlTo01,fumbles,0,,,,,
player,201812090chi,ram,GurlTo01,fumbles_lost,0,,,,,
player,201812090chi,ram,DaviJu00,pass_cmp,0,,,,,
player,201812090chi,ram,DaviJu00,pass_att,0,,,,,
player,201812090chi,ram,DaviJu00,pass_yds,0,,,,,
player,201812090chi,ram,DaviJu00,pass_td,0,,,,,
player,201812090chi,ram,DaviJu00,pass_int,0,,,,,
player,201812090chi,ram,DaviJu00,pass_sacked,0,,,,,
player,201812090chi,ram,DaviJu00,pass_sacked_yds,0,,,,,
player,201812090chi,ram,DaviJu00,pass_long,0,,,,,
player,201812090chi,ram,DaviJu00,pass_rating,,,,,,
player,201812090chi,ram,DaviJu00,rush_att,1,,,,,
player,201812090chi,ram,DaviJu00,rush_yds,19,,,,,
player,201812090chi,ram,DaviJu00,rush_td,0,,,,,
player,201812090chi,ram,DaviJu00,rush_long,19,,,,,
player,201812090chi,ram,DaviJu00,targets,0,,,,,
player,201812090chi,ram,DaviJu00,rec,0,,,,,
player,201812090chi,ram,DaviJu00,rec_yds,0,,,,,
player,201812090chi,ram,DaviJu00,rec_td,0,,,,,
player,201812090chi,ram,DaviJu00,rec_long,0,,,,,
player,201812090chi,ram,DaviJu00,fumbles,0,,,,,
player,201812090chi,ram,DaviJu00,fumbles_lost,0,,,,,
player,201812090chi,ram,WoodRo02,pass_cmp,0,,,,,
player,201812090chi,ram,WoodRo02,pass_att,0,,,,,
player,201812090chi,ram,WoodRo02,pass_yds,0,,,,,
player,201812090chi,ram,WoodRo02,pass_td,0,,,,,
player,201812090chi,ram,WoodRo02,pass_int,0,,,,,
player,201812090chi,ram,WoodRo02,pass_sacked,0,,,,,
player,201812090chi,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201812090chi,ram,WoodRo02,pass_long,0,,,,,
player,201812090chi,ram,WoodRo02,pass_rating,,,,,,
player,201812090chi,ram,WoodRo02,rush_att,0,,,,,
player,201812090chi,ram,WoodRo02,rush_yds,0,,,,,
player,201812090chi,ram,WoodRo02,rush_td,0,,,,,
player,201812090chi,ram,WoodRo02,rush_long,0,,,,,
player,201812090chi,ram,WoodRo02,targets,13,,,,,
player,201812090chi,ram,WoodRo02,rec,7,,,,,
player,201812090chi,ram,WoodRo02,rec_yds,61,,,,,
player,201812090chi,ram,WoodRo02,rec_td,0,,,,,
player,201812090chi,ram,WoodRo02,rec_long,29,,,,,
player,201812090chi,ram,WoodRo02,fumbles,0,,,,,
player,201812090chi,ram,WoodRo02,fumbles_lost,0,,,,,
player,201812090chi,ram,ReynJo00,pass_cmp,0,,,,,
player,201812090chi,ram,ReynJo00,pass_att,0,,,,,
player,201812090chi,ram,ReynJo00,pass_yds,0,,,,,
player,201812090chi,ram,ReynJo00,pass_td,0,,,,,
player,201812090chi,ram,ReynJo00,pass_int,0,,,,,
player,201812090chi,ram,ReynJo00,pass_sacked,0,,,,,
player,201812090chi,ram,ReynJo00,pass_sacked_yds,0,,,,,
player,201812090chi,ram,ReynJo00,pass_long,0,,,,,
player,201812090chi,ram,ReynJo00,pass_rating,,,,,,
player,201812090chi,ram,ReynJo00,rush_att,0,,,,,
player,201812090chi,ram,ReynJo00,rush_yds,0,,,,,
player,201812090chi,ram,ReynJo00,rush_td,0,,,,,
player,201812090chi,ram,ReynJo00,rush_long,0,,,,,
player,201812090chi,ram,ReynJo00,targets,7,,,,,
player,201812090chi,ram,ReynJo00,rec,3,,,,,
player,201812090chi,ram,ReynJo00,rec_yds,36,,,,,
player,201812090chi,ram,ReynJo00,rec_td,0,,,,,
player,201812090chi,ram,ReynJo00,rec_long,16,,,,,
player,201812090chi,ram,ReynJo00,fumbles,0,,,,,
player,201812090chi,ram,ReynJo00,fumbles_lost,0,,,,,
player,201812090chi,ram,EverGe00,pass_cmp,0,,,,,
player,201812090chi,ram,EverGe00,pass_att,0,,,,,
player,201812090chi,ram,EverGe00,pass_yds,0,,,,,
player,201812090chi,ram,EverGe00,pass_td,0,,,,,
player,201812090chi,ram,EverGe00,pass_int,0,,,,,
player,201812090chi,ram,EverGe00,pass_sacked,0,,,,,
player,201812090chi,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201812090chi,ram,EverGe00,pass_long,0,,,,,
player,201812090chi,ram,EverGe00,pass_rating,,,,,,
player,201812090chi,ram,EverGe00,rush_att,0,,,,,
player,201812090chi,ram,EverGe00,rush_yds,0,,,,,
player,201812090chi,ram,EverGe00,rush_td,0,,,,,
player,201812090chi,ram,EverGe00,rush_long,0,,,,,
player,201812090chi,ram,EverGe00,targets,7,,,,,
player,201812090chi,ram,EverGe00,rec,4,,,,,
player,201812090chi,ram,EverGe00,rec_yds,29,,,,,
player,201812090chi,ram,EverGe00,rec_td,0,,,,,
player,201812090chi,ram,EverGe00,rec_long,9,,,,,
player,201812090chi,ram,EverGe00,fumbles,0,,,,,
player,201812090chi,ram,EverGe00,fumbles_lost,0,,,,,
player,201812090chi,ram,CookBr00,pass_cmp,0,,,,,
player,201812090chi,ram,CookBr00,pass_att,0,,,,,
player,201812090chi,ram,CookBr00,pass_yds,0,,,,,
player,201812090chi,ram,CookBr00,pass_td,0,,,,,
player,201812090chi,ram,CookBr00,pass_int,0,,,,,
player,201812090chi,ram,CookBr00,pass_sacked,0,,,,,
player,201812090chi,ram,CookBr00,pass_sacked_yds,0,,,,,
player,201812090chi,ram,CookBr00,pass_long,0,,,,,
player,201812090chi,ram,CookBr00,pass_rating,,,,,,
player,201812090chi,ram,CookBr00,rush_att,0,,,,,
player,201812090chi,ram,CookBr00,rush_yds,0,,,,,
player,201812090chi,ram,CookBr00,rush_td,0,,,,,
player,201812090chi,ram,CookBr00,rush_long,0,,,,,
player,201812090chi,ram,CookBr00,targets,8,,,,,
player,201812090chi,ram,CookBr00,rec,3,,,,,
player,201812090chi,ram,CookBr00,rec_yds,22,,,,,
player,201812090chi,ram,CookBr00,rec_td,0,,,,,
player,201812090chi,ram,CookBr00,rec_long,12,,,,,
player,201812090chi,ram,CookBr00,fumbles,0,,,,,
player,201812090chi,ram,CookBr00,fumbles_lost,0,,,,,
player,201812090chi,ram,HigbTy00,pass_cmp,0,,,,,
player,201812090chi,ram,HigbTy00,pass_att,0,,,,,
player,201812090chi,ram,HigbTy00,pass_yds,0,,,,,
player,201812090chi,ram,HigbTy00,pass_td,0,,,,,
player,201812090chi,ram,HigbTy00,pass_int,0,,,,,
player,201812090chi,ram,HigbTy00,pass_sacked,0,,,,,
player,201812090chi,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201812090chi,ram,HigbTy00,pass_long,0,,,,,
player,201812090chi,ram,HigbTy00,pass_rating,,,,,,
player,201812090chi,ram,HigbTy00,rush_att,0,,,,,
player,201812090chi,ram,HigbTy00,rush_yds,0,,,,,
player,201812090chi,ram,HigbTy00,rush_td,0,,,,,
player,201812090chi,ram,HigbTy00,rush_long,0,,,,,
player,201812090chi,ram,HigbTy00,targets,1,,,,,
player,201812090chi,ram,HigbTy00,rec,1,,,,,
player,201812090chi,ram,HigbTy00,rec_yds,9,,,,,
player,201812090chi,ram,HigbTy00,rec_td,0,,,,,
player,201812090chi,ram,HigbTy00,rec_long,9,,,,,
player,201812090chi,ram,HigbTy00,fumbles,0,,,,,
player,201812090chi,ram,HigbTy00,fumbles_lost,0,,,,,
player,201812090chi,chi,TrubMi00,pass_cmp,16,,,,,
player,201812090chi,chi,TrubMi00,pass_att,30,,,,,
player,201812090chi,chi,TrubMi00,pass_yds,110,,,,,
player,201812090chi,chi,TrubMi00,pass_td,1,,,,,
player,201812090chi,chi,TrubMi00,pass_int,3,,,,,
player,201812090chi,chi,TrubMi00,pass_sacked,1,,,,,
player,201812090chi,chi,TrubMi00,pass_sacked_yds,10,,,,,
player,201812090chi,chi,TrubMi00,pass_long,17,,,,,
player,201812090chi,chi,TrubMi00,pass_rating,33.3,,,,,
player,201812090chi,chi,TrubMi00,rush_att,6,,,,,
player,201812090chi,chi,TrubMi00,rush_yds,23,,,,,
player,201812090chi,chi,TrubMi00,rush_td,0,,,,,
player,201812090chi,chi,TrubMi00,rush_long,13,,,,,
player,201812090chi,chi,TrubMi00,targets,0,,,,,
player,201812090chi,chi,TrubMi00,rec,0,,,,,
player,201812090chi,chi,TrubMi00,rec_yds,0,,,,,
player,201812090chi,chi,TrubMi00,rec_td,0,,,,,
player,201812090chi,chi,TrubMi00,rec_long,0,,,,,
player,201812090chi,chi,TrubMi00,fumbles,0,,,,,
player,201812090chi,chi,TrubMi00,fumbles_lost,0,,,,,
player,201812090chi,chi,HowaJo00,pass_cmp,0,,,,,
player,201812090chi,chi,HowaJo00,pass_att,0,,,,,
player,201812090chi,chi,HowaJo00,pass_yds,0,,,,,
player,201812090chi,chi,HowaJo00,pass_td,0,,,,,
player,201812090chi,chi,HowaJo00,pass_int,0,,,,,
player,201812090chi,chi,HowaJo00,pass_sacked,0,,,,,
player,201812090chi,chi,HowaJo00,pass_sacked_yds,0,,,,,
player,201812090chi,chi,HowaJo00,pass_long,0,,,,,
player,201812090chi,chi,HowaJo00,pass_rating,,,,,,
player,201812090chi,chi,HowaJo00,rush_att,19,,,,,
player,201812090chi,chi,HowaJo00,rush_yds,101,,,,,
player,201812090chi,chi,HowaJo00,rush_td,0,,,,,
player,201812090chi,chi,HowaJo00,rush_long,21,,,,,
player,201812090chi,chi,HowaJo00,targets,1,,,,,
player,201812090chi,chi,HowaJo00,rec,1,,,,,
player,201812090chi,chi,HowaJo00,rec_yds,2,,,,,
player,201812090chi,chi,HowaJo00,rec_td,0,,,,,
player,201812090chi,chi,HowaJo00,rec_long,2,,,,,
player,201812090chi,chi,HowaJo00,fumbles,0,,,,,
player,201812090chi,chi,HowaJo00,fumbles_lost,0,,,,,
player,201812090chi,chi,CoheTa00,pass_cmp,0,,,,,
player,201812090chi,chi,CoheTa00,pass_att,0,,,,,
player,201812090chi,chi,CoheTa00,pass_yds,0,,,,,
player,201812090chi,chi,CoheTa00,pass_td,0,,,,,
player,201812090chi,chi,CoheTa00,pass_int,0,,,,,
player,201812090chi,chi,CoheTa00,pass_sacked,0,,,,,
player,201812090chi,chi,CoheTa00,pass_sacked_yds,0,,,,,
player,201812090chi,chi,CoheTa00,pass_long,0,,,,,
player,201812090chi,chi,CoheTa00,pass_rating,,,,,,
player,201812090chi,chi,CoheTa00,rush_att,9,,,,,
player,201812090chi,chi,CoheTa00,rush_yds,69,,,,,
player,201812090chi,chi,CoheTa00,rush_td,0,,,,,
player,201812090chi,chi,CoheTa00,rush_long,32,,,,,
player,201812090chi,chi,CoheTa00,targets,4,,,,,
player,201812090chi,chi,CoheTa00,rec,4,,,,,
player,201812090chi,chi,CoheTa00,rec_yds,20,,,,,
player,201812090chi,chi,CoheTa00,rec_td,0,,,,,
player,201812090chi,chi,CoheTa00,rec_long,8,,,,,
player,201812090chi,chi,CoheTa00,fumbles,0,,,,,
player,201812090chi,chi,CoheTa00,fumbles_lost,0,,,,,
player,201812090chi,chi,MizzTa00,pass_cmp,0,,,,,
player,201812090chi,chi,MizzTa00,pass_att,0,,,,,
player,201812090chi,chi,MizzTa00,pass_yds,0,,,,,
player,201812090chi,chi,MizzTa00,pass_td,0,,,,,
player,201812090chi,chi,MizzTa00,pass_int,0,,,,,
player,201812090chi,chi,MizzTa00,pass_sacked,0,,,,,
player,201812090chi,chi,MizzTa00,pass_sacked_yds,0,,,,,
player,201812090chi,chi,MizzTa00,pass_long,0,,,,,
player,201812090chi,chi,MizzTa00,pass_rating,,,,,,
player,201812090chi,chi,MizzTa00,rush_att,1,,,,,
player,201812090chi,chi,MizzTa00,rush_yds,1,,,,,
player,201812090chi,chi,MizzTa00,rush_td,0,,,,,
player,201812090chi,chi,MizzTa00,rush_long,1,,,,,
player,201812090chi,chi,MizzTa00,targets,0,,,,,
player,201812090chi,chi,MizzTa00,rec,0,,,,,
player,201812090chi,chi,MizzTa00,rec_yds,0,,,,,
player,201812090chi,chi,MizzTa00,rec_td,0,,,,,
player,201812090chi,chi,MizzTa00,rec_long,0,,,,,
player,201812090chi,chi,MizzTa00,fumbles,0,,,,,
player,201812090chi,chi,MizzTa00,fumbles_lost,0,,,,,
player,201812090chi,chi,RobiAl02,pass_cmp,0,,,,,
player,201812090chi,chi,RobiAl02,pass_att,0,,,,,
player,201812090chi,chi,RobiAl02,pass_yds,0,,,,,
player,201812090chi,chi,RobiAl02,pass_td,0,,,,,
player,201812090chi,chi,RobiAl02,pass_int,0,,,,,
player,201812090chi,chi,RobiAl02,pass_sacked,0,,,,,
player,201812090chi,chi,RobiAl02,pass_sacked_yds,0,,,,,
player,201812090chi,chi,RobiAl02,pass_long,0,,,,,
player,201812090chi,chi,RobiAl02,pass_rating,,,,,,
player,201812090chi,chi,RobiAl02,rush_att,0,,,,,
player,201812090chi,chi,RobiAl02,rush_yds,0,,,,,
player,201812090chi,chi,RobiAl02,rush_td,0,,,,,
player,201812090chi,chi,RobiAl02,rush_long,0,,,,,
player,201812090chi,chi,RobiAl02,targets,8,,,,,
player,201812090chi,chi,RobiAl02,rec,5,,,,,
player,201812090chi,chi,RobiAl02,rec_yds,42,,,,,
player,201812090chi,chi,RobiAl02,rec_td,0,,,,,
player,201812090chi,chi,RobiAl02,rec_long,14,,,,,
player,201812090chi,chi,RobiAl02,fumbles,0,,,,,
player,201812090chi,chi,RobiAl02,fumbles_lost,0,,,,,
player,201812090chi,chi,BurtTr01,pass_cmp,0,,,,,
player,201812090chi,chi,BurtTr01,pass_att,0,,,,,
player,201812090chi,chi,BurtTr01,pass_yds,0,,,,,
player,201812090chi,chi,BurtTr01,pass_td,0,,,,,
player,201812090chi,chi,BurtTr01,pass_int,0,,,,,
player,201812090chi,chi,BurtTr01,pass_sacked,0,,,,,
player,201812090chi,chi,BurtTr01,pass_sacked_yds,0,,,,,
player,201812090chi,chi,BurtTr01,pass_long,0,,,,,
player,201812090chi,chi,BurtTr01,pass_rating,,,,,,
player,201812090chi,chi,BurtTr01,rush_att,0,,,,,
player,201812090chi,chi,BurtTr01,rush_yds,0,,,,,
player,201812090chi,chi,BurtTr01,rush_td,0,,,,,
player,201812090chi,chi,BurtTr01,rush_long,0,,,,,
player,201812090chi,chi,BurtTr01,targets,5,,,,,
player,201812090chi,chi,BurtTr01,rec,2,,,,,
player,201812090chi,chi,BurtTr01,rec_yds,22,,,,,
player,201812090chi,chi,BurtTr01,rec_td,0,,,,,
player,201812090chi,chi,BurtTr01,rec_long,17,,,,,
player,201812090chi,chi,BurtTr01,fumbles,0,,,,,
player,201812090chi,chi,BurtTr01,fumbles_lost,0,,,,,
player,201812090chi,chi,GabrTa00,pass_cmp,0,,,,,
player,201812090chi,chi,GabrTa00,pass_att,0,,,,,
player,201812090chi,chi,GabrTa00,pass_yds,0,,,,,
player,201812090chi,chi,GabrTa00,pass_td,0,,,,,
player,201812090chi,chi,GabrTa00,pass_int,0,,,,,
player,201812090chi,chi,GabrTa00,pass_sacked,0,,,,,
player,201812090chi,chi,GabrTa00,pass_sacked_yds,0,,,,,
player,201812090chi,chi,GabrTa00,pass_long,0,,,,,
player,201812090chi,chi,GabrTa00,pass_rating,,,,,,
player,201812090chi,chi,GabrTa00,rush_att,0,,,,,
player,201812090chi,chi,GabrTa00,rush_yds,0,,,,,
player,201812090chi,chi,GabrTa00,rush_td,0,,,,,
player,201812090chi,chi,GabrTa00,rush_long,0,,,,,
player,201812090chi,chi,GabrTa00,targets,7,,,,,
player,201812090chi,chi,GabrTa00,rec,3,,,,,
player,201812090chi,chi,GabrTa00,rec_yds,22,,,,,
player,201812090chi,chi,GabrTa00,rec_td,0,,,,,
player,201812090chi,chi,GabrTa00,rec_long,8,,,,,
player,201812090chi,chi,GabrTa00,fumbles,0,,,,,
player,201812090chi,chi,GabrTa00,fumbles_lost,0,,,,,
player,201812090chi,chi,SoweBr00,pass_cmp,0,,,,,
player,201812090chi,chi,SoweBr00,pass_att,0,,,,,
player,201812090chi,chi,SoweBr00,pass_yds,0,,,,,
player,201812090chi,chi,SoweBr00,pass_td,0,,,,,
player,201812090chi,chi,SoweBr00,pass_int,0,,,,,
player,201812090chi,chi,SoweBr00,pass_sacked,0,,,,,
player,201812090chi,chi,SoweBr00,pass_sacked_yds,0,,,,,
player,201812090chi,chi,SoweBr00,pass_long,0,,,,,
player,201812090chi,chi,SoweBr00,pass_rating,,,,,,
player,201812090chi,chi,SoweBr00,rush_att,0,,,,,
player,201812090chi,chi,SoweBr00,rush_yds,0,,,,,
player,201812090chi,chi,SoweBr00,rush_td,0,,,,,
player,201812090chi,chi,SoweBr00,rush_long,0,,,,,
player,201812090chi,chi,SoweBr00,targets,1,,,,,
player,201812090chi,chi,SoweBr00,rec,1,,,,,
player,201812090chi,chi,SoweBr00,rec_yds,2,,,,,
player,201812090chi,chi,SoweBr00,rec_td,1,,,,,
player,201812090chi,chi,SoweBr00,rec_long,2,,,,,
player,201812090chi,chi,SoweBr00,fumbles,0,,,,,
player,201812090chi,chi,SoweBr00,fumbles_lost,0,,,,,
player,201812090chi,chi,MillAn02,pass_cmp,0,,,,,
player,201812090chi,chi,MillAn02,pass_att,0,,,,,
player,201812090chi,chi,MillAn02,pass_yds,0,,,,,
player,201812090chi,chi,MillAn02,pass_td,0,,,,,
player,201812090chi,chi,MillAn02,pass_int,0,,,,,
player,201812090chi,chi,MillAn02,pass_sacked,0,,,,,
player,201812090chi,chi,MillAn02,pass_sacked_yds,0,,,,,
player,201812090chi,chi,MillAn02,pass_long,0,,,,,
player,201812090chi,chi,MillAn02,pass_rating,,,,,,
player,201812090chi,chi,MillAn02,rush_att,0,,,,,
player,201812090chi,chi,MillAn02,rush_yds,0,,,,,
player,201812090chi,chi,MillAn02,rush_td,0,,,,,
player,201812090chi,chi,MillAn02,rush_long,0,,,,,
player,201812090chi,chi,MillAn02,targets,1,,,,,
player,201812090chi,chi,MillAn02,rec,0,,,,,
player,201812090chi,chi,MillAn02,rec_yds,0,,,,,
player,201812090chi,chi,MillAn02,rec_td,0,,,,,
player,201812090chi,chi,MillAn02,rec_long,0,,,,,
player,201812090chi,chi,MillAn02,fumbles,0,,,,,
player,201812090chi,chi,MillAn02,fumbles_lost,0,,,,,
player,201812090chi,chi,BellJo02,pass_cmp,0,,,,,
player,201812090chi,chi,BellJo02,pass_att,0,,,,,
player,201812090chi,chi,BellJo02,pass_yds,0,,,,,
player,201812090chi,chi,BellJo02,pass_td,0,,,,,
player,201812090chi,chi,BellJo02,pass_int,0,,,,,
player,201812090chi,chi,BellJo02,pass_sacked,0,,,,,
player,201812090chi,chi,BellJo02,pass_sacked_yds,0,,,,,
player,201812090chi,chi,BellJo02,pass_long,0,,,,,
player,201812090chi,chi,BellJo02,pass_rating,,,,,,
player,201812090chi,chi,BellJo02,rush_att,0,,,,,
player,201812090chi,chi,BellJo02,rush_yds,0,,,,,
player,201812090chi,chi,BellJo02,rush_td,0,,,,,
player,201812090chi,chi,BellJo02,rush_long,0,,,,,
player,201812090chi,chi,BellJo02,targets,1,,,,,
player,201812090chi,chi,BellJo02,rec,0,,,,,
player,201812090chi,chi,BellJo02,rec_yds,0,,,,,
player,201812090chi,chi,BellJo02,rec_td,0,,,,,
player,201812090chi,chi,BellJo02,rec_long,0,,,,,
player,201812090chi,chi,BellJo02,fumbles,0,,,,,
player,201812090chi,chi,BellJo02,fumbles_lost,0,,,,,
player,201812090chi,ram,JohnJo10,def_int,1,,,,,
player,201812090chi,ram,JohnJo10,def_int_yds,35,,,,,
player,201812090chi,ram,JohnJo10,def_int_td,0,,,,,
player,201812090chi,ram,JohnJo10,def_int_long,35,,,,,
player,201812090chi,ram,JohnJo10,pass_defended,1,,,,,
player,201812090chi,ram,JohnJo10,sacks,0.0,,,,,
player,201812090chi,ram,JohnJo10,tackles_combined,6,,,,,
player,201812090chi,ram,JohnJo10,tackles_solo,5,,,,,
player,201812090chi,ram,JohnJo10,tackles_assists,1,,,,,
player,201812090chi,ram,JohnJo10,tackles_loss,1,,,,,
player,201812090chi,ram,JohnJo10,qb_hits,0,,,,,
player,201812090chi,ram,JohnJo10,fumbles_rec,0,,,,,
player,201812090chi,ram,JohnJo10,fumbles_rec_yds,0,,,,,
player,201812090chi,ram,JohnJo10,fumbles_rec_td,0,,,,,
player,201812090chi,ram,JohnJo10,fumbles_forced,0,,,,,
player,201812090chi,ram,PeteMa00,def_int,1,,,,,
player,201812090chi,ram,PeteMa00,def_int_yds,48,,,,,
player,201812090chi,ram,PeteMa00,def_int_td,0,,,,,
player,201812090chi,ram,PeteMa00,def_int_long,48,,,,,
player,201812090chi,ram,PeteMa00,pass_defended,1,,,,,
player,201812090chi,ram,PeteMa00,sacks,0.0,,,,,
player,201812090chi,ram,PeteMa00,tackles_combined,3,,,,,
player,201812090chi,ram,PeteMa00,tackles_solo,3,,,,,
player,201812090chi,ram,PeteMa00,tackles_assists,0,,,,,
player,201812090chi,ram,PeteMa00,tackles_loss,0,,,,,
player,201812090chi,ram,PeteMa00,qb_hits,0,,,,,
player,201812090chi,ram,PeteMa00,fumbles_rec,0,,,,,
player,201812090chi,ram,PeteMa00,fumbles_rec_yds,0,,,,,
player,201812090chi,ram,PeteMa00,fumbles_rec_td,0,,,,,
player,201812090chi,ram,PeteMa00,fumbles_forced,0,,,,,
player,201812090chi,ram,RobeNi00,def_int,1,,,,,
player,201812090chi,ram,RobeNi00,def_int_yds,0,,,,,
player,201812090chi,ram,RobeNi00,def_int_td,0,,,,,
player,201812090chi,ram,RobeNi00,def_int_long,0,,,,,
player,201812090chi,ram,RobeNi00,pass_defended,2,,,,,
player,201812090chi,ram,RobeNi00,sacks,0.0,,,,,
player,201812090chi,ram,RobeNi00,tackles_combined,3,,,,,
player,201812090chi,ram,RobeNi00,tackles_solo,2,,,,,
player,201812090chi,ram,RobeNi00,tackles_assists,1,,,,,
player,201812090chi,ram,RobeNi00,tackles_loss,0,,,,,
player,201812090chi,ram,RobeNi00,qb_hits,0,,,,,
player,201812090chi,ram,RobeNi00,fumbles_rec,0,,,,,
player,201812090chi,ram,RobeNi00,fumbles_rec_yds,0,,,,,
player,201812090chi,ram,RobeNi00,fumbles_rec_td,0,,,,,
player,201812090chi,ram,RobeNi00,fumbles_forced,0,,,,,
player,201812090chi,ram,FranJo02,def_int,0,,,,,
player,201812090chi,ram,FranJo02,def_int_yds,0,,,,,
player,201812090chi,ram,FranJo02,def_int_td,0,,,,,
player,201812090chi,ram,FranJo02,def_int_long,0,,,,,
player,201812090chi,ram,FranJo02,pass_defended,0,,,,,
player,201812090chi,ram,FranJo02,sacks,1.0,,,,,
