game,2018,3,20180923,201809230atl,nor,"New Orleans Saints",43,atl,"Atlanta Falcons",37
player,201809230atl,atl,FuscBr00,defense,0,,,,,
player,201809230atl,atl,FuscBr00,def_pct,0%,,,,,
player,201809230atl,atl,FuscBr00,special_teams,4,,,,,
player,201809230atl,atl,FuscBr00,st_pct,11%,,,,,
player,201809230atl,atl,SchwWe00,pos,C,,,,,
player,201809230atl,atl,SchwWe00,offense,68,,,,,
player,201809230atl,atl,SchwWe00,off_pct,100%,,,,,
player,201809230atl,atl,SchwWe00,defense,0,,,,,
player,201809230atl,atl,SchwWe00,def_pct,0%,,,,,
player,201809230atl,atl,SchwWe00,special_teams,4,,,,,
player,201809230atl,atl,SchwWe00,st_pct,11%,,,,,
player,201809230atl,atl,RyanMa00,pos,QB,,,,,
player,201809230atl,atl,RyanMa00,offense,68,,,,,
player,201809230atl,atl,RyanMa00,off_pct,100%,,,,,
player,201809230atl,atl,RyanMa00,defense,0,,,,,
player,201809230atl,atl,RyanMa00,def_pct,0%,,,,,
player,201809230atl,atl,RyanMa00,special_teams,0,,,,,
player,201809230atl,atl,RyanMa00,st_pct,0%,,,,,
player,201809230atl,atl,MackAl20,pos,C,,,,,
player,201809230atl,atl,MackAl20,offense,68,,,,,
player,201809230atl,atl,MackAl20,off_pct,100%,,,,,
player,201809230atl,atl,MackAl20,defense,0,,,,,
player,201809230atl,atl,MackAl20,def_pct,0%,,,,,
player,201809230atl,atl,MackAl20,special_teams,0,,,,,
player,201809230atl,atl,MackAl20,st_pct,0%,,,,,
player,201809230atl,atl,SanuMo00,pos,WR,,,,,
player,201809230atl,atl,SanuMo00,offense,59,,,,,
player,201809230atl,atl,SanuMo00,off_pct,87%,,,,,
player,201809230atl,atl,SanuMo00,defense,0,,,,,
player,201809230atl,atl,SanuMo00,def_pct,0%,,,,,
player,201809230atl,atl,SanuMo00,special_teams,0,,,,,
player,201809230atl,atl,SanuMo00,st_pct,0%,,,,,
player,201809230atl,atl,HoopAu00,pos,TE,,,,,
player,201809230atl,atl,HoopAu00,offense,58,,,,,
player,201809230atl,atl,HoopAu00,off_pct,85%,,,,,
player,201809230atl,atl,HoopAu00,defense,0,,,,,
player,201809230atl,atl,HoopAu00,def_pct,0%,,,,,
player,201809230atl,atl,HoopAu00,special_teams,4,,,,,
player,201809230atl,atl,HoopAu00,st_pct,11%,,,,,
player,201809230atl,atl,JoneJu02,pos,WR,,,,,
player,201809230atl,atl,JoneJu02,offense,54,,,,,
player,201809230atl,atl,JoneJu02,off_pct,79%,,,,,
player,201809230atl,atl,JoneJu02,defense,0,,,,,
player,201809230atl,atl,JoneJu02,def_pct,0%,,,,,
player,201809230atl,atl,JoneJu02,special_teams,0,,,,,
player,201809230atl,atl,JoneJu02,st_pct,0%,,,,,
player,201809230atl,atl,ColeTe01,pos,RB,,,,,
player,201809230atl,atl,ColeTe01,offense,53,,,,,
player,201809230atl,atl,ColeTe01,off_pct,78%,,,,,
player,201809230atl,atl,ColeTe01,defense,0,,,,,
player,201809230atl,atl,ColeTe01,def_pct,0%,,,,,
player,201809230atl,atl,ColeTe01,special_teams,0,,,,,
player,201809230atl,atl,ColeTe01,st_pct,0%,,,,,
player,201809230atl,atl,RidlCa00,pos,WR,,,,,
player,201809230atl,atl,RidlCa00,offense,42,,,,,
player,201809230atl,atl,RidlCa00,off_pct,62%,,,,,
player,201809230atl,atl,RidlCa00,defense,0,,,,,
player,201809230atl,atl,RidlCa00,def_pct,0%,,,,,
player,201809230atl,atl,RidlCa00,special_teams,0,,,,,
