game,2018,3,20180923,201809230ram,sdg,"Los Angeles Chargers",23,ram,"Los Angeles Rams",35
player,201809230ram,sdg,GordMe00,rec,2,,,,,
player,201809230ram,sdg,GordMe00,rec_yds,4,,,,,
player,201809230ram,sdg,GordMe00,rec_td,0,,,,,
player,201809230ram,sdg,GordMe00,rec_long,3,,,,,
player,201809230ram,sdg,GordMe00,fumbles,0,,,,,
player,201809230ram,sdg,GordMe00,fumbles_lost,0,,,,,
player,201809230ram,sdg,EkelAu00,pass_cmp,0,,,,,
player,201809230ram,sdg,EkelAu00,pass_att,0,,,,,
player,201809230ram,sdg,EkelAu00,pass_yds,0,,,,,
player,201809230ram,sdg,EkelAu00,pass_td,0,,,,,
player,201809230ram,sdg,EkelAu00,pass_int,0,,,,,
player,201809230ram,sdg,EkelAu00,pass_sacked,0,,,,,
player,201809230ram,sdg,EkelAu00,pass_sacked_yds,0,,,,,
player,201809230ram,sdg,EkelAu00,pass_long,0,,,,,
player,201809230ram,sdg,EkelAu00,pass_rating,,,,,,
player,201809230ram,sdg,EkelAu00,rush_att,4,,,,,
player,201809230ram,sdg,EkelAu00,rush_yds,47,,,,,
player,201809230ram,sdg,EkelAu00,rush_td,0,,,,,
player,201809230ram,sdg,EkelAu00,rush_long,32,,,,,
player,201809230ram,sdg,EkelAu00,targets,3,,,,,
player,201809230ram,sdg,EkelAu00,rec,3,,,,,
player,201809230ram,sdg,EkelAu00,rec_yds,24,,,,,
player,201809230ram,sdg,EkelAu00,rec_td,0,,,,,
player,201809230ram,sdg,EkelAu00,rec_long,15,,,,,
player,201809230ram,sdg,EkelAu00,fumbles,1,,,,,
player,201809230ram,sdg,EkelAu00,fumbles_lost,1,,,,,
player,201809230ram,sdg,WillTy00,pass_cmp,0,,,,,
player,201809230ram,sdg,WillTy00,pass_att,0,,,,,
player,201809230ram,sdg,WillTy00,pass_yds,0,,,,,
player,201809230ram,sdg,WillTy00,pass_td,0,,,,,
player,201809230ram,sdg,WillTy00,pass_int,0,,,,,
player,201809230ram,sdg,WillTy00,pass_sacked,0,,,,,
player,201809230ram,sdg,WillTy00,pass_sacked_yds,0,,,,,
player,201809230ram,sdg,WillTy00,pass_long,0,,,,,
player,201809230ram,sdg,WillTy00,pass_rating,,,,,,
player,201809230ram,sdg,WillTy00,rush_att,1,,,,,
player,201809230ram,sdg,WillTy00,rush_yds,14,,,,,
player,201809230ram,sdg,WillTy00,rush_td,0,,,,,
player,201809230ram,sdg,WillTy00,rush_long,14,,,,,
player,201809230ram,sdg,WillTy00,targets,3,,,,,
player,201809230ram,sdg,WillTy00,rec,2,,,,,
player,201809230ram,sdg,WillTy00,rec_yds,22,,,,,
player,201809230ram,sdg,WillTy00,rec_td,0,,,,,
player,201809230ram,sdg,WillTy00,rec_long,13,,,,,
player,201809230ram,sdg,WillTy00,fumbles,0,,,,,
player,201809230ram,sdg,WillTy00,fumbles_lost,0,,,,,
player,201809230ram,sdg,WillMi07,pass_cmp,0,,,,,
player,201809230ram,sdg,WillMi07,pass_att,0,,,,,
player,201809230ram,sdg,WillMi07,pass_yds,0,,,,,
player,201809230ram,sdg,WillMi07,pass_td,0,,,,,
player,201809230ram,sdg,WillMi07,pass_int,0,,,,,
player,201809230ram,sdg,WillMi07,pass_sacked,0,,,,,
player,201809230ram,sdg,WillMi07,pass_sacked_yds,0,,,,,
player,201809230ram,sdg,WillMi07,pass_long,0,,,,,
player,201809230ram,sdg,WillMi07,pass_rating,,,,,,
player,201809230ram,sdg,WillMi07,rush_att,0,,,,,
player,201809230ram,sdg,WillMi07,rush_yds,0,,,,,
player,201809230ram,sdg,WillMi07,rush_td,0,,,,,
player,201809230ram,sdg,WillMi07,rush_long,0,,,,,
player,201809230ram,sdg,WillMi07,targets,7,,,,,
player,201809230ram,sdg,WillMi07,rec,4,,,,,
player,201809230ram,sdg,WillMi07,rec_yds,81,,,,,
player,201809230ram,sdg,WillMi07,rec_td,2,,,,,
player,201809230ram,sdg,WillMi07,rec_long,42,,,,,
player,201809230ram,sdg,WillMi07,fumbles,0,,,,,
player,201809230ram,sdg,WillMi07,fumbles_lost,0,,,,,
player,201809230ram,sdg,GateAn00,pass_cmp,0,,,,,
player,201809230ram,sdg,GateAn00,pass_att,0,,,,,
player,201809230ram,sdg,GateAn00,pass_yds,0,,,,,
player,201809230ram,sdg,GateAn00,pass_td,0,,,,,
player,201809230ram,sdg,GateAn00,pass_int,0,,,,,
player,201809230ram,sdg,GateAn00,pass_sacked,0,,,,,
player,201809230ram,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201809230ram,sdg,GateAn00,pass_long,0,,,,,
player,201809230ram,sdg,GateAn00,pass_rating,,,,,,
player,201809230ram,sdg,GateAn00,rush_att,0,,,,,
player,201809230ram,sdg,GateAn00,rush_yds,0,,,,,
player,201809230ram,sdg,GateAn00,rush_td,0,,,,,
player,201809230ram,sdg,GateAn00,rush_long,0,,,,,
player,201809230ram,sdg,GateAn00,targets,5,,,,,
player,201809230ram,sdg,GateAn00,rec,3,,,,,
player,201809230ram,sdg,GateAn00,rec_yds,45,,,,,
player,201809230ram,sdg,GateAn00,rec_td,0,,,,,
player,201809230ram,sdg,GateAn00,rec_long,27,,,,,
player,201809230ram,sdg,GateAn00,fumbles,0,,,,,
player,201809230ram,sdg,GateAn00,fumbles_lost,0,,,,,
player,201809230ram,sdg,AlleKe00,pass_cmp,0,,,,,
player,201809230ram,sdg,AlleKe00,pass_att,0,,,,,
player,201809230ram,sdg,AlleKe00,pass_yds,0,,,,,
player,201809230ram,sdg,AlleKe00,pass_td,0,,,,,
player,201809230ram,sdg,AlleKe00,pass_int,0,,,,,
player,201809230ram,sdg,AlleKe00,pass_sacked,1,,,,,
player,201809230ram,sdg,AlleKe00,pass_sacked_yds,7,,,,,
player,201809230ram,sdg,AlleKe00,pass_long,0,,,,,
player,201809230ram,sdg,AlleKe00,pass_rating,,,,,,
player,201809230ram,sdg,AlleKe00,rush_att,0,,,,,
player,201809230ram,sdg,AlleKe00,rush_yds,0,,,,,
player,201809230ram,sdg,AlleKe00,rush_td,0,,,,,
player,201809230ram,sdg,AlleKe00,rush_long,0,,,,,
player,201809230ram,sdg,AlleKe00,targets,7,,,,,
player,201809230ram,sdg,AlleKe00,rec,3,,,,,
player,201809230ram,sdg,AlleKe00,rec_yds,44,,,,,
player,201809230ram,sdg,AlleKe00,rec_td,0,,,,,
player,201809230ram,sdg,AlleKe00,rec_long,25,,,,,
player,201809230ram,sdg,AlleKe00,fumbles,1,,,,,
player,201809230ram,sdg,AlleKe00,fumbles_lost,1,,,,,
player,201809230ram,sdg,GreeVi00,pass_cmp,0,,,,,
player,201809230ram,sdg,GreeVi00,pass_att,0,,,,,
player,201809230ram,sdg,GreeVi00,pass_yds,0,,,,,
player,201809230ram,sdg,GreeVi00,pass_td,0,,,,,
player,201809230ram,sdg,GreeVi00,pass_int,0,,,,,
player,201809230ram,sdg,GreeVi00,pass_sacked,0,,,,,
player,201809230ram,sdg,GreeVi00,pass_sacked_yds,0,,,,,
player,201809230ram,sdg,GreeVi00,pass_long,0,,,,,
player,201809230ram,sdg,GreeVi00,pass_rating,,,,,,
player,201809230ram,sdg,GreeVi00,rush_att,0,,,,,
player,201809230ram,sdg,GreeVi00,rush_yds,0,,,,,
player,201809230ram,sdg,GreeVi00,rush_td,0,,,,,
player,201809230ram,sdg,GreeVi00,rush_long,0,,,,,
player,201809230ram,sdg,GreeVi00,targets,1,,,,,
player,201809230ram,sdg,GreeVi00,rec,1,,,,,
player,201809230ram,sdg,GreeVi00,rec_yds,6,,,,,
player,201809230ram,sdg,GreeVi00,rec_td,0,,,,,
player,201809230ram,sdg,GreeVi00,rec_long,6,,,,,
player,201809230ram,sdg,GreeVi00,fumbles,0,,,,,
player,201809230ram,sdg,GreeVi00,fumbles_lost,0,,,,,
player,201809230ram,ram,GoffJa00,pass_cmp,29,,,,,
player,201809230ram,ram,GoffJa00,pass_att,36,,,,,
player,201809230ram,ram,GoffJa00,pass_yds,354,,,,,
player,201809230ram,ram,GoffJa00,pass_td,3,,,,,
player,201809230ram,ram,GoffJa00,pass_int,1,,,,,
player,201809230ram,ram,GoffJa00,pass_sacked,1,,,,,
player,201809230ram,ram,GoffJa00,pass_sacked_yds,4,,,,,
player,201809230ram,ram,GoffJa00,pass_long,53,,,,,
player,201809230ram,ram,GoffJa00,pass_rating,123.8,,,,,
player,201809230ram,ram,GoffJa00,rush_att,3,,,,,
player,201809230ram,ram,GoffJa00,rush_yds,14,,,,,
player,201809230ram,ram,GoffJa00,rush_td,0,,,,,
player,201809230ram,ram,GoffJa00,rush_long,16,,,,,
player,201809230ram,ram,GoffJa00,targets,0,,,,,
player,201809230ram,ram,GoffJa00,rec,0,,,,,
player,201809230ram,ram,GoffJa00,rec_yds,0,,,,,
player,201809230ram,ram,GoffJa00,rec_td,0,,,,,
player,201809230ram,ram,GoffJa00,rec_long,0,,,,,
player,201809230ram,ram,GoffJa00,fumbles,0,,,,,
player,201809230ram,ram,GoffJa00,fumbles_lost,0,,,,,
player,201809230ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201809230ram,ram,GurlTo01,pass_att,0,,,,,
player,201809230ram,ram,GurlTo01,pass_yds,0,,,,,
player,201809230ram,ram,GurlTo01,pass_td,0,,,,,
player,201809230ram,ram,GurlTo01,pass_int,0,,,,,
player,201809230ram,ram,GurlTo01,pass_sacked,0,,,,,
player,201809230ram,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201809230ram,ram,GurlTo01,pass_long,0,,,,,
player,201809230ram,ram,GurlTo01,pass_rating,,,,,,
player,201809230ram,ram,GurlTo01,rush_att,23,,,,,
player,201809230ram,ram,GurlTo01,rush_yds,105,,,,,
player,201809230ram,ram,GurlTo01,rush_td,1,,,,,
player,201809230ram,ram,GurlTo01,rush_long,14,,,,,
player,201809230ram,ram,GurlTo01,targets,6,,,,,
player,201809230ram,ram,GurlTo01,rec,5,,,,,
player,201809230ram,ram,GurlTo01,rec_yds,51,,,,,
player,201809230ram,ram,GurlTo01,rec_td,0,,,,,
player,201809230ram,ram,GurlTo01,rec_long,25,,,,,
player,201809230ram,ram,GurlTo01,fumbles,1,,,,,
player,201809230ram,ram,GurlTo01,fumbles_lost,1,,,,,
player,201809230ram,ram,BrowMa03,pass_cmp,0,,,,,
player,201809230ram,ram,BrowMa03,pass_att,0,,,,,
player,201809230ram,ram,BrowMa03,pass_yds,0,,,,,
player,201809230ram,ram,BrowMa03,pass_td,0,,,,,
player,201809230ram,ram,BrowMa03,pass_int,0,,,,,
player,201809230ram,ram,BrowMa03,pass_sacked,0,,,,,
player,201809230ram,ram,BrowMa03,pass_sacked_yds,0,,,,,
player,201809230ram,ram,BrowMa03,pass_long,0,,,,,
player,201809230ram,ram,BrowMa03,pass_rating,,,,,,
player,201809230ram,ram,BrowMa03,rush_att,5,,,,,
player,201809230ram,ram,BrowMa03,rush_yds,42,,,,,
player,201809230ram,ram,BrowMa03,rush_td,0,,,,,
player,201809230ram,ram,BrowMa03,rush_long,14,,,,,
player,201809230ram,ram,BrowMa03,targets,1,,,,,
player,201809230ram,ram,BrowMa03,rec,0,,,,,
player,201809230ram,ram,BrowMa03,rec_yds,0,,,,,
player,201809230ram,ram,BrowMa03,rec_td,0,,,,,
player,201809230ram,ram,BrowMa03,rec_long,0,,,,,
player,201809230ram,ram,BrowMa03,fumbles,0,,,,,
player,201809230ram,ram,BrowMa03,fumbles_lost,0,,,,,
player,201809230ram,ram,WoodRo02,pass_cmp,0,,,,,
player,201809230ram,ram,WoodRo02,pass_att,0,,,,,
player,201809230ram,ram,WoodRo02,pass_yds,0,,,,,
player,201809230ram,ram,WoodRo02,pass_td,0,,,,,
player,201809230ram,ram,WoodRo02,pass_int,0,,,,,
player,201809230ram,ram,WoodRo02,pass_sacked,0,,,,,
player,201809230ram,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201809230ram,ram,WoodRo02,pass_long,0,,,,,
player,201809230ram,ram,WoodRo02,pass_rating,,,,,,
player,201809230ram,ram,WoodRo02,rush_att,3,,,,,
player,201809230ram,ram,WoodRo02,rush_yds,13,,,,,
player,201809230ram,ram,WoodRo02,rush_td,0,,,,,
player,201809230ram,ram,WoodRo02,rush_long,8,,,,,
player,201809230ram,ram,WoodRo02,targets,11,,,,,
player,201809230ram,ram,WoodRo02,rec,10,,,,,
player,201809230ram,ram,WoodRo02,rec_yds,104,,,,,
player,201809230ram,ram,WoodRo02,rec_td,2,,,,,
player,201809230ram,ram,WoodRo02,rec_long,22,,,,,
player,201809230ram,ram,WoodRo02,fumbles,0,,,,,
player,201809230ram,ram,WoodRo02,fumbles_lost,0,,,,,
player,201809230ram,ram,CookBr00,pass_cmp,0,,,,,
player,201809230ram,ram,CookBr00,pass_att,0,,,,,
player,201809230ram,ram,CookBr00,pass_yds,0,,,,,
player,201809230ram,ram,CookBr00,pass_td,0,,,,,
player,201809230ram,ram,CookBr00,pass_int,0,,,,,
player,201809230ram,ram,CookBr00,pass_sacked,0,,,,,
player,201809230ram,ram,CookBr00,pass_sacked_yds,0,,,,,
player,201809230ram,ram,CookBr00,pass_long,0,,,,,
player,201809230ram,ram,CookBr00,pass_rating,,,,,,
player,201809230ram,ram,CookBr00,rush_att,0,,,,,
player,201809230ram,ram,CookBr00,rush_yds,0,,,,,
player,201809230ram,ram,CookBr00,rush_td,0,,,,,
player,201809230ram,ram,CookBr00,rush_long,0,,,,,
player,201809230ram,ram,CookBr00,targets,8,,,,,
player,201809230ram,ram,CookBr00,rec,7,,,,,
player,201809230ram,ram,CookBr00,rec_yds,90,,,,,
player,201809230ram,ram,CookBr00,rec_td,0,,,,,
player,201809230ram,ram,CookBr00,rec_long,21,,,,,
player,201809230ram,ram,CookBr00,fumbles,0,,,,,
player,201809230ram,ram,CookBr00,fumbles_lost,0,,,,,
player,201809230ram,ram,HigbTy00,pass_cmp,0,,,,,
player,201809230ram,ram,HigbTy00,pass_att,0,,,,,
player,201809230ram,ram,HigbTy00,pass_yds,0,,,,,
player,201809230ram,ram,HigbTy00,pass_td,0,,,,,
player,201809230ram,ram,HigbTy00,pass_int,0,,,,,
player,201809230ram,ram,HigbTy00,pass_sacked,0,,,,,
player,201809230ram,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201809230ram,ram,HigbTy00,pass_long,0,,,,,
player,201809230ram,ram,HigbTy00,pass_rating,,,,,,
player,201809230ram,ram,HigbTy00,rush_att,0,,,,,
player,201809230ram,ram,HigbTy00,rush_yds,0,,,,,
player,201809230ram,ram,HigbTy00,rush_td,0,,,,,
player,201809230ram,ram,HigbTy00,rush_long,0,,,,,
player,201809230ram,ram,HigbTy00,targets,2,,,,,
player,201809230ram,ram,HigbTy00,rec,2,,,,,
player,201809230ram,ram,HigbTy00,rec_yds,35,,,,,
player,201809230ram,ram,HigbTy00,rec_td,0,,,,,
player,201809230ram,ram,HigbTy00,rec_long,20,,,,,
player,201809230ram,ram,HigbTy00,fumbles,0,,,,,
player,201809230ram,ram,HigbTy00,fumbles_lost,0,,,,,
player,201809230ram,ram,EverGe00,pass_cmp,0,,,,,
player,201809230ram,ram,EverGe00,pass_att,0,,,,,
player,201809230ram,ram,EverGe00,pass_yds,0,,,,,
player,201809230ram,ram,EverGe00,pass_td,0,,,,,
player,201809230ram,ram,EverGe00,pass_int,0,,,,,
player,201809230ram,ram,EverGe00,pass_sacked,0,,,,,
player,201809230ram,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201809230ram,ram,EverGe00,pass_long,0,,,,,
player,201809230ram,ram,EverGe00,pass_rating,,,,,,
player,201809230ram,ram,EverGe00,rush_att,0,,,,,
player,201809230ram,ram,EverGe00,rush_yds,0,,,,,
player,201809230ram,ram,EverGe00,rush_td,0,,,,,
player,201809230ram,ram,EverGe00,rush_long,0,,,,,
player,201809230ram,ram,EverGe00,targets,2,,,,,
player,201809230ram,ram,EverGe00,rec,1,,,,,
player,201809230ram,ram,EverGe00,rec_yds,3,,,,,
player,201809230ram,ram,EverGe00,rec_td,0,,,,,
player,201809230ram,ram,EverGe00,rec_long,3,,,,,
player,201809230ram,ram,EverGe00,fumbles,0,,,,,
player,201809230ram,ram,EverGe00,fumbles_lost,0,,,,,
player,201809230ram,ram,KuppCo00,pass_cmp,0,,,,,
player,201809230ram,ram,KuppCo00,pass_att,0,,,,,
player,201809230ram,ram,KuppCo00,pass_yds,0,,,,,
player,201809230ram,ram,KuppCo00,pass_td,0,,,,,
player,201809230ram,ram,KuppCo00,pass_int,0,,,,,
player,201809230ram,ram,KuppCo00,pass_sacked,0,,,,,
player,201809230ram,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201809230ram,ram,KuppCo00,pass_long,0,,,,,
player,201809230ram,ram,KuppCo00,pass_rating,,,,,,
player,201809230ram,ram,KuppCo00,rush_att,1,,,,,
player,201809230ram,ram,KuppCo00,rush_yds,-3,,,,,
player,201809230ram,ram,KuppCo00,rush_td,0,,,,,
player,201809230ram,ram,KuppCo00,rush_long,-3,,,,,
player,201809230ram,ram,KuppCo00,targets,5,,,,,
player,201809230ram,ram,KuppCo00,rec,4,,,,,
player,201809230ram,ram,KuppCo00,rec_yds,71,,,,,
player,201809230ram,ram,KuppCo00,rec_td,1,,,,,
player,201809230ram,ram,KuppCo00,rec_long,53,,,,,
player,201809230ram,ram,KuppCo00,fumbles,0,,,,,
player,201809230ram,ram,KuppCo00,fumbles_lost,0,,,,,
player,201809230ram,sdg,JameDe00,def_int,1,,,,,
player,201809230ram,sdg,JameDe00,def_int_yds,4,,,,,
player,201809230ram,sdg,JameDe00,def_int_td,0,,,,,
player,201809230ram,sdg,JameDe00,def_int_long,4,,,,,
player,201809230ram,sdg,JameDe00,pass_defended,1,,,,,
player,201809230ram,sdg,JameDe00,sacks,0.0,,,,,
player,201809230ram,sdg,JameDe00,tackles_combined,9,,,,,
player,201809230ram,sdg,JameDe00,tackles_solo,7,,,,,
player,201809230ram,sdg,JameDe00,tackles_assists,2,,,,,
player,201809230ram,sdg,JameDe00,tackles_loss,0,,,,,
player,201809230ram,sdg,JameDe00,qb_hits,0,,,,,
player,201809230ram,sdg,JameDe00,fumbles_rec,0,,,,,
player,201809230ram,sdg,JameDe00,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,JameDe00,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,JameDe00,fumbles_forced,0,,,,,
player,201809230ram,sdg,MebaBr99,def_int,0,,,,,
player,201809230ram,sdg,MebaBr99,def_int_yds,0,,,,,
player,201809230ram,sdg,MebaBr99,def_int_td,0,,,,,
player,201809230ram,sdg,MebaBr99,def_int_long,0,,,,,
player,201809230ram,sdg,MebaBr99,pass_defended,1,,,,,
player,201809230ram,sdg,MebaBr99,sacks,1.0,,,,,
player,201809230ram,sdg,MebaBr99,tackles_combined,6,,,,,
player,201809230ram,sdg,MebaBr99,tackles_solo,6,,,,,
player,201809230ram,sdg,MebaBr99,tackles_assists,0,,,,,
player,201809230ram,sdg,MebaBr99,tackles_loss,1,,,,,
player,201809230ram,sdg,MebaBr99,qb_hits,1,,,,,
player,201809230ram,sdg,MebaBr99,fumbles_rec,0,,,,,
player,201809230ram,sdg,MebaBr99,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,MebaBr99,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,MebaBr99,fumbles_forced,1,,,,,
player,201809230ram,sdg,PerrDe00,def_int,0,,,,,
player,201809230ram,sdg,PerrDe00,def_int_yds,0,,,,,
player,201809230ram,sdg,PerrDe00,def_int_td,0,,,,,
player,201809230ram,sdg,PerrDe00,def_int_long,0,,,,,
player,201809230ram,sdg,PerrDe00,pass_defended,0,,,,,
player,201809230ram,sdg,PerrDe00,sacks,0.0,,,,,
player,201809230ram,sdg,PerrDe00,tackles_combined,10,,,,,
player,201809230ram,sdg,PerrDe00,tackles_solo,6,,,,,
player,201809230ram,sdg,PerrDe00,tackles_assists,4,,,,,
player,201809230ram,sdg,PerrDe00,tackles_loss,0,,,,,
player,201809230ram,sdg,PerrDe00,qb_hits,0,,,,,
player,201809230ram,sdg,PerrDe00,fumbles_rec,0,,,,,
player,201809230ram,sdg,PerrDe00,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,PerrDe00,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,PerrDe00,fumbles_forced,0,,,,,
player,201809230ram,sdg,WhitKy00,def_int,0,,,,,
player,201809230ram,sdg,WhitKy00,def_int_yds,0,,,,,
player,201809230ram,sdg,WhitKy00,def_int_td,0,,,,,
player,201809230ram,sdg,WhitKy00,def_int_long,0,,,,,
player,201809230ram,sdg,WhitKy00,pass_defended,0,,,,,
player,201809230ram,sdg,WhitKy00,sacks,0.0,,,,,
player,201809230ram,sdg,WhitKy00,tackles_combined,7,,,,,
player,201809230ram,sdg,WhitKy00,tackles_solo,5,,,,,
player,201809230ram,sdg,WhitKy00,tackles_assists,2,,,,,
player,201809230ram,sdg,WhitKy00,tackles_loss,1,,,,,
player,201809230ram,sdg,WhitKy00,qb_hits,0,,,,,
player,201809230ram,sdg,WhitKy00,fumbles_rec,0,,,,,
player,201809230ram,sdg,WhitKy00,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,WhitKy00,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,WhitKy00,fumbles_forced,0,,,,,
player,201809230ram,sdg,AddaJa00,def_int,0,,,,,
player,201809230ram,sdg,AddaJa00,def_int_yds,0,,,,,
player,201809230ram,sdg,AddaJa00,def_int_td,0,,,,,
player,201809230ram,sdg,AddaJa00,def_int_long,0,,,,,
player,201809230ram,sdg,AddaJa00,pass_defended,0,,,,,
player,201809230ram,sdg,AddaJa00,sacks,0.0,,,,,
player,201809230ram,sdg,AddaJa00,tackles_combined,6,,,,,
player,201809230ram,sdg,AddaJa00,tackles_solo,4,,,,,
player,201809230ram,sdg,AddaJa00,tackles_assists,2,,,,,
player,201809230ram,sdg,AddaJa00,tackles_loss,0,,,,,
player,201809230ram,sdg,AddaJa00,qb_hits,0,,,,,
player,201809230ram,sdg,AddaJa00,fumbles_rec,0,,,,,
player,201809230ram,sdg,AddaJa00,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,AddaJa00,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,AddaJa00,fumbles_forced,0,,,,,
player,201809230ram,sdg,HaywCa00,def_int,0,,,,,
player,201809230ram,sdg,HaywCa00,def_int_yds,0,,,,,
player,201809230ram,sdg,HaywCa00,def_int_td,0,,,,,
player,201809230ram,sdg,HaywCa00,def_int_long,0,,,,,
player,201809230ram,sdg,HaywCa00,pass_defended,0,,,,,
player,201809230ram,sdg,HaywCa00,sacks,0.0,,,,,
player,201809230ram,sdg,HaywCa00,tackles_combined,5,,,,,
player,201809230ram,sdg,HaywCa00,tackles_solo,5,,,,,
player,201809230ram,sdg,HaywCa00,tackles_assists,0,,,,,
player,201809230ram,sdg,HaywCa00,tackles_loss,0,,,,,
player,201809230ram,sdg,HaywCa00,qb_hits,0,,,,,
player,201809230ram,sdg,HaywCa00,fumbles_rec,0,,,,,
player,201809230ram,sdg,HaywCa00,fumbles_rec_yds,0,,,,,
player,201809230ram,sdg,HaywCa00,fumbles_rec_td,0,,,,,
player,201809230ram,sdg,HaywCa00,fumbles_forced,0,,,,,
player,201809230ram,sdg,KingDe01,def_int,0,,,,,
player,201809230ram,sdg,KingDe01,def_int_yds,0,,,,,
player,201809230ram,sdg,KingDe01,def_int_td,0,,,,,
player,201809230ram,sdg,KingDe01,def_int_long,0,,,,,
player,201809230ram,sdg,KingDe01,pass_defended,0,,,,,
player,201809230ram,sdg,KingDe01,sacks,0.0,,,,,
player,201809230ram,sdg,KingDe01,tackles_combined,5,,,,,
player,201809230ram,sdg,KingDe01,tackles_solo,3,,,,,
player,201809230ram,sdg,KingDe01,tackles_assists,2,,,,,
player,201809230ram,sdg,KingDe01,tackles_loss,1,,,,,
player,201809230ram,sdg,KingDe01,qb_hits,0,,,,,
player,201809230ram,sdg,KingDe01,fumbles_rec,1,,,,,
