game,2018,15,20181215,201812150den,cle,"Cleveland Browns",17,den,"Denver Broncos",16
player,201812150den,cle,NjokDa00,pass_cmp,0,,,,,
player,201812150den,cle,NjokDa00,pass_att,0,,,,,
player,201812150den,cle,NjokDa00,pass_yds,0,,,,,
player,201812150den,cle,NjokDa00,pass_td,0,,,,,
player,201812150den,cle,NjokDa00,pass_int,0,,,,,
player,201812150den,cle,NjokDa00,pass_sacked,0,,,,,
player,201812150den,cle,NjokDa00,pass_sacked_yds,0,,,,,
player,201812150den,cle,NjokDa00,pass_long,0,,,,,
player,201812150den,cle,NjokDa00,pass_rating,,,,,,
player,201812150den,cle,NjokDa00,rush_att,0,,,,,
player,201812150den,cle,NjokDa00,rush_yds,0,,,,,
player,201812150den,cle,NjokDa00,rush_td,0,,,,,
player,201812150den,cle,NjokDa00,rush_long,0,,,,,
player,201812150den,cle,NjokDa00,targets,5,,,,,
player,201812150den,cle,NjokDa00,rec,3,,,,,
player,201812150den,cle,NjokDa00,rec_yds,30,,,,,
player,201812150den,cle,NjokDa00,rec_td,0,,,,,
player,201812150den,cle,NjokDa00,rec_long,20,,,,,
player,201812150den,cle,NjokDa00,fumbles,0,,,,,
player,201812150den,cle,NjokDa00,fumbles_lost,0,,,,,
player,201812150den,cle,HiggRa00,pass_cmp,0,,,,,
player,201812150den,cle,HiggRa00,pass_att,0,,,,,
player,201812150den,cle,HiggRa00,pass_yds,0,,,,,
player,201812150den,cle,HiggRa00,pass_td,0,,,,,
player,201812150den,cle,HiggRa00,pass_int,0,,,,,
player,201812150den,cle,HiggRa00,pass_sacked,0,,,,,
player,201812150den,cle,HiggRa00,pass_sacked_yds,0,,,,,
player,201812150den,cle,HiggRa00,pass_long,0,,,,,
player,201812150den,cle,HiggRa00,pass_rating,,,,,,
player,201812150den,cle,HiggRa00,rush_att,0,,,,,
player,201812150den,cle,HiggRa00,rush_yds,0,,,,,
player,201812150den,cle,HiggRa00,rush_td,0,,,,,
player,201812150den,cle,HiggRa00,rush_long,0,,,,,
player,201812150den,cle,HiggRa00,targets,3,,,,,
player,201812150den,cle,HiggRa00,rec,2,,,,,
player,201812150den,cle,HiggRa00,rec_yds,30,,,,,
player,201812150den,cle,HiggRa00,rec_td,0,,,,,
player,201812150den,cle,HiggRa00,rec_long,19,,,,,
player,201812150den,cle,HiggRa00,fumbles,0,,,,,
player,201812150den,cle,HiggRa00,fumbles_lost,0,,,,,
player,201812150den,den,KeenCa00,pass_cmp,31,,,,,
player,201812150den,den,KeenCa00,pass_att,48,,,,,
player,201812150den,den,KeenCa00,pass_yds,257,,,,,
player,201812150den,den,KeenCa00,pass_td,0,,,,,
player,201812150den,den,KeenCa00,pass_int,2,,,,,
player,201812150den,den,KeenCa00,pass_sacked,2,,,,,
player,201812150den,den,KeenCa00,pass_sacked_yds,19,,,,,
player,201812150den,den,KeenCa00,pass_long,24,,,,,
player,201812150den,den,KeenCa00,pass_rating,60.9,,,,,
player,201812150den,den,KeenCa00,rush_att,2,,,,,
player,201812150den,den,KeenCa00,rush_yds,1,,,,,
player,201812150den,den,KeenCa00,rush_td,1,,,,,
player,201812150den,den,KeenCa00,rush_long,1,,,,,
player,201812150den,den,KeenCa00,targets,0,,,,,
player,201812150den,den,KeenCa00,rec,0,,,,,
