game,2014,11,20141116,201411160ram,den,"Denver Broncos",7,ram,"St. Louis Rams",22
player,201411160ram,den,MannPe00,rec_yds,0,,,,,
player,201411160ram,den,MannPe00,rec_td,0,,,,,
player,201411160ram,den,MannPe00,rec_long,0,,,,,
player,201411160ram,den,MannPe00,fumbles,0,,,,,
player,201411160ram,den,MannPe00,fumbles_lost,0,,,,,
player,201411160ram,den,AndeC.00,pass_cmp,0,,,,,
player,201411160ram,den,AndeC.00,pass_att,0,,,,,
player,201411160ram,den,AndeC.00,pass_yds,0,,,,,
player,201411160ram,den,AndeC.00,pass_td,0,,,,,
player,201411160ram,den,AndeC.00,pass_int,0,,,,,
player,201411160ram,den,AndeC.00,pass_sacked,0,,,,,
player,201411160ram,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201411160ram,den,AndeC.00,pass_long,0,,,,,
player,201411160ram,den,AndeC.00,pass_rating,,,,,,
player,201411160ram,den,AndeC.00,rush_att,9,,,,,
player,201411160ram,den,AndeC.00,rush_yds,29,,,,,
player,201411160ram,den,AndeC.00,rush_td,0,,,,,
player,201411160ram,den,AndeC.00,rush_long,9,,,,,
player,201411160ram,den,AndeC.00,targets,10,,,,,
player,201411160ram,den,AndeC.00,rec,8,,,,,
player,201411160ram,den,AndeC.00,rec_yds,86,,,,,
player,201411160ram,den,AndeC.00,rec_td,0,,,,,
player,201411160ram,den,AndeC.00,rec_long,21,,,,,
player,201411160ram,den,AndeC.00,fumbles,0,,,,,
player,201411160ram,den,AndeC.00,fumbles_lost,0,,,,,
player,201411160ram,den,ThomDe03,pass_cmp,0,,,,,
player,201411160ram,den,ThomDe03,pass_att,0,,,,,
player,201411160ram,den,ThomDe03,pass_yds,0,,,,,
player,201411160ram,den,ThomDe03,pass_td,0,,,,,
player,201411160ram,den,ThomDe03,pass_int,0,,,,,
player,201411160ram,den,ThomDe03,pass_sacked,0,,,,,
player,201411160ram,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201411160ram,den,ThomDe03,pass_long,0,,,,,
player,201411160ram,den,ThomDe03,pass_rating,,,,,,
player,201411160ram,den,ThomDe03,rush_att,0,,,,,
player,201411160ram,den,ThomDe03,rush_yds,0,,,,,
player,201411160ram,den,ThomDe03,rush_td,0,,,,,
player,201411160ram,den,ThomDe03,rush_long,0,,,,,
player,201411160ram,den,ThomDe03,targets,10,,,,,
player,201411160ram,den,ThomDe03,rec,7,,,,,
player,201411160ram,den,ThomDe03,rec_yds,103,,,,,
player,201411160ram,den,ThomDe03,rec_td,0,,,,,
player,201411160ram,den,ThomDe03,rec_long,23,,,,,
player,201411160ram,den,ThomDe03,fumbles,0,,,,,
player,201411160ram,den,ThomDe03,fumbles_lost,0,,,,,
player,201411160ram,den,SandEm00,pass_cmp,0,,,,,
player,201411160ram,den,SandEm00,pass_att,0,,,,,
player,201411160ram,den,SandEm00,pass_yds,0,,,,,
player,201411160ram,den,SandEm00,pass_td,0,,,,,
player,201411160ram,den,SandEm00,pass_int,0,,,,,
player,201411160ram,den,SandEm00,pass_sacked,0,,,,,
player,201411160ram,den,SandEm00,pass_sacked_yds,0,,,,,
player,201411160ram,den,SandEm00,pass_long,0,,,,,
player,201411160ram,den,SandEm00,pass_rating,,,,,,
player,201411160ram,den,SandEm00,rush_att,0,,,,,
player,201411160ram,den,SandEm00,rush_yds,0,,,,,
player,201411160ram,den,SandEm00,rush_td,0,,,,,
player,201411160ram,den,SandEm00,rush_long,0,,,,,
player,201411160ram,den,SandEm00,targets,8,,,,,
player,201411160ram,den,SandEm00,rec,5,,,,,
player,201411160ram,den,SandEm00,rec_yds,102,,,,,
player,201411160ram,den,SandEm00,rec_td,1,,,,,
player,201411160ram,den,SandEm00,rec_long,42,,,,,
player,201411160ram,den,SandEm00,fumbles,0,,,,,
player,201411160ram,den,SandEm00,fumbles_lost,0,,,,,
player,201411160ram,den,TammJa00,pass_cmp,0,,,,,
player,201411160ram,den,TammJa00,pass_att,0,,,,,
player,201411160ram,den,TammJa00,pass_yds,0,,,,,
player,201411160ram,den,TammJa00,pass_td,0,,,,,
player,201411160ram,den,TammJa00,pass_int,0,,,,,
player,201411160ram,den,TammJa00,pass_sacked,0,,,,,
player,201411160ram,den,TammJa00,pass_sacked_yds,0,,,,,
player,201411160ram,den,TammJa00,pass_long,0,,,,,
player,201411160ram,den,TammJa00,pass_rating,,,,,,
player,201411160ram,den,TammJa00,rush_att,0,,,,,
player,201411160ram,den,TammJa00,rush_yds,0,,,,,
player,201411160ram,den,TammJa00,rush_td,0,,,,,
player,201411160ram,den,TammJa00,rush_long,0,,,,,
player,201411160ram,den,TammJa00,targets,10,,,,,
player,201411160ram,den,TammJa00,rec,4,,,,,
player,201411160ram,den,TammJa00,rec_yds,31,,,,,
player,201411160ram,den,TammJa00,rec_td,0,,,,,
player,201411160ram,den,TammJa00,rec_long,10,,,,,
player,201411160ram,den,TammJa00,fumbles,0,,,,,
player,201411160ram,den,TammJa00,fumbles_lost,0,,,,,
player,201411160ram,den,CaldAn00,pass_cmp,0,,,,,
player,201411160ram,den,CaldAn00,pass_att,0,,,,,
player,201411160ram,den,CaldAn00,pass_yds,0,,,,,
player,201411160ram,den,CaldAn00,pass_td,0,,,,,
player,201411160ram,den,CaldAn00,pass_int,0,,,,,
player,201411160ram,den,CaldAn00,pass_sacked,0,,,,,
player,201411160ram,den,CaldAn00,pass_sacked_yds,0,,,,,
player,201411160ram,den,CaldAn00,pass_long,0,,,,,
player,201411160ram,den,CaldAn00,pass_rating,,,,,,
player,201411160ram,den,CaldAn00,rush_att,0,,,,,
player,201411160ram,den,CaldAn00,rush_yds,0,,,,,
player,201411160ram,den,CaldAn00,rush_td,0,,,,,
player,201411160ram,den,CaldAn00,rush_long,0,,,,,
player,201411160ram,den,CaldAn00,targets,4,,,,,
player,201411160ram,den,CaldAn00,rec,3,,,,,
player,201411160ram,den,CaldAn00,rec_yds,31,,,,,
player,201411160ram,den,CaldAn00,rec_td,0,,,,,
player,201411160ram,den,CaldAn00,rec_long,15,,,,,
player,201411160ram,den,CaldAn00,fumbles,0,,,,,
player,201411160ram,den,CaldAn00,fumbles_lost,0,,,,,
player,201411160ram,den,WelkWe00,pass_cmp,0,,,,,
player,201411160ram,den,WelkWe00,pass_att,0,,,,,
player,201411160ram,den,WelkWe00,pass_yds,0,,,,,
player,201411160ram,den,WelkWe00,pass_td,0,,,,,
player,201411160ram,den,WelkWe00,pass_int,0,,,,,
player,201411160ram,den,WelkWe00,pass_sacked,0,,,,,
player,201411160ram,den,WelkWe00,pass_sacked_yds,0,,,,,
player,201411160ram,den,WelkWe00,pass_long,0,,,,,
player,201411160ram,den,WelkWe00,pass_rating,,,,,,
player,201411160ram,den,WelkWe00,rush_att,0,,,,,
player,201411160ram,den,WelkWe00,rush_yds,0,,,,,
player,201411160ram,den,WelkWe00,rush_td,0,,,,,
player,201411160ram,den,WelkWe00,rush_long,0,,,,,
player,201411160ram,den,WelkWe00,targets,6,,,,,
player,201411160ram,den,WelkWe00,rec,4,,,,,
player,201411160ram,den,WelkWe00,rec_yds,28,,,,,
player,201411160ram,den,WelkWe00,rec_td,0,,,,,
player,201411160ram,den,WelkWe00,rec_long,13,,,,,
player,201411160ram,den,WelkWe00,fumbles,0,,,,,
player,201411160ram,den,WelkWe00,fumbles_lost,0,,,,,
player,201411160ram,den,ThomJu01,pass_cmp,0,,,,,
player,201411160ram,den,ThomJu01,pass_att,0,,,,,
player,201411160ram,den,ThomJu01,pass_yds,0,,,,,
player,201411160ram,den,ThomJu01,pass_td,0,,,,,
player,201411160ram,den,ThomJu01,pass_int,0,,,,,
player,201411160ram,den,ThomJu01,pass_sacked,0,,,,,
player,201411160ram,den,ThomJu01,pass_sacked_yds,0,,,,,
player,201411160ram,den,ThomJu01,pass_long,0,,,,,
player,201411160ram,den,ThomJu01,pass_rating,,,,,,
player,201411160ram,den,ThomJu01,rush_att,0,,,,,
player,201411160ram,den,ThomJu01,rush_yds,0,,,,,
player,201411160ram,den,ThomJu01,rush_td,0,,,,,
player,201411160ram,den,ThomJu01,rush_long,0,,,,,
player,201411160ram,den,ThomJu01,targets,1,,,,,
player,201411160ram,den,ThomJu01,rec,1,,,,,
player,201411160ram,den,ThomJu01,rec_yds,5,,,,,
player,201411160ram,den,ThomJu01,rec_td,0,,,,,
player,201411160ram,den,ThomJu01,rec_long,5,,,,,
player,201411160ram,den,ThomJu01,fumbles,0,,,,,
player,201411160ram,den,ThomJu01,fumbles_lost,0,,,,,
player,201411160ram,den,ThomJu00,pass_cmp,0,,,,,
player,201411160ram,den,ThomJu00,pass_att,0,,,,,
player,201411160ram,den,ThomJu00,pass_yds,0,,,,,
player,201411160ram,den,ThomJu00,pass_td,0,,,,,
player,201411160ram,den,ThomJu00,pass_int,0,,,,,
player,201411160ram,den,ThomJu00,pass_sacked,0,,,,,
player,201411160ram,den,ThomJu00,pass_sacked_yds,0,,,,,
player,201411160ram,den,ThomJu00,pass_long,0,,,,,
player,201411160ram,den,ThomJu00,pass_rating,,,,,,
player,201411160ram,den,ThomJu00,rush_att,0,,,,,
player,201411160ram,den,ThomJu00,rush_yds,0,,,,,
player,201411160ram,den,ThomJu00,rush_td,0,,,,,
player,201411160ram,den,ThomJu00,rush_long,0,,,,,
player,201411160ram,den,ThomJu00,targets,3,,,,,
player,201411160ram,den,ThomJu00,rec,2,,,,,
player,201411160ram,den,ThomJu00,rec_yds,3,,,,,
player,201411160ram,den,ThomJu00,rec_td,0,,,,,
player,201411160ram,den,ThomJu00,rec_long,2,,,,,
player,201411160ram,den,ThomJu00,fumbles,0,,,,,
player,201411160ram,den,ThomJu00,fumbles_lost,0,,,,,
player,201411160ram,den,BallMo00,pass_cmp,0,,,,,
player,201411160ram,den,BallMo00,pass_att,0,,,,,
player,201411160ram,den,BallMo00,pass_yds,0,,,,,
player,201411160ram,den,BallMo00,pass_td,0,,,,,
player,201411160ram,den,BallMo00,pass_int,0,,,,,
player,201411160ram,den,BallMo00,pass_sacked,0,,,,,
player,201411160ram,den,BallMo00,pass_sacked_yds,0,,,,,
player,201411160ram,den,BallMo00,pass_long,0,,,,,
player,201411160ram,den,BallMo00,pass_rating,,,,,,
player,201411160ram,den,BallMo00,rush_att,0,,,,,
player,201411160ram,den,BallMo00,rush_yds,0,,,,,
player,201411160ram,den,BallMo00,rush_td,0,,,,,
player,201411160ram,den,BallMo00,rush_long,0,,,,,
player,201411160ram,den,BallMo00,targets,2,,,,,
player,201411160ram,den,BallMo00,rec,0,,,,,
player,201411160ram,den,BallMo00,rec_yds,0,,,,,
player,201411160ram,den,BallMo00,rec_td,0,,,,,
player,201411160ram,den,BallMo00,rec_long,0,,,,,
player,201411160ram,den,BallMo00,fumbles,0,,,,,
player,201411160ram,den,BallMo00,fumbles_lost,0,,,,,
player,201411160ram,ram,HillSh00,pass_cmp,20,,,,,
player,201411160ram,ram,HillSh00,pass_att,29,,,,,
player,201411160ram,ram,HillSh00,pass_yds,220,,,,,
player,201411160ram,ram,HillSh00,pass_td,1,,,,,
player,201411160ram,ram,HillSh00,pass_int,0,,,,,
player,201411160ram,ram,HillSh00,pass_sacked,3,,,,,
player,201411160ram,ram,HillSh00,pass_sacked_yds,14,,,,,
player,201411160ram,ram,HillSh00,pass_long,63,,,,,
player,201411160ram,ram,HillSh00,pass_rating,102.7,,,,,
player,201411160ram,ram,HillSh00,rush_att,0,,,,,
player,201411160ram,ram,HillSh00,rush_yds,0,,,,,
player,201411160ram,ram,HillSh00,rush_td,0,,,,,
player,201411160ram,ram,HillSh00,rush_long,0,,,,,
player,201411160ram,ram,HillSh00,targets,1,,,,,
player,201411160ram,ram,HillSh00,rec,1,,,,,
player,201411160ram,ram,HillSh00,rec_yds,0,,,,,
player,201411160ram,ram,HillSh00,rec_td,0,,,,,
player,201411160ram,ram,HillSh00,rec_long,0,,,,,
player,201411160ram,ram,HillSh00,fumbles,1,,,,,
player,201411160ram,ram,HillSh00,fumbles_lost,0,,,,,
player,201411160ram,ram,MasoTr00,pass_cmp,0,,,,,
player,201411160ram,ram,MasoTr00,pass_att,0,,,,,
player,201411160ram,ram,MasoTr00,pass_yds,0,,,,,
player,201411160ram,ram,MasoTr00,pass_td,0,,,,,
player,201411160ram,ram,MasoTr00,pass_int,0,,,,,
player,201411160ram,ram,MasoTr00,pass_sacked,0,,,,,
player,201411160ram,ram,MasoTr00,pass_sacked_yds,0,,,,,
player,201411160ram,ram,MasoTr00,pass_long,0,,,,,
player,201411160ram,ram,MasoTr00,pass_rating,,,,,,
player,201411160ram,ram,MasoTr00,rush_att,29,,,,,
player,201411160ram,ram,MasoTr00,rush_yds,113,,,,,
player,201411160ram,ram,MasoTr00,rush_td,0,,,,,
player,201411160ram,ram,MasoTr00,rush_long,27,,,,,
player,201411160ram,ram,MasoTr00,targets,2,,,,,
player,201411160ram,ram,MasoTr00,rec,1,,,,,
player,201411160ram,ram,MasoTr00,rec_yds,1,,,,,
player,201411160ram,ram,MasoTr00,rec_td,0,,,,,
player,201411160ram,ram,MasoTr00,rec_long,1,,,,,
player,201411160ram,ram,MasoTr00,fumbles,0,,,,,
player,201411160ram,ram,MasoTr00,fumbles_lost,0,,,,,
player,201411160ram,ram,AustTa00,pass_cmp,0,,,,,
player,201411160ram,ram,AustTa00,pass_att,0,,,,,
player,201411160ram,ram,AustTa00,pass_yds,0,,,,,
player,201411160ram,ram,AustTa00,pass_td,0,,,,,
player,201411160ram,ram,AustTa00,pass_int,0,,,,,
player,201411160ram,ram,AustTa00,pass_sacked,0,,,,,
player,201411160ram,ram,AustTa00,pass_sacked_yds,0,,,,,
player,201411160ram,ram,AustTa00,pass_long,0,,,,,
player,201411160ram,ram,AustTa00,pass_rating,,,,,,
player,201411160ram,ram,AustTa00,rush_att,2,,,,,
player,201411160ram,ram,AustTa00,rush_yds,11,,,,,
player,201411160ram,ram,AustTa00,rush_td,0,,,,,
player,201411160ram,ram,AustTa00,rush_long,9,,,,,
player,201411160ram,ram,AustTa00,targets,4,,,,,
player,201411160ram,ram,AustTa00,rec,2,,,,,
player,201411160ram,ram,AustTa00,rec_yds,10,,,,,
player,201411160ram,ram,AustTa00,rec_td,0,,,,,
player,201411160ram,ram,AustTa00,rec_long,5,,,,,
player,201411160ram,ram,AustTa00,fumbles,0,,,,,
player,201411160ram,ram,AustTa00,fumbles_lost,0,,,,,
player,201411160ram,ram,CunnBe01,pass_cmp,0,,,,,
player,201411160ram,ram,CunnBe01,pass_att,0,,,,,
player,201411160ram,ram,CunnBe01,pass_yds,0,,,,,
player,201411160ram,ram,CunnBe01,pass_td,0,,,,,
player,201411160ram,ram,CunnBe01,pass_int,0,,,,,
player,201411160ram,ram,CunnBe01,pass_sacked,0,,,,,
player,201411160ram,ram,CunnBe01,pass_sacked_yds,0,,,,,
player,201411160ram,ram,CunnBe01,pass_long,0,,,,,
player,201411160ram,ram,CunnBe01,pass_rating,,,,,,
player,201411160ram,ram,CunnBe01,rush_att,2,,,,,
player,201411160ram,ram,CunnBe01,rush_yds,7,,,,,
player,201411160ram,ram,CunnBe01,rush_td,0,,,,,
player,201411160ram,ram,CunnBe01,rush_long,6,,,,,
player,201411160ram,ram,CunnBe01,targets,4,,,,,
player,201411160ram,ram,CunnBe01,rec,4,,,,,
player,201411160ram,ram,CunnBe01,rec_yds,31,,,,,
player,201411160ram,ram,CunnBe01,rec_td,0,,,,,
player,201411160ram,ram,CunnBe01,rec_long,12,,,,,
player,201411160ram,ram,CunnBe01,fumbles,0,,,,,
player,201411160ram,ram,CunnBe01,fumbles_lost,0,,,,,
player,201411160ram,ram,BritKe00,pass_cmp,0,,,,,
player,201411160ram,ram,BritKe00,pass_att,0,,,,,
player,201411160ram,ram,BritKe00,pass_yds,0,,,,,
player,201411160ram,ram,BritKe00,pass_td,0,,,,,
player,201411160ram,ram,BritKe00,pass_int,0,,,,,
player,201411160ram,ram,BritKe00,pass_sacked,0,,,,,
player,201411160ram,ram,BritKe00,pass_sacked_yds,0,,,,,
player,201411160ram,ram,BritKe00,pass_long,0,,,,,
player,201411160ram,ram,BritKe00,pass_rating,,,,,,
player,201411160ram,ram,BritKe00,rush_att,0,,,,,
player,201411160ram,ram,BritKe00,rush_yds,0,,,,,
player,201411160ram,ram,BritKe00,rush_td,0,,,,,
player,201411160ram,ram,BritKe00,rush_long,0,,,,,
player,201411160ram,ram,BritKe00,targets,7,,,,,
player,201411160ram,ram,BritKe00,rec,4,,,,,
player,201411160ram,ram,BritKe00,rec_yds,128,,,,,
player,201411160ram,ram,BritKe00,rec_td,1,,,,,
player,201411160ram,ram,BritKe00,rec_long,63,,,,,
player,201411160ram,ram,BritKe00,fumbles,0,,,,,
player,201411160ram,ram,BritKe00,fumbles_lost,0,,,,,
player,201411160ram,ram,BailSt01,pass_cmp,0,,,,,
player,201411160ram,ram,BailSt01,pass_att,0,,,,,
player,201411160ram,ram,BailSt01,pass_yds,0,,,,,
player,201411160ram,ram,BailSt01,pass_td,0,,,,,
player,201411160ram,ram,BailSt01,pass_int,0,,,,,
player,201411160ram,ram,BailSt01,pass_sacked,0,,,,,
player,201411160ram,ram,BailSt01,pass_sacked_yds,0,,,,,
player,201411160ram,ram,BailSt01,pass_long,0,,,,,
player,201411160ram,ram,BailSt01,pass_rating,,,,,,
player,201411160ram,ram,BailSt01,rush_att,0,,,,,
player,201411160ram,ram,BailSt01,rush_yds,0,,,,,
player,201411160ram,ram,BailSt01,rush_td,0,,,,,
player,201411160ram,ram,BailSt01,rush_long,0,,,,,
player,201411160ram,ram,BailSt01,targets,3,,,,,
player,201411160ram,ram,BailSt01,rec,3,,,,,
player,201411160ram,ram,BailSt01,rec_yds,26,,,,,
player,201411160ram,ram,BailSt01,rec_td,0,,,,,
player,201411160ram,ram,BailSt01,rec_long,10,,,,,
player,201411160ram,ram,BailSt01,fumbles,0,,,,,
player,201411160ram,ram,BailSt01,fumbles_lost,0,,,,,
player,201411160ram,ram,CookJa02,pass_cmp,0,,,,,
player,201411160ram,ram,CookJa02,pass_att,0,,,,,
player,201411160ram,ram,CookJa02,pass_yds,0,,,,,
player,201411160ram,ram,CookJa02,pass_td,0,,,,,
player,201411160ram,ram,CookJa02,pass_int,0,,,,,
player,201411160ram,ram,CookJa02,pass_sacked,0,,,,,
player,201411160ram,ram,CookJa02,pass_sacked_yds,0,,,,,
player,201411160ram,ram,CookJa02,pass_long,0,,,,,
player,201411160ram,ram,CookJa02,pass_rating,,,,,,
player,201411160ram,ram,CookJa02,rush_att,0,,,,,
player,201411160ram,ram,CookJa02,rush_yds,0,,,,,
player,201411160ram,ram,CookJa02,rush_td,0,,,,,
player,201411160ram,ram,CookJa02,rush_long,0,,,,,
player,201411160ram,ram,CookJa02,targets,5,,,,,
player,201411160ram,ram,CookJa02,rec,3,,,,,
player,201411160ram,ram,CookJa02,rec_yds,19,,,,,
player,201411160ram,ram,CookJa02,rec_td,0,,,,,
player,201411160ram,ram,CookJa02,rec_long,9,,,,,
player,201411160ram,ram,CookJa02,fumbles,0,,,,,
player,201411160ram,ram,CookJa02,fumbles_lost,0,,,,,
player,201411160ram,ram,KendLa00,pass_cmp,0,,,,,
player,201411160ram,ram,KendLa00,pass_att,0,,,,,
player,201411160ram,ram,KendLa00,pass_yds,0,,,,,
player,201411160ram,ram,KendLa00,pass_td,0,,,,,
player,201411160ram,ram,KendLa00,pass_int,0,,,,,
player,201411160ram,ram,KendLa00,pass_sacked,0,,,,,
player,201411160ram,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201411160ram,ram,KendLa00,pass_long,0,,,,,
player,201411160ram,ram,KendLa00,pass_rating,,,,,,
player,201411160ram,ram,KendLa00,rush_att,0,,,,,
player,201411160ram,ram,KendLa00,rush_yds,0,,,,,
player,201411160ram,ram,KendLa00,rush_td,0,,,,,
player,201411160ram,ram,KendLa00,rush_long,0,,,,,
player,201411160ram,ram,KendLa00,targets,3,,,,,
player,201411160ram,ram,KendLa00,rec,2,,,,,
player,201411160ram,ram,KendLa00,rec_yds,5,,,,,
player,201411160ram,ram,KendLa00,rec_td,0,,,,,
player,201411160ram,ram,KendLa00,rec_long,8,,,,,
player,201411160ram,ram,KendLa00,fumbles,0,,,,,
player,201411160ram,ram,KendLa00,fumbles_lost,0,,,,,
player,201411160ram,den,WareDe99,def_int,0,,,,,
player,201411160ram,den,WareDe99,def_int_yds,0,,,,,
player,201411160ram,den,WareDe99,def_int_td,0,,,,,
player,201411160ram,den,WareDe99,def_int_long,0,,,,,
player,201411160ram,den,WareDe99,pass_defended,0,,,,,
player,201411160ram,den,WareDe99,sacks,1.0,,,,,
player,201411160ram,den,WareDe99,tackles_combined,7,,,,,
player,201411160ram,den,WareDe99,tackles_solo,6,,,,,
player,201411160ram,den,WareDe99,tackles_assists,1,,,,,
player,201411160ram,den,WareDe99,tackles_loss,3,,,,,
player,201411160ram,den,WareDe99,qb_hits,2,,,,,
player,201411160ram,den,WareDe99,fumbles_rec,0,,,,,
player,201411160ram,den,WareDe99,fumbles_rec_yds,0,,,,,
player,201411160ram,den,WareDe99,fumbles_rec_td,0,,,,,
player,201411160ram,den,WareDe99,fumbles_forced,1,,,,,
player,201411160ram,den,MillVo00,def_int,0,,,,,
player,201411160ram,den,MillVo00,def_int_yds,0,,,,,
player,201411160ram,den,MillVo00,def_int_td,0,,,,,
player,201411160ram,den,MillVo00,def_int_long,0,,,,,
player,201411160ram,den,MillVo00,pass_defended,0,,,,,
player,201411160ram,den,MillVo00,sacks,1.0,,,,,
player,201411160ram,den,MillVo00,tackles_combined,5,,,,,
player,201411160ram,den,MillVo00,tackles_solo,5,,,,,
player,201411160ram,den,MillVo00,tackles_assists,0,,,,,
player,201411160ram,den,MillVo00,tackles_loss,1,,,,,
player,201411160ram,den,MillVo00,qb_hits,1,,,,,
player,201411160ram,den,MillVo00,fumbles_rec,0,,,,,
player,201411160ram,den,MillVo00,fumbles_rec_yds,0,,,,,
player,201411160ram,den,MillVo00,fumbles_rec_td,0,,,,,
player,201411160ram,den,MillVo00,fumbles_forced,0,,,,,
player,201411160ram,den,WolfDe00,def_int,0,,,,,
player,201411160ram,den,WolfDe00,def_int_yds,0,,,,,
player,201411160ram,den,WolfDe00,def_int_td,0,,,,,
player,201411160ram,den,WolfDe00,def_int_long,0,,,,,
player,201411160ram,den,WolfDe00,pass_defended,0,,,,,
player,201411160ram,den,WolfDe00,sacks,1.0,,,,,
player,201411160ram,den,WolfDe00,tackles_combined,2,,,,,
player,201411160ram,den,WolfDe00,tackles_solo,2,,,,,
player,201411160ram,den,WolfDe00,tackles_assists,0,,,,,
player,201411160ram,den,WolfDe00,tackles_loss,0,,,,,
player,201411160ram,den,WolfDe00,qb_hits,1,,,,,
player,201411160ram,den,WolfDe00,fumbles_rec,0,,,,,
player,201411160ram,den,WolfDe00,fumbles_rec_yds,0,,,,,
player,201411160ram,den,WolfDe00,fumbles_rec_td,0,,,,,
player,201411160ram,den,WolfDe00,fumbles_forced,0,,,,,
player,201411160ram,den,MarsBr01,def_int,0,,,,,
player,201411160ram,den,MarsBr01,def_int_yds,0,,,,,
player,201411160ram,den,MarsBr01,def_int_td,0,,,,,
player,201411160ram,den,MarsBr01,def_int_long,0,,,,,
player,201411160ram,den,MarsBr01,pass_defended,0,,,,,
player,201411160ram,den,MarsBr01,sacks,0.0,,,,,
player,201411160ram,den,MarsBr01,tackles_combined,15,,,,,
player,201411160ram,den,MarsBr01,tackles_solo,13,,,,,
player,201411160ram,den,MarsBr01,tackles_assists,2,,,,,
player,201411160ram,den,MarsBr01,tackles_loss,0,,,,,
player,201411160ram,den,MarsBr01,qb_hits,0,,,,,
player,201411160ram,den,MarsBr01,fumbles_rec,0,,,,,
player,201411160ram,den,MarsBr01,fumbles_rec_yds,0,,,,,
player,201411160ram,den,MarsBr01,fumbles_rec_td,0,,,,,
player,201411160ram,den,MarsBr01,fumbles_forced,0,,,,,
player,201411160ram,den,JohnSt02,def_int,0,,,,,
player,201411160ram,den,JohnSt02,def_int_yds,0,,,,,
player,201411160ram,den,JohnSt02,def_int_td,0,,,,,
player,201411160ram,den,JohnSt02,def_int_long,0,,,,,
player,201411160ram,den,JohnSt02,pass_defended,0,,,,,
player,201411160ram,den,JohnSt02,sacks,0.0,,,,,
player,201411160ram,den,JohnSt02,tackles_combined,6,,,,,
player,201411160ram,den,JohnSt02,tackles_solo,3,,,,,
player,201411160ram,den,JohnSt02,tackles_assists,3,,,,,
player,201411160ram,den,JohnSt02,tackles_loss,0,,,,,
player,201411160ram,den,JohnSt02,qb_hits,0,,,,,
player,201411160ram,den,JohnSt02,fumbles_rec,0,,,,,
player,201411160ram,den,JohnSt02,fumbles_rec_yds,0,,,,,
player,201411160ram,den,JohnSt02,fumbles_rec_td,0,,,,,
player,201411160ram,den,JohnSt02,fumbles_forced,0,,,,,
player,201411160ram,den,AustMa00,def_int,0,,,,,
player,201411160ram,den,AustMa00,def_int_yds,0,,,,,
player,201411160ram,den,AustMa00,def_int_td,0,,,,,
player,201411160ram,den,AustMa00,def_int_long,0,,,,,
player,201411160ram,den,AustMa00,pass_defended,0,,,,,
player,201411160ram,den,AustMa00,sacks,0.0,,,,,
player,201411160ram,den,AustMa00,tackles_combined,5,,,,,
player,201411160ram,den,AustMa00,tackles_solo,5,,,,,
player,201411160ram,den,AustMa00,tackles_assists,0,,,,,
