game,2014,14,20141207,201412070rai,sfo,"San Francisco 49ers",13,rai,"Oakland Raiders",24
player,201412070rai,sfo,DaviVe00,pass_yds,0,,,,,
player,201412070rai,sfo,DaviVe00,pass_td,0,,,,,
player,201412070rai,sfo,DaviVe00,pass_int,0,,,,,
player,201412070rai,sfo,DaviVe00,pass_sacked,0,,,,,
player,201412070rai,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201412070rai,sfo,DaviVe00,pass_long,0,,,,,
player,201412070rai,sfo,DaviVe00,pass_rating,,,,,,
player,201412070rai,sfo,DaviVe00,rush_att,0,,,,,
player,201412070rai,sfo,DaviVe00,rush_yds,0,,,,,
player,201412070rai,sfo,DaviVe00,rush_td,0,,,,,
player,201412070rai,sfo,DaviVe00,rush_long,0,,,,,
player,201412070rai,sfo,DaviVe00,targets,4,,,,,
player,201412070rai,sfo,DaviVe00,rec,2,,,,,
player,201412070rai,sfo,DaviVe00,rec_yds,26,,,,,
player,201412070rai,sfo,DaviVe00,rec_td,0,,,,,
player,201412070rai,sfo,DaviVe00,rec_long,23,,,,,
player,201412070rai,sfo,DaviVe00,fumbles,0,,,,,
player,201412070rai,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201412070rai,sfo,CeleGa00,pass_cmp,0,,,,,
player,201412070rai,sfo,CeleGa00,pass_att,0,,,,,
player,201412070rai,sfo,CeleGa00,pass_yds,0,,,,,
player,201412070rai,sfo,CeleGa00,pass_td,0,,,,,
player,201412070rai,sfo,CeleGa00,pass_int,0,,,,,
player,201412070rai,sfo,CeleGa00,pass_sacked,0,,,,,
player,201412070rai,sfo,CeleGa00,pass_sacked_yds,0,,,,,
player,201412070rai,sfo,CeleGa00,pass_long,0,,,,,
player,201412070rai,sfo,CeleGa00,pass_rating,,,,,,
player,201412070rai,sfo,CeleGa00,rush_att,0,,,,,
player,201412070rai,sfo,CeleGa00,rush_yds,0,,,,,
player,201412070rai,sfo,CeleGa00,rush_td,0,,,,,
player,201412070rai,sfo,CeleGa00,rush_long,0,,,,,
player,201412070rai,sfo,CeleGa00,targets,1,,,,,
player,201412070rai,sfo,CeleGa00,rec,1,,,,,
player,201412070rai,sfo,CeleGa00,rec_yds,22,,,,,
player,201412070rai,sfo,CeleGa00,rec_td,0,,,,,
player,201412070rai,sfo,CeleGa00,rec_long,22,,,,,
player,201412070rai,sfo,CeleGa00,fumbles,0,,,,,
player,201412070rai,sfo,CeleGa00,fumbles_lost,0,,,,,
player,201412070rai,sfo,MillBr02,pass_cmp,0,,,,,
player,201412070rai,sfo,MillBr02,pass_att,0,,,,,
player,201412070rai,sfo,MillBr02,pass_yds,0,,,,,
