game,2014,12,20141123,201411230sdg,ram,"St. Louis Rams",24,sdg,"San Diego Chargers",27
player,201411230sdg,sdg,FloyMa00,pass_long,0,,,,,
player,201411230sdg,sdg,FloyMa00,pass_rating,,,,,,
player,201411230sdg,sdg,FloyMa00,rush_att,0,,,,,
player,201411230sdg,sdg,FloyMa00,rush_yds,0,,,,,
player,201411230sdg,sdg,FloyMa00,rush_td,0,,,,,
player,201411230sdg,sdg,FloyMa00,rush_long,0,,,,,
player,201411230sdg,sdg,FloyMa00,targets,5,,,,,
player,201411230sdg,sdg,FloyMa00,rec,4,,,,,
player,201411230sdg,sdg,FloyMa00,rec_yds,30,,,,,
player,201411230sdg,sdg,FloyMa00,rec_td,0,,,,,
player,201411230sdg,sdg,FloyMa00,rec_long,14,,,,,
player,201411230sdg,sdg,FloyMa00,fumbles,0,,,,,
player,201411230sdg,sdg,FloyMa00,fumbles_lost,0,,,,,
player,201411230sdg,sdg,GateAn00,pass_cmp,0,,,,,
player,201411230sdg,sdg,GateAn00,pass_att,0,,,,,
player,201411230sdg,sdg,GateAn00,pass_yds,0,,,,,
player,201411230sdg,sdg,GateAn00,pass_td,0,,,,,
player,201411230sdg,sdg,GateAn00,pass_int,0,,,,,
player,201411230sdg,sdg,GateAn00,pass_sacked,0,,,,,
player,201411230sdg,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201411230sdg,sdg,GateAn00,pass_long,0,,,,,
player,201411230sdg,sdg,GateAn00,pass_rating,,,,,,
player,201411230sdg,sdg,GateAn00,rush_att,0,,,,,
player,201411230sdg,sdg,GateAn00,rush_yds,0,,,,,
player,201411230sdg,sdg,GateAn00,rush_td,0,,,,,
player,201411230sdg,sdg,GateAn00,rush_long,0,,,,,
player,201411230sdg,sdg,GateAn00,targets,2,,,,,
player,201411230sdg,sdg,GateAn00,rec,2,,,,,
player,201411230sdg,sdg,GateAn00,rec_yds,14,,,,,
player,201411230sdg,sdg,GateAn00,rec_td,0,,,,,
player,201411230sdg,sdg,GateAn00,rec_long,10,,,,,
player,201411230sdg,sdg,GateAn00,fumbles,0,,,,,
player,201411230sdg,sdg,GateAn00,fumbles_lost,0,,,,,
player,201411230sdg,sdg,AjirSe00,pass_cmp,0,,,,,
player,201411230sdg,sdg,AjirSe00,pass_att,0,,,,,
player,201411230sdg,sdg,AjirSe00,pass_yds,0,,,,,
player,201411230sdg,sdg,AjirSe00,pass_td,0,,,,,
player,201411230sdg,sdg,AjirSe00,pass_int,0,,,,,
player,201411230sdg,sdg,AjirSe00,pass_sacked,0,,,,,
player,201411230sdg,sdg,AjirSe00,pass_sacked_yds,0,,,,,
player,201411230sdg,sdg,AjirSe00,pass_long,0,,,,,
player,201411230sdg,sdg,AjirSe00,pass_rating,,,,,,
player,201411230sdg,sdg,AjirSe00,rush_att,0,,,,,
player,201411230sdg,sdg,AjirSe00,rush_yds,0,,,,,
player,201411230sdg,sdg,AjirSe00,rush_td,0,,,,,
player,201411230sdg,sdg,AjirSe00,rush_long,0,,,,,
player,201411230sdg,sdg,AjirSe00,targets,1,,,,,
player,201411230sdg,sdg,AjirSe00,rec,1,,,,,
player,201411230sdg,sdg,AjirSe00,rec_yds,8,,,,,
player,201411230sdg,sdg,AjirSe00,rec_td,0,,,,,
player,201411230sdg,sdg,AjirSe00,rec_long,8,,,,,
player,201411230sdg,sdg,AjirSe00,fumbles,0,,,,,
player,201411230sdg,sdg,AjirSe00,fumbles_lost,0,,,,,
player,201411230sdg,ram,JenkJa03,def_int,1,,,,,
player,201411230sdg,ram,JenkJa03,def_int_yds,99,,,,,
player,201411230sdg,ram,JenkJa03,def_int_td,1,,,,,
player,201411230sdg,ram,JenkJa03,def_int_long,99,,,,,
player,201411230sdg,ram,JenkJa03,pass_defended,1,,,,,
player,201411230sdg,ram,JenkJa03,sacks,0.0,,,,,
player,201411230sdg,ram,JenkJa03,tackles_combined,4,,,,,
player,201411230sdg,ram,JenkJa03,tackles_solo,3,,,,,
player,201411230sdg,ram,JenkJa03,tackles_assists,1,,,,,
player,201411230sdg,ram,JenkJa03,tackles_loss,0,,,,,
player,201411230sdg,ram,JenkJa03,qb_hits,0,,,,,
player,201411230sdg,ram,JenkJa03,fumbles_rec,0,,,,,
player,201411230sdg,ram,JenkJa03,fumbles_rec_yds,0,,,,,
player,201411230sdg,ram,JenkJa03,fumbles_rec_td,0,,,,,
player,201411230sdg,ram,JenkJa03,fumbles_forced,1,,,,,
player,201411230sdg,ram,DonaAa00,def_int,0,,,,,
player,201411230sdg,ram,DonaAa00,def_int_yds,0,,,,,
player,201411230sdg,ram,DonaAa00,def_int_td,0,,,,,
player,201411230sdg,ram,DonaAa00,def_int_long,0,,,,,
player,201411230sdg,ram,DonaAa00,pass_defended,0,,,,,
player,201411230sdg,ram,DonaAa00,sacks,1.0,,,,,
