game,2014,7,20141019,201410190den,sfo,"San Francisco 49ers",17,den,"Denver Broncos",42
player,201410190den,sfo,BoldAn00,pass_td,0,,,,,
player,201410190den,sfo,BoldAn00,pass_int,0,,,,,
player,201410190den,sfo,BoldAn00,pass_sacked,0,,,,,
player,201410190den,sfo,BoldAn00,pass_sacked_yds,0,,,,,
player,201410190den,sfo,BoldAn00,pass_long,0,,,,,
player,201410190den,sfo,BoldAn00,pass_rating,,,,,,
player,201410190den,sfo,BoldAn00,rush_att,0,,,,,
player,201410190den,sfo,BoldAn00,rush_yds,0,,,,,
player,201410190den,sfo,BoldAn00,rush_td,0,,,,,
player,201410190den,sfo,BoldAn00,rush_long,0,,,,,
player,201410190den,sfo,BoldAn00,targets,10,,,,,
player,201410190den,sfo,BoldAn00,rec,7,,,,,
player,201410190den,sfo,BoldAn00,rec_yds,50,,,,,
player,201410190den,sfo,BoldAn00,rec_td,0,,,,,
player,201410190den,sfo,BoldAn00,rec_long,18,,,,,
player,201410190den,sfo,BoldAn00,fumbles,0,,,,,
player,201410190den,sfo,BoldAn00,fumbles_lost,0,,,,,
player,201410190den,sfo,ElliBr00,pass_cmp,0,,,,,
player,201410190den,sfo,ElliBr00,pass_att,0,,,,,
player,201410190den,sfo,ElliBr00,pass_yds,0,,,,,
player,201410190den,sfo,ElliBr00,pass_td,0,,,,,
player,201410190den,sfo,ElliBr00,pass_int,0,,,,,
player,201410190den,sfo,ElliBr00,pass_sacked,0,,,,,
player,201410190den,sfo,ElliBr00,pass_sacked_yds,0,,,,,
player,201410190den,sfo,ElliBr00,pass_long,0,,,,,
player,201410190den,sfo,ElliBr00,pass_rating,,,,,,
player,201410190den,sfo,ElliBr00,rush_att,0,,,,,
player,201410190den,sfo,ElliBr00,rush_yds,0,,,,,
player,201410190den,sfo,ElliBr00,rush_td,0,,,,,
player,201410190den,sfo,ElliBr00,rush_long,0,,,,,
player,201410190den,sfo,ElliBr00,targets,4,,,,,
player,201410190den,sfo,ElliBr00,rec,3,,,,,
player,201410190den,sfo,ElliBr00,rec_yds,44,,,,,
player,201410190den,sfo,ElliBr00,rec_td,1,,,,,
player,201410190den,sfo,ElliBr00,rec_long,20,,,,,
player,201410190den,sfo,ElliBr00,fumbles,0,,,,,
player,201410190den,sfo,ElliBr00,fumbles_lost,0,,,,,
player,201410190den,sfo,CrabMi00,pass_cmp,0,,,,,
player,201410190den,sfo,CrabMi00,pass_att,0,,,,,
player,201410190den,sfo,CrabMi00,pass_yds,0,,,,,
player,201410190den,sfo,CrabMi00,pass_td,0,,,,,
player,201410190den,sfo,CrabMi00,pass_int,0,,,,,
player,201410190den,sfo,CrabMi00,pass_sacked,0,,,,,
player,201410190den,sfo,CrabMi00,pass_sacked_yds,0,,,,,
player,201410190den,sfo,CrabMi00,pass_long,0,,,,,
player,201410190den,sfo,CrabMi00,pass_rating,,,,,,
player,201410190den,sfo,CrabMi00,rush_att,0,,,,,
player,201410190den,sfo,CrabMi00,rush_yds,0,,,,,
player,201410190den,sfo,CrabMi00,rush_td,0,,,,,
player,201410190den,sfo,CrabMi00,rush_long,0,,,,,
player,201410190den,sfo,CrabMi00,targets,7,,,,,
player,201410190den,sfo,CrabMi00,rec,4,,,,,
player,201410190den,sfo,CrabMi00,rec_yds,27,,,,,
player,201410190den,sfo,CrabMi00,rec_td,0,,,,,
player,201410190den,sfo,CrabMi00,rec_long,11,,,,,
player,201410190den,sfo,CrabMi00,fumbles,0,,,,,
player,201410190den,sfo,CrabMi00,fumbles_lost,0,,,,,
player,201410190den,sfo,DaviVe00,pass_cmp,0,,,,,
player,201410190den,sfo,DaviVe00,pass_att,0,,,,,
player,201410190den,sfo,DaviVe00,pass_yds,0,,,,,
player,201410190den,sfo,DaviVe00,pass_td,0,,,,,
player,201410190den,sfo,DaviVe00,pass_int,0,,,,,
player,201410190den,sfo,DaviVe00,pass_sacked,0,,,,,
player,201410190den,sfo,DaviVe00,pass_sacked_yds,0,,,,,
player,201410190den,sfo,DaviVe00,pass_long,0,,,,,
player,201410190den,sfo,DaviVe00,pass_rating,,,,,,
player,201410190den,sfo,DaviVe00,rush_att,0,,,,,
player,201410190den,sfo,DaviVe00,rush_yds,0,,,,,
player,201410190den,sfo,DaviVe00,rush_td,0,,,,,
player,201410190den,sfo,DaviVe00,rush_long,0,,,,,
player,201410190den,sfo,DaviVe00,targets,5,,,,,
player,201410190den,sfo,DaviVe00,rec,2,,,,,
player,201410190den,sfo,DaviVe00,rec_yds,21,,,,,
player,201410190den,sfo,DaviVe00,rec_td,0,,,,,
player,201410190den,sfo,DaviVe00,rec_long,14,,,,,
player,201410190den,sfo,DaviVe00,fumbles,0,,,,,
player,201410190den,sfo,DaviVe00,fumbles_lost,0,,,,,
player,201410190den,sfo,OsgoKa00,pass_cmp,0,,,,,
player,201410190den,sfo,OsgoKa00,pass_att,0,,,,,
player,201410190den,sfo,OsgoKa00,pass_yds,0,,,,,
player,201410190den,sfo,OsgoKa00,pass_td,0,,,,,
player,201410190den,sfo,OsgoKa00,pass_int,0,,,,,
player,201410190den,sfo,OsgoKa00,pass_sacked,0,,,,,
player,201410190den,sfo,OsgoKa00,pass_sacked_yds,0,,,,,
player,201410190den,sfo,OsgoKa00,pass_long,0,,,,,
player,201410190den,sfo,OsgoKa00,pass_rating,,,,,,
player,201410190den,sfo,OsgoKa00,rush_att,0,,,,,
player,201410190den,sfo,OsgoKa00,rush_yds,0,,,,,
player,201410190den,sfo,OsgoKa00,rush_td,0,,,,,
player,201410190den,sfo,OsgoKa00,rush_long,0,,,,,
player,201410190den,sfo,OsgoKa00,targets,1,,,,,
player,201410190den,sfo,OsgoKa00,rec,0,,,,,
player,201410190den,sfo,OsgoKa00,rec_yds,0,,,,,
player,201410190den,sfo,OsgoKa00,rec_td,0,,,,,
player,201410190den,sfo,OsgoKa00,rec_long,0,,,,,
player,201410190den,sfo,OsgoKa00,fumbles,0,,,,,
player,201410190den,sfo,OsgoKa00,fumbles_lost,0,,,,,
player,201410190den,den,MannPe00,pass_cmp,22,,,,,
player,201410190den,den,MannPe00,pass_att,26,,,,,
player,201410190den,den,MannPe00,pass_yds,318,,,,,
player,201410190den,den,MannPe00,pass_td,4,,,,,
player,201410190den,den,MannPe00,pass_int,0,,,,,
player,201410190den,den,MannPe00,pass_sacked,2,,,,,
player,201410190den,den,MannPe00,pass_sacked_yds,14,,,,,
player,201410190den,den,MannPe00,pass_long,49,,,,,
player,201410190den,den,MannPe00,pass_rating,157.2,,,,,
player,201410190den,den,MannPe00,rush_att,1,,,,,
player,201410190den,den,MannPe00,rush_yds,-1,,,,,
player,201410190den,den,MannPe00,rush_td,0,,,,,
player,201410190den,den,MannPe00,rush_long,-1,,,,,
player,201410190den,den,MannPe00,targets,0,,,,,
player,201410190den,den,MannPe00,rec,0,,,,,
player,201410190den,den,MannPe00,rec_yds,0,,,,,
player,201410190den,den,MannPe00,rec_td,0,,,,,
player,201410190den,den,MannPe00,rec_long,0,,,,,
player,201410190den,den,MannPe00,fumbles,0,,,,,
player,201410190den,den,MannPe00,fumbles_lost,0,,,,,
player,201410190den,den,OsweBr00,pass_cmp,0,,,,,
player,201410190den,den,OsweBr00,pass_att,1,,,,,
player,201410190den,den,OsweBr00,pass_yds,0,,,,,
player,201410190den,den,OsweBr00,pass_td,0,,,,,
player,201410190den,den,OsweBr00,pass_int,0,,,,,
player,201410190den,den,OsweBr00,pass_sacked,0,,,,,
player,201410190den,den,OsweBr00,pass_sacked_yds,0,,,,,
player,201410190den,den,OsweBr00,pass_long,0,,,,,
player,201410190den,den,OsweBr00,pass_rating,39.6,,,,,
player,201410190den,den,OsweBr00,rush_att,3,,,,,
player,201410190den,den,OsweBr00,rush_yds,0,,,,,
player,201410190den,den,OsweBr00,rush_td,0,,,,,
player,201410190den,den,OsweBr00,rush_long,2,,,,,
player,201410190den,den,OsweBr00,targets,0,,,,,
player,201410190den,den,OsweBr00,rec,0,,,,,
player,201410190den,den,OsweBr00,rec_yds,0,,,,,
player,201410190den,den,OsweBr00,rec_td,0,,,,,
player,201410190den,den,OsweBr00,rec_long,0,,,,,
