game,2014,2,20140915,201409150clt,phi,"Philadelphia Eagles",30,clt,"Indianapolis Colts",27
player,201409150clt,phi,CeleBr00,pass_yds,0,,,,,
player,201409150clt,phi,CeleBr00,pass_td,0,,,,,
player,201409150clt,phi,CeleBr00,pass_int,0,,,,,
player,201409150clt,phi,CeleBr00,pass_sacked,0,,,,,
player,201409150clt,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201409150clt,phi,CeleBr00,pass_long,0,,,,,
player,201409150clt,phi,CeleBr00,pass_rating,,,,,,
player,201409150clt,phi,CeleBr00,rush_att,0,,,,,
player,201409150clt,phi,CeleBr00,rush_yds,0,,,,,
player,201409150clt,phi,CeleBr00,rush_td,0,,,,,
player,201409150clt,phi,CeleBr00,rush_long,0,,,,,
player,201409150clt,phi,CeleBr00,targets,1,,,,,
player,201409150clt,phi,CeleBr00,rec,0,,,,,
player,201409150clt,phi,CeleBr00,rec_yds,0,,,,,
player,201409150clt,phi,CeleBr00,rec_td,0,,,,,
player,201409150clt,phi,CeleBr00,rec_long,0,,,,,
player,201409150clt,phi,CeleBr00,fumbles,0,,,,,
player,201409150clt,phi,CeleBr00,fumbles_lost,0,,,,,
player,201409150clt,clt,LuckAn00,pass_cmp,20,,,,,
player,201409150clt,clt,LuckAn00,pass_att,34,,,,,
player,201409150clt,clt,LuckAn00,pass_yds,172,,,,,
player,201409150clt,clt,LuckAn00,pass_td,3,,,,,
player,201409150clt,clt,LuckAn00,pass_int,1,,,,,
player,201409150clt,clt,LuckAn00,pass_sacked,0,,,,,
player,201409150clt,clt,LuckAn00,pass_sacked_yds,0,,,,,
player,201409150clt,clt,LuckAn00,pass_long,19,,,,,
player,201409150clt,clt,LuckAn00,pass_rating,89.3,,,,,
player,201409150clt,clt,LuckAn00,rush_att,4,,,,,
player,201409150clt,clt,LuckAn00,rush_yds,20,,,,,
player,201409150clt,clt,LuckAn00,rush_td,0,,,,,
player,201409150clt,clt,LuckAn00,rush_long,15,,,,,
player,201409150clt,clt,LuckAn00,targets,0,,,,,
player,201409150clt,clt,LuckAn00,rec,0,,,,,
player,201409150clt,clt,LuckAn00,rec_yds,0,,,,,
player,201409150clt,clt,LuckAn00,rec_td,0,,,,,
player,201409150clt,clt,LuckAn00,rec_long,0,,,,,
