game,2014,12,20141123,201411230phi,oti,"Tennessee Titans",24,phi,"Philadelphia Eagles",43
player,201411230phi,oti,MettZa00,targets,0,,,,,
player,201411230phi,oti,MettZa00,rec,0,,,,,
player,201411230phi,oti,MettZa00,rec_yds,0,,,,,
player,201411230phi,oti,MettZa00,rec_td,0,,,,,
player,201411230phi,oti,MettZa00,rec_long,0,,,,,
player,201411230phi,oti,MettZa00,fumbles,1,,,,,
player,201411230phi,oti,MettZa00,fumbles_lost,0,,,,,
player,201411230phi,oti,SankBi00,pass_cmp,0,,,,,
player,201411230phi,oti,SankBi00,pass_att,0,,,,,
player,201411230phi,oti,SankBi00,pass_yds,0,,,,,
player,201411230phi,oti,SankBi00,pass_td,0,,,,,
player,201411230phi,oti,SankBi00,pass_int,0,,,,,
player,201411230phi,oti,SankBi00,pass_sacked,0,,,,,
player,201411230phi,oti,SankBi00,pass_sacked_yds,0,,,,,
player,201411230phi,oti,SankBi00,pass_long,0,,,,,
player,201411230phi,oti,SankBi00,pass_rating,,,,,,
player,201411230phi,oti,SankBi00,rush_att,10,,,,,
player,201411230phi,oti,SankBi00,rush_yds,37,,,,,
player,201411230phi,oti,SankBi00,rush_td,0,,,,,
player,201411230phi,oti,SankBi00,rush_long,13,,,,,
player,201411230phi,oti,SankBi00,targets,2,,,,,
player,201411230phi,oti,SankBi00,rec,2,,,,,
player,201411230phi,oti,SankBi00,rec_yds,14,,,,,
player,201411230phi,oti,SankBi00,rec_td,0,,,,,
player,201411230phi,oti,SankBi00,rec_long,9,,,,,
player,201411230phi,oti,SankBi00,fumbles,1,,,,,
player,201411230phi,oti,SankBi00,fumbles_lost,1,,,,,
player,201411230phi,oti,GreeSh00,pass_cmp,0,,,,,
player,201411230phi,oti,GreeSh00,pass_att,0,,,,,
player,201411230phi,oti,GreeSh00,pass_yds,0,,,,,
player,201411230phi,oti,GreeSh00,pass_td,0,,,,,
player,201411230phi,oti,GreeSh00,pass_int,0,,,,,
player,201411230phi,oti,GreeSh00,pass_sacked,0,,,,,
player,201411230phi,oti,GreeSh00,pass_sacked_yds,0,,,,,
player,201411230phi,oti,GreeSh00,pass_long,0,,,,,
player,201411230phi,oti,GreeSh00,pass_rating,,,,,,
player,201411230phi,oti,GreeSh00,rush_att,6,,,,,
player,201411230phi,oti,GreeSh00,rush_yds,15,,,,,
player,201411230phi,oti,GreeSh00,rush_td,1,,,,,
player,201411230phi,oti,GreeSh00,rush_long,4,,,,,
player,201411230phi,oti,GreeSh00,targets,0,,,,,
player,201411230phi,oti,GreeSh00,rec,0,,,,,
player,201411230phi,oti,GreeSh00,rec_yds,0,,,,,
player,201411230phi,oti,GreeSh00,rec_td,0,,,,,
player,201411230phi,oti,GreeSh00,rec_long,0,,,,,
player,201411230phi,oti,GreeSh00,fumbles,0,,,,,
player,201411230phi,oti,GreeSh00,fumbles_lost,0,,,,,
player,201411230phi,oti,McClDe00,pass_cmp,0,,,,,
player,201411230phi,oti,McClDe00,pass_att,0,,,,,
player,201411230phi,oti,McClDe00,pass_yds,0,,,,,
player,201411230phi,oti,McClDe00,pass_td,0,,,,,
player,201411230phi,oti,McClDe00,pass_int,0,,,,,
player,201411230phi,oti,McClDe00,pass_sacked,0,,,,,
player,201411230phi,oti,McClDe00,pass_sacked_yds,0,,,,,
player,201411230phi,oti,McClDe00,pass_long,0,,,,,
player,201411230phi,oti,McClDe00,pass_rating,,,,,,
player,201411230phi,oti,McClDe00,rush_att,1,,,,,
player,201411230phi,oti,McClDe00,rush_yds,2,,,,,
player,201411230phi,oti,McClDe00,rush_td,0,,,,,
player,201411230phi,oti,McClDe00,rush_long,2,,,,,
player,201411230phi,oti,McClDe00,targets,4,,,,,
player,201411230phi,oti,McClDe00,rec,3,,,,,
player,201411230phi,oti,McClDe00,rec_yds,15,,,,,
player,201411230phi,oti,McClDe00,rec_td,1,,,,,
player,201411230phi,oti,McClDe00,rec_long,6,,,,,
player,201411230phi,oti,McClDe00,fumbles,0,,,,,
player,201411230phi,oti,McClDe00,fumbles_lost,0,,,,,
player,201411230phi,oti,WalkHu00,pass_cmp,0,,,,,
player,201411230phi,oti,WalkHu00,pass_att,0,,,,,
player,201411230phi,oti,WalkHu00,pass_yds,0,,,,,
player,201411230phi,oti,WalkHu00,pass_td,0,,,,,
player,201411230phi,oti,WalkHu00,pass_int,0,,,,,
player,201411230phi,oti,WalkHu00,pass_sacked,0,,,,,
player,201411230phi,oti,WalkHu00,pass_sacked_yds,0,,,,,
player,201411230phi,oti,WalkHu00,pass_long,0,,,,,
player,201411230phi,oti,WalkHu00,pass_rating,,,,,,
player,201411230phi,oti,WalkHu00,rush_att,0,,,,,
player,201411230phi,oti,WalkHu00,rush_yds,0,,,,,
player,201411230phi,oti,WalkHu00,rush_td,0,,,,,
player,201411230phi,oti,WalkHu00,rush_long,0,,,,,
player,201411230phi,oti,WalkHu00,targets,9,,,,,
player,201411230phi,oti,WalkHu00,rec,5,,,,,
player,201411230phi,oti,WalkHu00,rec_yds,155,,,,,
player,201411230phi,oti,WalkHu00,rec_td,0,,,,,
player,201411230phi,oti,WalkHu00,rec_long,68,,,,,
player,201411230phi,oti,WalkHu00,fumbles,0,,,,,
player,201411230phi,oti,WalkHu00,fumbles_lost,0,,,,,
player,201411230phi,oti,HuntJu00,pass_cmp,0,,,,,
player,201411230phi,oti,HuntJu00,pass_att,0,,,,,
player,201411230phi,oti,HuntJu00,pass_yds,0,,,,,
player,201411230phi,oti,HuntJu00,pass_td,0,,,,,
player,201411230phi,oti,HuntJu00,pass_int,0,,,,,
player,201411230phi,oti,HuntJu00,pass_sacked,0,,,,,
player,201411230phi,oti,HuntJu00,pass_sacked_yds,0,,,,,
player,201411230phi,oti,HuntJu00,pass_long,0,,,,,
player,201411230phi,oti,HuntJu00,pass_rating,,,,,,
player,201411230phi,oti,HuntJu00,rush_att,0,,,,,
player,201411230phi,oti,HuntJu00,rush_yds,0,,,,,
player,201411230phi,oti,HuntJu00,rush_td,0,,,,,
player,201411230phi,oti,HuntJu00,rush_long,0,,,,,
player,201411230phi,oti,HuntJu00,targets,10,,,,,
player,201411230phi,oti,HuntJu00,rec,4,,,,,
player,201411230phi,oti,HuntJu00,rec_yds,64,,,,,
player,201411230phi,oti,HuntJu00,rec_td,1,,,,,
player,201411230phi,oti,HuntJu00,rec_long,40,,,,,
player,201411230phi,oti,HuntJu00,fumbles,0,,,,,
player,201411230phi,oti,HuntJu00,fumbles_lost,0,,,,,
player,201411230phi,oti,WashNa00,pass_cmp,0,,,,,
player,201411230phi,oti,WashNa00,pass_att,0,,,,,
player,201411230phi,oti,WashNa00,pass_yds,0,,,,,
player,201411230phi,oti,WashNa00,pass_td,0,,,,,
player,201411230phi,oti,WashNa00,pass_int,0,,,,,
player,201411230phi,oti,WashNa00,pass_sacked,0,,,,,
player,201411230phi,oti,WashNa00,pass_sacked_yds,0,,,,,
player,201411230phi,oti,WashNa00,pass_long,0,,,,,
player,201411230phi,oti,WashNa00,pass_rating,,,,,,
player,201411230phi,oti,WashNa00,rush_att,0,,,,,
player,201411230phi,oti,WashNa00,rush_yds,0,,,,,
player,201411230phi,oti,WashNa00,rush_td,0,,,,,
player,201411230phi,oti,WashNa00,rush_long,0,,,,,
player,201411230phi,oti,WashNa00,targets,6,,,,,
player,201411230phi,oti,WashNa00,rec,4,,,,,
player,201411230phi,oti,WashNa00,rec_yds,63,,,,,
player,201411230phi,oti,WashNa00,rec_td,0,,,,,
player,201411230phi,oti,WashNa00,rec_long,22,,,,,
player,201411230phi,oti,WashNa00,fumbles,0,,,,,
player,201411230phi,oti,WashNa00,fumbles_lost,0,,,,,
player,201411230phi,oti,WrigKe01,pass_cmp,0,,,,,
player,201411230phi,oti,WrigKe01,pass_att,0,,,,,
player,201411230phi,oti,WrigKe01,pass_yds,0,,,,,
player,201411230phi,oti,WrigKe01,pass_td,0,,,,,
player,201411230phi,oti,WrigKe01,pass_int,0,,,,,
player,201411230phi,oti,WrigKe01,pass_sacked,0,,,,,
player,201411230phi,oti,WrigKe01,pass_sacked_yds,0,,,,,
player,201411230phi,oti,WrigKe01,pass_long,0,,,,,
player,201411230phi,oti,WrigKe01,pass_rating,,,,,,
player,201411230phi,oti,WrigKe01,rush_att,0,,,,,
player,201411230phi,oti,WrigKe01,rush_yds,0,,,,,
player,201411230phi,oti,WrigKe01,rush_td,0,,,,,
player,201411230phi,oti,WrigKe01,rush_long,0,,,,,
player,201411230phi,oti,WrigKe01,targets,6,,,,,
player,201411230phi,oti,WrigKe01,rec,1,,,,,
player,201411230phi,oti,WrigKe01,rec_yds,28,,,,,
player,201411230phi,oti,WrigKe01,rec_td,0,,,,,
player,201411230phi,oti,WrigKe01,rec_long,28,,,,,
player,201411230phi,oti,WrigKe01,fumbles,0,,,,,
player,201411230phi,oti,WrigKe01,fumbles_lost,0,,,,,
player,201411230phi,oti,SchwBr00,pass_cmp,0,,,,,
player,201411230phi,oti,SchwBr00,pass_att,0,,,,,
player,201411230phi,oti,SchwBr00,pass_yds,0,,,,,
player,201411230phi,oti,SchwBr00,pass_td,0,,,,,
player,201411230phi,oti,SchwBr00,pass_int,0,,,,,
player,201411230phi,oti,SchwBr00,pass_sacked,0,,,,,
player,201411230phi,oti,SchwBr00,pass_sacked_yds,0,,,,,
player,201411230phi,oti,SchwBr00,pass_long,0,,,,,
player,201411230phi,oti,SchwBr00,pass_rating,,,,,,
player,201411230phi,oti,SchwBr00,rush_att,0,,,,,
player,201411230phi,oti,SchwBr00,rush_yds,0,,,,,
player,201411230phi,oti,SchwBr00,rush_td,0,,,,,
player,201411230phi,oti,SchwBr00,rush_long,0,,,,,
player,201411230phi,oti,SchwBr00,targets,1,,,,,
player,201411230phi,oti,SchwBr00,rec,1,,,,,
player,201411230phi,oti,SchwBr00,rec_yds,6,,,,,
player,201411230phi,oti,SchwBr00,rec_td,0,,,,,
player,201411230phi,oti,SchwBr00,rec_long,6,,,,,
player,201411230phi,oti,SchwBr00,fumbles,1,,,,,
player,201411230phi,oti,SchwBr00,fumbles_lost,1,,,,,
player,201411230phi,phi,SancMa00,pass_cmp,30,,,,,
player,201411230phi,phi,SancMa00,pass_att,43,,,,,
player,201411230phi,phi,SancMa00,pass_yds,307,,,,,
player,201411230phi,phi,SancMa00,pass_td,1,,,,,
player,201411230phi,phi,SancMa00,pass_int,2,,,,,
player,201411230phi,phi,SancMa00,pass_sacked,2,,,,,
player,201411230phi,phi,SancMa00,pass_sacked_yds,9,,,,,
player,201411230phi,phi,SancMa00,pass_long,24,,,,,
player,201411230phi,phi,SancMa00,pass_rating,78.3,,,,,
player,201411230phi,phi,SancMa00,rush_att,4,,,,,
player,201411230phi,phi,SancMa00,rush_yds,4,,,,,
player,201411230phi,phi,SancMa00,rush_td,0,,,,,
player,201411230phi,phi,SancMa00,rush_long,6,,,,,
player,201411230phi,phi,SancMa00,targets,0,,,,,
player,201411230phi,phi,SancMa00,rec,0,,,,,
player,201411230phi,phi,SancMa00,rec_yds,0,,,,,
player,201411230phi,phi,SancMa00,rec_td,0,,,,,
player,201411230phi,phi,SancMa00,rec_long,0,,,,,
player,201411230phi,phi,SancMa00,fumbles,0,,,,,
player,201411230phi,phi,SancMa00,fumbles_lost,0,,,,,
player,201411230phi,phi,McCoLe01,pass_cmp,0,,,,,
player,201411230phi,phi,McCoLe01,pass_att,0,,,,,
player,201411230phi,phi,McCoLe01,pass_yds,0,,,,,
player,201411230phi,phi,McCoLe01,pass_td,0,,,,,
player,201411230phi,phi,McCoLe01,pass_int,0,,,,,
player,201411230phi,phi,McCoLe01,pass_sacked,0,,,,,
player,201411230phi,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201411230phi,phi,McCoLe01,pass_long,0,,,,,
player,201411230phi,phi,McCoLe01,pass_rating,,,,,,
player,201411230phi,phi,McCoLe01,rush_att,21,,,,,
player,201411230phi,phi,McCoLe01,rush_yds,130,,,,,
player,201411230phi,phi,McCoLe01,rush_td,1,,,,,
player,201411230phi,phi,McCoLe01,rush_long,53,,,,,
player,201411230phi,phi,McCoLe01,targets,1,,,,,
player,201411230phi,phi,McCoLe01,rec,1,,,,,
player,201411230phi,phi,McCoLe01,rec_yds,1,,,,,
player,201411230phi,phi,McCoLe01,rec_td,0,,,,,
player,201411230phi,phi,McCoLe01,rec_long,1,,,,,
player,201411230phi,phi,McCoLe01,fumbles,0,,,,,
player,201411230phi,phi,McCoLe01,fumbles_lost,0,,,,,
player,201411230phi,phi,SproDa00,pass_cmp,0,,,,,
player,201411230phi,phi,SproDa00,pass_att,0,,,,,
player,201411230phi,phi,SproDa00,pass_yds,0,,,,,
player,201411230phi,phi,SproDa00,pass_td,0,,,,,
player,201411230phi,phi,SproDa00,pass_int,0,,,,,
player,201411230phi,phi,SproDa00,pass_sacked,0,,,,,
player,201411230phi,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201411230phi,phi,SproDa00,pass_long,0,,,,,
player,201411230phi,phi,SproDa00,pass_rating,,,,,,
player,201411230phi,phi,SproDa00,rush_att,6,,,,,
player,201411230phi,phi,SproDa00,rush_yds,25,,,,,
player,201411230phi,phi,SproDa00,rush_td,1,,,,,
player,201411230phi,phi,SproDa00,rush_long,13,,,,,
player,201411230phi,phi,SproDa00,targets,4,,,,,
player,201411230phi,phi,SproDa00,rec,3,,,,,
player,201411230phi,phi,SproDa00,rec_yds,14,,,,,
player,201411230phi,phi,SproDa00,rec_td,0,,,,,
player,201411230phi,phi,SproDa00,rec_long,10,,,,,
player,201411230phi,phi,SproDa00,fumbles,0,,,,,
player,201411230phi,phi,SproDa00,fumbles_lost,0,,,,,
player,201411230phi,phi,PolkCh00,pass_cmp,0,,,,,
player,201411230phi,phi,PolkCh00,pass_att,0,,,,,
player,201411230phi,phi,PolkCh00,pass_yds,0,,,,,
player,201411230phi,phi,PolkCh00,pass_td,0,,,,,
player,201411230phi,phi,PolkCh00,pass_int,0,,,,,
player,201411230phi,phi,PolkCh00,pass_sacked,0,,,,,
player,201411230phi,phi,PolkCh00,pass_sacked_yds,0,,,,,
player,201411230phi,phi,PolkCh00,pass_long,0,,,,,
player,201411230phi,phi,PolkCh00,pass_rating,,,,,,
player,201411230phi,phi,PolkCh00,rush_att,7,,,,,
player,201411230phi,phi,PolkCh00,rush_yds,5,,,,,
player,201411230phi,phi,PolkCh00,rush_td,0,,,,,
player,201411230phi,phi,PolkCh00,rush_long,4,,,,,
player,201411230phi,phi,PolkCh00,targets,1,,,,,
player,201411230phi,phi,PolkCh00,rec,1,,,,,
player,201411230phi,phi,PolkCh00,rec_yds,15,,,,,
player,201411230phi,phi,PolkCh00,rec_td,0,,,,,
player,201411230phi,phi,PolkCh00,rec_long,15,,,,,
player,201411230phi,phi,PolkCh00,fumbles,0,,,,,
player,201411230phi,phi,PolkCh00,fumbles_lost,0,,,,,
player,201411230phi,phi,MattJo00,pass_cmp,0,,,,,
player,201411230phi,phi,MattJo00,pass_att,0,,,,,
player,201411230phi,phi,MattJo00,pass_yds,0,,,,,
player,201411230phi,phi,MattJo00,pass_td,0,,,,,
player,201411230phi,phi,MattJo00,pass_int,0,,,,,
player,201411230phi,phi,MattJo00,pass_sacked,0,,,,,
player,201411230phi,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201411230phi,phi,MattJo00,pass_long,0,,,,,
player,201411230phi,phi,MattJo00,pass_rating,,,,,,
player,201411230phi,phi,MattJo00,rush_att,0,,,,,
player,201411230phi,phi,MattJo00,rush_yds,0,,,,,
player,201411230phi,phi,MattJo00,rush_td,0,,,,,
player,201411230phi,phi,MattJo00,rush_long,0,,,,,
player,201411230phi,phi,MattJo00,targets,8,,,,,
player,201411230phi,phi,MattJo00,rec,6,,,,,
player,201411230phi,phi,MattJo00,rec_yds,77,,,,,
player,201411230phi,phi,MattJo00,rec_td,0,,,,,
player,201411230phi,phi,MattJo00,rec_long,24,,,,,
player,201411230phi,phi,MattJo00,fumbles,0,,,,,
player,201411230phi,phi,MattJo00,fumbles_lost,0,,,,,
player,201411230phi,phi,MaclJe00,pass_cmp,0,,,,,
player,201411230phi,phi,MaclJe00,pass_att,0,,,,,
player,201411230phi,phi,MaclJe00,pass_yds,0,,,,,
player,201411230phi,phi,MaclJe00,pass_td,0,,,,,
player,201411230phi,phi,MaclJe00,pass_int,0,,,,,
player,201411230phi,phi,MaclJe00,pass_sacked,0,,,,,
player,201411230phi,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201411230phi,phi,MaclJe00,pass_long,0,,,,,
player,201411230phi,phi,MaclJe00,pass_rating,,,,,,
player,201411230phi,phi,MaclJe00,rush_att,0,,,,,
player,201411230phi,phi,MaclJe00,rush_yds,0,,,,,
player,201411230phi,phi,MaclJe00,rush_td,0,,,,,
player,201411230phi,phi,MaclJe00,rush_long,0,,,,,
player,201411230phi,phi,MaclJe00,targets,8,,,,,
player,201411230phi,phi,MaclJe00,rec,6,,,,,
player,201411230phi,phi,MaclJe00,rec_yds,59,,,,,
player,201411230phi,phi,MaclJe00,rec_td,0,,,,,
player,201411230phi,phi,MaclJe00,rec_long,18,,,,,
player,201411230phi,phi,MaclJe00,fumbles,0,,,,,
player,201411230phi,phi,MaclJe00,fumbles_lost,0,,,,,
player,201411230phi,phi,CoopRi00,pass_cmp,0,,,,,
player,201411230phi,phi,CoopRi00,pass_att,0,,,,,
player,201411230phi,phi,CoopRi00,pass_yds,0,,,,,
player,201411230phi,phi,CoopRi00,pass_td,0,,,,,
player,201411230phi,phi,CoopRi00,pass_int,0,,,,,
player,201411230phi,phi,CoopRi00,pass_sacked,0,,,,,
player,201411230phi,phi,CoopRi00,pass_sacked_yds,0,,,,,
player,201411230phi,phi,CoopRi00,pass_long,0,,,,,
player,201411230phi,phi,CoopRi00,pass_rating,,,,,,
player,201411230phi,phi,CoopRi00,rush_att,0,,,,,
player,201411230phi,phi,CoopRi00,rush_yds,0,,,,,
player,201411230phi,phi,CoopRi00,rush_td,0,,,,,
player,201411230phi,phi,CoopRi00,rush_long,0,,,,,
player,201411230phi,phi,CoopRi00,targets,6,,,,,
player,201411230phi,phi,CoopRi00,rec,3,,,,,
player,201411230phi,phi,CoopRi00,rec_yds,49,,,,,
player,201411230phi,phi,CoopRi00,rec_td,0,,,,,
player,201411230phi,phi,CoopRi00,rec_long,21,,,,,
player,201411230phi,phi,CoopRi00,fumbles,0,,,,,
player,201411230phi,phi,CoopRi00,fumbles_lost,0,,,,,
player,201411230phi,phi,CeleBr00,pass_cmp,0,,,,,
player,201411230phi,phi,CeleBr00,pass_att,0,,,,,
player,201411230phi,phi,CeleBr00,pass_yds,0,,,,,
player,201411230phi,phi,CeleBr00,pass_td,0,,,,,
player,201411230phi,phi,CeleBr00,pass_int,0,,,,,
player,201411230phi,phi,CeleBr00,pass_sacked,0,,,,,
player,201411230phi,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201411230phi,phi,CeleBr00,pass_long,0,,,,,
player,201411230phi,phi,CeleBr00,pass_rating,,,,,,
player,201411230phi,phi,CeleBr00,rush_att,0,,,,,
player,201411230phi,phi,CeleBr00,rush_yds,0,,,,,
player,201411230phi,phi,CeleBr00,rush_td,0,,,,,
player,201411230phi,phi,CeleBr00,rush_long,0,,,,,
player,201411230phi,phi,CeleBr00,targets,7,,,,,
player,201411230phi,phi,CeleBr00,rec,5,,,,,
player,201411230phi,phi,CeleBr00,rec_yds,48,,,,,
player,201411230phi,phi,CeleBr00,rec_td,0,,,,,
player,201411230phi,phi,CeleBr00,rec_long,15,,,,,
player,201411230phi,phi,CeleBr00,fumbles,0,,,,,
player,201411230phi,phi,CeleBr00,fumbles_lost,0,,,,,
player,201411230phi,phi,ErtzZa00,pass_cmp,0,,,,,
player,201411230phi,phi,ErtzZa00,pass_att,0,,,,,
player,201411230phi,phi,ErtzZa00,pass_yds,0,,,,,
player,201411230phi,phi,ErtzZa00,pass_td,0,,,,,
player,201411230phi,phi,ErtzZa00,pass_int,0,,,,,
player,201411230phi,phi,ErtzZa00,pass_sacked,0,,,,,
player,201411230phi,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201411230phi,phi,ErtzZa00,pass_long,0,,,,,
player,201411230phi,phi,ErtzZa00,pass_rating,,,,,,
player,201411230phi,phi,ErtzZa00,rush_att,0,,,,,
player,201411230phi,phi,ErtzZa00,rush_yds,0,,,,,
player,201411230phi,phi,ErtzZa00,rush_td,0,,,,,
player,201411230phi,phi,ErtzZa00,rush_long,0,,,,,
player,201411230phi,phi,ErtzZa00,targets,6,,,,,
player,201411230phi,phi,ErtzZa00,rec,4,,,,,
player,201411230phi,phi,ErtzZa00,rec_yds,30,,,,,
player,201411230phi,phi,ErtzZa00,rec_td,0,,,,,
player,201411230phi,phi,ErtzZa00,rec_long,10,,,,,
player,201411230phi,phi,ErtzZa00,fumbles,0,,,,,
player,201411230phi,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201411230phi,phi,CaseJa00,pass_cmp,0,,,,,
player,201411230phi,phi,CaseJa00,pass_att,0,,,,,
player,201411230phi,phi,CaseJa00,pass_yds,0,,,,,
player,201411230phi,phi,CaseJa00,pass_td,0,,,,,
player,201411230phi,phi,CaseJa00,pass_int,0,,,,,
player,201411230phi,phi,CaseJa00,pass_sacked,0,,,,,
player,201411230phi,phi,CaseJa00,pass_sacked_yds,0,,,,,
player,201411230phi,phi,CaseJa00,pass_long,0,,,,,
player,201411230phi,phi,CaseJa00,pass_rating,,,,,,
player,201411230phi,phi,CaseJa00,rush_att,0,,,,,
player,201411230phi,phi,CaseJa00,rush_yds,0,,,,,
player,201411230phi,phi,CaseJa00,rush_td,0,,,,,
player,201411230phi,phi,CaseJa00,rush_long,0,,,,,
player,201411230phi,phi,CaseJa00,targets,1,,,,,
player,201411230phi,phi,CaseJa00,rec,1,,,,,
player,201411230phi,phi,CaseJa00,rec_yds,14,,,,,
player,201411230phi,phi,CaseJa00,rec_td,1,,,,,
player,201411230phi,phi,CaseJa00,rec_long,14,,,,,
player,201411230phi,phi,CaseJa00,fumbles,0,,,,,
player,201411230phi,phi,CaseJa00,fumbles_lost,0,,,,,
player,201411230phi,oti,GheeBr99,def_int,1,,,,,
player,201411230phi,oti,GheeBr99,def_int_yds,0,,,,,
player,201411230phi,oti,GheeBr99,def_int_td,0,,,,,
player,201411230phi,oti,GheeBr99,def_int_long,0,,,,,
player,201411230phi,oti,GheeBr99,pass_defended,1,,,,,
player,201411230phi,oti,GheeBr99,sacks,0.0,,,,,
player,201411230phi,oti,GheeBr99,tackles_combined,2,,,,,
player,201411230phi,oti,GheeBr99,tackles_solo,2,,,,,
player,201411230phi,oti,GheeBr99,tackles_assists,0,,,,,
player,201411230phi,oti,GheeBr99,tackles_loss,0,,,,,
player,201411230phi,oti,GheeBr99,qb_hits,0,,,,,
player,201411230phi,oti,GheeBr99,fumbles_rec,0,,,,,
player,201411230phi,oti,GheeBr99,fumbles_rec_yds,0,,,,,
player,201411230phi,oti,GheeBr99,fumbles_rec_td,0,,,,,
player,201411230phi,oti,GheeBr99,fumbles_forced,0,,,,,
player,201411230phi,oti,StafDa00,def_int,1,,,,,
player,201411230phi,oti,StafDa00,def_int_yds,33,,,,,
player,201411230phi,oti,StafDa00,def_int_td,0,,,,,
player,201411230phi,oti,StafDa00,def_int_long,33,,,,,
player,201411230phi,oti,StafDa00,pass_defended,2,,,,,
player,201411230phi,oti,StafDa00,sacks,0.0,,,,,
player,201411230phi,oti,StafDa00,tackles_combined,2,,,,,
player,201411230phi,oti,StafDa00,tackles_solo,2,,,,,
player,201411230phi,oti,StafDa00,tackles_assists,0,,,,,
player,201411230phi,oti,StafDa00,tackles_loss,0,,,,,
player,201411230phi,oti,StafDa00,qb_hits,0,,,,,
player,201411230phi,oti,StafDa00,fumbles_rec,0,,,,,
player,201411230phi,oti,StafDa00,fumbles_rec_yds,0,,,,,
player,201411230phi,oti,StafDa00,fumbles_rec_td,0,,,,,
player,201411230phi,oti,StafDa00,fumbles_forced,0,,,,,
player,201411230phi,oti,MorgDe99,def_int,0,,,,,
player,201411230phi,oti,MorgDe99,def_int_yds,0,,,,,
player,201411230phi,oti,MorgDe99,def_int_td,0,,,,,
player,201411230phi,oti,MorgDe99,def_int_long,0,,,,,
player,201411230phi,oti,MorgDe99,pass_defended,0,,,,,
player,201411230phi,oti,MorgDe99,sacks,1.0,,,,,
player,201411230phi,oti,MorgDe99,tackles_combined,10,,,,,
player,201411230phi,oti,MorgDe99,tackles_solo,6,,,,,
player,201411230phi,oti,MorgDe99,tackles_assists,4,,,,,
player,201411230phi,oti,MorgDe99,tackles_loss,3,,,,,
player,201411230phi,oti,MorgDe99,qb_hits,1,,,,,
player,201411230phi,oti,MorgDe99,fumbles_rec,0,,,,,
player,201411230phi,oti,MorgDe99,fumbles_rec_yds,0,,,,,
player,201411230phi,oti,MorgDe99,fumbles_rec_td,0,,,,,
player,201411230phi,oti,MorgDe99,fumbles_forced,0,,,,,
player,201411230phi,oti,CaseJu00,def_int,0,,,,,
player,201411230phi,oti,CaseJu00,def_int_yds,0,,,,,
player,201411230phi,oti,CaseJu00,def_int_td,0,,,,,
player,201411230phi,oti,CaseJu00,def_int_long,0,,,,,
player,201411230phi,oti,CaseJu00,pass_defended,0,,,,,
player,201411230phi,oti,CaseJu00,sacks,1.0,,,,,
player,201411230phi,oti,CaseJu00,tackles_combined,4,,,,,
player,201411230phi,oti,CaseJu00,tackles_solo,3,,,,,
