game,2014,9,20141102,201411020cle,tam,"Tampa Bay Buccaneers",17,cle,"Cleveland Browns",22
player,201411020cle,tam,MurpLo00,rec_yds,13,,,,,
player,201411020cle,tam,MurpLo00,rec_td,0,,,,,
player,201411020cle,tam,MurpLo00,rec_long,9,,,,,
player,201411020cle,tam,MurpLo00,fumbles,0,,,,,
player,201411020cle,tam,MurpLo00,fumbles_lost,0,,,,,
player,201411020cle,tam,SefeAu00,pass_cmp,0,,,,,
player,201411020cle,tam,SefeAu00,pass_att,0,,,,,
player,201411020cle,tam,SefeAu00,pass_yds,0,,,,,
player,201411020cle,tam,SefeAu00,pass_td,0,,,,,
player,201411020cle,tam,SefeAu00,pass_int,0,,,,,
player,201411020cle,tam,SefeAu00,pass_sacked,0,,,,,
player,201411020cle,tam,SefeAu00,pass_sacked_yds,0,,,,,
player,201411020cle,tam,SefeAu00,pass_long,0,,,,,
player,201411020cle,tam,SefeAu00,pass_rating,,,,,,
player,201411020cle,tam,SefeAu00,rush_att,0,,,,,
player,201411020cle,tam,SefeAu00,rush_yds,0,,,,,
player,201411020cle,tam,SefeAu00,rush_td,0,,,,,
player,201411020cle,tam,SefeAu00,rush_long,0,,,,,
player,201411020cle,tam,SefeAu00,targets,3,,,,,
player,201411020cle,tam,SefeAu00,rec,1,,,,,
player,201411020cle,tam,SefeAu00,rec_yds,3,,,,,
player,201411020cle,tam,SefeAu00,rec_td,0,,,,,
player,201411020cle,tam,SefeAu00,rec_long,3,,,,,
player,201411020cle,tam,SefeAu00,fumbles,0,,,,,
player,201411020cle,tam,SefeAu00,fumbles_lost,0,,,,,
player,201411020cle,cle,HoyeBr00,pass_cmp,21,,,,,
player,201411020cle,cle,HoyeBr00,pass_att,34,,,,,
player,201411020cle,cle,HoyeBr00,pass_yds,300,,,,,
player,201411020cle,cle,HoyeBr00,pass_td,2,,,,,
player,201411020cle,cle,HoyeBr00,pass_int,2,,,,,
player,201411020cle,cle,HoyeBr00,pass_sacked,4,,,,,
player,201411020cle,cle,HoyeBr00,pass_sacked_yds,26,,,,,
